EffectType,Name,Description,ArgumentType,DefaultValue,Required,DatabaseKind
EFFECT_ADJUST_CITY_GREEN_ENERGY_TOURISM,Amount,,,,,
EFFECT_ADJUST_CITY_GROWTH,Amount,,,,,
EFFECT_ADJUST_CITY_HAPPINESS_GREAT_PERSON,Amount,,,,,
EFFECT_ADJUST_CITY_HAPPINESS_GREAT_PERSON,GreatPersonClassType,,,,,
EFFECT_ADJUST_CITY_HAPPINESS_GREAT_PERSON,HappinessType,,,,,
EFFECT_ADJUST_CITY_HAPPINESS_YIELD,Amount,,,,,
EFFECT_ADJUST_CITY_HAPPINESS_YIELD,HappinessType,,,,,
EFFECT_ADJUST_CITY_HAPPINESS_YIELD,YieldType,,,,,
EFFECT_ADJUST_CITY_HOUSING_FROM_GREAT_PEOPLE,Amount,,,,,
EFFECT_ADJUST_CITY_IDENTITY_PER_CITIZEN,Amount,,,,,
EFFECT_ADJUST_CITY_IDENTITY_PER_TURN,Amount,,,,,
EFFECT_ADJUST_CITY_IDENTITY_PRESSURE,Amount,,,,,
EFFECT_ADJUST_CITY_IMPROVEMENT_TOURISM,Amount,,,,,
EFFECT_ADJUST_CITY_INNER_DEFENSE,Amount,,,,,
EFFECT_ADJUST_CITY_NATIONAL_PARK_TOURISM,Amount,,,,,
EFFECT_ADJUST_CITY_NO_CULTURE_BORDER_EXPANSION,,,,,,
EFFECT_ADJUST_CITY_OUTER_DEFENSE,Amount,,,,,
EFFECT_ADJUST_CITY_POPULATION,Amount,,,,,
EFFECT_ADJUST_CITY_POPULATION_UNIT_CREATED,Amount,,,,,
EFFECT_ADJUST_CITY_POPULATION_UNIT_CREATED,UnitType,,,,,
EFFECT_ADJUST_CITY_PREVENT_BYPASS_OUTER_DEFENSES,,,,,,
EFFECT_ADJUST_CITY_PREVENT_MELEE_ATTACK_OUTER_DEFENSES,,,,,,
EFFECT_ADJUST_CITY_PRODUCTION_BUILDING,Amount,,,,,
EFFECT_ADJUST_CITY_PRODUCTION_DISTRICT,Amount,,,,,
EFFECT_ADJUST_CITY_PRODUCTION_UNIT,Amount,,,,,
EFFECT_ADJUST_CITY_RANGED_STRIKE,Amount,,,,,
EFFECT_ADJUST_CITY_RELIGION_EXTRA_PROMOTIONS,Amount,,,,,
EFFECT_ADJUST_CITY_RELIGION_IGNORE_COMBAT,Enable,,,,,
EFFECT_ADJUST_CITY_RELIGION_IGNORE_PRESSURE,Enable,,,,,
EFFECT_ADJUST_CITY_RELIGION_ON_CAPTURE,Enable,,,,,
EFFECT_ADJUST_CITY_RELIGION_PRESSURE,Amount,,,,,
EFFECT_ADJUST_CITY_RELIGIOUS_COMBAT_BONUS,Amount,,,,,
EFFECT_ADJUST_CITY_RELIGIOUS_HEAL,Amount,,,,,
EFFECT_ADJUST_CITY_REQUIRED_POWER,Amount,,,,,
EFFECT_ADJUST_CITY_RESOURCE_HARVEST_BONUS,Amount,,,,,
EFFECT_ADJUST_CITY_SETTLER_CONSUME_POP,Enabled,,,,,
EFFECT_ADJUST_CITY_SIEGE_PROTECTION,Protected,,,,,
EFFECT_ADJUST_CITY_SPY_BONUS,Amount,,,,,
EFFECT_ADJUST_CITY_STATE_TRADE_ROUTE_DISTRICT_YIELD,Amount,,,,,
EFFECT_ADJUST_CITY_STATE_TRADE_ROUTE_DISTRICT_YIELD,YieldType,,,,,
EFFECT_ADJUST_CITY_STATE_TRADE_ROUTE_FLAT_YIELD,Amount,,,,,
EFFECT_ADJUST_CITY_STATE_TRADE_ROUTE_FLAT_YIELD,YieldType,,,,,
EFFECT_ADJUST_CITY_STRATEGIC_RESOURCE_REQUIREMENT_MODIFIER,Amount,The integer percent value of discount on strategic resources required for unit production,int,,0,
EFFECT_ADJUST_CITY_TOURISM,BoostsWonders,,,,,
EFFECT_ADJUST_CITY_TOURISM,GreatWorkObjectType,,,,,
EFFECT_ADJUST_CITY_TOURISM,ImprovementType,,,,,
EFFECT_ADJUST_CITY_TOURISM,Religious,,,,,
EFFECT_ADJUST_CITY_TOURISM,ScalingFactor,,,,,
EFFECT_ADJUST_CITY_TOURISM_LATE_ERAS,MinimumEra,,,,,
EFFECT_ADJUST_CITY_TOURISM_LATE_ERAS,Modifier,,,,,
EFFECT_ADJUST_CITY_TOURISM_PER_FEATURE,Amount,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_FOR_DOMESTIC,Amount,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_FOR_DOMESTIC,YieldType,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_FOR_INTERNATIONAL,Amount,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_FOR_INTERNATIONAL,YieldType,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_DESTINATION_LUXURY_RESOURCE_FOR_INTERNATIONAL,Amount,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_DESTINATION_LUXURY_RESOURCE_FOR_INTERNATIONAL,YieldType,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_DESTINATION_STRATEGIC_RESOURCE_FOR_DOMESTIC,Amount,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_DESTINATION_STRATEGIC_RESOURCE_FOR_DOMESTIC,YieldType,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_DESTINATION_STRATEGIC_RESOURCE_FOR_INTERNATIONAL,Amount,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_DESTINATION_STRATEGIC_RESOURCE_FOR_INTERNATIONAL,YieldType,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_LOCAL_BONUS_RESOURCE_FOR_DOMESTIC,Amount,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_LOCAL_BONUS_RESOURCE_FOR_DOMESTIC,YieldType,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_LOCAL_BONUS_RESOURCE_FOR_INTERNATIONAL,Amount,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_LOCAL_BONUS_RESOURCE_FOR_INTERNATIONAL,YieldType,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_LOCAL_LUXURY_RESOURCE_FOR_INTERNATIONAL,Amount,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_LOCAL_LUXURY_RESOURCE_FOR_INTERNATIONAL,YieldType,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_LOCAL_STRATEGIC_RESOURCE_FOR_INTERNATIONAL,Amount,,,,,
EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_LOCAL_STRATEGIC_RESOURCE_FOR_INTERNATIONAL,YieldType,,,,,
EFFECT_ADJUST_CITY_YIELD_CHANGE,Amount,,,,,
EFFECT_ADJUST_CITY_YIELD_CHANGE,YieldType,,,,,
EFFECT_ADJUST_CITY_YIELD_FROM_FOREIGN_TRADE_ROUTES_PASSING_THROUGH,Amount,,,,,
EFFECT_ADJUST_CITY_YIELD_FROM_FOREIGN_TRADE_ROUTES_PASSING_THROUGH,YieldType,,,,,
EFFECT_ADJUST_CITY_YIELD_FROM_POWERED_BUILDING,Amount,,,,,
EFFECT_ADJUST_CITY_YIELD_FROM_POWERED_BUILDING,YieldType,,,,,
EFFECT_ADJUST_CITY_YIELD_MODIFIER,Amount,,,,,
EFFECT_ADJUST_CITY_YIELD_MODIFIER,YieldType,,,,,
EFFECT_ADJUST_CITY_YIELD_MODIFIER_FROM_FAITH,Amount,,,,,
EFFECT_ADJUST_CITY_YIELD_MODIFIER_FROM_FAITH,YieldType,,,,,
EFFECT_ADJUST_CITY_YIELD_MODIFIER_PER_GOVERNOR_TITLE,Amount,,,,,
EFFECT_ADJUST_CITY_YIELD_MODIFIER_PER_GOVERNOR_TITLE,YieldType,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_DISTRICT,Amount,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_DISTRICT,YieldType,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_FLOOD,Amount,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_FLOOD,YieldType,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_MAJOR_TRADE_PARTNER,Amount,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_MAJOR_TRADE_PARTNER,YieldType,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_POPULATION,Amount,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_POPULATION,YieldType,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_TERRAIN_CLASS_CITIES_IMPROVEMENT,Amount,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_TERRAIN_CLASS_CITIES_IMPROVEMENT,ImprovementType,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_TERRAIN_CLASS_CITIES_IMPROVEMENT,YieldType,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_TERRAIN_TYPE,Amount,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_TERRAIN_TYPE,TerrainType,,,,,
EFFECT_ADJUST_CITY_YIELD_PER_TERRAIN_TYPE,YieldType,,,,,
EFFECT_ADJUST_CIVIC_BOOST,Amount,,,,,
EFFECT_ADJUST_CO2_GENERATION_REDUCTION,Amount,,,,,
EFFECT_ADJUST_CO2_GENERATION_REDUCTION,ResourceUsageType,,,,,
EFFECT_ADJUST_CORPS_ARMY_MODIFIED_STRENGTH,Amount,,,,,
EFFECT_ADJUST_CORPS_ARMY_MODIFIED_STRENGTH,Corps,,,,,
EFFECT_ADJUST_CORPS_ARMY_MODIFIED_STRENGTH,Domain,,,,,
EFFECT_ADJUST_CORPS_ARMY_PREREQ,CivicType,,,,,
EFFECT_ADJUST_CORPS_ARMY_PREREQ,Corps,,,,,
EFFECT_ADJUST_CORPS_ARMY_PREREQ,Domain,,,,,
EFFECT_ADJUST_CULTURE_BOMB_CONVERTS_CITY,ConvertsCity,,,,,
EFFECT_ADJUST_DEFENDER_STRENGTH_MODIFIER,Amount,,,,,
EFFECT_ADJUST_DIPLOMATIC_ACTION_PREFERENCE,Action,,,,,
EFFECT_ADJUST_DIPLOMATIC_ACTION_PREFERENCE,Favored,,,,,
EFFECT_ADJUST_DISABLE_HEALING,Disable,,,,,
EFFECT_ADJUST_DISABLE_HEALING,Foreign,,,,,
EFFECT_ADJUST_DISABLE_INFLUENCE,Disable,,,,,
EFFECT_ADJUST_DISABLE_SETTLING,Disabled,,,,,
EFFECT_ADJUST_DISTRICT_ADJACENT_NATURAL_WONDER_PRODUCTION,Amount,,,,,
EFFECT_ADJUST_DISTRICT_ADJACENT_NATURAL_WONDER_PRODUCTION,FeatureType,,,,,
EFFECT_ADJUST_DISTRICT_AMENITY,Amount,,,,,
EFFECT_ADJUST_DISTRICT_BASE_YIELD_CHANGE,Amount,,,,,
EFFECT_ADJUST_DISTRICT_BASE_YIELD_CHANGE,YieldType,,,,,
EFFECT_ADJUST_DISTRICT_BUILDING_PRODUCTION,Amount,,,,,
EFFECT_ADJUST_DISTRICT_EXTRA_ENTERTAINMENT,Amount,,,,,
EFFECT_ADJUST_DISTRICT_EXTRA_REGIONAL_ENTERTAINMENT,Amount,,,,,
EFFECT_ADJUST_DISTRICT_EXTRA_REGIONAL_RANGE,Amount,,,,,
EFFECT_ADJUST_DISTRICT_EXTRA_REGIONAL_YIELD,Amount,,,,,
EFFECT_ADJUST_DISTRICT_EXTRA_REGIONAL_YIELD,YieldType,,,,,
EFFECT_ADJUST_DISTRICT_GREAT_PERSON_POINTS,Amount,,,,,
EFFECT_ADJUST_DISTRICT_GREAT_PERSON_POINTS,GreatPersonClassType,,,,,
EFFECT_ADJUST_DISTRICT_HOUSING,Amount,,,,,
EFFECT_ADJUST_DISTRICT_PREREQ,DistrictType,,,,,
EFFECT_ADJUST_DISTRICT_PREREQ,TechType,,,,,
EFFECT_ADJUST_DISTRICT_PRODUCTION,Amount,,,,,
EFFECT_ADJUST_DISTRICT_PRODUCTION,DistrictType,,,,,
EFFECT_ADJUST_DISTRICT_TOURISM_ADJACENCY_YIELD_MOFIFIER,Amount,,,,,
EFFECT_ADJUST_DISTRICT_TOURISM_ADJACENCY_YIELD_MOFIFIER,YieldType,,,,,
EFFECT_ADJUST_DISTRICT_TOURISM_CHANGE,Amount,,,,,
EFFECT_ADJUST_DISTRICT_WITHIN_ONE_HEX_ESPIONAGE_DEFENSE_BONUS,Amount,,,,,
EFFECT_ADJUST_DISTRICT_YIELD_BASED_ON_ADJACENCY_BONUS,YieldTypeToGrant,,,,,
EFFECT_ADJUST_DISTRICT_YIELD_BASED_ON_ADJACENCY_BONUS,YieldTypeToMirror,,,,,
EFFECT_ADJUST_DISTRICT_YIELD_BASED_ON_APPEAL,Description,,,,,
EFFECT_ADJUST_DISTRICT_YIELD_BASED_ON_APPEAL,DistrictType,,,,,
EFFECT_ADJUST_DISTRICT_YIELD_BASED_ON_APPEAL,RequiredAppeal,,,,,
EFFECT_ADJUST_DISTRICT_YIELD_BASED_ON_APPEAL,YieldChange,,,,,
EFFECT_ADJUST_DISTRICT_YIELD_BASED_ON_APPEAL,YieldType,,,,,
EFFECT_ADJUST_DISTRICT_YIELD_CHANGE,Amount,,,,,
EFFECT_ADJUST_DISTRICT_YIELD_CHANGE,YieldType,,,,,
EFFECT_ADJUST_DISTRICT_YIELD_MODIFIER,Amount,,,,,
EFFECT_ADJUST_DISTRICT_YIELD_MODIFIER,YieldType,,,,,
EFFECT_ADJUST_DUPLICATE_FIRST_INFLUENCE_TOKEN,Amount,,,,,
EFFECT_ADJUST_DUPLICATE_INFLUENCE_TOKEN_WHEN_RIVAL_GOVERNMENT,Amount,,,,,
EFFECT_ADJUST_DUPLICATE_INFLUENCE_TOKEN_WHEN_SAME_RELIGION,Amount,,,,,
EFFECT_ADJUST_DUPLICATE_INFLUENCE_TOKEN_WHEN_TRADE_ROUTE_TO,Amount,,,,,
EFFECT_ADJUST_EXTRA_ACCUMALATION_TERRAIN,Amount,,,,,
EFFECT_ADJUST_EXTRA_ACCUMALATION_TERRAIN,TerrainType,,,,,
EFFECT_ADJUST_EXTRA_GREAT_WORK_SLOTS,Amount,,,,,
EFFECT_ADJUST_EXTRA_GREAT_WORK_SLOTS,BuildingType,,,,,
EFFECT_ADJUST_EXTRA_GREAT_WORK_SLOTS,GreatWorkSlotType,,,,,
EFFECT_ADJUST_EXTRA_HEAL_GOVERNOR,Amount,,,,,
EFFECT_ADJUST_EXTRA_STARTING_POPULATION_OFF_HOME_CONTINENT,Amount,,,,,
EFFECT_ADJUST_EXTRA_UNIT_COPY,Amount,,,,,
EFFECT_ADJUST_EXTRA_UNIT_COPY,UnitType,,,,,
EFFECT_ADJUST_EXTRA_UNIT_COPY_TAG,Amount,,,,,
EFFECT_ADJUST_EXTRA_UNIT_COPY_TAG,Tag,,,,,
EFFECT_ADJUST_FEATURE_APPEAL_MODIFIER,Amount,,,,,
EFFECT_ADJUST_FEATURE_APPEAL_MODIFIER,FeatureType,,,,,
EFFECT_ADJUST_FEATURE_NO_IMPROVEMENT_APPEAL_GOVERNOR,Amount,,,,,
EFFECT_ADJUST_FEATURE_PREREQ,CivicType,,,,,
EFFECT_ADJUST_FEATURE_PREREQ,FeatureType,,,,,
EFFECT_ADJUST_FLAT_BONUS,Amount,,,,,
EFFECT_ADJUST_FLAT_BONUS,BonusType,,,,,
EFFECT_ADJUST_FOLLOWER_YIELD_MODIFIER,Amount,,,,,
EFFECT_ADJUST_FOLLOWER_YIELD_MODIFIER,YieldType,,,,,
EFFECT_ADJUST_FORBID_LAND_ROUTE,Domestic,,,,,
EFFECT_ADJUST_FREE_CIVIC_BOOST_FIRST_TRADING_POST_EACH_CIV,Amount,,,,,
EFFECT_ADJUST_FREE_CIVIC_BOOST_WONDER_ERA,Amount,,,,,
EFFECT_ADJUST_FREE_TECH_BOOST_FIRST_TRADING_POST_EACH_CIV,Amount,,,,,
EFFECT_ADJUST_FREE_TECH_BOOST_WONDER_ERA,Amount,,,,,
