RequirementType,Name,Example,Description,ArgumentType,DefaultValue,Required,DatabaseKind
REQUIREMENT_CITY_HAS_DISTRICT,ExactMatch,Whether or not the district must be an exact match or if it can be a replacement district.,bool,false,0,,
REQUIREMENT_PLOT_DISTRICT_TYPE_MATCHES,ExactMatch,Whether or not the district must be an exact match or if it can be a replacement district.,bool,false,0,,
REQUIREMENT_PLOT_UNIT_CITY_HAS_DISTRICT_SAME_OWNER,ExactMatch,Whether or not the district must be an exact match or if it can be a replacement district.,bool,false,0,,
REQUIREMENT_PLAYER_DECLARED_WAR,ExcludeEmergencies,1,,,,,
REQUIREMENT_PLAYER_EXPLORATION_LEAD,ExplorationRatio,-1.1,,,,,
REQUIREMENT_CITY_HAS_FEATURE,FeatureType,FEATURE_PAITITI,,,,,
REQUIREMENT_CITY_HAS_X_FEATURE_TYPE,FeatureType,FEATURE_GEOTHERMAL_FISSURE,,,,,
REQUIREMENT_MAP_HAS_FEATURE,FeatureType,FEATURE_BERMUDA_TRIANGLE,,,,,
REQUIREMENT_PLAYER_HAS_FEATURE,FeatureType,FEATURE_ZHANGYE_DANXIA,,,,,
REQUIREMENT_PLOT_ADJACENT_FEATURE_TYPE_MATCHES,FeatureType,FEATURE_DEAD_SEA,,,,,
REQUIREMENT_PLOT_FEATURE_TYPE_MATCHES,FeatureType,,database,,1,,KIND_FEATURE
REQUIREMENT_PLAYER_RELIGION_NOT_RECEIVED,FoundingDelay,10,,,,,
REQUIREMENT_NEAR_RELIGIOUS_CITY,FriendlyCity,0,,,,,
REQUIREMENT_CITY_HAS_GOVERNMENT_BUILDING_TIER,GovernmentBuildingTier,Tier1,,,,,
REQUIREMENT_CITY_HAS_SPECIFIC_GOVERNOR_PROMOTION_TYPE,GovernorPromotionType,GOVERNOR_PROMOTION_AQUACULTURE,,,,,
REQUIREMENT_OPEN_BORDERS,GracePeriod,2,,,,,
REQUIREMENT_PLAYER_CAN_EVER_EARN_GREAT_PERSON_CLASS,GreatPersonClass,GREAT_PERSON_CLASS_PROPHET,,,,,
REQUIREMENT_PLAYER_HAS_GREAT_PERSON_CLASS,GreatPersonClass,GREAT_PERSON_CLASS_ADMIRAL,,,,,
REQUIREMENT_GREAT_PERSON_TYPE_MATCHES,GreatPersonClassType,GREAT_PERSON_CLASS_ADMIRAL,,,,,
REQUIREMENT_PLAYER_HAS_GREAT_PERSON,GreatPersonIndividual,GREAT_PERSON_INDIVIDUAL_ARTEMISIA,,,,,
REQUIREMENT_PLAYER_GOT_GREAT_PERSON,GreatPersonRatio,-1.2,,,,,
REQUIREMENT_PLAYER_HANDICAP_AT_OR_ABOVE,Handicap,DIFFICULTY_EMPEROR,,,,,
REQUIREMENT_PLAYER_HAPPINESS_LEAD,HappinessRatio,-1.3,,,,,
REQUIREMENT_CITY_HAS_X_TERRAIN_TYPE,Hills,1,,,,,
REQUIREMENT_PLAYER_IN_JOINT_EMERGENCY,HostileOnly,1,,,,,
REQUIREMENT_PLAYER_DEFAULT_DEFEAT,IgnoreCities,"If set, the requirement will ignore checking the player's cities.",bool,false,0,,
REQUIREMENT_PLAYER_DEFAULT_DEFEAT,IgnoreUnits,"If set, the requirement will ignore checking the player's units.",bool,false,0,,
REQUIREMENT_PLAYER_CIVILIZED,IgnoredCampValue,1,,,,,
REQUIREMENT_ATTACKER_PLOT_IMPROVEMENT_TYPE_MATCHES,ImprovementType,IMPROVEMENT_FORT,,,,,
REQUIREMENT_PLAYER_HAS_IMPROVEMENT,ImprovementType,IMPROVEMENT_MAHAVIHARA,,,,,
REQUIREMENT_PLOT_ADJACENT_IMPROVEMENT_TYPE_MATCHES,ImprovementType,IMPROVEMENT_CHATEAU,,,,,
REQUIREMENT_PLOT_IMPROVEMENT_TYPE_MATCHES,ImprovementType,IMPROVEMENT_CAMP,,,,,
REQUIREMENT_PLOT_ADJACENT_FRIENDLY_UNIT_TAG_MATCHES,IncludeCenter,0,Whether or not to include the center hex.,bool,true,0,
REQUIREMENT_PLOT_ADJACENT_FRIENDLY_UNIT_TYPE_MATCHES,IncludeCenter,1,Whether or not to include the center hex.,bool,false,0,
REQUIREMENT_PLOT_WONDER_IS_ERA,LatestEra,ERA_CLASSICAL,,,,,
REQUIREMENT_PLOT_UNIT_TYPE_MATCHES,LayerIndex,3,,,,,
REQUIREMENT_PLAYER_IS_SUZERAIN_OF_X,LeaderType,LEADER_MINOR_CIV_LAHORE,,,,,
REQUIREMENT_PLAYER_IS_SUZERAIN_X_TYPE,LeaderType,LEADER_MINOR_CIV_CULTURAL,,,,,
REQUIREMENT_PLAYER_LEADER_TYPE_MATCHES,LeaderType,,,,1,,KIND_LEADER
REQUIREMENT_PLAYER_HAS_ACTIVE_ALLIANCE_OF_AT_LEAST_LEVEL,Level,1,,,,,
REQUIREMENT_PLAYER_HAS_AT_LEAST_DIPLO_VIS_LEVEL,Level,3,,,,,
REQUIREMENT_PLAYER_IS_AT_LEAST_ALLIANCE_LEVEL_WITH_EMERGENCY_PLAYER,Level,2,,,,,
REQUIREMENT_PLAYER_CITY_STATE_PROTECTOR,LowerBound,-1,,,,,
REQUIREMENT_PLOT_ADJACENT_TO_OWNER,MaxDistance,1,,,,,
REQUIREMENT_PLOT_ADJACENT_TO_OWNER_AT_WAR,MaxDistance,1,,,,,
REQUIREMENT_PLOT_NEARBY_UNIT_TAG_MATCHES,MaxDistance,4,,,,,
REQUIREMENT_PLOT_NEAR_CAPITAL,MaxDistance,,int,999,1,,
REQUIREMENT_UNIT_PLOT_HAS_NATIONAL_PARK,MaxDistance,2,,,,,
REQUIREMENT_PLOT_ADJACENT_BUILDING_TYPE_MATCHES,MaxRange,4,,,,,
REQUIREMENT_PLOT_ADJACENT_DISTRICT_TYPE_MATCHES,MaxRange,8,,,,,
REQUIREMENT_PLOT_ADJACENT_FRIENDLY_TERRITORY,MaxRange,0,,,,,
REQUIREMENT_CITY_HAS_GARRISON_UNIT,MilitaryFormation,ARMY_MILITARY_FORMATION,,,,,
REQUIREMENT_PLAYER_IS_AT_PEACE,Min Turns,10,,,,,
REQUIREMENT_PLOT_ADJACENT_TO_OWNER,MinDistance,0,,,,,
REQUIREMENT_PLOT_ADJACENT_TO_OWNER_AT_WAR,MinDistance,1,,,,,
REQUIREMENT_PLOT_NEARBY_UNIT_TAG_MATCHES,MinDistance,0,,,,,
REQUIREMENT_PLOT_NEAR_CAPITAL,MinDistance,,int,0,1,,
REQUIREMENT_UNIT_PLOT_HAS_NATIONAL_PARK,MinDistance,0,,,,,
REQUIREMENT_PLAYER_DISTRICT_THRESHOLD,MinDistrictsNeeded,3,,,,,
REQUIREMENT_PLAYER_HAS_MANY_ALLIANCES,MinOwnerAlliances,1,,,,,
REQUIREMENT_PLOT_ADJACENT_BUILDING_TYPE_MATCHES,MinRange,0,,,,,
REQUIREMENT_PLOT_ADJACENT_DISTRICT_TYPE_MATCHES,MinRange,0,,,,,
REQUIREMENT_PLOT_ADJACENT_FRIENDLY_TERRITORY,MinRange,0,,,,,
REQUIREMENT_UNIT_DAMAGE_MINIMUM,MinimumAmount,1,,,,,
REQUIREMENT_PLOT_IS_APPEAL_BETWEEN,MinimumAppeal,2,,,,,
REQUIREMENT_PLAYER_COASTAL_CITIES,MinimumCities,3,,,,,
REQUIREMENT_PLAYER_MOUNTAIN_CITIES,MinimumCities,3,,,,,
REQUIREMENT_PLAYER_HAS_COMPLETED_PROJECT,MinimumCompletions,1,,,,,
REQUIREMENT_PLAYER_DIPLO_VP_LEAD,MinimumDelta,1,,,,,
REQUIREMENT_PLAYER_EXPLORATION_LEAD,MinimumDelta,5,,,,,
REQUIREMENT_PLAYER_FAVOR_LEAD,MinimumDelta,10,,,,,
REQUIREMENT_PLAYER_GOT_GREAT_PERSON,MinimumDelta,2,,,,,
REQUIREMENT_PLAYER_HAPPINESS_LEAD,MinimumDelta,2,,,,,
REQUIREMENT_PLAYER_INCOME_LEAD,MinimumDelta,0,,,,,
REQUIREMENT_PLAYER_MILITARY_STRENGTH_LEAD,MinimumDelta,5,,,,,
REQUIREMENT_PLAYER_PILLAGE_LEAD,MinimumDelta,5,,,,,
REQUIREMENT_PLAYER_POPULATION_LEAD,MinimumDelta,3,,,,,
REQUIREMENT_PLAYER_TOURISM_LEAD,MinimumDelta,100,,,,,
REQUIREMENT_PLAYER_YIELD_LEAD,MinimumDelta,5,,,,,
REQUIREMENT_OPPONENT_ERA_AT_LEAST,MinimumEra,,database,,1,,KIND_ERA
REQUIREMENT_OPPONENT_ERA_AT_LEAST,MinimumEraType,ERA_INFORMATION,,,,,
REQUIREMENT_PLAYER_HAS_GIVEN_INFLUENCE_TOKENS,MinimumTokens,1,,,,,
REQUIREMENT_CITY_HAS_BUILDING,MustBeFunctioning,0,,,,,
REQUIREMENT_CITY_HAS_DISTRICT,MustBeFunctioning,0,Require the district to be functioning (not pillaged).,bool,true,0,
REQUIREMENT_CITY_HAS_X_SPECIALTY_DISTRICTS,MustBeFunctioning,0,Require the district to be functioning (not pillaged).,bool,true,0,
REQUIREMENT_PLOT_ADJACENT_DISTRICT_TYPE_MATCHES,MustBeFunctioning,0,,,,,
REQUIREMENT_PLOT_DISTRICT_TAG_MATCHES,MustBeFunctioning,Require the district be functioning (not pillaged).,bool,false,0,,
REQUIREMENT_PLOT_DISTRICT_TYPE_MATCHES,MustBeFunctioning,Require the district be functioning (not pillaged).,bool,true,0,,
REQUIREMENT_PLOT_HAS_ANY_DISTRICT,MustBeFunctioning,Require that the district be functioning (not pillaged).,bool,true,0,,
REQUIREMENT_PLOT_UNIT_CITY_HAS_ANY_DISTRICT,MustBeFunctioning,Require that the district be functioning (not pillaged).,bool,true,0,,
REQUIREMENT_PLOT_UNIT_CITY_HAS_DISTRICT_SAME_OWNER,MustBeFunctioning,Require that the district be functioning (not pillaged).,bool,true,0,,
REQUIREMENT_PLAYER_CITY_STATE_PROTECTOR,NoLowerBound,1,,,,,
REQUIREMENT_PLAYER_CITY_STATE_PROTECTOR,NoUpperBound,1,,,,,
REQUIREMENT_CITY_LIBERATED,OnlyOwnersCity,0,,,,,
REQUIREMENT_CITY_OCCUPIED,OnlyOwnersCity,0,,,,,
REQUIREMENT_CITY_RAZED,OnlyOwnersCity,1,,,,,
REQUIREMENT_REQUIREMENTSET_IS_MET,OnlyOwnersCity,0,,,,,
REQUIREMENT_CIVILIZATION_LEVEL,OpponentCivLevel,CIVILIZATION_LEVEL_CITY_STATE,,,,,
REQUIREMENT_PLAYER_COMPETING_MINORS,PercentCompeting,50,,,,,
REQUIREMENT_PLAYER_COASTAL_CITIES,Percentage,40,,,,,
REQUIREMENT_PLAYER_MOUNTAIN_CITIES,Percentage,35,,,,,
REQUIREMENT_PLAYER_POPULATION_LEAD,PopulationRatio,-1.1,,,,,
REQUIREMENT_PLAYER_HAS_COMPLETED_PROJECT,ProjectType,PROJECT_LAUNCH_EARTH_SATELLITE,,,,,
REQUIREMENT_PLAYER_DIPLO_VP_LEAD,Ratio,-1.5,,,,,
REQUIREMENT_PLAYER_FAVOR_LEAD,Ratio,-1.3,,,,,
REQUIREMENT_PLAYER_PILLAGE_LEAD,Ratio,-1.3,,,,,
REQUIREMENT_PLAYER_TOURISM_LEAD,Ratio,-1.3,,,,,
REQUIREMENT_COLLECTION_ALL_MET,RequirementSetId,CULTURE_VICTORY_ENOUGH_TOURISTS_REQUIREMENTS,,,,,
REQUIREMENT_COLLECTION_ANY_MET,RequirementSetId,CULTURE_VICTORY_PER_MEMBER_REQUIREMENTS,,,,,
REQUIREMENT_REQUIREMENTSET_IS_MET,RequirementSetId,AOE_ATOMIC_REQUIREMENTS,,,,,
REQUIREMENT_PLOT_ADJACENT_RESOURCE_CLASS_TYPE_MATCHES,ResourceClassType,RESOURCECLASS_LUXURY,,,,,
REQUIREMENT_PLOT_IMPROVED_RESOURCE_CLASS_TYPE_MATCHES,ResourceClassType,RESOURCECLASS_LUXURY,,,,,
REQUIREMENT_PLOT_RESOURCE_CLASS_TYPE_MATCHES,ResourceClassType,RESOURCECLASS_BONUS,,,,,
REQUIREMENT_CITY_HAS_RESOURCE_TYPE_IMPROVED,ResourceType,RESOURCE_ALUMINUM,,,,,
REQUIREMENT_PLAYER_HAS_RESOURCE_IMPROVED,ResourceType,RESOURCE_ALUMINUM,,,,,
REQUIREMENT_PLAYER_HAS_RESOURCE_OWNED,ResourceType,RESOURCE_ALUMINUM,,,,,
REQUIREMENT_PLAYER_HAS_RESOURCE_VISIBILITY,ResourceType,RESOURCE_ALUMINUM,,,,,
REQUIREMENT_PLOT_RESOURCE_TYPE_MATCHES,ResourceType,RESOURCE_MAIZE,,,,,
REQUIREMENT_UNIT_PLOT_HAS_NATIONAL_PARK,SameOwner,0,,,,,
REQUIREMENT_PLAYER_IS_SHARING_INFO,SharingInfoWell,0,,,,,
REQUIREMENT_PLAYER_MILITARY_STRENGTH_LEAD,StrengthRatio,-1.2,,,,,
REQUIREMENT_OPPONENT_UNIT_TAG_MATCHES,Tag,CLASS_ANTI_AIR,,,,,
REQUIREMENT_PLAYER_LEADER_TAG_MATCHES,Tag,,text,,1,,
REQUIREMENT_PLOT_ADJACENT_FRIENDLY_UNIT_TAG_MATCHES,Tag,CLASS_DRONE,The tag to match against.,text,,1,
REQUIREMENT_PLOT_DISTRICT_TAG_MATCHES,Tag,The tag to check that the district contains.,text,,1,,
REQUIREMENT_PLOT_FEATURE_TAG_MATCHES,Tag,CLASS_FLOODPLAINS,,,,,
REQUIREMENT_PLOT_NEARBY_UNIT_TAG_MATCHES,Tag,CLASS_TRADER,,,,,
REQUIREMENT_PLOT_RESOURCE_TAG_MATCHES,Tag,CLASS_GODDESS_OF_FESTIVALS,,,,,
REQUIREMENT_UNIT_TAG_MATCHES,Tag,CLASS_GIANT_DEATH_ROBOT,,,,,
REQUIREMENT_PLAYER_FINISHED_RESEARCH,TechCivicDifferential,-3,,,,,
REQUIREMENT_PLAYER_HAS_TECHNOLOGY,TechnologyType,TECH_ADVANCED_AI,,,,,
REQUIREMENT_PLOT_TERRAIN_CLASS_MATCHES,TerrainClass,TERRAIN_CLASS_DESERT,The terrain class expected.,database,,1,KIND_TERRAIN_CLASS
REQUIREMENT_CITY_HAS_X_TERRAIN_TYPE,TerrainType,TERRAIN_SNOW,,,,,
REQUIREMENT_PLOT_TERRAIN_TYPE_MATCHES,TerrainType,TERRAIN_COAST,,,,,
REQUIREMENT_PLAYER_CIVILIZED,TotalScoreThreshold,0,,,,,
REQUIREMENT_PLAYER_NUKE_LOVER,TotalScoreThreshold,0,,,,,
REQUIREMENT_GAME_HAS_CIVILIZATION_OR_LEADER_TRAIT,TraitType,TRAIT_CIVILIZATION_NOBEL_PRIZE,,,,,
REQUIREMENT_PLAYER_HAS_CIVILIZATION_OR_LEADER_TRAIT,TraitType,TRAIT_CIVILIZATION_NOBEL_PRIZE,,,,,
REQUIREMENT_CITY_TRANSFER_TYPE_MATCHES,TransferType,"BY_COMBAT, BY_GIFT, BY_LIBERATION, BY_CULTURAL_IDENTITY, BY_SETTLER",text,,0,,
REQUIREMENT_PLAYER_MET_X_TURNS_AGO,TurnsAgo,10,,,,,
REQUIREMENT_OPPONENT_ERA_AGE_MATCHES,Type,GOLDEN,"Type of Age: GOLDEN, DARK, NONE",text,NONE,1,
REQUIREMENT_OPPONENT_UNIT_DOMAIN_MATCHES,UnitDomain,DOMAIN_AIR,,,,,
REQUIREMENT_UNIT_DOMAIN_MATCHES,UnitDomain,DOMAIN_AIR,,,,,
REQUIREMENT_OPPONENT_UNIT_PROMOTION_CLASS_MATCHES,UnitPromotionClass,PROMOTION_CLASS_AIR_BOMBER,,,,,
REQUIREMENT_UNIT_PROMOTION_CLASS_MATCHES,UnitPromotionClass,PROMOTION_CLASS_ANTI_CAVALRY,,,,,
REQUIREMENT_PLAYER_DEFAULT_DEFEAT,UnitType,"If defined, the player must possess at least 1 'UnitType' or (if IgnoreCities is false) the player must possess at least one city.",database,UNIT_SETTLER,0,,KIND_UNIT
REQUIREMENT_PLOT_ADJACENT_FRIENDLY_UNIT_TYPE_MATCHES,UnitType,The unit type to match against.  Includes replacement types but not base types.,database,,1,,KIND_UNIT
REQUIREMENT_PLOT_UNIT_TYPE_MATCHES,UnitType,UNIT_APOSTLE,,,,,
REQUIREMENT_UNIT_TYPE_MATCHES,UnitType,UNIT_APOSTLE,,,,,
REQUIREMENT_PLAYER_CITY_STATE_PROTECTOR,UpperBound,-1,,,,,
REQUIREMENT_PLAYER_NUKE_LOVER,UsedNukeValue,1,,,,,
REQUIREMENT_GAME_VICTORY_ENABLED,VictoryType,VICTORY_CONQUEST,,,,,
REQUIREMENT_PLAYER_DECLARED_WAR,WarType,JOINT_WAR,,,,,
REQUIREMENT_UNIT_ON_COAST,Water,1,,,,,
REQUIREMENT_PLAYER_DECLARED_WAR,WhileMet,1,,,,,
REQUIREMENT_PLAYER_BUILT_WONDER,WonderRatio,-1.2,,,,,
REQUIREMENT_CITY_LOCATION_MATCHES,X,,int,,1,,
REQUIREMENT_CITY_LOCATION_MATCHES,Y,,int,,1,,
REQUIREMENT_PLAYER_INCOME_LEAD,YieldRatio,-1.3,,,,,
REQUIREMENT_PLAYER_YIELD_LEAD,YieldRatio,-1.15,,,,,
REQUIREMENT_CITY_HAS_HIGH_ADJACENCY_DISTRICT,YieldType,YIELD_CULTURE,,,,,
REQUIREMENT_PLAYER_YIELD_LEAD,YieldType,YIELD_CULTURE,,,,,
REQUIREMENT_ALLIANCE_AT_WAR_WITH_COMBAT_TARGET,,,,,,,
REQUIREMENT_ALLIANCE_CITY_HAS_TRADE_ROUTE_WITH_ALLY,,,,,,,
REQUIREMENT_ALLY,,,,,,,
REQUIREMENT_ALWAYS_MET,,,,,,,
REQUIREMENT_CITY_CONVERTED,,,,,,,
REQUIREMENT_CITY_FOLLOWS_PANTHEON,,,,,,,
REQUIREMENT_CITY_FOLLOWS_RELIGION,,,,,,,
REQUIREMENT_CITY_HAS_ANY_WONDER,,,,,,,
REQUIREMENT_CITY_HAS_FULL_LOYALTY,,,,,,,
REQUIREMENT_CITY_HAS_GARRISON_UNIT,,,,,,,
REQUIREMENT_CITY_HAS_GOVERNOR,,,,,,,
REQUIREMENT_CITY_HAS_NATIONAL_PARK,,,,,,,
REQUIREMENT_CITY_IS_ORIGINAL_OWNER,,,,,,,
REQUIREMENT_CITY_IS_OWNER_CAPITAL_CONTINENT,,,,,,,
REQUIREMENT_CITY_IS_POWERED,,,,,,,
REQUIREMENT_CITY_OCCUPIED,,,,,,,
REQUIREMENT_CITY_OCCUPIED_FRIEND,,,,,,,
REQUIREMENT_CITY_OWNER_ALLY_AT_WAR,,,,,,,
REQUIREMENT_COMBAT_ATTACKER_IS_EMERGENCY_MEMBER,,,,,,,
REQUIREMENT_COMBAT_ATTACKER_IS_EMERGENCY_MEMBER_WITH_SCORE,,,,,,,
REQUIREMENT_COMBAT_ATTACKER_IS_PLAYER,,,,,,,
REQUIREMENT_COMBAT_DEFENDER_IS_EMERGENCY_MEMBER,,,,,,,
REQUIREMENT_COMBAT_DEFENDER_IS_EMERGENCY_MEMBER_WITH_SCORE,,,,,,,
REQUIREMENT_COMBAT_DEFENDER_IS_PLAYER,,,,,,,
REQUIREMENT_COMBAT_ENEMY_NOT_ALLIANCE_RELIGION,,,,,,,
REQUIREMENT_CULTURE_BOMBED,,,,,,,
REQUIREMENT_DECLARED_FRIEND,,,,,,,
REQUIREMENT_DEFENSIVE_PACT,,,,,,,
REQUIREMENT_DELEGATION,,,,,,,
REQUIREMENT_DEMAND_RECEIVED,,,,,,,
REQUIREMENT_DENOUNCED,,,,,,,
REQUIREMENT_DENOUNCED_FRIEND,,,,,,,
REQUIREMENT_ESPIONAGE_DETECTED,,,,,,,
REQUIREMENT_FOUNDED_NO_RELIGION,,,,,,,
REQUIREMENT_GAME_TURN_MAX_REACHED,,,,,,,
REQUIREMENT_HAD_FRIENDLY_MEETING,,,,,,,
REQUIREMENT_NEAR_CULTURE_BORDER,,,,,,,
REQUIREMENT_NEVER_MET,,,,,,,
REQUIREMENT_OPEN_BORDERS,,,,,,,
REQUIREMENT_OPPONENT_IS_BARBARIAN,,,,,,,
REQUIREMENT_OPPONENT_IS_DISTRICT,,,,,,,
REQUIREMENT_OPPONENT_IS_FORTIFIED,,,,,,,
REQUIREMENT_OPPONENT_IS_FREE_CITY,,,,,,,
REQUIREMENT_OPPONENT_IS_MINOR_CIV,,,,,,,
REQUIREMENT_OPPONENT_IS_OTHER_RELIGION,,,,,,,
REQUIREMENT_OPPONENT_IS_STRONGER,,,,,,,
REQUIREMENT_OPPONENT_IS_WOUNDED,,,,,,,
REQUIREMENT_OPPONENT_UNIT_PROMOTION_CLASS_MATCHES,,,,,,,
REQUIREMENT_OPPONENT_WAS_KILLED,,,,,,,
REQUIREMENT_PLAYER_ALWAYS_ALLOWED_COMMEMORATION_QUEST,,,,,,,
REQUIREMENT_PLAYER_ATTACKED_CONTINENT,,,,,,,
REQUIREMENT_PLAYER_AT_WAR_AND_HAS_MET,,,,,,,
REQUIREMENT_PLAYER_AT_WAR_WITH_EMERGENCY_MEMBER,,,,,,,
REQUIREMENT_PLAYER_AT_WAR_WITH_NEIGHBOR,,,,,,,
REQUIREMENT_PLAYER_BUILT_NEW_WONDER,,,,,,,
REQUIREMENT_PLAYER_CONQUERING_ALLYING_MINORS,,,,,,,
REQUIREMENT_PLAYER_DEAL_ENACTED,,,,,,,
REQUIREMENT_PLAYER_DECLARED_WAR,,,,,,,
REQUIREMENT_PLAYER_DEFAULT_DEFEAT,,,,,,,
REQUIREMENT_PLAYER_FOUNDED_NO_RELIGION,,,,,,,
REQUIREMENT_PLAYER_FOUNDED_OUR_RELIGION,,,,,,,
REQUIREMENT_PLAYER_GOT_FIRST_PLACE_IN_EMERGENCY,,,,,,,
REQUIREMENT_PLAYER_GOT_HIGH_TIER_SCORE_IN_EMERGENCY,,,,,,,
REQUIREMENT_PLAYER_GOT_LOW_TIER_SCORE_IN_EMERGENCY,,,,,,,
