CivicType,Name,Cost,Repeatable,Description,EraType,BarbarianFree,UITreeRow,AdvisorType,EmbarkAll,EmbarkUnitType
CIVIC_NATIONALISM,LOC_CIVIC_NATIONALISM_NAME,1010,0,LOC_CIVIC_NATIONALISM_DESCRIPTION,ERA_INDUSTRIAL,0,0,ADVISOR_CONQUEST,0,
CIVIC_OPERA_BALLET,LOC_CIVIC_OPERA_BALLET_NAME,800,0,,ERA_INDUSTRIAL,0,2,ADVISOR_CULTURE,0,
CIVIC_NATURAL_HISTORY,LOC_CIVIC_NATURAL_HISTORY_NAME,1050,0,,ERA_INDUSTRIAL,0,-3,ADVISOR_CULTURE,0,
CIVIC_SCORCHED_EARTH,LOC_CIVIC_SCORCHED_EARTH_NAME,1210,0,,ERA_INDUSTRIAL,0,2,ADVISOR_CONQUEST,0,
CIVIC_URBANIZATION,LOC_CIVIC_URBANIZATION_NAME,1210,0,,ERA_INDUSTRIAL,0,-1,ADVISOR_GENERIC,0,
CIVIC_CONSERVATION,LOC_CIVIC_CONSERVATION_NAME,1540,0,LOC_CIVIC_CONSERVATION_DESCRIPTION,ERA_MODERN,0,-3,ADVISOR_CULTURE,0,
CIVIC_CAPITALISM,LOC_CIVIC_CAPITALISM_NAME,1580,0,,ERA_MODERN,0,-2,ADVISOR_GENERIC,0,
CIVIC_NUCLEAR_PROGRAM,LOC_CIVIC_NUCLEAR_PROGRAM_NAME,1715,0,,ERA_MODERN,0,-2,ADVISOR_TECHNOLOGY,0,
CIVIC_MASS_MEDIA,LOC_CIVIC_MASS_MEDIA_NAME,1540,0,,ERA_MODERN,0,-1,ADVISOR_CULTURE,0,
CIVIC_MOBILIZATION,LOC_CIVIC_MOBILIZATION_NAME,1540,0,LOC_CIVIC_MOBILIZATION_DESCRIPTION,ERA_MODERN,0,1,ADVISOR_CONQUEST,0,
CIVIC_IDEOLOGY,LOC_CIVIC_IDEOLOGY_NAME,1640,0,LOC_CIVIC_IDEOLOGY_DESCRIPTION,ERA_MODERN,0,-1,ADVISOR_GENERIC,0,
CIVIC_SUFFRAGE,LOC_CIVIC_SUFFRAGE_NAME,1640,0,,ERA_MODERN,0,0,ADVISOR_GENERIC,0,
CIVIC_TOTALITARIANISM,LOC_CIVIC_TOTALITARIANISM_NAME,1640,0,,ERA_MODERN,0,2,ADVISOR_GENERIC,0,
CIVIC_CLASS_STRUGGLE,LOC_CIVIC_CLASS_STRUGGLE_NAME,1640,0,,ERA_MODERN,0,3,ADVISOR_TECHNOLOGY,0,
CIVIC_COLD_WAR,LOC_CIVIC_COLD_WAR_NAME,2185,0,LOC_CIVIC_COLD_WAR_DESCRIPTION,ERA_ATOMIC,0,-1,ADVISOR_CULTURE,0,
CIVIC_PROFESSIONAL_SPORTS,LOC_CIVIC_PROFESSIONAL_SPORTS_NAME,2185,0,,ERA_ATOMIC,0,2,ADVISOR_GENERIC,0,
CIVIC_CULTURAL_HERITAGE,LOC_CIVIC_CULTURAL_HERITAGE_NAME,1955,0,,ERA_ATOMIC,0,-3,ADVISOR_CULTURE,0,
CIVIC_RAPID_DEPLOYMENT,LOC_CIVIC_RAPID_DEPLOYMENT_NAME,2415,0,LOC_CIVIC_RAPID_DEPLOYMENT_DESCRIPTION,ERA_ATOMIC,0,-1,ADVISOR_CONQUEST,0,
CIVIC_SPACE_RACE,LOC_CIVIC_SPACE_RACE_NAME,2415,0,,ERA_ATOMIC,0,1,ADVISOR_CULTURE,0,
CIVIC_GLOBALIZATION,LOC_CIVIC_GLOBALIZATION_NAME,2880,0,LOC_CIVIC_GLOBALIZATION_DESCRIPTION,ERA_INFORMATION,0,0,ADVISOR_TECHNOLOGY,0,
CIVIC_SOCIAL_MEDIA,LOC_CIVIC_SOCIAL_MEDIA_NAME,2880,0,,ERA_INFORMATION,0,2,ADVISOR_CULTURE,0,
CIVIC_FUTURE_CIVIC,LOC_CIVIC_FUTURE_CIVIC_NAME,3500,1,LOC_CIVIC_FUTURE_CIVIC_XP2_DESCRIPTION,ERA_FUTURE,0,1,ADVISOR_CULTURE,0,
CIVIC_ENVIRONMENTALISM,LOC_CIVIC_ENVIRONMENTALISM_NAME,2880,0,LOC_CIVIC_ENVIRONMENTALISM_DESCRIPTION,ERA_INFORMATION,0,-2,ADVISOR_GENERIC,0,
CIVIC_CORPORATE_LIBERTARIANISM,LOC_CIVIC_CORPORATE_LIBERTARIANISM_NAME,3000,0,,ERA_INFORMATION,0,0,ADVISOR_GENERIC,0,
CIVIC_DIGITAL_DEMOCRACY,LOC_CIVIC_DIGITAL_DEMOCRACY_NAME,3000,0,,ERA_INFORMATION,0,1,ADVISOR_GENERIC,0,
CIVIC_SYNTHETIC_TECHNOCRACY,LOC_CIVIC_SYNTHETIC_TECHNOCRACY_NAME,3000,0,,ERA_INFORMATION,0,2,ADVISOR_GENERIC,0,
CIVIC_NEAR_FUTURE_GOVERNANCE,LOC_CIVIC_NEAR_FUTURE_GOVERNANCE_NAME,3100,0,,ERA_INFORMATION,0,-1,ADVISOR_GENERIC,0,
CIVIC_GLOBAL_WARMING_MITIGATION,LOC_CIVIC_GLOBAL_WARMING_MITIGATION_NAME,3200,0,LOC_CIVIC_GLOBAL_WARMING_MITIGATION_DESCRIPTION,ERA_FUTURE,0,-2,ADVISOR_GENERIC,0,
CIVIC_SMART_POWER_DOCTRINE,LOC_CIVIC_SMART_POWER_DOCTRINE_NAME,3200,0,,ERA_FUTURE,0,-1,ADVISOR_GENERIC,0,
CIVIC_INFORMATION_WARFARE,LOC_CIVIC_INFORMATION_WARFARE_NAME,3200,0,,ERA_FUTURE,0,0,ADVISOR_GENERIC,0,
CIVIC_EXODUS_IMPERATIVE,LOC_CIVIC_EXODUS_IMPERATIVE_NAME,3200,0,,ERA_FUTURE,0,1,ADVISOR_GENERIC,0,
CIVIC_CULTURAL_HEGEMONY,LOC_CIVIC_CULTURAL_HEGEMONY_NAME,3200,0,,ERA_FUTURE,0,2,ADVISOR_GENERIC,0,
