DistrictType,Name,PrereqTech,PrereqCivic,Coast,Description,Cost,RequiresPlacement,RequiresPopulation,NoAdjacentCity,CityCenter,Aqueduct,InternalOnly,ZOC,FreeEmbark,HitPoints,CaptureRemovesBuildings,CaptureRemovesCityDefenses,PlunderType,PlunderAmount,TradeEmbark,MilitaryDomain,CostProgressionModel,CostProgressionParam1,TraitType,Appeal,Housing,Entertainment,OnePerCity,AllowsHolyCity,Maintenance,AirSlots,CitizenSlots,TravelTime,CityStrengthModifier,AdjacentToLand,CanAttack,AdvisorType,CaptureRemovesDistrict,MaxPerPlayer
DISTRICT_WONDER,LOC_WONDER_NAME,,,0,LOC_WONDER_DESCRIPTION,0,0,0,0,0,0,1,0,0,0,0,0,NO_PLUNDER,0,0,NO_DOMAIN,NO_COST_PROGRESSION,0,,1,0,0,1,0,0,0,,-1,0,0,0,,0,-1.0
DISTRICT_ACROPOLIS,LOC_DISTRICT_ACROPOLIS_NAME,,CIVIC_DRAMA_POETRY,0,LOC_DISTRICT_ACROPOLIS_EXPANSION2_DESCRIPTION,27,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_CULTURE,25,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,TRAIT_CIVILIZATION_DISTRICT_ACROPOLIS,1,0,0,1,0,1,0,,-1,2,0,0,ADVISOR_CULTURE,0,-1.0
DISTRICT_BATH,LOC_DISTRICT_BATH_NAME,TECH_ENGINEERING,,0,LOC_DISTRICT_BATH_EXPANSION2_ALT_DESCRIPTION,18,1,0,0,0,1,0,0,0,0,0,0,PLUNDER_GOLD,50,0,NO_DOMAIN,COST_PROGRESSION_GAME_PROGRESS,1000,TRAIT_CIVILIZATION_DISTRICT_BATH,0,2,1,1,0,0,0,,-1,0,0,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_HANSA,LOC_DISTRICT_HANSA_NAME,TECH_APPRENTICESHIP,,0,LOC_DISTRICT_HANSA_EXPANSION2_DESCRIPTION,27,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_SCIENCE,25,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,TRAIT_CIVILIZATION_DISTRICT_HANSA,-1,0,0,1,0,1,0,,-1,2,0,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_LAVRA,LOC_DISTRICT_LAVRA_NAME,TECH_ASTROLOGY,,0,LOC_DISTRICT_LAVRA_DESCRIPTION,27,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_FAITH,25,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,TRAIT_CIVILIZATION_DISTRICT_LAVRA,1,0,0,1,1,1,0,,-1,2,0,0,ADVISOR_RELIGIOUS,0,-1.0
DISTRICT_MBANZA,LOC_DISTRICT_MBANZA_NAME,,CIVIC_GUILDS,0,LOC_DISTRICT_MBANZA_DESCRIPTION,27,1,0,0,0,0,0,1,0,0,0,0,PLUNDER_GOLD,50,0,NO_DOMAIN,COST_PROGRESSION_GAME_PROGRESS,1000,TRAIT_CIVILIZATION_MBANZA,0,5,0,0,0,0,0,,-1,2,0,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_STREET_CARNIVAL,LOC_DISTRICT_STREET_CARNIVAL_NAME,,CIVIC_GAMES_RECREATION,0,LOC_DISTRICT_STREET_CARNIVAL_EXPANSION2_DESCRIPTION,27,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_HEAL,50,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,TRAIT_CIVILIZATION_STREET_CARNIVAL,1,0,2,1,0,1,0,,-1,2,0,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_ROYAL_NAVY_DOCKYARD,LOC_DISTRICT_ROYAL_NAVY_DOCKYARD_NAME,TECH_CELESTIAL_NAVIGATION,,1,LOC_DISTRICT_ROYAL_NAVY_DOCKYARD_EXPANSION2_DESCRIPTION,27,1,1,0,0,0,0,0,1,0,0,0,PLUNDER_GOLD,50,1,DOMAIN_SEA,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,TRAIT_CIVILIZATION_ROYAL_NAVY_DOCKYARD,0,0,0,1,0,0,0,,2,2,1,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_IKANDA,LOC_DISTRICT_IKANDA_NAME,TECH_BRONZE_WORKING,,0,LOC_DISTRICT_IKANDA_DESCRIPTION,27,1,1,1,0,0,0,1,0,100,1,0,NO_PLUNDER,0,0,DOMAIN_LAND,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,TRAIT_CIVILIZATION_DISTRICT_IKANDA,-1,1,0,1,0,1,0,,-1,2,0,0,ADVISOR_CONQUEST,0,-1.0
DISTRICT_SEOWON,LOC_DISTRICT_SEOWON_NAME,TECH_WRITING,,0,LOC_DISTRICT_SEOWON_DESCRIPTION,27,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_SCIENCE,25,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,TRAIT_CIVILIZATION_DISTRICT_SEOWON,0,0,0,1,0,1,0,,-1,2,0,0,ADVISOR_TECHNOLOGY,0,-1.0
DISTRICT_GOVERNMENT,LOC_DISTRICT_GOVERNMENT_NAME,,CIVIC_STATE_WORKFORCE,0,LOC_DISTRICT_GOVERNMENT_DESCRIPTION,30,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_CULTURE,25,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,25,,0,0,0,1,0,1,0,,-1,2,0,0,ADVISOR_GENERIC,1,1.0
DISTRICT_WATER_ENTERTAINMENT_COMPLEX,LOC_DISTRICT_WATER_ENTERTAINMENT_COMPLEX_NAME,,CIVIC_NATURAL_HISTORY,1,LOC_DISTRICT_WATER_ENTERTAINMENT_COMPLEX_DESCRIPTION,54,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_HEAL,50,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,,1,0,1,1,0,1,0,,-1,2,1,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_WATER_STREET_CARNIVAL,LOC_DISTRICT_WATER_STREET_CARNIVAL_EXPANSION2_NAME,,CIVIC_NATURAL_HISTORY,1,LOC_DISTRICT_WATER_STREET_CARNIVAL_EXPANSION2_DESCRIPTION,27,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_HEAL,50,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,TRAIT_CIVILIZATION_STREET_CARNIVAL,1,0,2,1,0,1,0,,-1,2,1,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_CANAL,LOC_DISTRICT_CANAL_NAME,TECH_STEAM_POWER,,0,LOC_DISTRICT_CANAL_DESCRIPTION,81,1,0,0,0,0,0,0,0,0,0,0,PLUNDER_GOLD,50,0,NO_DOMAIN,COST_PROGRESSION_GAME_PROGRESS,1000,,1,0,0,0,0,0,0,,-1,0,0,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_DAM,LOC_DISTRICT_DAM_NAME,TECH_BUTTRESS,,0,LOC_DISTRICT_DAM_DESCRIPTION,81,1,0,0,0,0,0,0,0,0,0,0,PLUNDER_HEAL,50,0,NO_DOMAIN,COST_PROGRESSION_GAME_PROGRESS,1000,,1,3,1,0,0,0,0,,-1,0,0,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_COTHON,LOC_DISTRICT_COTHON_NAME,TECH_CELESTIAL_NAVIGATION,,1,LOC_DISTRICT_COTHON_DESCRIPTION,27,1,1,0,0,0,0,0,1,0,0,0,PLUNDER_GOLD,50,1,DOMAIN_SEA,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,TRAIT_CIVILIZATION_DISTRICT_COTHON,0,0,0,1,0,0,0,,2,2,1,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_SUGUBA,LOC_DISTRICT_SUGUBA_NAME,TECH_CURRENCY,,0,LOC_DISTRICT_SUGUBA_DESCRIPTION,27,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_GOLD,50,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,TRAIT_CIVILIZATION_DISTRICT_SUGUBA,0,0,0,1,0,0,0,,3,2,0,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_OBSERVATORY,LOC_DISTRICT_OBSERVATORY_NAME,TECH_WRITING,,0,LOC_DISTRICT_OBSERVATORY_DESCRIPTION,27,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_SCIENCE,25,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,TRAIT_CIVILIZATION_DISTRICT_OBSERVATORY,0,0,0,1,0,1,0,,-1,2,0,0,ADVISOR_TECHNOLOGY,0,-1.0
DISTRICT_HIPPODROME,LOC_DISTRICT_HIPPODROME_NAME,,CIVIC_GAMES_RECREATION,0,LOC_DISTRICT_HIPPODROME_EXPANSION2_DESCRIPTION,27,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_HEAL,50,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,TRAIT_CIVILIZATION_DISTRICT_HIPPODROME,1,0,3,1,0,1,0,,-1,2,0,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_OPPIDUM,LOC_DISTRICT_OPPIDUM_NAME,TECH_IRON_WORKING,,0,LOC_DISTRICT_OPPIDUM_DESCRIPTION,27,1,1,0,0,0,0,1,0,100,1,0,NO_PLUNDER,0,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,TRAIT_CIVILIZATION_DISTRICT_OPPIDUM,-1,0,0,1,0,1,0,,-1,2,0,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_THANH,LOC_DISTRICT_THANH_NAME,TECH_BRONZE_WORKING,,0,LOC_DISTRICT_THANH_DESCRIPTION,27,1,0,1,0,0,0,1,0,100,1,0,NO_PLUNDER,0,0,DOMAIN_LAND,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,40,TRAIT_CIVILIZATION_DISTRICT_THANH,-1,0,0,1,0,1,0,,-1,2,0,0,ADVISOR_CONQUEST,0,-1.0
DISTRICT_PRESERVE,LOC_DISTRICT_PRESERVE_NAME,,CIVIC_MYSTICISM,0,LOC_DISTRICT_PRESERVE_DESCRIPTION,54,1,1,1,0,0,0,1,0,0,0,0,PLUNDER_GOLD,50,0,NO_DOMAIN,COST_PROGRESSION_GAME_PROGRESS,1000,,1,1,0,1,0,0,0,,-1,0,0,0,ADVISOR_GENERIC,0,-1.0
DISTRICT_DIPLOMATIC_QUARTER,LOC_DISTRICT_DIPLOMATIC_QUARTER_NAME,TECH_MATHEMATICS,,0,LOC_DISTRICT_DIPLOMATIC_QUARTER_EXPANSION2_DESCRIPTION,30,1,1,0,0,0,0,0,0,0,0,0,PLUNDER_CULTURE,25,0,NO_DOMAIN,COST_PROGRESSION_NUM_UNDER_AVG_PLUS_TECH,25,,0,0,0,1,0,1,0,,-1,2,0,0,ADVISOR_GENERIC,1,1.0
