TechnologyType,Quote,QuoteAudio
TECH_THE_WHEEL,LOC_TECH_THE_WHEEL_QUOTE_1,Play_The_Wheel_Quote_1
TECH_THE_WHEEL,LOC_TECH_THE_WHEEL_QUOTE_2,Play_The_Wheel_Quote_2
TECH_CELESTIAL_NAVIGATION,LOC_TECH_CELESTIAL_NAVIGATION_QUOTE_1,Play_Celestial_Navigation_Quote_1
TECH_CELESTIAL_NAVIGATION,LOC_TECH_CELESTIAL_NAVIGATION_QUOTE_2,Play_Celestial_Navigation_Quote_2
TECH_CURRENCY,LOC_TECH_CURRENCY_QUOTE_1,Play_Currency_Quote_1
TECH_CURRENCY,LOC_TECH_CURRENCY_QUOTE_2,Play_Currency_Quote_2
TECH_HORSEBACK_RIDING,LOC_TECH_HORSEBACK_RIDING_QUOTE_1,Play_Horseback_Riding_Quote_1
TECH_HORSEBACK_RIDING,LOC_TECH_HORSEBACK_RIDING_QUOTE_2,Play_Horseback_Riding_Quote_2
TECH_IRON_WORKING,LOC_TECH_IRON_WORKING_QUOTE_1,Play_Iron_Working_Quote_1
TECH_IRON_WORKING,LOC_TECH_IRON_WORKING_QUOTE_2,Play_Iron_Working_Quote_2
TECH_SHIPBUILDING,LOC_TECH_SHIPBUILDING_QUOTE_1,Play_Shipbuilding_Quote_1
TECH_SHIPBUILDING,LOC_TECH_SHIPBUILDING_QUOTE_2,Play_Shipbuilding_Quote_2
TECH_MATHEMATICS,LOC_TECH_MATHEMATICS_QUOTE_1,Play_Mathematics_Quote_1
TECH_MATHEMATICS,LOC_TECH_MATHEMATICS_QUOTE_2,Play_Mathematics_Quote_2
TECH_CONSTRUCTION,LOC_TECH_CONSTRUCTION_QUOTE_1,Play_Construction_Quote_1
TECH_CONSTRUCTION,LOC_TECH_CONSTRUCTION_QUOTE_2,Play_Construction_Quote_2
TECH_ENGINEERING,LOC_TECH_ENGINEERING_QUOTE_1,Play_Engineering_Quote_1
TECH_ENGINEERING,LOC_TECH_ENGINEERING_QUOTE_2,Play_Engineering_Quote_2
TECH_MILITARY_TACTICS,LOC_TECH_MILITARY_TACTICS_QUOTE_1,Play_Military_Tactics_Quote_1
TECH_MILITARY_TACTICS,LOC_TECH_MILITARY_TACTICS_QUOTE_2,Play_Military_Tactics_Quote_2
TECH_APPRENTICESHIP,LOC_TECH_APPRENTICESHIP_QUOTE_1,Play_Apprenticeship_Quote_1
TECH_APPRENTICESHIP,LOC_TECH_APPRENTICESHIP_QUOTE_2,Play_Apprenticeship_Quote_2
TECH_STIRRUPS,LOC_TECH_STIRRUPS_QUOTE_1,Play_Stirrups_Quote_1
TECH_STIRRUPS,LOC_TECH_STIRRUPS_QUOTE_2,Play_Stirrups_Quote_2
TECH_MACHINERY,LOC_TECH_MACHINERY_QUOTE_1,Play_Machinery_Quote_1
TECH_MACHINERY,LOC_TECH_MACHINERY_QUOTE_2,Play_Machinery_Quote_2
TECH_EDUCATION,LOC_TECH_EDUCATION_QUOTE_1,Play_Education_Quote_1
TECH_EDUCATION,LOC_TECH_EDUCATION_QUOTE_2,Play_Education_Quote_2
TECH_MILITARY_ENGINEERING,LOC_TECH_MILITARY_ENGINEERING_QUOTE_1,Play_Military_Engineering_Quote_1
TECH_MILITARY_ENGINEERING,LOC_TECH_MILITARY_ENGINEERING_QUOTE_2,Play_Military_Engineering_Quote_2
TECH_CASTLES,LOC_TECH_CASTLES_QUOTE_1,Play_Castles_Quote_1
TECH_CASTLES,LOC_TECH_CASTLES_QUOTE_2,Play_Castles_Quote_2
TECH_CARTOGRAPHY,LOC_TECH_CARTOGRAPHY_QUOTE_2,Play_Cartography_Quote_2
TECH_MASS_PRODUCTION,LOC_TECH_MASS_PRODUCTION_QUOTE_1,Play_Mass_Production_Quote_1
TECH_MASS_PRODUCTION,LOC_TECH_MASS_PRODUCTION_QUOTE_2,Play_Mass_Production_Quote_2
TECH_BANKING,LOC_TECH_BANKING_QUOTE_1,Play_Banking_Quote_1
TECH_BANKING,LOC_TECH_BANKING_QUOTE_2,Play_Banking_Quote_2
TECH_GUNPOWDER,LOC_TECH_GUNPOWDER_QUOTE_1,Play_Gunpowder_Quote_1
TECH_GUNPOWDER,LOC_TECH_GUNPOWDER_QUOTE_2,Play_Gunpowder_Quote_2
TECH_PRINTING,LOC_TECH_PRINTING_QUOTE_1,Play_Printing_Quote_1
TECH_PRINTING,LOC_TECH_PRINTING_QUOTE_2,Play_Printing_Quote_2
TECH_SQUARE_RIGGING,LOC_TECH_SQUARE_RIGGING_QUOTE_1,Play_Square_Rigging_Quote_1
TECH_SQUARE_RIGGING,LOC_TECH_SQUARE_RIGGING_QUOTE_2,Play_Square_Rigging_Quote_2
TECH_ASTRONOMY,LOC_TECH_ASTRONOMY_QUOTE_1,Play_Astronomy_Quote_1
TECH_ASTRONOMY,LOC_TECH_ASTRONOMY_QUOTE_2,Play_Astronomy_Quote_2
TECH_METAL_CASTING,LOC_TECH_METAL_CASTING_QUOTE_1,Play_Metal_Casting_Quote_1
TECH_METAL_CASTING,LOC_TECH_METAL_CASTING_QUOTE_2,Play_Metal_Casting_Quote_2
TECH_SIEGE_TACTICS,LOC_TECH_SIEGE_TACTICS_QUOTE_1,Play_Siege_Tactics_Quote_1
TECH_SIEGE_TACTICS,LOC_TECH_SIEGE_TACTICS_QUOTE_2,Play_Siege_Tactics_Quote_2
TECH_INDUSTRIALIZATION,LOC_TECH_INDUSTRIALIZATION_QUOTE_1,Play_Industrialization_Quote_1
TECH_INDUSTRIALIZATION,LOC_TECH_INDUSTRIALIZATION_QUOTE_2,Play_Industrialization_Quote_2
TECH_SCIENTIFIC_THEORY,LOC_TECH_SCIENTIFIC_THEORY_QUOTE_1,Play_Scientific_Theory_Quote_1
TECH_SCIENTIFIC_THEORY,LOC_TECH_SCIENTIFIC_THEORY_QUOTE_2,Play_Scientific_Theory_Quote_2
TECH_BALLISTICS,LOC_TECH_BALLISTICS_QUOTE_1,Play_Ballistics_Quote_1
TECH_BALLISTICS,LOC_TECH_BALLISTICS_QUOTE_2,Play_Ballistics_Quote_2
TECH_MILITARY_SCIENCE,LOC_TECH_MILITARY_SCIENCE_QUOTE_1,Play_Military_Science_Quote_1
TECH_MILITARY_SCIENCE,LOC_TECH_MILITARY_SCIENCE_QUOTE_2,Play_Military_Science_Quote_2
TECH_STEAM_POWER,LOC_TECH_STEAM_POWER_QUOTE_1,Play_Steam_Power_Quote_1
TECH_STEAM_POWER,LOC_TECH_STEAM_POWER_QUOTE_2,Play_Steam_Power_Quote_2
TECH_SANITATION,LOC_TECH_SANITATION_QUOTE_1,Play_Sanitation_Quote_1
TECH_SANITATION,LOC_TECH_SANITATION_QUOTE_2,Play_Sanitation_Quote_2
TECH_ECONOMICS,LOC_TECH_ECONOMICS_QUOTE_1,Play_Economics_Quote_1
TECH_ECONOMICS,LOC_TECH_ECONOMICS_QUOTE_2,Play_Economics_Quote_2
TECH_RIFLING,LOC_TECH_RIFLING_QUOTE_1,Play_Rifling_Quote_1
TECH_RIFLING,LOC_TECH_RIFLING_QUOTE_2,Play_Rifling_Quote_2
TECH_FLIGHT,LOC_TECH_FLIGHT_QUOTE_1,Play_Flight_Quote_1
TECH_FLIGHT,LOC_TECH_FLIGHT_QUOTE_2,Play_Flight_Quote_2
TECH_REPLACEABLE_PARTS,LOC_TECH_REPLACEABLE_PARTS_QUOTE_1,Play_Replaceable_Parts_Quote_1
TECH_REPLACEABLE_PARTS,LOC_TECH_REPLACEABLE_PARTS_QUOTE_2,Play_Replaceable_Parts_Quote_2
TECH_STEEL,LOC_TECH_STEEL_QUOTE_1,Play_Steel_Quote_1
TECH_STEEL,LOC_TECH_STEEL_QUOTE_2,Play_Steel_Quote_2
TECH_ELECTRICITY,LOC_TECH_ELECTRICITY_QUOTE_1,Play_Electricity_Quote_1
TECH_ELECTRICITY,LOC_TECH_ELECTRICITY_QUOTE_2,Play_Electricity_Quote_2
TECH_RADIO,LOC_TECH_RADIO_QUOTE_1,Play_Radio_Quote_1
TECH_RADIO,LOC_TECH_RADIO_QUOTE_2,Play_Radio_Quote_2
TECH_CHEMISTRY,LOC_TECH_CHEMISTRY_QUOTE_1,Play_Chemistry_Quote_1
TECH_CHEMISTRY,LOC_TECH_CHEMISTRY_QUOTE_2,Play_Chemistry_Quote_2
TECH_COMBUSTION,LOC_TECH_COMBUSTION_QUOTE_1,Play_Combustion_Quote_1
TECH_COMBUSTION,LOC_TECH_COMBUSTION_QUOTE_2,Play_Combustion_Quote_2
TECH_ADVANCED_FLIGHT,LOC_TECH_ADVANCED_FLIGHT_QUOTE_1,Play_Advanced_Flight_Quote_1
TECH_ADVANCED_FLIGHT,LOC_TECH_ADVANCED_FLIGHT_QUOTE_2,Play_Advanced_Flight_Quote_2
TECH_ROCKETRY,LOC_TECH_ROCKETRY_QUOTE_1,Play_Rocketry_Quote_1
TECH_ROCKETRY,LOC_TECH_ROCKETRY_QUOTE_2,Play_Rocketry_Quote_2
TECH_ADVANCED_BALLISTICS,LOC_TECH_ADVANCED_BALLISTICS_QUOTE_1,Play_Advanced_Ballistics_Quote_1
TECH_ADVANCED_BALLISTICS,LOC_TECH_ADVANCED_BALLISTICS_QUOTE_2,Play_Advanced_Ballistics_Quote_2
TECH_COMBINED_ARMS,LOC_TECH_COMBINED_ARMS_QUOTE_1,Play_Combined_Arms_Quote_1
TECH_COMBINED_ARMS,LOC_TECH_COMBINED_ARMS_QUOTE_2,Play_Combined_Arms_Quote_2
TECH_PLASTICS,LOC_TECH_PLASTICS_QUOTE_1,Play_Plastics_Quote_1
TECH_PLASTICS,LOC_TECH_PLASTICS_QUOTE_2,Play_Plastics_Quote_2
TECH_COMPUTERS,LOC_TECH_COMPUTERS_QUOTE_1,Play_Computers_Quote_1
TECH_COMPUTERS,LOC_TECH_COMPUTERS_QUOTE_2,Play_Computers_Quote_2
TECH_NUCLEAR_FISSION,LOC_TECH_NUCLEAR_FISSION_QUOTE_1,Play_Nuclear_Fission_Quote_1
TECH_NUCLEAR_FISSION,LOC_TECH_NUCLEAR_FISSION_QUOTE_2,Play_Nuclear_Fission_Quote_2
TECH_SYNTHETIC_MATERIALS,LOC_TECH_SYNTHETIC_MATERIALS_QUOTE_1,Play_Synthetic_Materials_Quote_1
TECH_SYNTHETIC_MATERIALS,LOC_TECH_SYNTHETIC_MATERIALS_QUOTE_2,Play_Synthetic_Materials_Quote_2
TECH_TELECOMMUNICATIONS,LOC_TECH_TELECOMMUNICATIONS_QUOTE_1,Play_Telecommunications_Quote_1
TECH_TELECOMMUNICATIONS,LOC_TECH_TELECOMMUNICATIONS_QUOTE_2,Play_Telecommunications_Quote_2
TECH_SATELLITES,LOC_TECH_SATELLITES_QUOTE_1,Play_Satellites_Quote_1
TECH_SATELLITES,LOC_TECH_SATELLITES_QUOTE_2,Play_Satellites_Quote_2
TECH_GUIDANCE_SYSTEMS,LOC_TECH_GUIDANCE_SYSTEMS_QUOTE_1,Play_Guidance_Systems_Quote_1
TECH_GUIDANCE_SYSTEMS,LOC_TECH_GUIDANCE_SYSTEMS_QUOTE_2,Play_Guidance_Systems_Quote_2
TECH_LASERS,LOC_TECH_LASERS_QUOTE_1,Play_Lasers_Quote_1
TECH_LASERS,LOC_TECH_LASERS_QUOTE_2,Play_Lasers_Quote_2
TECH_COMPOSITES,LOC_TECH_COMPOSITES_QUOTE_1,Play_Composites_Quote_1
TECH_COMPOSITES,LOC_TECH_COMPOSITES_QUOTE_2,Play_Composites_Quote_2
TECH_STEALTH_TECHNOLOGY,LOC_TECH_STEALTH_TECHNOLOGY_QUOTE_1,Play_Stealth_Technology_Quote_1
TECH_STEALTH_TECHNOLOGY,LOC_TECH_STEALTH_TECHNOLOGY_QUOTE_2,Play_Stealth_Technology_Quote_2
TECH_ROBOTICS,LOC_TECH_ROBOTICS_QUOTE_1,Play_Robotics_Quote_2
TECH_ROBOTICS,LOC_TECH_ROBOTICS_QUOTE_2,Play_Robotics_Quote_1
TECH_NANOTECHNOLOGY,LOC_TECH_NANOTECHNOLOGY_QUOTE_1,Play_Nanotechnology_Quote_1
TECH_NANOTECHNOLOGY,LOC_TECH_NANOTECHNOLOGY_QUOTE_2,Play_Nanotechnology_Quote_2
TECH_NUCLEAR_FUSION,LOC_TECH_NUCLEAR_FUSION_QUOTE_1,Play_Nuclear_Fusion_Quote_1
TECH_NUCLEAR_FUSION,LOC_TECH_NUCLEAR_FUSION_QUOTE_2,Play_Nuclear_Fusion_Quote_2
TECH_BUTTRESS,LOC_TECH_BUTTRESS_QUOTE_1,Play_LOC_TECH_BUTTRESS_QUOTE_1
TECH_BUTTRESS,LOC_TECH_BUTTRESS_QUOTE_2,Play_LOC_TECH_BUTTRESS_QUOTE_2
TECH_REFINING,LOC_TECH_REFINING_QUOTE_1,Play_LOC_TECH_REFINING_QUOTE_1
TECH_SEASTEADS,LOC_TECH_SEASTEADS_QUOTE_1,Play_LOC_TECH_SEASTEADS_QUOTE_1
TECH_SEASTEADS,LOC_TECH_SEASTEADS_QUOTE_2,Play_LOC_TECH_SEASTEADS_QUOTE_2
TECH_ADVANCED_AI,LOC_TECH_ADVANCED_AI_QUOTE_1,Play_LOC_TECH_ADVANCED_AI_QUOTE_1
TECH_ADVANCED_POWER_CELLS,LOC_TECH_ADVANCED_POWER_CELLS_QUOTE_1,Play_LOC_TECH_ADVANCED_POWER_CELLS_QUOTE_1
TECH_CYBERNETICS,LOC_TECH_CYBERNETICS_QUOTE_1,Play_LOC_TECH_CYBERNETICS_QUOTE_1
TECH_SMART_MATERIALS,LOC_TECH_SMART_MATERIALS_QUOTE_1,Play_LOC_TECH_SMART_MATERIALS_QUOTE_1
TECH_PREDICTIVE_SYSTEMS,LOC_TECH_PREDICTIVE_SYSTEMS_QUOTE_1,Play_LOC_TECH_PREDICTIVE_SYSTEMS_QUOTE_1
TECH_OFFWORLD_MISSION,LOC_TECH_OFFWORLD_MISSION_QUOTE_1,Play_LOC_TECH_OFFWORLD_MISSION_QUOTE_1
TECH_OFFWORLD_MISSION,LOC_TECH_OFFWORLD_MISSION_QUOTE_2,Play_LOC_TECH_OFFWORLD_MISSION_QUOTE_2
TECH_FUTURE_TECH,LOC_TECH_FUTURE_TECH_QUOTE_1,Play_Future_Tech_Quote_1
TECH_FUTURE_TECH,LOC_TECH_FUTURE_TECH_QUOTE_2,Play_Future_Tech_Quote_2
