NamedVolcanoType,CivilizationType
NAMED_VOLCANO_BAS_DONG_NAI,CIVILIZATION_VIETNAM
NAMED_VOLCANO_HAUT_DONG_NAI,CIVILIZATION_VIETNAM
NAMED_VOLCANO_MOUNT_ALAYTA,CIVILIZATION_ETHIOPIA
NAMED_VOLCANO_DABBAHU_VOLCANO,CIVILIZATION_ETHIOPIA
NAMED_VOLCANO_DALLOL_VOLCANO,CIVILIZATION_ETHIOPIA
NAMED_VOLCANO_MOUNT_FENTALE,CIVILIZATION_ETHIOPIA
NAMED_VOLCANO_KONE,CIVILIZATION_ETHIOPIA
NAMED_VOLCANO_MANDA_HARARO,CIVILIZATION_ETHIOPIA
NAMED_VOLCANO_ALU_DALAFILLA,CIVILIZATION_ETHIOPIA
NAMED_VOLCANO_ERTA_ALE,CIVILIZATION_ETHIOPIA
NAMED_VOLCANO_AGUA_DE_PAU_MASSIF,CIVILIZATION_PORTUGAL
NAMED_VOLCANO_CAPELINHOS_VOLCANO,CIVILIZATION_PORTUGAL
NAMED_VOLCANO_FURNAS_VOLCANO,CIVILIZATION_PORTUGAL
NAMED_VOLCANO_MOUNT_PICO,CIVILIZATION_PORTUGAL
NAMED_VOLCANO_SETE_CIDADES_MASSIF,CIVILIZATION_PORTUGAL
