NamedRiverType,CivilizationType
NAMED_RIVER_CONGO,CIVILIZATION_KONGO
NAMED_RIVER_DAMIETTA_RIVER,CIVILIZATION_EGYPT
NAMED_RIVER_DANUBE,CIVILIZATION_GERMANY
NAMED_RIVER_DAUGAVA,CIVILIZATION_RUSSIA
NAMED_RIVER_DELAWARE,CIVILIZATION_AMERICA
NAMED_RIVER_DIYALA_RIVER,CIVILIZATION_SUMERIA
NAMED_RIVER_DNIEPER,CIVILIZATION_RUSSIA
NAMED_RIVER_DON,CIVILIZATION_RUSSIA
NAMED_RIVER_DON,CIVILIZATION_SCYTHIA
NAMED_RIVER_DOURO_RIVER,CIVILIZATION_SPAIN
NAMED_RIVER_EBRO,CIVILIZATION_SPAIN
NAMED_RIVER_ELBE,CIVILIZATION_GERMANY
NAMED_RIVER_EUPHRATES,CIVILIZATION_ARABIA
NAMED_RIVER_EUPHRATES,CIVILIZATION_SUMERIA
NAMED_RIVER_EUROTAS,CIVILIZATION_GREECE
NAMED_RIVER_GANGES,CIVILIZATION_INDIA
NAMED_RIVER_GLOMMA,CIVILIZATION_NORWAY
NAMED_RIVER_GODAVARI,CIVILIZATION_INDIA
NAMED_RIVER_GREAT_ZAB_RIVER,CIVILIZATION_SUMERIA
NAMED_RIVER_GUADALQUIVIR_RIVER,CIVILIZATION_SPAIN
NAMED_RIVER_GUADIANA_RIVER,CIVILIZATION_SPAIN
NAMED_RIVER_GUDBRANDSDALSLAGEN,CIVILIZATION_NORWAY
NAMED_RIVER_HAI,CIVILIZATION_CHINA
NAMED_RIVER_HALIACMON_RIVER,CIVILIZATION_GREECE
NAMED_RIVER_INKISI_RIVER,CIVILIZATION_KONGO
NAMED_RIVER_INDUS,CIVILIZATION_INDIA
NAMED_RIVER_ISHIKARI_RIVER,CIVILIZATION_JAPAN
NAMED_RIVER_JORDAN,CIVILIZATION_ARABIA
NAMED_RIVER_JUCAR_RIVER,CIVILIZATION_SPAIN
NAMED_RIVER_KASAI,CIVILIZATION_KONGO
NAMED_RIVER_KAVERI_RIVER,CIVILIZATION_INDIA
NAMED_RIVER_KHABUR_RIVER,CIVILIZATION_SUMERIA
NAMED_RIVER_KITAKAMI_RIVER,CIVILIZATION_JAPAN
NAMED_RIVER_KSHIPRA_RIVER,CIVILIZATION_INDIA
NAMED_RIVER_LENA,CIVILIZATION_RUSSIA
NAMED_RIVER_LOIRE,CIVILIZATION_FRANCE
NAMED_RIVER_MADEIRA,CIVILIZATION_BRAZIL
NAMED_RIVER_MARITSA_RIVER,CIVILIZATION_GREECE
NAMED_RIVER_MEUSE,CIVILIZATION_FRANCE
NAMED_RIVER_MISSISSIPPI,CIVILIZATION_AMERICA
NAMED_RIVER_MISSOURI,CIVILIZATION_AMERICA
NAMED_RIVER_MOGAMI_RIVER,CIVILIZATION_JAPAN
NAMED_RIVER_NARMADA_RIVER,CIVILIZATION_INDIA
NAMED_RIVER_NESTOS_RIVER,CIVILIZATION_GREECE
NAMED_RIVER_NILE,CIVILIZATION_ARABIA
NAMED_RIVER_NILE,CIVILIZATION_EGYPT
NAMED_RIVER_NORTHERN_DVINA,CIVILIZATION_RUSSIA
NAMED_RIVER_NUMEDAL_RIVER,CIVILIZATION_NORWAY
NAMED_RIVER_OB,CIVILIZATION_RUSSIA
NAMED_RIVER_ODER,CIVILIZATION_GERMANY
NAMED_RIVER_OHIO,CIVILIZATION_AMERICA
NAMED_RIVER_OFANTO_RIVER,CIVILIZATION_ROME
NAMED_RIVER_OTRA_RIVER,CIVILIZATION_NORWAY
NAMED_RIVER_PARANA,CIVILIZATION_BRAZIL
NAMED_RIVER_PEARL,CIVILIZATION_CHINA
NAMED_RIVER_PO,CIVILIZATION_ROME
NAMED_RIVER_POTOMAC,CIVILIZATION_AMERICA
NAMED_RIVER_RAUMA_RIVER,CIVILIZATION_NORWAY
NAMED_RIVER_RHINE,CIVILIZATION_GERMANY
NAMED_RIVER_RHINE,CIVILIZATION_FRANCE
NAMED_RIVER_RHONE,CIVILIZATION_FRANCE
NAMED_RIVER_RIO_GRANDE,CIVILIZATION_AMERICA
NAMED_RIVER_RIO_NEGRO,CIVILIZATION_BRAZIL
NAMED_RIVER_RIVER_AVON,CIVILIZATION_ENGLAND
NAMED_RIVER_RIVER_EDEN,CIVILIZATION_ENGLAND
NAMED_RIVER_RIVER_GREAT_OUSE,CIVILIZATION_ENGLAND
NAMED_RIVER_RIVER_SEVERN,CIVILIZATION_ENGLAND
NAMED_RIVER_RIVER_TEES,CIVILIZATION_ENGLAND
NAMED_RIVER_RIVER_TRENT,CIVILIZATION_ENGLAND
NAMED_RIVER_RIVER_WELLAND,CIVILIZATION_ENGLAND
NAMED_RIVER_ROSETTA_RIVER,CIVILIZATION_EGYPT
NAMED_RIVER_RUBICON,CIVILIZATION_ROME
NAMED_RIVER_SAINT_LAWRENCE,CIVILIZATION_AMERICA
NAMED_RIVER_SALWEEN,CIVILIZATION_CHINA
NAMED_RIVER_SANKURU_RIVER,CIVILIZATION_KONGO
NAMED_RIVER_SAO_FRANCISCO,CIVILIZATION_BRAZIL
NAMED_RIVER_SARASWATI,CIVILIZATION_INDIA
NAMED_RIVER_SEINE,CIVILIZATION_FRANCE
NAMED_RIVER_SHINANO,CIVILIZATION_JAPAN
NAMED_RIVER_SONGHUA_RIVER,CIVILIZATION_CHINA
NAMED_RIVER_STRUMA_RIVER,CIVILIZATION_GREECE
NAMED_RIVER_SUSQUEHANNA,CIVILIZATION_AMERICA
NAMED_RIVER_SYR_DARYA,CIVILIZATION_SCYTHIA
NAMED_RIVER_TAGUS,CIVILIZATION_SPAIN
NAMED_RIVER_TARIM,CIVILIZATION_CHINA
NAMED_RIVER_TENRYU_RIVER,CIVILIZATION_JAPAN
NAMED_RIVER_TESHIO_RIVER,CIVILIZATION_JAPAN
NAMED_RIVER_THAMES,CIVILIZATION_ENGLAND
NAMED_RIVER_TIBER,CIVILIZATION_ROME
NAMED_RIVER_TIGRIS,CIVILIZATION_SUMERIA
NAMED_RIVER_TIGRIS,CIVILIZATION_ARABIA
NAMED_RIVER_TOCANTINS,CIVILIZATION_BRAZIL
NAMED_RIVER_URAL,CIVILIZATION_RUSSIA
NAMED_RIVER_URAL,CIVILIZATION_SCYTHIA
NAMED_RIVER_TONE_RIVER,CIVILIZATION_JAPAN
NAMED_RIVER_TSHUAPA_RIVER,CIVILIZATION_KONGO
NAMED_RIVER_VOLGA,CIVILIZATION_RUSSIA
NAMED_RIVER_VOLGA,CIVILIZATION_SCYTHIA
NAMED_RIVER_WADI_AL_BATIN,CIVILIZATION_ARABIA
NAMED_RIVER_WADI_AL_RUMMAH,CIVILIZATION_ARABIA
NAMED_RIVER_WADI_HANIFA,CIVILIZATION_ARABIA
NAMED_RIVER_WEI,CIVILIZATION_CHINA
NAMED_RIVER_WESER_RIVER,CIVILIZATION_GERMANY
NAMED_RIVER_YAMUNA_RIVER,CIVILIZATION_INDIA
NAMED_RIVER_YANGTZE,CIVILIZATION_CHINA
NAMED_RIVER_YELLOW,CIVILIZATION_CHINA
NAMED_RIVER_YENISEI,CIVILIZATION_RUSSIA
NAMED_RIVER_YUKON,CIVILIZATION_AMERICA
NAMED_RIVER_APURIMAQ_MAYU,CIVILIZATION_INCA
NAMED_RIVER_ARAS_RIVER,CIVILIZATION_OTTOMAN
NAMED_RIVER_ATHABASCA_RIVER,CIVILIZATION_CANADA
NAMED_RIVER_AWRIQ_MAYU,CIVILIZATION_INCA
NAMED_RIVER_BANI_RIVER,CIVILIZATION_MALI
NAMED_RIVER_BEIRUT_RIVER,CIVILIZATION_PHOENICIA
NAMED_RIVER_CHINCHIPE_RIVER,CIVILIZATION_INCA
NAMED_RIVER_COLUMBIA,CIVILIZATION_CANADA
NAMED_RIVER_DAL,CIVILIZATION_SWEDEN
NAMED_RIVER_DANUBE,CIVILIZATION_HUNGARY
NAMED_RIVER_FRASER_RIVER,CIVILIZATION_CANADA
NAMED_RIVER_GAMBIA_RIVER,CIVILIZATION_MALI
NAMED_RIVER_INDAL_RIVER,CIVILIZATION_SWEDEN
NAMED_RIVER_JORDAN,CIVILIZATION_PHOENICIA
NAMED_RIVER_KAWARAU_RIVER,CIVILIZATION_MAORI
NAMED_RIVER_KAWATIRI_RIVER,CIVILIZATION_MAORI
NAMED_RIVER_KISISKACIWANI_SIPIY,CIVILIZATION_CANADA
NAMED_RIVER_KIZILIRMAK,CIVILIZATION_OTTOMAN
NAMED_RIVER_KLARA_RIVER,CIVILIZATION_SWEDEN
NAMED_RIVER_KOROS_RIVER,CIVILIZATION_HUNGARY
NAMED_RIVER_LITANI,CIVILIZATION_PHOENICIA
NAMED_RIVER_LULE_RIVER,CIVILIZATION_SWEDEN
NAMED_RIVER_MACKENZIE,CIVILIZATION_CANADA
NAMED_RIVER_MAIPO_RIVER,CIVILIZATION_INCA
NAMED_RIVER_MATA_AU_RIVER,CIVILIZATION_MAORI
NAMED_RIVER_MAULE_RIVER,CIVILIZATION_INCA
NAMED_RIVER_MEDJERDA_RIVER,CIVILIZATION_PHOENICIA
NAMED_RIVER_MURAT_RIVER,CIVILIZATION_OTTOMAN
NAMED_RIVER_NIGER,CIVILIZATION_MALI
NAMED_RIVER_ORONTES_RIVER,CIVILIZATION_PHOENICIA
NAMED_RIVER_POWINIGOW,CIVILIZATION_CANADA
NAMED_RIVER_PUTUMAYU,CIVILIZATION_INCA
NAMED_RIVER_RABA_RIVER,CIVILIZATION_HUNGARY
NAMED_RIVER_RAKAIA_RIVER,CIVILIZATION_MAORI
NAMED_RIVER_RANGATIKEI_RIVER,CIVILIZATION_MAORI
NAMED_RIVER_SAINT_LAWRENCE,CIVILIZATION_CANADA
NAMED_RIVER_SAKARYA_RIVER,CIVILIZATION_OTTOMAN
NAMED_RIVER_SANKARANI_RIVER,CIVILIZATION_MALI
NAMED_RIVER_SENEGAL_RIVER,CIVILIZATION_MALI
NAMED_RIVER_TE_AWAKAIRANGI,CIVILIZATION_MAORI
NAMED_RIVER_TISZA_RIVER,CIVILIZATION_HUNGARY
NAMED_RIVER_TONGARIRO_RIVER,CIVILIZATION_MAORI
NAMED_RIVER_TORNE_RIVER,CIVILIZATION_SWEDEN
NAMED_RIVER_UCAYALI,CIVILIZATION_INCA
NAMED_RIVER_WAIAPU_RIVER,CIVILIZATION_MAORI
NAMED_RIVER_WAIAU_RIVER,CIVILIZATION_MAORI
NAMED_RIVER_WAIKATO,CIVILIZATION_MAORI
NAMED_RIVER_WAIMAKARIRI_RIVER,CIVILIZATION_MAORI
NAMED_RIVER_WAITAKI_RIVER,CIVILIZATION_MAORI
NAMED_RIVER_WALLAQA_MAYU,CIVILIZATION_INCA
NAMED_RIVER_WHANGANUI_RIVER,CIVILIZATION_MAORI
NAMED_RIVER_WILLKAMAYU,CIVILIZATION_INCA
NAMED_RIVER_YESILIRMAK_RIVER,CIVILIZATION_OTTOMAN
NAMED_RIVER_YUKON,CIVILIZATION_CANADA
NAMED_RIVER_ZAGYVA_RIVER,CIVILIZATION_HUNGARY
NAMED_RIVER_MAGDALENA_RIVER,CIVILIZATION_GRAN_COLOMBIA
NAMED_RIVER_APURE_RIVER,CIVILIZATION_GRAN_COLOMBIA
NAMED_RIVER_META_RIVER,CIVILIZATION_GRAN_COLOMBIA
NAMED_RIVER_ARAUCA_RIVER,CIVILIZATION_GRAN_COLOMBIA
NAMED_RIVER_CAUCA_RIVER,CIVILIZATION_GRAN_COLOMBIA
NAMED_RIVER_CARONI_RIVER,CIVILIZATION_GRAN_COLOMBIA
NAMED_RIVER_AMAZON,CIVILIZATION_GRAN_COLOMBIA
NAMED_RIVER_ORINOCO,CIVILIZATION_GRAN_COLOMBIA
NAMED_RIVER_RIO_NEGRO,CIVILIZATION_GRAN_COLOMBIA
NAMED_RIVER_MOTAGUA_RIVER,CIVILIZATION_MAYA
NAMED_RIVER_GRIJALVA_RIVER,CIVILIZATION_MAYA
NAMED_RIVER_SAMALA_RIVER,CIVILIZATION_MAYA
NAMED_RIVER_CHIXOY_RIVER,CIVILIZATION_MAYA
NAMED_RIVER_USUMACINTA_RIVER,CIVILIZATION_MAYA
NAMED_RIVER_BELIZE_RIVER,CIVILIZATION_MAYA
NAMED_RIVER_HONDO_RIVER,CIVILIZATION_MAYA
NAMED_RIVER_MEANDER_RIVER,CIVILIZATION_BYZANTIUM
NAMED_RIVER_PRUT_RIVER,CIVILIZATION_BYZANTIUM
NAMED_RIVER_KIZILIRMAK,CIVILIZATION_BYZANTIUM
NAMED_RIVER_SAKARYA_RIVER,CIVILIZATION_BYZANTIUM
NAMED_RIVER_MARITSA_RIVER,CIVILIZATION_BYZANTIUM
NAMED_RIVER_AISNE_RIVER,CIVILIZATION_GAUL
NAMED_RIVER_SCHELDT_RIVER,CIVILIZATION_GAUL
NAMED_RIVER_RHINE,CIVILIZATION_GAUL
NAMED_RIVER_RHONE,CIVILIZATION_GAUL
NAMED_RIVER_MEUSE,CIVILIZATION_GAUL
NAMED_RIVER_LOIRE,CIVILIZATION_GAUL
NAMED_RIVER_SEINE,CIVILIZATION_GAUL
NAMED_RIVER_DONG_NA_RIVER,CIVILIZATION_VIETNAM
NAMED_RIVER_BLACK_RIVER,CIVILIZATION_VIETNAM
NAMED_RIVER_CA_RIVER,CIVILIZATION_VIETNAM
NAMED_RIVER_MA_RIVER,CIVILIZATION_VIETNAM
NAMED_RIVER_RED,CIVILIZATION_VIETNAM
NAMED_RIVER_MEKONG,CIVILIZATION_VIETNAM
NAMED_RIVER_BLUE_NILE_RIVER,CIVILIZATION_ETHIOPIA
NAMED_RIVER_BARO_RIVER,CIVILIZATION_ETHIOPIA
NAMED_RIVER_DAWA_RIVER,CIVILIZATION_ETHIOPIA
NAMED_RIVER_GANALE_DORYA_RIVER,CIVILIZATION_ETHIOPIA
NAMED_RIVER_SHEBELLE_RIVER,CIVILIZATION_ETHIOPIA
NAMED_RIVER_AWASH_RIVER,CIVILIZATION_ETHIOPIA
NAMED_RIVER_EUPHRATES,CIVILIZATION_BABYLON_STK
NAMED_RIVER_GREAT_ZAB_RIVER,CIVILIZATION_BABYLON_STK
NAMED_RIVER_KARUN,CIVILIZATION_BABYLON_STK
NAMED_RIVER_KHABUR_RIVER,CIVILIZATION_BABYLON_STK
NAMED_RIVER_TIGRIS,CIVILIZATION_BABYLON_STK
NAMED_RIVER_MINHO_RIVER,CIVILIZATION_PORTUGAL
NAMED_RIVER_MONDEGO_RIVER,CIVILIZATION_PORTUGAL
NAMED_RIVER_ZEZERE_RIVER,CIVILIZATION_PORTUGAL
NAMED_RIVER_GUADIANA_RIVER,CIVILIZATION_PORTUGAL
NAMED_RIVER_TAGUS,CIVILIZATION_PORTUGAL
NAMED_RIVER_DOURO_RIVER,CIVILIZATION_PORTUGAL
