FeatureType,TerrainType
FEATURE_GEOTHERMAL_FISSURE,TERRAIN_TUNDRA
FEATURE_GEOTHERMAL_FISSURE,TERRAIN_TUNDRA_HILLS
FEATURE_GEOTHERMAL_FISSURE,TERRAIN_SNOW
FEATURE_GEOTHERMAL_FISSURE,TERRAIN_SNOW_HILLS
FEATURE_VOLCANO,TERRAIN_GRASS_MOUNTAIN
FEATURE_VOLCANO,TERRAIN_PLAINS_MOUNTAIN
FEATURE_VOLCANO,TERRAIN_DESERT_MOUNTAIN
FEATURE_VOLCANO,TERRAIN_TUNDRA_MOUNTAIN
FEATURE_VOLCANO,TERRAIN_SNOW_MOUNTAIN
FEATURE_VOLCANIC_SOIL,TERRAIN_GRASS
FEATURE_VOLCANIC_SOIL,TERRAIN_GRASS_HILLS
FEATURE_VOLCANIC_SOIL,TERRAIN_PLAINS
FEATURE_VOLCANIC_SOIL,TERRAIN_PLAINS_HILLS
FEATURE_VOLCANIC_SOIL,TERRAIN_DESERT
FEATURE_VOLCANIC_SOIL,TERRAIN_DESERT_HILLS
FEATURE_VOLCANIC_SOIL,TERRAIN_TUNDRA
FEATURE_VOLCANIC_SOIL,TERRAIN_TUNDRA_HILLS
FEATURE_VOLCANIC_SOIL,TERRAIN_SNOW
FEATURE_VOLCANIC_SOIL,TERRAIN_SNOW_HILLS
FEATURE_BERMUDA_TRIANGLE,TERRAIN_OCEAN
FEATURE_FOUNTAIN_OF_YOUTH,TERRAIN_GRASS
FEATURE_FOUNTAIN_OF_YOUTH,TERRAIN_PLAINS
FEATURE_FOUNTAIN_OF_YOUTH,TERRAIN_DESERT
FEATURE_FOUNTAIN_OF_YOUTH,TERRAIN_GRASS_HILLS
FEATURE_FOUNTAIN_OF_YOUTH,TERRAIN_PLAINS_HILLS
FEATURE_FOUNTAIN_OF_YOUTH,TERRAIN_DESERT_HILLS
FEATURE_PAITITI,TERRAIN_GRASS
FEATURE_PAITITI,TERRAIN_PLAINS
FEATURE_PAITITI,TERRAIN_DESERT
FEATURE_PAITITI,TERRAIN_GRASS_HILLS
FEATURE_PAITITI,TERRAIN_PLAINS_HILLS
FEATURE_PAITITI,TERRAIN_DESERT_HILLS
FEATURE_BURNING_FOREST,TERRAIN_GRASS
FEATURE_BURNING_FOREST,TERRAIN_PLAINS
FEATURE_BURNING_FOREST,TERRAIN_TUNDRA
FEATURE_BURNING_FOREST,TERRAIN_GRASS_HILLS
FEATURE_BURNING_FOREST,TERRAIN_PLAINS_HILLS
FEATURE_BURNING_FOREST,TERRAIN_TUNDRA_HILLS
FEATURE_BURNT_FOREST,TERRAIN_GRASS
FEATURE_BURNT_FOREST,TERRAIN_PLAINS
FEATURE_BURNT_FOREST,TERRAIN_TUNDRA
FEATURE_BURNT_FOREST,TERRAIN_GRASS_HILLS
FEATURE_BURNT_FOREST,TERRAIN_PLAINS_HILLS
FEATURE_BURNT_FOREST,TERRAIN_TUNDRA_HILLS
FEATURE_BURNING_JUNGLE,TERRAIN_GRASS
FEATURE_BURNING_JUNGLE,TERRAIN_PLAINS
FEATURE_BURNING_JUNGLE,TERRAIN_GRASS_HILLS
FEATURE_BURNING_JUNGLE,TERRAIN_PLAINS_HILLS
FEATURE_BURNT_JUNGLE,TERRAIN_GRASS
FEATURE_BURNT_JUNGLE,TERRAIN_PLAINS
FEATURE_BURNT_JUNGLE,TERRAIN_GRASS_HILLS
FEATURE_BURNT_JUNGLE,TERRAIN_PLAINS_HILLS
