CivilizationType,Header,Caption,SortIndex
CIVILIZATION_INDIA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_INDIA_LOCATION,10
CIVILIZATION_INDIA,LOC_CIVINFO_SIZE,LOC_CIVINFO_INDIA_SIZE,20
CIVILIZATION_INDIA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_INDIA_POPULATION,30
CIVILIZATION_INDIA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_INDIA_CAPITAL,40
CIVILIZATION_JAPAN,LOC_CIVINFO_LOCATION,LOC_CIVINFO_JAPAN_LOCATION,10
CIVILIZATION_JAPAN,LOC_CIVINFO_SIZE,LOC_CIVINFO_JAPAN_SIZE,20
CIVILIZATION_JAPAN,LOC_CIVINFO_POPULATION,LOC_CIVINFO_JAPAN_POPULATION,30
CIVILIZATION_JAPAN,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_JAPAN_CAPITAL,40
CIVILIZATION_KONGO,LOC_CIVINFO_LOCATION,LOC_CIVINFO_KONGO_LOCATION,10
CIVILIZATION_KONGO,LOC_CIVINFO_SIZE,LOC_CIVINFO_KONGO_SIZE,20
CIVILIZATION_KONGO,LOC_CIVINFO_POPULATION,LOC_CIVINFO_KONGO_POPULATION,30
CIVILIZATION_KONGO,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_KONGO_CAPITAL,40
CIVILIZATION_NORWAY,LOC_CIVINFO_LOCATION,LOC_CIVINFO_NORWAY_LOCATION,10
CIVILIZATION_NORWAY,LOC_CIVINFO_SIZE,LOC_CIVINFO_NORWAY_SIZE,20
CIVILIZATION_NORWAY,LOC_CIVINFO_POPULATION,LOC_CIVINFO_NORWAY_POPULATION,30
CIVILIZATION_NORWAY,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_NORWAY_CAPITAL,40
CIVILIZATION_ROME,LOC_CIVINFO_LOCATION,LOC_CIVINFO_ROME_LOCATION,10
CIVILIZATION_ROME,LOC_CIVINFO_SIZE,LOC_CIVINFO_ROME_SIZE,20
CIVILIZATION_ROME,LOC_CIVINFO_POPULATION,LOC_CIVINFO_ROME_POPULATION,30
CIVILIZATION_ROME,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_ROME_CAPITAL,40
CIVILIZATION_RUSSIA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_RUSSIA_LOCATION,10
CIVILIZATION_RUSSIA,LOC_CIVINFO_SIZE,LOC_CIVINFO_RUSSIA_SIZE,20
CIVILIZATION_RUSSIA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_RUSSIA_POPULATION,30
CIVILIZATION_RUSSIA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_RUSSIA_CAPITAL,40
CIVILIZATION_SCYTHIA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_SCYTHIA_LOCATION,10
CIVILIZATION_SCYTHIA,LOC_CIVINFO_SIZE,LOC_CIVINFO_SCYTHIA_SIZE,20
CIVILIZATION_SCYTHIA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_SCYTHIA_POPULATION,30
CIVILIZATION_SCYTHIA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_SCYTHIA_CAPITAL,40
CIVILIZATION_SPAIN,LOC_CIVINFO_LOCATION,LOC_CIVINFO_SPAIN_LOCATION,10
CIVILIZATION_SPAIN,LOC_CIVINFO_SIZE,LOC_CIVINFO_SPAIN_SIZE,20
CIVILIZATION_SPAIN,LOC_CIVINFO_POPULATION,LOC_CIVINFO_SPAIN_POPULATION,30
CIVILIZATION_SPAIN,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_SPAIN_CAPITAL,40
CIVILIZATION_SUMERIA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_SUMERIA_LOCATION,10
CIVILIZATION_SUMERIA,LOC_CIVINFO_SIZE,LOC_CIVINFO_SUMERIA_SIZE,20
CIVILIZATION_SUMERIA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_SUMERIA_POPULATION,30
CIVILIZATION_SUMERIA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_SUMERIA_CAPITAL,40
CIVILIZATION_AZTEC,LOC_CIVINFO_LOCATION,LOC_CIVINFO_AZTEC_LOCATION,10
CIVILIZATION_AZTEC,LOC_CIVINFO_SIZE,LOC_CIVINFO_AZTEC_SIZE,20
CIVILIZATION_AZTEC,LOC_CIVINFO_POPULATION,LOC_CIVINFO_AZTEC_POPULATION,30
CIVILIZATION_AZTEC,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_AZTEC_CAPITAL,40
CIVILIZATION_INDONESIA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_INDONESIA_LOCATION,10
CIVILIZATION_INDONESIA,LOC_CIVINFO_SIZE,LOC_CIVINFO_INDONESIA_SIZE,20
CIVILIZATION_INDONESIA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_INDONESIA_POPULATION,30
CIVILIZATION_INDONESIA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_INDONESIA_CAPITAL,40
CIVILIZATION_KHMER,LOC_CIVINFO_LOCATION,LOC_CIVINFO_KHMER_LOCATION,10
CIVILIZATION_KHMER,LOC_CIVINFO_SIZE,LOC_CIVINFO_KHMER_SIZE,20
CIVILIZATION_KHMER,LOC_CIVINFO_POPULATION,LOC_CIVINFO_KHMER_POPULATION,30
CIVILIZATION_KHMER,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_KHMER_CAPITAL,40
CIVILIZATION_POLAND,LOC_CIVINFO_LOCATION,LOC_CIVINFO_POLAND_LOCATION,10
CIVILIZATION_POLAND,LOC_CIVINFO_SIZE,LOC_CIVINFO_POLAND_SIZE,20
CIVILIZATION_POLAND,LOC_CIVINFO_POPULATION,LOC_CIVINFO_POLAND_POPULATION,30
CIVILIZATION_POLAND,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_POLAND_CAPITAL,40
CIVILIZATION_NUBIA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_NUBIA_LOCATION,10
CIVILIZATION_NUBIA,LOC_CIVINFO_SIZE,LOC_CIVINFO_NUBIA_SIZE,20
CIVILIZATION_NUBIA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_NUBIA_POPULATION,30
CIVILIZATION_NUBIA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_NUBIA_CAPITAL,40
CIVILIZATION_MACEDON,LOC_CIVINFO_LOCATION,LOC_CIVINFO_MACEDON_LOCATION,10
CIVILIZATION_MACEDON,LOC_CIVINFO_SIZE,LOC_CIVINFO_MACEDON_SIZE,20
CIVILIZATION_MACEDON,LOC_CIVINFO_POPULATION,LOC_CIVINFO_MACEDON_POPULATION,30
CIVILIZATION_MACEDON,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_MACEDON_CAPITAL,40
CIVILIZATION_PERSIA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_PERSIA_LOCATION,10
CIVILIZATION_PERSIA,LOC_CIVINFO_SIZE,LOC_CIVINFO_PERSIA_SIZE,20
CIVILIZATION_PERSIA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_PERSIA_POPULATION,30
CIVILIZATION_PERSIA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_PERSIA_CAPITAL,40
CIVILIZATION_AUSTRALIA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_AUSTRALIA_LOCATION,10
CIVILIZATION_AUSTRALIA,LOC_CIVINFO_SIZE,LOC_CIVINFO_AUSTRALIA_SIZE,20
CIVILIZATION_AUSTRALIA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_AUSTRALIA_POPULATION,30
CIVILIZATION_AUSTRALIA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_AUSTRALIA_CAPITAL,40
CIVILIZATION_CREE,LOC_CIVINFO_LOCATION,LOC_CIVINFO_CREE_LOCATION,10
CIVILIZATION_CREE,LOC_CIVINFO_SIZE,LOC_CIVINFO_CREE_SIZE,20
CIVILIZATION_CREE,LOC_CIVINFO_POPULATION,LOC_CIVINFO_CREE_POPULATION,30
CIVILIZATION_CREE,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_CREE_CAPITAL,40
CIVILIZATION_GEORGIA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_GEORGIA_LOCATION,10
CIVILIZATION_GEORGIA,LOC_CIVINFO_SIZE,LOC_CIVINFO_GEORGIA_SIZE,20
CIVILIZATION_GEORGIA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_GEORGIA_POPULATION,30
CIVILIZATION_GEORGIA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_GEORGIA_CAPITAL,40
CIVILIZATION_KOREA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_KOREA_LOCATION,10
CIVILIZATION_KOREA,LOC_CIVINFO_SIZE,LOC_CIVINFO_KOREA_SIZE,20
CIVILIZATION_KOREA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_KOREA_POPULATION,30
CIVILIZATION_KOREA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_KOREA_CAPITAL,40
CIVILIZATION_MAPUCHE,LOC_CIVINFO_LOCATION,LOC_CIVINFO_MAPUCHE_LOCATION,10
CIVILIZATION_MAPUCHE,LOC_CIVINFO_SIZE,LOC_CIVINFO_MAPUCHE_SIZE,20
CIVILIZATION_MAPUCHE,LOC_CIVINFO_POPULATION,LOC_CIVINFO_MAPUCHE_POPULATION,30
CIVILIZATION_MAPUCHE,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_MAPUCHE_CAPITAL,40
CIVILIZATION_MONGOLIA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_MONGOLIA_LOCATION,10
CIVILIZATION_MONGOLIA,LOC_CIVINFO_SIZE,LOC_CIVINFO_MONGOLIA_SIZE,20
CIVILIZATION_MONGOLIA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_MONGOLIA_POPULATION,30
CIVILIZATION_MONGOLIA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_MONGOLIA_CAPITAL,40
CIVILIZATION_NETHERLANDS,LOC_CIVINFO_LOCATION,LOC_CIVINFO_NETHERLANDS_LOCATION,10
CIVILIZATION_NETHERLANDS,LOC_CIVINFO_SIZE,LOC_CIVINFO_NETHERLANDS_SIZE,20
CIVILIZATION_NETHERLANDS,LOC_CIVINFO_POPULATION,LOC_CIVINFO_NETHERLANDS_POPULATION,30
CIVILIZATION_NETHERLANDS,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_NETHERLANDS_CAPITAL,40
CIVILIZATION_SCOTLAND,LOC_CIVINFO_LOCATION,LOC_CIVINFO_SCOTLAND_LOCATION,10
CIVILIZATION_SCOTLAND,LOC_CIVINFO_SIZE,LOC_CIVINFO_SCOTLAND_SIZE,20
CIVILIZATION_SCOTLAND,LOC_CIVINFO_POPULATION,LOC_CIVINFO_SCOTLAND_POPULATION,30
CIVILIZATION_SCOTLAND,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_SCOTLAND_CAPITAL,40
CIVILIZATION_ZULU,LOC_CIVINFO_LOCATION,LOC_CIVINFO_ZULU_LOCATION,10
CIVILIZATION_ZULU,LOC_CIVINFO_SIZE,LOC_CIVINFO_ZULU_SIZE,20
CIVILIZATION_ZULU,LOC_CIVINFO_POPULATION,LOC_CIVINFO_ZULU_POPULATION,30
CIVILIZATION_ZULU,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_ZULU_CAPITAL,40
CIVILIZATION_CANADA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_CANADA_LOCATION,10
CIVILIZATION_CANADA,LOC_CIVINFO_SIZE,LOC_CIVINFO_CANADA_SIZE,20
CIVILIZATION_CANADA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_CANADA_POPULATION,30
CIVILIZATION_CANADA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_CANADA_CAPITAL,40
CIVILIZATION_HUNGARY,LOC_CIVINFO_LOCATION,LOC_CIVINFO_HUNGARY_LOCATION,10
CIVILIZATION_HUNGARY,LOC_CIVINFO_SIZE,LOC_CIVINFO_HUNGARY_SIZE,20
CIVILIZATION_HUNGARY,LOC_CIVINFO_POPULATION,LOC_CIVINFO_HUNGARY_POPULATION,30
CIVILIZATION_HUNGARY,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_HUNGARY_CAPITAL,40
CIVILIZATION_INCA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_INCA_LOCATION,10
CIVILIZATION_INCA,LOC_CIVINFO_SIZE,LOC_CIVINFO_INCA_SIZE,20
CIVILIZATION_INCA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_INCA_POPULATION,30
CIVILIZATION_INCA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_INCA_CAPITAL,40
CIVILIZATION_MALI,LOC_CIVINFO_LOCATION,LOC_CIVINFO_MALI_LOCATION,10
CIVILIZATION_MALI,LOC_CIVINFO_SIZE,LOC_CIVINFO_MALI_SIZE,20
CIVILIZATION_MALI,LOC_CIVINFO_POPULATION,LOC_CIVINFO_MALI_POPULATION,30
CIVILIZATION_MALI,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_MALI_CAPITAL,40
CIVILIZATION_MAORI,LOC_CIVINFO_LOCATION,LOC_CIVINFO_MAORI_LOCATION,10
CIVILIZATION_MAORI,LOC_CIVINFO_SIZE,LOC_CIVINFO_MAORI_SIZE,20
CIVILIZATION_MAORI,LOC_CIVINFO_POPULATION,LOC_CIVINFO_MAORI_POPULATION,30
CIVILIZATION_MAORI,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_MAORI_CAPITAL,40
CIVILIZATION_OTTOMAN,LOC_CIVINFO_LOCATION,LOC_CIVINFO_OTTOMAN_LOCATION,10
CIVILIZATION_OTTOMAN,LOC_CIVINFO_SIZE,LOC_CIVINFO_OTTOMAN_SIZE,20
CIVILIZATION_OTTOMAN,LOC_CIVINFO_POPULATION,LOC_CIVINFO_OTTOMAN_POPULATION,30
CIVILIZATION_OTTOMAN,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_OTTOMAN_CAPITAL,40
CIVILIZATION_PHOENICIA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_PHOENICIA_LOCATION,10
CIVILIZATION_PHOENICIA,LOC_CIVINFO_SIZE,LOC_CIVINFO_PHOENICIA_SIZE,20
CIVILIZATION_PHOENICIA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_PHOENICIA_POPULATION,30
CIVILIZATION_PHOENICIA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_PHOENICIA_CAPITAL,40
CIVILIZATION_SWEDEN,LOC_CIVINFO_LOCATION,LOC_CIVINFO_SWEDEN_LOCATION,10
CIVILIZATION_SWEDEN,LOC_CIVINFO_SIZE,LOC_CIVINFO_SWEDEN_SIZE,20
CIVILIZATION_SWEDEN,LOC_CIVINFO_POPULATION,LOC_CIVINFO_SWEDEN_POPULATION,30
CIVILIZATION_SWEDEN,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_SWEDEN_CAPITAL,40
CIVILIZATION_GRAN_COLOMBIA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_GRAN_COLOMBIA_LOCATION,10
CIVILIZATION_GRAN_COLOMBIA,LOC_CIVINFO_SIZE,LOC_CIVINFO_GRAN_COLOMBIA_SIZE,20
CIVILIZATION_GRAN_COLOMBIA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_GRAN_COLOMBIA_POPULATION,30
CIVILIZATION_GRAN_COLOMBIA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_GRAN_COLOMBIA_CAPITAL,40
CIVILIZATION_MAYA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_MAYA_LOCATION,10
CIVILIZATION_MAYA,LOC_CIVINFO_SIZE,LOC_CIVINFO_MAYA_SIZE,20
CIVILIZATION_MAYA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_MAYA_POPULATION,30
CIVILIZATION_MAYA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_MAYA_CAPITAL,40
CIVILIZATION_BYZANTIUM,LOC_CIVINFO_LOCATION,LOC_CIVINFO_BYZANTIUM_LOCATION,10
CIVILIZATION_BYZANTIUM,LOC_CIVINFO_SIZE,LOC_CIVINFO_BYZANTIUM_SIZE,20
CIVILIZATION_BYZANTIUM,LOC_CIVINFO_POPULATION,LOC_CIVINFO_BYZANTIUM_POPULATION,30
CIVILIZATION_BYZANTIUM,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_BYZANTIUM_CAPITAL,40
CIVILIZATION_GAUL,LOC_CIVINFO_LOCATION,LOC_CIVINFO_GAUL_LOCATION,10
CIVILIZATION_GAUL,LOC_CIVINFO_SIZE,LOC_CIVINFO_GAUL_SIZE,20
CIVILIZATION_GAUL,LOC_CIVINFO_POPULATION,LOC_CIVINFO_GAUL_POPULATION,30
CIVILIZATION_GAUL,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_GAUL_CAPITAL,40
CIVILIZATION_VIETNAM,LOC_CIVINFO_LOCATION,LOC_CIVINFO_VIETNAM_LOCATION,10
CIVILIZATION_VIETNAM,LOC_CIVINFO_SIZE,LOC_CIVINFO_VIETNAM_SIZE,20
CIVILIZATION_VIETNAM,LOC_CIVINFO_POPULATION,LOC_CIVINFO_VIETNAM_POPULATION,30
CIVILIZATION_VIETNAM,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_VIETNAM_CAPITAL,40
CIVILIZATION_ETHIOPIA,LOC_CIVINFO_LOCATION,LOC_CIVINFO_ETHIOPIA_LOCATION,10
CIVILIZATION_ETHIOPIA,LOC_CIVINFO_SIZE,LOC_CIVINFO_ETHIOPIA_SIZE,20
CIVILIZATION_ETHIOPIA,LOC_CIVINFO_POPULATION,LOC_CIVINFO_ETHIOPIA_POPULATION,30
CIVILIZATION_ETHIOPIA,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_ETHIOPIA_CAPITAL,40
CIVILIZATION_BABYLON_STK,LOC_CIVINFO_LOCATION,LOC_CIVINFO_BABYLON_STK_LOCATION,10
CIVILIZATION_BABYLON_STK,LOC_CIVINFO_SIZE,LOC_CIVINFO_BABYLON_STK_SIZE,20
CIVILIZATION_BABYLON_STK,LOC_CIVINFO_POPULATION,LOC_CIVINFO_BABYLON_STK_POPULATION,30
CIVILIZATION_BABYLON_STK,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_BABYLON_STK_CAPITAL,40
CIVILIZATION_PORTUGAL,LOC_CIVINFO_LOCATION,LOC_CIVINFO_PORTUGAL_LOCATION,10
CIVILIZATION_PORTUGAL,LOC_CIVINFO_SIZE,LOC_CIVINFO_PORTUGAL_SIZE,20
CIVILIZATION_PORTUGAL,LOC_CIVINFO_POPULATION,LOC_CIVINFO_PORTUGAL_POPULATION,30
CIVILIZATION_PORTUGAL,LOC_CIVINFO_CAPITAL,LOC_CIVINFO_PORTUGAL_CAPITAL,40
