CivicType,Quote,QuoteAudio
CIVIC_GAMES_RECREATION,LOC_CIVIC_GAMES_RECREATION_QUOTE_1,PLAY_GAMES_RECREATION_QUOTE_1
CIVIC_GAMES_RECREATION,LOC_CIVIC_GAMES_RECREATION_QUOTE_2,PLAY_GAMES_RECREATION_QUOTE_2
CIVIC_POLITICAL_PHILOSOPHY,LOC_CIVIC_POLITICAL_PHILOSOPHY_QUOTE_1,PLAY_POLITICAL_PHILOSOPHY_QUOTE_2
CIVIC_POLITICAL_PHILOSOPHY,LOC_CIVIC_POLITICAL_PHILOSOPHY_QUOTE_2,PLAY_POLITICAL_PHILOSOPHY_QUOTE_1
CIVIC_DRAMA_POETRY,LOC_CIVIC_DRAMA_POETRY_QUOTE_1,PLAY_DRAMA_POETRY_QUOTE_1
CIVIC_DRAMA_POETRY,LOC_CIVIC_DRAMA_POETRY_QUOTE_2,PLAY_DRAMA_POETRY_QUOTE_2
CIVIC_MILITARY_TRAINING,LOC_CIVIC_MILITARY_TRAINING_QUOTE_1,PLAY_MILITARY_TRAINING_QUOTE_1
CIVIC_MILITARY_TRAINING,LOC_CIVIC_MILITARY_TRAINING_QUOTE_2,PLAY_MILITARY_TRAINING_QUOTE_2
CIVIC_DEFENSIVE_TACTICS,LOC_CIVIC_DEFENSIVE_TACTICS_QUOTE_1,PLAY_DEFENSIVE_TACTICS_QUOTE_1
CIVIC_DEFENSIVE_TACTICS,LOC_CIVIC_DEFENSIVE_TACTICS_QUOTE_2,PLAY_DEFENSIVE_TACTICS_QUOTE_2
CIVIC_RECORDED_HISTORY,LOC_CIVIC_RECORDED_HISTORY_QUOTE_1,PLAY_RECORDED_HISTORY_QUOTE_2
CIVIC_RECORDED_HISTORY,LOC_CIVIC_RECORDED_HISTORY_QUOTE_2,PLAY_RECORDED_HISTORY_QUOTE_1
CIVIC_THEOLOGY,LOC_CIVIC_THEOLOGY_QUOTE_1,PLAY_THEOLOGY_QUOTE_1
CIVIC_THEOLOGY,LOC_CIVIC_THEOLOGY_QUOTE_2,PLAY_THEOLOGY_QUOTE_2
CIVIC_NAVAL_TRADITION,LOC_CIVIC_NAVAL_TRADITION_QUOTE_1,PLAY_NAVAL_TRADITION_QUOTE_1
CIVIC_NAVAL_TRADITION,LOC_CIVIC_NAVAL_TRADITION_QUOTE_2,PLAY_NAVAL_TRADITION_QUOTE_2
CIVIC_FEUDALISM,LOC_CIVIC_FEUDALISM_QUOTE_1,PLAY_FEUDALISM_QUOTE_2
CIVIC_FEUDALISM,LOC_CIVIC_FEUDALISM_QUOTE_2,PLAY_FEUDALISM_QUOTE_1
CIVIC_CIVIL_SERVICE,LOC_CIVIC_CIVIL_SERVICE_QUOTE_1,PLAY_CIVIL_SERVICE_QUOTE_2
CIVIC_CIVIL_SERVICE,LOC_CIVIC_CIVIL_SERVICE_QUOTE_2,PLAY_CIVIL_SERVICE_QUOTE_1
CIVIC_MERCENARIES,LOC_CIVIC_MERCENARIES_QUOTE_1,PLAY_MERCENARIES_QUOTE_1
CIVIC_MERCENARIES,LOC_CIVIC_MERCENARIES_QUOTE_2,PLAY_MERCENARIES_QUOTE_2
CIVIC_MEDIEVAL_FAIRES,LOC_CIVIC_MEDIEVAL_FAIRES_QUOTE_1,PLAY_MEDIEVAL_FAIRES_QUOTE_2
CIVIC_MEDIEVAL_FAIRES,LOC_CIVIC_MEDIEVAL_FAIRES_QUOTE_2,PLAY_MEDIEVAL_FAIRES_QUOTE_1
CIVIC_GUILDS,LOC_CIVIC_GUILDS_QUOTE_1,PLAY_GUILDS_QUOTE_1
CIVIC_GUILDS,LOC_CIVIC_GUILDS_QUOTE_2,PLAY_GUILDS_QUOTE_2
CIVIC_DIVINE_RIGHT,LOC_CIVIC_DIVINE_RIGHT_QUOTE_1,PLAY_DIVINE_RIGHT_QUOTE_1
CIVIC_DIVINE_RIGHT,LOC_CIVIC_DIVINE_RIGHT_QUOTE_2,PLAY_DIVINE_RIGHT_QUOTE_2
CIVIC_EXPLORATION,LOC_CIVIC_EXPLORATION_QUOTE_1,PLAY_EXPLORATION_QUOTE_1
CIVIC_EXPLORATION,LOC_CIVIC_EXPLORATION_QUOTE_2,PLAY_EXPLORATION_QUOTE_2
CIVIC_HUMANISM,LOC_CIVIC_HUMANISM_QUOTE_1,PLAY_HUMANISM_QUOTE_1
CIVIC_HUMANISM,LOC_CIVIC_HUMANISM_QUOTE_2,PLAY_HUMANISM_QUOTE_2
CIVIC_DIPLOMATIC_SERVICE,LOC_CIVIC_DIPLOMATIC_SERVICE_QUOTE_1,PLAY_DIPLOMATIC_SERVICE_QUOTE_1
CIVIC_DIPLOMATIC_SERVICE,LOC_CIVIC_DIPLOMATIC_SERVICE_QUOTE_2,PLAY_DIPLOMATIC_SERVICE_QUOTE_2
CIVIC_REFORMED_CHURCH,LOC_CIVIC_REFORMED_CHURCH_QUOTE_1,PLAY_REFORMED_CHURCH_QUOTE_2
CIVIC_REFORMED_CHURCH,LOC_CIVIC_REFORMED_CHURCH_QUOTE_2,PLAY_REFORMED_CHURCH_QUOTE_1
CIVIC_MERCANTILISM,LOC_CIVIC_MERCANTILISM_QUOTE_1,PLAY_MERCANTILISM_QUOTE_2
CIVIC_MERCANTILISM,LOC_CIVIC_MERCANTILISM_QUOTE_2,PLAY_MERCANTILISM_QUOTE_1
CIVIC_THE_ENLIGHTENMENT,LOC_CIVIC_THE_ENLIGHTENMENT_QUOTE_1,PLAY_THE_ENLIGHTENMENT_QUOTE_1
CIVIC_THE_ENLIGHTENMENT,LOC_CIVIC_THE_ENLIGHTENMENT_QUOTE_2,PLAY_THE_ENLIGHTENMENT_QUOTE_2
CIVIC_COLONIALISM,LOC_CIVIC_COLONIALISM_QUOTE_1,PLAY_COLONIALISM_QUOTE_1
CIVIC_COLONIALISM,LOC_CIVIC_COLONIALISM_QUOTE_2,PLAY_COLONIALISM_QUOTE_2
CIVIC_CIVIL_ENGINEERING,LOC_CIVIC_CIVIL_ENGINEERING_QUOTE_1,PLAY_CIVIL_ENGINEERING_QUOTE_2
CIVIC_CIVIL_ENGINEERING,LOC_CIVIC_CIVIL_ENGINEERING_QUOTE_2,PLAY_CIVIL_ENGINEERING_QUOTE_1
CIVIC_NATIONALISM,LOC_CIVIC_NATIONALISM_QUOTE_1,PLAY_NATIONALISM_QUOTE_1
CIVIC_NATIONALISM,LOC_CIVIC_NATIONALISM_QUOTE_2,PLAY_NATIONALISM_QUOTE_2
CIVIC_OPERA_BALLET,LOC_CIVIC_OPERA_BALLET_QUOTE_1,PLAY_OPERA_BALLET_QUOTE_2
CIVIC_OPERA_BALLET,LOC_CIVIC_OPERA_BALLET_QUOTE_2,PLAY_OPERA_BALLET_QUOTE_1
CIVIC_NATURAL_HISTORY,LOC_CIVIC_NATURAL_HISTORY_QUOTE_1,PLAY_NATURAL_HISTORY_QUOTE_2
CIVIC_NATURAL_HISTORY,LOC_CIVIC_NATURAL_HISTORY_QUOTE_2,PLAY_NATURAL_HISTORY_QUOTE_1
CIVIC_SCORCHED_EARTH,LOC_CIVIC_SCORCHED_EARTH_QUOTE_1,PLAY_SCORCHED_EARTH_QUOTE_1
CIVIC_SCORCHED_EARTH,LOC_CIVIC_SCORCHED_EARTH_QUOTE_2,PLAY_SCORCHED_EARTH_QUOTE_2
CIVIC_URBANIZATION,LOC_CIVIC_URBANIZATION_QUOTE_1,PLAY_URBANIZATION_QUOTE_1
CIVIC_URBANIZATION,LOC_CIVIC_URBANIZATION_QUOTE_2,PLAY_URBANIZATION_QUOTE_2
CIVIC_CAPITALISM,LOC_CIVIC_CAPITALISM_QUOTE_1,PLAY_CAPITALISM_QUOTE_1
CIVIC_CAPITALISM,LOC_CIVIC_CAPITALISM_QUOTE_2,PLAY_CAPITALISM_QUOTE_2
CIVIC_CONSERVATION,LOC_CIVIC_CONSERVATION_QUOTE_1,PLAY_CONSERVATION_QUOTE_1
CIVIC_CONSERVATION,LOC_CIVIC_CONSERVATION_QUOTE_2,PLAY_CONSERVATION_QUOTE_2
CIVIC_MASS_MEDIA,LOC_CIVIC_MASS_MEDIA_QUOTE_1,PLAY_MASS_MEDIA_QUOTE_2
CIVIC_MASS_MEDIA,LOC_CIVIC_MASS_MEDIA_QUOTE_2,PLAY_MASS_MEDIA_QUOTE_1
CIVIC_MOBILIZATION,LOC_CIVIC_MOBILIZATION_QUOTE_1,PLAY_MOBILIZATION_QUOTE_1
CIVIC_MOBILIZATION,LOC_CIVIC_MOBILIZATION_QUOTE_2,PLAY_MOBILIZATION_QUOTE_2
CIVIC_NUCLEAR_PROGRAM,LOC_CIVIC_NUCLEAR_PROGRAM_QUOTE_1,PLAY_NUCLEAR_PROGRAM_QUOTE_1
CIVIC_NUCLEAR_PROGRAM,LOC_CIVIC_NUCLEAR_PROGRAM_QUOTE_2,PLAY_NUCLEAR_PROGRAM_QUOTE_2
CIVIC_IDEOLOGY,LOC_CIVIC_IDEOLOGY_QUOTE_1,PLAY_IDEOLOGY_QUOTE_1
CIVIC_IDEOLOGY,LOC_CIVIC_IDEOLOGY_QUOTE_2,PLAY_IDEOLOGY_QUOTE_2
CIVIC_SUFFRAGE,LOC_CIVIC_SUFFRAGE_QUOTE_1,PLAY_SUFFRAGE_QUOTE_1
CIVIC_SUFFRAGE,LOC_CIVIC_SUFFRAGE_QUOTE_2,PLAY_SUFFRAGE_QUOTE_2
CIVIC_TOTALITARIANISM,LOC_CIVIC_TOTALITARIANISM_QUOTE_1,PLAY_TOTALITARIANISM_QUOTE_1
CIVIC_TOTALITARIANISM,LOC_CIVIC_TOTALITARIANISM_QUOTE_2,PLAY_TOTALITARIANISM_QUOTE_2
CIVIC_CLASS_STRUGGLE,LOC_CIVIC_CLASS_STRUGGLE_QUOTE_1,PLAY_CLASS_STRUGGLE_QUOTE_2
CIVIC_CLASS_STRUGGLE,LOC_CIVIC_CLASS_STRUGGLE_QUOTE_2,PLAY_CLASS_STRUGGLE_QUOTE_1
CIVIC_COLD_WAR,LOC_CIVIC_COLD_WAR_QUOTE_1,PLAY_COLD_WAR_QUOTE_1
CIVIC_COLD_WAR,LOC_CIVIC_COLD_WAR_QUOTE_2,PLAY_COLD_WAR_QUOTE_2
CIVIC_PROFESSIONAL_SPORTS,LOC_CIVIC_PROFESSIONAL_SPORTS_QUOTE_1,PLAY_PROFESSIONAL_SPORTS_QUOTE_2
CIVIC_PROFESSIONAL_SPORTS,LOC_CIVIC_PROFESSIONAL_SPORTS_QUOTE_2,PLAY_PROFESSIONAL_SPORTS_QUOTE_1
CIVIC_CULTURAL_HERITAGE,LOC_CIVIC_CULTURAL_HERITAGE_QUOTE_1,PLAY_CULTURAL_HERITAGE_QUOTE_1
CIVIC_CULTURAL_HERITAGE,LOC_CIVIC_CULTURAL_HERITAGE_QUOTE_2,PLAY_CULTURAL_HERITAGE_QUOTE_2
CIVIC_RAPID_DEPLOYMENT,LOC_CIVIC_RAPID_DEPLOYMENT_QUOTE_1,PLAY_RAPID_DEPLOYMENT_QUOTE_1
CIVIC_RAPID_DEPLOYMENT,LOC_CIVIC_RAPID_DEPLOYMENT_QUOTE_2,PLAY_RAPID_DEPLOYMENT_QUOTE_2
CIVIC_SPACE_RACE,LOC_CIVIC_SPACE_RACE_QUOTE_1,PLAY_SPACE_RACE_QUOTE_1
CIVIC_SPACE_RACE,LOC_CIVIC_SPACE_RACE_QUOTE_2,PLAY_SPACE_RACE_QUOTE_2
CIVIC_GLOBALIZATION,LOC_CIVIC_GLOBALIZATION_QUOTE_1,PLAY_GLOBALIZATION_QUOTE_1
CIVIC_GLOBALIZATION,LOC_CIVIC_GLOBALIZATION_QUOTE_2,PLAY_GLOBALIZATION_QUOTE_2
CIVIC_SOCIAL_MEDIA,LOC_CIVIC_SOCIAL_MEDIA_QUOTE_1,PLAY_SOCIAL_MEDIA_QUOTE_1
CIVIC_SOCIAL_MEDIA,LOC_CIVIC_SOCIAL_MEDIA_QUOTE_2,PLAY_SOCIAL_MEDIA_QUOTE_2
CIVIC_FUTURE_CIVIC,LOC_CIVIC_FUTURE_CIVIC_QUOTE_1,PLAY_FUTURE_CIVIC_QUOTE_1
CIVIC_FUTURE_CIVIC,LOC_CIVIC_FUTURE_CIVIC_QUOTE_2,PLAY_FUTURE_CIVIC_QUOTE_2
CIVIC_DIGITAL_DEMOCRACY,LOC_CIVIC_DIGITAL_DEMOCRACY_QUOTE_1,Play_LOC_CIVIC_DIGITAL_DEMOCRACY_QUOTE_1
CIVIC_ENVIRONMENTALISM,LOC_CIVIC_ENVIRONMENTALISM_QUOTE_1,Play_LOC_CIVIC_ENVIRONMENTALISM_QUOTE_1
CIVIC_SYNTHETIC_TECHNOCRACY,LOC_CIVIC_SYNTHETIC_TECHNOCRACY_QUOTE_1,Play_LOC_CIVIC_SYNTHETIC_TECHNOCRACY_QUOTE_1
CIVIC_CORPORATE_LIBERTARIANISM,LOC_CIVIC_CORPORATE_LIBERTARIANISM_QUOTE_1,Play_LOC_CIVIC_CORPORATE_LIBERTARIANISM_QUOTE_1
CIVIC_NEAR_FUTURE_GOVERNANCE,LOC_CIVIC_NEAR_FUTURE_GOVERNANCE_QUOTE_1,Play_LOC_CIVIC_NEAR_FUTURE_GOVERNANCE_QUOTE_1
CIVIC_EXODUS_IMPERATIVE,LOC_CIVIC_EXODUS_IMPERATIVE_QUOTE_1,Play_LOC_CIVIC_EXODUS_IMPERATIVE_QUOTE_1
CIVIC_CULTURAL_HEGEMONY,LOC_CIVIC_CULTURAL_HEGEMONY_QUOTE_1,Play_LOC_CIVIC_CULTURAL_HEGEMONY_QUOTE_1
CIVIC_INFORMATION_WARFARE,LOC_CIVIC_INFORMATION_WARFARE_QUOTE_1,Play_LOC_CIVIC_INFORMATION_WARFARE_QUOTE_1
CIVIC_INFORMATION_WARFARE,LOC_CIVIC_INFORMATION_WARFARE_QUOTE_2,Play_LOC_CIVIC_INFORMATION_WARFARE_QUOTE_2
CIVIC_GLOBAL_WARMING_MITIGATION,LOC_CIVIC_GLOBAL_WARMING_MITIGATION_QUOTE_1,Play_LOC_CIVIC_GLOBAL_WARMING_MITIGATION_QUOTE_1
CIVIC_SMART_POWER_DOCTRINE,LOC_CIVIC_SMART_POWER_DOCTRINE_QUOTE_1,Play_LOC_CIVIC_SMART_POWER_DOCTRINE_QUOTE_1
