NamedLakeType,CivilizationType
NAMED_LAKE_KHYARGAS_LAKE,CIVILIZATION_MONGOLIA
NAMED_LAKE_KOSI_LAKE,CIVILIZATION_ZULU
NAMED_LAKE_LAKE_ADAPASKAW,CIVILIZATION_CREE
NAMED_LAKE_LAKE_BUJO,CIVILIZATION_KOREA
NAMED_LAKE_LAKE_CHON,CIVILIZATION_KOREA
NAMED_LAKE_LAKE_GREVELINGEN,CIVILIZATION_NETHERLANDS
NAMED_LAKE_LAKE_KHASAN,CIVILIZATION_KOREA
NAMED_LAKE_LAKE_MARKEN,CIVILIZATION_NETHERLANDS
NAMED_LAKE_LAKE_NHLABANE,CIVILIZATION_ZULU
NAMED_LAKE_LAKE_OF_NAARDEN,CIVILIZATION_NETHERLANDS
NAMED_LAKE_LAKE_PALIASTOMI,CIVILIZATION_GEORGIA
NAMED_LAKE_LAKE_SAINT_LUCIA,CIVILIZATION_ZULU
NAMED_LAKE_LAKE_SIBHAYI,CIVILIZATION_ZULU
NAMED_LAKE_LAKE_WINNIPEG,CIVILIZATION_CREE
NAMED_LAKE_LAKE_WINNIPEGOSIS,CIVILIZATION_CREE
NAMED_LAKE_LAKE_IJSSEL,CIVILIZATION_NETHERLANDS
NAMED_LAKE_LAUWERS_LAKE,CIVILIZATION_NETHERLANDS
NAMED_LAKE_LOCH_AWE,CIVILIZATION_SCOTLAND
NAMED_LAKE_LOCH_CORUISK,CIVILIZATION_SCOTLAND
NAMED_LAKE_LOCH_FINLAGGAN,CIVILIZATION_SCOTLAND
NAMED_LAKE_LOCH_LOMOND,CIVILIZATION_SCOTLAND
NAMED_LAKE_LOCH_MAREE,CIVILIZATION_SCOTLAND
NAMED_LAKE_LOCH_MORAR,CIVILIZATION_SCOTLAND
NAMED_LAKE_LOCH_NESS,CIVILIZATION_SCOTLAND
NAMED_LAKE_LOCH_TAY,CIVILIZATION_SCOTLAND
NAMED_LAKE_MALLALAFQUEN,CIVILIZATION_MAPUCHE
NAMED_LAKE_ORETI_LAKE,CIVILIZATION_GEORGIA
NAMED_LAKE_PARAVANI_LAKE,CIVILIZATION_GEORGIA
NAMED_LAKE_REINDEER_LAKE,CIVILIZATION_CREE
NAMED_LAKE_RINIHUE_LAKE,CIVILIZATION_MAPUCHE
NAMED_LAKE_SAMJI_LAKE,CIVILIZATION_KOREA
NAMED_LAKE_TABATSKURI_LAKE,CIVILIZATION_GEORGIA
NAMED_LAKE_UTIKUMA_LAKE,CIVILIZATION_CREE
NAMED_LAKE_UVS_LAKE,CIVILIZATION_MONGOLIA
NAMED_LAKE_WABAMUN_LAKE,CIVILIZATION_CREE
NAMED_LAKE_WAKAW_LAKE,CIVILIZATION_CREE
NAMED_LAKE_WASKESIU_LAKE,CIVILIZATION_CREE
NAMED_LAKE_WOLLASTON_LAKE,CIVILIZATION_CREE
NAMED_LAKE_AGUA_VERMELHA,CIVILIZATION_BRAZIL
NAMED_LAKE_ARAL_SEA,CIVILIZATION_SCYTHIA
NAMED_LAKE_ARAL_SEA,CIVILIZATION_RUSSIA
NAMED_LAKE_BASSENTHWAITE_LAKE,CIVILIZATION_ENGLAND
NAMED_LAKE_BOURGET_LAKE,CIVILIZATION_FRANCE
NAMED_LAKE_CHAO_LAKE,CIVILIZATION_CHINA
NAMED_LAKE_CONISON_LAKE,CIVILIZATION_ENGLAND
NAMED_LAKE_DAL_LAKE,CIVILIZATION_INDIA
NAMED_LAKE_DERWENTWATER_LAKE,CIVILIZATION_ENGLAND
NAMED_LAKE_DIPOR_BIL,CIVILIZATION_INDIA
NAMED_LAKE_DOIRAN_LAKE,CIVILIZATION_GREECE
NAMED_LAKE_DONGTING_LAKE,CIVILIZATION_CHINA
NAMED_LAKE_EL_BRICIAL,CIVILIZATION_SPAIN
NAMED_LAKE_FELDGES_LAKE,CIVILIZATION_AMERICA
NAMED_LAKE_FEMUNDEN,CIVILIZATION_NORWAY
NAMED_LAKE_FUCINE_LAKE,CIVILIZATION_ROME
NAMED_LAKE_GREAT_BITTER_LAKE,CIVILIZATION_ARABIA
NAMED_LAKE_GREAT_BITTER_LAKE,CIVILIZATION_EGYPT
NAMED_LAKE_GREAT_SALT_LAKE,CIVILIZATION_AMERICA
NAMED_LAKE_GREENLEE_LOUGH,CIVILIZATION_ENGLAND
NAMED_LAKE_GUARAPIRANGA,CIVILIZATION_BRAZIL
NAMED_LAKE_HAWR_AS_SADIYAH,CIVILIZATION_SUMERIA
NAMED_LAKE_HONGZE_LAKE,CIVILIZATION_CHINA
NAMED_LAKE_HORNINDALSVATNET,CIVILIZATION_NORWAY
NAMED_LAKE_HULUN_LAKE,CIVILIZATION_CHINA
NAMED_LAKE_ILIAMNA_LAKE,CIVILIZATION_AMERICA
NAMED_LAKE_ISSYK_KUL_LAKE,CIVILIZATION_SCYTHIA
NAMED_LAKE_KILUNDA_LAKE,CIVILIZATION_KONGO
NAMED_LAKE_KOLLERU_LAKE,CIVILIZATION_INDIA
NAMED_LAKE_KONIGSSEE,CIVILIZATION_GERMANY
NAMED_LAKE_LAC_DE_GRAND_LIEU,CIVILIZATION_FRANCE
NAMED_LAKE_LAGOA_DOS_PATOS,CIVILIZATION_BRAZIL
NAMED_LAKE_LAKE_AIGUEBELETTE,CIVILIZATION_FRANCE
NAMED_LAKE_LAKE_ALAKOL,CIVILIZATION_SCYTHIA
NAMED_LAKE_LAKE_AMMER,CIVILIZATION_GERMANY
NAMED_LAKE_LAKE_ANNECY,CIVILIZATION_FRANCE
NAMED_LAKE_LAKE_BAIKAL,CIVILIZATION_RUSSIA
NAMED_LAKE_LAKE_BALKHASH,CIVILIZATION_SCYTHIA
NAMED_LAKE_LAKE_BARDAWIL,CIVILIZATION_EGYPT
NAMED_LAKE_LAKE_BENACUS,CIVILIZATION_ROME
NAMED_LAKE_LAKE_BIWA,CIVILIZATION_JAPAN
NAMED_LAKE_LAKE_BOLSENA,CIVILIZATION_ROME
NAMED_LAKE_LAKE_BRACCIANO,CIVILIZATION_ROME
NAMED_LAKE_LAKE_CHAMPLAIN,CIVILIZATION_AMERICA
NAMED_LAKE_LAKE_CHIEMSEE,CIVILIZATION_GERMANY
NAMED_LAKE_LAKE_CONSTANCE,CIVILIZATION_GERMANY
NAMED_LAKE_LAKE_COPAIS,CIVILIZATION_GREECE
NAMED_LAKE_LAKE_ENOL,CIVILIZATION_SPAIN
NAMED_LAKE_LAKE_ERCINA,CIVILIZATION_SPAIN
NAMED_LAKE_LAKE_ERIE,CIVILIZATION_AMERICA
NAMED_LAKE_LAKE_GENEVA,CIVILIZATION_FRANCE
NAMED_LAKE_LAKE_HABBANIYAH,CIVILIZATION_SUMERIA
NAMED_LAKE_LAKE_HAMMAR,CIVILIZATION_SUMERIA
NAMED_LAKE_LAKE_HURON,CIVILIZATION_AMERICA
NAMED_LAKE_LAKE_IDKU,CIVILIZATION_EGYPT
NAMED_LAKE_LAKE_INAWASHIRO,CIVILIZATION_JAPAN
NAMED_LAKE_LAKE_ISEO,CIVILIZATION_ROME
NAMED_LAKE_LAKE_KARLA,CIVILIZATION_GREECE
NAMED_LAKE_LAKE_KASUMIGAURA,CIVILIZATION_JAPAN
NAMED_LAKE_LAKE_KAWAGUCHI,CIVILIZATION_JAPAN
NAMED_LAKE_LAKE_KHANKA,CIVILIZATION_CHINA
NAMED_LAKE_LAKE_KHANKA,CIVILIZATION_RUSSIA
NAMED_LAKE_LAKE_KORONEIA,CIVILIZATION_GREECE
NAMED_LAKE_LAKE_KUMMEROW,CIVILIZATION_GERMANY
NAMED_LAKE_LAKE_LADOGA,CIVILIZATION_RUSSIA
NAMED_LAKE_LAKE_LARIUS,CIVILIZATION_ROME
NAMED_LAKE_LAKE_MAI_NDOMBE,CIVILIZATION_KONGO
NAMED_LAKE_LAKE_MANZALA,CIVILIZATION_EGYPT
NAMED_LAKE_LAKE_MARIOUT,CIVILIZATION_EGYPT
NAMED_LAKE_LAKE_MER_WER,CIVILIZATION_EGYPT
NAMED_LAKE_LAKE_MICHIGAN,CIVILIZATION_AMERICA
NAMED_LAKE_LAKE_MURITZ,CIVILIZATION_GERMANY
NAMED_LAKE_LAKE_NAKAUMI,CIVILIZATION_JAPAN
NAMED_LAKE_LAKE_OF_BANYOLES,CIVILIZATION_SPAIN
NAMED_LAKE_LAKE_OF_THE_WOODS,CIVILIZATION_AMERICA
NAMED_LAKE_LAKE_OKEECHOBEE,CIVILIZATION_AMERICA
NAMED_LAKE_LAKE_ONEGA,CIVILIZATION_RUSSIA
NAMED_LAKE_LAKE_ONTARIO,CIVILIZATION_AMERICA
NAMED_LAKE_LAKE_PEIPUS,CIVILIZATION_RUSSIA
NAMED_LAKE_LAKE_PRESPA,CIVILIZATION_GREECE
NAMED_LAKE_LAKE_SCHWERIN,CIVILIZATION_GERMANY
NAMED_LAKE_LAKE_SHINJI,CIVILIZATION_JAPAN
NAMED_LAKE_LAKE_STARNBERG,CIVILIZATION_GERMANY
NAMED_LAKE_LAKE_SUPERIOR,CIVILIZATION_AMERICA
NAMED_LAKE_LAKE_TAHOE,CIVILIZATION_AMERICA
NAMED_LAKE_LAKE_TAI,CIVILIZATION_CHINA
NAMED_LAKE_LAKE_TAI,CIVILIZATION_SCYTHIA
NAMED_LAKE_LAKE_TAYMYR,CIVILIZATION_RUSSIA
NAMED_LAKE_LAKE_TRASIMENE,CIVILIZATION_ROME
NAMED_LAKE_LAKE_TRICHONIDA,CIVILIZATION_GREECE
NAMED_LAKE_LAKE_TUMBA,CIVILIZATION_KONGO
NAMED_LAKE_LAKE_VEGORITIDA,CIVILIZATION_GREECE
NAMED_LAKE_LAKE_VERBANUS,CIVILIZATION_ROME
NAMED_LAKE_LAKE_VISTONIDA,CIVILIZATION_GREECE
NAMED_LAKE_LAKE_VOLVI,CIVILIZATION_GREECE
NAMED_LAKE_LAKE_WALCHEN,CIVILIZATION_GERMANY
NAMED_LAKE_LAKE_WINDERMERE,CIVILIZATION_ENGLAND
NAMED_LAKE_LAKE_WINNEBAGO,CIVILIZATION_AMERICA
NAMED_LAKE_LOKTAK_LAKE,CIVILIZATION_INDIA
NAMED_LAKE_MAHARLOO_LAKE,CIVILIZATION_SUMERIA
NAMED_LAKE_MJOSA,CIVILIZATION_NORWAY
NAMED_LAKE_MUNDAU_LAGOON,CIVILIZATION_BRAZIL
NAMED_LAKE_OROS_LAKE,CIVILIZATION_BRAZIL
NAMED_LAKE_PANGONG_TSO,CIVILIZATION_INDIA
NAMED_LAKE_PLAUER_SEE,CIVILIZATION_GERMANY
NAMED_LAKE_POYANG_LAKE,CIVILIZATION_CHINA
NAMED_LAKE_QINGHAI_LAKE,CIVILIZATION_CHINA
NAMED_LAKE_REPRESA_DE_ENG_SOUZA_DIAS,CIVILIZATION_BRAZIL
NAMED_LAKE_ROSSVATNET,CIVILIZATION_NORWAY
NAMED_LAKE_SAALER_BODDEN,CIVILIZATION_GERMANY
NAMED_LAKE_SANABRIA_LAKE,CIVILIZATION_SPAIN
NAMED_LAKE_SARYGAMYSH_LAKE,CIVILIZATION_SCYTHIA
NAMED_LAKE_SCHAALSEE,CIVILIZATION_GERMANY
NAMED_LAKE_SEA_OF_GALILEE,CIVILIZATION_ARABIA
NAMED_LAKE_STEINHUDER_MEER,CIVILIZATION_GERMANY
NAMED_LAKE_TINNSJOEN,CIVILIZATION_NORWAY
NAMED_LAKE_ULLSWATER_LAKE,CIVILIZATION_ENGLAND
NAMED_LAKE_VEMBANAD_LAKE,CIVILIZATION_INDIA
NAMED_LAKE_WEST_LAKE,CIVILIZATION_CHINA
NAMED_LAKE_TYRIFJORDEN,CIVILIZATION_NORWAY
NAMED_LAKE_SNASAVATNET,CIVILIZATION_NORWAY
NAMED_LAKE_LIMINGEN,CIVILIZATION_NORWAY
NAMED_LAKE_MOSVATNET ,CIVILIZATION_NORWAY
NAMED_LAKE_OYEREN,CIVILIZATION_NORWAY
NAMED_LAKE_BLASJO,CIVILIZATION_NORWAY
NAMED_LAKE_ALTYEVATNET,CIVILIZATION_NORWAY
NAMED_LAKE_NISSER,CIVILIZATION_NORWAY
NAMED_LAKE_NORSJO,CIVILIZATION_NORWAY
NAMED_LAKE_SELBUSJOEN,CIVILIZATION_NORWAY
NAMED_LAKE_LAKE_SUPERIOR,CIVILIZATION_CANADA
NAMED_LAKE_LAKE_ERIE,CIVILIZATION_CANADA
NAMED_LAKE_LAKE_HURON,CIVILIZATION_CANADA
NAMED_LAKE_LAKE_CHAMPLAIN,CIVILIZATION_CANADA
NAMED_LAKE_LAKE_WINNIPEG,CIVILIZATION_CANADA
NAMED_LAKE_LAKE_ONTARIO,CIVILIZATION_CANADA
NAMED_LAKE_LAKE_LOUISE,CIVILIZATION_CANADA
NAMED_LAKE_REINDEER_LAKE,CIVILIZATION_CANADA
NAMED_LAKE_SHUSWAP_LAKE,CIVILIZATION_CANADA
NAMED_LAKE_GREAT_SLAVE_LAKE,CIVILIZATION_CANADA
NAMED_LAKE_GREAT_BEAR_LAKE,CIVILIZATION_CANADA
NAMED_LAKE_LAKE_OF_THE_WOODS,CIVILIZATION_CANADA
NAMED_LAKE_LAKE_MISTASSINI,CIVILIZATION_CANADA
NAMED_LAKE_LAKE_NIPIGON,CIVILIZATION_CANADA
NAMED_LAKE_LAKE_BALATON,CIVILIZATION_HUNGARY
NAMED_LAKE_LAKE_VELENCE,CIVILIZATION_HUNGARY
NAMED_LAKE_LAKE_SZELID,CIVILIZATION_HUNGARY
NAMED_LAKE_LAKE_FERTO,CIVILIZATION_HUNGARY
NAMED_LAKE_LAKE_HEVIZ,CIVILIZATION_HUNGARY
NAMED_LAKE_LAKE_PUWPU,CIVILIZATION_INCA
NAMED_LAKE_LAKE_TITIQAQA,CIVILIZATION_INCA
NAMED_LAKE_PALLQAQUCHA,CIVILIZATION_INCA
NAMED_LAKE_PARIWANAQUCHA,CIVILIZATION_INCA
NAMED_LAKE_YANAQUCHA,CIVILIZATION_INCA
NAMED_LAKE_CHINCHAYQUCHA,CIVILIZATION_INCA
NAMED_LAKE_LAKE_ANTOGO,CIVILIZATION_MALI
NAMED_LAKE_LAKE_AOUGOUNDOU,CIVILIZATION_MALI
NAMED_LAKE_LAKE_DEBO,CIVILIZATION_MALI
NAMED_LAKE_LAKE_FAGUIBINE,CIVILIZATION_MALI
NAMED_LAKE_LAKE_NIANGAY,CIVILIZATION_MALI
NAMED_LAKE_TE_WAIHORA,CIVILIZATION_MAORI
NAMED_LAKE_LAKE_MANAPOURI,CIVILIZATION_MAORI
NAMED_LAKE_LAKE_WANAKA,CIVILIZATION_MAORI
NAMED_LAKE_LAKE_WAKATIPU,CIVILIZATION_MAORI
NAMED_LAKE_LAKE_WAIKAREMOANA,CIVILIZATION_MAORI
NAMED_LAKE_LAKE_PUKAKI,CIVILIZATION_MAORI
NAMED_LAKE_LAKE_ROTOITI,CIVILIZATION_MAORI
NAMED_LAKE_LAKE_ROTOMAHANA,CIVILIZATION_MAORI
NAMED_LAKE_LAKE_ROTORUA,CIVILIZATION_MAORI
NAMED_LAKE_LAKE_HAUROKO,CIVILIZATION_MAORI
NAMED_LAKE_LAKE_TAUPO,CIVILIZATION_MAORI
NAMED_LAKE_LAKE_TE_ANAU,CIVILIZATION_MAORI
NAMED_LAKE_LAKE_EGIRDIR,CIVILIZATION_OTTOMAN
NAMED_LAKE_LAKE_BURDUR,CIVILIZATION_OTTOMAN
NAMED_LAKE_LAKE_BEYSEHIR,CIVILIZATION_OTTOMAN
NAMED_LAKE_LAKE_IZNIK,CIVILIZATION_OTTOMAN
NAMED_LAKE_LAKE_VAN,CIVILIZATION_OTTOMAN
NAMED_LAKE_LAKE_TUZ,CIVILIZATION_OTTOMAN
NAMED_LAKE_ICHKEUL_LAKE,CIVILIZATION_PHOENICIA
NAMED_LAKE_SEA_OF_GALILEE,CIVILIZATION_PHOENICIA
NAMED_LAKE_MALAREN,CIVILIZATION_SWEDEN
NAMED_LAKE_HJALMAREN,CIVILIZATION_SWEDEN
NAMED_LAKE_STORSJON,CIVILIZATION_SWEDEN
NAMED_LAKE_VANERN,CIVILIZATION_SWEDEN
NAMED_LAKE_VATTERN,CIVILIZATION_SWEDEN
NAMED_LAKE_LAKE_IZABAL,CIVILIZATION_MAYA
NAMED_LAKE_LAKE_PETEN_ITZA,CIVILIZATION_MAYA
NAMED_LAKE_LAKE_AMATITLAN,CIVILIZATION_MAYA
NAMED_LAKE_LAKE_GUIJA,CIVILIZATION_MAYA
NAMED_LAKE_LAKE_LEOPOLDO,CIVILIZATION_GRAN_COLOMBIA
NAMED_LAKE_LAKE_VALENCIA,CIVILIZATION_GRAN_COLOMBIA
NAMED_LAKE_LAKE_TOTA,CIVILIZATION_GRAN_COLOMBIA
NAMED_LAKE_LAGUNA_DE_LA_COCHA,CIVILIZATION_GRAN_COLOMBIA
NAMED_LAKE_LAKE_HERRERA,CIVILIZATION_GRAN_COLOMBIA
NAMED_LAKE_LAKE_EGIRDIR,CIVILIZATION_BYZANTIUM
NAMED_LAKE_LAKE_BURDUR,CIVILIZATION_BYZANTIUM
NAMED_LAKE_LAKE_BEYSEHIR,CIVILIZATION_BYZANTIUM
NAMED_LAKE_LAKE_IZNIK,CIVILIZATION_BYZANTIUM
NAMED_LAKE_LAKE_VAN,CIVILIZATION_BYZANTIUM
NAMED_LAKE_LAKE_TUZ,CIVILIZATION_BYZANTIUM
NAMED_LAKE_LAKE_GENEVA,CIVILIZATION_GAUL
NAMED_LAKE_LAKE_NEUCHATEL,CIVILIZATION_GAUL
NAMED_LAKE_BA_BE_LAKE,CIVILIZATION_VIETNAM
NAMED_LAKE_HO_TAY,CIVILIZATION_VIETNAM
NAMED_LAKE_LAK_LAKE,CIVILIZATION_VIETNAM
NAMED_LAKE_LAKE_TURKANA,CIVILIZATION_ETHIOPIA
NAMED_LAKE_LAKE_TANA,CIVILIZATION_ETHIOPIA
NAMED_LAKE_LAKE_ABAYA,CIVILIZATION_ETHIOPIA
NAMED_LAKE_LAKE_ZIWAY,CIVILIZATION_ETHIOPIA
NAMED_LAKE_LAKE_CHAMO,CIVILIZATION_ETHIOPIA
NAMED_LAKE_LAKE_SHALA,CIVILIZATION_ETHIOPIA
NAMED_LAKE_LAKE_CHEW_BAHIR,CIVILIZATION_ETHIOPIA
NAMED_LAKE_LAKE_ABBE,CIVILIZATION_ETHIOPIA
NAMED_LAKE_HAWR_AS_SADIYAH,CIVILIZATION_BABYLON_STK
NAMED_LAKE_LAKE_HABBANIYAH,CIVILIZATION_BABYLON_STK
NAMED_LAKE_LAKE_HAMMAR,CIVILIZATION_BABYLON_STK
NAMED_LAKE_MAHARLOO_LAKE,CIVILIZATION_BABYLON_STK
NAMED_LAKE_LAGOA_DO_FOGO,CIVILIZATION_PORTUGAL
NAMED_LAKE_LAGOA_DAS_SETE_CIDADES,CIVILIZATION_PORTUGAL
NAMED_LAKE_LAGOA_DAS_FURNAS,CIVILIZATION_PORTUGAL
NAMED_LAKE_LAGOA_DE_SANTIAGO,CIVILIZATION_PORTUGAL
NAMED_LAKE_LAGOAS_DE_BERTIANDOS,CIVILIZATION_PORTUGAL
NAMED_LAKE_PATEIRA_DE_FERMENTELOS,CIVILIZATION_PORTUGAL
NAMED_LAKE_LAGOA_DA_VELA,CIVILIZATION_PORTUGAL
