GreatWorkType,YieldType,YieldChange
GREATWORK_ANGUISSOLA_2,YIELD_CULTURE,3
GREATWORK_ANGUISSOLA_3,YIELD_CULTURE,3
GREATWORK_KAUFFMAN_1,YIELD_CULTURE,3
GREATWORK_KAUFFMAN_2,YIELD_CULTURE,3
GREATWORK_KAUFFMAN_3,YIELD_CULTURE,3
GREATWORK_HOKUSAI_1,YIELD_CULTURE,3
GREATWORK_HOKUSAI_2,YIELD_CULTURE,3
GREATWORK_HOKUSAI_3,YIELD_CULTURE,3
GREATWORK_EOP_1,YIELD_CULTURE,3
GREATWORK_EOP_2,YIELD_CULTURE,3
GREATWORK_EOP_3,YIELD_CULTURE,3
GREATWORK_GOGH_1,YIELD_CULTURE,3
GREATWORK_GOGH_2,YIELD_CULTURE,3
GREATWORK_GOGH_3,YIELD_CULTURE,3
GREATWORK_LEWIS_1,YIELD_CULTURE,3
GREATWORK_LEWIS_2,YIELD_CULTURE,3
GREATWORK_LEWIS_3,YIELD_CULTURE,3
GREATWORK_COLLOT_1,YIELD_CULTURE,3
GREATWORK_COLLOT_2,YIELD_CULTURE,3
GREATWORK_COLLOT_3,YIELD_CULTURE,3
GREATWORK_MONET_1,YIELD_CULTURE,3
GREATWORK_MONET_2,YIELD_CULTURE,3
GREATWORK_MONET_3,YIELD_CULTURE,3
GREATWORK_ORLOVSKY_1,YIELD_CULTURE,3
GREATWORK_ORLOVSKY_2,YIELD_CULTURE,3
GREATWORK_ORLOVSKY_3,YIELD_CULTURE,3
GREATWORK_KLIMT_1,YIELD_CULTURE,3
GREATWORK_KLIMT_2,YIELD_CULTURE,3
GREATWORK_KLIMT_3,YIELD_CULTURE,3
GREATWORK_GIL_1,YIELD_CULTURE,3
GREATWORK_GIL_2,YIELD_CULTURE,3
GREATWORK_GIL_3,YIELD_CULTURE,3
GREATWORK_CASSATT_1,YIELD_CULTURE,3
GREATWORK_CASSATT_2,YIELD_CULTURE,3
GREATWORK_CASSATT_3,YIELD_CULTURE,3
GREATWORK_VIVALDI_1,YIELD_CULTURE,4
GREATWORK_VIVALDI_2,YIELD_CULTURE,4
GREATWORK_BACH_1,YIELD_CULTURE,4
GREATWORK_BACH_2,YIELD_CULTURE,4
GREATWORK_BEETHOVEN_1,YIELD_CULTURE,4
GREATWORK_BEETHOVEN_2,YIELD_CULTURE,4
GREATWORK_MOZART_1,YIELD_CULTURE,4
GREATWORK_MOZART_2,YIELD_CULTURE,4
GREATWORK_KENGYO_1,YIELD_CULTURE,4
GREATWORK_KENGYO_2,YIELD_CULTURE,4
GREATWORK_GOMEZ_1,YIELD_CULTURE,4
GREATWORK_GOMEZ_2,YIELD_CULTURE,4
GREATWORK_LISZT_1,YIELD_CULTURE,4
GREATWORK_LISZT_2,YIELD_CULTURE,4
GREATWORK_CHOPIN_1,YIELD_CULTURE,4
GREATWORK_CHOPIN_2,YIELD_CULTURE,4
GREATWORK_TCHAIKOVSKY_1,YIELD_CULTURE,4
GREATWORK_TCHAIKOVSKY_2,YIELD_CULTURE,4
GREATWORK_TIANHUA_1,YIELD_CULTURE,4
GREATWORK_TIANHUA_2,YIELD_CULTURE,4
GREATWORK_DVORAK_1,YIELD_CULTURE,4
GREATWORK_DVORAK_2,YIELD_CULTURE,4
GREATWORK_SCHUMANN_1,YIELD_CULTURE,4
GREATWORK_SCHUMANN_2,YIELD_CULTURE,4
GREATWORK_ROSAS_1,YIELD_CULTURE,4
GREATWORK_ROSAS_2,YIELD_CULTURE,4
GREATWORK_LILIUOKALANI_1,YIELD_CULTURE,4
GREATWORK_LILIUOKALANI_2,YIELD_CULTURE,4
GREATWORK_JAAN_1,YIELD_CULTURE,4
GREATWORK_JAAN_2,YIELD_CULTURE,4
GREATWORK_LEONTOVYCH_1,YIELD_CULTURE,4
GREATWORK_LEONTOVYCH_2,YIELD_CULTURE,4
GREATWORK_RELIC_1,YIELD_FAITH,4
GREATWORK_RELIC_2,YIELD_FAITH,4
GREATWORK_RELIC_3,YIELD_FAITH,4
GREATWORK_RELIC_4,YIELD_FAITH,4
GREATWORK_RELIC_5,YIELD_FAITH,4
GREATWORK_RELIC_6,YIELD_FAITH,4
GREATWORK_RELIC_7,YIELD_FAITH,4
GREATWORK_RELIC_8,YIELD_FAITH,4
GREATWORK_RELIC_9,YIELD_FAITH,4
GREATWORK_RELIC_10,YIELD_FAITH,4
GREATWORK_RELIC_11,YIELD_FAITH,4
GREATWORK_RELIC_12,YIELD_FAITH,4
GREATWORK_RELIC_13,YIELD_FAITH,4
GREATWORK_RELIC_14,YIELD_FAITH,4
GREATWORK_RELIC_15,YIELD_FAITH,4
GREATWORK_RELIC_16,YIELD_FAITH,4
GREATWORK_RELIC_17,YIELD_FAITH,4
GREATWORK_RELIC_18,YIELD_FAITH,4
GREATWORK_RELIC_19,YIELD_FAITH,4
GREATWORK_RELIC_20,YIELD_FAITH,4
GREATWORK_RELIC_21,YIELD_FAITH,4
GREATWORK_RELIC_22,YIELD_FAITH,4
GREATWORK_RELIC_23,YIELD_FAITH,4
GREATWORK_RELIC_24,YIELD_FAITH,4
GREATWORK_ARTIFACT_1,YIELD_CULTURE,3
GREATWORK_ARTIFACT_2,YIELD_CULTURE,3
GREATWORK_ARTIFACT_3,YIELD_CULTURE,3
GREATWORK_ARTIFACT_4,YIELD_CULTURE,3
GREATWORK_ARTIFACT_5,YIELD_CULTURE,3
GREATWORK_ARTIFACT_6,YIELD_CULTURE,3
GREATWORK_ARTIFACT_7,YIELD_CULTURE,3
GREATWORK_ARTIFACT_8,YIELD_CULTURE,3
GREATWORK_ARTIFACT_9,YIELD_CULTURE,3
GREATWORK_ARTIFACT_10,YIELD_CULTURE,3
GREATWORK_ARTIFACT_11,YIELD_CULTURE,3
GREATWORK_ARTIFACT_12,YIELD_CULTURE,3
GREATWORK_ARTIFACT_13,YIELD_CULTURE,3
GREATWORK_ARTIFACT_14,YIELD_CULTURE,3
GREATWORK_ARTIFACT_15,YIELD_CULTURE,3
GREATWORK_ARTIFACT_16,YIELD_CULTURE,3
GREATWORK_ARTIFACT_17,YIELD_CULTURE,3
GREATWORK_ARTIFACT_18,YIELD_CULTURE,3
GREATWORK_ARTIFACT_19,YIELD_CULTURE,3
GREATWORK_ARTIFACT_20,YIELD_CULTURE,3
GREATWORK_ARTIFACT_21,YIELD_CULTURE,3
GREATWORK_ARTIFACT_22,YIELD_CULTURE,3
GREATWORK_ARTIFACT_23,YIELD_CULTURE,3
GREATWORK_ARTIFACT_24,YIELD_CULTURE,3
GREATWORK_ARTIFACT_25,YIELD_CULTURE,3
GREATWORK_RELIC_25,YIELD_FAITH,4
GREATWORK_RELIC_26,YIELD_FAITH,4
GREATWORK_RELIC_27,YIELD_FAITH,4
GREATWORK_RELIC_28,YIELD_FAITH,4
GREATWORK_RELIC_29,YIELD_FAITH,4
GREATWORK_RELIC_30,YIELD_FAITH,4
GREATWORK_RELIC_31,YIELD_FAITH,4
GREATWORK_RELIC_32,YIELD_FAITH,4
GREATWORK_RELIC_33,YIELD_FAITH,4
GREATWORK_RELIC_34,YIELD_FAITH,4
GREATWORK_RELIC_35,YIELD_FAITH,4
GREATWORK_RELIC_36,YIELD_FAITH,4
GREATWORK_RELIC_37,YIELD_FAITH,4
GREATWORK_RELIC_38,YIELD_FAITH,4
GREATWORK_RELIC_39,YIELD_FAITH,4
GREATWORK_RELIC_40,YIELD_FAITH,4
GREATWORK_RELIC_41,YIELD_FAITH,4
GREATWORK_RELIC_42,YIELD_FAITH,4
GREATWORK_RELIC_43,YIELD_FAITH,4
GREATWORK_RELIC_44,YIELD_FAITH,4
GREATWORK_RELIC_45,YIELD_FAITH,4
GREATWORK_RELIC_46,YIELD_FAITH,4
GREATWORK_RELIC_47,YIELD_FAITH,4
GREATWORK_RELIC_48,YIELD_FAITH,4
GREATWORK_BEHZAD_1,YIELD_CULTURE,3
GREATWORK_BEHZAD_2,YIELD_CULTURE,3
GREATWORK_BEHZAD_3,YIELD_CULTURE,3
GREATWORK_TOHAKU_1,YIELD_CULTURE,3
GREATWORK_TOHAKU_2,YIELD_CULTURE,3
GREATWORK_TOHAKU_3,YIELD_CULTURE,3
GREATWORK_KANDINSKY_1,YIELD_CULTURE,3
GREATWORK_KANDINSKY_2,YIELD_CULTURE,3
GREATWORK_KANDINSKY_3,YIELD_CULTURE,3
GREATWORK_BABYLON_CANTEMIR_1,YIELD_CULTURE,4
GREATWORK_BABYLON_CANTEMIR_2,YIELD_CULTURE,4
GREATWORK_BABYLON_CANTEMIR_3,YIELD_CULTURE,4
GREATWORK_BABYLON_JOPLIN_1,YIELD_CULTURE,4
GREATWORK_BABYLON_JOPLIN_2,YIELD_CULTURE,4
GREATWORK_BABYLON_JOPLIN_3,YIELD_CULTURE,4
GREATWORK_BABYLON_BEATRIX_POTTER_1,YIELD_CULTURE,4
GREATWORK_BABYLON_BEATRIX_POTTER_2,YIELD_CULTURE,4
GREATWORK_BABYLON_VALMIKI_1,YIELD_CULTURE,4
GREATWORK_BABYLON_VALMIKI_2,YIELD_CULTURE,4
GREATWORK_BABYLON_RUMI_1,YIELD_CULTURE,4
GREATWORK_BABYLON_RUMI_2,YIELD_CULTURE,4
GREATWORK_BABYLON_GABRIELA_MISTRAL_1,YIELD_CULTURE,4
GREATWORK_BABYLON_GABRIELA_MISTRAL_2,YIELD_CULTURE,4
GREATWORK_HERO_SYMBOL_ANANSI,YIELD_FAITH,2
GREATWORK_HERO_SYMBOL_ANANSI,YIELD_CULTURE,2
GREATWORK_HERO_EPIC_ANANSI,YIELD_FAITH,2
GREATWORK_HERO_EPIC_ANANSI,YIELD_CULTURE,2
GREATWORK_HERO_SYMBOL_ARTHUR,YIELD_FAITH,2
GREATWORK_HERO_SYMBOL_ARTHUR,YIELD_CULTURE,2
GREATWORK_HERO_EPIC_ARTHUR,YIELD_FAITH,2
GREATWORK_HERO_EPIC_ARTHUR,YIELD_CULTURE,2
GREATWORK_HERO_SYMBOL_BEOWULF,YIELD_FAITH,2
GREATWORK_HERO_SYMBOL_BEOWULF,YIELD_CULTURE,2
GREATWORK_HERO_EPIC_BEOWULF,YIELD_FAITH,2
GREATWORK_HERO_EPIC_BEOWULF,YIELD_CULTURE,2
GREATWORK_HERO_SYMBOL_HERCULES,YIELD_FAITH,2
GREATWORK_HERO_SYMBOL_HERCULES,YIELD_CULTURE,2
GREATWORK_HERO_EPIC_HERCULES,YIELD_FAITH,2
GREATWORK_HERO_EPIC_HERCULES,YIELD_CULTURE,2
GREATWORK_HERO_SYMBOL_HIMIKO,YIELD_FAITH,2
GREATWORK_HERO_SYMBOL_HIMIKO,YIELD_CULTURE,2
GREATWORK_HERO_EPIC_HIMIKO,YIELD_FAITH,2
GREATWORK_HERO_EPIC_HIMIKO,YIELD_CULTURE,2
GREATWORK_HERO_SYMBOL_HIPPOLYTA,YIELD_FAITH,2
GREATWORK_HERO_SYMBOL_HIPPOLYTA,YIELD_CULTURE,2
GREATWORK_HERO_EPIC_HIPPOLYTA,YIELD_FAITH,2
GREATWORK_HERO_EPIC_HIPPOLYTA,YIELD_CULTURE,2
GREATWORK_HERO_SYMBOL_HUNAHPU,YIELD_FAITH,2
GREATWORK_HERO_SYMBOL_HUNAHPU,YIELD_CULTURE,2
GREATWORK_HERO_EPIC_HUNAHPU,YIELD_FAITH,2
GREATWORK_HERO_EPIC_HUNAHPU,YIELD_CULTURE,2
GREATWORK_HERO_SYMBOL_OYA,YIELD_FAITH,2
GREATWORK_HERO_SYMBOL_OYA,YIELD_CULTURE,2
GREATWORK_HERO_EPIC_OYA,YIELD_FAITH,2
GREATWORK_HERO_EPIC_OYA,YIELD_CULTURE,2
GREATWORK_HERO_SYMBOL_MAUI,YIELD_FAITH,2
GREATWORK_HERO_SYMBOL_MAUI,YIELD_CULTURE,2
GREATWORK_HERO_EPIC_MAUI,YIELD_FAITH,2
GREATWORK_HERO_EPIC_MAUI,YIELD_CULTURE,2
GREATWORK_HERO_SYMBOL_MULAN,YIELD_FAITH,2
GREATWORK_HERO_SYMBOL_MULAN,YIELD_CULTURE,2
GREATWORK_HERO_EPIC_MULAN,YIELD_FAITH,2
GREATWORK_HERO_EPIC_MULAN,YIELD_CULTURE,2
GREATWORK_HERO_SYMBOL_SINBAD,YIELD_FAITH,2
GREATWORK_HERO_SYMBOL_SINBAD,YIELD_CULTURE,2
GREATWORK_HERO_EPIC_SINBAD,YIELD_FAITH,2
GREATWORK_HERO_EPIC_SINBAD,YIELD_CULTURE,2
GREATWORK_HERO_SYMBOL_WUKONG,YIELD_FAITH,2
GREATWORK_HERO_SYMBOL_WUKONG,YIELD_CULTURE,2
GREATWORK_HERO_EPIC_WUKONG,YIELD_FAITH,2
GREATWORK_HERO_EPIC_WUKONG,YIELD_CULTURE,2
