CivilizationType,Name,Description,Adjective,RandomCityNameDepth,StartingCivilizationLevelType,Ethnicity
CIVILIZATION_SCYTHIA,LOC_CIVILIZATION_SCYTHIA_NAME,LOC_CIVILIZATION_SCYTHIA_DESCRIPTION,LOC_CIVILIZATION_SCYTHIA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_MEDIT
CIVILIZATION_SPAIN,LOC_CIVILIZATION_SPAIN_NAME,LOC_CIVILIZATION_SPAIN_DESCRIPTION,LOC_CIVILIZATION_SPAIN_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_EURO
CIVILIZATION_SUMERIA,LOC_CIVILIZATION_SUMERIA_NAME,LOC_CIVILIZATION_SUMERIA_DESCRIPTION,LOC_CIVILIZATION_SUMERIA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_MEDIT
CIVILIZATION_BRUSSELS,LOC_CIVILIZATION_BRUSSELS_NAME,LOC_CIVILIZATION_BRUSSELS_DESCRIPTION,LOC_CIVILIZATION_BRUSSELS_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_BUENOS_AIRES,LOC_CIVILIZATION_BUENOS_AIRES_NAME,LOC_CIVILIZATION_BUENOS_AIRES_DESCRIPTION,LOC_CIVILIZATION_BUENOS_AIRES_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_GENEVA,LOC_CIVILIZATION_GENEVA_NAME,LOC_CIVILIZATION_GENEVA_DESCRIPTION,LOC_CIVILIZATION_GENEVA_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_HATTUSA,LOC_CIVILIZATION_HATTUSA_NAME,LOC_CIVILIZATION_HATTUSA_DESCRIPTION,LOC_CIVILIZATION_HATTUSA_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_HONG_KONG,LOC_CIVILIZATION_HONG_KONG_NAME,LOC_CIVILIZATION_HONG_KONG_DESCRIPTION,LOC_CIVILIZATION_HONG_KONG_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_JAKARTA,LOC_CIVILIZATION_BANDAR_BRUNEI_NAME,LOC_CIVILIZATION_BANDAR_BRUNEI_DESCRIPTION,LOC_CIVILIZATION_BANDAR_BRUNEI_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_JERUSALEM,LOC_CIVILIZATION_JERUSALEM_NAME,LOC_CIVILIZATION_JERUSALEM_DESCRIPTION,LOC_CIVILIZATION_JERUSALEM_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_KABUL,LOC_CIVILIZATION_KABUL_NAME,LOC_CIVILIZATION_KABUL_DESCRIPTION,LOC_CIVILIZATION_KABUL_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_KANDY,LOC_CIVILIZATION_KANDY_NAME,LOC_CIVILIZATION_KANDY_DESCRIPTION,LOC_CIVILIZATION_KANDY_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_KUMASI,LOC_CIVILIZATION_KUMASI_NAME,LOC_CIVILIZATION_KUMASI_DESCRIPTION,LOC_CIVILIZATION_KUMASI_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_LA_VENTA,LOC_CIVILIZATION_LA_VENTA_NAME,LOC_CIVILIZATION_LA_VENTA_DESCRIPTION,LOC_CIVILIZATION_LA_VENTA_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_LISBON,LOC_CIVILIZATION_LISBON_NAME,LOC_CIVILIZATION_LISBON_DESCRIPTION,LOC_CIVILIZATION_LISBON_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_MOHENJO_DARO,LOC_CIVILIZATION_MOHENJO_DARO_NAME,LOC_CIVILIZATION_MOHENJO_DARO_DESCRIPTION,LOC_CIVILIZATION_MOHENJO_DARO_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_NAN_MADOL,LOC_CIVILIZATION_NAN_MADOL_NAME,LOC_CIVILIZATION_NAN_MADOL_DESCRIPTION,LOC_CIVILIZATION_NAN_MADOL_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_PRESLAV,LOC_CIVILIZATION_PRESLAV_NAME,LOC_CIVILIZATION_PRESLAV_DESCRIPTION,LOC_CIVILIZATION_PRESLAV_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_VALLETTA,LOC_CIVILIZATION_VALLETTA_NAME,LOC_CIVILIZATION_VALLETTA_DESCRIPTION,LOC_CIVILIZATION_VALLETTA_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_VILNIUS,LOC_CIVILIZATION_VILNIUS_NAME,LOC_CIVILIZATION_VILNIUS_DESCRIPTION,LOC_CIVILIZATION_VILNIUS_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_YEREVAN,LOC_CIVILIZATION_YEREVAN_NAME,LOC_CIVILIZATION_YEREVAN_DESCRIPTION,LOC_CIVILIZATION_YEREVAN_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_ZANZIBAR,LOC_CIVILIZATION_ZANZIBAR_NAME,LOC_CIVILIZATION_ZANZIBAR_DESCRIPTION,LOC_CIVILIZATION_ZANZIBAR_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_BARBARIAN,LOC_CIVILIZATION_BARBARIAN_NAME,LOC_CIVILIZATION_BARBARIAN_DESCRIPTION,LOC_CIVILIZATION_BARBARIAN_ADJECTIVE,1,CIVILIZATION_LEVEL_TRIBE,
CIVILIZATION_AZTEC,LOC_CIVILIZATION_AZTEC_NAME,LOC_CIVILIZATION_AZTEC_DESCRIPTION,LOC_CIVILIZATION_AZTEC_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,
CIVILIZATION_INDONESIA,LOC_CIVILIZATION_INDONESIA_NAME,LOC_CIVILIZATION_INDONESIA_DESCRIPTION,LOC_CIVILIZATION_INDONESIA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,
CIVILIZATION_KHMER,LOC_CIVILIZATION_KHMER_NAME,LOC_CIVILIZATION_KHMER_DESCRIPTION,LOC_CIVILIZATION_KHMER_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,
CIVILIZATION_AUCKLAND,LOC_CIVILIZATION_AUCKLAND_NAME,LOC_CIVILIZATION_AUCKLAND_DESCRIPTION,LOC_CIVILIZATION_AUCKLAND_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_ANTANANARIVO,LOC_CIVILIZATION_ANTANANARIVO_NAME,LOC_CIVILIZATION_ANTANANARIVO_DESCRIPTION,LOC_CIVILIZATION_ANTANANARIVO_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_ARMAGH,LOC_CIVILIZATION_ARMAGH_NAME,LOC_CIVILIZATION_ARMAGH_DESCRIPTION,LOC_CIVILIZATION_ARMAGH_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_GRANADA,LOC_CIVILIZATION_GRANADA_NAME,LOC_CIVILIZATION_GRANADA_DESCRIPTION,LOC_CIVILIZATION_GRANADA_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_MUSCAT,LOC_CIVILIZATION_MUSCAT_NAME,LOC_CIVILIZATION_MUSCAT_DESCRIPTION,LOC_CIVILIZATION_MUSCAT_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_PALENQUE,LOC_CIVILIZATION_MITLA_NAME,LOC_CIVILIZATION_MITLA_DESCRIPTION,LOC_CIVILIZATION_MITLA_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_POLAND,LOC_CIVILIZATION_POLAND_NAME,LOC_CIVILIZATION_POLAND_DESCRIPTION,LOC_CIVILIZATION_POLAND_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,
CIVILIZATION_NUBIA,LOC_CIVILIZATION_NUBIA_NAME,LOC_CIVILIZATION_NUBIA_DESCRIPTION,LOC_CIVILIZATION_NUBIA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_AFRICAN
CIVILIZATION_MACEDON,LOC_CIVILIZATION_MACEDON_NAME,LOC_CIVILIZATION_MACEDON_DESCRIPTION,LOC_CIVILIZATION_MACEDON_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,
CIVILIZATION_PERSIA,LOC_CIVILIZATION_PERSIA_NAME,LOC_CIVILIZATION_PERSIA_DESCRIPTION,LOC_CIVILIZATION_PERSIA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,
CIVILIZATION_AUSTRALIA,LOC_CIVILIZATION_AUSTRALIA_NAME,LOC_CIVILIZATION_AUSTRALIA_DESCRIPTION,LOC_CIVILIZATION_AUSTRALIA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_EURO
CIVILIZATION_CREE,LOC_CIVILIZATION_CREE_NAME,LOC_CIVILIZATION_CREE_DESCRIPTION,LOC_CIVILIZATION_CREE_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_SOUTHAM
CIVILIZATION_GEORGIA,LOC_CIVILIZATION_GEORGIA_NAME,LOC_CIVILIZATION_GEORGIA_DESCRIPTION,LOC_CIVILIZATION_GEORGIA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_SOUTHAM
CIVILIZATION_KOREA,LOC_CIVILIZATION_KOREA_NAME,LOC_CIVILIZATION_KOREA_DESCRIPTION,LOC_CIVILIZATION_KOREA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_ASIAN
CIVILIZATION_MAPUCHE,LOC_CIVILIZATION_MAPUCHE_NAME,LOC_CIVILIZATION_MAPUCHE_DESCRIPTION,LOC_CIVILIZATION_MAPUCHE_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_SOUTHAM
CIVILIZATION_MONGOLIA,LOC_CIVILIZATION_MONGOLIA_NAME,LOC_CIVILIZATION_MONGOLIA_DESCRIPTION,LOC_CIVILIZATION_MONGOLIA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_ASIAN
CIVILIZATION_NETHERLANDS,LOC_CIVILIZATION_NETHERLANDS_NAME,LOC_CIVILIZATION_NETHERLANDS_DESCRIPTION,LOC_CIVILIZATION_NETHERLANDS_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_EURO
CIVILIZATION_SCOTLAND,LOC_CIVILIZATION_SCOTLAND_NAME,LOC_CIVILIZATION_SCOTLAND_DESCRIPTION,LOC_CIVILIZATION_SCOTLAND_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_EURO
CIVILIZATION_ZULU,LOC_CIVILIZATION_ZULU_NAME,LOC_CIVILIZATION_ZULU_DESCRIPTION,LOC_CIVILIZATION_ZULU_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_AFRICAN
CIVILIZATION_ANTIOCH,LOC_CIVILIZATION_ANTIOCH_NAME,LOC_CIVILIZATION_ANTIOCH_DESCRIPTION,LOC_CIVILIZATION_ANTIOCH_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_BABYLON,LOC_CIVILIZATION_BABYLON_NAME,LOC_CIVILIZATION_BABYLON_DESCRIPTION,LOC_CIVILIZATION_BABYLON_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_FREE_CITIES,LOC_CIVILIZATION_FREE_CITIES_NAME,LOC_CIVILIZATION_FREE_CITIES_DESCRIPTION,LOC_CIVILIZATION_FREE_CITIES_ADJECTIVE,1,CIVILIZATION_LEVEL_FREE_CITIES,
CIVILIZATION_AKKAD,LOC_CIVILIZATION_AKKAD_NAME,LOC_CIVILIZATION_AKKAD_DESCRIPTION,LOC_CIVILIZATION_AKKAD_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_BOLOGNA,LOC_CIVILIZATION_BOLOGNA_NAME,LOC_CIVILIZATION_BOLOGNA_DESCRIPTION,LOC_CIVILIZATION_BOLOGNA_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_CAHOKIA,LOC_CIVILIZATION_CAHOKIA_NAME,LOC_CIVILIZATION_CAHOKIA_DESCRIPTION,LOC_CIVILIZATION_CAHOKIA_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_CARDIFF,LOC_CIVILIZATION_CARDIFF_NAME,LOC_CIVILIZATION_CARDIFF_DESCRIPTION,LOC_CIVILIZATION_CARDIFF_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_FEZ,LOC_CIVILIZATION_FEZ_NAME,LOC_CIVILIZATION_FEZ_DESCRIPTION,LOC_CIVILIZATION_FEZ_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_MEXICO_CITY,LOC_CIVILIZATION_MEXICO_CITY_NAME,LOC_CIVILIZATION_MEXICO_CITY_DESCRIPTION,LOC_CIVILIZATION_MEXICO_CITY_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_NAZCA,LOC_CIVILIZATION_NAZCA_NAME,LOC_CIVILIZATION_NAZCA_DESCRIPTION,LOC_CIVILIZATION_NAZCA_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_NGAZARGAMU,LOC_CIVILIZATION_NGAZARGAMU_NAME,LOC_CIVILIZATION_NGAZARGAMU_DESCRIPTION,LOC_CIVILIZATION_NGAZARGAMU_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_RAPA_NUI,LOC_CIVILIZATION_RAPA_NUI_NAME,LOC_CIVILIZATION_RAPA_NUI_DESCRIPTION,LOC_CIVILIZATION_RAPA_NUI_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_CANADA,LOC_CIVILIZATION_CANADA_NAME,LOC_CIVILIZATION_CANADA_DESCRIPTION,LOC_CIVILIZATION_CANADA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_EURO
CIVILIZATION_HUNGARY,LOC_CIVILIZATION_HUNGARY_NAME,LOC_CIVILIZATION_HUNGARY_DESCRIPTION,LOC_CIVILIZATION_HUNGARY_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_EURO
CIVILIZATION_INCA,LOC_CIVILIZATION_INCA_NAME,LOC_CIVILIZATION_INCA_DESCRIPTION,LOC_CIVILIZATION_INCA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_SOUTHAM
CIVILIZATION_MALI,LOC_CIVILIZATION_MALI_NAME,LOC_CIVILIZATION_MALI_DESCRIPTION,LOC_CIVILIZATION_MALI_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_AFRICAN
CIVILIZATION_MAORI,LOC_CIVILIZATION_MAORI_NAME,LOC_CIVILIZATION_MAORI_DESCRIPTION,LOC_CIVILIZATION_MAORI_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_SOUTHAM
CIVILIZATION_OTTOMAN,LOC_CIVILIZATION_OTTOMAN_NAME,LOC_CIVILIZATION_OTTOMAN_DESCRIPTION,LOC_CIVILIZATION_OTTOMAN_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_MEDIT
CIVILIZATION_PHOENICIA,LOC_CIVILIZATION_PHOENICIA_NAME,LOC_CIVILIZATION_PHOENICIA_DESCRIPTION,LOC_CIVILIZATION_PHOENICIA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_MEDIT
CIVILIZATION_SWEDEN,LOC_CIVILIZATION_SWEDEN_NAME,LOC_CIVILIZATION_SWEDEN_DESCRIPTION,LOC_CIVILIZATION_SWEDEN_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_EURO
CIVILIZATION_GRAN_COLOMBIA,LOC_CIVILIZATION_GRAN_COLOMBIA_NAME,LOC_CIVILIZATION_GRAN_COLOMBIA_DESCRIPTION,LOC_CIVILIZATION_GRAN_COLOMBIA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_SOUTHAM
CIVILIZATION_MAYA,LOC_CIVILIZATION_MAYA_NAME,LOC_CIVILIZATION_MAYA_DESCRIPTION,LOC_CIVILIZATION_MAYA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_SOUTHAM
CIVILIZATION_CAGUANA,LOC_CIVILIZATION_CAGUANA_NAME,LOC_CIVILIZATION_CAGUANA_DESCRIPTION,LOC_CIVILIZATION_CAGUANA_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_HUNZA,LOC_CIVILIZATION_HUNZA_NAME,LOC_CIVILIZATION_HUNZA_DESCRIPTION,LOC_CIVILIZATION_HUNZA_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_LAHORE,LOC_CIVILIZATION_LAHORE_NAME,LOC_CIVILIZATION_LAHORE_DESCRIPTION,LOC_CIVILIZATION_LAHORE_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_SINGAPORE,LOC_CIVILIZATION_SINGAPORE_NAME,LOC_CIVILIZATION_SINGAPORE_DESCRIPTION,LOC_CIVILIZATION_SINGAPORE_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_TARUGA,LOC_CIVILIZATION_TARUGA_NAME,LOC_CIVILIZATION_TARUGA_DESCRIPTION,LOC_CIVILIZATION_TARUGA_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_VATICAN_CITY,LOC_CIVILIZATION_VATICAN_CITY_NAME,LOC_CIVILIZATION_VATICAN_CITY_DESCRIPTION,LOC_CIVILIZATION_VATICAN_CITY_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_BYZANTIUM,LOC_CIVILIZATION_BYZANTIUM_NAME,LOC_CIVILIZATION_BYZANTIUM_DESCRIPTION,LOC_CIVILIZATION_BYZANTIUM_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_EURO
CIVILIZATION_GAUL,LOC_CIVILIZATION_GAUL_NAME,LOC_CIVILIZATION_GAUL_DESCRIPTION,LOC_CIVILIZATION_GAUL_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_EURO
CIVILIZATION_VIETNAM,LOC_CIVILIZATION_VIETNAM_NAME,LOC_CIVILIZATION_VIETNAM_DESCRIPTION,LOC_CIVILIZATION_VIETNAM_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_ASIAN
CIVILIZATION_ETHIOPIA,LOC_CIVILIZATION_ETHIOPIA_NAME,LOC_CIVILIZATION_ETHIOPIA_DESCRIPTION,LOC_CIVILIZATION_ETHIOPIA_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_AFRICAN
CIVILIZATION_BABYLON_STK,LOC_CIVILIZATION_BABYLON_STK_NAME,LOC_CIVILIZATION_BABYLON_STK_DESCRIPTION,LOC_CIVILIZATION_BABYLON_STK_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_MEDIT
CIVILIZATION_AYUTTHAYA,LOC_CIVILIZATION_AYUTTHAYA_NAME,LOC_CIVILIZATION_AYUTTHAYA_DESCRIPTION,LOC_CIVILIZATION_AYUTTHAYA_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_CHINGUETTI,LOC_CIVILIZATION_CHINGUETTI_NAME,LOC_CIVILIZATION_CHINGUETTI_DESCRIPTION,LOC_CIVILIZATION_CHINGUETTI_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_JOHANNESBURG,LOC_CIVILIZATION_JOHANNESBURG_NAME,LOC_CIVILIZATION_JOHANNESBURG_DESCRIPTION,LOC_CIVILIZATION_JOHANNESBURG_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_NALANDA,LOC_CIVILIZATION_NALANDA_NAME,LOC_CIVILIZATION_NALANDA_DESCRIPTION,LOC_CIVILIZATION_NALANDA_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_SAMARKAND,LOC_CIVILIZATION_SAMARKAND_NAME,LOC_CIVILIZATION_SAMARKAND_DESCRIPTION,LOC_CIVILIZATION_SAMARKAND_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_WOLIN,LOC_CIVILIZATION_WOLIN_NAME,LOC_CIVILIZATION_WOLIN_DESCRIPTION,LOC_CIVILIZATION_WOLIN_ADJECTIVE,1,CIVILIZATION_LEVEL_CITY_STATE,
CIVILIZATION_PORTUGAL,LOC_CIVILIZATION_PORTUGAL_NAME,LOC_CIVILIZATION_PORTUGAL_DESCRIPTION,LOC_CIVILIZATION_PORTUGAL_ADJECTIVE,10,CIVILIZATION_LEVEL_FULL_CIV,ETHNICITY_EURO
