CivilizationType,TraitType
CIVILIZATION_MONGOLIA,TRAIT_CIVILIZATION_BUILDING_ORDU
CIVILIZATION_MONGOLIA,TRAIT_CIVILIZATION_UNIT_MONGOLIAN_KESHIG
CIVILIZATION_NETHERLANDS,TRAIT_CIVILIZATION_GROTE_RIVIEREN
CIVILIZATION_NETHERLANDS,TRAIT_CIVILIZATION_IMPROVEMENT_POLDER
CIVILIZATION_NETHERLANDS,TRAIT_CIVILIZATION_UNIT_DUTCH_ZEVEN_PROVINCIEN
CIVILIZATION_SCOTLAND,TRAIT_CIVILIZATION_SCOTTISH_ENLIGHTENMENT
CIVILIZATION_SCOTLAND,TRAIT_CIVILIZATION_IMPROVEMENT_GOLF_COURSE
CIVILIZATION_SCOTLAND,TRAIT_CIVILIZATION_UNIT_SCOTTISH_HIGHLANDER
CIVILIZATION_ZULU,TRAIT_CIVILIZATION_DISTRICT_IKANDA
CIVILIZATION_ZULU,TRAIT_CIVILIZATION_UNIT_ZULU_IMPI
CIVILIZATION_ZULU,TRAIT_CIVILIZATION_ZULU_ISIBONGO
CIVILIZATION_ENGLAND,TRAIT_CIVILIZATION_INDUSTRIAL_REVOLUTION
CIVILIZATION_CANADA,TRAIT_CIVILIZATION_FACES_OF_PEACE
CIVILIZATION_CANADA,TRAIT_CIVILIZATION_IMPROVEMENT_ICE_HOCKEY_RINK
CIVILIZATION_CANADA,TRAIT_CIVILIZATION_UNIT_CANADA_MOUNTIE
CIVILIZATION_HUNGARY,TRAIT_CIVILIZATION_PEARL_DANUBE
CIVILIZATION_HUNGARY,TRAIT_CIVILIZATION_BUILDING_THERMAL_BATH
CIVILIZATION_HUNGARY,TRAIT_CIVILIZATION_UNIT_HUNGARY_HUSZAR
CIVILIZATION_INCA,TRAIT_CIVILIZATION_GREAT_MOUNTAINS
CIVILIZATION_INCA,TRAIT_CIVILIZATION_IMPROVEMENT_TERRACE_FARM
CIVILIZATION_INCA,TRAIT_CIVILIZATION_UNIT_INCA_WARAKAQ
CIVILIZATION_MALI,TRAIT_CIVILIZATION_MALI_GOLD_DESERT
CIVILIZATION_MALI,TRAIT_CIVILIZATION_DISTRICT_SUGUBA
CIVILIZATION_MALI,TRAIT_CIVILIZATION_UNIT_MALI_MANDEKALU_CAVALRY
CIVILIZATION_MAORI,TRAIT_CIVILIZATION_BUILDING_MARAE
CIVILIZATION_MAORI,TRAIT_CIVILIZATION_MAORI_MANA
CIVILIZATION_MAORI,TRAIT_CIVILIZATION_IMPROVEMENT_MAORI_PA
CIVILIZATION_MAORI,TRAIT_CIVILIZATION_UNIT_MAORI_TOA
CIVILIZATION_OTTOMAN,TRAIT_CIVILIZATION_BUILDING_GRAND_BAZAAR
CIVILIZATION_OTTOMAN,TRAIT_CIVILIZATION_GREAT_TURKISH_BOMBARD
CIVILIZATION_OTTOMAN,TRAIT_CIVILIZATION_UNIT_OTTOMAN_BARBARY_CORSAIR
CIVILIZATION_PHOENICIA,TRAIT_CIVILIZATION_MEDITERRANEAN_COLONIES
CIVILIZATION_PHOENICIA,TRAIT_CIVILIZATION_DISTRICT_COTHON
CIVILIZATION_PHOENICIA,TRAIT_CIVILIZATION_UNIT_PHOENICIA_BIREME
CIVILIZATION_SWEDEN,TRAIT_CIVILIZATION_NOBEL_PRIZE
CIVILIZATION_SWEDEN,TRAIT_CIVILIZATION_IMPROVEMENT_OPEN_AIR_MUSEUM
CIVILIZATION_SWEDEN,TRAIT_CIVILIZATION_UNIT_SWEDEN_CAROLEAN
CIVILIZATION_GRAN_COLOMBIA,TRAIT_CIVILIZATION_EJERCITO_PATRIOTA
CIVILIZATION_GRAN_COLOMBIA,TRAIT_CIVILIZATION_IMPROVEMENT_HACIENDA
CIVILIZATION_GRAN_COLOMBIA,TRAIT_CIVILIZATION_COMANDANTE_GENERAL
CIVILIZATION_GRAN_COLOMBIA,TRAIT_CIVILIZATION_LLANERO
CIVILIZATION_MAYA,TRAIT_CIVILIZATION_MAYAB
CIVILIZATION_MAYA,TRAIT_CIVILIZATION_DISTRICT_OBSERVATORY
CIVILIZATION_MAYA,TRAIT_CIVILIZATION_HULCHE
CIVILIZATION_BYZANTIUM,TRAIT_CIVILIZATION_BYZANTIUM
CIVILIZATION_BYZANTIUM,TRAIT_CIVILIZATION_DISTRICT_HIPPODROME
CIVILIZATION_BYZANTIUM,TRAIT_CIVILIZATION_UNIT_BYZANTINE_DROMON
CIVILIZATION_GAUL,TRAIT_CIVILIZATION_GAUL
CIVILIZATION_GAUL,TRAIT_CIVILIZATION_DISTRICT_OPPIDUM
CIVILIZATION_GAUL,TRAIT_CIVILIZATION_UNIT_GAUL_GAESATAE
CIVILIZATION_VIETNAM,TRAIT_CIVILIZATION_VIETNAM
CIVILIZATION_VIETNAM,TRAIT_CIVILIZATION_DISTRICT_THANH
CIVILIZATION_VIETNAM,TRAIT_CIVILIZATION_UNIT_VIETNAMESE_VOI_CHIEN
CIVILIZATION_ETHIOPIA,TRAIT_CIVILIZATION_ETHIOPIA
CIVILIZATION_ETHIOPIA,TRAIT_CIVILIZATION_IMPROVEMENT_ROCK_HEWN_CHURCH
CIVILIZATION_ETHIOPIA,TRAIT_CIVILIZATION_UNIT_ETHIOPIAN_OROMO_CAVALRY
CIVILIZATION_BABYLON_STK,TRAIT_CIVILIZATION_BABYLON
CIVILIZATION_BABYLON_STK,TRAIT_CIVILIZATION_BUILDING_PALGUM
CIVILIZATION_BABYLON_STK,TRAIT_CIVILIZATION_UNIT_BABYLONIAN_SABUM_KIBITTUM
CIVILIZATION_PORTUGAL,TRAIT_CIVILIZATION_PORTUGAL
CIVILIZATION_PORTUGAL,TRAIT_CIVILIZATION_BUILDING_NAVIGATION_SCHOOL
CIVILIZATION_PORTUGAL,TRAIT_CIVILIZATION_IMPROVEMENT_FEITORIA
CIVILIZATION_PORTUGAL,TRAIT_CIVILIZATION_UNIT_PORTUGUESE_NAU
