NotificationType,Message,Summary,SeverityType,ExpiresEndOfTurn,ExpiresEndOfNextTurn,SubType,AutoNotify,GroupType,Icon,AutoActivate,VisibleInUI,ShowIconSinglePlayer
NOTIFICATION_PLAYER_DEFEATED,,,MID,1,0,,0,,,0,1,1
NOTIFICATION_SEQUENTIAL_TURNS,,,MID,1,0,,0,,,0,1,1
NOTIFICATION_SIMULTANEOUS_TURNS,,,MID,1,0,,0,,,0,1,1
NOTIFICATION_TECH_BOOST,,,MID,1,0,,0,TECH_BOOST,,1,1,1
NOTIFICATION_CIVIC_BOOST,,,MID,1,0,,0,CIVIC_BOOST,,1,1,1
NOTIFICATION_TECH_DISCOVERED,,,MID,1,0,,0,NOTIFICATION_TECH_DISCOVERED,,0,1,0
NOTIFICATION_CIVIC_DISCOVERED,,,MID,1,0,,0,NOTIFICATION_CIVIC_DISCOVERED,,0,1,0
NOTIFICATION_USER_DEFINED_1,,,MID,1,0,,0,USER,,0,1,1
NOTIFICATION_USER_DEFINED_2,,,MID,1,0,,0,USER,,0,1,1
NOTIFICATION_USER_DEFINED_3,,,MID,1,0,,0,USER,,0,1,1
NOTIFICATION_USER_DEFINED_4,,,MID,1,0,,0,USER,,0,1,1
NOTIFICATION_USER_DEFINED_5,,,MID,1,0,,0,USER,,0,1,1
NOTIFICATION_USER_DEFINED_6,,,MID,1,0,,0,USER,,0,1,1
NOTIFICATION_USER_DEFINED_7,,,MID,1,0,,0,USER,,0,1,1
NOTIFICATION_USER_DEFINED_8,,,MID,1,0,,0,USER,,0,1,1
NOTIFICATION_USER_DEFINED_9,,,MID,1,0,,0,USER,,0,1,1
NOTIFICATION_SPY_CHOOSE_ESCAPE_ROUTE,LOC_NOTIFICATION_SPY_CHOOSE_ESCAPE_ROUTE_MESSAGE,LOC_NOTIFICATION_SPY_CHOOSE_ESCAPE_ROUTE_SUMMARY,HIGH,0,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_CHOOSE_DRAGNET_PRIORITY,LOC_NOTIFICATION_SPY_CHOOSE_DRAGNET_PRIORITY_MESSAGE,LOC_NOTIFICATION_SPY_CHOOSE_DRAGNET_PRIORITY_SUMMARY,HIGH,0,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_HEIST_GREAT_WORK,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_ENEMY_HEIST_GREAT_WORK,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_RECRUIT_PARTISANS,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_ENEMY_RECRUIT_PARTISANS,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_SABOTAGED_PRODUCTION,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_ENEMY_SABOTAGED_PRODUCTION,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_SIPHONED_FUNDS,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_ENEMY_SIPHONED_FUNDS,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_STOLE_TECH_BOOST,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_ENEMY_STOLE_TECH_BOOST,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_DISRUPTED_ROCKETRY,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_ENEMY_DISRUPTED_ROCKETRY,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_MISSION_FAILED,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_CAPTURED,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_ENEMY_CAPTURED,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_KILLED,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_ENEMY_KILLED,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_MISSION_ABORTED,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_COUNTERSPY_PROMOTED,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_CITY_SOURCES_GAINED,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_LISTENING_POST,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_FLED_CITY,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_ESCAPED_CAPTURE,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_UNIT_DISBANDED,,,MID,1,0,,0,,,0,1,1
NOTIFICATION_UNIT_ATTACKED,,,MID,1,0,,0,,,0,1,1
NOTIFICATION_UNIT_CAPTURED,,,MID,1,0,,0,,,0,1,1
NOTIFICATION_UNIT_LOST,,,MID,1,0,,0,,,0,1,1
NOTIFICATION_UNIT_PROMOTION_AVAILABLE,LOC_NOTIFICATION_UNIT_PROMOTION_AVAILABLE_MESSAGE,LOC_NOTIFICATION_UNIT_PROMOTION_AVAILABLE_SUMMARY,MID,0,0,,0,,,0,1,1
NOTIFICATION_DIPLOMACY_SESSION,LOC_NOTIFICATION_DIPLOMACY_SESSION_MESSAGE,LOC_NOTIFICATION_DIPLOMACY_SESSION_SUMMARY,MID,0,0,,0,,,0,1,1
NOTIFICATION_CITYSTATE_QUEST_GIVEN,LOC_NOTIFICATION_CITYSTATE_QUEST_GIVEN_MESSAGE,LOC_NOTIFICATION_CITYSTATE_QUEST_GIVEN_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_CITYSTATE_QUEST_COMPLETED,LOC_NOTIFICATION_CITYSTATE_QUEST_COMPLETED_MESSAGE,LOC_NOTIFICATION_CITYSTATE_QUEST_COMPLETED_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_CITYSTATE_MET_FIRST,LOC_NOTIFICATION_CITYSTATE_MET_FIRST_MESSAGE,LOC_NOTIFICATION_CITYSTATE_MET_FIRST_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_CITYSTATE_USURPED,LOC_NOTIFICATION_CITYSTATE_USURPED_MESSAGE,LOC_NOTIFICATION_CITYSTATE_USURPED_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_TRADE_ROUTE_PLUNDERED,LOC_NOTIFICATION_TRADE_ROUTE_PLUNDERED_MESSAGE,LOC_NOTIFICATION_TRADE_ROUTE_PLUNDERED_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_TRADING_POST_CREATED,LOC_NOTIFICATION_TRADING_POST_CREATED_MESSAGE,LOC_NOTIFICATION_TRADING_POST_CREATED_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_TRADE_ROUTE_CAPACITY_INCREASED,LOC_NOTIFICATION_TRADE_ROUTE_CAPACITY_INCREASED_MESSAGE,LOC_NOTIFICATION_TRADE_ROUTE_CAPACITY_INCREASED_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_REBELLION,LOC_NOTIFICATION_REBELLION_MESSAGE,LOC_NOTIFICATION_REBELLION_SUMMARY,HIGH,0,0,,0,,,0,1,1
NOTIFICATION_CITY_LOW_AMENITIES,LOC_NOTIFICATION_CITY_LOW_AMENITIES_MESSAGE,LOC_NOTIFICATION_CITY_LOW_AMENITIES_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_HOUSING_PREVENTING_GROWTH,LOC_NOTIFICATION_HOUSING_PREVENTING_GROWTH_MESSAGE,LOC_NOTIFICATION_HOUSING_PREVENTING_GROWTH_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_CITY_STARVING,LOC_NOTIFICATION_CITY_STARVING_MESSAGE,LOC_NOTIFICATION_CITY_STARVING_SUMMARY,HIGH,1,0,,0,,,0,1,1
NOTIFICATION_CITY_FOOD_FOCUS,LOC_NOTIFICATION_CITY_FOOD_FOCUS_MESSAGE,LOC_NOTIFICATION_CITY_FOOD_FOCUS_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_TREASURY_BANKRUPT,LOC_NOTIFICATION_TREASURY_BANKRUPT_MESSAGE,LOC_NOTIFICATION_TREASURY_BANKRUPT_SUMMARY,HIGH,1,0,,0,,,0,1,1
NOTIFICATION_BARBARIANS_SIGHTED,LOC_NOTIFICATION_BARBARIANS_SIGHTED_MESSAGE,LOC_NOTIFICATION_BARBARIANS_SIGHTED_SUMMARY,LOW,0,1,,0,,,0,1,1
NOTIFICATION_NEW_BARBARIAN_CAMP,LOC_NOTIFICATION_NEW_BARBARIAN_CAMP_MESSAGE,LOC_NOTIFICATION_NEW_BARBARIAN_CAMP_SUMMARY,LOW,0,1,,0,,,0,1,1
NOTIFICATION_DISCOVER_CONTINENT,LOC_NOTIFICATION_DISCOVER_CONTINENT_MESSAGE,LOC_NOTIFICATION_DISCOVER_CONTINENT_SUMMARY,LOW,1,0,,0,,,0,1,1
NOTIFICATION_DISCOVER_GOODY_HUT,LOC_NOTIFICATION_DISCOVER_GOODY_HUT_MESSAGE,LOC_NOTIFICATION_DISCOVER_GOODY_HUT_SUMMARY,LOW,1,0,,0,DISCOVER,,0,1,1
NOTIFICATION_DISCOVER_NATURAL_WONDER,LOC_NOTIFICATION_DISCOVER_NATURAL_WONDER_MESSAGE,LOC_NOTIFICATION_DISCOVER_NATURAL_WONDER_SUMMARY,MID,1,0,,0,DISCOVER,,0,1,1
NOTIFICATION_DISCOVER_RESOURCE,LOC_NOTIFICATION_DISCOVER_RESOURCE_MESSAGE,LOC_NOTIFICATION_DISCOVER_RESOURCE_SUMMARY,LOW,1,0,,0,DISCOVER,,0,1,1
NOTIFICATION_RELIC_CREATED,LOC_NOTIFICATION_RELIC_CREATED_MESSAGE,LOC_NOTIFICATION_RELIC_CREATED_SUMMARY,MID,1,0,,0,,,1,1,1
NOTIFICATION_DIPLOMATIC_PROMISE_TO_KEPT,LOC_NOTIFICATION_DIPLO_PROMISE_TO_KEPT_MESSAGE,LOC_NOTIFICATION_DIPLO_PROMISE_TO_KEPT_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_DIPLOMATIC_PROMISE_FROM_KEPT,LOC_NOTIFICATION_DIPLO_PROMISE_FROM_KEPT_MESSAGE,LOC_NOTIFICATION_DIPLO_PROMISE_FROM_KEPT_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_DIPLOMATIC_PROMISE_TO_BROKEN,LOC_NOTIFICATION_DIPLO_PROMISE_TO_BROKEN_MESSAGE,LOC_NOTIFICATION_DIPLO_PROMISE_TO_BROKEN_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_DIPLOMATIC_PROMISE_FROM_BROKEN,LOC_NOTIFICATION_DIPLO_PROMISE_FROM_BROKEN_MESSAGE,LOC_NOTIFICATION_DIPLO_PROMISE_FROM_BROKEN_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_DIPLO_FRIENDSHIP_EXPIRED,LOC_NOTIFICATION_DIPLO_FRIENDSHIP_EXPIRED_MESSAGE,LOC_NOTIFICATION_DIPLO_FRIENDSHIP_EXPIRED_SUMMARY,MID,0,1,,0,,,0,1,1
NOTIFICATION_DIPLO_ALLIANCE_EXPIRED,LOC_NOTIFICATION_DIPLO_ALLIANCE_EXPIRED_MESSAGE,LOC_NOTIFICATION_DIPLO_ALLIANCE_EXPIRED_SUMMARY,MID,0,1,,0,,,0,1,1
NOTIFICATION_BORDERS_NOW_ENFORCED,LOC_NOTIFICATION_BORDERS_NOW_ENFORCED_MESSAGE,LOC_NOTIFICATION_BORDERS_NOW_ENFORCED_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_TILE_PILLAGED,,,HIGH,0,1,,0,,,0,1,1
NOTIFICATION_WONDER_COMPLETED,LOC_NOTIFICATION_WONDER_COMPLETED_MESSAGE,LOC_NOTIFICATION_WONDER_COMPLETED_SUMMARY,MID,0,0,,0,,,0,1,1
NOTIFICATION_WONDER_FAILED,LOC_NOTIFICATION_WONDER_FAILED_MESSAGE,LOC_NOTIFICATION_WONDER_FAILED_SUMMARY,MID,0,0,,0,,,0,1,1
NOTIFICATION_CAPITAL_LOST,LOC_NOTIFICATION_CAPITAL_LOST_MESSAGE,LOC_NOTIFICATION_CAPITAL_LOST_SUMMARY,MID,0,1,,0,,,0,1,1
NOTIFICATION_CAPITAL_CAPTURED,LOC_NOTIFICATION_CAPITAL_LOST_MESSAGE,LOC_NOTIFICATION_CAPITAL_LOST_SUMMARY,MID,0,1,,0,,,0,1,1
NOTIFICATION_CAPITAL_RECLAIMED,LOC_NOTIFICATION_CAPITAL_RECLAIMED_MESSAGE,LOC_NOTIFICATION_CAPITAL_RECLAIMED_SUMMARY,MID,0,1,,0,,,0,1,1
NOTIFICATION_ROADS_UPGRADED,LOC_NOTIFICATION_ROADS_UPGRADED_MESSAGE,LOC_NOTIFICATION_ROADS_UPGRADED_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_MY_DOMINANT_CULTURE,LOC_NOTIFICATION_MY_DOMINANT_CULTURE_MESSAGE,LOC_NOTIFICATION_MY_DOMINANT_CULTURE_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_OTHER_DOMINANT_CULTURE,LOC_NOTIFICATION_OTHER_DOMINANT_CULTURE_MESSAGE,LOC_NOTIFICATION_OTHER_DOMINANT_CULTURE_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_MY_CULTURE_VICTORY_SOON,LOC_NOTIFICATION_MY_CULTURE_VICTORY_SOON_MESSAGE,LOC_NOTIFICATION_MY_CULTURE_VICTORY_SOON_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_OTHER_CULTURE_VICTORY_SOON,LOC_NOTIFICATION_OTHER_CULTURE_VICTORY_SOON_MESSAGE,LOC_NOTIFICATION_OTHER_CULTURE_VICTORY_SOON_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_CAN_PURCHASE_WITH_FAITH,LOC_NOTIFICATION_CAN_PURCHASE_WITH_FAITH_MESSAGE,LOC_NOTIFICATION_CAN_PURCHASE_WITH_FAITH_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_CITY_BESIEGED_BY_OTHER_PLAYER,LOC_NOTIFICATION_CITY_BESIEGED_BY_OTHER_PLAYER_MESSAGE,LOC_NOTIFICATION_CITY_BESIEGED_BY_OTHER_PLAYER_SUMMARY,HIGH,1,0,,0,,,0,1,1
NOTIFICATION_CASUS_BELLI_GAINED,LOC_NOTIFICATION_CASUS_BELLI_GAINED_MESSAGE,LOC_NOTIFICATION_CASUS_BELLI_GAINED_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_TILE_LOST_CULTURE_BOMB,LOC_NOTIFICATION_TILE_LOST_CULTURE_BOMB_MESSAGE,LOC_NOTIFICATION_TILE_LOST_CULTURE_BOMB_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_DECLARE_WAR_CITY_STATE,,,HIGH,1,0,,0,,,0,1,1
NOTIFICATION_MAKE_PEACE_CITY_STATE,,,HIGH,1,0,,0,,,0,1,1
NOTIFICATION_AIRCRAFT_FORCED_REBASE,LOC_NOTIFICATION_AIRCRAFT_FORCED_REBASE_MESSAGE,LOC_NOTIFICATION_AIRCRAFT_FORCED_REBASE_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_AIRCRAFT_BASE_OVERRUN,LOC_NOTIFICATION_AIRCRAFT_BASE_OVERRUN_MESSAGE,LOC_NOTIFICATION_AIRCRAFT_BASE_OVERRUN_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_PRIDE_MOMENT_RECORDED,LOC_NOTIFICATION_PRIDE_MOMENT_RECORDED_MESSAGE,LOC_NOTIFICATION_PRIDE_MOMENT_RECORDED_SUMMARY,MID,1,0,,0,,,1,1,1
NOTIFICATION_GOVERNOR_ESTABLISHED_IN_CITY,LOC_NOTIFICATION_GOVERNOR_ESTABLISHED_IN_CITY_MESSAGE,LOC_NOTIFICATION_GOVERNOR_ESTABLISHED_IN_CITY_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_GOVERNOR_APPOINTMENT_AVAILABLE,LOC_NOTIFICATION_GOVERNOR_APPOINTMENT_AVAILABLE_MESSAGE,LOC_NOTIFICATION_GOVERNOR_APPOINTMENT_AVAILABLE_SUMMARY,MID,0,0,,0,,,0,1,1
NOTIFICATION_GOVERNOR_OPPORTUNITY_AVAILABLE,LOC_NOTIFICATION_GOVERNOR_OPPORTUNITY_AVAILABLE_MESSAGE,LOC_NOTIFICATION_GOVERNOR_OPPORTUNITY_AVAILABLE_SUMMARY,MID,0,0,,0,,,0,1,1
NOTIFICATION_GOVERNOR_PROMOTION_AVAILABLE,LOC_NOTIFICATION_GOVERNOR_PROMOTION_AVAILABLE_MESSAGE,LOC_NOTIFICATION_GOVERNOR_PROMOTION_AVAILABLE_SUMMARY,MID,0,0,,0,,,0,1,1
NOTIFICATION_GOVERNOR_IDLE,LOC_NOTIFICATION_GOVERNOR_IDLE_MESSAGE,LOC_NOTIFICATION_GOVERNOR_IDLE_SUMMARY,MID,0,0,,0,,,0,1,1
NOTIFICATION_GOVERNOR_REMOVED_FROM_CITY,LOC_NOTIFICATION_GOVERNOR_REMOVED_FROM_CITY_MESSAGE,LOC_NOTIFICATION_GOVERNOR_REMOVED_FROM_CITY_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_GOVERNOR_FORCED_REMOVAL_FROM_CITY,LOC_NOTIFICATION_GOVERNOR_REMOVED_FROM_CITY_MESSAGE,LOC_NOTIFICATION_GOVERNOR_REMOVED_FROM_CITY_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_GOVERNOR_CHANGED_CITIES,LOC_NOTIFICATION_GOVERNOR_CHANGED_CITIES_MESSAGE,LOC_NOTIFICATION_GOVERNOR_CHANGED_CITIES_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_GOVERNOR_RETURNING_TO_SERVICE,LOC_NOTIFICATION_GOVERNOR_RETURNING_TO_SERVICE_MESSAGE,LOC_NOTIFICATION_GOVERNOR_RETURNING_TO_SERVICE_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_CITY_LOSING_CULTURAL_IDENTITY,LOC_NOTIFICATION_CITY_LOSING_CULTURAL_IDENTITY_MESSAGE,LOC_NOTIFICATION_CITY_LOSING_CULTURAL_IDENTITY_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_CONSIDER_DISLOYAL_CITY,LOC_NOTIFICATION_CONSIDER_DISLOYAL_CITY_MESSAGE,LOC_NOTIFICATION_CONSIDER_DISLOYAL_CITY_SUMMARY,VERY_HIGH,0,0,,0,,,0,1,1
NOTIFICATION_FOREIGN_CITY_BECAME_FREE_CITY,LOC_NOTIFICATION_FOREIGN_CITY_BECAME_FREE_CITY_MESSAGE,LOC_NOTIFICATION_FOREIGN_CITY_BECAME_FREE_CITY_SUMMARY,VERY_HIGH,0,0,,0,,,0,1,1
NOTIFICATION_SPY_FABRICATE_SCANDAL,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_ENEMY_FABRICATE_SCANDAL,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_FOMENT_UNREST,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_ENEMY_FOMENT_UNREST,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_NEUTRALIZE_GOVERNOR,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_SPY_ENEMY_NEUTRALIZE_GOVERNOR,,,MID,1,0,,0,ESPIONAGE,,0,1,1
NOTIFICATION_EMERGENCY_DECLARED,LOC_NOTIFICATION_EMERGENCY_DECLARED_MESSAGE,LOC_NOTIFICATION_EMERGENCY_DECLARED_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_EMERGENCY_FAILED,LOC_NOTIFICATION_EMERGENCY_FAILED_MESSAGE,LOC_NOTIFICATION_EMERGENCY_FAILED_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_EMERGENCY_SUCCEEDED,LOC_NOTIFICATION_EMERGENCY_SUCCEEDED_MESSAGE,LOC_NOTIFICATION_EMERGENCY_SUCCEEDED_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_EMERGENCY_NEEDS_ATTENTION,LOC_NOTIFICATION_EMERGENCY_NEEDS_ATTENTION_MESSAGE,LOC_NOTIFICATION_EMERGENCY_NEEDS_ATTENTION_SUMMARY,VERY_HIGH,0,0,,0,,,0,1,1
NOTIFICATION_EMERGENCY_AVERTED,LOC_NOTIFICATION_EMERGENCY_AVERTED_SUMMARY,LOC_NOTIFICATION_EMERGENCY_AVERTED_SUMMARY,VERY_HIGH,0,0,,0,,,0,1,1
NOTIFICATION_EMERGENCY_SUCCEEDED_TARGET,LOC_NOTIFICATION_EMERGENCY_FAILED_MESSAGE,LOC_NOTIFICATION_EMERGENCY_FAILED_TARGET_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_EMERGENCY_FAILED_TARGET,LOC_NOTIFICATION_EMERGENCY_SUCCEEDED_MESSAGE,LOC_NOTIFICATION_EMERGENCY_SUCCEEDED_TARGET_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_DIPLOMATIC_PLEDGE_TO_KEPT,LOC_NOTIFICATION_DIPLO_PLEDGE_TO_KEPT_MESSAGE,LOC_NOTIFICATION_DIPLO_PLEDGE_TO_KEPT_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_DIPLOMATIC_PLEDGE_FROM_KEPT,LOC_NOTIFICATION_DIPLO_PLEDGE_FROM_KEPT_MESSAGE,LOC_NOTIFICATION_DIPLO_PLEDGE_FROM_KEPT_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_DIPLOMATIC_PLEDGE_TO_BROKEN,LOC_NOTIFICATION_DIPLO_PLEDGE_TO_BROKEN_MESSAGE,LOC_NOTIFICATION_DIPLO_PLEDGE_TO_BROKEN_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_DIPLOMATIC_PLEDGE_FROM_BROKEN,LOC_NOTIFICATION_DIPLO_PLEDGE_FROM_BROKEN_MESSAGE,LOC_NOTIFICATION_DIPLO_PLEDGE_FROM_BROKEN_SUMMARY,MID,1,0,,0,,,0,1,1
NOTIFICATION_COMMEMORATION_AVAILABLE,LOC_NOTIFICATION_COMMEMORATION_AVAILABLE_MESSAGE,LOC_NOTIFICATION_COMMEMORATION_AVAILABLE_SUMMARY,VERY_HIGH,0,0,,0,,,0,1,1
