GreatPersonIndividualType,ModifierId
GREAT_PERSON_INDIVIDUAL_HORATIO_NELSON,GREATPERSON_COMBAT_STRENGTH_AOE_INDUSTRIAL_SEA
GREAT_PERSON_INDIVIDUAL_HORATIO_NELSON,GREATPERSON_MOVEMENT_AOE_INDUSTRIAL_SEA
GREAT_PERSON_INDIVIDUAL_LASKARINA_BOUBOULINA,GREATPERSON_COMBAT_STRENGTH_AOE_INDUSTRIAL_SEA
GREAT_PERSON_INDIVIDUAL_LASKARINA_BOUBOULINA,GREATPERSON_MOVEMENT_AOE_INDUSTRIAL_SEA
GREAT_PERSON_INDIVIDUAL_FRANZ_VON_HIPPER,GREATPERSON_COMBAT_STRENGTH_AOE_MODERN_SEA
GREAT_PERSON_INDIVIDUAL_FRANZ_VON_HIPPER,GREATPERSON_MOVEMENT_AOE_MODERN_SEA
GREAT_PERSON_INDIVIDUAL_JOAQUIM_MARQUES_LISBOA,GREATPERSON_COMBAT_STRENGTH_AOE_MODERN_SEA
GREAT_PERSON_INDIVIDUAL_JOAQUIM_MARQUES_LISBOA,GREATPERSON_MOVEMENT_AOE_MODERN_SEA
GREAT_PERSON_INDIVIDUAL_CHESTER_NIMITZ,GREATPERSON_COMBAT_STRENGTH_AOE_ATOMIC_SEA
GREAT_PERSON_INDIVIDUAL_CHESTER_NIMITZ,GREATPERSON_MOVEMENT_AOE_ATOMIC_SEA
GREAT_PERSON_INDIVIDUAL_GRACE_HOPPER,GREATPERSON_COMBAT_STRENGTH_AOE_ATOMIC_SEA
GREAT_PERSON_INDIVIDUAL_GRACE_HOPPER,GREATPERSON_MOVEMENT_AOE_ATOMIC_SEA
GREAT_PERSON_INDIVIDUAL_SERGEY_GORSHKOV,GREATPERSON_COMBAT_STRENGTH_AOE_ATOMIC_SEA
GREAT_PERSON_INDIVIDUAL_SERGEY_GORSHKOV,GREATPERSON_MOVEMENT_AOE_ATOMIC_SEA
GREAT_PERSON_INDIVIDUAL_CLANCY_FERNANDO,GREATPERSON_COMBAT_STRENGTH_AOE_INFORMATION_SEA
GREAT_PERSON_INDIVIDUAL_CLANCY_FERNANDO,GREATPERSON_MOVEMENT_AOE_INFORMATION_SEA
GREAT_PERSON_INDIVIDUAL_BOUDICA,GREATPERSON_COMBAT_STRENGTH_AOE_CLASSICAL_LAND
GREAT_PERSON_INDIVIDUAL_BOUDICA,GREATPERSON_MOVEMENT_AOE_CLASSICAL_LAND
GREAT_PERSON_INDIVIDUAL_HANNIBAL_BARCA,GREATPERSON_COMBAT_STRENGTH_AOE_CLASSICAL_LAND
GREAT_PERSON_INDIVIDUAL_HANNIBAL_BARCA,GREATPERSON_MOVEMENT_AOE_CLASSICAL_LAND
GREAT_PERSON_INDIVIDUAL_SUN_TZU,GREATPERSON_COMBAT_STRENGTH_AOE_CLASSICAL_LAND
GREAT_PERSON_INDIVIDUAL_SUN_TZU,GREATPERSON_MOVEMENT_AOE_CLASSICAL_LAND
GREAT_PERSON_INDIVIDUAL_AETHELFLAED,GREATPERSON_COMBAT_STRENGTH_AOE_MEDIEVAL_LAND
GREAT_PERSON_INDIVIDUAL_AETHELFLAED,GREATPERSON_MOVEMENT_AOE_MEDIEVAL_LAND
GREAT_PERSON_INDIVIDUAL_EL_CID,GREATPERSON_COMBAT_STRENGTH_AOE_MEDIEVAL_LAND
GREAT_PERSON_INDIVIDUAL_EL_CID,GREATPERSON_MOVEMENT_AOE_MEDIEVAL_LAND
GREAT_PERSON_INDIVIDUAL_GUSTAVUS_ADOLPHUS,GREATPERSON_COMBAT_STRENGTH_AOE_RENAISSANCE_LAND
GREAT_PERSON_INDIVIDUAL_GUSTAVUS_ADOLPHUS,GREATPERSON_MOVEMENT_AOE_RENAISSANCE_LAND
GREAT_PERSON_INDIVIDUAL_JOAN_OF_ARC,GREATPERSON_COMBAT_STRENGTH_AOE_RENAISSANCE_LAND
GREAT_PERSON_INDIVIDUAL_JOAN_OF_ARC,GREATPERSON_MOVEMENT_AOE_RENAISSANCE_LAND
GREAT_PERSON_INDIVIDUAL_ANA_NZINGA,GREATPERSON_COMBAT_STRENGTH_AOE_RENAISSANCE_LAND
GREAT_PERSON_INDIVIDUAL_ANA_NZINGA,GREATPERSON_MOVEMENT_AOE_RENAISSANCE_LAND
GREAT_PERSON_INDIVIDUAL_NAPOLEON_BONAPARTE,GREATPERSON_COMBAT_STRENGTH_AOE_INDUSTRIAL_LAND
GREAT_PERSON_INDIVIDUAL_NAPOLEON_BONAPARTE,GREATPERSON_MOVEMENT_AOE_INDUSTRIAL_LAND
GREAT_PERSON_INDIVIDUAL_RANI_LAKSHMIBAI,GREATPERSON_COMBAT_STRENGTH_AOE_INDUSTRIAL_LAND
GREAT_PERSON_INDIVIDUAL_RANI_LAKSHMIBAI,GREATPERSON_MOVEMENT_AOE_INDUSTRIAL_LAND
GREAT_PERSON_INDIVIDUAL_SIMON_BOLIVAR,GREATPERSON_COMBAT_STRENGTH_AOE_INDUSTRIAL_LAND
GREAT_PERSON_INDIVIDUAL_SIMON_BOLIVAR,GREATPERSON_MOVEMENT_AOE_INDUSTRIAL_LAND
GREAT_PERSON_INDIVIDUAL_JOHN_MONASH,GREATPERSON_COMBAT_STRENGTH_AOE_MODERN_LAND
GREAT_PERSON_INDIVIDUAL_JOHN_MONASH,GREATPERSON_MOVEMENT_AOE_MODERN_LAND
GREAT_PERSON_INDIVIDUAL_MARINA_RASKOVA,GREATPERSON_COMBAT_STRENGTH_AOE_MODERN_LAND
GREAT_PERSON_INDIVIDUAL_MARINA_RASKOVA,GREATPERSON_MOVEMENT_AOE_MODERN_LAND
GREAT_PERSON_INDIVIDUAL_SAMORI_TURE,GREATPERSON_COMBAT_STRENGTH_AOE_MODERN_LAND
GREAT_PERSON_INDIVIDUAL_SAMORI_TURE,GREATPERSON_MOVEMENT_AOE_MODERN_LAND
GREAT_PERSON_INDIVIDUAL_DWIGHT_EISENHOWER,GREATPERSON_COMBAT_STRENGTH_AOE_ATOMIC_LAND
GREAT_PERSON_INDIVIDUAL_DWIGHT_EISENHOWER,GREATPERSON_MOVEMENT_AOE_ATOMIC_LAND
GREAT_PERSON_INDIVIDUAL_GEORGY_ZHUKOV,GREATPERSON_COMBAT_STRENGTH_AOE_ATOMIC_LAND
GREAT_PERSON_INDIVIDUAL_GEORGY_ZHUKOV,GREATPERSON_MOVEMENT_AOE_ATOMIC_LAND
GREAT_PERSON_INDIVIDUAL_DOUGLAS_MACARTHUR,GREATPERSON_COMBAT_STRENGTH_AOE_ATOMIC_LAND
GREAT_PERSON_INDIVIDUAL_DOUGLAS_MACARTHUR,GREATPERSON_MOVEMENT_AOE_ATOMIC_LAND
GREAT_PERSON_INDIVIDUAL_AHMAD_SHAH_MASSOUD,GREATPERSON_COMBAT_STRENGTH_AOE_INFORMATION_LAND
GREAT_PERSON_INDIVIDUAL_AHMAD_SHAH_MASSOUD,GREATPERSON_MOVEMENT_AOE_INFORMATION_LAND
GREAT_PERSON_INDIVIDUAL_VIJAYA_WIMALARATNE,GREATPERSON_COMBAT_STRENGTH_AOE_INFORMATION_LAND
GREAT_PERSON_INDIVIDUAL_VIJAYA_WIMALARATNE,GREATPERSON_MOVEMENT_AOE_INFORMATION_LAND
GREAT_PERSON_INDIVIDUAL_ABU_AL_QASIM_AL_ZAHRAWI,MEDIC_INCREASE_HEAL_RATE
GREAT_PERSON_INDIVIDUAL_FERDINAND_MAGELLAN,GREATPERSON_COMBAT_STRENGTH_AOE_RENAISSANCE_SEA
GREAT_PERSON_INDIVIDUAL_FERDINAND_MAGELLAN,GREATPERSON_MOVEMENT_AOE_RENAISSANCE_SEA
GREAT_PERSON_INDIVIDUAL_TOGO_HEIHACHIRO,GREATPERSON_COMBAT_STRENGTH_AOE_MODERN_SEA
GREAT_PERSON_INDIVIDUAL_TOGO_HEIHACHIRO,GREATPERSON_MOVEMENT_AOE_MODERN_SEA
GREAT_PERSON_INDIVIDUAL_TIMUR,GREATPERSON_COMBAT_STRENGTH_AOE_MEDIEVAL_LAND
GREAT_PERSON_INDIVIDUAL_TIMUR,GREATPERSON_MOVEMENT_AOE_MEDIEVAL_LAND
GREAT_PERSON_INDIVIDUAL_SUDIRMAN,GREATPERSON_COMBAT_STRENGTH_AOE_ATOMIC_LAND
GREAT_PERSON_INDIVIDUAL_SUDIRMAN,GREATPERSON_MOVEMENT_AOE_ATOMIC_LAND
GREAT_PERSON_INDIVIDUAL_COMMANDANTE_JOSE_DE_SUCRE,GREATPERSON_COMANDANTE_STRENGTH_AOE_LAND
GREAT_PERSON_INDIVIDUAL_COMMANDANTE_PAULA_SANTANDER,GREATPERSON_COMANDANTE_STRENGTH_AOE_LAND
GREAT_PERSON_INDIVIDUAL_COMMANDANTE_ANTONIO_PAEZ,GREATPERSON_COMANDANTE_STRENGTH_AOE_LAND
GREAT_PERSON_INDIVIDUAL_COMMANDANTE_URDANETA,GREATPERSON_COMANDANTE_STRENGTH_AOE_LAND
GREAT_PERSON_INDIVIDUAL_COMMANDANTE_MARINO,GREATPERSON_COMANDANTE_STRENGTH_AOE_LAND
GREAT_PERSON_INDIVIDUAL_COMMANDANTE_MACGREGOR,GREATPERSON_COMANDANTE_STRENGTH_AOE_LAND
GREAT_PERSON_INDIVIDUAL_COMMANDANTE_PIAR,GREATPERSON_COMANDANTE_STRENGTH_AOE_LAND
GREAT_PERSON_INDIVIDUAL_COMMANDANTE_NARINO,GREATPERSON_COMANDANTE_STRENGTH_AOE_LAND
GREAT_PERSON_INDIVIDUAL_COMMANDANTE_MONTILLA,GREATPERSON_COMANDANTE_STRENGTH_AOE_LAND
GREAT_PERSON_INDIVIDUAL_COMMANDANTE_RIBAS,GREATPERSON_COMANDANTE_STRENGTH_AOE_LAND
GREAT_PERSON_INDIVIDUAL_HANNO_THE_NAVIGATOR,GREATPERSON_COMBAT_STRENGTH_AOE_CLASSICAL_SEA
GREAT_PERSON_INDIVIDUAL_HANNO_THE_NAVIGATOR,GREATPERSON_MOVEMENT_AOE_CLASSICAL_SEA
GREAT_PERSON_INDIVIDUAL_HIMERIOS,GREATPERSON_COMBAT_STRENGTH_AOE_MEDIEVAL_SEA
GREAT_PERSON_INDIVIDUAL_HIMERIOS,GREATPERSON_MOVEMENT_AOE_MEDIEVAL_SEA
GREAT_PERSON_INDIVIDUAL_MATTHEW_PERRY,GREATPERSON_COMBAT_STRENGTH_AOE_MODERN_SEA
GREAT_PERSON_INDIVIDUAL_MATTHEW_PERRY,GREATPERSON_MOVEMENT_AOE_MODERN_SEA
GREAT_PERSON_INDIVIDUAL_DANDARA,GREATPERSON_COMBAT_STRENGTH_AOE_INDUSTRIAL_LAND
GREAT_PERSON_INDIVIDUAL_DANDARA,GREATPERSON_MOVEMENT_AOE_INDUSTRIAL_LAND
GREAT_PERSON_INDIVIDUAL_TRUNG_TRAC,GREATPERSON_COMBAT_STRENGTH_AOE_CLASSICAL_LAND
GREAT_PERSON_INDIVIDUAL_TRUNG_TRAC,GREATPERSON_MOVEMENT_AOE_CLASSICAL_LAND
GREAT_PERSON_INDIVIDUAL_TUPAC_AMARU,GREATPERSON_COMBAT_STRENGTH_AOE_MODERN_LAND
GREAT_PERSON_INDIVIDUAL_TUPAC_AMARU,GREATPERSON_MOVEMENT_AOE_MODERN_LAND
GREAT_PERSON_INDIVIDUAL_ZHOU_DAGUAN,GREAT_PERSON_ENTER_FOREIGN_LANDS
GREAT_PERSON_INDIVIDUAL_MATTHEW_PERRY,GREAT_PERSON_ENTER_FOREIGN_LANDS
