ModifierType,CollectionType,EffectType
MODIFIER_PLAYER_RELIGION_ADD_PLAYER_BELIEF_YIELD,COLLECTION_OWNER,EFFECT_ADD_PLAYER_BELIEF_YIELD
MODIFIER_PLAYER_RELIGION_ADD_RELIGIOUS_BELIEF_YIELD,COLLECTION_OWNER,EFFECT_ADD_RELIGIOUS_BELIEF_YIELD
MODIFIER_PLAYER_RELIGION_ADD_RELIGIOUS_BUILDING,COLLECTION_OWNER,EFFECT_ADD_RELIGIOUS_BUILDING
MODIFIER_PLAYER_RELIGION_ADD_RELIGIOUS_UNIT,COLLECTION_OWNER,EFFECT_ADD_RELIGIOUS_UNIT
MODIFIER_PLAYER_RELIGION_ADJUST_COMBAT_LOSS,COLLECTION_OWNER,EFFECT_ADJUST_RELIGIOUS_COMBAT_LOSS
MODIFIER_PLAYER_RELIGION_ADJUST_RELIGIOUS_SPREAD_DISTANCE,COLLECTION_OWNER,EFFECT_ADJUST_RELIGIOUS_SPREAD_DISTANCE
MODIFIER_PLAYER_RELIGION_ADJUST_RELIGIOUS_SPREAD_STRENGTH,COLLECTION_OWNER,EFFECT_ADJUST_RELIGIOUS_SPREAD_STRENGTH
MODIFIER_PLAYER_RELIGION_ENABLE_AUTO_SPREAD,COLLECTION_OWNER,EFFECT_ENABLE_RELIGION_AUTO_SPREAD
MODIFIER_PLAYER_RELIGION_ENABLE_AWARDS_ENVOY,COLLECTION_OWNER,EFFECT_ENABLE_RELIGION_AWARDS_ENVOY
MODIFIER_CITY_ENABLE_BUILDING_FAITH_PURCHASE,COLLECTION_OWNER,EFFECT_ENABLE_BUILDING_FAITH_PURCHASE
MODIFIER_CITY_ENABLE_UNIT_FAITH_PURCHASE,COLLECTION_OWNER,EFFECT_ENABLE_UNIT_FAITH_PURCHASE
MODIFIER_CITY_PLOT_YIELDS_ADJUST_PLOT_YIELD,COLLECTION_CITY_PLOT_YIELDS,EFFECT_ADJUST_PLOT_YIELD
MODIFIER_PLAYER_ADD_BELIEF,COLLECTION_OWNER,EFFECT_ADD_BELIEF
MODIFIER_PLAYER_ADD_CULTURE_BOMB_TRIGGER,COLLECTION_OWNER,EFFECT_ADD_CULTURE_BOMB_TRIGGER
MODIFIER_PLAYER_ADD_DIPLO_VISIBILITY,COLLECTION_OWNER,EFFECT_ADD_DIPLO_VISIBILITY
MODIFIER_PLAYER_ADD_DIPLOMATIC_MOVEMENT_MODIFIER,COLLECTION_OWNER,EFFECT_ADD_DIPLOMATIC_MOVEMENT_MODIFIER
MODIFIER_PLAYER_ADD_DIPLOMATIC_YIELD_MODIFIER,COLLECTION_OWNER,EFFECT_ADD_DIPLOMATIC_YIELD_MODIFIER
MODIFIER_PLAYER_ADD_RELIGIOUS_BUILDING_MULTIPLIER,COLLECTION_OWNER,EFFECT_ADD_RELIGIOUS_BUILDING_MULTIPLIER
MODIFIER_ADJUST_DIPLOMATIC_ACTION_PREFERENCE,COLLECTION_ALL_PLAYERS,EFFECT_ADJUST_DIPLOMATIC_ACTION_PREFERENCE
MODIFIER_ADJUST_OPEN_BORDERS_FROM_INFLUENCE,COLLECTION_ALL_PLAYERS,EFFECT_ADJUST_PLAYER_OPEN_BORDERS_FROM_INFLUENCE
MODIFIER_PLAYER_ADJUST_ALLIED_WAR_DISCOUNT,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_ALLIED_WAR_DISCOUNT
MODIFIER_PLAYER_ADJUST_MAX_WARMONGER_PERCENT,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_MAX_WARMONGER_PERCENT
MODIFIER_PLAYER_ADJUST_AUTO_THEMED_BUILDING,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_AUTO_THEMED_BUILDING
MODIFIER_PLAYER_ADJUST_CULTURE_BOMB_CONVERTS_CITY,COLLECTION_OWNER,EFFECT_ADJUST_CULTURE_BOMB_CONVERTS_CITY
MODIFIER_PLAYER_ADJUST_FREE_CIVIC_BOOST_WONDER_ERA,COLLECTION_OWNER,EFFECT_ADJUST_FREE_CIVIC_BOOST_WONDER_ERA
MODIFIER_PLAYER_ADJUST_FREE_GREAT_PERSON_POINTS,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_FREE_GREAT_PERSON_POINTS
MODIFIER_PLAYER_ADJUST_FREE_RESOURCE_IMPORT,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_FREE_RESOURCE_IMPORT
MODIFIER_PLAYER_ADJUST_FREE_TECH_BOOST_WONDER_ERA,COLLECTION_OWNER,EFFECT_ADJUST_FREE_TECH_BOOST_WONDER_ERA
MODIFIER_PLAYER_ADJUST_TRADE_ROUTES_CITY_STATE_YIELD,COLLECTION_OWNER,EFFECT_ADJUST_CITY_STATE_TRADE_ROUTE_FLAT_YIELD
MODIFIER_PLAYER_CAPITAL_CITY_ADJUST_CITY_GROWTH,COLLECTION_PLAYER_CAPITAL_CITY,EFFECT_ADJUST_CITY_GROWTH
MODIFIER_PLAYER_CAPITAL_CITY_ADJUST_UNIT_PRODUCTION,COLLECTION_PLAYER_CAPITAL_CITY,EFFECT_ADJUST_CITY_PRODUCTION_UNIT
MODIFIER_PLAYER_CAPITAL_CITY_ADJUST_BUILDING_PRODUCTION,COLLECTION_PLAYER_CAPITAL_CITY,EFFECT_ADJUST_CITY_PRODUCTION_BUILDING
MODIFIER_PLAYER_CAPITAL_CITY_ADJUST_DISTRICT_PRODUCTION,COLLECTION_PLAYER_CAPITAL_CITY,EFFECT_ADJUST_CITY_PRODUCTION_DISTRICT
MODIFIER_PLAYER_CAPITAL_CITY_ADJUST_CITY_YIELD_CHANGE,COLLECTION_PLAYER_CAPITAL_CITY,EFFECT_ADJUST_CITY_YIELD_CHANGE
MODIFIER_PLAYER_CAPITAL_CITY_ADJUST_CITY_YIELD_MODIFIER,COLLECTION_PLAYER_CAPITAL_CITY,EFFECT_ADJUST_CITY_YIELD_MODIFIER
MODIFIER_PLAYER_CITIES_ATTACH_MODIFIER,COLLECTION_PLAYER_CITIES,EFFECT_ATTACH_MODIFIER
MODIFIER_PLAYER_CITIES_ADD_EXPENDED_GREAT_PERSON_TILES,COLLECTION_PLAYER_CITIES,EFFECT_ADD_EXPENDED_GREAT_PERSON_TILES
MODIFIER_PLAYER_CITIES_ADD_POPULATION,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_POPULATION
MODIFIER_PLAYER_CITIES_ADJUST_ALL_DISTRICTS_PRODUCTION,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_ALL_DISTRICTS_PRODUCTION
MODIFIER_PLAYER_CITIES_ADJUST_ALL_PROJECTS_PRODUCTION,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_ALL_PROJECTS_PRODUCTION
MODIFIER_PLAYER_CITIES_ADJUST_BUILDING_HOUSING,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_BUILDING_HOUSING
MODIFIER_PLAYER_CITIES_ADJUST_BUILDING_PRODUCTION,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_BUILDING_PRODUCTION
MODIFIER_PLAYER_CITIES_ADJUST_BUILDING_YIELD_CHANGE,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_BUILDING_YIELD_CHANGE
MODIFIER_PLAYER_CITIES_ADJUST_BUILDING_YIELD_MODIFIER,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_BUILDING_YIELD_MODIFIER
MODIFIER_PLAYER_CITIES_ADJUST_CITY_AMENITIES_FROM_CITY_STATES,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_AMENITIES_FROM_CITY_STATES
MODIFIER_PLAYER_CITIES_ADJUST_CITY_APPEAL,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_APPEAL
MODIFIER_PLAYER_CITIES_ADJUST_CITY_GROWTH,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_GROWTH
MODIFIER_PLAYER_CITIES_ADJUST_CITY_YIELD_CHANGE,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_YIELD_CHANGE
MODIFIER_SINGLE_CITY_ADJUST_IMPROVEMENT_HOUSING,COLLECTION_OWNER,EFFECT_ADJUST_IMPROVEMENT_HOUSING
MODIFIER_PLAYER_CITIES_ADJUST_CITY_STATE_TRADE_ROUTE_DISTRICT_YIELD,COLLECTION_OWNER,EFFECT_ADJUST_CITY_STATE_TRADE_ROUTE_DISTRICT_YIELD
MODIFIER_PLAYER_CITIES_ADJUST_CITY_YIELD_PER_DISTRICT,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_YIELD_PER_DISTRICT
MODIFIER_PLAYER_CITIES_ADJUST_DISTRICT_PRODUCTION,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_DISTRICT_PRODUCTION
MODIFIER_PLAYER_CITIES_ADJUST_EXTRA_GREAT_WORK_SLOTS,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_EXTRA_GREAT_WORK_SLOTS
MODIFIER_PLAYER_CITIES_ADJUST_EXTRA_UNIT_COPY,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_EXTRA_UNIT_COPY
MODIFIER_PLAYER_CITIES_ADJUST_EXTRA_UNIT_COPY_TAG,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_EXTRA_UNIT_COPY_TAG
MODIFIER_PLAYER_CITIES_ADJUST_FEATURE_APPEAL_MODIFIER,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_FEATURE_APPEAL_MODIFIER
MODIFIER_PLAYER_CITIES_ADJUST_GREATWORK_YIELD,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_GREATWORK_YIELD
MODIFIER_PLAYER_CITIES_ADJUST_GREAT_PERSON_POINT_BASE,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_GREAT_PERSON_POINTS
MODIFIER_PLAYER_CITIES_ADJUST_INNER_DEFENSE,COLLECTION_OWNER,EFFECT_ADJUST_CITY_INNER_DEFENSE
MODIFIER_PLAYER_CITIES_ADJUST_MILITARY_UNITS_PRODUCTION,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_ALL_MILITARY_UNITS_PRODUCTION
MODIFIER_SINGLE_CITY_ADJUST_MILITARY_UNITS_PRODUCTION,COLLECTION_OWNER,EFFECT_ADJUST_CITY_ALL_MILITARY_UNITS_PRODUCTION
MODIFIER_PLAYER_CITIES_ADJUST_NUM_UNITS_SUPPORTED,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_NUM_UNITS_SUPPORTED
MODIFIER_PLAYER_CITIES_ADJUST_OUTER_DEFENSE,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_OUTER_DEFENSE
MODIFIER_PLAYER_CITIES_ADJUST_CITY_HIT_POINTS,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_HIT_POINTS
MODIFIER_PLAYER_CITIES_ADJUST_PLOT_PURCHASE_COST,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_PLOT_PURCHASE_COST
MODIFIER_PLAYER_CITIES_ADJUST_POLICY_AMENITY,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_POLICY_AMENITY
MODIFIER_PLAYER_CITIES_ADJUST_POLICY_HOUSING,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_POLICY_HOUSING
MODIFIER_PLAYER_CITIES_ADJUST_PROJECT_PRODUCTION,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_PROJECT_PRODUCTION
MODIFIER_PLAYER_CITIES_ADJUST_RANGED_STRIKE,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_RANGED_STRIKE
MODIFIER_PLAYER_CITIES_ADJUST_RIVER_DISTRICT_PRODUCTION,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_RIVER_DISTRICT_PRODUCTION
MODIFIER_PLAYER_CITIES_ADJUST_RIVER_WONDER_PRODUCTION,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_RIVER_WONDER_PRODUCTION
MODIFIER_PLAYER_CITIES_ADJUST_SPACE_RACE_PROJECTS_PRODUCTION,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_SPACE_RACE_PROJECTS_PRODUCTION
MODIFIER_PLAYER_CITIES_ADJUST_TRADE_ROUTE_YIELD_TO_OTHERS,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_TRADE_ROUTE_YIELD_TO_OTHERS
MODIFIER_PLAYER_CITIES_ADJUST_TRADE_ROUTE_YIELD_FROM_OTHERS,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_TRADE_ROUTE_YIELD_FROM_OTHERS
MODIFIER_PLAYER_CITIES_ADJUST_TRADE_ROUTE_YIELD_PER_DESTINATION_LUXURY_FOR_INTERNATIONAL,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_DESTINATION_LUXURY_RESOURCE_FOR_INTERNATIONAL
MODIFIER_PLAYER_CITIES_ADJUST_TRADE_ROUTE_YIELD_PER_DESTINATION_STRATEGIC_FOR_DOMESTIC,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_DESTINATION_STRATEGIC_RESOURCE_FOR_DOMESTIC
MODIFIER_PLAYER_CITIES_ADJUST_TRADE_ROUTE_YIELD_PER_DESTINATION_STRATEGIC_FOR_INTERNATIONAL,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_TRADE_ROUTE_YIELD_PER_DESTINATION_STRATEGIC_RESOURCE_FOR_INTERNATIONAL
MODIFIER_PLAYER_CITIES_ADJUST_TOURISM,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_TOURISM
MODIFIER_PLAYER_CITIES_ADJUST_UNIT_MAX_LEVEL,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_UNIT_MAX_LEVEL
MODIFIER_PLAYER_CITIES_ADJUST_UNIT_PRODUCTION,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_UNIT_PRODUCTION
MODIFIER_SINGLE_CITY_ADJUST_UNIT_PRODUCTION,COLLECTION_OWNER,EFFECT_ADJUST_UNIT_PRODUCTION
MODIFIER_PLAYER_CITIES_ADJUST_BUILDING_PURCHASE_COST,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_BUILDING_PURCHASE_COST
MODIFIER_PLAYER_CITIES_ADJUST_UNIT_PURCHASE_COST,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_UNIT_PURCHASE_COST
MODIFIER_SINGLE_CITY_ADJUST_UNIT_PURCHASE_COST,COLLECTION_OWNER,EFFECT_ADJUST_UNIT_PURCHASE_COST
MODIFIER_PLAYER_CITIES_ADJUST_UNIT_TAG_ERA_PRODUCTION,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_UNIT_TAG_ERA_PRODUCTION
MODIFIER_PLAYER_CITIES_ADJUST_VALID_FEATURES_DISTRICTS,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_VALID_FEATURES_DISTRICTS
MODIFIER_PLAYER_CITIES_ADJUST_VALID_FEATURES_WONDERS,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_VALID_FEATURES_WONDERS
MODIFIER_PLAYER_CITIES_ADJUST_WATER_HOUSING,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_WATER_HOUSING
MODIFIER_PLAYER_CITIES_ADJUST_WONDER_PRODUCTION,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_WONDER_PRODUCTION
MODIFIER_PLAYER_CITIES_ADJUST_WONDER_ERA_PRODUCTION,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_WONDER_ERA_PRODUCTION
MODIFIER_PLAYER_CITIES_ADJUST_CITY_YIELD_MODIFIER,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_YIELD_MODIFIER
MODIFIER_PLAYER_CITIES_ENABLE_BUILDING_FAITH_PURCHASE,COLLECTION_PLAYER_CITIES,EFFECT_ENABLE_BUILDING_FAITH_PURCHASE
MODIFIER_PLAYER_CITIES_ENABLE_UNIT_FAITH_PURCHASE,COLLECTION_PLAYER_CITIES,EFFECT_ENABLE_UNIT_FAITH_PURCHASE
MODIFIER_PLAYER_CITIES_EXTRA_DISTRICT,COLLECTION_PLAYER_CITIES,EFFECT_ADJUST_CITY_EXTRA_DISTRICTS
MODIFIER_PLAYER_CITIES_FEATURE_ADJACENCY,COLLECTION_PLAYER_CITIES,EFFECT_FEATURE_ADJACENCY
MODIFIER_PLAYER_CITIES_DISTRICT_ADJACENCY,COLLECTION_PLAYER_CITIES,EFFECT_DISTRICT_ADJACENCY
MODIFIER_PLAYER_CITIES_TERRAIN_ADJACENCY,COLLECTION_PLAYER_CITIES,EFFECT_TERRAIN_ADJACENCY
MODIFIER_PLAYER_CITIES_GRANT_CHEAPEST_BUILDING_IN_CITY,COLLECTION_PLAYER_CITIES,EFFECT_GRANT_CHEAPEST_BUILDING_IN_CITY
MODIFIER_PLAYER_CITIES_GRANT_ROAD_TO_CAPITAL,COLLECTION_PLAYER_CITIES,EFFECT_GRANT_CITY_ROAD_TO_CAPITAL
MODIFIER_PLAYER_CITIES_GRANT_TRADING_POST,COLLECTION_PLAYER_CITIES,EFFECT_GRANT_CITY_TRADING_POST
MODIFIER_PLAYER_CITIES_GRANT_UNIT_BY_CLASS,COLLECTION_PLAYER_CITIES,EFFECT_GRANT_UNIT_BY_CLASS
MODIFIER_PLAYER_ADJUST_ENFORCE_BORDERS,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_ENFORCE_BORDERS
MODIFIER_PLAYER_ADJUST_FAITH_PEACEFUL_FOUNDERS,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_FAITH_PEACEFUL_FOUNDERS
MODIFIER_PLAYER_ADJUST_FAITH_FROM_DISPERSAL,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_FAITH_FROM_DISPERSAL
MODIFIER_PLAYER_ADJUST_FULL_ACCESS_ONE_STRATEGIC,COLLECTION_OWNER,EFFECT_ADJUST_FULL_ACCESS_ONE_STRATEGIC
MODIFIER_PLAYER_ADJUST_GOLD_INTEREST_PERCENT,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_GOLD_INTEREST_PERCENT
MODIFIER_PLAYER_ADJUST_IMPROVED_ROUTE_LEVEL,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_IMPROVED_ROUTE_LEVEL
MODIFIER_PLAYER_ADJUST_IMPROVEMENT_GOODY_HUT,COLLECTION_OWNER,EFFECT_ADJUST_IMPROVEMENT_GOODY_HUT
MODIFIER_PLAYER_ADJUST_LEVY_DISCOUNT_PERCENT,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_LEVY_DISCOUNT_PERCENT
MODIFIER_PLAYER_ADJUST_NATURAL_WONDER_RELIC,COLLECTION_OWNER,EFFECT_ADJUST_NATURAL_WONDER_RELIC
MODIFIER_PLAYER_ADJUST_STEAL_TECH_BOOSTS,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_STEAL_TECH_BOOSTS
MODIFIER_PLAYER_ADJUST_SPY_BONUS,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_SPY_BONUS
MODIFIER_PLAYER_ADJUST_TARGET_CITY_SPY_YIELD_PERCENT,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_TARGET_CITY_SPY_YIELD_PERCENT
MODIFIER_PLAYER_ADJUST_TOKEN_ON_TRADE_ROUTE_STARTED,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_TOKEN_ON_TRADE_ROUTE_STARTED
MODIFIER_PLAYER_ADJUST_UNIT_DISTRICT_PERCENT,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_UNIT_DISTRICT_PERCENT
MODIFIER_PLAYER_ADJUST_UNIT_WONDER_PERCENT,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_UNIT_WONDER_PERCENT
MODIFIER_PLAYER_ADJUST_UNIT_UPGRADE_DISCOUNT_PERCENT,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_UNIT_UPGRADE_DISCOUNT_PERCENT
MODIFIER_PLAYER_ADJUST_VALID_BUILDING,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_VALID_BUILDING
MODIFIER_PLAYER_ADJUST_VALID_IMPROVEMENT,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_VALID_IMPROVEMENT
MODIFIER_PLAYER_ADJUST_VALID_UNIT_BUILD,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_VALID_UNIT_BUILD
MODIFIER_PLAYER_ADJUST_WAR_WEARINESS,COLLECTION_OWNER,EFFECT_ADJUST_WAR_WEARINESS
MODIFIER_PLAYER_ADJUST_YIELD_CHANGE,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_YIELD_CHANGE
MODIFIER_PLAYER_ADJUST_YIELD_CHANGE_PER_TRIBUTARY,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_YIELD_CHANGE_PER_TRIBUTARY
MODIFIER_PLAYER_ADJUST_YIELD_CHANGE_PER_USED_INFLUENCE_TOKEN,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_YIELD_CHANGE_PER_USED_INFLUENCE_TOKEN
MODIFIER_PLAYER_ADJUST_YIELD_MODIFIER_PER_EARNED_GREAT_PERSON,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_YIELD_MODIFIER_PER_EARNED_GREAT_PERSON
MODIFIER_PLAYER_ADJUST_YIELD_MODIFIER_PER_TRIBUTARY,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_YIELD_MODIFIER_PER_TRIBUTARY
MODIFIER_PLAYER_CAPTURED_CITY_ATTACH_MODIFIER,COLLECTION_PLAYER_CAPTURED_CITIES,EFFECT_ATTACH_MODIFIER
MODIFIER_PLAYER_CORPS_ARMY_PREREQ,COLLECTION_OWNER,EFFECT_ADJUST_CORPS_ARMY_PREREQ
MODIFIER_PLAYER_CULTURE_ADJUST_GOVERNMENT_SLOTS_MODIFIER,COLLECTION_OWNER,EFFECT_ADJUST_PLAYER_GOVERNMENT_SLOT_TYPE
MODIFIER_PLAYER_CULTURE_REPLACE_GOVERNMENT_SLOTS,COLLECTION_OWNER,EFFECT_REPLACE_PLAYER_GOVERNMENT_SLOT_TYPE
MODIFIER_PLAYER_UNIT_GRANT_ADJACENT_FEATURE_YIELD,COLLECTION_OWNER,EFFECT_GRANT_UNIT_YIELD_ADJACENT_FEATURES
MODIFIER_PLAYER_UNIT_GRANT_ADJACENT_NATURAL_WONDER_YIELD,COLLECTION_OWNER,EFFECT_GRANT_UNIT_YIELD_ADJACENT_NATURAL_WONDERS
MODIFIER_PLAYER_UNIT_GRANT_ADJACENT_TERRAIN_YIELD,COLLECTION_OWNER,EFFECT_GRANT_UNIT_YIELD_ADJACENT_TERRAINS
MODIFIER_PLAYER_UNIT_ADJUST_EXPERIENCE_LEVEL,COLLECTION_OWNER,EFFECT_ADJUST_UNIT_EXPERIENCE_LEVEL
MODIFIER_PLAYER_UNIT_ADJUST_ERA_STRENGTH_MODIFIER,COLLECTION_OWNER,EFFECT_ADJUST_UNIT_ERA_STRENGTH_MODIFIER
MODIFIER_PLAYER_UNIT_ADJUST_WMD_RESISTANCE,COLLECTION_OWNER,EFFECT_ADJUST_UNIT_WMD_PROTECTION
MODIFIER_PLAYER_UNIT_ADJUST_WATER_DAMAGE_RESISTANCE,COLLECTION_OWNER,EFFECT_ADJUST_UNIT_WATER_DAMAGE_PROTECTION
MODIFIER_PLAYER_UNIT_ADJUST_IGNORE_RESOURCE_MAINTENANCE,COLLECTION_OWNER,EFFECT_ADJUST_UNIT_IGNORE_RESOURCE_MAINTENANCE
MODIFIER_PLAYER_UNITS_ADJUST_POST_COMBAT_YIELD,COLLECTION_PLAYER_COMBAT,EFFECT_ADJUST_UNIT_POST_COMBAT_YIELD
MODIFIER_UNIT_ADJUST_POST_COMBAT_YIELD,COLLECTION_UNIT_COMBAT,EFFECT_ADJUST_UNIT_POST_COMBAT_YIELD
MODIFIER_PLAYER_DISTRICT_ADJUST_EXTRA_REGIONAL_ENTERTAINMENT,COLLECTION_OWNER,EFFECT_ADJUST_DISTRICT_EXTRA_REGIONAL_ENTERTAINMENT
MODIFIER_PLAYER_DISTRICTS_ADJUST_EXTRA_ENTERTAINMENT,COLLECTION_PLAYER_DISTRICTS,EFFECT_ADJUST_DISTRICT_EXTRA_ENTERTAINMENT
MODIFIER_PLAYER_DISTRICT_ADJUST_EXTRA_REGIONAL_RANGE,COLLECTION_OWNER,EFFECT_ADJUST_DISTRICT_EXTRA_REGIONAL_RANGE
MODIFIER_PLAYER_DISTRICTS_ADJUST_EXTRA_REGIONAL_RANGE,COLLECTION_PLAYER_DISTRICTS,EFFECT_ADJUST_DISTRICT_EXTRA_REGIONAL_RANGE
MODIFIER_PLAYER_DISTRICT_ADJUST_EXTRA_REGIONAL_YIELD,COLLECTION_OWNER,EFFECT_ADJUST_DISTRICT_EXTRA_REGIONAL_YIELD
