GreatWorkType,GreatWorkObjectType,GreatPersonIndividualType,Name,Audio,Image,Quote,Tourism,EraType
GREATWORK_LI_BAI_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_LI_BAI,LOC_GREATWORK_LI_BAI_2_NAME,GREAT_WRITING_QUOTE_14,,LOC_GREATWORK_LI_BAI_2_QUOTE,2,
GREATWORK_MURASAKI_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_MURASAKI_SHIKIBU,LOC_GREATWORK_MURASAKI_1_NAME,GREAT_WRITING_QUOTE_15,,LOC_GREATWORK_MURASAKI_1_QUOTE,2,
GREATWORK_MURASAKI_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_MURASAKI_SHIKIBU,LOC_GREATWORK_MURASAKI_2_NAME,GREAT_WRITING_QUOTE_16,,LOC_GREATWORK_MURASAKI_2_QUOTE,2,
GREATWORK_CAVENDISH_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_MARGARET_CAVENDISH,LOC_GREATWORK_CAVENDISH_1_NAME,GREAT_WRITING_QUOTE_17,,LOC_GREATWORK_CAVENDISH_1_QUOTE,2,
GREATWORK_CAVENDISH_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_MARGARET_CAVENDISH,LOC_GREATWORK_CAVENDISH_2_NAME,GREAT_WRITING_QUOTE_18,,LOC_GREATWORK_CAVENDISH_2_QUOTE,2,
GREATWORK_CERVANTES_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_MIGUEL_DE_CERVANTES,LOC_GREATWORK_CERVANTES_1_NAME,GREAT_WRITING_QUOTE_19,,LOC_GREATWORK_CERVANTES_1_QUOTE,2,
GREATWORK_CERVANTES_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_MIGUEL_DE_CERVANTES,LOC_GREATWORK_CERVANTES_2_NAME,GREAT_WRITING_QUOTE_20,,LOC_GREATWORK_CERVANTES_2_QUOTE,2,
GREATWORK_MACHIAVELLI_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_NICCOLO_MACHIAVELLI,LOC_GREATWORK_MACHIAVELLI_1_NAME,GREAT_WRITING_QUOTE_21,,LOC_GREATWORK_MACHIAVELLI_1_QUOTE,2,
GREATWORK_MACHIAVELLI_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_NICCOLO_MACHIAVELLI,LOC_GREATWORK_MACHIAVELLI_2_NAME,GREAT_WRITING_QUOTE_22,,LOC_GREATWORK_MACHIAVELLI_2_QUOTE,2,
GREATWORK_SHAKESPEARE_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_WILLIAM_SHAKESPEARE,LOC_GREATWORK_SHAKESPEARE_1_NAME,GREAT_WRITING_QUOTE_23,,LOC_GREATWORK_SHAKESPEARE_1_QUOTE,2,
GREATWORK_SHAKESPEARE_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_WILLIAM_SHAKESPEARE,LOC_GREATWORK_SHAKESPEARE_2_NAME,GREAT_WRITING_QUOTE_24,,LOC_GREATWORK_SHAKESPEARE_2_QUOTE,2,
GREATWORK_D_AULNOY_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_MARIE_CATHERINE_D_AULNOY,LOC_GREATWORK_D_AULNOY_1_NAME,GREAT_WRITING_QUOTE_60,,LOC_GREATWORK_D_AULNOY_1_QUOTE,2,
GREATWORK_D_AULNOY_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_MARIE_CATHERINE_D_AULNOY,LOC_GREATWORK_D_AULNOY_2_NAME,GREAT_WRITING_QUOTE_61,,LOC_GREATWORK_D_AULNOY_2_QUOTE,2,
GREATWORK_PUSHKIN_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_ALEXANDER_PUSHKIN,LOC_GREATWORK_PUSHKIN_1_NAME,GREAT_WRITING_QUOTE_26,,LOC_GREATWORK_PUSHKIN_1_QUOTE,2,
GREATWORK_PUSHKIN_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_ALEXANDER_PUSHKIN,LOC_GREATWORK_PUSHKIN_2_NAME,GREAT_WRITING_QUOTE_27,,LOC_GREATWORK_PUSHKIN_2_QUOTE,2,
GREATWORK_POE_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_EDGAR_ALLEN_POE,LOC_GREATWORK_POE_1_NAME,GREAT_WRITING_QUOTE_28,,LOC_GREATWORK_POE_1_QUOTE,2,
GREATWORK_POE_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_EDGAR_ALLEN_POE,LOC_GREATWORK_POE_2_NAME,GREAT_WRITING_QUOTE_29,,LOC_GREATWORK_POE_2_QUOTE,2,
GREATWORK_AUSTEN_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_JANE_AUSTEN,LOC_GREATWORK_AUSTEN_1_NAME,GREAT_WRITING_QUOTE_30,,LOC_GREATWORK_AUSTEN_1_QUOTE,2,
GREATWORK_AUSTEN_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_JANE_AUSTEN,LOC_GREATWORK_AUSTEN_2_NAME,GREAT_WRITING_QUOTE_31,,LOC_GREATWORK_AUSTEN_2_QUOTE,2,
GREATWORK_GOETHE_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_JOHANN_WOLFGANG_VON_GOETHE,LOC_GREATWORK_GOETHE_1_NAME,GREAT_WRITING_QUOTE_33,,LOC_GREATWORK_GOETHE_1_QUOTE,2,
GREATWORK_GOETHE_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_JOHANN_WOLFGANG_VON_GOETHE,LOC_GREATWORK_GOETHE_2_NAME,GREAT_WRITING_QUOTE_34,,LOC_GREATWORK_GOETHE_2_QUOTE,2,
GREATWORK_SHELLEY_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_MARY_SHELLEY,LOC_GREATWORK_SHELLEY_1_NAME,GREAT_WRITING_QUOTE_62,,LOC_GREATWORK_SHELLEY_1_QUOTE,2,
GREATWORK_SHELLEY_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_MARY_SHELLEY,LOC_GREATWORK_SHELLEY_2_NAME,GREAT_WRITING_QUOTE_63,,LOC_GREATWORK_SHELLEY_2_QUOTE,2,
GREATWORK_JOYCE_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_JAMES_JOYCE,LOC_GREATWORK_JOYCE_1_NAME,GREAT_WRITING_QUOTE_45,,LOC_GREATWORK_JOYCE_1_QUOTE,2,
GREATWORK_JOYCE_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_JAMES_JOYCE,LOC_GREATWORK_JOYCE_2_NAME,GREAT_WRITING_QUOTE_46,,LOC_GREATWORK_JOYCE_2_QUOTE,2,
GREATWORK_DICKINSON_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_EMILY_DICKINSON,LOC_GREATWORK_DICKINSON_1_NAME,GREAT_WRITING_QUOTE_37,,LOC_GREATWORK_DICKINSON_1_QUOTE,2,
GREATWORK_DICKINSON_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_EMILY_DICKINSON,LOC_GREATWORK_DICKINSON_2_NAME,GREAT_WRITING_QUOTE_38,,LOC_GREATWORK_DICKINSON_2_QUOTE,2,
GREATWORK_TOLSTOY_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_LEO_TOLSTOY,LOC_GREATWORK_TOLSTOY_1_NAME,GREAT_WRITING_QUOTE_39,,LOC_GREATWORK_TOLSTOY_1_QUOTE,2,
GREATWORK_TOLSTOY_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_LEO_TOLSTOY,LOC_GREATWORK_TOLSTOY_2_NAME,GREAT_WRITING_QUOTE_40,,LOC_GREATWORK_TOLSTOY_2_QUOTE,2,
GREATWORK_TWAIN_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_MARK_TWAIN,LOC_GREATWORK_TWAIN_1_NAME,GREAT_WRITING_QUOTE_41,,LOC_GREATWORK_TWAIN_1_QUOTE,2,
GREATWORK_TWAIN_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_MARK_TWAIN,LOC_GREATWORK_TWAIN_2_NAME,GREAT_WRITING_QUOTE_42,,LOC_GREATWORK_TWAIN_2_QUOTE,2,
GREATWORK_FITZGERALD_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_F_SCOTT_FITZGERALD,LOC_GREATWORK_FITZGERALD_1_NAME,GREAT_WRITING_QUOTE_64,,LOC_GREATWORK_FITZGERALD_1_QUOTE,2,
GREATWORK_FITZGERALD_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_F_SCOTT_FITZGERALD,LOC_GREATWORK_FITZGERALD_2_NAME,GREAT_WRITING_QUOTE_65,,LOC_GREATWORK_FITZGERALD_2_QUOTE,2,
GREATWORK_WELLS_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_HG_WELLS,LOC_GREATWORK_WELLS_1_NAME,GREAT_WRITING_QUOTE_43,,LOC_GREATWORK_WELLS_1_QUOTE,2,
GREATWORK_WELLS_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_HG_WELLS,LOC_GREATWORK_WELLS_2_NAME,GREAT_WRITING_QUOTE_44,,LOC_GREATWORK_WELLS_2_QUOTE,2,
GREATWORK_TAGORE_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_RABINDRANATH_TAGORE,LOC_GREATWORK_TAGORE_1_NAME,GREAT_WRITING_QUOTE_47,,LOC_GREATWORK_TAGORE_1_QUOTE,2,
GREATWORK_TAGORE_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_RABINDRANATH_TAGORE,LOC_GREATWORK_TAGORE_2_NAME,GREAT_WRITING_QUOTE_48,,LOC_GREATWORK_TAGORE_2_QUOTE,2,
GREATWORK_CAPEK_1,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_KAREL_CAPEK,LOC_GREATWORK_CAPEK_1_NAME,GREAT_WRITING_QUOTE_57,,LOC_GREATWORK_CAPEK_1_QUOTE,2,
GREATWORK_CAPEK_2,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_KAREL_CAPEK,LOC_GREATWORK_CAPEK_2_NAME,GREAT_WRITING_QUOTE_58,,LOC_GREATWORK_CAPEK_2_QUOTE,2,
GREATWORK_SUN_TZU,GREATWORKOBJECT_WRITING,GREAT_PERSON_INDIVIDUAL_SUN_TZU,LOC_GREATWORK_SUN_TZU_NAME,GREAT_WRITING_QUOTE_59,,LOC_GREATWORK_SUN_TZU_QUOTE,2,
GREATWORK_RUBLEV_1,GREATWORKOBJECT_RELIGIOUS,GREAT_PERSON_INDIVIDUAL_ANDREY_RUBLEV,LOC_GREATWORK_RUBLEV_1_NAME,,GREATWORK_IMAGE_RUBLEV_1,,2,
GREATWORK_RUBLEV_2,GREATWORKOBJECT_RELIGIOUS,GREAT_PERSON_INDIVIDUAL_ANDREY_RUBLEV,LOC_GREATWORK_RUBLEV_2_NAME,,GREATWORK_IMAGE_RUBLEV_2,,2,
GREATWORK_RUBLEV_3,GREATWORKOBJECT_RELIGIOUS,GREAT_PERSON_INDIVIDUAL_ANDREY_RUBLEV,LOC_GREATWORK_RUBLEV_3_NAME,,GREATWORK_IMAGE_RUBLEV_3,,2,
GREATWORK_BOSCH_1,GREATWORKOBJECT_RELIGIOUS,GREAT_PERSON_INDIVIDUAL_HIERONYMUS_BOSCH,LOC_GREATWORK_BOSCH_1_NAME,,GREATWORK_IMAGE_BOSCH_1,,2,
GREATWORK_BOSCH_2,GREATWORKOBJECT_RELIGIOUS,GREAT_PERSON_INDIVIDUAL_HIERONYMUS_BOSCH,LOC_GREATWORK_BOSCH_2_NAME,,GREATWORK_IMAGE_BOSCH_2,,2,
GREATWORK_BOSCH_3,GREATWORKOBJECT_RELIGIOUS,GREAT_PERSON_INDIVIDUAL_HIERONYMUS_BOSCH,LOC_GREATWORK_BOSCH_3_NAME,,GREATWORK_IMAGE_BOSCH_3,,2,
GREATWORK_DONATELLO_1,GREATWORKOBJECT_SCULPTURE,GREAT_PERSON_INDIVIDUAL_DONATELLO,LOC_GREATWORK_DONATELLO_1_NAME,,GREATWORK_IMAGE_DONATELLO_1,,2,
GREATWORK_DONATELLO_2,GREATWORKOBJECT_SCULPTURE,GREAT_PERSON_INDIVIDUAL_DONATELLO,LOC_GREATWORK_DONATELLO_2_NAME,,GREATWORK_IMAGE_DONATELLO_2,,2,
GREATWORK_DONATELLO_3,GREATWORKOBJECT_SCULPTURE,GREAT_PERSON_INDIVIDUAL_DONATELLO,LOC_GREATWORK_DONATELLO_3_NAME,,GREATWORK_IMAGE_DONATELLO_3,,2,
GREATWORK_MICHELANGELO_1,GREATWORKOBJECT_RELIGIOUS,GREAT_PERSON_INDIVIDUAL_MICHELANGELO,LOC_GREATWORK_MICHELANGELO_1_NAME,,GREATWORK_IMAGE_MICHELANGELO_1,,2,
GREATWORK_MICHELANGELO_2,GREATWORKOBJECT_SCULPTURE,GREAT_PERSON_INDIVIDUAL_MICHELANGELO,LOC_GREATWORK_MICHELANGELO_2_NAME,,GREATWORK_IMAGE_MICHELANGELO_2,,2,
GREATWORK_MICHELANGELO_3,GREATWORKOBJECT_SCULPTURE,GREAT_PERSON_INDIVIDUAL_MICHELANGELO,LOC_GREATWORK_MICHELANGELO_3_NAME,,GREATWORK_IMAGE_MICHELANGELO_3,,2,
GREATWORK_YING_1,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_QIU_YING,LOC_GREATWORK_YING_1_NAME,,GREATWORK_IMAGE_YING_1,,2,
GREATWORK_YING_2,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_QIU_YING,LOC_GREATWORK_YING_2_NAME,,GREATWORK_IMAGE_YING_2,,2,
GREATWORK_YING_3,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_QIU_YING,LOC_GREATWORK_YING_3_NAME,,GREATWORK_IMAGE_YING_3,,2,
GREATWORK_TITIAN_1,GREATWORKOBJECT_RELIGIOUS,GREAT_PERSON_INDIVIDUAL_TITIAN,LOC_GREATWORK_TITIAN_1_NAME,,GREATWORK_IMAGE_TITIAN_1,,2,
GREATWORK_TITIAN_2,GREATWORKOBJECT_RELIGIOUS,GREAT_PERSON_INDIVIDUAL_TITIAN,LOC_GREATWORK_TITIAN_2_NAME,,GREATWORK_IMAGE_TITIAN_2,,2,
GREATWORK_TITIAN_3,GREATWORKOBJECT_PORTRAIT,GREAT_PERSON_INDIVIDUAL_TITIAN,LOC_GREATWORK_TITIAN_3_NAME,,GREATWORK_IMAGE_TITIAN_3,,2,
GREATWORK_GRECO_1,GREATWORKOBJECT_RELIGIOUS,GREAT_PERSON_INDIVIDUAL_EL_GRECO,LOC_GREATWORK_GRECO_1_NAME,,GREATWORK_IMAGE_GRECO_1,,2,
GREATWORK_GRECO_2,GREATWORKOBJECT_RELIGIOUS,GREAT_PERSON_INDIVIDUAL_EL_GRECO,LOC_GREATWORK_GRECO_2_NAME,,GREATWORK_IMAGE_GRECO_2,,2,
GREATWORK_GRECO_3,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_EL_GRECO,LOC_GREATWORK_GRECO_3_NAME,,GREATWORK_IMAGE_GRECO_3,,2,
GREATWORK_REMBRANDT_1,GREATWORKOBJECT_PORTRAIT,GREAT_PERSON_INDIVIDUAL_REMBRANDT_VAN_RIJN,LOC_GREATWORK_REMBRANDT_1_NAME,,GREATWORK_IMAGE_REMBRANDT_1,,2,
GREATWORK_REMBRANDT_2,GREATWORKOBJECT_PORTRAIT,GREAT_PERSON_INDIVIDUAL_REMBRANDT_VAN_RIJN,LOC_GREATWORK_REMBRANDT_2_NAME,,GREATWORK_IMAGE_REMBRANDT_2,,2,
GREATWORK_REMBRANDT_3,GREATWORKOBJECT_RELIGIOUS,GREAT_PERSON_INDIVIDUAL_REMBRANDT_VAN_RIJN,LOC_GREATWORK_REMBRANDT_3_NAME,,GREATWORK_IMAGE_REMBRANDT_3,,2,
GREATWORK_ANGUISSOLA_1,GREATWORKOBJECT_PORTRAIT,GREAT_PERSON_INDIVIDUAL_SOFONISBA_ANGUISSOLA,LOC_GREATWORK_ANGUISSOLA_1_NAME,,GREATWORK_IMAGE_ANGUISSOLA_1,,2,
GREATWORK_ANGUISSOLA_2,GREATWORKOBJECT_PORTRAIT,GREAT_PERSON_INDIVIDUAL_SOFONISBA_ANGUISSOLA,LOC_GREATWORK_ANGUISSOLA_2_NAME,,GREATWORK_IMAGE_ANGUISSOLA_2,,2,
GREATWORK_ANGUISSOLA_3,GREATWORKOBJECT_PORTRAIT,GREAT_PERSON_INDIVIDUAL_SOFONISBA_ANGUISSOLA,LOC_GREATWORK_ANGUISSOLA_3_NAME,,GREATWORK_IMAGE_ANGUISSOLA_3,,2,
GREATWORK_KAUFFMAN_1,GREATWORKOBJECT_PORTRAIT,GREAT_PERSON_INDIVIDUAL_ANGELICA_KAUFFMAN,LOC_GREATWORK_KAUFFMAN_1_NAME,,GREATWORK_IMAGE_KAUFFMAN_1,,2,
GREATWORK_KAUFFMAN_2,GREATWORKOBJECT_PORTRAIT,GREAT_PERSON_INDIVIDUAL_ANGELICA_KAUFFMAN,LOC_GREATWORK_KAUFFMAN_2_NAME,,GREATWORK_IMAGE_KAUFFMAN_2,,2,
GREATWORK_KAUFFMAN_3,GREATWORKOBJECT_PORTRAIT,GREAT_PERSON_INDIVIDUAL_ANGELICA_KAUFFMAN,LOC_GREATWORK_KAUFFMAN_3_NAME,,GREATWORK_IMAGE_KAUFFMAN_3,,2,
GREATWORK_HOKUSAI_1,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_KATSUSHIKA_HOKUSAI,LOC_GREATWORK_HOKUSAI_1_NAME,,GREATWORK_IMAGE_HOKUSAI_1,,2,
GREATWORK_HOKUSAI_2,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_KATSUSHIKA_HOKUSAI,LOC_GREATWORK_HOKUSAI_2_NAME,,GREATWORK_IMAGE_HOKUSAI_2,,2,
GREATWORK_HOKUSAI_3,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_KATSUSHIKA_HOKUSAI,LOC_GREATWORK_HOKUSAI_3_NAME,,GREATWORK_IMAGE_HOKUSAI_3,,2,
GREATWORK_EOP_1,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_JANG_SEUNG_EOP,LOC_GREATWORK_EOP_1_NAME,,GREATWORK_IMAGE_EOP_1,,2,
GREATWORK_EOP_2,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_JANG_SEUNG_EOP,LOC_GREATWORK_EOP_2_NAME,,GREATWORK_IMAGE_EOP_2,,2,
GREATWORK_EOP_3,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_JANG_SEUNG_EOP,LOC_GREATWORK_EOP_3_NAME,,GREATWORK_IMAGE_EOP_3,,2,
GREATWORK_GOGH_1,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_VINCENT_VAN_GOGH,LOC_GREATWORK_GOGH_1_NAME,,GREATWORK_IMAGE_GOGH_1,,2,
GREATWORK_GOGH_2,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_VINCENT_VAN_GOGH,LOC_GREATWORK_GOGH_2_NAME,,GREATWORK_IMAGE_GOGH_2,,2,
GREATWORK_GOGH_3,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_VINCENT_VAN_GOGH,LOC_GREATWORK_GOGH_3_NAME,,GREATWORK_IMAGE_GOGH_3,,2,
GREATWORK_LEWIS_1,GREATWORKOBJECT_SCULPTURE,GREAT_PERSON_INDIVIDUAL_EDMONIA_LEWIS,LOC_GREATWORK_LEWIS_1_NAME,,GREATWORK_IMAGE_LEWIS_1,,2,
GREATWORK_LEWIS_2,GREATWORKOBJECT_SCULPTURE,GREAT_PERSON_INDIVIDUAL_EDMONIA_LEWIS,LOC_GREATWORK_LEWIS_2_NAME,,GREATWORK_IMAGE_LEWIS_2,,2,
GREATWORK_LEWIS_3,GREATWORKOBJECT_SCULPTURE,GREAT_PERSON_INDIVIDUAL_EDMONIA_LEWIS,LOC_GREATWORK_LEWIS_3_NAME,,GREATWORK_IMAGE_LEWIS_3,,2,
GREATWORK_COLLOT_1,GREATWORKOBJECT_SCULPTURE,GREAT_PERSON_INDIVIDUAL_MARIE_ANNE_COLLOT,LOC_GREATWORK_COLLOT_1_NAME,,GREATWORK_IMAGE_COLLOT_1,,2,
GREATWORK_COLLOT_2,GREATWORKOBJECT_SCULPTURE,GREAT_PERSON_INDIVIDUAL_MARIE_ANNE_COLLOT,LOC_GREATWORK_COLLOT_2_NAME,,GREATWORK_IMAGE_COLLOT_2,,2,
GREATWORK_COLLOT_3,GREATWORKOBJECT_SCULPTURE,GREAT_PERSON_INDIVIDUAL_MARIE_ANNE_COLLOT,LOC_GREATWORK_COLLOT_3_NAME,,GREATWORK_IMAGE_COLLOT_3,,2,
GREATWORK_MONET_1,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_CLAUDE_MONET,LOC_GREATWORK_MONET_1_NAME,,GREATWORK_IMAGE_MONET_1,,2,
GREATWORK_MONET_2,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_CLAUDE_MONET,LOC_GREATWORK_MONET_2_NAME,,GREATWORK_IMAGE_MONET_2,,2,
GREATWORK_MONET_3,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_CLAUDE_MONET,LOC_GREATWORK_MONET_3_NAME,,GREATWORK_IMAGE_MONET_3,,2,
GREATWORK_ORLOVSKY_1,GREATWORKOBJECT_SCULPTURE,GREAT_PERSON_INDIVIDUAL_BORIS_ORLOVSKY,LOC_GREATWORK_ORLOVSKY_1_NAME,,GREATWORK_IMAGE_ORLOVSKY_1,,2,
GREATWORK_ORLOVSKY_2,GREATWORKOBJECT_SCULPTURE,GREAT_PERSON_INDIVIDUAL_BORIS_ORLOVSKY,LOC_GREATWORK_ORLOVSKY_2_NAME,,GREATWORK_IMAGE_ORLOVSKY_2,,2,
GREATWORK_ORLOVSKY_3,GREATWORKOBJECT_SCULPTURE,GREAT_PERSON_INDIVIDUAL_BORIS_ORLOVSKY,LOC_GREATWORK_ORLOVSKY_3_NAME,,GREATWORK_IMAGE_ORLOVSKY_3,,2,
GREATWORK_KLIMT_1,GREATWORKOBJECT_PORTRAIT,GREAT_PERSON_INDIVIDUAL_GUSTAV_KLIMT,LOC_GREATWORK_KLIMT_1_NAME,,GREATWORK_IMAGE_KLIMT_1,,2,
GREATWORK_KLIMT_2,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_GUSTAV_KLIMT,LOC_GREATWORK_KLIMT_2_NAME,,GREATWORK_IMAGE_KLIMT_2,,2,
GREATWORK_KLIMT_3,GREATWORKOBJECT_LANDSCAPE,GREAT_PERSON_INDIVIDUAL_GUSTAV_KLIMT,LOC_GREATWORK_KLIMT_3_NAME,,GREATWORK_IMAGE_KLIMT_3,,2,
GREATWORK_GIL_1,GREATWORKOBJECT_PORTRAIT,GREAT_PERSON_INDIVIDUAL_AMRITA_SHER_GIL,LOC_GREATWORK_GIL_1_NAME,,GREATWORK_IMAGE_GIL_1,,2,
GREATWORK_GIL_2,GREATWORKOBJECT_PORTRAIT,GREAT_PERSON_INDIVIDUAL_AMRITA_SHER_GIL,LOC_GREATWORK_GIL_2_NAME,,GREATWORK_IMAGE_GIL_2,,2,
GREATWORK_GIL_3,GREATWORKOBJECT_PORTRAIT,GREAT_PERSON_INDIVIDUAL_AMRITA_SHER_GIL,LOC_GREATWORK_GIL_3_NAME,,GREATWORK_IMAGE_GIL_3,,2,
GREATWORK_CASSATT_1,GREATWORKOBJECT_PORTRAIT,GREAT_PERSON_INDIVIDUAL_MARY_CASSATT,LOC_GREATWORK_CASSATT_1_NAME,,GREATWORK_IMAGE_CASSATT_1,,2,
