SectionId,PageGroupId,Name,Tooltip,VisibleIfEmpty,SortIndex
WONDERS,Projects,LOC_PEDIA_WONDERS_PAGEGROUP_PROJECTS_NAME,,1,20
CIVILIZATIONS,CIVILIZATIONS,LOC_PEDIA_PAGEGROUP_CIVILIZATIONS_NAME,,0,10
CIVILIZATIONS,LEADERS,LOC_PEDIA_PAGEGROUP_LEADERS_NAME,,0,20
GOVERNMENTS,DARK_POLICIES,LOC_GOVT_POLICY_TYPE_DARKAGE,,0,55
CONCEPTS,EXPANSION,LOC_PEDIA_CONCEPTS_PAGEGROUP_EXPANSION_NAME,,0,5
GOVERNORS,GOVERNORS,LOC_PEDIA_GOVERNORS_PAGEGROUP_GOVERNORS_NAME,,0,10
MOMENTS,MAJOR,LOC_PEDIA_MOMENTS_PAGEGROUP_MAJOR_NAME,,0,10
MOMENTS,MINOR,LOC_PEDIA_MOMENTS_PAGEGROUP_MINOR_NAME,,0,20
CONCEPTS,EXPANSION2,LOC_PEDIA_CONCEPTS_PAGEGROUP_EXPANSION2_NAME,,0,5
UNITS,Heroes,LOC_PEDIA_CONCEPTS_PAGEGROUP_HEROES_NAME,,0,5
