ScoreSourceType,EmergencyType,Description,ScoreAmount,FromProject,MilitaryInEnemyTerritory,ReligiousInEnemyTerritory,AttackedEnemyCity,FromGold,KilledEnemyUnit,SpreadReligion,ReligionAttackedEnemy,ReligiousUnitsInEnemyTerritory,FromGreatPerson,FromFavor,FromBuilding,FromDistrict,FromCO2Footprint,FromAtWar,FromBadCO2Footprint,FromSacrificedUnitStrength
SPACE_STATION_SCORE_CAMPUSES,EMERGENCY_SPACE_STATION,LOC_EMERGENCY_SCORE_CAMPUSES_DESC,1,,0,0,0,0,0,0,0,0,,0,,DISTRICT_CAMPUS,0,0,0,0
CLIMATE_ACCORDS_SCORE_CO2,EMERGENCY_CLIMATE_ACCORDS,LOC_EMERGENCY_SCORE_CO2_FOOTPRINT_DESC,1,,0,0,0,0,0,0,0,0,,0,,,1,0,0,0
CLIMATE_ACCORDS_SCORE_DECOMMISSION_COAL,EMERGENCY_CLIMATE_ACCORDS,LOC_EMERGENCY_SCORE_DECOMMISSION_COAL_POWER_PLANT_DESC,100,PROJECT_DECOMMISSION_COAL_POWER_PLANT,0,0,0,0,0,0,0,0,,0,,,0,0,0,0
CLIMATE_ACCORDS_SCORE_DECOMMISSION_OIL,EMERGENCY_CLIMATE_ACCORDS,LOC_EMERGENCY_SCORE_DECOMMISSION_OIL_POWER_PLANT_DESC,100,PROJECT_DECOMMISSION_OIL_POWER_PLANT,0,0,0,0,0,0,0,0,,0,,,0,0,0,0
CLIMATE_ACCORDS_SCORE_DECOMMISSION_NUCLEAR,EMERGENCY_CLIMATE_ACCORDS,LOC_EMERGENCY_SCORE_DECOMMISSION_NUCLEAR_POWER_PLANT_DESC,100,PROJECT_DECOMMISSION_NUCLEAR_POWER_PLANT,0,0,0,0,0,0,0,0,,0,,,0,0,0,0
WORLD_GAMES_SCORE_PROJECT,EMERGENCY_WORLD_GAMES,LOC_EMERGENCY_SCORE_ATHLETE_PROJECT_DESC,50,PROJECT_TRAIN_ATHLETES,0,0,0,0,0,0,0,0,,0,,,0,0,0,0
WORLD_GAMES_SCORE_STADIUMS,EMERGENCY_WORLD_GAMES,LOC_EMERGENCY_SCORE_STADIUMS_DESC,1,,0,0,0,0,0,0,0,0,,0,BUILDING_STADIUM,,0,0,0,0
WORLD_GAMES_SCORE_AQUATICS_CENTERS,EMERGENCY_WORLD_GAMES,LOC_EMERGENCY_SCORE_AQUATIC_CENTERS_DESC,1,,0,0,0,0,0,0,0,0,,0,BUILDING_AQUATICS_CENTER,,0,0,0,0
SEND_MILITARY_AID_SCORE_FROM_GOLD,EMERGENCY_SEND_MILITARY_AID,LOC_EMERGENCY_SCORE_SEND_AID_GOLD_DESC,1,,0,0,0,1,0,0,0,0,,0,,,0,0,0,0
SEND_MILITARY_AID_SCORE_FROM_PROJECT,EMERGENCY_SEND_MILITARY_AID,LOC_EMERGENCY_SCORE_SEND_AID_PROJECT_DESC,200,PROJECT_SEND_AID,0,0,0,0,0,0,0,0,,0,,,0,0,0,0
SEND_MILITARY_AID_SCORE_FROM_AT_WAR,EMERGENCY_SEND_MILITARY_AID,LOC_EMERGENCY_SCORE_SEND_AID_WAR_DESC,-200,,0,0,0,0,0,0,0,0,,0,,,0,1,0,0
