MomentIllustrationType,MomentDataType,GameDataType,Texture
MOMENT_ILLUSTRATION_UNIQUE_BUILDING,MOMENT_DATA_BUILDING,BUILDING_BASILIKOI_PAIDES,Moment_Infrastructure_Macedon.dds
MOMENT_ILLUSTRATION_UNIQUE_IMPROVEMENT,MOMENT_DATA_IMPROVEMENT,IMPROVEMENT_PAIRIDAEZA,Moment_Infrastructure_Persia.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_DIGGER,Moment_UniqueUnit_Australia.dds
MOMENT_ILLUSTRATION_UNIQUE_IMPROVEMENT,MOMENT_DATA_IMPROVEMENT,IMPROVEMENT_OUTBACK_STATION,Moment_Infrastructure_Australia.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_ULURU,Moment_Naturalwonder_Uluru.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_CREE_OKIHTCITAW,Moment_UniqueUnit_Cree.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_DE_ZEVEN_PROVINCIEN,Moment_UniqueUnit_Netherlands.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_GEORGIAN_KHEVSURETI,Moment_UniqueUnit_Georgia.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_KOREAN_HWACHA,Moment_UniqueUnit_Korea.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_MAPUCHE_MALON_RAIDER,Moment_UniqueUnit_Mapuche.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_MONGOLIAN_KESHIG,Moment_UniqueUnit_Mongolia.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_SCOTTISH_HIGHLANDER,Moment_UniqueUnit_Scotland.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_ZULU_IMPI,Moment_UniqueUnit_Zulu.dds
MOMENT_ILLUSTRATION_UNIQUE_BUILDING,MOMENT_DATA_BUILDING,BUILDING_TSIKHE,Moment_Infrastructure_Georgia.dds
MOMENT_ILLUSTRATION_UNIQUE_BUILDING,MOMENT_DATA_BUILDING,BUILDING_ORDU,Moment_Infrastructure_Mongolia.dds
MOMENT_ILLUSTRATION_UNIQUE_DISTRICT,MOMENT_DATA_DISTRICT,DISTRICT_SEOWON,Moment_Infrastructure_Korea.dds
MOMENT_ILLUSTRATION_UNIQUE_DISTRICT,MOMENT_DATA_DISTRICT,DISTRICT_IKANDA,Moment_Infrastructure_Zulu.dds
MOMENT_ILLUSTRATION_UNIQUE_IMPROVEMENT,MOMENT_DATA_IMPROVEMENT,IMPROVEMENT_MEKEWAP,Moment_Infrastructure_Cree.dds
MOMENT_ILLUSTRATION_UNIQUE_IMPROVEMENT,MOMENT_DATA_IMPROVEMENT,IMPROVEMENT_CHEMAMULL,Moment_Infrastructure_Mapuche.dds
MOMENT_ILLUSTRATION_UNIQUE_IMPROVEMENT,MOMENT_DATA_IMPROVEMENT,IMPROVEMENT_POLDER,Moment_Infrastructure_Netherlands.dds
MOMENT_ILLUSTRATION_UNIQUE_IMPROVEMENT,MOMENT_DATA_IMPROVEMENT,IMPROVEMENT_GOLF_COURSE,Moment_Infrastructure_Scotland.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_DELICATE_ARCH,Moment_NaturalWonder_DelicateArch.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_EYE_OF_THE_SAHARA,Moment_NaturalWonder_EyeoftheSahara.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_LAKE_RETBA,Moment_Naturalwonder_Retba.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_MATTERHORN,Moment_NaturalWonder_Matterhorn.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_RORAIMA,Moment_NaturalWonder_Roraima.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_UBSUNUR_HOLLOW,Moment_NaturalWonder_Ubsunur.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_ZHANGYE_DANXIA,Moment_NaturalWonder_Zhangye.dds
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_PANTHEON,PM_FoundedReligion_Pantheon
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_BUDDHISM,PM_FoundedReligion_Buddhism
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_CATHOLICISM,PM_FoundedReligion_Catholicism
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_CONFUCIANISM,PM_FoundedReligion_Confucianism
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_HINDUISM,PM_FoundedReligion_Hinduism
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_ISLAM,PM_FoundedReligion_Islam
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_JUDAISM,PM_FoundedReligion_Judaism
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_ORTHODOXY,PM_FoundedReligion_Orthodoxy
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_PROTESTANTISM,PM_FoundedReligion_Protestantism
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_SHINTO,PM_FoundedReligion_Shinto
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_SIKHISM,PM_FoundedReligion_Sikhism
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_TAOISM,PM_FoundedReligion_Taoism
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_ZOROASTRIANISM,PM_FoundedReligion_Zoroastrianism
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_CUSTOM_1,PM_FoundedReligion_Custom1
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_CUSTOM_2,PM_FoundedReligion_Custom2
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_CUSTOM_3,PM_FoundedReligion_Custom3
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_CUSTOM_4,PM_FoundedReligion_Custom4
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_CUSTOM_5,PM_FoundedReligion_Custom5
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_CUSTOM_6,PM_FoundedReligion_Custom6
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_CUSTOM_7,PM_FoundedReligion_Custom7
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_CUSTOM_8,PM_FoundedReligion_Custom8
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_CUSTOM_9,PM_FoundedReligion_Custom9
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_CUSTOM_10,PM_FoundedReligion_Custom10
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_CUSTOM_11,PM_FoundedReligion_Custom11
MOMENT_ILLUSTRATION_RELIGION,MOMENT_DATA_RELIGION,RELIGION_CUSTOM_12,PM_FoundedReligion_Custom12
MOMENT_ILLUSTRATION_CIVIC_ERA,MOMENT_DATA_PLAYER_ERA,ERA_ANCIENT,Moment_CompleteCivicClassical.dds
MOMENT_ILLUSTRATION_CIVIC_ERA,MOMENT_DATA_PLAYER_ERA,ERA_CLASSICAL,Moment_CompleteCivicClassical.dds
MOMENT_ILLUSTRATION_CIVIC_ERA,MOMENT_DATA_PLAYER_ERA,ERA_MEDIEVAL,Moment_CompleteCivicMedieval.dds
MOMENT_ILLUSTRATION_CIVIC_ERA,MOMENT_DATA_PLAYER_ERA,ERA_RENAISSANCE,Moment_CompleteCivicRenaissance.dds
MOMENT_ILLUSTRATION_CIVIC_ERA,MOMENT_DATA_PLAYER_ERA,ERA_INDUSTRIAL,Moment_CompleteCivicIndustrial.dds
MOMENT_ILLUSTRATION_CIVIC_ERA,MOMENT_DATA_PLAYER_ERA,ERA_MODERN,Moment_CompleteCivicModern.dds
MOMENT_ILLUSTRATION_CIVIC_ERA,MOMENT_DATA_PLAYER_ERA,ERA_ATOMIC,Moment_CompleteCivicAtomic.dds
MOMENT_ILLUSTRATION_CIVIC_ERA,MOMENT_DATA_PLAYER_ERA,ERA_INFORMATION,Moment_CompleteCivicInformation.dds
MOMENT_ILLUSTRATION_TECHNOLOGY_ERA,MOMENT_DATA_PLAYER_ERA,ERA_ANCIENT,Moment_CompleteTech_Classical.dds
MOMENT_ILLUSTRATION_TECHNOLOGY_ERA,MOMENT_DATA_PLAYER_ERA,ERA_CLASSICAL,Moment_CompleteTech_Classical.dds
MOMENT_ILLUSTRATION_TECHNOLOGY_ERA,MOMENT_DATA_PLAYER_ERA,ERA_MEDIEVAL,Moment_CompleteTech_Medieval.dds
MOMENT_ILLUSTRATION_TECHNOLOGY_ERA,MOMENT_DATA_PLAYER_ERA,ERA_RENAISSANCE,Moment_CompleteTech_Renaissance.dds
MOMENT_ILLUSTRATION_TECHNOLOGY_ERA,MOMENT_DATA_PLAYER_ERA,ERA_INDUSTRIAL,Moment_CompleteTech_Industrial.dds
MOMENT_ILLUSTRATION_TECHNOLOGY_ERA,MOMENT_DATA_PLAYER_ERA,ERA_MODERN,Moment_CompleteTech_Modern.dds
MOMENT_ILLUSTRATION_TECHNOLOGY_ERA,MOMENT_DATA_PLAYER_ERA,ERA_ATOMIC,Moment_CompleteTech_Atomic.dds
MOMENT_ILLUSTRATION_TECHNOLOGY_ERA,MOMENT_DATA_PLAYER_ERA,ERA_INFORMATION,Moment_CompleteTech_Information.dds
MOMENT_ILLUSTRATION_AIR_UNIT_ERA,MOMENT_DATA_PLAYER_ERA,ERA_ANCIENT,Moment_FirstAirUnitEarlyGame.dds
MOMENT_ILLUSTRATION_AIR_UNIT_ERA,MOMENT_DATA_PLAYER_ERA,ERA_CLASSICAL,Moment_FirstAirUnitEarlyGame.dds
MOMENT_ILLUSTRATION_AIR_UNIT_ERA,MOMENT_DATA_PLAYER_ERA,ERA_MEDIEVAL,Moment_FirstAirUnitEarlyGame.dds
MOMENT_ILLUSTRATION_AIR_UNIT_ERA,MOMENT_DATA_PLAYER_ERA,ERA_RENAISSANCE,Moment_FirstAirUnitEarlyGame.dds
MOMENT_ILLUSTRATION_AIR_UNIT_ERA,MOMENT_DATA_PLAYER_ERA,ERA_INDUSTRIAL,Moment_FirstAirUnitEarlyGame.dds
MOMENT_ILLUSTRATION_AIR_UNIT_ERA,MOMENT_DATA_PLAYER_ERA,ERA_MODERN,Moment_FirstAirUnitEarlyGame.dds
MOMENT_ILLUSTRATION_AIR_UNIT_ERA,MOMENT_DATA_PLAYER_ERA,ERA_ATOMIC,Moment_FirstAirUnitLateGame.dds
MOMENT_ILLUSTRATION_AIR_UNIT_ERA,MOMENT_DATA_PLAYER_ERA,ERA_INFORMATION,Moment_FirstAirUnitLateGame.dds
MOMENT_ILLUSTRATION_SEA_UNIT_ERA,MOMENT_DATA_PLAYER_ERA,ERA_ANCIENT,Moment_FirstSeaUnitEarly.dds
MOMENT_ILLUSTRATION_SEA_UNIT_ERA,MOMENT_DATA_PLAYER_ERA,ERA_CLASSICAL,Moment_FirstSeaUnitEarly.dds
MOMENT_ILLUSTRATION_SEA_UNIT_ERA,MOMENT_DATA_PLAYER_ERA,ERA_MEDIEVAL,Moment_FirstSeaUnitEarly.dds
MOMENT_ILLUSTRATION_SEA_UNIT_ERA,MOMENT_DATA_PLAYER_ERA,ERA_RENAISSANCE,Moment_FirstSeaUnitMid.dds
MOMENT_ILLUSTRATION_SEA_UNIT_ERA,MOMENT_DATA_PLAYER_ERA,ERA_INDUSTRIAL,Moment_FirstSeaUnitMid.dds
MOMENT_ILLUSTRATION_SEA_UNIT_ERA,MOMENT_DATA_PLAYER_ERA,ERA_MODERN,Moment_FirstSeaUnitMid.dds
MOMENT_ILLUSTRATION_SEA_UNIT_ERA,MOMENT_DATA_PLAYER_ERA,ERA_ATOMIC,Moment_FirstSeaUnitMid.dds
MOMENT_ILLUSTRATION_SEA_UNIT_ERA,MOMENT_DATA_PLAYER_ERA,ERA_INFORMATION,Moment_FirstSeaUnitMid.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_AMERICAN_P51,Moment_UniqueUnit_America_Mustang.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_ARABIAN_MAMLUK,Moment_UniqueUnit_Arab.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_BRAZILIAN_MINAS_GERAES,Moment_UniqueUnit_Brazil.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_CHINESE_CROUCHING_TIGER,Moment_UniqueUnit_China.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_EGYPTIAN_CHARIOT_ARCHER,Moment_UniqueUnit_Egypt.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_ENGLISH_REDCOAT,Moment_UniqueUnit_England_Redcoats.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_ENGLISH_SEADOG,Moment_UniqueUnit_England_Seadog.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_FRENCH_GARDE_IMPERIALE,Moment_UniqueUnit_France_GardeImperiale.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_GERMAN_UBOAT,Moment_UniqueUnit_Germany_UBoat.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_GREEK_HOPLITE,Moment_UniqueUnit_Greece.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_INDIAN_VARU,Moment_UniqueUnit_India.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_JAPANESE_SAMURAI,Moment_UniqueUnit_Japan.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_KONGO_SHIELD_BEARER,Moment_UniqueUnit_Konga.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_NORWEGIAN_BERSERKER,Moment_UniqueUnit_Norway_Berserker.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_NORWEGIAN_LONGSHIP,Moment_UniqueUnit_Norway_Longship.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_ROMAN_LEGION,Moment_UniqueUnit_Rome.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_RUSSIAN_COSSACK,Moment_UniqueUnit_Russia.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_SCYTHIAN_HORSE_ARCHER,Moment_UniqueUnit_Scythia.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_SPANISH_CONQUISTADOR,Moment_UniqueUnit_Spain.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_SUMERIAN_WAR_CART,Moment_UniqueUnit_Sumerian.dds
MOMENT_ILLUSTRATION_GOVERNOR,MOMENT_DATA_GOVERNOR,GOVERNOR_THE_AMBASSADOR,Moment_PromoteGovernor_Ambassador.dds
MOMENT_ILLUSTRATION_GOVERNOR,MOMENT_DATA_GOVERNOR,GOVERNOR_THE_BUILDER,Moment_PromoteGovernor_Builder.dds
MOMENT_ILLUSTRATION_GOVERNOR,MOMENT_DATA_GOVERNOR,GOVERNOR_THE_CARDINAL,Moment_PromoteGovernor_Cardinal.dds
MOMENT_ILLUSTRATION_GOVERNOR,MOMENT_DATA_GOVERNOR,GOVERNOR_THE_DEFENDER,Moment_PromoteGovernor_Defender.dds
MOMENT_ILLUSTRATION_GOVERNOR,MOMENT_DATA_GOVERNOR,GOVERNOR_THE_EDUCATOR,Moment_PromoteGovernor_Educator.dds
MOMENT_ILLUSTRATION_GOVERNOR,MOMENT_DATA_GOVERNOR,GOVERNOR_THE_MERCHANT,Moment_PromoteGovernor_Merchant.dds
MOMENT_ILLUSTRATION_GOVERNOR,MOMENT_DATA_GOVERNOR,GOVERNOR_THE_RESOURCE_MANAGER,Moment_PromoteGovernor_ResourceManager.dds
MOMENT_ILLUSTRATION_GOVERNMENT,MOMENT_DATA_GOVERNMENT,GOVERNMENT_AUTOCRACY,Moment_Government_Autocracy.dds
MOMENT_ILLUSTRATION_GOVERNMENT,MOMENT_DATA_GOVERNMENT,GOVERNMENT_OLIGARCHY,Moment_Government_Oligarchy.dds
MOMENT_ILLUSTRATION_GOVERNMENT,MOMENT_DATA_GOVERNMENT,GOVERNMENT_CLASSICAL_REPUBLIC,Moment_Government_ClassicalRepublic.dds
MOMENT_ILLUSTRATION_GOVERNMENT,MOMENT_DATA_GOVERNMENT,GOVERNMENT_MONARCHY,Moment_Government_Monarchy.dds
MOMENT_ILLUSTRATION_GOVERNMENT,MOMENT_DATA_GOVERNMENT,GOVERNMENT_THEOCRACY,Moment_Government_Theocracy.dds
MOMENT_ILLUSTRATION_GOVERNMENT,MOMENT_DATA_GOVERNMENT,GOVERNMENT_MERCHANT_REPUBLIC,Moment_Government_Merchant.dds
MOMENT_ILLUSTRATION_GOVERNMENT,MOMENT_DATA_GOVERNMENT,GOVERNMENT_FASCISM,Moment_Government_Fascism.dds
MOMENT_ILLUSTRATION_GOVERNMENT,MOMENT_DATA_GOVERNMENT,GOVERNMENT_COMMUNISM,Moment_Government_Communism.dds
MOMENT_ILLUSTRATION_GOVERNMENT,MOMENT_DATA_GOVERNMENT,GOVERNMENT_DEMOCRACY,Moment_Government_Democracy.dds
MOMENT_ILLUSTRATION_GAME_ERA,MOMENT_DATA_PLAYER_ERA,ERA_ANCIENT,Moment_EraEntry_Ancient.dds
MOMENT_ILLUSTRATION_GAME_ERA,MOMENT_DATA_PLAYER_ERA,ERA_CLASSICAL,Moment_EraEntry_Classical.dds
MOMENT_ILLUSTRATION_GAME_ERA,MOMENT_DATA_PLAYER_ERA,ERA_MEDIEVAL,Moment_EraEntry_Medieval.dds
MOMENT_ILLUSTRATION_GAME_ERA,MOMENT_DATA_PLAYER_ERA,ERA_RENAISSANCE,Moment_EraEntry_Renaissance.dds
MOMENT_ILLUSTRATION_GAME_ERA,MOMENT_DATA_PLAYER_ERA,ERA_INDUSTRIAL,Moment_EraEntry_Industrial.dds
MOMENT_ILLUSTRATION_GAME_ERA,MOMENT_DATA_PLAYER_ERA,ERA_MODERN,Moment_EraEntry_Modern.dds
MOMENT_ILLUSTRATION_GAME_ERA,MOMENT_DATA_PLAYER_ERA,ERA_ATOMIC,Moment_EraEntry_Atomic.dds
MOMENT_ILLUSTRATION_GAME_ERA,MOMENT_DATA_PLAYER_ERA,ERA_INFORMATION,Moment_EraEntry_Information.dds
MOMENT_ILLUSTRATION_UNIQUE_BUILDING,MOMENT_DATA_BUILDING,BUILDING_FILM_STUDIO,Moment_Infrastructure_America.dds
MOMENT_ILLUSTRATION_UNIQUE_BUILDING,MOMENT_DATA_BUILDING,BUILDING_MADRASA,Moment_Infrastructure_Arabia.dds
MOMENT_ILLUSTRATION_UNIQUE_BUILDING,MOMENT_DATA_BUILDING,BUILDING_ELECTRONICS_FACTORY,Moment_Infrastructure_Japan.dds
MOMENT_ILLUSTRATION_UNIQUE_BUILDING,MOMENT_DATA_BUILDING,BUILDING_STAVE_CHURCH,Moment_Infrastructure_Norway.dds
MOMENT_ILLUSTRATION_UNIQUE_DISTRICT,MOMENT_DATA_DISTRICT,DISTRICT_STREET_CARNIVAL,Moment_Infrastructure_Brazil.dds
MOMENT_ILLUSTRATION_UNIQUE_DISTRICT,MOMENT_DATA_DISTRICT,DISTRICT_WATER_STREET_CARNIVAL,Moment_Infrastructure_Brazil.dds
MOMENT_ILLUSTRATION_UNIQUE_DISTRICT,MOMENT_DATA_DISTRICT,DISTRICT_ROYAL_NAVY_DOCKYARD,Moment_Infrastructure_England.dds
MOMENT_ILLUSTRATION_UNIQUE_DISTRICT,MOMENT_DATA_DISTRICT,DISTRICT_HANSA,Moment_Infrastructure_Germany.dds
MOMENT_ILLUSTRATION_UNIQUE_DISTRICT,MOMENT_DATA_DISTRICT,DISTRICT_ACROPOLIS,Moment_Infrastructure_Greece.dds
MOMENT_ILLUSTRATION_UNIQUE_DISTRICT,MOMENT_DATA_DISTRICT,DISTRICT_MBANZA,Moment_Infrastructure_Kongo.dds
MOMENT_ILLUSTRATION_UNIQUE_DISTRICT,MOMENT_DATA_DISTRICT,DISTRICT_BATH,Moment_Infrastructure_Rome.dds
MOMENT_ILLUSTRATION_UNIQUE_DISTRICT,MOMENT_DATA_DISTRICT,DISTRICT_LAVRA,Moment_Infrastructure_Russia.dds
MOMENT_ILLUSTRATION_UNIQUE_IMPROVEMENT,MOMENT_DATA_IMPROVEMENT,IMPROVEMENT_GREAT_WALL,Moment_Infrastructure_China.dds
MOMENT_ILLUSTRATION_UNIQUE_IMPROVEMENT,MOMENT_DATA_IMPROVEMENT,IMPROVEMENT_SPHINX,Moment_Infrastructure_Egypt.dds
MOMENT_ILLUSTRATION_UNIQUE_IMPROVEMENT,MOMENT_DATA_IMPROVEMENT,IMPROVEMENT_CHATEAU,Moment_Infrastructure_France.dds
MOMENT_ILLUSTRATION_UNIQUE_IMPROVEMENT,MOMENT_DATA_IMPROVEMENT,IMPROVEMENT_STEPWELL,Moment_Infrastructure_India.dds
MOMENT_ILLUSTRATION_UNIQUE_IMPROVEMENT,MOMENT_DATA_IMPROVEMENT,IMPROVEMENT_KURGAN,Moment_Infrastructure_Scythia.dds
MOMENT_ILLUSTRATION_UNIQUE_IMPROVEMENT,MOMENT_DATA_IMPROVEMENT,IMPROVEMENT_MISSION,Moment_Infrastructure_Spanish.dds
MOMENT_ILLUSTRATION_UNIQUE_IMPROVEMENT,MOMENT_DATA_IMPROVEMENT,IMPROVEMENT_ZIGGURAT,Moment_Infrastructure_Ziggurat.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_BARRIER_REEF,Moment_Naturalwonder_BarrierReef.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_CLIFFS_DOVER,Moment_NaturalWonder_CliffsOfDover.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_CRATER_LAKE,Moment_Naturalwonder_CraterLake.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_DEAD_SEA,Moment_NaturalWonder_DeadSea.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_EVEREST,Moment_NaturalWonder_Everest.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_GALAPAGOS,Moment_NaturalWonder_Galapagos.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_KILIMANJARO,Moment_NaturalWonder_Kilimanjaro.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_PANTANAL,Moment_NaturalWonder_Pantanal.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_PIOPIOTAHI,Moment_NaturalWonder_Piopiotahi.dds
