TraitType,Name,Description,InternalOnly
TRAIT_CIVILIZATION_DISTRICT_LAVRA,LOC_TRAIT_CIVILIZATION_DISTRICT_LAVRA_NAME,,0
TRAIT_CIVILIZATION_EXTRA_LIGHT_CAVALRY,LOC_TRAIT_CIVILIZATION_EXTRA_LIGHT_CAVALRY_NAME,LOC_TRAIT_CIVILIZATION_EXTRA_LIGHT_CAVALRY_DESCRIPTION,0
TRAIT_CIVILIZATION_IMPROVEMENT_KURGAN,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_KURGAN_NAME,,0
TRAIT_CIVILIZATION_UNIT_SCYTHIAN_HORSE_ARCHER,LOC_TRAIT_CIVILIZATION_UNIT_SCYTHIAN_HORSE_ARCHER_NAME,,0
TRAIT_CIVILIZATION_IMPROVEMENT_MISSION,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_MISSION_NAME,,0
TRAIT_CIVILIZATION_UNIT_SPANISH_CONQUISTADOR,LOC_TRAIT_CIVILIZATION_UNIT_SPANISH_CONQUISTADOR_NAME,,0
TRAIT_CIVILIZATION_TREASURE_FLEET,LOC_TRAIT_CIVILIZATION_TREASURE_FLEET_NAME,LOC_TRAIT_CIVILIZATION_TREASURE_FLEET_EXPANSION2_DESCRIPTION,0
TRAIT_CIVILIZATION_UNIT_RUSSIAN_COSSACK,LOC_TRAIT_CIVILIZATION_UNIT_RUSSIAN_COSSACK_NAME,,0
TRAIT_CIVILIZATION_FIRST_CIVILIZATION,LOC_TRAIT_CIVILIZATION_FIRST_CIVILIZATION_NAME,LOC_TRAIT_CIVILIZATION_FIRST_CIVILIZATION_CLANS_MODE_DESCRIPTION,0
TRAIT_CIVILIZATION_IMPROVEMENT_ZIGGURAT,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_ZIGGURAT_NAME,,0
TRAIT_CIVILIZATION_UNIT_SUMERIAN_WAR_CART,LOC_TRAIT_CIVILIZATION_UNIT_SUMERIAN_WAR_CART_NAME,,0
TRAIT_CIVILIZATION_UNIT_INDIAN_VARU,LOC_TRAIT_CIVILIZATION_UNIT_INDIAN_VARU_NAME,,0
TRAIT_CIVILIZATION_UNIT_ENGLISH_SEADOG,LOC_TRAIT_CIVILIZATION_UNIT_ENGLISH_SEADOG_NAME,,0
TRAIT_CIVILIZATION_UNIT_ARABIAN_MAMLUK,LOC_TRAIT_CIVILIZATION_UNIT_ARABIAN_MAMLUK_NAME,,0
TRAIT_CIVILIZATION_UNIT_FRENCH_GARDE_IMPERIALE,LOC_TRAIT_CIVILIZATION_UNIT_FRENCH_GARDE_IMPERIALE_NAME,,0
TRAIT_CIVILIZATION_UNIT_GERMAN_UBOAT,LOC_TRAIT_CIVILIZATION_UNIT_GERMAN_UBOAT_NAME,,0
TRAIT_CIVILIZATION_UNIT_AMERICAN_P51,LOC_TRAIT_CIVILIZATION_UNIT_AMERICAN_P51_NAME,,0
TRAIT_CIVILIZATION_UNIT_BRAZILIAN_MINAS_GERAES,LOC_TRAIT_CIVILIZATION_UNIT_BRAZILIAN_MINAS_GERAES_NAME,,0
TRAIT_CIVILIZATION_WONDER_TOURISM,LOC_TRAIT_CIVILIZATION_WONDER_TOURISM_NAME,LOC_TRAIT_CIVILIZATION_WONDER_TOURISM_DESCRIPTION,0
TRAIT_CIVILIZATION_UNIT_NORWEGIAN_BERSERKER,LOC_TRAIT_CIVILIZATION_UNIT_NORWEGIAN_BERSERKER_NAME,,0
TRAIT_CIVILIZATION_INEXPENSIVE_BUILDERS,LOC_TRAIT_CIVILIZATION_INEXPENSIVE_BUILDERS_NAME,LOC_TRAIT_CIVILIZATION_INEXPENSIVE_BUILDERS_DESCRIPTION,0
TRAIT_CIVILIZATION_BONUS_AGAINST_BARBS,LOC_TRAIT_CIVILIZATION_BONUS_AGAINST_BARBS_NAME,LOC_TRAIT_CIVILIZATION_BONUS_AGAINST_BARBS_DESCRIPTION,0
TRAIT_CIVILIZATION_EARLY_OCEAN_NAVIGATION,LOC_TRAIT_CIVILIZATION_EARLY_OCEAN_NAVIGATION_NAME,LOC_TRAIT_CIVILIZATION_EARLY_OCEAN_NAVIGATION_DESCRIPTION,0
TRAIT_CIVILIZATION_STREET_CARNIVAL,LOC_TRAIT_CIVILIZATION_STREET_CARNIVAL_NAME,,0
TRAIT_CIVILIZATION_ROYAL_NAVY_DOCKYARD,LOC_TRAIT_CIVILIZATION_ROYAL_NAVY_DOCKYARD_NAME,,0
TRAIT_LEADER_BARBARIAN,,,1
TRAIT_LEADER_MAJOR_CIV,,,1
TRAIT_LEADER_EXPANSIONIST,,,1
TRAIT_LEADER_NONRELIGIOUS_MAJOR_CIV,,,1
TRAIT_LEADER_RELIGIOUS_MAJOR_CIV,,,1
TRAIT_LEADER_CULTURAL_MAJOR_CIV,,,1
TRAIT_LEADER_SCIENCE_MAJOR_CIV,,,1
TRAIT_LEADER_AGGRESSIVE_MILITARY,,,1
CULTURE_KILLS_TRAIT,LOC_TRAIT_LEADER_THERMOPYLAE_NAME,LOC_TRAIT_LEADER_THERMOPYLAE_DESCRIPTION,0
TRAIT_LEADER_MEDITERRANEAN,LOC_TRAIT_LEADER_MEDITERRANEAN_NAME,LOC_TRAIT_LEADER_MEDITERRANEAN_EXPANSION2_DESCRIPTION,0
TRAIT_LEADER_DIVINE_WIND,LOC_TRAIT_LEADER_DIVINE_WIND_NAME,LOC_TRAIT_LEADER_DIVINE_WIND_EXPANSION2_DESCRIPTION,0
TRAIT_LEADER_EL_ESCORIAL,LOC_TRAIT_LEADER_EL_ESCORIAL_NAME,LOC_TRAIT_LEADER_EL_ESCORIAL_EXPANSION2_DESCRIPTION,0
TRAIT_LEADER_GIFTS_FOR_TLATOANI,LOC_TRAIT_LEADER_GIFTS_FOR_TLATOANI_NAME,LOC_TRAIT_LEADER_GIFTS_FOR_TLATOANI_DESCRIPTION,0
TRAIT_LEADER_GRAND_EMBASSY,LOC_TRAIT_LEADER_GRAND_EMBASSY_NAME,LOC_TRAIT_LEADER_GRAND_EMBASSY_DESCRIPTION,0
TRAIT_LEADER_HOLY_ROMAN_EMPEROR,LOC_TRAIT_LEADER_HOLY_ROMAN_EMPEROR_NAME,LOC_TRAIT_LEADER_HOLY_ROMAN_EMPEROR_DESCRIPTION,0
TRAIT_LEADER_PAX_BRITANNICA,LOC_TRAIT_LEADER_PAX_BRITANNICA_NAME,LOC_TRAIT_CIVILIZATION_PAX_BRITANNICA_EXPANSION2_DESCRIPTION,0
TRAIT_LEADER_RIGHTEOUSNESS_OF_FAITH,LOC_TRAIT_LEADER_RIGHTEOUSNESS_OF_FAITH_NAME,LOC_TRAIT_LEADER_RIGHTEOUSNESS_OF_FAITH_DESCRIPTION,0
TRAIT_LEADER_RELIGIOUS_CONVERT,LOC_TRAIT_LEADER_RELIGIOUS_CONVERT_NAME,LOC_TRAIT_LEADER_RELIGIOUS_CONVERT_DESCRIPTION,0
TRAIT_LEADER_ROOSEVELT_COROLLARY,LOC_TRAIT_LEADER_ROOSEVELT_COROLLARY_NAME,LOC_TRAIT_LEADER_ROOSEVELT_COROLLARY_ROUGH_RIDER_DESCRIPTION,0
TRAIT_LEADER_SATYAGRAHA,LOC_TRAIT_LEADER_SATYAGRAHA_NAME,LOC_TRAIT_LEADER_SATYAGRAHA_DESCRIPTION,0
TRAIT_LEADER_UNIT_ENGLISH_REDCOAT,LOC_TRAIT_LEADER_TRAIT_LEADER_UNIT_ENGLISH_REDCOAT_NAME,,0
TRAIT_LEADER_MELEE_COASTAL_RAIDS,LOC_TRAIT_LEADER_THUNDERBOLT_NAME,LOC_TRAIT_LEADER_THUNDERBOLT_EXPANSION2_DESCRIPTION,0
TRAIT_LEADER_UNIT_NORWEGIAN_LONGSHIP,LOC_TRAIT_LEADER_TRAIT_LEADER_UNIT_NORWEGIAN_LONGSHIP_NAME,,0
FIRST_EMPEROR_TRAIT,LOC_TRAIT_LEADER_FIRST_EMPEROR_NAME,LOC_TRAIT_LEADER_FIRST_EMPEROR_EXPANSION2_DESCRIPTION,0
FLYING_SQUADRON_TRAIT,LOC_TRAIT_LEADER_FLYING_SQUADRON_NAME,LOC_TRAIT_LEADER_FLYING_SQUADRON_DESCRIPTION,0
TRAJANS_COLUMN_TRAIT,LOC_TRAIT_LEADER_TRAJANS_COLUMN_NAME,LOC_TRAIT_LEADER_TRAJANS_COLUMN_DESCRIPTION,0
TRAIT_LEADER_UNIT_AMERICAN_ROUGH_RIDER,LOC_TRAIT_LEADER_TRAIT_LEADER_UNIT_AMERICAN_ROUGH_RIDER_NAME,,0
TRAIT_LEADER_KILLER_OF_CYRUS,LOC_TRAIT_LEADER_KILLER_OF_CYRUS_NAME,LOC_TRAIT_LEADER_KILLER_OF_CYRUS_DESCRIPTION,0
TRAIT_LEADER_MAGNANIMOUS,LOC_TRAIT_LEADER_MAGNANIMOUS_NAME,LOC_TRAIT_LEADER_MAGNANIMOUS_DESCRIPTION,0
TRAIT_LEADER_SURROUNDED_BY_GLORY,LOC_TRAIT_LEADER_SURROUNDED_BY_GLORY_NAME,LOC_TRAIT_LEADER_SURROUNDED_BY_GLORY_DESCRIPTION,0
TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE,,,1
TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR,,,1
MINOR_CIV_DEFAULT_TRAIT,,,1
MINOR_CIV_SCIENTIFIC_TRAIT,LOC_MINOR_CIV_SCIENTIFIC_TRAIT_NAME,LOC_MINOR_CIV_SCIENTIFIC_TRAIT_DESCRIPTION,0
MINOR_CIV_RELIGIOUS_TRAIT,LOC_MINOR_CIV_RELIGIOUS_TRAIT_NAME,LOC_MINOR_CIV_RELIGIOUS_TRAIT_DESCRIPTION,0
MINOR_CIV_TRADE_TRAIT,LOC_MINOR_CIV_TRADE_TRAIT_NAME,LOC_MINOR_CIV_TRADE_TRAIT_DESCRIPTION,0
MINOR_CIV_CULTURAL_TRAIT,LOC_MINOR_CIV_CULTURAL_TRAIT_NAME,LOC_MINOR_CIV_CULTURAL_TRAIT_DESCRIPTION,0
MINOR_CIV_MILITARISTIC_TRAIT,LOC_MINOR_CIV_MILITARISTIC_TRAIT_NAME,LOC_MINOR_CIV_MILITARISTIC_TRAIT_DESCRIPTION,0
MINOR_CIV_INDUSTRIAL_TRAIT,LOC_MINOR_CIV_INDUSTRIAL_TRAIT_NAME,LOC_MINOR_CIV_INDUSTRIAL_TRAIT_DESCRIPTION,0
MINOR_CIV_AMSTERDAM_TRAIT,LOC_LEADER_TRAIT_AMSTERDAM_NAME,LOC_LEADER_TRAIT_AMSTERDAM_DESCRIPTION,0
MINOR_CIV_BRUSSELS_TRAIT,LOC_LEADER_TRAIT_BRUSSELS_NAME,LOC_LEADER_TRAIT_BRUSSELS_DESCRIPTION,0
MINOR_CIV_BUENOS_AIRES_TRAIT,LOC_LEADER_TRAIT_BUENOS_AIRES_NAME,LOC_LEADER_TRAIT_BUENOS_AIRES_DESCRIPTION,0
MINOR_CIV_GENEVA_TRAIT,LOC_LEADER_TRAIT_GENEVA_NAME,LOC_LEADER_TRAIT_GENEVA_DESCRIPTION,0
MINOR_CIV_HATTUSA_TRAIT,LOC_LEADER_TRAIT_HATTUSA_NAME,LOC_LEADER_TRAIT_HATTUSA_EXPANSION2_DESCRIPTION,0
MINOR_CIV_HONG_KONG_TRAIT,LOC_LEADER_TRAIT_HONG_KONG_NAME,LOC_LEADER_TRAIT_HONG_KONG_DESCRIPTION,0
MINOR_CIV_JAKARTA_TRAIT,LOC_LEADER_TRAIT_BANDAR_BRUNEI_NAME,LOC_LEADER_TRAIT_JAKARTA_DESCRIPTION,0
MINOR_CIV_KABUL_TRAIT,LOC_LEADER_TRAIT_KABUL_NAME,LOC_LEADER_TRAIT_KABUL_DESCRIPTION,0
MINOR_CIV_KANDY_TRAIT,LOC_LEADER_TRAIT_KANDY_NAME,LOC_LEADER_TRAIT_KANDY_DESCRIPTION,0
MINOR_CIV_KUMASI_TRAIT,LOC_LEADER_TRAIT_KUMASI_NAME,LOC_LEADER_TRAIT_KUMASI_DESCRIPTION,0
MINOR_CIV_LA_VENTA_TRAIT,LOC_LEADER_TRAIT_LA_VENTA_NAME,LOC_LEADER_TRAIT_LA_VENTA_EXPANSION2_DESCRIPTION,0
MINOR_CIV_LISBON_TRAIT,LOC_LEADER_TRAIT_LISBON_NAME,LOC_LEADER_TRAIT_LISBON_DESCRIPTION,0
MINOR_CIV_MOHENJO_DARO_TRAIT,LOC_LEADER_TRAIT_MOHENJO_DARO_NAME,LOC_LEADER_TRAIT_MOHENJO_DARO_DESCRIPTION,0
MINOR_CIV_NAN_MADOL_TRAIT,LOC_LEADER_TRAIT_NAN_MADOL_NAME,LOC_LEADER_TRAIT_NAN_MADOL_DESCRIPTION,0
MINOR_CIV_SEOUL_TRAIT,LOC_LEADER_TRAIT_SEOUL_NAME,LOC_LEADER_TRAIT_SEOUL_DESCRIPTION,0
MINOR_CIV_TORONTO_TRAIT,LOC_LEADER_TRAIT_TORONTO_NAME,LOC_LEADER_TRAIT_TORONTO_DESCRIPTION,0
MINOR_CIV_VALLETTA_TRAIT,LOC_LEADER_TRAIT_VALLETTA_NAME,LOC_LEADER_TRAIT_VALLETTA_DESCRIPTION,0
MINOR_CIV_YEREVAN_TRAIT,LOC_LEADER_TRAIT_YEREVAN_NAME,LOC_LEADER_TRAIT_YEREVAN_DESCRIPTION,0
MINOR_CIV_ZANZIBAR_TRAIT,LOC_LEADER_TRAIT_ZANZIBAR_NAME,LOC_LEADER_TRAIT_ZANZIBAR_DESCRIPTION,0
TRAIT_CIVILIZATION_LEGEND_FIVE_SUNS,LOC_TRAIT_CIVILIZATION_LEGEND_FIVE_SUNS_NAME,LOC_TRAIT_CIVILIZATION_LEGEND_FIVE_SUNS_DESCRIPTION,0
TRAIT_CIVILIZATION_BUILDING_TLACHTLI,LOC_TRAIT_CIVILIZATION_BUILDING_TLACHTLI_NAME,,0
TRAIT_CIVILIZATION_UNIT_AZTEC_EAGLE_WARRIOR,LOC_TRAIT_CIVILIZATION_UNIT_AZTEC_EAGLE_WARRIOR_NAME,,0
TRAIT_CIVILIZATION_IMPROVEMENT_KAMPUNG,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_KAMPUNG_NAME,,0
TRAIT_CIVILIZATION_INDONESIA_NUSANTARA,LOC_TRAIT_CIVILIZATION_INDONESIA_NUSANTARA_NAME,LOC_TRAIT_CIVILIZATION_INDONESIA_NUSANTARA_DESCRIPTION,0
TRAIT_CIVILIZATION_UNIT_INDONESIAN_JONG,LOC_TRAIT_CIVILIZATION_UNIT_INDONESIAN_JONG_NAME,,0
TRAIT_LEADER_EXALTED_GODDESS,LOC_TRAIT_LEADER_EXALTED_GODDESS_NAME,LOC_TRAIT_LEADER_EXALTED_GODDESS_DESCRIPTION,0
TRAIT_AGENDA_ARCHIPELAGIC_STATE,LOC_AGENDA_ARCHIPELAGIC_STATE_NAME,LOC_AGENDA_ARCHIPELAGIC_STATE_DESCRIPTION,0
TRAIT_CIVILIZATION_KHMER_BARAYS,LOC_TRAIT_CIVILIZATION_KHMER_BARAYS_NAME,LOC_TRAIT_CIVILIZATION_KHMER_BARAYS_EXPANSION2_DESCRIPTION,0
TRAIT_CIVILIZATION_BUILDING_PRASAT,LOC_TRAIT_CIVILIZATION_BUILDING_PRASAT_NAME,,0
TRAIT_CIVILIZATION_UNIT_KHMER_DOMREY,LOC_TRAIT_CIVILIZATION_UNIT_KHMER_DOMREY_NAME,,0
TRAIT_LEADER_MONASTERIES_KING,LOC_TRAIT_LEADER_MONASTERIES_KING_NAME,LOC_TRAIT_LEADER_MONASTERIES_KING_EXPANSION2_DESCRIPTION,0
TRAIT_AGENDA_END_TO_SUFFERING,LOC_AGENDA_END_TO_SUFFERING_NAME,LOC_AGENDA_END_TO_SUFFERING_DESCRIPTION,0
MINOR_CIV_AUCKLAND_TRAIT,LOC_LEADER_TRAIT_AUCKLAND_NAME,LOC_LEADER_TRAIT_AUCKLAND_DESCRIPTION,0
MINOR_CIV_ANTANANARIVO_TRAIT,LOC_LEADER_TRAIT_ANTANANARIVO_NAME,LOC_LEADER_TRAIT_ANTANANARIVO_DESCRIPTION,0
MINOR_CIV_ARMAGH_TRAIT,LOC_LEADER_TRAIT_ARMAGH_NAME,LOC_LEADER_TRAIT_ARMAGH_EXPANSION2_DESCRIPTION,0
MINOR_CIV_GRANADA_TRAIT,LOC_LEADER_TRAIT_GRANADA_NAME,LOC_LEADER_TRAIT_GRANADA_EXPANSION2_DESCRIPTION,0
MINOR_CIV_MUSCAT_TRAIT,LOC_LEADER_TRAIT_MUSCAT_NAME,LOC_LEADER_TRAIT_MUSCAT_DESCRIPTION,0
MINOR_CIV_PALENQUE_TRAIT,LOC_LEADER_TRAIT_MITLA_NAME,LOC_LEADER_TRAIT_MITLA_DESCRIPTION,0
TRAIT_AGENDA_SAINT,,,0
TRAIT_CIVILIZATION_BUILDING_SUKIENNICE,LOC_BUILDING_SUKIENNICE_NAME,LOC_BUILDING_SUKIENNICE_DESCRIPTION,0
TRAIT_CIVILIZATION_UNIT_POLISH_HUSSAR,LOC_UNIT_POLISH_HUSSAR_NAME,LOC_UNIT_POLISH_HUSSAR_DESCRIPTION,0
TRAIT_LEADER_LITHUANIAN_UNION,LOC_TRAIT_LEADER_LITHUANIAN_UNION_NAME,LOC_TRAIT_LEADER_LITHUANIAN_UNION_HEROES_DESCRIPTION,0
TRAIT_CIVILIZATION_GOLDEN_LIBERTY,LOC_TRAIT_CIVILIZATION_GOLDEN_LIBERTY_NAME,LOC_TRAIT_CIVILIZATION_GOLDEN_LIBERTY_DESCRIPTION,0
TRAIT_CIVILIZATION_TA_SETI,LOC_TRAIT_CIVILIZATION_TA_SETI_NAME,LOC_TRAIT_CIVILIZATION_TA_SETI_DESCRIPTION,0
TRAIT_CIVILIZATION_IMPROVEMENT_PYRAMID,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_PYRAMID_NAME,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_PYRAMID_DESCRIPTION,0
TRAIT_AGENDA_CITY_PLANNER,,,0
TRAIT_CIVILIZATION_UNIT_NUBIAN_PITATI,LOC_TRAIT_CIVILIZATION_UNIT_NUBIAN_PITATI_NAME,LOC_TRAIT_CIVILIZATION_UNIT_NUBIAN_PITATI_DESCRIPTION,0
TRAIT_LEADER_KANDAKE_OF_MEROE,LOC_TRAIT_LEADER_KANDAKE_OF_MEROE_NAME,LOC_TRAIT_LEADER_KANDAKE_OF_MEROE_DESCRIPTION,0
TRAIT_CIVILIZATION_HELLENISTIC_FUSION,LOC_TRAIT_LEADER_HELLENISTIC_FUSION_NAME,LOC_TRAIT_LEADER_HELLENISTIC_FUSION_DESCRIPTION,0
TRAIT_CIVILIZATION_BUILDING_BASILIKOI_PAIDES,LOC_BUILDING_BASILIKOI_PAIDES_NAME,LOC_BUILDING_BASILIKOI_PAIDES_DESCRIPTION,0
TRAIT_CIVILIZATION_UNIT_HYPASPIST,LOC_TRAIT_CIVILIZATION_UNIT_HYPASPIST_NAME,,0
TRAIT_LEADER_UNIT_HETAIROI,LOC_TRAIT_LEADER_UNIT_HETAIROI_NAME,,0
