UnitPromotionType,Name,Description,Level,Specialization,PromotionClass,Column
PROMOTION_ARMOR_PIERCING,LOC_PROMOTION_ARMOR_PIERCING_NAME,LOC_PROMOTION_ARMOR_PIERCING_DESCRIPTION,3,,PROMOTION_CLASS_HEAVY_CAVALRY,1
PROMOTION_REACTIVE_ARMOR,LOC_PROMOTION_REACTIVE_ARMOR_NAME,LOC_PROMOTION_REACTIVE_ARMOR_DESCRIPTION,3,,PROMOTION_CLASS_HEAVY_CAVALRY,3
PROMOTION_BREAKTHROUGH,LOC_PROMOTION_BREAKTHROUGH_NAME,LOC_PROMOTION_BREAKTHROUGH_DESCRIPTION,4,,PROMOTION_CLASS_HEAVY_CAVALRY,2
PROMOTION_DOGFIGHTING,LOC_PROMOTION_DOGFIGHTING_NAME,LOC_PROMOTION_DOGFIGHTING_DESCRIPTION,1,,PROMOTION_CLASS_AIR_FIGHTER,1
PROMOTION_COCKPIT_ARMOR,LOC_PROMOTION_COCKPIT_ARMOR_NAME,LOC_PROMOTION_COCKPIT_ARMOR_DESCRIPTION,1,,PROMOTION_CLASS_AIR_FIGHTER,3
PROMOTION_INTERCEPTOR,LOC_PROMOTION_INTERCEPTOR_NAME,LOC_PROMOTION_INTERCEPTOR_DESCRIPTION,2,,PROMOTION_CLASS_AIR_FIGHTER,1
PROMOTION_STRAFE,LOC_PROMOTION_STRAFE_NAME,LOC_PROMOTION_STRAFE_DESCRIPTION,2,,PROMOTION_CLASS_AIR_FIGHTER,3
PROMOTION_GROUND_CREWS,LOC_PROMOTION_GROUND_CREWS_NAME,LOC_PROMOTION_GROUND_CREWS_DESCRIPTION,3,,PROMOTION_CLASS_AIR_FIGHTER,1
PROMOTION_TANK_BUSTER,LOC_PROMOTION_TANK_BUSTER_NAME,LOC_PROMOTION_TANK_BUSTER_DESCRIPTION,3,,PROMOTION_CLASS_AIR_FIGHTER,3
PROMOTION_DROP_TANKS,LOC_PROMOTION_DROP_TANKS_NAME,LOC_PROMOTION_DROP_TANKS_DESCRIPTION,4,,PROMOTION_CLASS_AIR_FIGHTER,2
PROMOTION_BOX_FORMATION,LOC_PROMOTION_BOX_FORMATION_NAME,LOC_PROMOTION_BOX_FORMATION_DESCRIPTION,1,,PROMOTION_CLASS_AIR_BOMBER,1
PROMOTION_EVASIVE_MANEUVERS,LOC_PROMOTION_EVASIVE_MANEUVERS_NAME,LOC_PROMOTION_EVASIVE_MANEUVERS_DESCRIPTION,1,,PROMOTION_CLASS_AIR_BOMBER,3
PROMOTION_TORPEDO_BOMBER,LOC_PROMOTION_TORPEDO_BOMBER_NAME,LOC_PROMOTION_TORPEDO_BOMBER_DESCRIPTION,2,,PROMOTION_CLASS_AIR_BOMBER,1
PROMOTION_CLOSE_AIR_SUPPORT,LOC_PROMOTION_CLOSE_AIR_SUPPORT_NAME,LOC_PROMOTION_CLOSE_AIR_SUPPORT_DESCRIPTION,2,,PROMOTION_CLASS_AIR_BOMBER,3
PROMOTION_TACTICAL_MAINTENANCE,LOC_PROMOTION_TACTICAL_MAINTENANCE_NAME,LOC_PROMOTION_TACTICAL_MAINTENANCE_DESCRIPTION,3,,PROMOTION_CLASS_AIR_BOMBER,1
PROMOTION_LONG_RANGE,LOC_PROMOTION_LONG_RANGE_NAME,LOC_PROMOTION_LONG_RANGE_DESCRIPTION,3,,PROMOTION_CLASS_AIR_BOMBER,3
PROMOTION_SUPERFORTRESS,LOC_PROMOTION_SUPERFORTRESS_NAME,LOC_PROMOTION_SUPERFORTRESS_DESCRIPTION,4,,PROMOTION_CLASS_AIR_BOMBER,2
PROMOTION_EMBOLON,LOC_PROMOTION_EMBOLON_NAME,LOC_PROMOTION_EMBOLON_DESCRIPTION,1,,PROMOTION_CLASS_NAVAL_MELEE,1
PROMOTION_HELMSMAN,LOC_PROMOTION_HELMSMAN_NAME,LOC_PROMOTION_HELMSMAN_DESCRIPTION,1,,PROMOTION_CLASS_NAVAL_MELEE,3
PROMOTION_REINFORCED_HULL,LOC_PROMOTION_REINFORCED_HULL_NAME,LOC_PROMOTION_REINFORCED_HULL_DESCRIPTION,2,,PROMOTION_CLASS_NAVAL_MELEE,1
PROMOTION_RUTTER,LOC_PROMOTION_RUTTER_NAME,LOC_PROMOTION_RUTTER_DESCRIPTION,2,,PROMOTION_CLASS_NAVAL_MELEE,3
PROMOTION_AUXILIARY_SHIPS,LOC_PROMOTION_AUXILIARY_SHIPS_NAME,LOC_PROMOTION_AUXILIARY_SHIPS_DESCRIPTION,3,,PROMOTION_CLASS_NAVAL_MELEE,1
PROMOTION_CONVOY,LOC_PROMOTION_CONVOY_NAME,LOC_PROMOTION_CONVOY_DESCRIPTION,3,,PROMOTION_CLASS_NAVAL_MELEE,3
PROMOTION_CREEPING_ATTACK,LOC_PROMOTION_CREEPING_ATTACK_NAME,LOC_PROMOTION_CREEPING_ATTACK_DESCRIPTION,4,,PROMOTION_CLASS_NAVAL_MELEE,2
PROMOTION_LINE_OF_BATTLE,LOC_PROMOTION_LINE_OF_BATTLE_NAME,LOC_PROMOTION_LINE_OF_BATTLE_DESCRIPTION,1,,PROMOTION_CLASS_NAVAL_RANGED,1
PROMOTION_BOMBARDMENT,LOC_PROMOTION_BOMBARDMENT_NAME,LOC_PROMOTION_BOMBARDMENT_DESCRIPTION,1,,PROMOTION_CLASS_NAVAL_RANGED,3
PROMOTION_PREPARATORY_FIRE,LOC_PROMOTION_PREPARATORY_FIRE_NAME,LOC_PROMOTION_PREPARATORY_FIRE_DESCRIPTION,2,,PROMOTION_CLASS_NAVAL_RANGED,1
PROMOTION_ROLLING_BARRAGE,LOC_PROMOTION_ROLLING_BARRAGE_NAME,LOC_PROMOTION_ROLLING_BARRAGE_DESCRIPTION,2,,PROMOTION_CLASS_NAVAL_RANGED,3
PROMOTION_SUPPLY_FLEET,LOC_PROMOTION_SUPPLY_FLEET_NAME,LOC_PROMOTION_SUPPLY_FLEET_DESCRIPTION,3,,PROMOTION_CLASS_NAVAL_RANGED,1
PROMOTION_PROXIMITY_FUSES,LOC_PROMOTION_PROXIMITY_FUSES_NAME,LOC_PROMOTION_PROXIMITY_FUSES_DESCRIPTION,3,,PROMOTION_CLASS_NAVAL_RANGED,3
PROMOTION_COINCIDENCE_RANGEFINDING,LOC_PROMOTION_COINCIDENCE_RANGEFINDING_NAME,LOC_PROMOTION_COINCIDENCE_RANGEFINDING_DESCRIPTION,4,,PROMOTION_CLASS_NAVAL_RANGED,2
PROMOTION_FLIGHT_DECK,LOC_PROMOTION_FLIGHT_DECK_NAME,LOC_PROMOTION_FLIGHT_DECK_DESCRIPTION,1,,PROMOTION_CLASS_NAVAL_CARRIER,1
PROMOTION_HANGAR_DECK,LOC_PROMOTION_HANGAR_DECK_NAME,LOC_PROMOTION_HANGAR_DECK_DESCRIPTION,2,,PROMOTION_CLASS_NAVAL_CARRIER,1
PROMOTION_FOLDING_WINGS,LOC_PROMOTION_FOLDING_WINGS_NAME,LOC_PROMOTION_FOLDING_WINGS_DESCRIPTION,3,,PROMOTION_CLASS_NAVAL_CARRIER,1
PROMOTION_SCOUT_PLANES,LOC_PROMOTION_SCOUT_PLANES_NAME,LOC_PROMOTION_SCOUT_PLANES_DESCRIPTION,1,,PROMOTION_CLASS_NAVAL_CARRIER,3
PROMOTION_ADVANCED_ENGINES,LOC_PROMOTION_ADVANCED_ENGINES_NAME,LOC_PROMOTION_ADVANCED_ENGINES_DESCRIPTION,2,,PROMOTION_CLASS_NAVAL_CARRIER,3
PROMOTION_DECK_CREWS,LOC_PROMOTION_DECK_CREWS_NAME,LOC_PROMOTION_DECK_CREWS_DESCRIPTION,3,,PROMOTION_CLASS_NAVAL_CARRIER,3
PROMOTION_SUPER_CARRIER,LOC_PROMOTION_SUPER_CARRIER_NAME,LOC_PROMOTION_SUPER_CARRIER_DESCRIPTION,4,,PROMOTION_CLASS_NAVAL_CARRIER,2
PROMOTION_LOOT,LOC_PROMOTION_LOOT_NAME,LOC_PROMOTION_LOOT_DESCRIPTION,1,,PROMOTION_CLASS_NAVAL_RAIDER,1
PROMOTION_BOARDING,LOC_PROMOTION_BOARDING_NAME,LOC_PROMOTION_BOARDING_DESCRIPTION,1,,PROMOTION_CLASS_NAVAL_RAIDER,3
PROMOTION_SWIFT_KEEL,LOC_PROMOTION_SWIFT_KEEL_NAME,LOC_PROMOTION_SWIFT_KEEL_DESCRIPTION,2,,PROMOTION_CLASS_NAVAL_RAIDER,1
PROMOTION_HOMING_TORPEDOES,LOC_PROMOTION_HOMING_TORPEDOES_NAME,LOC_PROMOTION_HOMING_TORPEDOES_DESCRIPTION,2,,PROMOTION_CLASS_NAVAL_RAIDER,3
PROMOTION_OBSERVATION,LOC_PROMOTION_OBSERVATION_NAME,LOC_PROMOTION_OBSERVATION_DESCRIPTION,3,,PROMOTION_CLASS_NAVAL_RAIDER,1
PROMOTION_SILENT_RUNNING,LOC_PROMOTION_SILENT_RUNNING_NAME,LOC_PROMOTION_SILENT_RUNNING_DESCRIPTION,3,,PROMOTION_CLASS_NAVAL_RAIDER,3
PROMOTION_WOLFPACK,LOC_PROMOTION_WOLFPACK_NAME,LOC_PROMOTION_WOLFPACK_DESCRIPTION,4,,PROMOTION_CLASS_NAVAL_RAIDER,2
PROMOTION_ORATOR,LOC_PROMOTION_ORATOR_NAME,LOC_PROMOTION_ORATOR_DESCRIPTION,1,,PROMOTION_CLASS_APOSTLE,0
PROMOTION_PROSELYTIZER,LOC_PROMOTION_PROSELYTIZER_NAME,LOC_PROMOTION_PROSELYTIZER_DESCRIPTION,1,,PROMOTION_CLASS_APOSTLE,0
PROMOTION_TRANSLATOR,LOC_PROMOTION_TRANSLATOR_NAME,LOC_PROMOTION_TRANSLATOR_DESCRIPTION,1,,PROMOTION_CLASS_APOSTLE,0
PROMOTION_PILGRIM,LOC_PROMOTION_PILGRIM_NAME,LOC_PROMOTION_PILGRIM_DESCRIPTION,1,,PROMOTION_CLASS_APOSTLE,0
PROMOTION_INDULGENCE_VENDOR,LOC_PROMOTION_INDULGENCE_VENDOR_NAME,LOC_PROMOTION_INDULGENCE_VENDOR_DESCRIPTION,1,,PROMOTION_CLASS_APOSTLE,0
PROMOTION_HEATHEN_CONVERSION,LOC_PROMOTION_HEATHEN_CONVERSION_NAME,LOC_PROMOTION_HEATHEN_CONVERSION_DESCRIPTION,1,,PROMOTION_CLASS_APOSTLE,0
PROMOTION_DEBATER,LOC_PROMOTION_DEBATER_NAME,LOC_PROMOTION_DEBATER_DESCRIPTION,1,,PROMOTION_CLASS_APOSTLE,0
PROMOTION_MARTYR,LOC_PROMOTION_MARTYR_NAME,LOC_PROMOTION_MARTYR_DESCRIPTION,1,,PROMOTION_CLASS_APOSTLE,0
PROMOTION_CHAPLAIN,LOC_PROMOTION_CHAPLAIN_NAME,LOC_PROMOTION_CHAPLAIN_DESCRIPTION,1,,PROMOTION_CLASS_APOSTLE,0
PROMOTION_MONK_SHADOW_STRIKE,LOC_PROMOTION_MONK_SHADOW_STRIKE_NAME,LOC_PROMOTION_MONK_SHADOW_STRIKE_DESCRIPTION,1,,PROMOTION_CLASS_MONK,1
PROMOTION_MONK_TWILIGHT_VEIL,LOC_PROMOTION_MONK_TWILIGHT_VEIL_NAME,LOC_PROMOTION_MONK_TWILIGHT_VEIL_DESCRIPTION,1,,PROMOTION_CLASS_MONK,3
PROMOTION_MONK_EXPLODING_PALMS,LOC_PROMOTION_MONK_EXPLODING_PALMS_NAME,LOC_PROMOTION_MONK_EXPLODING_PALMS_DESCRIPTION,2,,PROMOTION_CLASS_MONK,1
PROMOTION_MONK_DISCIPLES,LOC_PROMOTION_MONK_DISCIPLES_NAME,LOC_PROMOTION_MONK_DISCIPLES_DESCRIPTION,2,,PROMOTION_CLASS_MONK,3
PROMOTION_MONK_SWEEPING_WIND,LOC_PROMOTION_MONK_SWEEPING_WIND_NAME,LOC_PROMOTION_MONK_SWEEPING_WIND_DESCRIPTION,3,,PROMOTION_CLASS_MONK,1
PROMOTION_MONK_DANCING_CRANE,LOC_PROMOTION_MONK_DANCING_CRANE_NAME,LOC_PROMOTION_MONK_DANCING_CRANE_DESCRIPTION,3,,PROMOTION_CLASS_MONK,3
PROMOTION_MONK_COBRA_STRIKE,LOC_PROMOTION_MONK_COBRA_STRIKE_NAME,LOC_PROMOTION_MONK_COBRA_STRIKE_DESCRIPTION,4,,PROMOTION_CLASS_MONK,2
PROMOTION_SPY_TECHNOLOGIST,LOC_PROMOTION_SPY_TECHNOLOGIST_NAME,LOC_PROMOTION_SPY_TECHNOLOGIST_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_SPY_CAT_BURGLAR,LOC_PROMOTION_SPY_CAT_BURGLAR_NAME,LOC_PROMOTION_SPY_CAT_BURGLAR_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_SPY_DEMOLITIONS,LOC_PROMOTION_SPY_DEMOLITIONS_NAME,LOC_PROMOTION_SPY_DEMOLITIONS_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_SPY_CON_ARTIST,LOC_PROMOTION_SPY_CON_ARTIST_NAME,LOC_PROMOTION_SPY_CON_ARTIST_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_SPY_GUERILLA_LEADER,LOC_PROMOTION_SPY_GUERILLA_LEADER_NAME,LOC_PROMOTION_SPY_GUERILLA_LEADER_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_SPY_ROCKET_SCIENTIST,LOC_PROMOTION_SPY_ROCKET_SCIENTIST_NAME,LOC_PROMOTION_SPY_ROCKET_SCIENTIST_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_SPY_SEDUCTION,LOC_PROMOTION_SPY_SEDUCTION_NAME,LOC_PROMOTION_SPY_SEDUCTION_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_SPY_DISGUISE,LOC_PROMOTION_SPY_DISGUISE_NAME,LOC_PROMOTION_SPY_DISGUISE_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_SPY_LINGUIST,LOC_PROMOTION_SPY_LINGUIST_NAME,LOC_PROMOTION_SPY_LINGUIST_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_SPY_QUARTERMASTER,LOC_PROMOTION_SPY_QUARTERMASTER_NAME,LOC_PROMOTION_SPY_QUARTERMASTER_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_SPY_ACE_DRIVER,LOC_PROMOTION_SPY_ACE_DRIVER_NAME,LOC_PROMOTION_SPY_ACE_DRIVER_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_SPY_SMEAR_CAMPAIGN,LOC_PROMOTION_SPY_SMEAR_CAMPAIGN_NAME,LOC_PROMOTION_SPY_SMEAR_CAMPAIGN_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_SPY_COVERT_ACTION,LOC_PROMOTION_SPY_COVERT_ACTION_NAME,LOC_PROMOTION_SPY_COVERT_ACTION_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_SPY_LICENSE_TO_KILL,LOC_PROMOTION_SPY_LICENSE_TO_KILL_NAME,LOC_PROMOTION_SPY_LICENSE_TO_KILL_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_ALBUM_COVER_ART,LOC_PROMOTION_ALBUM_COVER_ART_NAME,LOC_PROMOTION_ALBUM_COVER_ART_DESCRIPTION,1,,PROMOTION_CLASS_ROCK_BAND,0
PROMOTION_ARENA_ROCK,LOC_PROMOTION_ARENA_ROCK_NAME,LOC_PROMOTION_ARENA_ROCK_DESCRIPTION,1,,PROMOTION_CLASS_ROCK_BAND,0
PROMOTION_GLAM_ROCK,LOC_PROMOTION_GLAM_ROCK_NAME,LOC_PROMOTION_GLAM_ROCK_DESCRIPTION,1,,PROMOTION_CLASS_ROCK_BAND,0
PROMOTION_GOES_TO,LOC_PROMOTION_GOES_TO_NAME,LOC_PROMOTION_GOES_TO_DESCRIPTION,1,,PROMOTION_CLASS_ROCK_BAND,0
PROMOTION_INDIE,LOC_PROMOTION_INDIE_NAME,LOC_PROMOTION_INDIE_DESCRIPTION,1,,PROMOTION_CLASS_ROCK_BAND,0
PROMOTION_MUSIC_FESTIVAL,LOC_PROMOTION_MUSIC_FESTIVAL_NAME,LOC_PROMOTION_MUSIC_FESTIVAL_DESCRIPTION,1,,PROMOTION_CLASS_ROCK_BAND,0
PROMOTION_POP,LOC_PROMOTION_POP_NAME,LOC_PROMOTION_POP_DESCRIPTION,1,,PROMOTION_CLASS_ROCK_BAND,0
PROMOTION_REGGAE_ROCK,LOC_PROMOTION_REGGAE_ROCK_NAME,LOC_PROMOTION_REGGAE_ROCK_DESCRIPTION,1,,PROMOTION_CLASS_ROCK_BAND,0
PROMOTION_RELIGIOUS_ROCK,LOC_PROMOTION_RELIGIOUS_ROCK_NAME,LOC_PROMOTION_RELIGIOUS_ROCK_DESCRIPTION,1,,PROMOTION_CLASS_ROCK_BAND,0
PROMOTION_ROADIES,LOC_PROMOTION_ROADIES_NAME,LOC_PROMOTION_ROADIES_DESCRIPTION,1,,PROMOTION_CLASS_ROCK_BAND,0
PROMOTION_SPACE_ROCK,LOC_PROMOTION_SPACE_ROCK_NAME,LOC_PROMOTION_SPACE_ROCK_DESCRIPTION,1,,PROMOTION_CLASS_ROCK_BAND,0
PROMOTION_SURF_ROCK,LOC_PROMOTION_SURF_ROCK_NAME,LOC_PROMOTION_SURF_ROCK_DESCRIPTION,1,,PROMOTION_CLASS_ROCK_BAND,0
PROMOTION_SPY_SATCHEL_CHARGES,LOC_PROMOTION_SPY_SATCHEL_CHARGES_NAME,LOC_PROMOTION_SPY_SATCHEL_CHARGES_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_SPY_SURVEILLANCE,LOC_PROMOTION_SPY_SURVEILLANCE_NAME,LOC_PROMOTION_SPY_SURVEILLANCE_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_SPY_POLYGRAPH,LOC_PROMOTION_SPY_POLYGRAPH_NAME,LOC_PROMOTION_SPY_POLYGRAPH_DESCRIPTION,1,,PROMOTION_CLASS_SPY,0
PROMOTION_GDR_AA_DEFENSE,LOC_PROMOTION_GDR_AA_DEFENSE_NAME,LOC_PROMOTION_GDR_AA_DEFENSE_DESCRIPTION,1,,PROMOTION_CLASS_GIANT_DEATH_ROBOT,0
PROMOTION_GDR_SIEGE_LASER,LOC_PROMOTION_GDR_SIEGE_LASER_NAME,LOC_PROMOTION_GDR_SIEGE_LASER_DESCRIPTION,1,,PROMOTION_CLASS_GIANT_DEATH_ROBOT,0
PROMOTION_GDR_BONUS_MOVEMENT,LOC_PROMOTION_GDR_BONUS_MOVEMENT_NAME,LOC_PROMOTION_GDR_BONUS_MOVEMENT_DESCRIPTION,1,,PROMOTION_CLASS_GIANT_DEATH_ROBOT,0
