Type,Leader,Mood,Sort,Key,Text,Tooltip,DiplomaticActionType
DELEGATION_EXIT,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
DENOUNCE_FROM_AI,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
DENOUNCE_FROM_HUMAN,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
EMBASSY_FROM_AI,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_EMBASSY_CHOICE_POSITIVE,,
EMBASSY_FROM_AI,ANY,ANY,1,CHOICE_NEGATIVE,LOC_DIPLO_EMBASSY_CHOICE_NEGATIVE,,
EMBASSY_FROM_AI,ANY,ANY,2,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
EMBASSY_FROM_HUMAN,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
EMBASSY_EXIT,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
FIRST_MEET_NEAR_RECIPIENT,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_CHOICE_FIRST_MEET_NEAR_RECIPIENT_POSITIVE,,
FIRST_MEET_NEAR_RECIPIENT,ANY,ANY,1,CHOICE_EXIT,LOC_DIPLO_CHOICE_FIRST_MEET_NEAR_RECIPIENT_BUSY,,
FIRST_MEET_VISIT_RECIPIENT,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_CHOICE_FIRST_MEET_VISIT,,
FIRST_MEET_VISIT_RECIPIENT,ANY,ANY,1,CHOICE_EXIT,LOC_DIPLO_CHOICE_FIRST_MEET_DECLINE_VISIT,,
FIRST_MEET_NEAR_INITIATOR,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_CHOICE_FIRST_MEET_NEAR_INITIATOR_POSITIVE,,
FIRST_MEET_NEAR_INITIATOR,ANY,ANY,1,CHOICE_EXIT,LOC_DIPLO_CHOICE_FIRST_MEET_NEAR_INITIATOR_NO_HOSPITALITY,,
FIRST_MEET_POSITIVE_NEAR_INITIATOR,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
FIRST_MEET_NO_MANS,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_CHOICE_NO_MANS_POSITIVE,,
FIRST_MEET_NO_MANS,ANY,ANY,1,CHOICE_EXIT,LOC_DIPLO_CHOICE_NO_MANS_NO_EXCHANGE,,
FIRST_MEET_NO_MANS_INFO_EXCHANGE,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_CHOICE_FIRST_MEET_EXCHANGE_INFO,,
FIRST_MEET_NO_MANS_INFO_EXCHANGE,ANY,ANY,1,CHOICE_EXIT,LOC_DIPLO_CHOICE_FIRST_MEET_DECLINE_INFO,,
GREETING,ANY,ANY,0,CHOICE_DECLARE_FRIENDSHIP,LOC_DIPLO_CHOICE_DECLARE_FRIENDSHIP,,DIPLOACTION_DECLARE_FRIENDSHIP
GREETING,ANY,ANY,1,CHOICE_MAKE_PEACE,LOC_DIPLO_CHOICE_MAKE_PEACE,,DIPLOACTION_PROPOSE_PEACE_DEAL
GREETING,ANY,ANY,3,CHOICE_RESIDENT_EMBASSY,LOC_DIPLO_CHOICE_RESIDENT_EMBASSY,,DIPLOACTION_RESIDENT_EMBASSY
GREETING,ANY,ANY,4,CHOICE_DIPLOMATIC_DELEGATION,LOC_DIPLO_CHOICE_DIPLOMATIC_DELEGATION,,DIPLOACTION_DIPLOMATIC_DELEGATION
GREETING,ANY,ANY,5,CHOICE_OPEN_BORDERS,LOC_DIPLO_CHOICE_OPEN_BORDERS,,DIPLOACTION_DIPLOMATIC_OPEN_BORDERS
GREETING,ANY,ANY,6,CHOICE_DENOUNCE,LOC_DIPLO_CHOICE_DENOUNCE,,DIPLOACTION_DENOUNCE
GREETING,ANY,ANY,7,CHOICE_DECLARE_SURPRISE_WAR,LOC_DIPLO_CHOICE_DECLARE_SURPRISE_WAR,,DIPLOACTION_DECLARE_SURPRISE_WAR
GREETING,ANY,ANY,8,CHOICE_DECLARE_FORMAL_WAR,LOC_DIPLO_CHOICE_DECLARE_FORMAL_WAR,,DIPLOACTION_DECLARE_FORMAL_WAR
GREETING,ANY,ANY,9,CHOICE_DECLARE_HOLY_WAR,LOC_DIPLO_CHOICE_DECLARE_HOLY_WAR,,DIPLOACTION_DECLARE_HOLY_WAR
GREETING,ANY,ANY,10,CHOICE_DECLARE_LIBERATION_WAR,LOC_DIPLO_CHOICE_DECLARE_LIBERATION_WAR,LOC_DIPLO_CHOICE_DECLARE_LIBERATION_WAR_TOOLTIP,DIPLOACTION_DECLARE_LIBERATION_WAR
GREETING,ANY,ANY,11,CHOICE_DECLARE_RECONQUEST_WAR,LOC_DIPLO_CHOICE_DECLARE_RECONQUEST_WAR,LOC_DIPLO_CHOICE_DECLARE_RECONQUEST_WAR_TOOLTIP,DIPLOACTION_DECLARE_RECONQUEST_WAR
GREETING,ANY,ANY,12,CHOICE_DECLARE_PROTECTORATE_WAR,LOC_DIPLO_CHOICE_DECLARE_PROTECTORATE_WAR,LOC_DIPLO_CHOICE_DECLARE_PROTECTORATE_WAR_TOOLTIP,DIPLOACTION_DECLARE_PROTECTORATE_WAR
GREETING,ANY,ANY,13,CHOICE_DECLARE_COLONIAL_WAR,LOC_DIPLO_CHOICE_DECLARE_COLONIAL_WAR,,DIPLOACTION_DECLARE_COLONIAL_WAR
GREETING,ANY,ANY,14,CHOICE_DECLARE_TERRITORIAL_WAR,LOC_DIPLO_CHOICE_DECLARE_TERRITORIAL_WAR,,DIPLOACTION_DECLARE_TERRITORIAL_WAR
GREETING,ANY,ANY,15,CHOICE_MAKE_DEAL,LOC_DIPLO_CHOICE_MAKE_DEAL,,DIPLOACTION_PROPOSE_TRADE
GREETING,ANY,ANY,16,CHOICE_VIEW_DEAL,LOC_DIPLO_CHOICE_VIEW_DEAL,,DIPLOACTION_VIEW_TRADE
GREETING,ANY,ANY,17,CHOICE_MAKE_DEMAND,LOC_DIPLO_CHOICE_MAKE_DEMAND,,DIPLOACTION_DEMAND_TRIBUTE
GREETING,ANY,ANY,18,CHOICE_VIEW_DEMAND,LOC_DIPLO_CHOICE_VIEW_DEMAND,,DIPLOACTION_VIEW_DEMAND_TRIBUTE
GREETING,ANY,ANY,19,CHOICE_DEMAND_PROMISE_DONT_SPY,LOC_DIPLO_CHOICE_DEMAND_PROMISE_DONT_SPY,,DIPLOACTION_KEEP_PROMISE_DONT_SPY
GREETING,ANY,ANY,20,CHOICE_DEMAND_PROMISE_DONT_SETTLE_TOO_NEAR,LOC_DIPLO_CHOICE_DEMAND_PROMISE_DONT_SETTLE_TOO_NEAR,,DIPLOACTION_KEEP_PROMISE_DONT_SETTLE_TOO_NEAR
GREETING,ANY,ANY,21,CHOICE_DEMAND_PROMISE_DONT_CONVERT_CITY,LOC_DIPLO_CHOICE_DEMAND_PROMISE_DONT_CONVERT_CITY,,DIPLOACTION_KEEP_PROMISE_DONT_CONVERT
GREETING,ANY,ANY,22,CHOICE_DEMAND_PROMISE_DONT_DIG_ARTIFACTS,LOC_DIPLO_CHOICE_DEMAND_PROMISE_DONT_DIG_ARTIFACTS,,DIPLOACTION_KEEP_PROMISE_DONT_DIG_ARTIFACTS
GREETING,ANY,ANY,23,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
KUDO_EXIT,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
WARNING_EXIT,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
MAKE_ALLIANCE_FROM_AI,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_MAKE_ALLIANCE_CHOICE_POSITIVE,,
MAKE_ALLIANCE_FROM_AI,ANY,ANY,1,CHOICE_NEGATIVE,LOC_DIPLO_MAKE_ALLIANCE_CHOICE_NEGATIVE,,
MAKE_ALLIANCE_FROM_AI,ANY,ANY,2,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
MAKE_ALLIANCE_FROM_HUMAN,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
MAKE_ALLIANCE_EXIT,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
MAKE_DEAL_AI_ACCEPT_DEAL,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
MAKE_DEAL_AI_REFUSE_DEAL,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
MAKE_DEAL_AI_ACCEPT_DEMAND,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
MAKE_DEAL_AI_REFUSE_DEMAND,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
MAKE_PEACE_FROM_AI,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_MAKE_PEACE_CHOICE_POSITIVE,,
MAKE_PEACE_FROM_AI,ANY,ANY,1,CHOICE_NEGATIVE,LOC_DIPLO_MAKE_PEACE_CHOICE_NEGATIVE,,
MAKE_PEACE_FROM_AI,ANY,ANY,2,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
MAKE_PEACE_AI_ACCEPT_DEAL,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
MAKE_PEACE_AI_REFUSE_DEAL,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
NO_TARGET_FROM_HUMAN,ANY,ANY,0,CHOICE_PROPOSE_AUCTION,LOC_DIPLO_CHOICE_PROPOSE_AUCTION,,
OPEN_BORDERS_FROM_AI,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_OPEN_BORDERS_CHOICE_POSITIVE,,
OPEN_BORDERS_FROM_AI,ANY,ANY,1,CHOICE_NEGATIVE,LOC_DIPLO_OPEN_BORDERS_CHOICE_NEGATIVE,,
OPEN_BORDERS_FROM_AI,ANY,ANY,2,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
OPEN_BORDERS_FROM_HUMAN,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
OPEN_BORDERS_EXIT,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
WARNING_DONT_SETTLE_NEAR_ME_FROM_AI,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_WARNING_DONT_SETTLE_NEAR_ME_CHOICE_POSITIVE,,
WARNING_DONT_SETTLE_NEAR_ME_FROM_AI,ANY,ANY,1,CHOICE_NEGATIVE,LOC_DIPLO_WARNING_DONT_SETTLE_NEAR_ME_CHOICE_NEGATIVE,,
WARNING_DONT_SETTLE_NEAR_ME_EXIT,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
WARNING_TOO_MANY_TROOPS_NEAR_ME_FROM_AI,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_WARNING_TOO_MANY_TROOPS_NEAR_ME_CHOICE_POSITIVE,,
WARNING_TOO_MANY_TROOPS_NEAR_ME_FROM_AI,ANY,ANY,1,CHOICE_NEGATIVE,LOC_DIPLO_WARNING_TOO_MANY_TROOPS_NEAR_ME_CHOICE_NEGATIVE,,DIPLOACTION_DECLARE_SURPRISE_WAR
WARNING_TOO_MANY_TROOPS_NEAR_ME_EXIT,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
WARNING_STOP_SPYING_ON_ME_FROM_AI,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_WARNING_STOP_SPYING_ON_ME_CHOICE_POSITIVE,,
WARNING_STOP_SPYING_ON_ME_FROM_AI,ANY,ANY,1,CHOICE_NEGATIVE,LOC_DIPLO_WARNING_STOP_SPYING_ON_ME_CHOICE_NEGATIVE,,
WARNING_STOP_SPYING_ON_ME_EXIT,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
WARNING_STOP_DIGGING_UP_ARTIFACTS_FROM_AI,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_WARNING_STOP_DIGGING_UP_ARTIFACTS_CHOICE_POSITIVE,,
WARNING_STOP_DIGGING_UP_ARTIFACTS_FROM_AI,ANY,ANY,1,CHOICE_NEGATIVE,LOC_DIPLO_WARNING_STOP_DIGGING_UP_ARTIFACTS_CHOICE_NEGATIVE,,
WARNING_STOP_DIGGING_UP_ARTIFACTS_EXIT,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
WARNING_STOP_CONVERTING_MY_CITIES_FROM_AI,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_WARNING_STOP_CONVERTING_MY_CITIES_CHOICE_POSITIVE,,
WARNING_STOP_CONVERTING_MY_CITIES_FROM_AI,ANY,ANY,1,CHOICE_NEGATIVE,LOC_DIPLO_WARNING_STOP_CONVERTING_MY_CITIES_CHOICE_NEGATIVE,,
WARNING_STOP_CONVERTING_MY_CITIES_EXIT,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
GREETING,ANY,ANY,24,CHOICE_ALLIANCE_RESEARCH,LOC_DIPLO_CHOICE_ALLIANCE_RESEARCH,,DIPLOACTION_ALLIANCE_RESEARCH
GREETING,ANY,ANY,25,CHOICE_ALLIANCE_MILITARY,LOC_DIPLO_CHOICE_ALLIANCE_MILITARY,,DIPLOACTION_ALLIANCE_MILITARY
GREETING,ANY,ANY,26,CHOICE_ALLIANCE_ECONOMIC,LOC_DIPLO_CHOICE_ALLIANCE_ECONOMIC,,DIPLOACTION_ALLIANCE_ECONOMIC
GREETING,ANY,ANY,27,CHOICE_ALLIANCE_CULTURAL,LOC_DIPLO_CHOICE_ALLIANCE_CULTURAL,,DIPLOACTION_ALLIANCE_CULTURAL
GREETING,ANY,ANY,28,CHOICE_ALLIANCE_RELIGIOUS,LOC_DIPLO_CHOICE_ALLIANCE_RELIGIOUS,,DIPLOACTION_ALLIANCE_RELIGIOUS
GREETING,ANY,ANY,29,CHOICE_RENEW_ALLIANCE,LOC_DIPLO_CHOICE_RENEW_ALLIANCE,,DIPLOACTION_RENEW_ALLIANCE
GREETING,ANY,ANY,30,CHOICE_DECLARE_GOLDEN_AGE_WAR,LOC_DIPLO_CHOICE_DECLARE_GOLDEN_AGE_WAR,,DIPLOACTION_DECLARE_GOLDEN_AGE_WAR
GREETING,ANY,ANY,30,CHOICE_DECLARE_WAR_OF_RETRIBUTION,LOC_DIPLO_CHOICE_DECLARE_WAR_OF_RETRIBUTION,,DIPLOACTION_DECLARE_WAR_OF_RETRIBUTION
GREETING,ANY,ANY,30,CHOICE_DECLARE_IDEOLOGICAL_WAR,LOC_DIPLO_CHOICE_DECLARE_IDEOLOGICAL_WAR,,DIPLOACTION_DECLARE_IDEOLOGICAL_WAR
RENEW_ALLIANCE_FROM_AI,ANY,ANY,0,CHOICE_POSITIVE,LOC_DIPLO_RENEW_ALLIANCE_CHOICE_POSITIVE,,
RENEW_ALLIANCE_FROM_AI,ANY,ANY,1,CHOICE_NEGATIVE,LOC_DIPLO_RENEW_ALLIANCE_CHOICE_NEGATIVE,,
RENEW_ALLIANCE_FROM_AI,ANY,ANY,2,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
RENEW_ALLIANCE_FROM_HUMAN,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
RENEW_ALLIANCE_EXIT,ANY,ANY,0,CHOICE_EXIT,LOC_DIPLO_CHOICE_EXIT,,
