UnitPromotion,PrereqUnitPromotion
PROMOTION_DOUBLE_ENVELOPMENT,PROMOTION_COURSERS
PROMOTION_SPIKING_THE_GUNS,PROMOTION_DEPREDATION
PROMOTION_SPIKING_THE_GUNS,PROMOTION_DOUBLE_ENVELOPMENT
PROMOTION_PURSUIT,PROMOTION_DEPREDATION
PROMOTION_PURSUIT,PROMOTION_DOUBLE_ENVELOPMENT
PROMOTION_ESCORT_MOBILITY,PROMOTION_SPIKING_THE_GUNS
PROMOTION_ESCORT_MOBILITY,PROMOTION_PURSUIT
PROMOTION_MARAUDING,PROMOTION_CHARGE
PROMOTION_MARAUDING,PROMOTION_ROUT
PROMOTION_ROUT,PROMOTION_BARDING
PROMOTION_ROUT,PROMOTION_MARAUDING
PROMOTION_ARMOR_PIERCING,PROMOTION_MARAUDING
PROMOTION_REACTIVE_ARMOR,PROMOTION_ROUT
PROMOTION_BREAKTHROUGH,PROMOTION_ARMOR_PIERCING
PROMOTION_BREAKTHROUGH,PROMOTION_REACTIVE_ARMOR
PROMOTION_INTERCEPTOR,PROMOTION_DOGFIGHTING
PROMOTION_STRAFE,PROMOTION_COCKPIT_ARMOR
PROMOTION_GROUND_CREWS,PROMOTION_INTERCEPTOR
PROMOTION_TANK_BUSTER,PROMOTION_STRAFE
PROMOTION_DROP_TANKS,PROMOTION_GROUND_CREWS
PROMOTION_DROP_TANKS,PROMOTION_TANK_BUSTER
PROMOTION_TORPEDO_BOMBER,PROMOTION_BOX_FORMATION
PROMOTION_TORPEDO_BOMBER,PROMOTION_EVASIVE_MANEUVERS
PROMOTION_CLOSE_AIR_SUPPORT,PROMOTION_EVASIVE_MANEUVERS
PROMOTION_CLOSE_AIR_SUPPORT,PROMOTION_BOX_FORMATION
PROMOTION_TACTICAL_MAINTENANCE,PROMOTION_TORPEDO_BOMBER
PROMOTION_LONG_RANGE,PROMOTION_CLOSE_AIR_SUPPORT
PROMOTION_SUPERFORTRESS,PROMOTION_TACTICAL_MAINTENANCE
PROMOTION_SUPERFORTRESS,PROMOTION_LONG_RANGE
PROMOTION_REINFORCED_HULL,PROMOTION_EMBOLON
PROMOTION_RUTTER,PROMOTION_HELMSMAN
PROMOTION_AUXILIARY_SHIPS,PROMOTION_REINFORCED_HULL
PROMOTION_AUXILIARY_SHIPS,PROMOTION_RUTTER
PROMOTION_CONVOY,PROMOTION_REINFORCED_HULL
PROMOTION_CONVOY,PROMOTION_RUTTER
PROMOTION_CREEPING_ATTACK,PROMOTION_AUXILIARY_SHIPS
PROMOTION_CREEPING_ATTACK,PROMOTION_CONVOY
PROMOTION_PREPARATORY_FIRE,PROMOTION_LINE_OF_BATTLE
PROMOTION_ROLLING_BARRAGE,PROMOTION_BOMBARDMENT
PROMOTION_SUPPLY_FLEET,PROMOTION_PREPARATORY_FIRE
PROMOTION_SUPPLY_FLEET,PROMOTION_ROLLING_BARRAGE
PROMOTION_PROXIMITY_FUSES,PROMOTION_PREPARATORY_FIRE
PROMOTION_PROXIMITY_FUSES,PROMOTION_ROLLING_BARRAGE
PROMOTION_COINCIDENCE_RANGEFINDING,PROMOTION_SUPPLY_FLEET
PROMOTION_COINCIDENCE_RANGEFINDING,PROMOTION_PROXIMITY_FUSES
PROMOTION_HANGAR_DECK,PROMOTION_FLIGHT_DECK
PROMOTION_FOLDING_WINGS,PROMOTION_HANGAR_DECK
PROMOTION_ADVANCED_ENGINES,PROMOTION_SCOUT_PLANES
PROMOTION_ADVANCED_ENGINES,PROMOTION_HANGAR_DECK
PROMOTION_DECK_CREWS,PROMOTION_ADVANCED_ENGINES
PROMOTION_DECK_CREWS,PROMOTION_FOLDING_WINGS
PROMOTION_SUPER_CARRIER,PROMOTION_FOLDING_WINGS
PROMOTION_SUPER_CARRIER,PROMOTION_DECK_CREWS
PROMOTION_SWIFT_KEEL,PROMOTION_LOOT
PROMOTION_SWIFT_KEEL,PROMOTION_HOMING_TORPEDOES
PROMOTION_HOMING_TORPEDOES,PROMOTION_BOARDING
PROMOTION_HOMING_TORPEDOES,PROMOTION_SWIFT_KEEL
PROMOTION_SILENT_RUNNING,PROMOTION_HOMING_TORPEDOES
PROMOTION_OBSERVATION,PROMOTION_SWIFT_KEEL
PROMOTION_WOLFPACK,PROMOTION_OBSERVATION
PROMOTION_WOLFPACK,PROMOTION_SILENT_RUNNING
PROMOTION_MONK_EXPLODING_PALMS,PROMOTION_MONK_SHADOW_STRIKE
PROMOTION_MONK_EXPLODING_PALMS,PROMOTION_MONK_TWILIGHT_VEIL
PROMOTION_MONK_DISCIPLES,PROMOTION_MONK_SHADOW_STRIKE
PROMOTION_MONK_DISCIPLES,PROMOTION_MONK_TWILIGHT_VEIL
PROMOTION_MONK_SWEEPING_WIND,PROMOTION_MONK_EXPLODING_PALMS
PROMOTION_MONK_SWEEPING_WIND,PROMOTION_MONK_DISCIPLES
PROMOTION_MONK_DANCING_CRANE,PROMOTION_MONK_EXPLODING_PALMS
PROMOTION_MONK_DANCING_CRANE,PROMOTION_MONK_DISCIPLES
PROMOTION_MONK_COBRA_STRIKE,PROMOTION_MONK_SWEEPING_WIND
PROMOTION_MONK_COBRA_STRIKE,PROMOTION_MONK_DANCING_CRANE
PROMOTION_NIHANG_MOVEMENT_BONUS,PROMOTION_NIHANG_FLANKED_BONUS
PROMOTION_NIHANG_MOVEMENT_BONUS,PROMOTION_NIHANG_NO_WOUNDED_PENALTY
PROMOTION_NIHANG_NO_WOUNDED_PENALTY,PROMOTION_NIHANG_FAITH_FOR_VICTORIES
PROMOTION_NIHANG_NO_WOUNDED_PENALTY,PROMOTION_NIHANG_MOVEMENT_BONUS
PROMOTION_NIHANG_SUZERAIN_COMBAT_BONUS,PROMOTION_NIHANG_MOVEMENT_BONUS
PROMOTION_NIHANG_SUZERAIN_COMBAT_BONUS,PROMOTION_NIHANG_NO_WOUNDED_PENALTY
