BoostID,TechnologyType,CivicType,Boost,TriggerId,TriggerDescription,TriggerLongDescription,Unit1Type,BoostClass,Unit2Type,BuildingType,ImprovementType,BoostingTechType,ResourceType,NumItems,DistrictType,RequiresResource,RequirementSetId,GovernmentSlotType,BoostingCivicType,GovernmentTierType
19,,CIVIC_MEDIEVAL_FAIRES,40,0,LOC_BOOST_TRIGGER_MEDIEVAL_FAIRES,LOC_BOOST_TRIGGER_LONGDESC_MEDIEVAL_FAIRES,UNIT_TRADER,BOOST_TRIGGER_MAINTAIN_X_TRADE_ROUTES,,,,,,4,,0,,,,
20,,CIVIC_GUILDS,40,0,LOC_BOOST_TRIGGER_GUILDS,LOC_BOOST_TRIGGER_LONGDESC_GUILDS,,BOOST_TRIGGER_HAVE_X_BUILDINGS,,BUILDING_MARKET,,,,2,,0,,,,
21,,CIVIC_DIVINE_RIGHT,40,0,LOC_BOOST_TRIGGER_DIVINE_RIGHT,LOC_BOOST_TRIGGER_LONGDESC_DIVINE_RIGHT,,BOOST_TRIGGER_HAVE_X_BUILDINGS,,BUILDING_TEMPLE,,,,2,,0,,,,
22,,CIVIC_EXPLORATION,40,0,LOC_BOOST_TRIGGER_EXPLORATION,LOC_BOOST_TRIGGER_LONGDESC_EXPLORATION,UNIT_CARAVEL,BOOST_TRIGGER_OWN_X_UNITS_OF_TYPE,,,,,,2,,0,,,,
23,,CIVIC_HUMANISM,40,0,LOC_BOOST_TRIGGER_HUMANISM,LOC_BOOST_TRIGGER_LONGDESC_HUMANISM,UNIT_GREAT_ARTIST,BOOST_TRIGGER_TRAIN_UNIT,,,,,,0,,0,,,,
24,,CIVIC_DIPLOMATIC_SERVICE,40,0,LOC_BOOST_TRIGGER_DIPLOMATIC_SERVICE,LOC_BOOST_TRIGGER_LONGDESC_DIPLOMATIC_SERVICE,,BOOST_TRIGGER_HAVE_AN_ALLIANCE,,,,,,0,,0,,,,
25,,CIVIC_REFORMED_CHURCH,40,0,LOC_BOOST_TRIGGER_REFORMED_CHURCH,LOC_BOOST_TRIGGER_LONGDESC_REFORMED_CHURCH,,BOOST_TRIGGER_HAVE_X_CITIES_FOLLOWING_YOUR_RELIGION,,,,,,6,,0,,,,
26,,CIVIC_MERCANTILISM,40,0,LOC_BOOST_TRIGGER_MERCANTILISM,LOC_BOOST_TRIGGER_LONGDESC_MERCANTILISM,UNIT_GREAT_MERCHANT,BOOST_TRIGGER_TRAIN_UNIT,,,,,,0,,0,,,,
27,,CIVIC_THE_ENLIGHTENMENT,40,0,LOC_BOOST_TRIGGER_THE_ENLIGHTENMENT,LOC_BOOST_TRIGGER_LONGDESC_THE_ENLIGHTENMENT,,BOOST_TRIGGER_HAVE_X_GREAT_PEOPLE,,,,,,3,,0,,,,
28,,CIVIC_CIVIL_ENGINEERING,40,0,LOC_BOOST_TRIGGER_CIVIL_ENGINEERING,LOC_BOOST_TRIGGER_LONGDESC_CIVIL_ENGINEERING,,BOOST_TRIGGER_HAVE_X_UNIQUE_SPECIALTY_DISTRICTS,,,,,,7,,0,,,,
29,,CIVIC_NATIONALISM,40,0,LOC_BOOST_TRIGGER_NATIONALISM,LOC_BOOST_TRIGGER_LONGDESC_NATIONALISM,,BOOST_TRIGGER_DOW_CASUS_BELLI,,,,,,0,,0,,,,
30,,CIVIC_OPERA_BALLET,40,0,LOC_BOOST_TRIGGER_OPERA_BALLET,LOC_BOOST_TRIGGER_LONGDESC_OPERA_BALLET,,BOOST_TRIGGER_HAVE_X_BUILDINGS,,BUILDING_MUSEUM_ART,,,,1,,0,,,,
31,,CIVIC_NATURAL_HISTORY,40,0,LOC_BOOST_TRIGGER_NATURAL_HISTORY,LOC_BOOST_TRIGGER_LONGDESC_NATURAL_HISTORY,,BOOST_TRIGGER_HAVE_X_BUILDINGS,,BUILDING_MUSEUM_ARTIFACT,,,,1,,0,,,,
32,,CIVIC_URBANIZATION,40,0,LOC_BOOST_TRIGGER_URBANIZATION,LOC_BOOST_TRIGGER_LONGDESC_URBANIZATION,,BOOST_TRIGGER_CITY_POPULATION,,,,,,15,,0,,,,
33,,CIVIC_SCORCHED_EARTH,40,0,LOC_BOOST_TRIGGER_SCORCHED_EARTH,LOC_BOOST_TRIGGER_LONGDESC_SCORCHED_EARTH,UNIT_FIELD_CANNON,BOOST_TRIGGER_OWN_X_UNITS_OF_TYPE,,,,,,2,,0,,,,
34,,CIVIC_CONSERVATION,40,0,LOC_BOOST_TRIGGER_CONSERVATION,LOC_BOOST_TRIGGER_LONGDESC_CONSERVATION,,BOOST_TRIGGER_DISTRICT_APPEAL_LEVEL_MINIMUM_X,,,,,,4,DISTRICT_NEIGHBORHOOD,0,,,,
35,,CIVIC_MOBILIZATION,40,0,LOC_BOOST_TRIGGER_MOBILIZATION,LOC_BOOST_TRIGGER_LONGDESC_MOBILIZATION,,BOOST_TRIGGER_HAVE_X_CORPS,,,,,,3,,0,,,,
36,,CIVIC_MASS_MEDIA,40,0,LOC_BOOST_TRIGGER_MASS_MEDIA,LOC_BOOST_TRIGGER_LONGDESC_MASS_MEDIA,,BOOST_TRIGGER_RESEARCH_TECH,,,,TECH_RADIO,,0,,0,,,,
37,,CIVIC_CAPITALISM,40,0,LOC_BOOST_TRIGGER_CAPITALISM_XP2,LOC_BOOST_TRIGGER_LONGDESC_CAPITALISM,,BOOST_TRIGGER_HAVE_X_BUILDINGS,,BUILDING_STOCK_EXCHANGE,,,,2,,0,,,,
38,,CIVIC_NUCLEAR_PROGRAM,40,0,LOC_BOOST_TRIGGER_NUCLEAR_PROGRAM,LOC_BOOST_TRIGGER_LONGDESC_NUCLEAR_PROGRAM,,BOOST_TRIGGER_HAVE_X_BUILDINGS,,BUILDING_RESEARCH_LAB,,,,1,,0,,,,
39,,CIVIC_SUFFRAGE,40,0,LOC_BOOST_TRIGGER_SUFFRAGE,LOC_BOOST_TRIGGER_LONGDESC_SUFFRAGE,,BOOST_TRIGGER_HAVE_X_BUILDINGS,,BUILDING_SEWER,,,,4,,0,,,,
40,,CIVIC_TOTALITARIANISM,40,0,LOC_BOOST_TRIGGER_TOTALITARIANISM,LOC_BOOST_TRIGGER_LONGDESC_TOTALITARIANISM,,BOOST_TRIGGER_HAVE_X_BUILDINGS,,BUILDING_MILITARY_ACADEMY,,,,3,,0,,,,
41,,CIVIC_CLASS_STRUGGLE,40,0,LOC_BOOST_TRIGGER_CLASS_STRUGGLE,LOC_BOOST_TRIGGER_LONGDESC_CLASS_STRUGGLE,,BOOST_TRIGGER_HAVE_X_BUILDINGS,,BUILDING_FACTORY,,,,3,,0,,,,
42,,CIVIC_COLD_WAR,40,0,LOC_BOOST_TRIGGER_COLD_WAR,LOC_BOOST_TRIGGER_LONGDESC_COLD_WAR,,BOOST_TRIGGER_RESEARCH_TECH,,,,TECH_NUCLEAR_FISSION,,0,,0,,,,
43,,CIVIC_PROFESSIONAL_SPORTS,40,0,LOC_BOOST_TRIGGER_PROFESSIONAL_SPORTS_XP2,LOC_BOOST_TRIGGER_LONGDESC_PROFESSIONAL_SPORTS,,BOOST_TRIGGER_HAVE_X_DISTRICTS,,,,,,2,DISTRICT_ENTERTAINMENT_COMPLEX,0,,,,
44,,CIVIC_CULTURAL_HERITAGE,40,0,LOC_BOOST_TRIGGER_CULTURAL_HERITAGE,LOC_BOOST_TRIGGER_LONGDESC_CULTURAL_HERITAGE,,BOOST_TRIGGER_HAVE_X_THEMED_BUILDINGS,,,,,,1,,0,,,,
45,,CIVIC_RAPID_DEPLOYMENT,40,0,LOC_BOOST_TRIGGER_RAPID_DEPLOYMENT,LOC_BOOST_TRIGGER_LONGDESC_RAPID_DEPLOYMENT,,BOOST_TRIGGER_AIRBASE_FOREIGN_CONTINENT,,,,,,1,,0,,,,
46,,CIVIC_SPACE_RACE,40,0,LOC_BOOST_TRIGGER_SPACE_RACE,LOC_BOOST_TRIGGER_LONGDESC_SPACE_RACE,,BOOST_TRIGGER_HAVE_X_DISTRICTS,,,,,,1,DISTRICT_SPACEPORT,0,,,,
47,,CIVIC_GLOBALIZATION,40,0,LOC_BOOST_TRIGGER_GLOBALIZATION_XP2,LOC_BOOST_TRIGGER_LONGDESC_GLOBALIZATION,,BOOST_TRIGGER_HAVE_X_BUILDINGS,,BUILDING_AIRPORT,,,,2,,0,,,,
48,,CIVIC_SOCIAL_MEDIA,40,0,LOC_BOOST_TRIGGER_SOCIAL_MEDIA,LOC_BOOST_TRIGGER_LONGDESC_SOCIAL_MEDIA,,BOOST_TRIGGER_RESEARCH_TECH,,,,TECH_TELECOMMUNICATIONS,,0,,0,,,,
49,TECH_SAILING,,40,0,LOC_BOOST_TRIGGER_SAILING,LOC_BOOST_TRIGGER_LONGDESC_SAILING,,BOOST_TRIGGER_SETTLE_COAST,,,,,,0,,0,,,,
50,TECH_ASTROLOGY,,40,0,LOC_BOOST_TRIGGER_ASTROLOGY,LOC_BOOST_TRIGGER_LONGDESC_ASTROLOGY,UNIT_SCOUT,BOOST_TRIGGER_FIND_NATURAL_WONDER,,,,,,0,,0,,,,
51,TECH_IRRIGATION,,40,0,LOC_BOOST_TRIGGER_IRRIGATION,LOC_BOOST_TRIGGER_LONGDESC_IRRIGATION,,BOOST_TRIGGER_HAVE_X_IMPROVEMENTS,,,IMPROVEMENT_FARM,,,1,,1,,,,
52,TECH_ARCHERY,,40,0,LOC_BOOST_TRIGGER_ARCHERY,LOC_BOOST_TRIGGER_LONGDESC_ARCHERY,UNIT_SLINGER,BOOST_TRIGGER_KILL_WITH,,,,,,0,,0,,,,
53,TECH_WRITING,,40,0,LOC_BOOST_TRIGGER_WRITING,LOC_BOOST_TRIGGER_LONGDESC_WRITING,UNIT_SCOUT,BOOST_TRIGGER_MEET_CIV,,,,,,0,,0,,,,
54,TECH_MASONRY,,40,0,LOC_BOOST_TRIGGER_MASONRY,LOC_BOOST_TRIGGER_LONGDESC_MASONRY,,BOOST_TRIGGER_HAVE_X_IMPROVEMENTS,,,IMPROVEMENT_QUARRY,,,1,,1,,,,
55,TECH_BRONZE_WORKING,,40,0,LOC_BOOST_TRIGGER_BRONZE_WORKING,LOC_BOOST_TRIGGER_LONGDESC_BRONZE_WORKING,,BOOST_TRIGGER_NUM_BARBS_KILLED,,,,,,3,,0,,,,
56,TECH_THE_WHEEL,,40,0,LOC_BOOST_TRIGGER_THE_WHEEL,LOC_BOOST_TRIGGER_LONGDESC_THE_WHEEL,,BOOST_TRIGGER_HAVE_X_IMPROVEMENTS,,,IMPROVEMENT_MINE,,,1,,1,,,,
57,TECH_CELESTIAL_NAVIGATION,,40,0,LOC_BOOST_TRIGGER_CELESTIAL_NAVIGATION,LOC_BOOST_TRIGGER_LONGDESC_CELESTIAL_NAVIGATION,,BOOST_TRIGGER_HAVE_X_IMPROVEMENTS,,,IMPROVEMENT_FISHING_BOATS,,,2,,1,,,,
58,TECH_CURRENCY,,40,0,LOC_BOOST_TRIGGER_CURRENCY,LOC_BOOST_TRIGGER_LONGDESC_CURRENCY,UNIT_TRADER,BOOST_TRIGGER_MAINTAIN_X_TRADE_ROUTES,,,,,,1,,0,,,,
59,TECH_HORSEBACK_RIDING,,40,0,LOC_BOOST_TRIGGER_HORSEBACK_RIDING,LOC_BOOST_TRIGGER_LONGDESC_HORSEBACK_RIDING,,BOOST_TRIGGER_HAVE_X_IMPROVEMENTS,,,IMPROVEMENT_PASTURE,,,1,,1,,,,
60,TECH_IRON_WORKING,,40,0,LOC_BOOST_TRIGGER_IRON_WORKING,LOC_BOOST_TRIGGER_LONGDESC_IRON_WORKING,,BOOST_TRIGGER_IMPROVE_SPECIFIC_RESOURCE,,,IMPROVEMENT_MINE,,RESOURCE_IRON,0,,0,,,,
61,TECH_SHIPBUILDING,,40,0,LOC_BOOST_TRIGGER_SHIPBUILDING,LOC_BOOST_TRIGGER_LONGDESC_SHIPBUILDING,UNIT_GALLEY,BOOST_TRIGGER_OWN_X_UNITS_OF_TYPE,,,,,,2,,0,,,,
62,TECH_MATHEMATICS,,40,0,LOC_BOOST_TRIGGER_MATHEMATICS,LOC_BOOST_TRIGGER_LONGDESC_MATHEMATICS,,BOOST_TRIGGER_HAVE_X_UNIQUE_SPECIALTY_DISTRICTS,,,,,,3,,0,,,,
63,TECH_CONSTRUCTION,,40,0,LOC_BOOST_TRIGGER_CONSTRUCTION,LOC_BOOST_TRIGGER_LONGDESC_CONSTRUCTION,,BOOST_TRIGGER_CONSTRUCT_BUILDING,,BUILDING_WATER_MILL,,,,0,,0,,,,
64,TECH_ENGINEERING,,40,0,LOC_BOOST_TRIGGER_ENGINEERING,LOC_BOOST_TRIGGER_LONGDESC_ENGINEERING,,BOOST_TRIGGER_CONSTRUCT_BUILDING,,BUILDING_WALLS,,,,0,,0,,,,
65,TECH_MILITARY_TACTICS,,40,0,LOC_BOOST_TRIGGER_MILITARY_TACTICS,LOC_BOOST_TRIGGER_LONGDESC_MILITARY_TACTICS,UNIT_SPEARMAN,BOOST_TRIGGER_KILL_WITH,,,,,,0,,0,,,,
66,TECH_APPRENTICESHIP,,40,0,LOC_BOOST_TRIGGER_APPRENTICESHIP,LOC_BOOST_TRIGGER_LONGDESC_APPRENTICESHIP,,BOOST_TRIGGER_HAVE_X_IMPROVEMENTS,,,IMPROVEMENT_MINE,,,3,,0,,,,
67,TECH_STIRRUPS,,40,0,LOC_BOOST_TRIGGER_STIRRUPS,LOC_BOOST_TRIGGER_LONGDESC_STIRRUPS,,BOOST_TRIGGER_CULTURVATE_CIVIC,,,,,,0,,0,,,CIVIC_FEUDALISM,
68,TECH_MACHINERY,,40,0,LOC_BOOST_TRIGGER_MACHINERY,LOC_BOOST_TRIGGER_LONGDESC_MACHINERY,UNIT_ARCHER,BOOST_TRIGGER_OWN_X_UNITS_OF_TYPE,,,,,,3,,0,,,,
69,TECH_EDUCATION,,40,0,LOC_BOOST_TRIGGER_EDUCATION,LOC_BOOST_TRIGGER_LONGDESC_EDUCATION,UNIT_GREAT_SCIENTIST,BOOST_TRIGGER_TRAIN_UNIT,,,,,,0,,0,,,,
70,TECH_MILITARY_ENGINEERING,,40,0,LOC_BOOST_TRIGGER_MILITARY_ENGINEERING,LOC_BOOST_TRIGGER_LONGDESC_MILITARY_ENGINEERING,,BOOST_TRIGGER_HAVE_X_DISTRICTS,,,,,,1,DISTRICT_AQUEDUCT,0,,,,
71,TECH_CASTLES,,40,0,LOC_BOOST_TRIGGER_CASTLES,LOC_BOOST_TRIGGER_LONGDESC_CASTLES,,BOOST_TRIGGER_HAVE_GOVERNMENT_TIER,,,,,,6,,0,,,,Tier2
72,TECH_CARTOGRAPHY,,40,0,LOC_BOOST_TRIGGER_CARTOGRAPHY,LOC_BOOST_TRIGGER_LONGDESC_CARTOGRAPHY,,BOOST_TRIGGER_HAVE_X_DISTRICTS,,,,,,2,DISTRICT_HARBOR,0,,,,
73,TECH_MASS_PRODUCTION,,40,0,LOC_BOOST_TRIGGER_MASS_PRODUCTION,LOC_BOOST_TRIGGER_LONGDESC_MASS_PRODUCTION,,BOOST_TRIGGER_HAVE_X_IMPROVEMENTS,,,IMPROVEMENT_LUMBER_MILL,,,1,,0,,,,
74,TECH_BANKING,,40,0,LOC_BOOST_TRIGGER_BANKING,LOC_BOOST_TRIGGER_LONGDESC_BANKING,,BOOST_TRIGGER_CULTURVATE_CIVIC,,,,,,0,,0,,,CIVIC_GUILDS,
75,TECH_GUNPOWDER,,40,0,LOC_BOOST_TRIGGER_GUNPOWDER,LOC_BOOST_TRIGGER_LONGDESC_GUNPOWDER,,BOOST_TRIGGER_CONSTRUCT_BUILDING,,BUILDING_ARMORY,,,,0,,0,,,,
76,TECH_PRINTING,,40,0,LOC_BOOST_TRIGGER_PRINTING,LOC_BOOST_TRIGGER_LONGDESC_PRINTING,,BOOST_TRIGGER_HAVE_X_BUILDINGS,,BUILDING_UNIVERSITY,,,,2,,0,,,,
77,TECH_SQUARE_RIGGING,,40,0,LOC_BOOST_TRIGGER_SQUARE_RIGGING,LOC_BOOST_TRIGGER_LONGDESC_SQUARE_RIGGING,UNIT_MUSKETMAN,BOOST_TRIGGER_KILL_WITH,,,,,,0,,0,,,,
78,TECH_ASTRONOMY,,40,0,LOC_BOOST_TRIGGER_ASTRONOMY,LOC_BOOST_TRIGGER_LONGDESC_ASTRONOMY,,BOOST_TRIGGER_HAVE_BUILDING_MOUNTAIN,,BUILDING_UNIVERSITY,,,,0,,0,,,,
79,TECH_METAL_CASTING,,40,0,LOC_BOOST_TRIGGER_METAL_CASTING,LOC_BOOST_TRIGGER_LONGDESC_METAL_CASTING,UNIT_CROSSBOWMAN,BOOST_TRIGGER_OWN_X_UNITS_OF_TYPE,,,,,,2,,0,,,,
80,TECH_SIEGE_TACTICS,,40,0,LOC_BOOST_TRIGGER_SIEGE_TACTICS,LOC_BOOST_TRIGGER_LONGDESC_SIEGE_TACTICS,UNIT_TREBUCHET,BOOST_TRIGGER_OWN_X_UNITS_OF_TYPE,,,,,,2,,0,,,,
81,TECH_INDUSTRIALIZATION,,40,0,LOC_BOOST_TRIGGER_INDUSTRIALIZATION_XP2,LOC_BOOST_TRIGGER_LONGDESC_INDUSTRIALIZATION,,BOOST_TRIGGER_HAVE_X_BUILDINGS,,BUILDING_WORKSHOP,,,,2,,0,,,,
82,TECH_SCIENTIFIC_THEORY,,40,0,LOC_BOOST_TRIGGER_SCIENTIFIC_THEORY,LOC_BOOST_TRIGGER_LONGDESC_SCIENTIFIC_THEORY,,BOOST_TRIGGER_CULTURVATE_CIVIC,,,,,,0,,0,,,CIVIC_THE_ENLIGHTENMENT,
83,TECH_BALLISTICS,,40,0,LOC_BOOST_TRIGGER_BALLISTICS,LOC_BOOST_TRIGGER_LONGDESC_BALLISTICS,,BOOST_TRIGGER_HAVE_X_IMPROVEMENTS,,,IMPROVEMENT_FORT,,,2,,0,,,,
84,TECH_MILITARY_SCIENCE,,40,0,LOC_BOOST_TRIGGER_MILITARY_SCIENCE,LOC_BOOST_TRIGGER_LONGDESC_MILITARY_SCIENCE,UNIT_KNIGHT,BOOST_TRIGGER_KILL_WITH,,,,,,0,,0,,,,
85,TECH_STEAM_POWER,,40,0,LOC_BOOST_TRIGGER_STEAM_POWER,LOC_BOOST_TRIGGER_LONGDESC_STEAM_POWER,,BOOST_TRIGGER_HAVE_X_BUILDINGS,,BUILDING_SHIPYARD,,,,2,,0,,,,
86,TECH_SANITATION,,40,0,LOC_BOOST_TRIGGER_SANITATION,LOC_BOOST_TRIGGER_LONGDESC_SANITATION,,BOOST_TRIGGER_HAVE_X_DISTRICTS,,,,,,2,DISTRICT_NEIGHBORHOOD,0,,,,
87,TECH_ECONOMICS,,40,0,LOC_BOOST_TRIGGER_ECONOMICS,LOC_BOOST_TRIGGER_LONGDESC_ECONOMICS,,BOOST_TRIGGER_HAVE_X_BUILDINGS,,BUILDING_BANK,,,,2,,0,,,,
88,TECH_RIFLING,,40,0,LOC_BOOST_TRIGGER_RIFLING,LOC_BOOST_TRIGGER_LONGDESC_RIFLING,,BOOST_TRIGGER_IMPROVE_SPECIFIC_RESOURCE,,,IMPROVEMENT_MINE,,RESOURCE_NITER,0,,0,,,,
89,TECH_FLIGHT,,40,0,LOC_BOOST_TRIGGER_FLIGHT,LOC_BOOST_TRIGGER_LONGDESC_FLIGHT,,BOOST_TRIGGER_HAVE_WONDER_PAST_X_ERA,,,,,,5,,0,,,,
90,TECH_REPLACEABLE_PARTS,,40,0,LOC_BOOST_TRIGGER_REPLACEABLE_PARTS,LOC_BOOST_TRIGGER_LONGDESC_REPLACEABLE_PARTS,UNIT_LINE_INFANTRY,BOOST_TRIGGER_OWN_X_UNITS_OF_TYPE,,,,,,3,,0,,,,
91,TECH_STEEL,,40,0,LOC_BOOST_TRIGGER_STEEL,LOC_BOOST_TRIGGER_LONGDESC_STEEL,UNIT_IRONCLAD,BOOST_TRIGGER_HAVE_UNIT_AND_IMPROVEMENT,,,IMPROVEMENT_MINE,,RESOURCE_COAL,0,,0,,,,
92,TECH_ELECTRICITY,,40,0,LOC_BOOST_TRIGGER_ELECTRICITY_XP2,LOC_BOOST_TRIGGER_LONGDESC_ELECTRICITY,UNIT_PRIVATEER,BOOST_TRIGGER_OWN_X_UNITS_OF_TYPE,,,,,,2,,0,,,,
93,TECH_RADIO,,40,0,LOC_BOOST_TRIGGER_RADIO,LOC_BOOST_TRIGGER_LONGDESC_RADIO,,BOOST_TRIGGER_CREATED_NATIONAL_PARK,,,,,,0,,0,,,,
94,TECH_CHEMISTRY,,40,0,LOC_BOOST_TRIGGER_CHEMISTRY,LOC_BOOST_TRIGGER_LONGDESC_CHEMISTRY,,BOOST_TRIGGER_HAVE_ALLIANCE_LEVEL_X,,,,,,2,,0,,,,
95,TECH_COMBUSTION,,40,0,LOC_BOOST_TRIGGER_COMBUSTION,LOC_BOOST_TRIGGER_LONGDESC_COMBUSTION,,BOOST_TRIGGER_ARTIFACT_EXTRACTED,,,,,,0,,0,,,,
96,TECH_ADVANCED_FLIGHT,,40,0,LOC_BOOST_TRIGGER_ADVANCED_FLIGHT_XP2,LOC_BOOST_TRIGGER_LONGDESC_ADVANCED_FLIGHT,UNIT_BIPLANE,BOOST_TRIGGER_OWN_X_UNITS_OF_TYPE,,,,,,2,,0,,,,
97,TECH_ROCKETRY,,40,0,LOC_BOOST_TRIGGER_MUST_STEAL,Critical late game tech - boost description not needed,,BOOST_TRIGGER_NONE_LATE_GAME_CRITICAL_TECH,,,,,,0,,0,,,,
98,TECH_ADVANCED_BALLISTICS,,40,0,LOC_BOOST_TRIGGER_ADVANCED_BALLISTICS,LOC_BOOST_TRIGGER_LONGDESC_ADVANCED_BALLISTICS,,BOOST_TRIGGER_HAVE_X_BUILDINGS,,BUILDING_FOSSIL_FUEL_POWER_PLANT,,,,1,,0,,,,
99,TECH_COMBINED_ARMS,,40,0,LOC_BOOST_TRIGGER_COMBINED_ARMS,LOC_BOOST_TRIGGER_LONGDESC_COMBINED_ARMS,,BOOST_TRIGGER_HAVE_X_ARMIES,,,,,,3,,0,,,,
100,TECH_PLASTICS,,40,0,LOC_BOOST_TRIGGER_PLASTICS,LOC_BOOST_TRIGGER_LONGDESC_PLASTICS,,BOOST_TRIGGER_IMPROVE_SPECIFIC_RESOURCE,,,IMPROVEMENT_OIL_WELL,,RESOURCE_OIL,0,,0,,,,
101,TECH_COMPUTERS,,40,0,LOC_BOOST_TRIGGER_COMPUTERS,LOC_BOOST_TRIGGER_LONGDESC_COMPUTERS,,BOOST_TRIGGER_HAVE_GOVERNMENT_TIER,,,,,,8,,0,,,,Tier3
