Type,CommonName,Description,Tags,GameCapabilities,ContextInterfaces,SubjectInterfaces,SupportsRemove
EFFECT_ADJUST_DISTRICT_YIELD_MODIFIER,,,,,,,
EFFECT_ADJUST_DUPLICATE_FIRST_INFLUENCE_TOKEN,,,,,,,
EFFECT_ADJUST_DUPLICATE_INFLUENCE_TOKEN_WHEN_RIVAL_GOVERNMENT,,,,,,,
EFFECT_ADJUST_DUPLICATE_INFLUENCE_TOKEN_WHEN_TRADE_ROUTE_TO,,,,,,,
EFFECT_ADJUST_PLAYER_EMBARKED_UNIT_MOVEMENT,,,,,,,
EFFECT_ADJUST_UNIT_ESCAPE_BOOST,,,,,,,
EFFECT_ADJUST_EXTRA_GREAT_WORK_SLOTS,,,,,,,
EFFECT_ADJUST_EXTRA_UNIT_COPY,,,,,,,
EFFECT_ADJUST_EXTRA_UNIT_COPY_TAG,,,,,,,
EFFECT_ADJUST_PLAYER_FAITH_PEACEFUL_FOUNDERS,,,,,,,
EFFECT_ADJUST_FEATURE_APPEAL_MODIFIER,,,,,,,
EFFECT_ADJUST_FEATURE_PREREQ,,,,,,,
EFFECT_ADJUST_FLAT_BONUS,,,,,,,
EFFECT_ADJUST_FOLLOWER_YIELD_MODIFIER,,,,,,,
EFFECT_ADJUST_FORBID_LAND_ROUTE,,,,,,,
EFFECT_ADJUST_FREE_CIVIC_BOOST_FIRST_TRADING_POST_EACH_CIV,,,,,,,
EFFECT_ADJUST_FREE_CIVIC_BOOST_WONDER_ERA,,,,,,,
EFFECT_ADJUST_FREE_TECH_BOOST_FIRST_TRADING_POST_EACH_CIV,,,,,,,
EFFECT_ADJUST_FREE_TECH_BOOST_WONDER_ERA,,,,,,,
EFFECT_ADJUST_GAINS_ALL_FOLLOWER_BELIEFS,,,,,,,
EFFECT_ADJUST_GAINS_FOUNDER_BELIEF_MAJORITY_RELIGION,,,,,,,
EFFECT_ADJUST_GAME_PROPERTY,,,,,,,
EFFECT_ADJUST_GOLD_DISPERSAL,,,,,,,
EFFECT_ADJUST_PLAYER_GOVERNMENT_SLOT_TYPE,,,,,,,
EFFECT_ADJUST_GREAT_PERSON_GUARANTEE,,,,,,,
EFFECT_ADJUST_GREAT_PERSON_PATRONAGE_DISCOUNT_PERCENT,,,,,,,
EFFECT_ADJUST_GREAT_PERSON_POINTS_PERCENT,,,,,,,
EFFECT_ADJUST_GREAT_PERSON_POINTS,,,,,,,
EFFECT_ADJUST_GREAT_PERSON_POINTS_REFUND_PERCENT,,,,,,,
EFFECT_ADJUST_HEAL_CHARGES,,,,,,,
EFFECT_ADJUST_IMPROVEMENT_GOODY_HUT,,,,,,,
EFFECT_ADJUST_IMPROVEMENT_HOUSING,,,,,,,
EFFECT_ADJUST_IMPROVEMENT_PROPERTY,,,,,,,
EFFECT_ADJUST_INFLUENCE_POINTS_PER_TURN,,,,,,,
EFFECT_ADJUST_MULTIPLY_TREASURY,,,,,,,
EFFECT_ADJUST_NO_FRESH_WATER_HOUSING,,,,,,,
EFFECT_ADJUST_NUM_UNITS_SUPPORTED,,,,,,,
EFFECT_ADJUST_PLAYER_ALLIED_WAR_DISCOUNT,,,,,,,
EFFECT_ADJUST_PLAYER_ALWAYS_FULL_RELIGIOUS_TOURISM,,,,,,,
EFFECT_ADJUST_PLAYER_AUTO_THEMED_BUILDING,,,,,,,
EFFECT_ADJUST_PLAYER_CITY_TILES,,,,,,,
EFFECT_ADJUST_PLAYER_COUNTER_SPY_YIELD_AWARD_PER_LEVEL,,,,,,,
EFFECT_ADJUST_PLAYER_EMBARK_UNIT_PASS,,,,,,,
EFFECT_ADJUST_PLAYER_ENFORCE_BORDERS,,,,,,,
EFFECT_ADJUST_PLAYER_FAITH_FROM_DISPERSAL,,,,,,,
EFFECT_ADJUST_PLAYER_FREE_GREAT_PERSON_POINTS,,Adjust the number of free great person points.,,,,,
EFFECT_ADJUST_PLAYER_FREE_RESOURCE_IMPORT,,,,,,,
EFFECT_ADJUST_FULL_ACCESS_ONE_STRATEGIC,,,,,,,
EFFECT_ADJUST_PLAYER_GOLD_INTEREST_PERCENT,,,,,,,
EFFECT_ADJUST_PLAYER_IMPROVED_ROUTE_LEVEL,,,,,,,
EFFECT_ADJUST_PLAYER_INTERNATIONAL_TRADE_ROUTE_YIELD_MODIFIER,,,,,,,
EFFECT_ADJUST_PLAYER_INTERNATIONAL_TRADE_ROUTE_YIELD_PER_IMPROVEMENT_IN_ORIGIN_CITY,,,,,,,
EFFECT_ADJUST_PLAYER_JOINTWAR_EXPERIENCE,,,,,,,
EFFECT_ADJUST_PLAYER_JOINTWAR_PLUNDER,,,,,,,
EFFECT_ADJUST_PLAYER_LEVY_DISCOUNT_PERCENT,,,,,,,
EFFECT_ADJUST_PLAYER_MAX_WARMONGER_PERCENT,,,,,,,
EFFECT_ADJUST_PLAYER_NO_OCCUPATION_PENALTIES,,,,,,,
EFFECT_ADJUST_PLAYER_OPEN_BORDERS_FROM_INFLUENCE,,,,,,,
EFFECT_ADJUST_PLAYER_OTHER_GOVERNMENT_INTOLERANCE,,,,,,,
EFFECT_ADJUST_OWNED_BONUS_RESOURCE_EXTRA_AMENITIES,,,,,,,
EFFECT_ADJUST_OWNED_LUXURY_EXTRA_AMENITIES,,,,,,,
EFFECT_ADJUST_PLAYER_PROGRESS_DIFF_TRADE_BONUS,,,,,,,
EFFECT_ADJUST_PLAYER_PROPERTY,,,,,,,
EFFECT_ADJUST_PLAYER_RANDOM_CIVIC_BOOST_GOODY_HUT,,,,,,,
EFFECT_ADJUST_PLAYER_RANDOM_TECHNOLOGY_BOOST_GOODY_HUT,,,,,,,
EFFECT_ADJUST_PLAYER_RELIGIOUS_TOURISM_REDUCTION,,,,,,,
EFFECT_ADJUST_PLAYER_SPY_BONUS,,,,,,,
EFFECT_ADJUST_PLAYER_STEAL_TECH_BOOSTS,,,,,,,
EFFECT_ADJUST_PLAYER_STRENGTH_MODIFIER,,,,,,,
EFFECT_ADJUST_PLAYER_TARGET_CITY_SPY_YIELD_PERCENT,,,,,,,
EFFECT_ADJUST_PLAYER_TOKEN_ON_FIRST_MEETING,,,,,,,
EFFECT_ADJUST_PLAYER_TOKEN_ON_TRADE_ROUTE_STARTED,,,,,,,
EFFECT_ADJUST_PLAYER_TOURISM,,,,,,,
EFFECT_ADJUST_PLAYER_TRADE_ROUTE_DESTINATION_YIELD_FOR_ALLY_ROUTE,,,,,,,
EFFECT_ADJUST_PLAYER_TRADE_ROUTE_DESTINATION_YIELD_FOR_SUZERAIN_ROUTE,,,,,,,
EFFECT_ADJUST_PLAYER_TRADE_ROUTE_ORIGIN_YIELD_FOR_ALLY_ROUTE,,,,,,,
EFFECT_ADJUST_PLAYER_TRADE_ROUTE_ORIGIN_YIELD_FOR_SUZERAIN_ROUTE,,,,,,,
EFFECT_ADJUST_PLAYER_TRADE_ROUTE_TOURISM_MODIFIER,,,,,,,
EFFECT_ADJUST_PLAYER_TRADE_ROUTE_YIELD_PER_FOLLOWER,,,,,,,
EFFECT_ADJUST_PLAYER_TRADE_ROUTE_YIELD_PER_IMPROVEMENT_IN_TARGET_CITY,,,,,,,
EFFECT_ADJUST_PLAYER_TRADE_ROUTE_YIELD_PER_PATH_TILE,,,,,,,
EFFECT_ADJUST_PLAYER_TRADE_ROUTE_YIELD_PER_POST_IN_FOREIGN_CITY,,,,,,,
EFFECT_ADJUST_PLAYER_TRADE_ROUTE_YIELD_PER_POST_IN_OWN_CITY,,,,,,,
EFFECT_ADJUST_PLAYER_UNIT_DISTRICT_PERCENT,,,,,,,
EFFECT_ADJUST_PLAYER_UNIT_UPGRADE_DISCOUNT_PERCENT,,,,,,,
EFFECT_ADJUST_PLAYER_UNIT_WONDER_PERCENT,,,,,,,
EFFECT_ADJUST_PLAYER_VALID_BUILDING,,,,,,,
EFFECT_ADJUST_PLAYER_VALID_IMPROVEMENT,,,,,,,
EFFECT_ADJUST_PLAYER_VALID_UNIT_BUILD,,,,,,,
EFFECT_ADJUST_PLAYER_WMD_COUNT,,,,,,,
EFFECT_ADJUST_PLAYER_YIELD_CHANGE,,,,,,,
EFFECT_ADJUST_PLAYER_YIELD_CHANGE_PER_GREAT_PERSON_CLASS_ON_RESOURCE,,,,,,,
EFFECT_ADJUST_PLAYER_YIELD_CHANGE_PER_TRIBUTARY,,,,,,,
EFFECT_ADJUST_PLAYER_YIELD_CHANGE_PER_USED_INFLUENCE_TOKEN,,,,,,,
EFFECT_ADJUST_PLAYER_YIELD_MODIFIER_PER_EARNED_GREAT_PERSON,,,,,,,
EFFECT_ADJUST_PLAYER_YIELD_MODIFIER_PER_TRIBUTARY,,,,,,,
EFFECT_ADJUST_PLOT_PURCHASE_COST,,,,,,,
EFFECT_ADJUST_PLOT_YIELD,AdjustPlotYield,Adjusts the yield of a given plot by the specified values.,,,,,
EFFECT_ADJUST_POLICY_AMENITY,,,,,,,
EFFECT_ADJUST_POLICY_HOUSING,,,,,,,
EFFECT_ADJUST_POPULATION_FROM_PLOT,,,,,,,
EFFECT_ENABLE_RELIGION_AWARDS_ENVOY,,,,,,,
EFFECT_ADJUST_RELIGION_BUILDING_DISCOUNT,,,,,,,
EFFECT_ENABLE_RELIGION_AUTO_SPREAD,,,,,,,
EFFECT_ADJUST_RELIGIOUS_COMBAT_LOSS,,,,,,,
EFFECT_ADJUST_RELIGIOUS_SPREAD_DISTANCE,,,,,,,
EFFECT_ADJUST_RELIGIOUS_SPREAD_STRENGTH,,,,,,,
EFFECT_ADJUST_RESOURCE_YIELD_BY_COUNT,,,,,,,
EFFECT_ADJUST_RIVER_DISTRICT_PRODUCTION,,,,,,,
EFFECT_ADJUST_RIVER_WONDER_PRODUCTION,,,,,,,
EFFECT_ADJUST_SPACE_RACE_PROJECTS_PRODUCTION,,,,,,,
EFFECT_ADJUST_UNIT_SPY_ESTABLISH_TIME,,,,,,,
EFFECT_ADJUST_UNIT_SPY_OPERATION_CHANCE,,,,,,,
EFFECT_ADJUST_UNIT_SPY_OPERATION_TIME,,,,,,,
EFFECT_ADJUST_TECHNOLOGY_BOOST,,,,,,,
EFFECT_ADJUST_TRADE_ROUTE_CAPACITY,,,,,,,
EFFECT_ADJUST_PLAYER_TRADE_ROUTE_CAPACITY_ON_MEETING,,,,,,,
EFFECT_ADJUST_TRADE_ROUTE_WATER_RANGE,,,,,,,
EFFECT_ADJUST_TRADE_ROUTE_YIELD,,,,,,,
EFFECT_ADJUST_TRADE_ROUTE_YIELD_FOR_DOMESTIC,,,,,,,
EFFECT_ADJUST_TRADE_ROUTE_YIELD_FOR_INTERNATIONAL,,,,,,,
EFFECT_ADJUST_TRADE_ROUTE_YIELD_FROM_OTHERS,,,,,,,
EFFECT_ADJUST_TRADE_ROUTE_YIELD_PER_SPECIALTY_DISTRICT_FOR_DOMESTIC,,,,,,,
EFFECT_ADJUST_UNIT_ADVANCED_PILLAGING,,,,,,,
EFFECT_ADJUST_UNIT_ATTACK_AND_MOVE,,,,,,,
EFFECT_ADJUST_UNIT_ATTACK_EXPERIENCE_MODIFIER,,,,,,,
EFFECT_ADJUST_UNIT_ATTACK_RANGE,,,,,,,
EFFECT_ADJUST_UNIT_BARBARIAN_COMBAT,,,,,,,
EFFECT_ADJUST_UNIT_BUILD_CHARGES,,,,,,,
EFFECT_ADJUST_UNIT_BYPASS_COMBAT_UNIT,,,,,,,
EFFECT_ADJUST_UNIT_BYPASS_WALLS,,,,,,,
EFFECT_ADJUST_UNIT_CANNOT_ATTACK,,,,,,,
EFFECT_ADJUST_UNIT_CLEAR_TERRAIN_START_MOVEMENT,,,,,,,
EFFECT_ADJUST_UNIT_COMBAT_CAPTURE,,,,,,,
EFFECT_ADJUST_UNIT_COMBAT_STRENGTH,,,,,,,
EFFECT_ADJUST_UNIT_COMBAT_STRENGTH_FOR_ERA,,,,,,,
EFFECT_ADJUST_UNIT_CONVERTS_BARBARIANS,,,,,,,
EFFECT_ADJUST_UNIT_DAMAGE,,,,,,,
EFFECT_ADJUST_UNIT_DOMAIN_PRODUCTION,,,,,,,
EFFECT_ADJUST_UNIT_ENABLE_WALL_ATTACK,,,,,,,
EFFECT_ADJUST_UNIT_ENABLE_WALL_ATTACK_WHOLE_GAME_SAME_RELIGION,,,,,,,
EFFECT_ADJUST_UNIT_ENABLE_WALL_ATTACK_WHOLE_GAME_SAME_RELIGION_PROMOTION_CLASS,,,,,,,
EFFECT_ADJUST_UNIT_ENTER_FOREIGN_LANDS,,,,,,,
EFFECT_ADJUST_UNIT_ERA_STRENGTH_MODIFIER,,,,,,,
EFFECT_ADJUST_UNIT_ESCORT_MOBILITY,,,,,,,
EFFECT_ADJUST_UNIT_EVICT_PERCENT,,,,,,,
EFFECT_ADJUST_UNIT_EXERT_ZOC,,,,,,,
EFFECT_ADJUST_UNIT_EXPERIENCE_LEVEL,,,,,,,
EFFECT_ADJUST_UNIT_EXPERIENCE_MODIFIER,,,,,,,
EFFECT_ADJUST_UNIT_EXTRACT_SEA_ARTIFACTS,,,,,,,
EFFECT_ADJUST_UNIT_FLANKING_BONUS_MODIFIER,,,,,,,
EFFECT_ADJUST_UNIT_FORCE_RETREAT,,,,,,,
EFFECT_ADJUST_UNIT_FOREIGN_SPREAD_MODIFIER,,,,,,,
EFFECT_ADJUST_UNIT_FRIENDLY_TERRITORY_COMBAT,,,,,,,
EFFECT_ADJUST_UNIT_FRIENDLY_TERRITORY_START_MOVEMENT,,,,,,,
EFFECT_ADJUST_UNIT_GRANT_EXPERIENCE,,,,,,,
EFFECT_ADJUST_GREAT_PEOPLE_POINTS_PER_KILL,,,,,,{B3DF7354-0054-4FA5-9423-324C7704DA9F},
EFFECT_ADJUST_GREAT_PEOPLE_POINTS_PER_KILL_BY_DEFEATED_STRENGTH,,,,,,,
EFFECT_ADJUST_UNIT_GREAT_PERSON_CHARGES,,,,,,,
EFFECT_ADJUST_UNIT_HEAL,,,,,,,
EFFECT_ADJUST_UNIT_HEALING_MODIFIERS,,,,,,,
EFFECT_ADJUST_UNIT_HEALING_RELIGION_MODIFIERS,,,,,,,
EFFECT_ADJUST_UNIT_HIDDEN_VISIBILITY,,,,,,,
EFFECT_ADJUST_UNIT_HOLY_CITIES_COMBAT_MODIFIER,,,,,,,
EFFECT_ADJUST_UNIT_IGNORE_CLIFF_WALLS,,,,,,,
EFFECT_ADJUST_UNIT_IGNORE_RESOURCE_MAINTENANCE,AdjustUnitIgnoreResourceMaintenance,Game Effect for adjusting a unit's resistance to water damage,,,,{B3DF7354-0054-4FA5-9423-324C7704DA9F},
EFFECT_ADJUST_UNIT_IGNORE_RIVERS,,,,,,,
EFFECT_ADJUST_UNIT_IGNORE_SHORES,,,,,,,
EFFECT_ADJUST_UNIT_IGNORE_TERRAIN_COST,,,,,,,
EFFECT_ADJUST_UNIT_IGNORE_ZOC,,,,,,,
EFFECT_ADJUST_UNIT_INITIATION_YIELD,,,,,,,
EFFECT_ADJUST_UNIT_LAND_VICTORY_SPREAD,,,,,,,
EFFECT_ADJUST_UNIT_MAINTENANCE_DISCOUNT,,,,,,,
EFFECT_ADJUST_CITY_UNIT_MAX_LEVEL,,,,,,,
EFFECT_ADJUST_UNIT_MILITARY_FORMATION,,,,,,,
EFFECT_ADJUST_UNIT_MILITARY_POLICIES_COMBAT_MODIFIER,,,,,,,
EFFECT_ADJUST_UNIT_MOVE_AND_ATTACK,,,,,,,
EFFECT_ADJUST_UNIT_MOVEMENT,,,,,,,
EFFECT_ADJUST_UNIT_NATURAL_WONDER_DEFERRED_CHARGES,,,,,,,
EFFECT_ADJUST_UNIT_NEIGHBOR_COMBAT_MODIFIER,,,,,,,
EFFECT_ADJUST_UNIT_NO_BARB_XP_LIMIT,,,,,,,
