RandomEventType,RealismSettingType,OccurrencesPerGame
RANDOM_EVENT_SEA_LEVEL_RISE1,REALISM_SETTING_MINIMAL,1.0
RANDOM_EVENT_SEA_LEVEL_RISE2,REALISM_SETTING_MINIMAL,1.0
RANDOM_EVENT_SEA_LEVEL_RISE3,REALISM_SETTING_MINIMAL,1.0
RANDOM_EVENT_SEA_LEVEL_RISE4,REALISM_SETTING_MINIMAL,1.0
RANDOM_EVENT_SEA_LEVEL_RISE5,REALISM_SETTING_MINIMAL,1.0
RANDOM_EVENT_SEA_LEVEL_RISE6,REALISM_SETTING_MINIMAL,1.0
RANDOM_EVENT_SEA_LEVEL_RISE7,REALISM_SETTING_MINIMAL,1.0
RANDOM_EVENT_FLOOD_MODERATE,REALISM_SETTING_LIGHT,1.5
RANDOM_EVENT_FLOOD_MAJOR,REALISM_SETTING_LIGHT,1.0
RANDOM_EVENT_FLOOD_1000_YEAR,REALISM_SETTING_LIGHT,0.6
RANDOM_EVENT_KILIMANJARO_GENTLE,REALISM_SETTING_LIGHT,3.0
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,REALISM_SETTING_LIGHT,2.0
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,REALISM_SETTING_LIGHT,5.0
RANDOM_EVENT_VOLCANO_GENTLE,REALISM_SETTING_LIGHT,3.0
RANDOM_EVENT_VOLCANO_CATASTROPHIC,REALISM_SETTING_LIGHT,2.0
RANDOM_EVENT_VOLCANO_MEGACOLOSSAL,REALISM_SETTING_LIGHT,1.0
RANDOM_EVENT_BLIZZARD_SIGNIFICANT,REALISM_SETTING_LIGHT,5.0
RANDOM_EVENT_BLIZZARD_CRIPPLING,REALISM_SETTING_LIGHT,1.0
RANDOM_EVENT_DUST_STORM_GRADIENT,REALISM_SETTING_LIGHT,5.0
RANDOM_EVENT_DUST_STORM_HABOOB,REALISM_SETTING_LIGHT,1.0
RANDOM_EVENT_TORNADO_FAMILY,REALISM_SETTING_LIGHT,10.0
RANDOM_EVENT_TORNADO_OUTBREAK,REALISM_SETTING_LIGHT,2.0
RANDOM_EVENT_HURRICANE_CAT_4,REALISM_SETTING_LIGHT,10.0
RANDOM_EVENT_HURRICANE_CAT_5,REALISM_SETTING_LIGHT,2.0
RANDOM_EVENT_NUCLEAR_ACCIDENT_MINOR,REALISM_SETTING_LIGHT,1.0
RANDOM_EVENT_NUCLEAR_ACCIDENT_MAJOR,REALISM_SETTING_LIGHT,1.0
RANDOM_EVENT_NUCLEAR_ACCIDENT_CATASTROPHIC,REALISM_SETTING_LIGHT,1.0
RANDOM_EVENT_DROUGHT_MAJOR,REALISM_SETTING_LIGHT,15.0
RANDOM_EVENT_DROUGHT_EXTREME,REALISM_SETTING_LIGHT,3.0
RANDOM_EVENT_SEA_LEVEL_RISE1,REALISM_SETTING_LIGHT,1.0
RANDOM_EVENT_SEA_LEVEL_RISE2,REALISM_SETTING_LIGHT,1.0
RANDOM_EVENT_SEA_LEVEL_RISE3,REALISM_SETTING_LIGHT,1.0
RANDOM_EVENT_SEA_LEVEL_RISE4,REALISM_SETTING_LIGHT,1.0
RANDOM_EVENT_SEA_LEVEL_RISE5,REALISM_SETTING_LIGHT,1.0
RANDOM_EVENT_SEA_LEVEL_RISE6,REALISM_SETTING_LIGHT,1.0
RANDOM_EVENT_SEA_LEVEL_RISE7,REALISM_SETTING_LIGHT,1.0
RANDOM_EVENT_FLOOD_MODERATE,REALISM_SETTING_MODERATE,2.0
RANDOM_EVENT_FLOOD_MAJOR,REALISM_SETTING_MODERATE,1.5
RANDOM_EVENT_FLOOD_1000_YEAR,REALISM_SETTING_MODERATE,1.0
RANDOM_EVENT_KILIMANJARO_GENTLE,REALISM_SETTING_MODERATE,4.0
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,REALISM_SETTING_MODERATE,2.5
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,REALISM_SETTING_MODERATE,7.0
RANDOM_EVENT_VOLCANO_GENTLE,REALISM_SETTING_MODERATE,4.0
RANDOM_EVENT_VOLCANO_CATASTROPHIC,REALISM_SETTING_MODERATE,2.5
RANDOM_EVENT_VOLCANO_MEGACOLOSSAL,REALISM_SETTING_MODERATE,1.5
RANDOM_EVENT_BLIZZARD_SIGNIFICANT,REALISM_SETTING_MODERATE,8.0
RANDOM_EVENT_BLIZZARD_CRIPPLING,REALISM_SETTING_MODERATE,2.0
RANDOM_EVENT_DUST_STORM_GRADIENT,REALISM_SETTING_MODERATE,8.0
RANDOM_EVENT_DUST_STORM_HABOOB,REALISM_SETTING_MODERATE,2.0
RANDOM_EVENT_TORNADO_FAMILY,REALISM_SETTING_MODERATE,15.0
RANDOM_EVENT_TORNADO_OUTBREAK,REALISM_SETTING_MODERATE,3.0
RANDOM_EVENT_HURRICANE_CAT_4,REALISM_SETTING_MODERATE,15.0
RANDOM_EVENT_HURRICANE_CAT_5,REALISM_SETTING_MODERATE,3.0
RANDOM_EVENT_NUCLEAR_ACCIDENT_MINOR,REALISM_SETTING_MODERATE,1.0
RANDOM_EVENT_NUCLEAR_ACCIDENT_MAJOR,REALISM_SETTING_MODERATE,1.0
RANDOM_EVENT_NUCLEAR_ACCIDENT_CATASTROPHIC,REALISM_SETTING_MODERATE,1.0
RANDOM_EVENT_DROUGHT_MAJOR,REALISM_SETTING_MODERATE,23.0
RANDOM_EVENT_DROUGHT_EXTREME,REALISM_SETTING_MODERATE,5.0
RANDOM_EVENT_SEA_LEVEL_RISE1,REALISM_SETTING_MODERATE,1.0
RANDOM_EVENT_SEA_LEVEL_RISE2,REALISM_SETTING_MODERATE,1.0
RANDOM_EVENT_SEA_LEVEL_RISE3,REALISM_SETTING_MODERATE,1.0
RANDOM_EVENT_SEA_LEVEL_RISE4,REALISM_SETTING_MODERATE,1.0
RANDOM_EVENT_SEA_LEVEL_RISE5,REALISM_SETTING_MODERATE,1.0
RANDOM_EVENT_SEA_LEVEL_RISE6,REALISM_SETTING_MODERATE,1.0
RANDOM_EVENT_SEA_LEVEL_RISE7,REALISM_SETTING_MODERATE,1.0
RANDOM_EVENT_FLOOD_MODERATE,REALISM_SETTING_HEAVY,3.0
RANDOM_EVENT_FLOOD_MAJOR,REALISM_SETTING_HEAVY,2.0
RANDOM_EVENT_FLOOD_1000_YEAR,REALISM_SETTING_HEAVY,1.5
RANDOM_EVENT_KILIMANJARO_GENTLE,REALISM_SETTING_HEAVY,6.0
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,REALISM_SETTING_HEAVY,4.0
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,REALISM_SETTING_HEAVY,9.0
RANDOM_EVENT_VOLCANO_GENTLE,REALISM_SETTING_HEAVY,6.0
RANDOM_EVENT_VOLCANO_CATASTROPHIC,REALISM_SETTING_HEAVY,4.0
RANDOM_EVENT_VOLCANO_MEGACOLOSSAL,REALISM_SETTING_HEAVY,2.0
RANDOM_EVENT_BLIZZARD_SIGNIFICANT,REALISM_SETTING_HEAVY,10.0
RANDOM_EVENT_BLIZZARD_CRIPPLING,REALISM_SETTING_HEAVY,5.0
RANDOM_EVENT_DUST_STORM_GRADIENT,REALISM_SETTING_HEAVY,10.0
RANDOM_EVENT_DUST_STORM_HABOOB,REALISM_SETTING_HEAVY,5.0
RANDOM_EVENT_TORNADO_FAMILY,REALISM_SETTING_HEAVY,20.0
RANDOM_EVENT_TORNADO_OUTBREAK,REALISM_SETTING_HEAVY,10.0
RANDOM_EVENT_HURRICANE_CAT_4,REALISM_SETTING_HEAVY,20.0
RANDOM_EVENT_HURRICANE_CAT_5,REALISM_SETTING_HEAVY,10.0
RANDOM_EVENT_NUCLEAR_ACCIDENT_MINOR,REALISM_SETTING_HEAVY,1.0
RANDOM_EVENT_NUCLEAR_ACCIDENT_MAJOR,REALISM_SETTING_HEAVY,1.0
RANDOM_EVENT_NUCLEAR_ACCIDENT_CATASTROPHIC,REALISM_SETTING_HEAVY,1.0
RANDOM_EVENT_DROUGHT_MAJOR,REALISM_SETTING_HEAVY,30.0
RANDOM_EVENT_DROUGHT_EXTREME,REALISM_SETTING_HEAVY,15.0
RANDOM_EVENT_SEA_LEVEL_RISE1,REALISM_SETTING_HEAVY,1.0
RANDOM_EVENT_SEA_LEVEL_RISE2,REALISM_SETTING_HEAVY,1.0
RANDOM_EVENT_SEA_LEVEL_RISE3,REALISM_SETTING_HEAVY,1.0
RANDOM_EVENT_SEA_LEVEL_RISE4,REALISM_SETTING_HEAVY,1.0
RANDOM_EVENT_SEA_LEVEL_RISE5,REALISM_SETTING_HEAVY,1.0
RANDOM_EVENT_SEA_LEVEL_RISE6,REALISM_SETTING_HEAVY,1.0
RANDOM_EVENT_SEA_LEVEL_RISE7,REALISM_SETTING_HEAVY,1.0
RANDOM_EVENT_FLOOD_MODERATE,REALISM_SETTING_HYPERREAL,1.5
RANDOM_EVENT_FLOOD_MAJOR,REALISM_SETTING_HYPERREAL,2.0
RANDOM_EVENT_FLOOD_1000_YEAR,REALISM_SETTING_HYPERREAL,3.0
RANDOM_EVENT_KILIMANJARO_GENTLE,REALISM_SETTING_HYPERREAL,4.0
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,REALISM_SETTING_HYPERREAL,6.0
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,REALISM_SETTING_HYPERREAL,9.0
RANDOM_EVENT_VOLCANO_GENTLE,REALISM_SETTING_HYPERREAL,2.0
RANDOM_EVENT_VOLCANO_CATASTROPHIC,REALISM_SETTING_HYPERREAL,4.0
RANDOM_EVENT_VOLCANO_MEGACOLOSSAL,REALISM_SETTING_HYPERREAL,6.0
RANDOM_EVENT_BLIZZARD_SIGNIFICANT,REALISM_SETTING_HYPERREAL,5.0
RANDOM_EVENT_BLIZZARD_CRIPPLING,REALISM_SETTING_HYPERREAL,10.0
RANDOM_EVENT_DUST_STORM_GRADIENT,REALISM_SETTING_HYPERREAL,5.0
RANDOM_EVENT_DUST_STORM_HABOOB,REALISM_SETTING_HYPERREAL,10.0
RANDOM_EVENT_TORNADO_FAMILY,REALISM_SETTING_HYPERREAL,10.0
RANDOM_EVENT_TORNADO_OUTBREAK,REALISM_SETTING_HYPERREAL,20.0
RANDOM_EVENT_HURRICANE_CAT_4,REALISM_SETTING_HYPERREAL,10.0
RANDOM_EVENT_HURRICANE_CAT_5,REALISM_SETTING_HYPERREAL,20.0
RANDOM_EVENT_NUCLEAR_ACCIDENT_MINOR,REALISM_SETTING_HYPERREAL,1.0
RANDOM_EVENT_NUCLEAR_ACCIDENT_MAJOR,REALISM_SETTING_HYPERREAL,1.0
RANDOM_EVENT_NUCLEAR_ACCIDENT_CATASTROPHIC,REALISM_SETTING_HYPERREAL,1.0
RANDOM_EVENT_DROUGHT_MAJOR,REALISM_SETTING_HYPERREAL,15.0
RANDOM_EVENT_DROUGHT_EXTREME,REALISM_SETTING_HYPERREAL,30.0
RANDOM_EVENT_SEA_LEVEL_RISE1,REALISM_SETTING_HYPERREAL,1.0
RANDOM_EVENT_SEA_LEVEL_RISE2,REALISM_SETTING_HYPERREAL,1.0
RANDOM_EVENT_SEA_LEVEL_RISE3,REALISM_SETTING_HYPERREAL,1.0
RANDOM_EVENT_SEA_LEVEL_RISE4,REALISM_SETTING_HYPERREAL,1.0
RANDOM_EVENT_SEA_LEVEL_RISE5,REALISM_SETTING_HYPERREAL,1.0
RANDOM_EVENT_SEA_LEVEL_RISE6,REALISM_SETTING_HYPERREAL,1.0
RANDOM_EVENT_SEA_LEVEL_RISE7,REALISM_SETTING_HYPERREAL,1.0
RANDOM_EVENT_METEOR_SHOWER,REALISM_SETTING_MINIMAL,3.0
RANDOM_EVENT_METEOR_SHOWER,REALISM_SETTING_LIGHT,4.0
RANDOM_EVENT_METEOR_SHOWER,REALISM_SETTING_MODERATE,6.0
RANDOM_EVENT_METEOR_SHOWER,REALISM_SETTING_HEAVY,10.0
RANDOM_EVENT_METEOR_SHOWER,REALISM_SETTING_HYPERREAL,15.0
RANDOM_EVENT_JUNGLE_FIRE,REALISM_SETTING_MINIMAL,3.0
RANDOM_EVENT_JUNGLE_FIRE,REALISM_SETTING_LIGHT,4.0
RANDOM_EVENT_JUNGLE_FIRE,REALISM_SETTING_MODERATE,6.0
RANDOM_EVENT_JUNGLE_FIRE,REALISM_SETTING_HEAVY,10.0
RANDOM_EVENT_JUNGLE_FIRE,REALISM_SETTING_HYPERREAL,15.0
RANDOM_EVENT_FOREST_FIRE,REALISM_SETTING_MINIMAL,3.0
RANDOM_EVENT_FOREST_FIRE,REALISM_SETTING_LIGHT,4.0
RANDOM_EVENT_FOREST_FIRE,REALISM_SETTING_MODERATE,6.0
RANDOM_EVENT_FOREST_FIRE,REALISM_SETTING_HEAVY,10.0
RANDOM_EVENT_FOREST_FIRE,REALISM_SETTING_HYPERREAL,15.0
