Type,Tag
MODIFIER_PLAYER_DIPLOMACY_KEPT_PROMISE,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_NEW_WARMONGER,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_NO_PROMISE,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_ONE_SIDED_TRADES,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_PEACEFUL,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_RANDOM,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_SETTLED_CITIES,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_SIMPLE_MODIFIER,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_THIRD_PARTY_EFFECTS,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_TRADE_RELATIONS,DIPLOMACY_MODIFIER
MODIFIER_PLAYER_DIPLOMACY_WARMONGER,DIPLOMACY_MODIFIER
RESOURCE_BANANAS,CLASS_FOOD
RESOURCE_BANANAS,CLASS_GOLD
RESOURCE_BANANAS,CLASS_ORAL_TRADITION
RESOURCE_CATTLE,CLASS_FOOD
RESOURCE_COPPER,CLASS_GOLD
RESOURCE_COPPER,CLASS_PRODUCTION
RESOURCE_CRABS,CLASS_GOLD
RESOURCE_CRABS,CLASS_FOOD
RESOURCE_CRABS,CLASS_SEA
RESOURCE_DEER,CLASS_PRODUCTION
RESOURCE_DEER,CLASS_GOLD
RESOURCE_FISH,CLASS_FOOD
RESOURCE_FISH,CLASS_SEA
RESOURCE_RICE,CLASS_FOOD
RESOURCE_SHEEP,CLASS_FOOD
RESOURCE_STONE,CLASS_PRODUCTION
RESOURCE_WHEAT,CLASS_FOOD
RESOURCE_CITRUS,CLASS_FOOD
RESOURCE_CITRUS,CLASS_GOLD
RESOURCE_CITRUS,CLASS_ORAL_TRADITION
RESOURCE_COCOA,CLASS_GOLD
RESOURCE_COCOA,CLASS_GODDESS_OF_FESTIVALS
RESOURCE_COFFEE,CLASS_CULTURE
RESOURCE_COFFEE,CLASS_GOLD
RESOURCE_COFFEE,CLASS_GODDESS_OF_FESTIVALS
RESOURCE_COTTON,CLASS_GOLD
RESOURCE_COTTON,CLASS_ORAL_TRADITION
RESOURCE_DIAMONDS,CLASS_GOLD
RESOURCE_DIAMONDS,CLASS_PRODUCTION
RESOURCE_DYES,CLASS_GOLD
RESOURCE_DYES,CLASS_ORAL_TRADITION
RESOURCE_FURS,CLASS_FOOD
RESOURCE_FURS,CLASS_GOLD
RESOURCE_GYPSUM,CLASS_GOLD
RESOURCE_GYPSUM,CLASS_PRODUCTION
RESOURCE_INCENSE,CLASS_CULTURE
RESOURCE_INCENSE,CLASS_GOLD
RESOURCE_INCENSE,CLASS_GODDESS_OF_FESTIVALS
RESOURCE_IVORY,CLASS_GOLD
RESOURCE_IVORY,CLASS_PRODUCTION
RESOURCE_JADE,CLASS_CULTURE
RESOURCE_JADE,CLASS_PRODUCTION
RESOURCE_MARBLE,CLASS_CULTURE
RESOURCE_MARBLE,CLASS_PRODUCTION
RESOURCE_MERCURY,CLASS_SCIENCE
RESOURCE_MERCURY,CLASS_PRODUCTION
RESOURCE_PEARLS,CLASS_GOLD
RESOURCE_PEARLS,CLASS_FOOD
RESOURCE_PEARLS,CLASS_SEA
RESOURCE_SALT,CLASS_FOOD
RESOURCE_SALT,CLASS_GOLD
RESOURCE_SALT,CLASS_PRODUCTION
RESOURCE_SILK,CLASS_CULTURE
RESOURCE_SILK,CLASS_GOLD
RESOURCE_SILK,CLASS_ORAL_TRADITION
RESOURCE_SILVER,CLASS_GOLD
RESOURCE_SILVER,CLASS_PRODUCTION
RESOURCE_SPICES,CLASS_FOOD
RESOURCE_SPICES,CLASS_GOLD
RESOURCE_SPICES,CLASS_ORAL_TRADITION
RESOURCE_SUGAR,CLASS_FOOD
RESOURCE_SUGAR,CLASS_GOLD
RESOURCE_SUGAR,CLASS_ORAL_TRADITION
RESOURCE_TEA,CLASS_SCIENCE
RESOURCE_TEA,CLASS_GOLD
RESOURCE_TEA,CLASS_GODDESS_OF_FESTIVALS
RESOURCE_TOBACCO,CLASS_GOLD
RESOURCE_TOBACCO,CLASS_GODDESS_OF_FESTIVALS
RESOURCE_TRUFFLES,CLASS_GOLD
RESOURCE_WHALES,CLASS_PRODUCTION
RESOURCE_WHALES,CLASS_GOLD
RESOURCE_WHALES,CLASS_SEA
RESOURCE_WINE,CLASS_FOOD
RESOURCE_WINE,CLASS_GOLD
RESOURCE_WINE,CLASS_GODDESS_OF_FESTIVALS
RESOURCE_ALUMINUM,CLASS_PRODUCTION
RESOURCE_ALUMINUM,CLASS_SCIENCE
RESOURCE_COAL,CLASS_PRODUCTION
RESOURCE_HORSES,CLASS_FOOD
RESOURCE_HORSES,CLASS_PRODUCTION
RESOURCE_IRON,CLASS_PRODUCTION
RESOURCE_IRON,CLASS_SCIENCE
RESOURCE_NITER,CLASS_FOOD
RESOURCE_NITER,CLASS_PRODUCTION
RESOURCE_OIL,CLASS_PRODUCTION
RESOURCE_URANIUM,CLASS_PRODUCTION
RESOURCE_URANIUM,CLASS_SCIENCE
ABILITY_ANTI_CAVALRY,CLASS_ANTI_CAVALRY
ABILITY_HEAVY_CHARIOT,CLASS_HEAVY_CHARIOT
ABILITY_IGNORE_TERRAIN_COST,CLASS_HELICOPTER
ABILITY_IGNORE_CROSSING_RIVERS_COST,CLASS_HELICOPTER
ABILITY_ARCHAEOLOGIST_ENTER_FOREIGN_LANDS,CLASS_ARCHAEOLOGIST
ABILITY_RELIGIOUS_ENTER_FOREIGN_LANDS,CLASS_RELIGIOUS
ABILITY_RELIGIOUS_IGNORE_TERRAIN_COST,CLASS_RELIGIOUS_ALL
ABILITY_IGNORE_ZOC,CLASS_HEAVY_CAVALRY
ABILITY_IGNORE_ZOC,CLASS_NAVAL_RAIDER
ABILITY_IGNORE_ZOC,CLASS_LONGSHIP
ABILITY_IGNORE_ZOC,CLASS_WAR_CART
ABILITY_IGNORE_ZOC,CLASS_RANGED_CAVALRY
ABILITY_IGNORE_ZOC,CLASS_LIGHT_CAVALRY
ABILITY_LIGHT_CHARIOT,CLASS_LIGHT_CHARIOT
ABILITY_NO_MOVE_AND_SHOOT,CLASS_SIEGE_SETUP
ABILITY_ANTI_SPEAR,CLASS_MELEE
ABILITY_RECEIVE_RANGE_BONUS,CLASS_FORWARD_OBSERVER
ABILITY_UNOBSTRUCTED_VIEW,CLASS_OBSERVATION
ABILITY_UNOBSTRUCTED_VIEW,CLASS_AIRCRAFT
ABILITY_OBSERVATION_STRENGTH_BONUS,CLASS_OBSERVATION
ABILITY_RELIGIOUS_CANNOT_ATTACK,CLASS_MISSIONARY
ABILITY_FRIENDLY_TERRITORY_RELIGIOUS,CLASS_INQUISITOR
ABILITY_NO_FOREIGN_SPREAD,CLASS_INQUISITOR
ABILITY_OLIGARCHY_MELEE_BUFF,CLASS_MELEE
ABILITY_OLIGARCHY_MELEE_BUFF,CLASS_ANTI_CAVALRY
ABILITY_OLIGARCHY_MELEE_BUFF,CLASS_WARRIOR_MONK
ABILITY_THEOCRACY_RELIGIOUS_BUFF,CLASS_RELIGIOUS
ABILITY_THEOCRACY_RELIGIOUS_BUFF,CLASS_INQUISITOR
ABILITY_RELIGIOUS_ORDERS_BUFF,CLASS_RELIGIOUS
ABILITY_RELIGIOUS_ORDERS_BUFF,CLASS_INQUISITOR
ABILITY_FASCISM_ATTACK_BUFF,CLASS_RECON
ABILITY_FASCISM_ATTACK_BUFF,CLASS_MELEE
ABILITY_FASCISM_ATTACK_BUFF,CLASS_RANGED
ABILITY_FASCISM_ATTACK_BUFF,CLASS_SIEGE
ABILITY_FASCISM_ATTACK_BUFF,CLASS_HEAVY_CAVALRY
ABILITY_FASCISM_ATTACK_BUFF,CLASS_LIGHT_CAVALRY
ABILITY_FASCISM_ATTACK_BUFF,CLASS_RANGED_CAVALRY
ABILITY_FASCISM_ATTACK_BUFF,CLASS_ANTI_CAVALRY
ABILITY_FASCISM_ATTACK_BUFF,CLASS_HEAVY_CHARIOT
ABILITY_FASCISM_ATTACK_BUFF,CLASS_LIGHT_CHARIOT
ABILITY_FASCISM_ATTACK_BUFF,CLASS_NAVAL_MELEE
ABILITY_FASCISM_ATTACK_BUFF,CLASS_NAVAL_RANGED
ABILITY_FASCISM_ATTACK_BUFF,CLASS_NAVAL_RAIDER
ABILITY_FASCISM_ATTACK_BUFF,CLASS_AIRCRAFT
ABILITY_COMMUNISM_DEFENSE_BUFF,CLASS_RECON
ABILITY_COMMUNISM_DEFENSE_BUFF,CLASS_MELEE
ABILITY_COMMUNISM_DEFENSE_BUFF,CLASS_RANGED
ABILITY_COMMUNISM_DEFENSE_BUFF,CLASS_SIEGE
ABILITY_COMMUNISM_DEFENSE_BUFF,CLASS_HEAVY_CAVALRY
ABILITY_COMMUNISM_DEFENSE_BUFF,CLASS_LIGHT_CAVALRY
ABILITY_COMMUNISM_DEFENSE_BUFF,CLASS_RANGED_CAVALRY
ABILITY_COMMUNISM_DEFENSE_BUFF,CLASS_ANTI_CAVALRY
ABILITY_COMMUNISM_DEFENSE_BUFF,CLASS_HEAVY_CHARIOT
ABILITY_COMMUNISM_DEFENSE_BUFF,CLASS_LIGHT_CHARIOT
ABILITY_MEDIC_HEAL,CLASS_MEDIC
ABILITY_STEALTH,CLASS_STEALTH
ABILITY_SEE_HIDDEN,CLASS_REVEAL_STEALTH
ABILITY_COASTAL_RAID,CLASS_NAVAL_RAIDER
ABILITY_MELEE_COASTAL_RAID,CLASS_NAVAL_MELEE
ABILITY_BYPASS_COMBAT_UNIT,CLASS_AIRCRAFT
ABILITY_HEAL_NEUTRAL_TERRITORY,CLASS_NAVAL_MELEE
ABILITY_TRADE_ROUTE_PLUNDER_IMMUNITY_SEA,CLASS_TRADER
ABILITY_BERSERKER_RAGE,CLASS_MELEE_BERSERKER
ABILITY_BERSERKER_MOVEMENT,CLASS_MELEE_BERSERKER
ABILITY_LONGSHIP_MOVEMENT,CLASS_LONGSHIP
ABILITY_PRIZE_SHIPS,CLASS_CAPTURE_SHIPS
ABILITY_CAPTIVE_WORKERS,CLASS_CAPTURE_WORKER
ABILITY_BALKAN_CAVALRY,CLASS_HEAVY_CAVALRY
ABILITY_BALKAN_CAVALRY,CLASS_LIGHT_CAVALRY
ABILITY_ALTITUDE_TRAINING,CLASS_RELIGIOUS_ALL
ABILITY_COSSACK,CLASS_COSSACK
ABILITY_REDCOAT,CLASS_REDCOAT
ABILITY_VARU,CLASS_VARU
ABILITY_NAGAO,CLASS_NAGAO
ABILITY_CONQUISTADOR,CLASS_CONQUISTADOR
ABILITY_GARDE,CLASS_GARDE
ABILITY_HOPLITE,CLASS_HOPLITE
ABILITY_UBOAT,CLASS_UBOAT
ABILITY_ROUGH_RIDER,CLASS_ROUGH_RIDER
ABILITY_MAMLUK,CLASS_MAMLUK
ABILITY_SAMURAI,CLASS_SAMURAI
ABILITY_MUSTANG,CLASS_MUSTANG
ABILITY_PUSHBACK,CLASS_PUSHBACK
ABILITY_DIGGER,CLASS_DIGGER
ABILITY_GREAT_ADMIRAL_MOVEMENT,CLASS_NAVAL_MELEE
ABILITY_GREAT_ADMIRAL_MOVEMENT,CLASS_NAVAL_RANGED
ABILITY_GREAT_ADMIRAL_MOVEMENT,CLASS_NAVAL_RAIDER
ABILITY_GREAT_ADMIRAL_MOVEMENT,CLASS_NAVAL_CARRIER
ABILITY_GREAT_ADMIRAL_STRENGTH,CLASS_NAVAL_MELEE
ABILITY_GREAT_ADMIRAL_STRENGTH,CLASS_NAVAL_RANGED
ABILITY_GREAT_ADMIRAL_STRENGTH,CLASS_NAVAL_RAIDER
ABILITY_GREAT_ADMIRAL_STRENGTH,CLASS_NAVAL_CARRIER
ABILITY_GREAT_GENERAL_MOVEMENT,CLASS_RECON
ABILITY_GREAT_GENERAL_MOVEMENT,CLASS_MELEE
ABILITY_GREAT_GENERAL_MOVEMENT,CLASS_RANGED
ABILITY_GREAT_GENERAL_MOVEMENT,CLASS_SIEGE
ABILITY_GREAT_GENERAL_MOVEMENT,CLASS_HEAVY_CAVALRY
ABILITY_GREAT_GENERAL_MOVEMENT,CLASS_LIGHT_CAVALRY
ABILITY_GREAT_GENERAL_MOVEMENT,CLASS_RANGED_CAVALRY
ABILITY_GREAT_GENERAL_MOVEMENT,CLASS_ANTI_CAVALRY
ABILITY_GREAT_GENERAL_MOVEMENT,CLASS_HEAVY_CHARIOT
ABILITY_GREAT_GENERAL_MOVEMENT,CLASS_LIGHT_CHARIOT
ABILITY_GREAT_GENERAL_MOVEMENT,CLASS_WARRIOR_MONK
ABILITY_GREAT_GENERAL_STRENGTH,CLASS_RECON
ABILITY_GREAT_GENERAL_STRENGTH,CLASS_MELEE
ABILITY_GREAT_GENERAL_STRENGTH,CLASS_RANGED
ABILITY_GREAT_GENERAL_STRENGTH,CLASS_SIEGE
ABILITY_GREAT_GENERAL_STRENGTH,CLASS_HEAVY_CAVALRY
ABILITY_GREAT_GENERAL_STRENGTH,CLASS_LIGHT_CAVALRY
ABILITY_GREAT_GENERAL_STRENGTH,CLASS_RANGED_CAVALRY
ABILITY_GREAT_GENERAL_STRENGTH,CLASS_ANTI_CAVALRY
ABILITY_GREAT_GENERAL_STRENGTH,CLASS_HEAVY_CHARIOT
ABILITY_GREAT_GENERAL_STRENGTH,CLASS_LIGHT_CHARIOT
ABILITY_GREAT_GENERAL_STRENGTH,CLASS_WARRIOR_MONK
ABILITY_BARRACKS_TRAINED_UNIT_XP,CLASS_MELEE
ABILITY_BARRACKS_TRAINED_UNIT_XP,CLASS_RANGED
ABILITY_BARRACKS_TRAINED_UNIT_XP,CLASS_ANTI_CAVALRY
ABILITY_STABLE_TRAINED_UNIT_XP,CLASS_LIGHT_CAVALRY
ABILITY_STABLE_TRAINED_UNIT_XP,CLASS_HEAVY_CAVALRY
ABILITY_STABLE_TRAINED_UNIT_XP,CLASS_SIEGE
ABILITY_ARMORY_TRAINED_UNIT_XP,CLASS_MELEE
ABILITY_ARMORY_TRAINED_UNIT_XP,CLASS_RANGED
ABILITY_ARMORY_TRAINED_UNIT_XP,CLASS_ANTI_CAVALRY
ABILITY_ARMORY_TRAINED_UNIT_XP,CLASS_LIGHT_CAVALRY
ABILITY_ARMORY_TRAINED_UNIT_XP,CLASS_HEAVY_CAVALRY
ABILITY_ARMORY_TRAINED_UNIT_XP,CLASS_SIEGE
ABILITY_MILITARY_ACADEMY_TRAINED_UNIT_XP,CLASS_MELEE
ABILITY_MILITARY_ACADEMY_TRAINED_UNIT_XP,CLASS_RANGED
ABILITY_MILITARY_ACADEMY_TRAINED_UNIT_XP,CLASS_ANTI_CAVALRY
ABILITY_MILITARY_ACADEMY_TRAINED_UNIT_XP,CLASS_LIGHT_CAVALRY
ABILITY_MILITARY_ACADEMY_TRAINED_UNIT_XP,CLASS_HEAVY_CAVALRY
ABILITY_MILITARY_ACADEMY_TRAINED_UNIT_XP,CLASS_SIEGE
ABILITY_LIGHTHOUSE_TRAINED_UNIT_XP,CLASS_NAVAL_MELEE
ABILITY_LIGHTHOUSE_TRAINED_UNIT_XP,CLASS_NAVAL_RANGED
ABILITY_LIGHTHOUSE_TRAINED_UNIT_XP,CLASS_NAVAL_RAIDER
ABILITY_LIGHTHOUSE_TRAINED_UNIT_XP,CLASS_NAVAL_CARRIER
ABILITY_SHIPYARD_TRAINED_UNIT_XP,CLASS_NAVAL_MELEE
ABILITY_SHIPYARD_TRAINED_UNIT_XP,CLASS_NAVAL_RANGED
ABILITY_SHIPYARD_TRAINED_UNIT_XP,CLASS_NAVAL_RAIDER
ABILITY_SHIPYARD_TRAINED_UNIT_XP,CLASS_NAVAL_CARRIER
ABILITY_SEAPORT_TRAINED_UNIT_XP,CLASS_NAVAL_MELEE
ABILITY_SEAPORT_TRAINED_UNIT_XP,CLASS_NAVAL_RANGED
ABILITY_SEAPORT_TRAINED_UNIT_XP,CLASS_NAVAL_RAIDER
ABILITY_SEAPORT_TRAINED_UNIT_XP,CLASS_NAVAL_CARRIER
ABILITY_HANGAR_TRAINED_AIRCRAFT_XP,CLASS_AIRCRAFT
ABILITY_AIRPORT_TRAINED_AIRCRAFT_XP,CLASS_AIRCRAFT
ABILITY_ROYAL_NAVY_DOCKYARD_MOVEMENT_BONUS,CLASS_NAVAL_MELEE
ABILITY_ROYAL_NAVY_DOCKYARD_MOVEMENT_BONUS,CLASS_NAVAL_RANGED
ABILITY_ROYAL_NAVY_DOCKYARD_MOVEMENT_BONUS,CLASS_NAVAL_RAIDER
ABILITY_ROYAL_NAVY_DOCKYARD_MOVEMENT_BONUS,CLASS_NAVAL_CARRIER
ABILITY_ROMAN_LEGION_BUILD,CLASS_LEGION
ABILITY_GREAT_LIGHTHOUSE_MOVEMENT,CLASS_NAVAL_MELEE
ABILITY_GREAT_LIGHTHOUSE_MOVEMENT,CLASS_NAVAL_RANGED
ABILITY_GREAT_LIGHTHOUSE_MOVEMENT,CLASS_NAVAL_RAIDER
ABILITY_GREAT_LIGHTHOUSE_MOVEMENT,CLASS_NAVAL_CARRIER
ABILITY_GREAT_LIGHTHOUSE_EMBARKED_MOVEMENT,CLASS_RECON
ABILITY_GREAT_LIGHTHOUSE_EMBARKED_MOVEMENT,CLASS_MELEE
ABILITY_GREAT_LIGHTHOUSE_EMBARKED_MOVEMENT,CLASS_RANGED
ABILITY_GREAT_LIGHTHOUSE_EMBARKED_MOVEMENT,CLASS_ANTI_CAVALRY
ABILITY_GREAT_LIGHTHOUSE_EMBARKED_MOVEMENT,CLASS_LIGHT_CAVALRY
ABILITY_GREAT_LIGHTHOUSE_EMBARKED_MOVEMENT,CLASS_HEAVY_CAVALRY
ABILITY_GREAT_LIGHTHOUSE_EMBARKED_MOVEMENT,CLASS_SIEGE
ABILITY_GREAT_LIGHTHOUSE_EMBARKED_MOVEMENT,CLASS_LANDCIVILIAN
ABILITY_GREAT_LIGHTHOUSE_EMBARKED_MOVEMENT,CLASS_RELIGIOUS
ABILITY_RAJENDRA_CHOLA_PLUNDER_BONUS,CLASS_NAVAL_MELEE
ABILITY_RAJENDRA_CHOLA_PLUNDER_BONUS,CLASS_NAVAL_RANGED
ABILITY_RAJENDRA_CHOLA_PLUNDER_BONUS,CLASS_NAVAL_RAIDER
ABILITY_RAJENDRA_CHOLA_PLUNDER_BONUS,CLASS_NAVAL_CARRIER
ABILITY_FRANCIS_DRAKE_PLUNDER_BONUS,CLASS_NAVAL_MELEE
ABILITY_FRANCIS_DRAKE_PLUNDER_BONUS,CLASS_NAVAL_RANGED
ABILITY_FRANCIS_DRAKE_PLUNDER_BONUS,CLASS_NAVAL_RAIDER
ABILITY_FRANCIS_DRAKE_PLUNDER_BONUS,CLASS_NAVAL_CARRIER
ABILITY_CHING_SHIH_PLUNDER_BONUS,CLASS_NAVAL_MELEE
ABILITY_CHING_SHIH_PLUNDER_BONUS,CLASS_NAVAL_RANGED
ABILITY_CHING_SHIH_PLUNDER_BONUS,CLASS_NAVAL_RAIDER
ABILITY_CHING_SHIH_PLUNDER_BONUS,CLASS_NAVAL_CARRIER
ABILITY_CLANCY_FERNANDO_BONUS_EXPERIENCE,CLASS_NAVAL_MELEE
ABILITY_CLANCY_FERNANDO_BONUS_EXPERIENCE,CLASS_NAVAL_RANGED
ABILITY_CLANCY_FERNANDO_BONUS_EXPERIENCE,CLASS_NAVAL_RAIDER
ABILITY_CLANCY_FERNANDO_BONUS_EXPERIENCE,CLASS_NAVAL_CARRIER
ABILITY_HORATIO_NELSON_FLANKING_BONUS,CLASS_NAVAL_MELEE
ABILITY_HORATIO_NELSON_FLANKING_BONUS,CLASS_NAVAL_RANGED
ABILITY_HORATIO_NELSON_FLANKING_BONUS,CLASS_NAVAL_RAIDER
ABILITY_HORATIO_NELSON_FLANKING_BONUS,CLASS_NAVAL_CARRIER
ABILITY_LASKARINA_BOUBOULINA_BONUS_EXPERIENCE,CLASS_NAVAL_MELEE
ABILITY_LASKARINA_BOUBOULINA_BONUS_EXPERIENCE,CLASS_NAVAL_RANGED
ABILITY_LASKARINA_BOUBOULINA_BONUS_EXPERIENCE,CLASS_NAVAL_RAIDER
ABILITY_LASKARINA_BOUBOULINA_BONUS_EXPERIENCE,CLASS_NAVAL_CARRIER
ABILITY_SERGEY_GORSHKOV_BONUS_EXPERIENCE,CLASS_NAVAL_MELEE
ABILITY_SERGEY_GORSHKOV_BONUS_EXPERIENCE,CLASS_NAVAL_RANGED
ABILITY_SERGEY_GORSHKOV_BONUS_EXPERIENCE,CLASS_NAVAL_RAIDER
ABILITY_SERGEY_GORSHKOV_BONUS_EXPERIENCE,CLASS_NAVAL_CARRIER
ABILITY_GEORGY_ZHUKOV_FLANKING_BONUS,CLASS_RECON
ABILITY_GEORGY_ZHUKOV_FLANKING_BONUS,CLASS_MELEE
ABILITY_GEORGY_ZHUKOV_FLANKING_BONUS,CLASS_RANGED
ABILITY_GEORGY_ZHUKOV_FLANKING_BONUS,CLASS_ANTI_CAVALRY
ABILITY_GEORGY_ZHUKOV_FLANKING_BONUS,CLASS_LIGHT_CAVALRY
ABILITY_GEORGY_ZHUKOV_FLANKING_BONUS,CLASS_HEAVY_CAVALRY
ABILITY_GEORGY_ZHUKOV_FLANKING_BONUS,CLASS_SIEGE
ABILITY_JOHN_MONASH_BONUS_EXPERIENCE,CLASS_RECON
ABILITY_JOHN_MONASH_BONUS_EXPERIENCE,CLASS_MELEE
ABILITY_JOHN_MONASH_BONUS_EXPERIENCE,CLASS_RANGED
ABILITY_JOHN_MONASH_BONUS_EXPERIENCE,CLASS_ANTI_CAVALRY
ABILITY_JOHN_MONASH_BONUS_EXPERIENCE,CLASS_LIGHT_CAVALRY
ABILITY_JOHN_MONASH_BONUS_EXPERIENCE,CLASS_HEAVY_CAVALRY
ABILITY_JOHN_MONASH_BONUS_EXPERIENCE,CLASS_SIEGE
ABILITY_VIJAYA_WIMALARATNE_BONUS_EXPERIENCE,CLASS_RECON
ABILITY_VIJAYA_WIMALARATNE_BONUS_EXPERIENCE,CLASS_MELEE
ABILITY_VIJAYA_WIMALARATNE_BONUS_EXPERIENCE,CLASS_RANGED
ABILITY_VIJAYA_WIMALARATNE_BONUS_EXPERIENCE,CLASS_ANTI_CAVALRY
ABILITY_VIJAYA_WIMALARATNE_BONUS_EXPERIENCE,CLASS_LIGHT_CAVALRY
ABILITY_VIJAYA_WIMALARATNE_BONUS_EXPERIENCE,CLASS_HEAVY_CAVALRY
ABILITY_VIJAYA_WIMALARATNE_BONUS_EXPERIENCE,CLASS_SIEGE
ABILITY_HOJO_TOKIMUNE_COASTAL_COMBAT_BONUS,CLASS_RECON
ABILITY_HOJO_TOKIMUNE_COASTAL_COMBAT_BONUS,CLASS_MELEE
ABILITY_HOJO_TOKIMUNE_COASTAL_COMBAT_BONUS,CLASS_RANGED
ABILITY_HOJO_TOKIMUNE_COASTAL_COMBAT_BONUS,CLASS_ANTI_CAVALRY
ABILITY_HOJO_TOKIMUNE_COASTAL_COMBAT_BONUS,CLASS_LIGHT_CAVALRY
ABILITY_HOJO_TOKIMUNE_COASTAL_COMBAT_BONUS,CLASS_HEAVY_CAVALRY
ABILITY_HOJO_TOKIMUNE_COASTAL_COMBAT_BONUS,CLASS_SIEGE
ABILITY_HOJO_TOKIMUNE_SHALLOW_WATER_COMBAT_BONUS,CLASS_NAVAL_MELEE
ABILITY_HOJO_TOKIMUNE_SHALLOW_WATER_COMBAT_BONUS,CLASS_NAVAL_RANGED
ABILITY_HOJO_TOKIMUNE_SHALLOW_WATER_COMBAT_BONUS,CLASS_NAVAL_RAIDER
ABILITY_HOJO_TOKIMUNE_SHALLOW_WATER_COMBAT_BONUS,CLASS_NAVAL_CARRIER
ABILITY_MONTEZUMA_COMBAT_BONUS_PER_LUXURY,CLASS_RECON
ABILITY_MONTEZUMA_COMBAT_BONUS_PER_LUXURY,CLASS_MELEE
ABILITY_MONTEZUMA_COMBAT_BONUS_PER_LUXURY,CLASS_RANGED
ABILITY_MONTEZUMA_COMBAT_BONUS_PER_LUXURY,CLASS_ANTI_CAVALRY
ABILITY_MONTEZUMA_COMBAT_BONUS_PER_LUXURY,CLASS_LIGHT_CAVALRY
ABILITY_MONTEZUMA_COMBAT_BONUS_PER_LUXURY,CLASS_HEAVY_CAVALRY
ABILITY_MONTEZUMA_COMBAT_BONUS_PER_LUXURY,CLASS_SIEGE
ABILITY_MONTEZUMA_COMBAT_BONUS_PER_LUXURY,CLASS_NAVAL_MELEE
ABILITY_MONTEZUMA_COMBAT_BONUS_PER_LUXURY,CLASS_NAVAL_RANGED
ABILITY_MONTEZUMA_COMBAT_BONUS_PER_LUXURY,CLASS_NAVAL_RAIDER
ABILITY_MONTEZUMA_COMBAT_BONUS_PER_LUXURY,CLASS_NAVAL_CARRIER
ABILITY_MONTEZUMA_COMBAT_BONUS_PER_LUXURY,CLASS_AIRCRAFT
ABILITY_PHILIP_II_COMBAT_BONUS_OTHER_RELIGION,CLASS_RECON
