ImprovementType,TerrainType,PrereqTech,PrereqCivic
IMPROVEMENT_CHATEAU,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_CHATEAU,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_CHATEAU,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_CHATEAU,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_COLOSSAL_HEAD,TERRAIN_DESERT,,
IMPROVEMENT_COLOSSAL_HEAD,TERRAIN_TUNDRA,,
IMPROVEMENT_COLOSSAL_HEAD,TERRAIN_PLAINS,,
IMPROVEMENT_COLOSSAL_HEAD,TERRAIN_GRASS,,
IMPROVEMENT_COLOSSAL_HEAD,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_COLOSSAL_HEAD,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_COLOSSAL_HEAD,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_COLOSSAL_HEAD,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_GREAT_WALL,TERRAIN_DESERT,,
IMPROVEMENT_GREAT_WALL,TERRAIN_TUNDRA,,
IMPROVEMENT_GREAT_WALL,TERRAIN_PLAINS,,
IMPROVEMENT_GREAT_WALL,TERRAIN_GRASS,,
IMPROVEMENT_GREAT_WALL,TERRAIN_SNOW,,
IMPROVEMENT_GREAT_WALL,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_GREAT_WALL,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_GREAT_WALL,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_GREAT_WALL,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_GREAT_WALL,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_KURGAN,TERRAIN_DESERT,,
IMPROVEMENT_KURGAN,TERRAIN_TUNDRA,,
IMPROVEMENT_KURGAN,TERRAIN_PLAINS,,
IMPROVEMENT_KURGAN,TERRAIN_GRASS,,
IMPROVEMENT_KURGAN,TERRAIN_SNOW,,
IMPROVEMENT_MISSION,TERRAIN_DESERT,,
IMPROVEMENT_MISSION,TERRAIN_TUNDRA,,
IMPROVEMENT_MISSION,TERRAIN_PLAINS,,
IMPROVEMENT_MISSION,TERRAIN_GRASS,,
IMPROVEMENT_MISSION,TERRAIN_SNOW,,
IMPROVEMENT_MISSION,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_MISSION,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_MISSION,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_MISSION,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_MISSION,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_SPHINX,TERRAIN_DESERT,,
IMPROVEMENT_SPHINX,TERRAIN_TUNDRA,,
IMPROVEMENT_SPHINX,TERRAIN_PLAINS,,
IMPROVEMENT_SPHINX,TERRAIN_GRASS,,
IMPROVEMENT_SPHINX,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_SPHINX,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_SPHINX,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_SPHINX,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_STEPWELL,TERRAIN_DESERT,,
IMPROVEMENT_STEPWELL,TERRAIN_TUNDRA,,
IMPROVEMENT_STEPWELL,TERRAIN_PLAINS,,
IMPROVEMENT_STEPWELL,TERRAIN_GRASS,,
IMPROVEMENT_STEPWELL,TERRAIN_SNOW,,
IMPROVEMENT_ZIGGURAT,TERRAIN_DESERT,,
IMPROVEMENT_ZIGGURAT,TERRAIN_TUNDRA,,
IMPROVEMENT_ZIGGURAT,TERRAIN_PLAINS,,
IMPROVEMENT_ZIGGURAT,TERRAIN_GRASS,,
IMPROVEMENT_ZIGGURAT,TERRAIN_SNOW,,
IMPROVEMENT_FORT,TERRAIN_DESERT,,
IMPROVEMENT_FORT,TERRAIN_TUNDRA,,
IMPROVEMENT_FORT,TERRAIN_PLAINS,,
IMPROVEMENT_FORT,TERRAIN_GRASS,,
IMPROVEMENT_FORT,TERRAIN_SNOW,,
IMPROVEMENT_FORT,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_FORT,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_FORT,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_FORT,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_FORT,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_AIRSTRIP,TERRAIN_DESERT,,
IMPROVEMENT_AIRSTRIP,TERRAIN_TUNDRA,,
IMPROVEMENT_AIRSTRIP,TERRAIN_PLAINS,,
IMPROVEMENT_AIRSTRIP,TERRAIN_GRASS,,
IMPROVEMENT_AIRSTRIP,TERRAIN_SNOW,,
IMPROVEMENT_ROMAN_FORT,TERRAIN_DESERT,,
IMPROVEMENT_ROMAN_FORT,TERRAIN_TUNDRA,,
IMPROVEMENT_ROMAN_FORT,TERRAIN_PLAINS,,
IMPROVEMENT_ROMAN_FORT,TERRAIN_GRASS,,
IMPROVEMENT_ROMAN_FORT,TERRAIN_SNOW,,
IMPROVEMENT_ROMAN_FORT,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_ROMAN_FORT,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_ROMAN_FORT,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_ROMAN_FORT,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_ROMAN_FORT,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_KAMPUNG,TERRAIN_COAST,,
IMPROVEMENT_ALCAZAR,TERRAIN_DESERT,,
IMPROVEMENT_ALCAZAR,TERRAIN_TUNDRA,,
IMPROVEMENT_ALCAZAR,TERRAIN_PLAINS,,
IMPROVEMENT_ALCAZAR,TERRAIN_GRASS,,
IMPROVEMENT_ALCAZAR,TERRAIN_SNOW,,
IMPROVEMENT_ALCAZAR,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_ALCAZAR,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_ALCAZAR,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_ALCAZAR,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_ALCAZAR,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_MONASTERY,TERRAIN_DESERT,,
IMPROVEMENT_MONASTERY,TERRAIN_TUNDRA,,
IMPROVEMENT_MONASTERY,TERRAIN_PLAINS,,
IMPROVEMENT_MONASTERY,TERRAIN_GRASS,,
IMPROVEMENT_MONASTERY,TERRAIN_SNOW,,
IMPROVEMENT_MONASTERY,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_MONASTERY,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_MONASTERY,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_MONASTERY,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_MONASTERY,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_PYRAMID,TERRAIN_DESERT,,
IMPROVEMENT_PYRAMID,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_PAIRIDAEZA,TERRAIN_GRASS,,
IMPROVEMENT_PAIRIDAEZA,TERRAIN_PLAINS,,
IMPROVEMENT_PAIRIDAEZA,TERRAIN_DESERT,,
IMPROVEMENT_PAIRIDAEZA,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_PAIRIDAEZA,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_PAIRIDAEZA,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_OUTBACK_STATION,TERRAIN_GRASS,,
IMPROVEMENT_OUTBACK_STATION,TERRAIN_PLAINS,,
IMPROVEMENT_OUTBACK_STATION,TERRAIN_DESERT,,
IMPROVEMENT_OUTBACK_STATION,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_MEKEWAP,TERRAIN_DESERT,,
IMPROVEMENT_MEKEWAP,TERRAIN_TUNDRA,,
IMPROVEMENT_MEKEWAP,TERRAIN_PLAINS,,
IMPROVEMENT_MEKEWAP,TERRAIN_GRASS,,
IMPROVEMENT_MEKEWAP,TERRAIN_SNOW,,
IMPROVEMENT_MEKEWAP,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_MEKEWAP,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_MEKEWAP,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_MEKEWAP,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_MEKEWAP,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_CHEMAMULL,TERRAIN_DESERT,,
IMPROVEMENT_CHEMAMULL,TERRAIN_TUNDRA,,
IMPROVEMENT_CHEMAMULL,TERRAIN_PLAINS,,
IMPROVEMENT_CHEMAMULL,TERRAIN_GRASS,,
IMPROVEMENT_CHEMAMULL,TERRAIN_SNOW,,
IMPROVEMENT_CHEMAMULL,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_CHEMAMULL,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_CHEMAMULL,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_CHEMAMULL,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_CHEMAMULL,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_GOLF_COURSE,TERRAIN_TUNDRA,,
IMPROVEMENT_GOLF_COURSE,TERRAIN_PLAINS,,
IMPROVEMENT_GOLF_COURSE,TERRAIN_GRASS,,
IMPROVEMENT_GOLF_COURSE,TERRAIN_SNOW,,
IMPROVEMENT_GOLF_COURSE,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_GOLF_COURSE,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_GOLF_COURSE,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_GOLF_COURSE,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_POLDER,TERRAIN_COAST,,
IMPROVEMENT_FISHERY,TERRAIN_COAST,,
IMPROVEMENT_CITY_PARK,TERRAIN_DESERT,,
IMPROVEMENT_CITY_PARK,TERRAIN_TUNDRA,,
IMPROVEMENT_CITY_PARK,TERRAIN_PLAINS,,
IMPROVEMENT_CITY_PARK,TERRAIN_GRASS,,
IMPROVEMENT_CITY_PARK,TERRAIN_SNOW,,
IMPROVEMENT_CITY_PARK,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_CITY_PARK,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_CITY_PARK,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_CITY_PARK,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_CITY_PARK,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_SEASTEAD,TERRAIN_COAST,,
IMPROVEMENT_SEASTEAD,TERRAIN_OCEAN,,
IMPROVEMENT_SOLAR_FARM,TERRAIN_PLAINS,,
IMPROVEMENT_SOLAR_FARM,TERRAIN_GRASS,,
IMPROVEMENT_SOLAR_FARM,TERRAIN_DESERT,,
IMPROVEMENT_SOLAR_FARM,TERRAIN_TUNDRA,,
IMPROVEMENT_OFFSHORE_WIND_FARM,TERRAIN_COAST,,
IMPROVEMENT_WIND_FARM,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_WIND_FARM,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_WIND_FARM,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_WIND_FARM,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_WIND_FARM,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_MOAI,TERRAIN_PLAINS,,
IMPROVEMENT_MOAI,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_MOAI,TERRAIN_GRASS,,
IMPROVEMENT_MOAI,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_MOUND,TERRAIN_PLAINS,,
IMPROVEMENT_MOUND,TERRAIN_GRASS,,
IMPROVEMENT_MOUND,TERRAIN_DESERT,,
IMPROVEMENT_MOUND,TERRAIN_TUNDRA,,
IMPROVEMENT_NAZCA_LINE,TERRAIN_DESERT,,
IMPROVEMENT_SKI_RESORT,TERRAIN_GRASS_MOUNTAIN,,
IMPROVEMENT_SKI_RESORT,TERRAIN_PLAINS_MOUNTAIN,,
IMPROVEMENT_SKI_RESORT,TERRAIN_DESERT_MOUNTAIN,,
IMPROVEMENT_SKI_RESORT,TERRAIN_TUNDRA_MOUNTAIN,,
IMPROVEMENT_SKI_RESORT,TERRAIN_SNOW_MOUNTAIN,,
IMPROVEMENT_MOUNTAIN_TUNNEL,TERRAIN_GRASS_MOUNTAIN,,
IMPROVEMENT_MOUNTAIN_TUNNEL,TERRAIN_PLAINS_MOUNTAIN,,
IMPROVEMENT_MOUNTAIN_TUNNEL,TERRAIN_DESERT_MOUNTAIN,,
IMPROVEMENT_MOUNTAIN_TUNNEL,TERRAIN_TUNDRA_MOUNTAIN,,
IMPROVEMENT_MOUNTAIN_TUNNEL,TERRAIN_SNOW_MOUNTAIN,,
IMPROVEMENT_ICE_HOCKEY_RINK,TERRAIN_TUNDRA,,
IMPROVEMENT_ICE_HOCKEY_RINK,TERRAIN_SNOW,,
IMPROVEMENT_ICE_HOCKEY_RINK,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_ICE_HOCKEY_RINK,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_TERRACE_FARM,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_TERRACE_FARM,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_TERRACE_FARM,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_MAORI_PA,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_MAORI_PA,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_MAORI_PA,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_MAORI_PA,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_MAORI_PA,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_OPEN_AIR_MUSEUM,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_OPEN_AIR_MUSEUM,TERRAIN_PLAINS,,
IMPROVEMENT_OPEN_AIR_MUSEUM,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_OPEN_AIR_MUSEUM,TERRAIN_GRASS,,
IMPROVEMENT_OPEN_AIR_MUSEUM,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_OPEN_AIR_MUSEUM,TERRAIN_DESERT,,
IMPROVEMENT_OPEN_AIR_MUSEUM,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_OPEN_AIR_MUSEUM,TERRAIN_TUNDRA,,
IMPROVEMENT_OPEN_AIR_MUSEUM,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_OPEN_AIR_MUSEUM,TERRAIN_SNOW,,
IMPROVEMENT_MOUNTAIN_ROAD,TERRAIN_GRASS_MOUNTAIN,,
IMPROVEMENT_MOUNTAIN_ROAD,TERRAIN_PLAINS_MOUNTAIN,,
IMPROVEMENT_MOUNTAIN_ROAD,TERRAIN_DESERT_MOUNTAIN,,
IMPROVEMENT_MOUNTAIN_ROAD,TERRAIN_TUNDRA_MOUNTAIN,,
IMPROVEMENT_MOUNTAIN_ROAD,TERRAIN_SNOW_MOUNTAIN,,
IMPROVEMENT_BATEY,TERRAIN_PLAINS,,
IMPROVEMENT_BATEY,TERRAIN_GRASS,,
IMPROVEMENT_BATEY,TERRAIN_DESERT,,
IMPROVEMENT_BATEY,TERRAIN_TUNDRA,,
IMPROVEMENT_BATEY,TERRAIN_SNOW,,
IMPROVEMENT_HACIENDA,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_HACIENDA,TERRAIN_PLAINS,,
IMPROVEMENT_HACIENDA,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_HACIENDA,TERRAIN_GRASS,,
IMPROVEMENT_METEOR_GOODY,TERRAIN_DESERT,,
IMPROVEMENT_METEOR_GOODY,TERRAIN_TUNDRA,,
IMPROVEMENT_METEOR_GOODY,TERRAIN_PLAINS,,
IMPROVEMENT_METEOR_GOODY,TERRAIN_GRASS,,
IMPROVEMENT_METEOR_GOODY,TERRAIN_SNOW,,
IMPROVEMENT_METEOR_GOODY,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_METEOR_GOODY,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_METEOR_GOODY,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_METEOR_GOODY,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_METEOR_GOODY,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_ROCK_HEWN_CHURCH,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_ROCK_HEWN_CHURCH,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_ROCK_HEWN_CHURCH,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_ROCK_HEWN_CHURCH,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_ROCK_HEWN_CHURCH,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_VAMPIRE_CASTLE,TERRAIN_PLAINS,,
IMPROVEMENT_VAMPIRE_CASTLE,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_VAMPIRE_CASTLE,TERRAIN_GRASS,,
IMPROVEMENT_VAMPIRE_CASTLE,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_VAMPIRE_CASTLE,TERRAIN_DESERT,,
IMPROVEMENT_VAMPIRE_CASTLE,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_VAMPIRE_CASTLE,TERRAIN_TUNDRA,,
IMPROVEMENT_VAMPIRE_CASTLE,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_VAMPIRE_CASTLE,TERRAIN_SNOW,,
IMPROVEMENT_VAMPIRE_CASTLE,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_MAHAVIHARA,TERRAIN_PLAINS,,
IMPROVEMENT_MAHAVIHARA,TERRAIN_GRASS,,
IMPROVEMENT_MAHAVIHARA,TERRAIN_DESERT,,
IMPROVEMENT_MAHAVIHARA,TERRAIN_TUNDRA,,
IMPROVEMENT_MAHAVIHARA,TERRAIN_SNOW,,
IMPROVEMENT_TRADING_DOME,TERRAIN_PLAINS,,
IMPROVEMENT_TRADING_DOME,TERRAIN_GRASS,,
IMPROVEMENT_TRADING_DOME,TERRAIN_DESERT,,
IMPROVEMENT_TRADING_DOME,TERRAIN_TUNDRA,,
IMPROVEMENT_TRADING_DOME,TERRAIN_SNOW,,
IMPROVEMENT_TRADING_DOME,TERRAIN_PLAINS_HILLS,,
IMPROVEMENT_TRADING_DOME,TERRAIN_GRASS_HILLS,,
IMPROVEMENT_TRADING_DOME,TERRAIN_DESERT_HILLS,,
IMPROVEMENT_TRADING_DOME,TERRAIN_TUNDRA_HILLS,,
IMPROVEMENT_TRADING_DOME,TERRAIN_SNOW_HILLS,,
IMPROVEMENT_FEITORIA,TERRAIN_COAST,,
