AgendaType,TraitType
AGENDA_ENVIRONMENTALIST,TRAIT_AGENDA_PREFER_ENVIRONMENT
AGENDA_EXPLOITATIVE,TRAIT_AGENDA_PREFER_EXPLOITATION
AGENDA_EXPLORER,TRAIT_AGENDA_EXPLORATION_OBSESSED
AGENDA_FUN_LOVING,TRAIT_AGENDA_PREFER_HAPPINESS
AGENDA_GREAT_PERSON_ADVOCATE,TRAIT_AGENDA_GREAT_PERSON_ADVOCATE
AGENDA_IDEOLOGUE,TRAIT_AGENDA_PREFER_SAME_GOVERNMENT
AGENDA_INDUSTRIALIST,TRAIT_AGENDA_PREFER_INDUSTRY
AGENDA_MONEY_GRUBBER,TRAIT_AGENDA_PREFER_INCOME
AGENDA_NATURALIST,TRAIT_AGENDA_NATURALIST
AGENDA_NUKE_LOVER,TRAIT_AGENDA_PREFER_NUKES
AGENDA_PARANOID,TRAIT_AGENDA_PARANOID
AGENDA_POPULOUS,TRAIT_AGENDA_PREFER_POPULATION
AGENDA_STANDING_ARMY,TRAIT_AGENDA_PREFER_STANDING_ARMY
AGENDA_TECHNOPHILE,TRAIT_AGENDA_PREFER_SCIENCE
AGENDA_WONDER_ADVOCATE,TRAIT_AGENDA_WONDER_ADVOCATE
AGENDA_ARCHIPELAGIC_STATE,TRAIT_AGENDA_ARCHIPELAGIC_STATE
AGENDA_END_TO_SUFFERING,TRAIT_AGENDA_END_TO_SUFFERING
AGENDA_SAINT,TRAIT_AGENDA_SAINT
AGENDA_CITY_PLANNER,TRAIT_AGENDA_CITY_PLANNER
AGENDA_SHORT_LIFE_GLORY,TRAIT_AGENDA_SHORT_LIFE_GLORY
AGENDA_SHORT_LIFE_GLORY,TRAIT_AGENDA_IGNORE_WARMONGERING
AGENDA_BACKSTABBER,TRAIT_AGENDA_BACKSTABBER
AGENDA_PERPETUALLY_ON_GUARD,TRAIT_AGENDA_PERPETUALLY_ON_GUARD
AGENDA_BILLIONAIRE,TRAIT_AGENDA_BILLIONAIRE
AGENDA_CHEOMSEONGDAE,TRAIT_AGENDA_CHEOMSEONGDAE
AGENDA_FLOWER_OF_SCOTLAND,TRAIT_AGENDA_FLOWER_OF_SCOTLAND
AGENDA_HORN_CHEST_LOINS,TRAIT_AGENDA_HORN_CHEST_LOINS
AGENDA_HORSE_LORD,TRAIT_AGENDA_HORSE_LORD
AGENDA_IRON_CONFEDERACY,TRAIT_AGENDA_IRON_CONFEDERACY
AGENDA_MAURYA_EMPIRE,TRAIT_AGENDA_MAURYA_EMPIRE
AGENDA_NARIKALA_FORTRESS,TRAIT_AGENDA_NARIKALA_FORTRESS
AGENDA_SPIRIT_OF_TUCAPEL,TRAIT_AGENDA_SPIRIT_OF_TUCAPEL
AGENDA_GOSSIP,TRAIT_AGENDA_GOSSIP
AGENDA_SYCOPHANT,TRAIT_AGENDA_SYCOPHANT
AGENDA_SYMPATHIZER,TRAIT_AGENDA_SYMPATHIZER
AGENDA_DEMAGOGUE,TRAIT_AGENDA_PREFER_NOFAVOR
AGENDA_DESTINATION_CIV,TRAIT_AGENDA_PREFER_NOTOURISM
AGENDA_EXPANSIONIST,TRAIT_AGENDA_EXPANSIONIST
AGENDA_FLAT_EARTHER,TRAIT_AGENDA_FLAT_EARTHER
AGENDA_GREAT_WHITE_FLEET,TRAIT_AGENDA_GREAT_WHITE_FLEET
AGENDA_INTOLERANT,TRAIT_AGENDA_INTOLERANT
AGENDA_LIBERTARIAN,TRAIT_AGENDA_PREFER_NODIPLOVP
AGENDA_PILLAGER,TRAIT_AGENDA_PREFER_PILLAGE
AGENDA_TURTLER,TRAIT_AGENDA_TURTLER
AGENDA_ZEALOT,TRAIT_AGENDA_ZEALOT
AGENDA_ANGEVIN_EMPIRE,TRAIT_AGENDA_ANGEVIN_EMPIRE
AGENDA_CANADIAN_EXPEDITIONARY,TRAIT_AGENDA_CANADIAN_EXPEDITIONARY
AGENDA_KAITIAKITANGA,TRAIT_AGENDA_KAITIAKITANGA
AGENDA_LAWGIVER,TRAIT_AGENDA_LAWGIVER
AGENDA_LORD_OF_MINES,TRAIT_AGENDA_LORD_OF_MINES
AGENDA_PATRON_OF_ARTS,TRAIT_AGENDA_PATRON_OF_ARTS
AGENDA_RAVEN_BANNER,TRAIT_AGENDA_RAVEN_BANNER
AGENDA_SAPA_INCA,TRAIT_AGENDA_SAPA_INCA
AGENDA_SICILIAN_WARS,TRAIT_AGENDA_SICILIAN_WARS
AGENDA_BULL_MOOSE,TRAIT_AGENDA_BULL_MOOSE
AGENDA_TRADE_AGREEMENT,TRAIT_AGENDA_TRADE_AGREEMENT
AGENDA_SAGA,TRAIT_AGENDA_SAGA
AGENDA_INDUSTRIAL_REVOLUTION,TRAIT_AGENDA_INDUSTRIAL_REVOLUTION
AGENDA_PRESERVER_OF_THE_UNION,TRAIT_AGENDA_LINCOLN
AGENDA_SULTAN,TRAIT_AGENDA_SULTAN
AGENDA_DECOLONIZATION,TRAIT_AGENDA_DECOLONIZATION
AGENDA_SIHAI,TRAIT_AGENDA_SIHAI
AGENDA_YINDING,TRAIT_AGENDA_YINDING
AGENDA_COURT_INTRIGUE,TRAIT_AGENDA_COURT_INTRIGUE
AGENDA_MAAT,TRAIT_AGENDA_MAAT
AGENDA_PREFER_FOOD,TRAIT_AGENDA_PREFER_FOOD
AGENDA_LION_OF_MALI,TRAIT_AGENDA_LION_OF_MALI
AGENDA_LADY_SIX_SKY,TRAIT_AGENDA_LADY_SIX_SKY
AGENDA_SIMON_BOLIVAR,TRAIT_AGENDA_SIMON_BOLIVAR
AGENDA_GALLIC_WARS,TRAIT_AGENDA_GALLIC_WARS
AGENDA_BASIL_ZEALOT,TRAIT_AGENDA_BASIL_ZEALOT
AGENDA_AMBIORIX_ARMY,TRAIT_AGENDA_AMBIORIX_ARMY
AGENDA_AMBIORIX_ARMY,TRAIT_LEADER_AGGRESSIVE_MILITARY
AGENDA_TRIEU_DEFENDER,TRAIT_AGENDA_TRIEU_DEFENDER
AGENDA_KUBLAI_PAX,TRAIT_AGENDA_KUBLAI_PAX
AGENDA_MAGNIFICENCES,TRAIT_AGENDA_MAGNIFICENCES
AGENDA_SAKOKU,TRAIT_AGENDA_SAKOKU
AGENDA_PREFER_LANDPOWER,TRAIT_AGENDA_PREFER_LANDPOWER
AGENDA_GOLDEN_AGE,TRAIT_AGENDA_SYCOPHANT
AGENDA_ETHIOPIAN_HIGHLANDS,TRAIT_AGENDA_ETHIOPIAN_HIGHLANDS
AGENDA_HAMMURABI_DISTRICTS,TRAIT_AGENDA_HAMMURABI_DISTRICTS
AGENDA_ETERNAL,TRAIT_AGENDA_ETERNAL
AGENDA_NEW_ROME,TRAIT_AGENDA_NEW_ROME
AGENDA_SEJONG,TRAIT_AGENDA_SEJONG
AGENDA_JOAO_EXPLORER,TRAIT_JOAO_EXPLORATION_AGENDA
