GossipType,VisibilityLevel,Description,Message,Filter,ErasUntilObsolete,LevelRequired,GroupType
GOSSIP_WONDER_STARTED,2,LOC_GOSSIPDESC_WONDER_STARTED,LOC_GOSSIP_WONDER_STARTED,1,0,0,CITY
GOSSIP_CITY_STATE_INFLUENCE,3,LOC_GOSSIPDESC_CITY_STATE_INFLUENCE,LOC_GOSSIP_CITY_STATE_INFLUENCE,1,0,0,DIPLOMACY
GOSSIP_CULTUREVATE_CIVIC,3,LOC_GOSSIPDESC_CULTURVATE_CIVIC,LOC_GOSSIP_CULTUREVATE_CIVIC,1,1,0,CULTURE
GOSSIP_LAND_UNIT_LEVEL,3,,LOC_GOSSIP_LAND_UNIT_LEVEL,1,0,3,MILITARY
GOSSIP_NAVAL_UNIT_LEVEL,3,,LOC_GOSSIP_NAVAL_UNIT_LEVEL,1,0,3,MILITARY
GOSSIP_NEW_RELIGIOUS_MAJORITY,3,,LOC_GOSSIP_NEW_RELIGIOUS_MAJORITY,1,0,0,RELIGION
GOSSIP_RESEARCH_AGREEMENT,3,,LOC_GOSSIP_RESEARCH_AGREEMENT,1,0,0,SCIENCE
GOSSIP_RESEARCH_TECH,3,LOC_GOSSIPDESC_RESEARCH_TECH,LOC_GOSSIP_RESEARCH_TECH,1,1,0,SCIENCE
GOSSIP_SPY_DISRUPT_ROCKETRY,3,,LOC_GOSSIP_DISRUPT_ROCKETRY,1,0,0,ESPIONAGE
GOSSIP_SPY_GREAT_WORK_HEIST,3,,LOC_GOSSIP_GREAT_WORK_HEIST,1,0,0,ESPIONAGE
GOSSIP_SPY_SABOTAGE_PRODUCTION,3,,LOC_GOSSIP_SABOTAGE_PRODUCTION,1,0,0,ESPIONAGE
GOSSIP_TRAIN_SETTLER,3,LOC_GOSSIPDESC_TRAIN_SETTLER,LOC_GOSSIP_TRAIN_SETTLER,1,0,0,SETTLEMENT
GOSSIP_SPY_RECRUIT_PARTISANS,4,,LOC_GOSSIP_RECRUIT_PARTISANS,1,0,0,ESPIONAGE
GOSSIP_SPY_SIPHON_FUNDS,4,,LOC_GOSSIP_SIPHON_FUNDS,1,0,0,ESPIONAGE
GOSSIP_SPY_STEAL_TECH_BOOST,4,,LOC_GOSSIP_STEAL_TECH_BOOST,1,0,0,ESPIONAGE
GOSSIP_ATTACK_LAUNCHED,4,LOC_GOSSIPDESC_ATTACK_LAUNCHED,LOC_GOSSIP_LAUNCHING_ATTACK,1,0,0,MILITARY
GOSSIP_PROJECT_STARTED,4,LOC_GOSSIPDESC_PROJECT_STARTED,LOC_GOSSIP_PROJECT_STARTED,1,0,0,CITY
GOSSIP_VICTORY_STRATEGY_CHANGED,4,LOC_GOSSIPDESC_VICTORY_STRATEGY_CHANGED,LOC_GOSSIP_START_VICTORY_STRATEGY,1,0,0,VICTORY
GOSSIP_WAR_PREPARATION,4,LOC_GOSSIPDESC_WAR_PREPARATION,LOC_GOSSIP_WAR_PREPARATION,1,0,0,MILITARY
GOSSIP_SPY_FOMENT_UNREST,3,,LOC_GOSSIP_FOMENT_UNREST,1,0,0,ESPIONAGE
GOSSIP_SPY_NEUTRALIZE_GOVERNOR,3,,LOC_GOSSIP_NEUTRALIZE_GOVERNOR,1,0,0,ESPIONAGE
GOSSIP_POWERED_CITY,2,,LOC_GOSSIP_POWERED_CITY,1,0,0,CITY
GOSSIP_RANDOM_EVENT,2,,LOC_GOSSIP_RANDOM_EVENT,1,0,0,CLIMATE
GOSSIP_ROCK_CONCERT,2,,LOC_GOSSIP_ROCK_CONCERT,1,0,0,CULTURE
GOSSIP_SPY_BREACH_DAM,3,,LOC_GOSSIP_SPY_DAM_BREACHED_DETECTED,1,0,0,ESPIONAGE
GOSSIP_SPY_CAPTURED,2,,LOC_GOSSIP_SPY_CAPTURED,1,0,0,ESPIONAGE
