UnitType,AiType
UNIT_BATTERING_RAM,UNITTYPE_SIEGE_ALL
UNIT_SIEGE_TOWER,UNITTYPE_SIEGE_SUPPORT
UNIT_SIEGE_TOWER,UNITTYPE_SIEGE_ALL
UNIT_MILITARY_ENGINEER,UNITTYPE_SIEGE_SUPPORT
UNIT_MILITARY_ENGINEER,UNITAI_BUILD
UNIT_MILITARY_ENGINEER,UNITTYPE_CIVILIAN
UNIT_MEDIC,UNITTYPE_SIEGE_SUPPORT
UNIT_OBSERVATION_BALLOON,UNITTYPE_SIEGE_SUPPORT
UNIT_ANTIAIR_GUN,UNITTYPE_SIEGE_SUPPORT
UNIT_ANTIAIR_GUN,UNITTYPE_SIEGE_ALL
UNIT_MOBILE_SAM,UNITTYPE_SIEGE_SUPPORT
UNIT_MOBILE_SAM,UNITTYPE_SIEGE_ALL
UNIT_GALLEY,UNITAI_COMBAT
UNIT_GALLEY,UNITAI_EXPLORE
UNIT_GALLEY,UNITTYPE_MELEE
UNIT_GALLEY,UNITTYPE_NAVAL
UNIT_QUADRIREME,UNITAI_COMBAT
UNIT_QUADRIREME,UNITTYPE_RANGED
UNIT_QUADRIREME,UNITTYPE_NAVAL
UNIT_CARAVEL,UNITAI_COMBAT
UNIT_CARAVEL,UNITAI_EXPLORE
UNIT_CARAVEL,UNITTYPE_MELEE
UNIT_CARAVEL,UNITTYPE_NAVAL
UNIT_FRIGATE,UNITAI_COMBAT
UNIT_FRIGATE,UNITTYPE_RANGED
UNIT_FRIGATE,UNITTYPE_NAVAL
UNIT_PRIVATEER,UNITAI_COMBAT
UNIT_PRIVATEER,UNITTYPE_RANGED
UNIT_PRIVATEER,UNITTYPE_NAVAL
UNIT_IRONCLAD,UNITAI_COMBAT
UNIT_IRONCLAD,UNITAI_EXPLORE
UNIT_IRONCLAD,UNITTYPE_MELEE
UNIT_IRONCLAD,UNITTYPE_NAVAL
UNIT_BATTLESHIP,UNITAI_COMBAT
UNIT_BATTLESHIP,UNITTYPE_RANGED
UNIT_BATTLESHIP,UNITTYPE_NAVAL
UNIT_SUBMARINE,UNITAI_COMBAT
UNIT_SUBMARINE,UNITTYPE_RANGED
UNIT_SUBMARINE,UNITTYPE_NAVAL
UNIT_AIRCRAFT_CARRIER,UNITAI_COMBAT
UNIT_AIRCRAFT_CARRIER,UNITTYPE_NAVAL
UNIT_DESTROYER,UNITAI_COMBAT
UNIT_DESTROYER,UNITAI_EXPLORE
UNIT_DESTROYER,UNITTYPE_MELEE
UNIT_DESTROYER,UNITTYPE_NAVAL
UNIT_NUCLEAR_SUBMARINE,UNITAI_COMBAT
UNIT_NUCLEAR_SUBMARINE,UNITTYPE_RANGED
UNIT_NUCLEAR_SUBMARINE,UNITTYPE_NAVAL
UNIT_NUCLEAR_SUBMARINE,UNITTYPE_NUCLEAR
UNIT_MISSILE_CRUISER,UNITAI_COMBAT
UNIT_MISSILE_CRUISER,UNITTYPE_RANGED
UNIT_MISSILE_CRUISER,UNITTYPE_NAVAL
UNIT_BIPLANE,UNITAI_COMBAT
UNIT_BIPLANE,UNITTYPE_AIR
UNIT_FIGHTER,UNITAI_COMBAT
UNIT_FIGHTER,UNITTYPE_AIR
UNIT_BOMBER,UNITAI_COMBAT
UNIT_BOMBER,UNITTYPE_NUCLEAR
UNIT_BOMBER,UNITTYPE_AIR_SIEGE
UNIT_JET_FIGHTER,UNITAI_COMBAT
UNIT_JET_FIGHTER,UNITTYPE_AIR
UNIT_JET_BOMBER,UNITAI_COMBAT
UNIT_JET_BOMBER,UNITTYPE_NUCLEAR
UNIT_JET_BOMBER,UNITTYPE_AIR_SIEGE
UNIT_BARBARIAN_HORSEMAN,UNITAI_COMBAT
UNIT_BARBARIAN_HORSEMAN,UNITAI_EXPLORE
UNIT_BARBARIAN_HORSEMAN,UNITTYPE_CAVALRY
UNIT_BARBARIAN_HORSEMAN,UNITTYPE_LAND_COMBAT
UNIT_BARBARIAN_HORSE_ARCHER,UNITAI_COMBAT
UNIT_BARBARIAN_HORSE_ARCHER,UNITAI_EXPLORE
UNIT_BARBARIAN_HORSE_ARCHER,UNITTYPE_CAVALRY
UNIT_BARBARIAN_HORSE_ARCHER,UNITTYPE_RANGED
UNIT_BARBARIAN_HORSE_ARCHER,UNITTYPE_LAND_COMBAT
UNIT_EGYPTIAN_CHARIOT_ARCHER,UNITAI_COMBAT
UNIT_EGYPTIAN_CHARIOT_ARCHER,UNITTYPE_CAVALRY
UNIT_EGYPTIAN_CHARIOT_ARCHER,UNITTYPE_RANGED
UNIT_EGYPTIAN_CHARIOT_ARCHER,UNITTYPE_LAND_COMBAT
UNIT_GREEK_HOPLITE,UNITAI_COMBAT
UNIT_GREEK_HOPLITE,UNITAI_EXPLORE
UNIT_GREEK_HOPLITE,UNITTYPE_MELEE
UNIT_GREEK_HOPLITE,UNITTYPE_ANTI_CAVALRY
UNIT_GREEK_HOPLITE,UNITTYPE_LAND_COMBAT
UNIT_SCYTHIAN_HORSE_ARCHER,UNITAI_COMBAT
UNIT_SCYTHIAN_HORSE_ARCHER,UNITAI_EXPLORE
UNIT_SCYTHIAN_HORSE_ARCHER,UNITTYPE_CAVALRY
UNIT_SCYTHIAN_HORSE_ARCHER,UNITTYPE_RANGED
UNIT_SCYTHIAN_HORSE_ARCHER,UNITTYPE_LAND_COMBAT
UNIT_SUMERIAN_WAR_CART,UNITAI_COMBAT
UNIT_SUMERIAN_WAR_CART,UNITTYPE_MELEE
UNIT_SUMERIAN_WAR_CART,UNITTYPE_CAVALRY
UNIT_SUMERIAN_WAR_CART,UNITTYPE_LAND_COMBAT
UNIT_ENGLISH_REDCOAT,UNITAI_COMBAT
UNIT_ENGLISH_REDCOAT,UNITAI_EXPLORE
UNIT_ENGLISH_REDCOAT,UNITTYPE_MELEE
UNIT_ENGLISH_REDCOAT,UNITTYPE_LAND_COMBAT
UNIT_SPANISH_CONQUISTADOR,UNITAI_COMBAT
UNIT_SPANISH_CONQUISTADOR,UNITAI_EXPLORE
UNIT_SPANISH_CONQUISTADOR,UNITTYPE_MELEE
UNIT_SPANISH_CONQUISTADOR,UNITTYPE_LAND_COMBAT
UNIT_AMERICAN_P51,UNITAI_COMBAT
UNIT_AMERICAN_P51,UNITTYPE_AIR
UNIT_ROMAN_LEGION,UNITAI_COMBAT
UNIT_ROMAN_LEGION,UNITAI_EXPLORE
UNIT_ROMAN_LEGION,UNITAI_BUILD
UNIT_ROMAN_LEGION,UNITTYPE_MELEE
UNIT_ROMAN_LEGION,UNITTYPE_LAND_COMBAT
UNIT_JAPANESE_SAMURAI,UNITAI_COMBAT
UNIT_JAPANESE_SAMURAI,UNITAI_EXPLORE
UNIT_JAPANESE_SAMURAI,UNITTYPE_MELEE
UNIT_JAPANESE_SAMURAI,UNITTYPE_LAND_COMBAT
UNIT_NORWEGIAN_BERSERKER,UNITAI_COMBAT
UNIT_NORWEGIAN_BERSERKER,UNITAI_EXPLORE
UNIT_NORWEGIAN_BERSERKER,UNITTYPE_MELEE
UNIT_NORWEGIAN_BERSERKER,UNITTYPE_LAND_COMBAT
UNIT_NORWEGIAN_LONGSHIP,UNITAI_COMBAT
UNIT_NORWEGIAN_LONGSHIP,UNITAI_EXPLORE
UNIT_NORWEGIAN_LONGSHIP,UNITTYPE_MELEE
UNIT_NORWEGIAN_LONGSHIP,UNITTYPE_NAVAL
UNIT_RUSSIAN_COSSACK,UNITAI_COMBAT
UNIT_RUSSIAN_COSSACK,UNITAI_EXPLORE
UNIT_RUSSIAN_COSSACK,UNITTYPE_CAVALRY
UNIT_RUSSIAN_COSSACK,UNITTYPE_MELEE
UNIT_RUSSIAN_COSSACK,UNITTYPE_LAND_COMBAT
UNIT_INDIAN_VARU,UNITAI_COMBAT
UNIT_INDIAN_VARU,UNITTYPE_MELEE
UNIT_INDIAN_VARU,UNITTYPE_LAND_COMBAT
UNIT_KONGO_SHIELD_BEARER,UNITAI_COMBAT
UNIT_KONGO_SHIELD_BEARER,UNITAI_EXPLORE
UNIT_KONGO_SHIELD_BEARER,UNITTYPE_MELEE
UNIT_KONGO_SHIELD_BEARER,UNITTYPE_LAND_COMBAT
UNIT_ARABIAN_MAMLUK,UNITAI_COMBAT
UNIT_ARABIAN_MAMLUK,UNITTYPE_CAVALRY
UNIT_ARABIAN_MAMLUK,UNITTYPE_MELEE
UNIT_ARABIAN_MAMLUK,UNITTYPE_LAND_COMBAT
UNIT_ENGLISH_SEADOG,UNITAI_COMBAT
UNIT_ENGLISH_SEADOG,UNITTYPE_RANGED
UNIT_ENGLISH_SEADOG,UNITTYPE_NAVAL
UNIT_FRENCH_GARDE_IMPERIALE,UNITAI_COMBAT
UNIT_FRENCH_GARDE_IMPERIALE,UNITAI_EXPLORE
UNIT_FRENCH_GARDE_IMPERIALE,UNITTYPE_MELEE
UNIT_FRENCH_GARDE_IMPERIALE,UNITTYPE_LAND_COMBAT
UNIT_GERMAN_UBOAT,UNITAI_COMBAT
UNIT_GERMAN_UBOAT,UNITTYPE_RANGED
UNIT_GERMAN_UBOAT,UNITTYPE_NAVAL
UNIT_BRAZILIAN_MINAS_GERAES,UNITAI_COMBAT
UNIT_BRAZILIAN_MINAS_GERAES,UNITTYPE_RANGED
UNIT_BRAZILIAN_MINAS_GERAES,UNITTYPE_NAVAL
UNIT_CHINESE_CROUCHING_TIGER,UNITAI_COMBAT
UNIT_CHINESE_CROUCHING_TIGER,UNITTYPE_RANGED
UNIT_CHINESE_CROUCHING_TIGER,UNITTYPE_LAND_COMBAT
UNIT_AZTEC_EAGLE_WARRIOR,UNITAI_COMBAT
UNIT_AZTEC_EAGLE_WARRIOR,UNITAI_EXPLORE
UNIT_AZTEC_EAGLE_WARRIOR,UNITTYPE_MELEE
UNIT_AZTEC_EAGLE_WARRIOR,UNITTYPE_LAND_COMBAT
UNIT_KHMER_DOMREY,UNITAI_COMBAT
UNIT_KHMER_DOMREY,UNITTYPE_RANGED
UNIT_KHMER_DOMREY,UNITTYPE_SIEGE
UNIT_KHMER_DOMREY,UNITTYPE_LAND_COMBAT
UNIT_INDONESIAN_JONG,UNITAI_COMBAT
UNIT_INDONESIAN_JONG,UNITTYPE_RANGED
UNIT_INDONESIAN_JONG,UNITTYPE_NAVAL
UNIT_POLISH_HUSSAR,UNITAI_COMBAT
UNIT_POLISH_HUSSAR,UNITTYPE_MELEE
UNIT_POLISH_HUSSAR,UNITTYPE_CAVALRY
UNIT_POLISH_HUSSAR,UNITTYPE_LAND_COMBAT
UNIT_NUBIAN_PITATI,UNITAI_COMBAT
UNIT_NUBIAN_PITATI,UNITTYPE_RANGED
UNIT_NUBIAN_PITATI,UNITTYPE_LAND_COMBAT
UNIT_MACEDONIAN_HYPASPIST,UNITAI_COMBAT
UNIT_MACEDONIAN_HYPASPIST,UNITTYPE_MELEE
UNIT_MACEDONIAN_HYPASPIST,UNITTYPE_LAND_COMBAT
UNIT_MACEDONIAN_HETAIROI,UNITAI_COMBAT
UNIT_MACEDONIAN_HETAIROI,UNITTYPE_MELEE
UNIT_MACEDONIAN_HETAIROI,UNITTYPE_CAVALRY
UNIT_MACEDONIAN_HETAIROI,UNITTYPE_LAND_COMBAT
UNIT_PERSIAN_IMMORTAL,UNITAI_COMBAT
UNIT_PERSIAN_IMMORTAL,UNITTYPE_MELEE
UNIT_PERSIAN_IMMORTAL,UNITTYPE_LAND_COMBAT
UNIT_PERSIAN_IMMORTAL,UNITTYPE_RANGED
UNIT_DIGGER,UNITAI_COMBAT
UNIT_DIGGER,UNITAI_EXPLORE
UNIT_DIGGER,UNITTYPE_MELEE
UNIT_DIGGER,UNITTYPE_LAND_COMBAT
UNIT_ZULU_IMPI,UNITAI_COMBAT
UNIT_ZULU_IMPI,UNITAI_EXPLORE
UNIT_ZULU_IMPI,UNITTYPE_MELEE
UNIT_ZULU_IMPI,UNITTYPE_ANTI_CAVALRY
UNIT_ZULU_IMPI,UNITTYPE_LAND_COMBAT
UNIT_SCOTTISH_HIGHLANDER,UNITAI_EXPLORE
UNIT_SCOTTISH_HIGHLANDER,UNITTYPE_RANGED
UNIT_SCOTTISH_HIGHLANDER,UNITTYPE_LAND_COMBAT
UNIT_DE_ZEVEN_PROVINCIEN,UNITAI_COMBAT
UNIT_DE_ZEVEN_PROVINCIEN,UNITTYPE_RANGED
UNIT_DE_ZEVEN_PROVINCIEN,UNITTYPE_NAVAL
UNIT_KOREAN_HWACHA,UNITAI_COMBAT
UNIT_KOREAN_HWACHA,UNITTYPE_RANGED
UNIT_KOREAN_HWACHA,UNITTYPE_LAND_COMBAT
UNIT_MONGOLIAN_KESHIG,UNITAI_COMBAT
UNIT_MONGOLIAN_KESHIG,UNITAI_EXPLORE
UNIT_MONGOLIAN_KESHIG,UNITTYPE_RANGED
UNIT_MONGOLIAN_KESHIG,UNITTYPE_MELEE
UNIT_MONGOLIAN_KESHIG,UNITTYPE_LAND_COMBAT
UNIT_GEORGIAN_KHEVSURETI,UNITAI_COMBAT
UNIT_GEORGIAN_KHEVSURETI,UNITAI_EXPLORE
UNIT_GEORGIAN_KHEVSURETI,UNITTYPE_MELEE
UNIT_GEORGIAN_KHEVSURETI,UNITTYPE_LAND_COMBAT
UNIT_MAPUCHE_MALON_RAIDER,UNITAI_COMBAT
UNIT_MAPUCHE_MALON_RAIDER,UNITAI_EXPLORE
UNIT_MAPUCHE_MALON_RAIDER,UNITTYPE_MELEE
UNIT_MAPUCHE_MALON_RAIDER,UNITTYPE_LAND_COMBAT
UNIT_CREE_OKIHTCITAW,UNITAI_EXPLORE
UNIT_CREE_OKIHTCITAW,UNITTYPE_LAND_COMBAT
UNIT_SPEC_OPS,UNITAI_EXPLORE
UNIT_SPEC_OPS,UNITTYPE_LAND_COMBAT
UNIT_SPEC_OPS,UNITTYPE_RANGED
UNIT_DRONE,UNITTYPE_SIEGE_SUPPORT
UNIT_PIKE_AND_SHOT,UNITAI_COMBAT
UNIT_PIKE_AND_SHOT,UNITAI_EXPLORE
UNIT_PIKE_AND_SHOT,UNITTYPE_MELEE
UNIT_PIKE_AND_SHOT,UNITTYPE_ANTI_CAVALRY
UNIT_PIKE_AND_SHOT,UNITTYPE_LAND_COMBAT
UNIT_SUPPLY_CONVOY,UNITTYPE_SIEGE_SUPPORT
UNIT_SKIRMISHER,UNITAI_EXPLORE
UNIT_SKIRMISHER,UNITTYPE_LAND_COMBAT
UNIT_SKIRMISHER,UNITTYPE_RANGED
UNIT_COURSER,UNITAI_COMBAT
UNIT_COURSER,UNITAI_EXPLORE
UNIT_COURSER,UNITTYPE_CAVALRY
UNIT_COURSER,UNITTYPE_MELEE
UNIT_COURSER,UNITTYPE_LAND_COMBAT
UNIT_CUIRASSIER,UNITAI_COMBAT
UNIT_CUIRASSIER,UNITAI_EXPLORE
UNIT_CUIRASSIER,UNITTYPE_CAVALRY
UNIT_CUIRASSIER,UNITTYPE_MELEE
UNIT_CUIRASSIER,UNITTYPE_LAND_COMBAT
UNIT_GIANT_DEATH_ROBOT,UNITAI_COMBAT
UNIT_GIANT_DEATH_ROBOT,UNITTYPE_MELEE
UNIT_GIANT_DEATH_ROBOT,UNITTYPE_RANGED
UNIT_GIANT_DEATH_ROBOT,UNITTYPE_LAND_COMBAT
UNIT_GIANT_DEATH_ROBOT,UNITTYPE_SIEGE_ALL
UNIT_GIANT_DEATH_ROBOT,UNITTYPE_MAJOR_CIV_ONLY
UNIT_CANADA_MOUNTIE,UNITAI_COMBAT
UNIT_CANADA_MOUNTIE,UNITAI_EXPLORE
UNIT_CANADA_MOUNTIE,UNITTYPE_MELEE
UNIT_CANADA_MOUNTIE,UNITTYPE_CAVALRY
UNIT_CANADA_MOUNTIE,UNITTYPE_LAND_COMBAT
UNIT_HUNGARY_BLACK_ARMY,UNITAI_COMBAT
UNIT_HUNGARY_BLACK_ARMY,UNITAI_EXPLORE
UNIT_HUNGARY_BLACK_ARMY,UNITTYPE_CAVALRY
UNIT_HUNGARY_BLACK_ARMY,UNITTYPE_MELEE
UNIT_HUNGARY_BLACK_ARMY,UNITTYPE_LAND_COMBAT
UNIT_HUNGARY_HUSZAR,UNITAI_COMBAT
UNIT_HUNGARY_HUSZAR,UNITAI_EXPLORE
UNIT_HUNGARY_HUSZAR,UNITTYPE_MELEE
UNIT_HUNGARY_HUSZAR,UNITTYPE_CAVALRY
UNIT_HUNGARY_HUSZAR,UNITTYPE_LAND_COMBAT
UNIT_INCA_WARAKAQ,UNITAI_EXPLORE
UNIT_INCA_WARAKAQ,UNITTYPE_LAND_COMBAT
UNIT_INCA_WARAKAQ,UNITTYPE_RANGED
UNIT_MALI_MANDEKALU_CAVALRY,UNITAI_COMBAT
UNIT_MALI_MANDEKALU_CAVALRY,UNITTYPE_MELEE
UNIT_MALI_MANDEKALU_CAVALRY,UNITTYPE_CAVALRY
UNIT_MALI_MANDEKALU_CAVALRY,UNITTYPE_LAND_COMBAT
UNIT_MAORI_TOA,UNITAI_COMBAT
UNIT_MAORI_TOA,UNITAI_EXPLORE
UNIT_MAORI_TOA,UNITTYPE_MELEE
UNIT_MAORI_TOA,UNITTYPE_LAND_COMBAT
UNIT_OTTOMAN_BARBARY_CORSAIR,UNITAI_COMBAT
UNIT_OTTOMAN_BARBARY_CORSAIR,UNITTYPE_RANGED
UNIT_OTTOMAN_BARBARY_CORSAIR,UNITTYPE_NAVAL
UNIT_PHOENICIA_BIREME,UNITAI_COMBAT
UNIT_PHOENICIA_BIREME,UNITAI_EXPLORE
UNIT_PHOENICIA_BIREME,UNITTYPE_MELEE
UNIT_PHOENICIA_BIREME,UNITTYPE_NAVAL
UNIT_SULEIMAN_JANISSARY,UNITAI_COMBAT
UNIT_SULEIMAN_JANISSARY,UNITAI_EXPLORE
UNIT_SULEIMAN_JANISSARY,UNITTYPE_MELEE
UNIT_SULEIMAN_JANISSARY,UNITTYPE_LAND_COMBAT
UNIT_SWEDEN_CAROLEAN,UNITAI_COMBAT
UNIT_SWEDEN_CAROLEAN,UNITAI_EXPLORE
UNIT_SWEDEN_CAROLEAN,UNITTYPE_MELEE
UNIT_SWEDEN_CAROLEAN,UNITTYPE_ANTI_CAVALRY
UNIT_SWEDEN_CAROLEAN,UNITTYPE_LAND_COMBAT
UNIT_AMERICAN_ROUGH_RIDER,UNITAI_COMBAT
UNIT_AMERICAN_ROUGH_RIDER,UNITAI_EXPLORE
UNIT_AMERICAN_ROUGH_RIDER,UNITTYPE_CAVALRY
UNIT_AMERICAN_ROUGH_RIDER,UNITTYPE_MELEE
UNIT_AMERICAN_ROUGH_RIDER,UNITTYPE_LAND_COMBAT
UNIT_MAYAN_HULCHE,UNITAI_COMBAT
UNIT_MAYAN_HULCHE,UNITTYPE_RANGED
UNIT_MAYAN_HULCHE,UNITTYPE_LAND_COMBAT
UNIT_LAHORE_NIHANG,UNITAI_COMBAT
UNIT_LAHORE_NIHANG,UNITAI_EXPLORE
UNIT_LAHORE_NIHANG,UNITTYPE_MELEE
UNIT_LAHORE_NIHANG,UNITTYPE_LAND_COMBAT
UNIT_COMANDANTE_GENERAL,UNITTYPE_CIVILIAN_LEADER
UNIT_COMANDANTE_GENERAL,UNITAI_LEADER
