UnitAbilityType,Name,Description,Inactive,ShowFloatTextWhenEarned,Permanent
ABILITY_ANTI_SPEAR,LOC_ABILITY_ANTI_SPEAR_NAME,LOC_ABILITY_ANTI_SPEAR_DESCRIPTION,0,0,1
ABILITY_GRANT_RANGE_BONUS,LOC_ABILITY_GRANT_RANGE_BONUS_NAME,LOC_ABILITY_GRANT_RANGE_BONUS_DESCRIPTION,0,0,1
ABILITY_RECEIVE_RANGE_BONUS,,,0,0,1
ABILITY_UNOBSTRUCTED_VIEW,LOC_ABILITY_UNOBSTRUCTED_VIEW_NAME,LOC_ABILITY_UNOBSTRUCTED_VIEW_DESCRIPTION,0,0,1
ABILITY_OBSERVATION_STRENGTH_BONUS,LOC_ABILITY_OBSERVATION_STRENGTH_BONUS_NAME,LOC_ABILITY_OBSERVATION_STRENGTH_BONUS_DESCRIPTION,0,0,1
ABILITY_RELIGIOUS_CANNOT_ATTACK,LOC_ABILITY_RELIGIOUS_CANNOT_ATTACK_NAME,LOC_ABILITY_RELIGIOUS_CANNOT_ATTACK_DESCRIPTION,0,0,1
ABILITY_FRIENDLY_TERRITORY_RELIGIOUS,LOC_ABILITY_FRIENDLY_TERRITORY_RELIGIOUS_NAME,LOC_ABILITY_FRIENDLY_TERRITORY_RELIGIOUS_DESCRIPTION,0,0,1
ABILITY_NO_FOREIGN_SPREAD,LOC_ABILITY_NO_FOREIGN_SPREAD_NAME,LOC_ABILITY_NO_FOREIGN_SPREAD_DESCRIPTION,0,0,1
ABILITY_OLIGARCHY_MELEE_BUFF,,,1,0,1
ABILITY_THEOCRACY_RELIGIOUS_BUFF,,,1,0,1
ABILITY_RELIGIOUS_ORDERS_BUFF,,,1,0,1
ABILITY_FASCISM_ATTACK_BUFF,,,1,0,1
ABILITY_COMMUNISM_DEFENSE_BUFF,,,1,0,1
ABILITY_MEDIC_HEAL,LOC_ABILITY_MEDIC_HEAL_NAME,LOC_ABILITY_MEDIC_HEAL_DESCRIPTION,0,0,1
ABILITY_STEALTH,LOC_ABILITY_STEALTH_NAME,LOC_ABILITY_STEALTH_DESCRIPTION,0,0,1
ABILITY_SEE_HIDDEN,LOC_ABILITY_SEE_HIDDEN_NAME,LOC_ABILITY_SEE_HIDDEN_DESCRIPTION,0,0,1
ABILITY_COASTAL_RAID,LOC_ABILITY_COASTAL_RAID_NAME,LOC_ABILITY_COASTAL_RAID_DESCRIPTION,0,0,1
ABILITY_MELEE_COASTAL_RAID,LOC_ABILITY_MELEE_COASTAL_RAID_NAME,LOC_ABILITY_MELEE_COASTAL_RAID_NAME_DESCRIPTION,1,0,1
ABILITY_BYPASS_COMBAT_UNIT,LOC_ABILITY_BYPASS_COMBAT_UNIT_NAME,LOC_ABILITY_BYPASS_COMBAT_UNIT_DESCRIPTION,0,0,1
ABILITY_HEAL_NEUTRAL_TERRITORY,LOC_ABILITY_HEAL_NEUTRAL_TERRITORY_NAME,LOC_ABILITY_HEAL_NEUTRAL_TERRITORY_DESCRIPTION,1,0,1
ABILITY_TRADE_ROUTE_PLUNDER_IMMUNITY_SEA,LOC_ABILITY_TRADE_ROUTE_PLUNDER_IMMUNITY_SEA_NAME,LOC_ABILITY_TRADE_ROUTE_PLUNDER_IMMUNITY_SEA_DESCRIPTION,1,0,1
ABILITY_BERSERKER_RAGE,LOC_ABILITY_BERSERKER_RAGE_NAME,LOC_ABILITY_BERSERKER_RAGE_DESCRIPTION,0,0,1
ABILITY_BERSERKER_MOVEMENT,LOC_ABILITY_BERSERKER_MOVEMENT_NAME,LOC_ABILITY_BERSERKER_MOVEMENT_DESCRIPTION,0,0,1
ABILITY_LONGSHIP_MOVEMENT,LOC_ABILITY_LONGSHIP_MOVEMENT_NAME,LOC_ABILITY_LONGSHIP_MOVEMENT_DESCRIPTION,0,0,1
ABILITY_PRIZE_SHIPS,LOC_ABILITY_PRIZE_SHIPS_NAME,LOC_ABILITY_PRIZE_SHIPS_DESCRIPTION,0,0,1
ABILITY_CAPTIVE_WORKERS,LOC_ABILITY_CAPTIVE_WORKERS_NAME,LOC_ABILITY_CAPTIVE_WORKERS_DESCRIPTION,0,0,1
ABILITY_BALKAN_CAVALRY,LOC_ABILITY_BALKAN_CAVALRY_NAME,LOC_ABILITY_BALKAN_CAVALRY_DESCRIPTION,1,0,1
ABILITY_ALTITUDE_TRAINING,LOC_ABILITY_ALTITUDE_TRAINING_NAME,LOC_ABILITY_ALTITUDE_TRAINING_DESCRIPTION,1,1,1
ABILITY_COSSACK,LOC_ABILITY_COSSACK_NAME,LOC_ABILITY_COSSACK_DESCRIPTION,0,0,1
ABILITY_REDCOAT,LOC_ABILITY_REDCOAT_NAME,LOC_ABILITY_REDCOAT_DESCRIPTION,0,0,1
ABILITY_VARU,LOC_ABILITY_VARU_NAME,LOC_ABILITY_VARU_DESCRIPTION,0,0,1
ABILITY_NAGAO,LOC_ABILITY_NAGAO_NAME,LOC_ABILITY_NAGAO_DESCRIPTION,0,0,1
ABILITY_CONQUISTADOR,LOC_ABILITY_CONQUISTADOR_NAME,LOC_ABILITY_CONQUISTADOR_DESCRIPTION,0,0,1
ABILITY_GARDE,LOC_ABILITY_GARDE_NAME,LOC_ABILITY_GARDE_DESCRIPTION,0,0,1
ABILITY_HOPLITE,LOC_ABILITY_HOPLITE_NAME,LOC_ABILITY_HOPLITE_DESCRIPTION,0,0,1
ABILITY_UBOAT,LOC_ABILITY_UBOAT_NAME,LOC_ABILITY_UBOAT_DESCRIPTION,0,0,1
ABILITY_ROUGH_RIDER,LOC_ABILITY_ROUGH_RIDER_NAME,LOC_ABILITY_ROUGH_RIDER_DESCRIPTION,0,0,1
ABILITY_MUSTANG,LOC_ABILITY_MUSTANG_NAME,LOC_ABILITY_MUSTANG_DESCRIPTION,0,0,1
ABILITY_MAMLUK,LOC_ABILITY_MAMLUK_NAME,LOC_ABILITY_MAMLUK_DESCRIPTION,0,0,1
ABILITY_SAMURAI,LOC_ABILITY_SAMURAI_NAME,LOC_ABILITY_SAMURAI_DESCRIPTION,0,0,1
ABILITY_PUSHBACK,LOC_ABILITY_PUSHBACK,LOC_ABILITY_PUSHBACK_DESCRIPTION,0,0,1
ABILITY_DIGGER,LOC_ABILITY_DIGGER_NAME,LOC_ABILITY_DIGGER_DESCRIPTION,0,0,1
ABILITY_GREAT_ADMIRAL_MOVEMENT,LOC_ABILITY_GREAT_ADMIRAL_MOVEMENT_NAME,LOC_ABILITY_GREAT_ADMIRAL_MOVEMENT_DESCRIPTION,1,0,0
ABILITY_GREAT_ADMIRAL_STRENGTH,LOC_GREAT_PERSON_CLASS_ADMIRAL_NAME,LOC_GREATPERSON_COMBAT_STRENGTH_AOE_SEA_MODIFIER,1,0,0
ABILITY_GREAT_GENERAL_MOVEMENT,LOC_ABILITY_GREAT_GENERAL_MOVEMENT_NAME,LOC_ABILITY_GREAT_GENERAL_MOVEMENT_DESCRIPTION,1,0,0
ABILITY_GREAT_GENERAL_STRENGTH,LOC_GREAT_PERSON_CLASS_GENERAL_NAME,LOC_GREATPERSON_COMBAT_STRENGTH_AOE_LAND_MODIFIER,1,0,0
ABILITY_BARRACKS_TRAINED_UNIT_XP,LOC_ABILITY_BARRACKS_TRAINED_UNIT_XP_NAME,LOC_ABILITY_BARRACKS_TRAINED_UNIT_XP_DESCRIPTION,1,0,1
ABILITY_STABLE_TRAINED_UNIT_XP,LOC_ABILITY_STABLE_TRAINED_UNIT_XP_NAME,LOC_ABILITY_STABLE_TRAINED_UNIT_XP_DESCRIPTION,1,0,1
ABILITY_ARMORY_TRAINED_UNIT_XP,LOC_ABILITY_ARMORY_TRAINED_UNIT_XP_NAME,LOC_ABILITY_ARMORY_TRAINED_UNIT_XP_DESCRIPTION,1,0,1
ABILITY_MILITARY_ACADEMY_TRAINED_UNIT_XP,LOC_ABILITY_MILITARY_ACADEMY_TRAINED_UNIT_XP_NAME,LOC_ABILITY_MILITARY_ACADEMY_TRAINED_UNIT_XP_DESCRIPTION,1,0,1
ABILITY_LIGHTHOUSE_TRAINED_UNIT_XP,LOC_ABILITY_LIGHTHOUSE_TRAINED_UNIT_XP_NAME,LOC_ABILITY_LIGHTHOUSE_TRAINED_UNIT_XP_DESCRIPTION,1,0,1
ABILITY_SHIPYARD_TRAINED_UNIT_XP,LOC_ABILITY_SHIPYARD_TRAINED_UNIT_XP_NAME,LOC_ABILITY_SHIPYARD_TRAINED_UNIT_XP_DESCRIPTION,1,0,1
ABILITY_SEAPORT_TRAINED_UNIT_XP,LOC_ABILITY_SEAPORT_TRAINED_UNIT_XP_NAME,LOC_ABILITY_SEAPORT_TRAINED_UNIT_XP_DESCRIPTION,1,0,1
ABILITY_HANGAR_TRAINED_AIRCRAFT_XP,LOC_ABILITY_HANGAR_TRAINED_AIRCRAFT_XP_NAME,LOC_ABILITY_HANGAR_TRAINED_AIRCRAFT_XP_DESCRIPTION,1,0,1
ABILITY_AIRPORT_TRAINED_AIRCRAFT_XP,LOC_ABILITY_AIRPORT_TRAINED_AIRCRAFT_XP_NAME,LOC_ABILITY_AIRPORT_TRAINED_AIRCRAFT_XP_DESCRIPTION,1,0,1
ABILITY_ROYAL_NAVY_DOCKYARD_MOVEMENT_BONUS,LOC_ABILITY_ROYAL_NAVY_DOCKYARD_MOVEMENT_BONUS_NAME,LOC_ABILITY_ROYAL_NAVY_DOCKYARD_MOVEMENT_BONUS_DESCRIPTION,1,0,1
ABILITY_ROMAN_LEGION_BUILD,LOC_ABILITY_ROMAN_LEGION_BUILD_NAME,LOC_ABILITY_ROMAN_LEGION_BUILD_DESCRIPTION,0,0,1
ABILITY_GREAT_LIGHTHOUSE_MOVEMENT,LOC_ABILITY_GREAT_LIGHTHOUSE_MOVEMENT_NAME,LOC_ABILITY_GREAT_LIGHTHOUSE_MOVEMENT_DESCRIPTION,1,0,1
ABILITY_GREAT_LIGHTHOUSE_EMBARKED_MOVEMENT,LOC_ABILITY_GREAT_LIGHTHOUSE_EMBARKED_MOVEMENT_NAME,LOC_ABILITY_GREAT_LIGHTHOUSE_EMBARKED_MOVEMENT_DESCRIPTION,1,0,1
ABILITY_RAJENDRA_CHOLA_PLUNDER_BONUS,LOC_ABILITY_RAJENDRA_CHOLA_PLUNDER_BONUS_NAME,LOC_ABILITY_RAJENDRA_CHOLA_PLUNDER_BONUS_DESCRIPTION,1,0,1
ABILITY_FRANCIS_DRAKE_PLUNDER_BONUS,LOC_ABILITY_FRANCIS_DRAKE_PLUNDER_BONUS_NAME,LOC_ABILITY_FRANCIS_DRAKE_PLUNDER_BONUS_DESCRIPTION,1,0,1
ABILITY_CHING_SHIH_PLUNDER_BONUS,LOC_ABILITY_CHING_SHIH_PLUNDER_BONUS_NAME,LOC_ABILITY_CHING_SHIH_PLUNDER_BONUS_DESCRIPTION,1,0,1
ABILITY_CLANCY_FERNANDO_BONUS_EXPERIENCE,LOC_ABILITY_CLANCY_FERNANDO_BONUS_EXPERIENCE_NAME,LOC_ABILITY_CLANCY_FERNANDO_BONUS_EXPERIENCE_DESCRIPTION,1,0,1
ABILITY_HORATIO_NELSON_FLANKING_BONUS,LOC_ABILITY_HORATIO_NELSON_FLANKING_BONUS_NAME,LOC_ABILITY_HORATIO_NELSON_FLANKING_BONUS_DESCRIPTION,1,0,1
ABILITY_LASKARINA_BOUBOULINA_BONUS_EXPERIENCE,LOC_ABILITY_LASKARINA_BOUBOULINA_BONUS_EXPERIENCE_NAME,LOC_ABILITY_LASKARINA_BOUBOULINA_BONUS_EXPERIENCE_DESCRIPTION,1,0,1
ABILITY_SERGEY_GORSHKOV_BONUS_EXPERIENCE,LOC_ABILITY_SERGEY_GORSHKOV_BONUS_EXPERIENCE_NAME,LOC_ABILITY_SERGEY_GORSHKOV_BONUS_EXPERIENCE_DESCRIPTION,1,0,1
ABILITY_GEORGY_ZHUKOV_FLANKING_BONUS,LOC_ABILITY_GEORGY_ZHUKOV_FLANKING_BONUS_NAME,LOC_ABILITY_GEORGY_ZHUKOV_FLANKING_BONUS_DESCRIPTION,1,0,1
ABILITY_JOHN_MONASH_BONUS_EXPERIENCE,LOC_ABILITY_JOHN_MONASH_BONUS_EXPERIENCE_NAME,LOC_ABILITY_JOHN_MONASH_BONUS_EXPERIENCE_DESCRIPTION,1,0,1
ABILITY_VIJAYA_WIMALARATNE_BONUS_EXPERIENCE,LOC_ABILITY_VIJAYA_WIMALARATNE_BONUS_EXPERIENCE_NAME,LOC_ABILITY_VIJAYA_WIMALARATNE_BONUS_EXPERIENCE_DESCRIPTION,1,0,1
ABILITY_HOJO_TOKIMUNE_COASTAL_COMBAT_BONUS,LOC_ABILITY_HOJO_TOKIMUNE_COASTAL_COMBAT_BONUS_NAME,LOC_ABILITY_HOJO_TOKIMUNE_COASTAL_COMBAT_BONUS_DESCRIPTION,1,0,1
ABILITY_HOJO_TOKIMUNE_SHALLOW_WATER_COMBAT_BONUS,LOC_ABILITY_HOJO_TOKIMUNE_SHALLOW_WATER_COMBAT_BONUS_NAME,LOC_ABILITY_HOJO_TOKIMUNE_SHALLOW_WATER_COMBAT_BONUS_DESCRIPTION,1,0,1
ABILITY_MONTEZUMA_COMBAT_BONUS_PER_LUXURY,LOC_ABILITY_MONTEZUMA_COMBAT_BONUS_PER_LUXURY_NAME,LOC_ABILITY_MONTEZUMA_COMBAT_BONUS_PER_LUXURY_DESCRIPTION,1,0,1
ABILITY_PHILIP_II_COMBAT_BONUS_OTHER_RELIGION,LOC_ABILITY_PHILIP_II_COMBAT_BONUS_OTHER_RELIGION_NAME,LOC_ABILITY_PHILIP_II_COMBAT_BONUS_OTHER_RELIGION_DESCRIPTION,1,0,1
ABILITY_BARBAROSSA_COMBAT_BONUS_VS_CITY_STATES,LOC_ABILITY_BARBAROSSA_COMBAT_BONUS_VS_CITY_STATES_NAME,LOC_ABILITY_BARBAROSSA_COMBAT_BONUS_VS_CITY_STATES_DESCRIPTION,1,0,1
ABILITY_ROOSEVELT_COMBAT_BONUS_HOME_CONTINENT,LOC_ABILITY_ROOSEVELT_COMBAT_BONUS_HOME_CONTINENT_NAME,LOC_ABILITY_ROOSEVELT_COMBAT_BONUS_HOME_CONTINENT_DESCRIPTION,1,0,1
ABILITY_TOMYRIS_BONUS_VS_WOUNDED_UNITS,LOC_ABILITY_TOMYRIS_BONUS_VS_WOUNDED_UNITS_NAME,LOC_ABILITY_TOMYRIS_BONUS_VS_WOUNDED_UNITS_DESCRIPTION,1,0,1
ABILITY_TOMYRIS_HEAL_AFTER_DEFEATING_UNIT,LOC_ABILITY_TOMYRIS_HEAL_AFTER_DEFEATING_UNIT_NAME,LOC_ABILITY_TOMYRIS_HEAL_AFTER_DEFEATING_UNIT_DESCRIPTION,1,0,1
ABILITY_KNARR_IGNORE_EMBARK_DISEMBARK_COST,LOC_ABILITY_KNARR_IGNORE_EMBARK_DISEMBARK_COST_NAME,LOC_ABILITY_KNARR_IGNORE_EMBARK_DISEMBARK_COST_DESCRIPTION,1,0,1
ABILITY_GORGO_POLICY_SLOT_COMBAT_BONUS,LOC_ABILITY_GORGO_POLICY_SLOT_COMBAT_BONUS_NAME,LOC_ABILITY_GORGO_POLICY_SLOT_COMBAT_BONUS_DESCRIPTION,1,0,1
ABILITY_RANGED_ATTACK_DISTRICT_DEBUFF,LOC_ABILITY_RANGED_ATTACK_DISTRICT_DEBUFF_NAME,LOC_ABILITY_RANGED_ATTACK_DISTRICT_DEBUFF_DESCRIPTION,0,0,1
ABILITY_BOMBARD_ATTACK_UNIT_DEBUFF,LOC_ABILITY_BOMBARD_ATTACK_UNIT_DEBUFF_NAME,LOC_ABILITY_BOMBARD_ATTACK_UNIT_DEBUFF_DESCRIPTION,0,0,1
ABILITY_AIR_FIGHTER_ATTACK_DISTRICT_DEBUFF,LOC_ABILITY_AIR_FIGHTER_ATTACK_DISTRICT_DEBUFF_NAME,LOC_ABILITY_AIR_FIGHTER_ATTACK_DISTRICT_DEBUFF_DESCRIPTION,0,0,1
ABILITY_AIR_BOMBER_ATTACK_UNIT_DEBUFF,LOC_ABILITY_AIR_BOMBER_ATTACK_UNIT_DEBUFF_NAME,LOC_ABILITY_AIR_BOMBER_ATTACK_UNIT_DEBUFF_DESCRIPTION,0,0,1
ABILITY_ANTI_AIR_COVER,LOC_ABILITY_ANTI_AIR_COVER_NAME,LOC_ABILITY_ANTI_AIR_COVER_DESCRIPTION,0,0,1
ABILITY_JONG,LOC_ABILITY_JONG_NAME,LOC_ABILITY_JONG_DESCRIPTION,0,0,1
ABILITY_MARTYR,LOC_PROMOTION_MARTYR_NAME,LOC_ABILITY_MARTYR_DESCRIPTION,1,0,1
ABILITY_GITARJA_RELIGIOUS_NO_EMBARK_DISEMBARK_COST,LOC_ABILITY_GITARJA_RELIGIOUS_NO_EMBARK_DISEMBARK_COST_NAME,LOC_ABILITY_GITARJA_RELIGIOUS_NO_EMBARK_DISEMBARK_COST_DESCRIPTION,1,0,1
ABILITY_SPEAR_OF_FIONN,LOC_ABILITY_SPEAR_OF_FIONN_NAME,LOC_ABILITY_SPEAR_OF_FIONN_DESCRIPTION,1,1,1
ABILITY_NUBIA_RANGED_EXPERIENCE_MODIFIER,LOC_ABILITY_NUBIA_RANGED_EXPERIENCE_MODIFIER_NAME,LOC_ABILITY_NUBIA_RANGED_EXPERIENCE_MODIFIER_DESCRIPTION,1,0,1
ABILITY_HYPASPIST,LOC_ABILITY_HYPASPIST_NAME,LOC_ABILITY_HYPASPIST_DESCRIPTION,0,0,1
ABILITY_HETAIROI,LOC_ABILITY_HETAIROI_NAME,LOC_ABILITY_HETAIROI_DESCRIPTION,0,0,1
ABILITY_BASILIKOI_TRAINED_UNIT_XP,LOC_ABILITY_BASILIKOI_TRAINED_UNIT_XP_NAME,LOC_ABILITY_BASILIKOI_TRAINED_UNIT_XP_DESCRIPTION,1,0,1
ABILITY_ALPINE_TRAINING,LOC_ABILITY_ALPINE_TRAINING_NAME,LOC_ABILITY_ALPINE_TRAINING__DESCRIPTION,1,1,1
ABILITY_ORDU_TRAINED_UNIT_XP,LOC_ABILITY_ORDU_TRAINED_UNIT_XP_NAME,LOC_ABILITY_ORDU_TRAINED_UNIT_XP_DESCRIPTION,1,0,1
ABILITY_ORDU_INCREASED_MOVEMENT,LOC_ABILITY_ORDU_INCREASED_MOVEMENT_NAME,LOC_ABILITY_ORDU_INCREASED_MOVEMENT_DESCRIPTION,1,0,1
ABILITY_ECONOMIC_GOLDEN_AGE_PLUNDER_IMMUNITY,,,1,0,1
ABILITY_TWILIGHT_VALOR_ATTACK_BONUS,,,1,0,1
ABILITY_INQUISITION_FRIENDLY_TERRITORY_BONUS,,,1,0,1
ABILITY_PARADROP,LOC_ABILITY_PARADROP_NAME,LOC_ABILITY_PARADROP_DESCRIPTION,0,0,1
ABILITY_RECEIVE_BOMBARD_STRENGTH_BUFF,,,0,0,1
ABILITY_SCOTTISH_HIGHLANDER,LOC_ABILITY_SCOTTISH_HIGHLANDER_NAME,LOC_ABILITY_SCOTTISH_HIGHLANDER_DESCRIPTION,0,0,1
ABILITY_MONGOLIAN_KESHIG,LOC_ABILITY_MONGOLIAN_KESHIG_NAME,LOC_ABILITY_MONGOLIAN_KESHIG_DESCRIPTION,0,0,1
ABILITY_DUTCH_ZEVEN_PROVINCIEN,LOC_ABILITY_DUTCH_ZEVEN_PROVINCIEN_NAME,LOC_ABILITY_DUTCH_ZEVEN_PROVINCIEN_DESCRIPTION,0,0,1
ABILITY_GEORGIAN_KHEVSURETI,LOC_ABILITY_GEORGIAN_KHEVSURETI_NAME,LOC_ABILITY_GEORGIAN_KHEVSURETI_DESCRIPTION,0,0,1
ABILITY_MAPUCHE_MALON_RAIDER,LOC_ABILITY_MAPUCHE_MALON_RAIDER_NAME,LOC_ABILITY_MAPUCHE_MALON_RAIDER_DESCRIPTION,0,0,1
ABILITY_CREE_OKIHTCITAW,LOC_ABILITY_CREE_OKIHTCITAW_NAME,LOC_ABILITY_CREE_OKIHTCITAW_DESCRIPTION,0,0,1
ABILITY_ZULU_IMPI,LOC_ABILITY_ZULU_IMPI_NAME,LOC_ABILITY_ZULU_IMPI_DESCRIPTION,0,0,1
ABILITY_OLIGARCHY_LEGACY_MELEE_BUFF,,,1,0,1
ABILITY_THEOCRACY_LEGACY_RELIGIOUS_BUFF,,,1,0,1
ABILITY_FASCISM_LEGACY_ATTACK_BUFF,,,1,0,1
ABILITY_GRANT_MOVEMENT_BONUS,LOC_ABILITY_GRANT_MOVEMENT_BONUS_NAME,LOC_ABILITY_GRANT_MOVEMENT_BONUS_DESCRIPTION,0,0,1
ABILITY_TOQUI_XP_FROM_GOVERNOR,LOC_ABILITY_TOQUI_XP_FROM_GOVERNOR_NAME,LOC_ABILITY_TOQUI_XP_FROM_GOVERNOR_DESCRIPTION,1,0,1
ABILITY_TOQUI_XP_FROM_GOVERNOR_NOT_FOUNDED,LOC_ABILITY_TOQUI_XP_FROM_GOVERNOR_NOT_FOUNDED_NAME,LOC_ABILITY_TOQUI_XP_FROM_GOVERNOR_NOT_FOUNDED_DESCRIPTION,1,0,1
ABILITY_TOQUI_COMBAT_BUFF_VS_GOLDEN_AGE,,,1,0,1
ABILITY_TIMUR_BONUS_EXPERIENCE,LOC_ABILITY_TIMUR_BONUS_EXPERIENCE_NAME,LOC_ABILITY_TIMUR_BONUS_EXPERIENCE_DESCRIPTION,1,0,1
ABILITY_DRONE_GRANT_SIEGE_BONUS,LOC_ABILITY_DRONE_GRANT_SIEGE_BONUS_NAME,LOC_ABILITY_DRONE_GRANT_SIEGE_BONUS_DESCRIPTION,0,0,1
ABILITY_GENGHIS_KHAN_CAVALRY_BONUS,LOC_ABILITY_GENGHIS_KHAN_CAVALRY_BONUS_NAME,LOC_ABILITY_GENGHIS_KHAN_CAVALRY_BONUS_DESCRIPTION,1,0,1
ABILITY_GENGHIS_KHAN_CAVALRY_CAPTURE_CAVALRY,LOC_ABILITY_GENGHIS_KHAN_CAVALRY_CAPTURE_CAVALRY_NAME,LOC_ABILITY_GENGHIS_KHAN_CAVALRY_CAPTURE_CAVALRY_DESCRIPTION,1,0,1
ABILITY_GUIDE_MOVEMENT_AOE_RELIGIOUS,LOC_ABILITY_GUIDE_MOVEMENT_AOE_RELIGIOUS_NAME,LOC_ABILITY_GUIDE_MOVEMENT_AOE_RELIGIOUS_DESCRIPTION,1,0,1
ABILITY_SAGE_COMBAT_AOE_RELIGIOUS,LOC_ABILITY_SAGE_COMBAT_AOE_RELIGIOUS_NAME,LOC_ABILITY_SAGE_COMBAT_AOE_RELIGIOUS_DESCRIPTION,1,0,1
ABILITY_GURU_MOVEMENT,LOC_ABILITY_GURU_MOVEMENT_NAME,LOC_ABILITY_GURU_MOVEMENT_DESCRIPTION,1,0,1
ABILITY_GURU_STRENGTH,LOC_ABILITY_GURU_STRENGTH_NAME,LOC_ABILITY_GURU_STRENGTH_DESCRIPTION,1,0,1
ABILITY_ROCK_BAND_ENTER_FOREIGN_LANDS,LOC_ABILITY_ROCK_BAND_ENTER_FOREIGN_LANDS_NAME,LOC_ABILITY_ROCK_BAND_ENTER_FOREIGN_LANDS_DESCRIPTION,0,0,1
ABILITY_UNIT_WMD_RESISTANCE,LOC_ABILITY_UNIT_WMD_RESISTANCE_NAME,LOC_ABILITY_UNIT_WMD_RESISTANCE_DESCRIPTION,0,0,1
ABILITY_UNIT_AUTO_VETERANCY,,,0,0,1
ABILITY_UNIT_FIGHT_WHILE_EMBARKED,LOC_ABILITY_UNIT_FIGHT_WHILE_EMBARKED_NAME,LOC_ABILITY_UNIT_FIGHT_WHILE_EMBARKED_DESCRIPTION,0,0,1
ABILITY_FINEST_HOUR_FRIENDLY_TERRITORY,,,1,0,1
ABILITY_DIGITAL_DEMOCRACY_DEBUFF,,,1,0,1
ABILITY_GLOBAL_COALITION_FRIENDLY_TERRITORY,,,1,0,1
ABILITY_CYBER_WARFARE_COMBAT_BONUS,,,1,0,1
ABILITY_ENABLE_WALL_ATTACK_PROMOTION_CLASS,LOC_ABILITY_ENABLE_WALL_ATTACK_NAME,LOC_ABILITY_ENABLE_WALL_PROMOTION_CLASS_ATTACK_DESCRIPTION,0,0,1
ABILITY_BYPASS_WALLS_PROMOTION_CLASS,LOC_ABILITY_BYPASS_WALLS_NAME,LOC_ABILITY_BYPASS_WALLS_PROMOTION_CLASS_DESCRIPTION,0,0,1
ABILITY_CHOLA_NAVAL_COMBAT,LOC_ABILITY_CHOLA_NAVAL_COMBAT_NAME,LOC_ABILITY_CHOLA_NAVAL_COMBAT_DESCRIPTION,1,0,1
ABILITY_ERIKSON_NAVAL_SIGHT,LOC_ABILITY_ERIKSON_NAVAL_SIGHT_NAME,LOC_ABILITY_ERIKSON_NAVAL_SIGHT_DESCRIPTION,1,0,1
ABILITY_MILITARYORGANIZATION_MOVEMENT,LOC_ABILITY_MILITARYORGANIZATION_MOVEMENT_NAME,LOC_ABILITY_MILITARYORGANIZATION_MOVEMENT_DESCRIPTION,1,0,1
ABILITY_MEDITERRANEAN_COLONIES,LOC_ABILITY_MEDITERRANEAN_COLONIES_NAME,LOC_ABILITY_MEDITERRANEAN_COLONIES_DESCRIPTION,1,0,1
ABILITY_BIREME_PROTECT_TRADER,LOC_ABILITY_BIREME_PROTECT_TRADER_NAME,LOC_ABILITY_BIREME_PROTECT_TRADER_DESCRIPTION,0,0,1
