ImprovementType,YieldChangeId
IMPROVEMENT_TERRACE_FARM,Terrace_MedievalAdjacency
IMPROVEMENT_TERRACE_FARM,Terrace_MechanizedAdjacency
IMPROVEMENT_TERRACE_FARM,Terrace_AqueductAdjacency
IMPROVEMENT_FARM,Farm_FoodObservatoryAdjacency
IMPROVEMENT_HACIENDA,Hacienda_PlantationAdjacency
IMPROVEMENT_HACIENDA,Hacienda_MechanizedPlantationAdjacency
IMPROVEMENT_HACIENDA,Hacienda_HaciendaAdjacency
IMPROVEMENT_HACIENDA,Hacienda_AdvancedHaciendaAdjacency
IMPROVEMENT_PLANTATION,Plantation_HaciendaAdjacency
IMPROVEMENT_PLANTATION,Plantation_AdvancedHaciendaAdjacency
IMPROVEMENT_BATEY,Batey_EntertainmentComplexAdjacency
IMPROVEMENT_BATEY,Batey_LateEntertainmentComplexAdjacency
IMPROVEMENT_BATEY,Batey_BonusResourceAdjacency
IMPROVEMENT_BATEY,Batey_LateBonusResourceAdjacency
IMPROVEMENT_ROCK_HEWN_CHURCH,Mountain_Faith1
IMPROVEMENT_ROCK_HEWN_CHURCH,Mountain_Faith2
IMPROVEMENT_ROCK_HEWN_CHURCH,Mountain_Faith3
IMPROVEMENT_ROCK_HEWN_CHURCH,Mountain_Faith4
IMPROVEMENT_ROCK_HEWN_CHURCH,Mountain_Faith5
IMPROVEMENT_ROCK_HEWN_CHURCH,Hills_Faith1
IMPROVEMENT_ROCK_HEWN_CHURCH,Hills_Faith2
IMPROVEMENT_ROCK_HEWN_CHURCH,Hills_Faith3
IMPROVEMENT_ROCK_HEWN_CHURCH,Hills_Faith4
IMPROVEMENT_ROCK_HEWN_CHURCH,Hills_Faith5
IMPROVEMENT_MAHAVIHARA,Mahavihara_Campus_Science_Early
IMPROVEMENT_MAHAVIHARA,Mahavihara_Campus_Science_Late
IMPROVEMENT_MAHAVIHARA,Mahavihara_Holy_Site_Faith
IMPROVEMENT_MAHAVIHARA,Mahavihara_Lavra_Faith
IMPROVEMENT_TRADING_DOME,TradingDome_LuxuryAdjacency
IMPROVEMENT_MAHAVIHARA,Mahavihara_Observatory_Science_Early
IMPROVEMENT_MAHAVIHARA,Mahavihara_Observatory_Science_Late
