ImprovementType,Name,BarbarianCamp,PrereqTech,PrereqCivic,Buildable,Description,RemoveOnEntry,DispersalGold,PlunderType,PlunderAmount,Goody,TilesPerGoody,GoodyRange,Icon,TraitType,Housing,TilesRequired,SameAdjacentValid,RequiresRiver,EnforceTerrain,BuildInLine,CanBuildOutsideTerritory,BuildOnFrontier,AirSlots,DefenseModifier,GrantFortification,MinimumAppeal,Coast,YieldFromAppeal,WeaponSlots,ReligiousUnitHealRate,Appeal,OnePerCity,YieldFromAppealPercent,ValidAdjacentTerrainAmount,Domain,AdjacentSeaResource,RequiresAdjacentBonusOrLuxury,MovementChange,Workable,ImprovementOnRemove,GoodyNotify,NoAdjacentSpecialtyDistrict,RequiresAdjacentLuxury,AdjacentToLand,Removable,OnlyOpenBorders,Capturable
IMPROVEMENT_OFFSHORE_OIL_RIG,LOC_IMPROVEMENT_OFFSHORE_OIL_RIG_NAME,0,TECH_PLASTICS,,0,LOC_IMPROVEMENT_OFFSHORE_OIL_RIG_DESCRIPTION,0,0,PLUNDER_GOLD,50,0,,,ICON_IMPROVEMENT_OFFSHORE_OIL_RIG,,0,1,1,0,1,0,0,0,0,0,0,,0,,0,0,-1,0,100,0,DOMAIN_SEA,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_FORT,LOC_IMPROVEMENT_FORT_NAME,0,TECH_SIEGE_TACTICS,,1,LOC_IMPROVEMENT_FORT_DESCRIPTION,0,0,NO_PLUNDER,0,0,,,ICON_IMPROVEMENT_FORT,,0,1,1,0,0,0,1,0,0,4,2,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_AIRSTRIP,LOC_IMPROVEMENT_AIRSTRIP_NAME,0,TECH_FLIGHT,,1,LOC_IMPROVEMENT_AIRSTRIP_DESCRIPTION,0,0,NO_PLUNDER,0,0,,,ICON_IMPROVEMENT_AIRSTRIP,,0,1,1,0,0,0,1,0,3,0,0,,0,,0,0,-1,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_BEACH_RESORT,LOC_IMPROVEMENT_BEACH_RESORT_NAME,0,TECH_RADIO,,1,LOC_IMPROVEMENT_BEACH_RESORT_DESCRIPTION,0,0,PLUNDER_GOLD,50,0,,,ICON_IMPROVEMENT_BEACH_RESORT,,0,1,1,0,0,0,0,0,0,0,0,4.0,1,YIELD_GOLD,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_MISSILE_SILO,LOC_IMPROVEMENT_MISSILE_SILO,0,TECH_ROCKETRY,,1,LOC_IMPROVEMENT_MISSILE_SILO_DESCRIPTION,0,0,NO_PLUNDER,0,0,,,ICON_IMPROVEMENT_MISSILE_SILO,,0,1,1,0,0,0,0,0,0,0,0,,0,,1,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_CHATEAU,LOC_IMPROVEMENT_CHATEAU_NAME,0,,CIVIC_HUMANISM,1,LOC_IMPROVEMENT_CHATEAU_EXPANSION2_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_CHATEAU,TRAIT_CIVILIZATION_IMPROVEMENT_CHATEAU,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,1,0,100,0,DOMAIN_LAND,0,1,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_COLOSSAL_HEAD,LOC_IMPROVEMENT_COLOSSAL_HEAD_NAME,0,,,1,LOC_IMPROVEMENT_COLOSSAL_HEAD_EXPANSION2_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_COLOSSAL_HEAD,MINOR_CIV_LA_VENTA_TRAIT,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_GREAT_WALL,LOC_IMPROVEMENT_GREAT_WALL_NAME,0,TECH_MASONRY,,1,LOC_IMPROVEMENT_GREAT_WALL_EXPANSION2_DESCRIPTION,0,0,PLUNDER_GOLD,50,0,,,ICON_IMPROVEMENT_GREAT_WALL,TRAIT_CIVILIZATION_IMPROVEMENT_GREAT_WALL,0,1,1,0,0,1,0,1,0,4,2,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_KURGAN,LOC_IMPROVEMENT_KURGAN_NAME,0,TECH_ANIMAL_HUSBANDRY,,1,LOC_IMPROVEMENT_KURGAN_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_KURGAN,TRAIT_CIVILIZATION_IMPROVEMENT_KURGAN,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_MISSION,LOC_IMPROVEMENT_MISSION_NAME,0,TECH_EDUCATION,,1,LOC_IMPROVEMENT_MISSION_EXPANSION2_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_MISSION,TRAIT_CIVILIZATION_IMPROVEMENT_MISSION,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_ROMAN_FORT,LOC_IMPROVEMENT_ROMAN_FORT_NAME,0,,,1,LOC_IMPROVEMENT_ROMAN_FORT_DESCRIPTION,0,0,NO_PLUNDER,0,0,,,ICON_IMPROVEMENT_FORT,,0,1,1,0,0,0,1,0,0,4,2,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_SPHINX,LOC_IMPROVEMENT_SPHINX_NAME,0,,CIVIC_CRAFTSMANSHIP,1,LOC_IMPROVEMENT_SPHINX_EXPANSION2_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_SPHINX,TRAIT_CIVILIZATION_IMPROVEMENT_SPHINX,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,2,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_STEPWELL,LOC_IMPROVEMENT_STEPWELL_NAME,0,TECH_IRRIGATION,,1,LOC_IMPROVEMENT_STEPWELL_EXPANSION2_DESCRIPTION,0,0,PLUNDER_HEAL,50,0,,,ICON_IMPROVEMENT_STEPWELL,TRAIT_CIVILIZATION_IMPROVEMENT_STEPWELL,2,2,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_ZIGGURAT,LOC_IMPROVEMENT_ZIGGURAT_NAME,0,,,1,LOC_IMPROVEMENT_ZIGGURAT_DESCRIPTION,0,0,PLUNDER_GOLD,50,0,,,ICON_IMPROVEMENT_ZIGGURAT,TRAIT_CIVILIZATION_IMPROVEMENT_ZIGGURAT,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_KAMPUNG,LOC_IMPROVEMENT_KAMPUNG_NAME,0,TECH_SHIPBUILDING,,1,LOC_IMPROVEMENT_KAMPUNG_DESCRIPTION,0,0,PLUNDER_HEAL,50,0,,,ICON_IMPROVEMENT_KAMPUNG,TRAIT_CIVILIZATION_IMPROVEMENT_KAMPUNG,2,2,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_SEA,1,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_ALCAZAR,LOC_IMPROVEMENT_ALCAZAR_NAME,0,,,1,LOC_IMPROVEMENT_ALCAZAR_EXPANSION2_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_ALCAZAR,MINOR_CIV_GRANADA_TRAIT,0,1,0,0,0,0,0,0,0,4,2,,0,YIELD_SCIENCE,0,0,0,0,50,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_MONASTERY,LOC_IMPROVEMENT_MONASTERY_NAME,0,,,1,LOC_IMPROVEMENT_MONASTERY_EXPANSION2_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_MONASTERY,MINOR_CIV_ARMAGH_TRAIT,2,2,0,0,0,0,0,0,0,0,0,,0,,0,15,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_PYRAMID,LOC_IMPROVEMENT_PYRAMID_NAME,0,TECH_MASONRY,,1,LOC_IMPROVEMENT_PYRAMID_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_PYRAMID,TRAIT_CIVILIZATION_IMPROVEMENT_PYRAMID,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_PAIRIDAEZA,LOC_IMPROVEMENT_PAIRIDAEZA_NAME,0,,CIVIC_EARLY_EMPIRE,1,LOC_IMPROVEMENT_PAIRIDAEZA_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_PAIRIDAEZA,TRAIT_CIVILIZATION_IMPROVEMENT_PAIRIDAEZA,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,1,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_OUTBACK_STATION,LOC_IMPROVEMENT_OUTBACK_STATION_NAME,0,,CIVIC_GUILDS,1,LOC_IMPROVEMENT_OUTBACK_STATION_DESCRIPTION,0,0,PLUNDER_HEAL,50,0,,,ICON_IMPROVEMENT_OUTBACK_STATION,TRAIT_CIVILIZATION_IMPROVEMENT_OUTBACK_STATION,1,2,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_CHEMAMULL,LOC_IMPROVEMENT_CHEMAMULL_NAME,0,,CIVIC_CRAFTSMANSHIP,1,LOC_IMPROVEMENT_CHEMAMULL_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_CHEMAMULL,TRAIT_CIVILIZATION_IMPROVEMENT_CHEMAMULL,0,1,1,0,0,0,0,0,0,0,0,4.0,0,YIELD_CULTURE,0,0,0,0,75,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_GOLF_COURSE,LOC_IMPROVEMENT_GOLF_COURSE_NAME,0,,CIVIC_REFORMED_CHURCH,1,LOC_IMPROVEMENT_GOLF_COURSE_XP2_DESCRIPTION,0,0,PLUNDER_HEAL,50,0,,,ICON_IMPROVEMENT_GOLF_COURSE,TRAIT_CIVILIZATION_IMPROVEMENT_GOLF_COURSE,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,1,1,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_MEKEWAP,LOC_IMPROVEMENT_MEKEWAP_NAME,0,TECH_POTTERY,,1,LOC_IMPROVEMENT_MEKEWAP_DESCRIPTION,0,0,PLUNDER_HEAL,50,0,,,ICON_IMPROVEMENT_MEKEWAP,TRAIT_CIVILIZATION_IMPROVEMENT_MEKEWAP,2,2,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,1,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_POLDER,LOC_IMPROVEMENT_POLDER_NAME,0,,CIVIC_GUILDS,1,LOC_IMPROVEMENT_POLDER_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_POLDER,TRAIT_CIVILIZATION_IMPROVEMENT_POLDER,1,2,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,3,DOMAIN_SEA,0,0,2,1,,1,0,0,0,1,0,1
IMPROVEMENT_FISHERY,LOC_IMPROVEMENT_FISHERY_NAME,0,TECH_SAILING,,1,LOC_IMPROVEMENT_FISHERY_DESCRIPTION,0,0,PLUNDER_HEAL,50,0,,,ICON_IMPROVEMENT_FISHERY,TRAIT_CIVILIZATION_NO_PLAYER,1,2,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_SEA,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_CITY_PARK,LOC_IMPROVEMENT_CITY_PARK_NAME,0,,CIVIC_GAMES_RECREATION,1,LOC_IMPROVEMENT_CITY_PARK_DESCRIPTION,0,0,PLUNDER_HEAL,50,0,,,ICON_IMPROVEMENT_CITY_PARK,TRAIT_CIVILIZATION_NO_PLAYER,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,2,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_GEOTHERMAL_PLANT,LOC_IMPROVEMENT_GEOTHERMAL_PLANT_NAME,0,TECH_SYNTHETIC_MATERIALS,,0,LOC_IMPROVEMENT_GEOTHERMAL_PLANT_DESCRIPTION,0,0,PLUNDER_GOLD,50,0,,,ICON_IMPROVEMENT_GEOTHERMAL_PLANT,,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_SOLAR_FARM,LOC_IMPROVEMENT_SOLAR_FARM_NAME,0,TECH_SATELLITES,,0,LOC_IMPROVEMENT_SOLAR_FARM_DESCRIPTION,0,0,PLUNDER_GOLD,50,0,,,ICON_IMPROVEMENT_SOLAR_FARM,,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_WIND_FARM,LOC_IMPROVEMENT_WIND_FARM_NAME,0,TECH_COMPOSITES,,0,LOC_IMPROVEMENT_WIND_FARM_DESCRIPTION,0,0,PLUNDER_GOLD,50,0,,,ICON_IMPROVEMENT_WIND_FARM,,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_OFFSHORE_WIND_FARM,LOC_IMPROVEMENT_OFFSHORE_WIND_FARM_NAME,0,TECH_PREDICTIVE_SYSTEMS,,0,LOC_IMPROVEMENT_OFFSHORE_WIND_FARM_DESCRIPTION,0,0,PLUNDER_GOLD,50,0,,,ICON_IMPROVEMENT_OFFSHORE_WIND_FARM,,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_SEA,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_SEASTEAD,LOC_IMPROVEMENT_SEASTEAD_NAME,0,TECH_SEASTEADS,,0,LOC_IMPROVEMENT_SEASTEAD_DESCRIPTION,0,0,PLUNDER_HEAL,50,0,,,ICON_IMPROVEMENT_SEASTEAD,,4,2,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_SEA,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_MOAI,LOC_IMPROVEMENT_MOAI_NAME,0,,,1,LOC_IMPROVEMENT_MOAI_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_MOAI,MINOR_CIV_RAPA_NUI_TRAIT,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_MOUND,LOC_IMPROVEMENT_MOUND_NAME,0,,,1,LOC_IMPROVEMENT_MOUND_DESCRIPTION,0,0,PLUNDER_HEAL,50,0,,,ICON_IMPROVEMENT_MOUND,MINOR_CIV_CAHOKIA_TRAIT,2,2,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_NAZCA_LINE,LOC_IMPROVEMENT_NAZCA_LINE_NAME,0,,,1,LOC_IMPROVEMENT_NAZCA_LINE_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_NAZCA_LINE,MINOR_CIV_NAZCA_TRAIT,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,1,0,100,0,DOMAIN_LAND,0,0,0,0,,1,0,0,0,1,0,1
IMPROVEMENT_SKI_RESORT,LOC_IMPROVEMENT_SKI_RESORT_NAME,0,,CIVIC_PROFESSIONAL_SPORTS,1,LOC_IMPROVEMENT_SKI_RESORT_DESCRIPTION,0,0,NO_PLUNDER,0,0,,,ICON_IMPROVEMENT_SKI_RESORT,,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,0,,1,0,0,0,1,0,1
IMPROVEMENT_MOUNTAIN_TUNNEL,LOC_IMPROVEMENT_MOUNTAIN_TUNNEL_NAME,0,TECH_CHEMISTRY,,1,LOC_IMPROVEMENT_MOUNTAIN_TUNNEL_DESCRIPTION,0,0,PLUNDER_NONE,50,0,,,ICON_IMPROVEMENT_MOUNTAIN_TUNNEL,,0,1,1,0,0,0,1,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_OPEN_AIR_MUSEUM,LOC_IMPROVEMENT_OPEN_AIR_MUSEUM_NAME,0,,CIVIC_NATIONALISM,1,LOC_IMPROVEMENT_OPEN_AIR_MUSEUM_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_OPEN_AIR_MUSEUM,TRAIT_CIVILIZATION_IMPROVEMENT_OPEN_AIR_MUSEUM,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,0,1,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_ICE_HOCKEY_RINK,LOC_IMPROVEMENT_ICE_HOCKEY_RINK_NAME,0,,CIVIC_COLONIALISM,1,LOC_IMPROVEMENT_ICE_HOCKEY_RINK_DESCRIPTION,0,0,PLUNDER_HEAL,50,0,,,ICON_IMPROVEMENT_ICE_HOCKEY_RINK,TRAIT_CIVILIZATION_IMPROVEMENT_ICE_HOCKEY_RINK,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,2,1,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_TERRACE_FARM,LOC_IMPROVEMENT_TERRACE_FARM_NAME,0,,,1,LOC_IMPROVEMENT_TERRACE_FARM_DESCRIPTION,0,0,PLUNDER_HEAL,50,0,,,ICON_IMPROVEMENT_TERRACE_FARM,TRAIT_CIVILIZATION_IMPROVEMENT_TERRACE_FARM,2,2,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_MAORI_PA,LOC_IMPROVEMENT_MAORI_PA_NAME,0,,,1,LOC_IMPROVEMENT_MAORI_PA_DESCRIPTION,0,0,NO_PLUNDER,50,0,,,ICON_IMPROVEMENT_MAORI_PA,TRAIT_CIVILIZATION_IMPROVEMENT_MAORI_PA,0,1,1,0,0,0,1,0,0,4,2,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_MOUNTAIN_ROAD,LOC_IMPROVEMENT_MOUNTAIN_ROAD_NAME,0,,CIVIC_FOREIGN_TRADE,1,LOC_IMPROVEMENT_MOUNTAIN_ROAD_DESCRIPTION,0,0,PLUNDER_NONE,50,0,,,ICON_IMPROVEMENT_MOUNTAIN_ROAD,TRAIT_LEADER_PACHACUTI_IMPROVEMENT_MOUNTAIN_ROAD,0,1,1,0,0,0,1,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_BATEY,LOC_IMPROVEMENT_BATEY_NAME,0,,,1,LOC_IMPROVEMENT_BATEY_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_BATEY,MINOR_CIV_CAGUANA_TRAIT,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_HACIENDA,LOC_IMPROVEMENT_HACIENDA_NAME,0,,CIVIC_MERCANTILISM,1,LOC_IMPROVEMENT_HACIENDA_DESCRIPTION,0,0,PLUNDER_HEAL,50,0,,,ICON_IMPROVEMENT_HACIENDA,TRAIT_CIVILIZATION_IMPROVEMENT_HACIENDA,1,2,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_METEOR_GOODY,LOC_IMPROVEMENT_METEOR_GOODY_NAME,0,,,0,,1,0,NO_PLUNDER,0,1,,,ICON_IMPROVEMENT_GOODY_HUT,,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,1,,0,0,0,0,1,0,1
IMPROVEMENT_ROCK_HEWN_CHURCH,LOC_IMPROVEMENT_ROCK_HEWN_CHURCH_NAME,0,,CIVIC_DRAMA_POETRY,1,LOC_IMPROVEMENT_ROCK_HEWN_CHURCH_EXPANSION2_DESCRIPTION,0,0,PLUNDER_FAITH,25,0,,,ICON_IMPROVEMENT_ROCK_HEWN_CHURCH,TRAIT_CIVILIZATION_IMPROVEMENT_ROCK_HEWN_CHURCH,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,1,0,100,0,DOMAIN_LAND,0,0,0,1,,1,0,0,0,1,0,1
IMPROVEMENT_VAMPIRE_CASTLE,LOC_IMPROVEMENT_VAMPIRE_CASTLE_NAME,0,,,0,LOC_IMPROVEMENT_VAMPIRE_CASTLE_DESCRIPTION,0,0,NO_PLUNDER,0,0,,,ICON_IMPROVEMENT_VAMPIRE_CASTLE,,0,1,0,0,0,0,1,0,0,4,2,,0,,0,0,0,0,100,0,DOMAIN_LAND,0,0,0,0,,1,0,0,0,1,0,0
