UnitType,Name,BaseSightRange,BaseMoves,Combat,RangedCombat,Range,Bombard,Domain,FormationClass,Cost,PopulationCost,FoundCity,FoundReligion,MakeTradeRoute,EvangelizeBelief,LaunchInquisition,RequiresInquisition,BuildCharges,ReligiousStrength,ReligionEvictPercent,SpreadCharges,ReligiousHealCharges,ExtractsArtifacts,Description,Flavor,CanCapture,CanRetreatWhenCaptured,TraitType,AllowBarbarians,CostProgressionModel,CostProgressionParam1,PromotionClass,InitialLevel,NumRandomChoices,PrereqTech,PrereqCivic,PrereqDistrict,PrereqPopulation,LeaderType,CanTrain,StrategicResource,PurchaseYield,MustPurchase,Maintenance,Stackable,AirSlots,CanTargetAir,PseudoYieldType,ZoneOfControl,AntiAirCombat,Spy,WMDCapable,ParkCharges,IgnoreMoves,TeamVisibility,ObsoleteTech,ObsoleteCivic,MandatoryObsoleteTech,MandatoryObsoleteCivic,AdvisorType,EnabledByReligion,TrackReligion,DisasterCharges,UseMaxMeleeTrainedStrength,ImmediatelyName,CanEarnExperience
UNIT_GREAT_ADMIRAL,LOC_UNIT_GREAT_ADMIRAL_NAME,2,4,0,0,0,0,DOMAIN_SEA,FORMATION_CLASS_CIVILIAN,1,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_GREAT_ADMIRAL_DESCRIPTION,,0,1,,0,NO_COST_PROGRESSION,0,,1,0,,,,,,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,1
UNIT_GREAT_ENGINEER,LOC_UNIT_GREAT_ENGINEER_NAME,2,4,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,1,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_GREAT_ENGINEER_DESCRIPTION,,0,1,,0,NO_COST_PROGRESSION,0,,1,0,,,,,,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,1
UNIT_GREAT_MERCHANT,LOC_UNIT_GREAT_MERCHANT_NAME,2,4,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,1,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_GREAT_MERCHANT_DESCRIPTION,,0,1,,0,NO_COST_PROGRESSION,0,,1,0,,,,,,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,1
UNIT_GREAT_PROPHET,LOC_UNIT_GREAT_PROPHET_NAME,2,4,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,1,,0,1,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_GREAT_PROPHET_DESCRIPTION,,0,1,,0,NO_COST_PROGRESSION,0,,1,0,,,,,,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,1
UNIT_GREAT_SCIENTIST,LOC_UNIT_GREAT_SCIENTIST_NAME,2,4,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,1,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_GREAT_SCIENTIST_DESCRIPTION,,0,1,,0,NO_COST_PROGRESSION,0,,1,0,,,,,,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,1
UNIT_GREAT_WRITER,LOC_UNIT_GREAT_WRITER_NAME,2,4,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,1,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_GREAT_WRITER_DESCRIPTION,,0,1,,0,NO_COST_PROGRESSION,0,,1,0,,,,,,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,1
UNIT_GREAT_ARTIST,LOC_UNIT_GREAT_ARTIST_NAME,2,4,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,1,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_GREAT_ARTIST_DESCRIPTION,,0,1,,0,NO_COST_PROGRESSION,0,,1,0,,,,,,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,1
UNIT_GREAT_MUSICIAN,LOC_UNIT_GREAT_MUSICIAN_NAME,2,4,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,1,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_GREAT_MUSICIAN_DESCRIPTION,,0,1,,0,NO_COST_PROGRESSION,0,,1,0,,,,,,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,1
UNIT_SPY,LOC_UNIT_SPY_NAME,3,1,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,225,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_SPY_DESCRIPTION,,0,0,,0,COST_PROGRESSION_PREVIOUS_COPIES,75,PROMOTION_CLASS_SPY,1,3,,,,,,1,,,0,4,0,0,0,PSEUDOYIELD_UNIT_SPY,0,0,1,0,0,1,1,,,,,ADVISOR_TECHNOLOGY,0,0,0,0,0,1
UNIT_NATURALIST,LOC_UNIT_NATURALIST_NAME,3,4,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_CIVILIAN,300,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_NATURALIST_DESCRIPTION,,0,1,,0,COST_PROGRESSION_PREVIOUS_COPIES,50,,1,0,,CIVIC_CONSERVATION,,,,1,,YIELD_FAITH,1,0,0,0,0,PSEUDOYIELD_UNIT_RELIGIOUS,0,0,0,0,1,0,0,,,,,,0,0,0,0,0,1
UNIT_SCOUT,LOC_UNIT_SCOUT_NAME,2,3,10,0,0,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,30,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_SCOUT_DESCRIPTION,,1,0,,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_RECON,1,0,,,,,,1,,YIELD_GOLD,0,0,0,0,0,PSEUDOYIELD_UNIT_EXPLORER,1,0,0,0,0,0,0,,,,,ADVISOR_GENERIC,0,0,0,0,0,1
UNIT_WARRIOR,LOC_UNIT_WARRIOR_NAME,2,2,20,0,0,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,40,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_WARRIOR_DESCRIPTION,,1,0,,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_MELEE,1,0,,,,,,1,,YIELD_GOLD,0,0,0,0,0,,1,0,0,0,0,0,0,,,TECH_GUNPOWDER,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_SLINGER,LOC_UNIT_SLINGER_NAME,2,2,5,15,1,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,35,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_SLINGER_DESCRIPTION,,1,0,,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_RANGED,1,0,,,,,,1,,YIELD_GOLD,0,0,0,0,0,,0,0,0,0,0,0,0,,,TECH_MACHINERY,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_BARBARIAN_HORSEMAN,LOC_UNIT_BARBARIAN_HORSEMAN_NAME,2,3,20,0,0,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,40,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_BARBARIAN_HORSEMAN_DESCRIPTION,,1,0,TRAIT_BARBARIAN_BUT_SHOWS_UP_IN_PEDIA,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_LIGHT_CAVALRY,1,0,,,,,,1,,YIELD_GOLD,0,1,0,0,0,,1,0,0,0,0,0,0,,,,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_BARBARIAN_HORSE_ARCHER,LOC_UNIT_BARBARIAN_HORSE_ARCHER_NAME,2,3,10,15,1,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,35,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_BARBARIAN_HORSE_ARCHER_DESCRIPTION,,1,0,TRAIT_BARBARIAN_BUT_SHOWS_UP_IN_PEDIA,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_RANGED,1,0,,,,,,1,,YIELD_GOLD,0,1,0,0,0,,0,0,0,0,0,0,0,,,,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_SUMERIAN_WAR_CART,LOC_UNIT_SUMERIAN_WAR_CART_NAME,2,3,30,0,0,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,55,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_SUMERIAN_WAR_CART_DESCRIPTION,,1,0,TRAIT_CIVILIZATION_UNIT_SUMERIAN_WAR_CART,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_HEAVY_CAVALRY,1,0,,,,,,1,,YIELD_GOLD,0,0,0,0,0,,1,0,0,0,0,0,0,,,TECH_STIRRUPS,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_GALLEY,LOC_UNIT_GALLEY_NAME,2,3,30,0,0,0,DOMAIN_SEA,FORMATION_CLASS_NAVAL,65,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_GALLEY_DESCRIPTION,,1,0,,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_NAVAL_MELEE,1,0,TECH_SAILING,,,,,1,,YIELD_GOLD,0,1,0,0,0,PSEUDOYIELD_UNIT_NAVAL_COMBAT,1,0,0,0,0,0,0,,,TECH_STEAM_POWER,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_NORWEGIAN_LONGSHIP,LOC_UNIT_NORWEGIAN_LONGSHIP_NAME,2,3,35,0,0,0,DOMAIN_SEA,FORMATION_CLASS_NAVAL,65,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_NORWEGIAN_LONGSHIP_DESCRIPTION,,1,0,TRAIT_LEADER_UNIT_NORWEGIAN_LONGSHIP,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_NAVAL_MELEE,1,0,TECH_SAILING,,,,,1,,YIELD_GOLD,0,1,0,0,0,PSEUDOYIELD_UNIT_NAVAL_COMBAT,1,0,0,0,0,0,0,,,TECH_ELECTRICITY,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_ARCHER,LOC_UNIT_ARCHER_NAME,2,2,15,25,2,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,60,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_ARCHER_DESCRIPTION,,1,0,,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_RANGED,1,0,TECH_ARCHERY,,,,,1,,YIELD_GOLD,0,1,0,0,0,,0,0,0,0,0,0,0,,,TECH_BALLISTICS,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_SPEARMAN,LOC_UNIT_SPEARMAN_NAME,2,2,25,0,0,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,65,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_SPEARMAN_DESCRIPTION,,1,0,,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_ANTI_CAVALRY,1,0,TECH_BRONZE_WORKING,,,,,1,,YIELD_GOLD,0,1,0,0,0,,1,0,0,0,0,0,0,,,TECH_METAL_CASTING,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_HEAVY_CHARIOT,LOC_UNIT_HEAVY_CHARIOT_NAME,2,2,28,0,0,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,65,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_HEAVY_CHARIOT_DESCRIPTION,,1,0,,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_HEAVY_CAVALRY,1,0,TECH_THE_WHEEL,,,,,1,,YIELD_GOLD,0,1,0,0,0,,1,0,0,0,0,0,0,,,TECH_COMBUSTION,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_BATTERING_RAM,LOC_UNIT_BATTERING_RAM_NAME,2,2,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_SUPPORT,65,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_BATTERING_RAM_EXPANSION2_DESCRIPTION,,1,0,,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_SUPPORT,1,0,TECH_MASONRY,,,,,1,,YIELD_GOLD,0,1,0,0,0,,0,0,0,0,0,0,0,,CIVIC_CIVIL_ENGINEERING,,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_GREEK_HOPLITE,LOC_UNIT_GREEK_HOPLITE_NAME,2,2,28,0,0,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,65,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_GREEK_HOPLITE_DESCRIPTION,,1,0,TRAIT_CIVILIZATION_UNIT_GREEK_HOPLITE,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_ANTI_CAVALRY,1,0,TECH_BRONZE_WORKING,,,,,1,,YIELD_GOLD,0,1,0,0,0,,1,0,0,0,0,0,0,,,TECH_METAL_CASTING,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_SWORDSMAN,LOC_UNIT_SWORDSMAN_NAME,2,2,35,0,0,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,90,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_SWORDSMAN_DESCRIPTION,,1,0,,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_MELEE,1,0,TECH_IRON_WORKING,,,,,1,RESOURCE_IRON,YIELD_GOLD,0,2,0,0,0,,1,0,0,0,0,0,0,,,TECH_REPLACEABLE_PARTS,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_HORSEMAN,LOC_UNIT_HORSEMAN_NAME,2,4,36,0,0,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,80,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_HORSEMAN_DESCRIPTION,,1,0,,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_LIGHT_CAVALRY,1,0,TECH_HORSEBACK_RIDING,,,,,1,RESOURCE_HORSES,YIELD_GOLD,0,2,0,0,0,,1,0,0,0,0,0,0,,,TECH_SYNTHETIC_MATERIALS,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_SCYTHIAN_HORSE_ARCHER,LOC_UNIT_SCYTHIAN_HORSE_ARCHER_NAME,2,4,20,25,1,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,100,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_SCYTHIAN_HORSE_ARCHER_DESCRIPTION,,1,0,TRAIT_CIVILIZATION_UNIT_SCYTHIAN_HORSE_ARCHER,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_RANGED,1,0,TECH_HORSEBACK_RIDING,,,,,1,,YIELD_GOLD,0,2,0,0,0,,0,0,0,0,0,0,0,,,TECH_BALLISTICS,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_ROMAN_LEGION,LOC_UNIT_ROMAN_LEGION_NAME,2,2,40,0,0,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,110,,0,0,0,0,0,0,1,0,0,0,0,0,LOC_UNIT_ROMAN_LEGION_DESCRIPTION,,1,0,TRAIT_CIVILIZATION_UNIT_ROMAN_LEGION,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_MELEE,1,0,TECH_IRON_WORKING,,,,,1,RESOURCE_IRON,YIELD_GOLD,0,2,0,0,0,,1,0,0,0,0,0,0,,,TECH_REPLACEABLE_PARTS,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_KONGO_SHIELD_BEARER,LOC_UNIT_KONGO_SHIELD_BEARER_NAME,2,2,38,0,0,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,110,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_KONGO_SHIELD_BEARER_DESCRIPTION,,1,0,TRAIT_CIVILIZATION_UNIT_KONGO_SHIELD_BEARER,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_MELEE,1,0,TECH_IRON_WORKING,,,,,1,RESOURCE_IRON,YIELD_GOLD,0,2,0,0,0,,1,0,0,0,0,0,0,,,TECH_REPLACEABLE_PARTS,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_CATAPULT,LOC_UNIT_CATAPULT_NAME,2,2,25,0,2,35,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,120,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_CATAPULT_DESCRIPTION,,1,0,,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_SIEGE,1,0,TECH_ENGINEERING,,,,,1,,YIELD_GOLD,0,2,0,0,0,,0,0,0,0,0,0,0,,,TECH_STEEL,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_SIEGE_TOWER,LOC_UNIT_SIEGE_TOWER_NAME,2,2,0,0,0,0,DOMAIN_LAND,FORMATION_CLASS_SUPPORT,100,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_SIEGE_TOWER_EXPANSION2_DESCRIPTION,,1,0,,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_SUPPORT,1,0,TECH_MACHINERY,,,,,1,,YIELD_GOLD,0,2,0,0,0,,0,0,0,0,0,0,0,,CIVIC_CIVIL_ENGINEERING,,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_QUADRIREME,LOC_UNIT_QUADRIREME_NAME,2,3,20,25,1,0,DOMAIN_SEA,FORMATION_CLASS_NAVAL,120,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_QUADRIREME_DESCRIPTION,,1,0,,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_NAVAL_RANGED,1,0,TECH_SHIPBUILDING,,,,,1,,YIELD_GOLD,0,2,0,0,0,PSEUDOYIELD_UNIT_NAVAL_COMBAT,1,0,0,0,0,0,0,,,TECH_STEEL,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_EGYPTIAN_CHARIOT_ARCHER,LOC_UNIT_EGYPTIAN_CHARIOT_ARCHER_NAME,2,2,25,35,2,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,90,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_EGYPTIAN_CHARIOT_ARCHER_EXPANSION2_DESCRIPTION,,1,0,TRAIT_CIVILIZATION_UNIT_EGYPTIAN_CHARIOT_ARCHER,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_RANGED,1,0,TECH_THE_WHEEL,,,,,1,,YIELD_GOLD,0,1,0,0,0,,0,0,0,0,0,0,0,,,TECH_BALLISTICS,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_JAPANESE_SAMURAI,LOC_UNIT_JAPANESE_SAMURAI_NAME,2,2,48,0,0,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,160,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_JAPANESE_SAMURAI_DESCRIPTION,,1,0,TRAIT_CIVILIZATION_UNIT_JAPANESE_SAMURAI,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_MELEE,1,0,,CIVIC_FEUDALISM,,,,1,RESOURCE_IRON,YIELD_GOLD,0,3,0,0,0,,1,0,0,0,0,0,0,,,TECH_REPLACEABLE_PARTS,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_NORWEGIAN_BERSERKER,LOC_UNIT_NORWEGIAN_BERSERKER_NAME,2,2,48,0,0,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,160,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_NORWEGIAN_BERSERKER_DESCRIPTION,,1,0,TRAIT_CIVILIZATION_UNIT_NORWEGIAN_BERSERKER,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_MELEE,1,0,TECH_MILITARY_TACTICS,,,,,1,RESOURCE_IRON,YIELD_GOLD,0,3,0,0,0,,1,0,0,0,0,0,0,,,TECH_REPLACEABLE_PARTS,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_KNIGHT,LOC_UNIT_KNIGHT_NAME,2,4,50,0,0,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,220,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_KNIGHT_DESCRIPTION,,1,0,,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_HEAVY_CAVALRY,1,0,TECH_STIRRUPS,,,,,1,RESOURCE_IRON,YIELD_GOLD,0,4,0,0,0,,1,0,0,0,0,0,0,,,TECH_COMPOSITES,,ADVISOR_CONQUEST,0,0,0,0,0,1
UNIT_INDIAN_VARU,LOC_UNIT_INDIAN_VARU_NAME,3,2,40,0,0,0,DOMAIN_LAND,FORMATION_CLASS_LAND_COMBAT,120,,0,0,0,0,0,0,0,0,0,0,0,0,LOC_UNIT_INDIAN_VARU_DESCRIPTION,,1,0,TRAIT_CIVILIZATION_UNIT_INDIAN_VARU,0,NO_COST_PROGRESSION,0,PROMOTION_CLASS_HEAVY_CAVALRY,1,0,TECH_HORSEBACK_RIDING,,,,,1,,YIELD_GOLD,0,2,0,0,0,,1,0,0,0,0,0,0,,,TECH_COMBUSTION,,ADVISOR_CONQUEST,0,0,0,0,0,1
