ProjectType,Name,ShortName,Description,PopupText,Cost,CostProgressionModel,CostProgressionParam1,PrereqTech,PrereqCivic,PrereqDistrict,RequiredBuilding,VisualBuildingType,SpaceRace,OuterDefenseRepair,MaxPlayerInstances,AmenitiesWhileActive,PrereqResource,AdvisorType,WMD,UnlocksFromEffect
PROJECT_ENHANCE_DISTRICT_CAMPUS,LOC_PROJECT_ENHANCE_DISTRICT_CAMPUS_NAME,LOC_PROJECT_ENHANCE_DISTRICT_CAMPUS_SHORT_NAME,LOC_PROJECT_ENHANCE_DISTRICT_CAMPUS_DESCRIPTION,,25,COST_PROGRESSION_GAME_PROGRESS,1500,,,DISTRICT_CAMPUS,,,0,0,,,,ADVISOR_TECHNOLOGY,0,0
PROJECT_ENHANCE_DISTRICT_THEATER,LOC_PROJECT_ENHANCE_DISTRICT_THEATER_NAME,LOC_PROJECT_ENHANCE_DISTRICT_THEATER_SHORT_NAME,LOC_PROJECT_ENHANCE_DISTRICT_THEATER_DESCRIPTION,,25,COST_PROGRESSION_GAME_PROGRESS,1500,,,DISTRICT_THEATER,,,0,0,,,,ADVISOR_CULTURE,0,0
PROJECT_WATER_CARNIVAL,LOC_PROJECT_WATER_CARNIVAL_NAME,LOC_PROJECT_WATER_CARNIVAL_SHORT_NAME,LOC_PROJECT_WATER_CARNIVAL_DESCRIPTION,,25,COST_PROGRESSION_GAME_PROGRESS,1500,,,DISTRICT_WATER_STREET_CARNIVAL,,,0,0,,1.0,,ADVISOR_GENERIC,0,0
PROJECT_BREAD_AND_CIRCUSES,LOC_PROJECT_BREAD_AND_CIRCUSES_NAME,LOC_PROJECT_BREAD_AND_CIRCUSES_SHORT_NAME,LOC_PROJECT_BREAD_AND_CIRCUSES_DESCRIPTION,,25,COST_PROGRESSION_GAME_PROGRESS,1500,,,DISTRICT_ENTERTAINMENT_COMPLEX,,,0,0,,,,ADVISOR_GENERIC,0,0
PROJECT_WATER_BREAD_AND_CIRCUSES,LOC_PROJECT_BREAD_AND_CIRCUSES_NAME,LOC_PROJECT_WATER_BREAD_AND_CIRCUSES_SHORT_NAME,LOC_PROJECT_BREAD_AND_CIRCUSES_DESCRIPTION_ALT,,25,COST_PROGRESSION_GAME_PROGRESS,1500,,,DISTRICT_WATER_ENTERTAINMENT_COMPLEX,,,0,0,,,,ADVISOR_GENERIC,0,0
PROJECT_COTHON_CAPITAL_MOVE,LOC_PROJECT_COTHON_CAPITAL_MOVE_NAME,LOC_PROJECT_COTHON_CAPITAL_MOVE_SHORT_NAME,LOC_PROJECT_COTHON_CAPITAL_MOVE_DESCRIPTION,,100,COST_PROGRESSION_GAME_PROGRESS,1500,,,DISTRICT_COTHON,,,0,0,,,,ADVISOR_GENERIC,0,0
PROJECT_CARBON_RECAPTURE,LOC_PROJECT_CARBON_RECAPTURE_NAME,LOC_PROJECT_CARBON_RECAPTURE_SHORT_NAME,LOC_PROJECT_CARBON_RECAPTURE_DESCRIPTION,,400,NO_PROGRESSION_MODEL,0,,CIVIC_GLOBAL_WARMING_MITIGATION,DISTRICT_INDUSTRIAL_ZONE,,,0,0,,,,ADVISOR_GENERIC,0,0
PROJECT_CONVERT_REACTOR_TO_COAL,LOC_PROJECT_CONVERT_REACTOR_TO_COAL,LOC_PROJECT_CONVERT_REACTOR_TO_COAL_SHORT_NAME,LOC_PROJECT_CONVERT_REACTOR_TO_COAL_DESCRIPTION,,200,NO_PROGRESSION_MODEL,0,TECH_INDUSTRIALIZATION,,DISTRICT_INDUSTRIAL_ZONE,,,0,0,,,,ADVISOR_GENERIC,0,0
PROJECT_CONVERT_REACTOR_TO_OIL,LOC_PROJECT_CONVERT_REACTOR_TO_OIL,LOC_PROJECT_CONVERT_REACTOR_TO_OIL_SHORT_NAME,LOC_PROJECT_CONVERT_REACTOR_TO_OIL_DESCRIPTION,,300,NO_PROGRESSION_MODEL,0,TECH_ELECTRICITY,,DISTRICT_INDUSTRIAL_ZONE,,,0,0,,,,ADVISOR_GENERIC,0,0
PROJECT_CONVERT_REACTOR_TO_URANIUM,LOC_PROJECT_CONVERT_REACTOR_TO_URANIUM,LOC_PROJECT_CONVERT_REACTOR_TO_URANIUM_SHORT_NAME,LOC_PROJECT_CONVERT_REACTOR_TO_URANIUM_DESCRIPTION,,400,NO_PROGRESSION_MODEL,0,TECH_NUCLEAR_FISSION,,DISTRICT_INDUSTRIAL_ZONE,,,0,0,,,,ADVISOR_GENERIC,0,0
PROJECT_LAUNCH_MARS_BASE,LOC_PROJECT_LAUNCH_MARS_BASE_NAME,LOC_PROJECT_LAUNCH_MARS_BASE_SHORT_NAME,LOC_PROJECT_LAUNCH_MARS_BASE_DESCRIPTION,LOC_PROJECT_LAUNCH_MARS_BASE_POPUP,1800,NO_PROGRESSION_MODEL,0,TECH_NANOTECHNOLOGY,,DISTRICT_SPACEPORT,,BUILDING_LARGE_ROCKET,1,0,1.0,,,ADVISOR_TECHNOLOGY,0,0
PROJECT_LAUNCH_EXOPLANET_EXPEDITION,LOC_PROJECT_LAUNCH_EXOPLANET_EXPEDITION_NAME,LOC_PROJECT_LAUNCH_EXOPLANET_EXPEDITION_SHORT_NAME,LOC_PROJECT_LAUNCH_EXOPLANET_EXPEDITION_DESCRIPTION,LOC_PROJECT_LAUNCH_EXOPLANET_EXPEDITION_POPUP,2100,NO_PROGRESSION_MODEL,0,TECH_SMART_MATERIALS,,DISTRICT_SPACEPORT,,BUILDING_LARGE_ROCKET,1,0,1.0,,,ADVISOR_TECHNOLOGY,0,0
PROJECT_ORBITAL_LASER,LOC_PROJECT_ORBITAL_LASER_NAME,LOC_PROJECT_ORBITAL_LASER_SHORT_NAME,LOC_PROJECT_ORBITAL_LASER_DESCRIPTION,LOC_PROJECT_ORBITAL_LASER_POPUP,600,NO_PROGRESSION_MODEL,0,TECH_OFFWORLD_MISSION,,DISTRICT_SPACEPORT,,BUILDING_SMALL_ROCKET,1,0,,,,ADVISOR_TECHNOLOGY,0,0
PROJECT_TERRESTRIAL_LASER,LOC_PROJECT_TERRESTRIAL_LASER_NAME,LOC_PROJECT_TERRESTRIAL_LASER_SHORT_NAME,LOC_PROJECT_TERRESTRIAL_LASER_DESCRIPTION,LOC_PROJECT_TERRESTRIAL_LASER_POPUP,600,NO_PROGRESSION_MODEL,0,TECH_OFFWORLD_MISSION,,DISTRICT_SPACEPORT,,BUILDING_SMALL_ROCKET,1,0,,,,ADVISOR_TECHNOLOGY,0,0
PROJECT_SEND_AID,LOC_PROJECT_SEND_AID_NAME,LOC_PROJECT_SEND_AID_SHORT_NAME,LOC_PROJECT_SEND_AID_DESCRIPTION,,200,NO_PROGRESSION_MODEL,0,,,,,,0,0,,,,ADVISOR_GENERIC,0,0
PROJECT_TRAIN_ATHLETES,LOC_PROJECT_TRAIN_ATHLETES_NAME,LOC_PROJECT_TRAIN_ATHLETES_SHORT_NAME,LOC_PROJECT_TRAIN_ATHLETES_DESCRIPTION,,200,NO_PROGRESSION_MODEL,0,,,,,,0,0,,,,ADVISOR_GENERIC,0,0
PROJECT_TRAIN_ASTRONAUTS,LOC_PROJECT_TRAIN_ASTRONAUTS_NAME,LOC_PROJECT_TRAIN_ASTRONAUTS_SHORT_NAME,LOC_PROJECT_TRAIN_ASTRONAUTS_DESCRIPTION,,200,NO_PROGRESSION_MODEL,0,,,DISTRICT_SPACEPORT,,,0,0,,,,ADVISOR_GENERIC,0,0
PROJECT_RECOMMISSION_REACTOR,LOC_PROJECT_RECOMMISSION_REACTOR_NAME,LOC_PROJECT_RECOMMISSION_REACTOR_SHORT_NAME,LOC_PROJECT_RECOMMISSION_REACTOR_DESCRIPTION,,400,NO_PROGRESSION_MODEL,0,TECH_NUCLEAR_FISSION,,,,,0,0,,,,,0,0
PROJECT_DECOMMISSION_COAL_POWER_PLANT,LOC_PROJECT_DECOMMISSION_COAL_POWER_PLANT_NAME,LOC_PROJECT_DECOMMISSION_COAL_POWER_PLANT_SHORT_NAME,LOC_PROJECT_DECOMMISSION_COAL_POWER_PLANT_DESCRIPTION,,400,NO_PROGRESSION_MODEL,0,,,DISTRICT_INDUSTRIAL_ZONE,,,0,0,,,,ADVISOR_GENERIC,0,0
PROJECT_DECOMMISSION_OIL_POWER_PLANT,LOC_PROJECT_DECOMMISSION_OIL_POWER_PLANT_NAME,LOC_PROJECT_DECOMMISSION_OIL_POWER_PLANT_SHORT_NAME,LOC_PROJECT_DECOMMISSION_OIL_POWER_PLANT_DESCRIPTION,,400,NO_PROGRESSION_MODEL,0,,,DISTRICT_INDUSTRIAL_ZONE,,,0,0,,,,ADVISOR_GENERIC,0,0
PROJECT_DECOMMISSION_NUCLEAR_POWER_PLANT,LOC_PROJECT_DECOMMISSION_NUCLEAR_POWER_PLANT_NAME,LOC_PROJECT_DECOMMISSION_NUCLEAR_POWER_PLANT_SHORT_NAME,LOC_PROJECT_DECOMMISSION_NUCLEAR_POWER_PLANT_DESCRIPTION,,400,NO_PROGRESSION_MODEL,0,,,DISTRICT_INDUSTRIAL_ZONE,,,0,0,,,,ADVISOR_GENERIC,0,0
PROJECT_LIJIA_FAITH,LOC_PROJECT_LIJIA_FAITH_NAME,LOC_PROJECT_LIJIA_FAITH_SHORT_NAME,LOC_PROJECT_LIJIA_FAITH_DESCRIPTION,,1000,COST_PROGRESSION_GAME_PROGRESS,1500,,,,,,0,0,,,,,0,1
PROJECT_LIJIA_FOOD,LOC_PROJECT_LIJIA_FOOD_NAME,LOC_PROJECT_LIJIA_FOOD_SHORT_NAME,LOC_PROJECT_LIJIA_FOOD_DESCRIPTION,,1000,COST_PROGRESSION_GAME_PROGRESS,1500,,,,,,0,0,,,,,0,1
PROJECT_LIJIA_GOLD,LOC_PROJECT_LIJIA_GOLD_NAME,LOC_PROJECT_LIJIA_GOLD_SHORT_NAME,LOC_PROJECT_LIJIA_GOLD_DESCRIPTION,,1000,COST_PROGRESSION_GAME_PROGRESS,1500,,,,,,0,0,,,,,0,1
PROJECT_COURT_FESTIVAL,LOC_PROJECT_COURT_FESTIVAL_NAME,LOC_PROJECT_COURT_FESTIVAL_SHORT_NAME,LOC_PROJECT_ECOURT_FESTIVAL_DESCRIPTION,,65,COST_PROGRESSION_GAME_PROGRESS,1500,,,DISTRICT_THEATER,,,0,0,,,,ADVISOR_CULTURE,0,1
PROJECT_OCCULT_RESEARCH,LOC_PROJECT_OCCULT_RESEARCH_NAME,LOC_PROJECT_OCCULT_RESEARCH_SHORT_NAME,LOC_PROJECT_OCCULT_RESEARCH_DESCRIPTION,,20,COST_PROGRESSION_GAME_PROGRESS,7500,,,DISTRICT_CAMPUS,,,0,0,,,,ADVISOR_TECHNOLOGY,0,0
PROJECT_DARK_SUMMONING,LOC_PROJECT_DARK_SUMMONING_NAME,LOC_PROJECT_DARK_SUMMONING_SHORT_NAME,LOC_PROJECT_DARK_SUMMONING_DESCRIPTION,,1000,NO_PROGRESSION_MODEL,0,,,,BUILDING_OLD_GOD_OBELISK,,0,0,,,,,0,0
PROJECT_CREATE_HERO_ANANSI,LOC_PROJECT_CREATE_HERO_ANANSI_NAME,LOC_PROJECT_CREATE_HERO_ANANSI_SHORT_NAME,LOC_PROJECT_CREATE_HERO_ANANSI_DESCRIPTION,,20,COST_PROGRESSION_PREVIOUS_GROUP_COPIES,120,,,,BUILDING_MONUMENT,,0,0,1.0,,,ADVISOR_GENERIC,0,1
PROJECT_CREATE_HERO_ARTHUR,LOC_PROJECT_CREATE_HERO_ARTHUR_NAME,LOC_PROJECT_CREATE_HERO_ARTHUR_SHORT_NAME,LOC_PROJECT_CREATE_HERO_ARTHUR_DESCRIPTION,,20,COST_PROGRESSION_PREVIOUS_GROUP_COPIES,120,,,,BUILDING_MONUMENT,,0,0,1.0,,,ADVISOR_GENERIC,0,1
PROJECT_CREATE_HERO_BEOWULF,LOC_PROJECT_CREATE_HERO_BEOWULF_NAME,LOC_PROJECT_CREATE_HERO_BEOWULF_SHORT_NAME,LOC_PROJECT_CREATE_HERO_BEOWULF_DESCRIPTION,,20,COST_PROGRESSION_PREVIOUS_GROUP_COPIES,120,,,,BUILDING_MONUMENT,,0,0,1.0,,,ADVISOR_GENERIC,0,1
PROJECT_CREATE_HERO_HERCULES,LOC_PROJECT_CREATE_HERO_HERCULES_NAME,LOC_PROJECT_CREATE_HERO_HERCULES_SHORT_NAME,LOC_PROJECT_CREATE_HERO_HERCULES_DESCRIPTION,,20,COST_PROGRESSION_PREVIOUS_GROUP_COPIES,120,,,,BUILDING_MONUMENT,,0,0,1.0,,,ADVISOR_GENERIC,0,1
PROJECT_CREATE_HERO_HIMIKO,LOC_PROJECT_CREATE_HERO_HIMIKO_NAME,LOC_PROJECT_CREATE_HERO_HIMIKO_SHORT_NAME,LOC_PROJECT_CREATE_HERO_HIMIKO_DESCRIPTION,,20,COST_PROGRESSION_PREVIOUS_GROUP_COPIES,120,,,,BUILDING_MONUMENT,,0,0,1.0,,,ADVISOR_GENERIC,0,1
PROJECT_CREATE_HERO_HIPPOLYTA,LOC_PROJECT_CREATE_HERO_HIPPOLYTA_NAME,LOC_PROJECT_CREATE_HERO_HIPPOLYTA_SHORT_NAME,LOC_PROJECT_CREATE_HERO_HIPPOLYTA_DESCRIPTION,,20,COST_PROGRESSION_PREVIOUS_GROUP_COPIES,120,,,,BUILDING_MONUMENT,,0,0,1.0,,,ADVISOR_GENERIC,0,1
PROJECT_CREATE_HERO_HUNAHPU,LOC_PROJECT_CREATE_HERO_HUNAHPU_NAME,LOC_PROJECT_CREATE_HERO_HUNAHPU_SHORT_NAME,LOC_PROJECT_CREATE_HERO_HUNAHPU_DESCRIPTION,,20,COST_PROGRESSION_PREVIOUS_GROUP_COPIES,120,,,,BUILDING_MONUMENT,,0,0,1.0,,,ADVISOR_GENERIC,0,1
PROJECT_CREATE_HERO_OYA,LOC_PROJECT_CREATE_HERO_OYA_NAME,LOC_PROJECT_CREATE_HERO_OYA_SHORT_NAME,LOC_PROJECT_CREATE_HERO_OYA_DESCRIPTION,,20,COST_PROGRESSION_PREVIOUS_GROUP_COPIES,120,,,,BUILDING_MONUMENT,,0,0,1.0,,,ADVISOR_GENERIC,0,1
PROJECT_CREATE_HERO_MAUI,LOC_PROJECT_CREATE_HERO_MAUI_NAME,LOC_PROJECT_CREATE_HERO_MAUI_SHORT_NAME,LOC_PROJECT_CREATE_HERO_MAUI_DESCRIPTION,,20,COST_PROGRESSION_PREVIOUS_GROUP_COPIES,120,,,,BUILDING_MONUMENT,,0,0,1.0,,,ADVISOR_GENERIC,0,1
PROJECT_CREATE_HERO_MULAN,LOC_PROJECT_CREATE_HERO_MULAN_NAME,LOC_PROJECT_CREATE_HERO_MULAN_SHORT_NAME,LOC_PROJECT_CREATE_HERO_MULAN_DESCRIPTION,,20,COST_PROGRESSION_PREVIOUS_GROUP_COPIES,120,,,,BUILDING_MONUMENT,,0,0,1.0,,,ADVISOR_GENERIC,0,1
PROJECT_CREATE_HERO_SINBAD,LOC_PROJECT_CREATE_HERO_SINBAD_NAME,LOC_PROJECT_CREATE_HERO_SINBAD_SHORT_NAME,LOC_PROJECT_CREATE_HERO_SINBAD_DESCRIPTION,,20,COST_PROGRESSION_PREVIOUS_GROUP_COPIES,120,,,,BUILDING_MONUMENT,,0,0,1.0,,,ADVISOR_GENERIC,0,1
PROJECT_CREATE_HERO_WUKONG,LOC_PROJECT_CREATE_HERO_WUKONG_NAME,LOC_PROJECT_CREATE_HERO_WUKONG_SHORT_NAME,LOC_PROJECT_CREATE_HERO_WUKONG_DESCRIPTION,,20,COST_PROGRESSION_PREVIOUS_GROUP_COPIES,120,,,,BUILDING_MONUMENT,,0,0,1.0,,,ADVISOR_GENERIC,0,1
PROJECT_DISCOVER_NEXT_HERO,LOC_PROJECT_DISCOVER_NEXT_HERO_NAME,LOC_PROJECT_DISCOVER_NEXT_HERO_SHORT_NAME,LOC_PROJECT_DISCOVER_NEXT_HERO_DESCRIPTION,,25,COST_PROGRESSION_GAME_PROGRESS,1500,,,,BUILDING_MONUMENT,,0,0,,,,ADVISOR_GENERIC,0,1
