ResourceType,TerrainType
RESOURCE_OIL,TERRAIN_DESERT
RESOURCE_OIL,TERRAIN_SNOW
RESOURCE_OIL,TERRAIN_TUNDRA
RESOURCE_URANIUM,TERRAIN_DESERT
RESOURCE_URANIUM,TERRAIN_DESERT_HILLS
RESOURCE_URANIUM,TERRAIN_GRASS
RESOURCE_URANIUM,TERRAIN_GRASS_HILLS
RESOURCE_URANIUM,TERRAIN_PLAINS
RESOURCE_URANIUM,TERRAIN_PLAINS_HILLS
RESOURCE_URANIUM,TERRAIN_SNOW
RESOURCE_URANIUM,TERRAIN_SNOW_HILLS
RESOURCE_URANIUM,TERRAIN_TUNDRA
RESOURCE_URANIUM,TERRAIN_TUNDRA_HILLS
RESOURCE_ANTIQUITY_SITE,TERRAIN_DESERT
RESOURCE_ANTIQUITY_SITE,TERRAIN_DESERT_HILLS
RESOURCE_ANTIQUITY_SITE,TERRAIN_GRASS
RESOURCE_ANTIQUITY_SITE,TERRAIN_GRASS_HILLS
RESOURCE_ANTIQUITY_SITE,TERRAIN_PLAINS
RESOURCE_ANTIQUITY_SITE,TERRAIN_PLAINS_HILLS
RESOURCE_ANTIQUITY_SITE,TERRAIN_SNOW
RESOURCE_ANTIQUITY_SITE,TERRAIN_SNOW_HILLS
RESOURCE_ANTIQUITY_SITE,TERRAIN_TUNDRA
RESOURCE_ANTIQUITY_SITE,TERRAIN_TUNDRA_HILLS
RESOURCE_SHIPWRECK,TERRAIN_COAST
RESOURCE_AMBER,TERRAIN_COAST
RESOURCE_OLIVES,TERRAIN_GRASS
RESOURCE_MAIZE,TERRAIN_GRASS
RESOURCE_MAIZE,TERRAIN_PLAINS
RESOURCE_HONEY,TERRAIN_GRASS
RESOURCE_HONEY,TERRAIN_PLAINS
RESOURCE_LEY_LINE,TERRAIN_DESERT
RESOURCE_LEY_LINE,TERRAIN_PLAINS
RESOURCE_LEY_LINE,TERRAIN_GRASS
RESOURCE_LEY_LINE,TERRAIN_TUNDRA
RESOURCE_LEY_LINE,TERRAIN_DESERT_HILLS
RESOURCE_LEY_LINE,TERRAIN_PLAINS_HILLS
RESOURCE_LEY_LINE,TERRAIN_GRASS_HILLS
RESOURCE_LEY_LINE,TERRAIN_TUNDRA_HILLS
