StateType,DiplomaticActionType,AiAllowed,Worth,Cost,TransitionToState,TeamOnly
DIPLO_STATE_NEUTRAL,DIPLOACTION_KEEP_PROMISE_DONT_DIG_ARTIFACTS,1,0,0,,0
DIPLO_STATE_NEUTRAL,DIPLOACTION_KEEP_PROMISE_DONT_SETTLE_TOO_NEAR,1,0,0,,0
DIPLO_STATE_UNFRIENDLY,DIPLOACTION_RESIDENT_EMBASSY,1,0,100,,0
DIPLO_STATE_UNFRIENDLY,DIPLOACTION_DEMAND_TRIBUTE,1,5,0,,0
DIPLO_STATE_UNFRIENDLY,DIPLOACTION_DECLARE_SURPRISE_WAR,1,0,0,,0
DIPLO_STATE_UNFRIENDLY,DIPLOACTION_DIPLOMATIC_DELEGATION,1,0,75,,0
DIPLO_STATE_UNFRIENDLY,DIPLOACTION_DECLARE_FRIENDSHIP,0,-40,40,,0
DIPLO_STATE_UNFRIENDLY,DIPLOACTION_DENOUNCE,1,0,0,DIPLO_STATE_DENOUNCED,0
DIPLO_STATE_UNFRIENDLY,DIPLOACTION_OPEN_BORDERS,0,0,10,,0
DIPLO_STATE_UNFRIENDLY,DIPLOACTION_PROPOSE_TRADE,1,0,0,,0
DIPLO_STATE_UNFRIENDLY,DIPLOACTION_JOINT_WAR,1,0,0,,0
DIPLO_STATE_UNFRIENDLY,DIPLOACTION_KEEP_PROMISE_DONT_SPY,1,0,5,,0
DIPLO_STATE_UNFRIENDLY,DIPLOACTION_KEEP_PROMISE_DONT_CONVERT,1,0,5,,0
DIPLO_STATE_UNFRIENDLY,DIPLOACTION_KEEP_PROMISE_DONT_DIG_ARTIFACTS,1,0,5,,0
DIPLO_STATE_UNFRIENDLY,DIPLOACTION_KEEP_PROMISE_DONT_SETTLE_TOO_NEAR,1,0,10,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_DEMAND_TRIBUTE,1,30,0,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_PROPOSE_TRADE,1,-50,100,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_DECLARE_SURPRISE_WAR,1,0,0,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_DECLARE_FORMAL_WAR,1,0,0,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_DECLARE_HOLY_WAR,1,0,0,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_DECLARE_LIBERATION_WAR,1,0,0,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_DECLARE_RECONQUEST_WAR,1,0,0,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_DECLARE_PROTECTORATE_WAR,1,0,0,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_DECLARE_COLONIAL_WAR,1,0,0,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_DECLARE_TERRITORIAL_WAR,1,0,0,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_KEEP_PROMISE_DONT_SPY,1,0,20,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_KEEP_PROMISE_DONT_CONVERT,1,0,20,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_KEEP_PROMISE_DONT_DIG_ARTIFACTS,1,0,20,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_KEEP_PROMISE_DONT_SETTLE_TOO_NEAR,1,0,50,,0
DIPLO_STATE_WAR,DIPLOACTION_MAKE_PEACE,1,0,0,,0
DIPLO_STATE_WAR,DIPLOACTION_PROPOSE_PEACE_DEAL,1,0,0,,0
DIPLO_STATE_NO_INFLUENCE,DIPLOACTION_GRANT_INFLUENCE_TOKEN,1,0,0,,0
DIPLO_STATE_NO_INFLUENCE,DIPLOACTION_DECLARE_WAR_MINOR_CIV,1,0,0,,0
DIPLO_STATE_INFLUENTIAL,DIPLOACTION_GRANT_INFLUENCE_TOKEN,1,0,0,,0
DIPLO_STATE_INFLUENTIAL,DIPLOACTION_DECLARE_WAR_MINOR_CIV,1,0,0,,0
DIPLO_STATE_INFLUENTIAL,DIPLOACTION_GIFT_UNIT,1,0,0,,0
DIPLO_STATE_MAX_INFLUENCE,DIPLOACTION_GRANT_INFLUENCE_TOKEN,1,0,0,,0
DIPLO_STATE_MAX_INFLUENCE,DIPLOACTION_DECLARE_WAR_MINOR_CIV,1,0,0,,0
DIPLO_STATE_MAX_INFLUENCE,DIPLOACTION_GIFT_UNIT,1,0,0,,0
DIPLO_STATE_MAX_INFLUENCE,DIPLOACTION_MILITARY_REQUEST,1,0,0,,0
DIPLO_STATE_WAR_WITH_MINOR,DIPLOACTION_MAKE_PEACE,1,0,0,,0
DIPLO_STATE_WAR_WITH_MINOR,DIPLOACTION_GRANT_INFLUENCE_TOKEN,1,0,0,,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_ALLIANCE_RESEARCH,1,25,50,DIPLO_STATE_ALLIED,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_ALLIANCE_ECONOMIC,1,25,50,DIPLO_STATE_ALLIED,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_ALLIANCE_MILITARY,1,25,50,DIPLO_STATE_ALLIED,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_ALLIANCE_RELIGIOUS,1,25,50,DIPLO_STATE_ALLIED,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_ALLIANCE_CULTURAL,1,25,50,DIPLO_STATE_ALLIED,0
DIPLO_STATE_ALLIED,DIPLOACTION_ALLIANCE_RESEARCH,1,25,50,,1
DIPLO_STATE_ALLIED,DIPLOACTION_ALLIANCE_ECONOMIC,1,25,50,,1
DIPLO_STATE_ALLIED,DIPLOACTION_ALLIANCE_MILITARY,1,25,50,,1
DIPLO_STATE_ALLIED,DIPLOACTION_ALLIANCE_RELIGIOUS,1,25,50,,1
DIPLO_STATE_ALLIED,DIPLOACTION_ALLIANCE_CULTURAL,1,25,50,,1
DIPLO_STATE_ALLIED,DIPLOACTION_RENEW_ALLIANCE,1,25,50,,1
DIPLO_STATE_ALLIED,DIPLOACTION_THIRD_PARTY_WAR,1,0,0,,0
DIPLO_STATE_DECLARED_FRIEND,DIPLOACTION_THIRD_PARTY_WAR,1,0,0,,0
DIPLO_STATE_FRIENDLY,DIPLOACTION_THIRD_PARTY_WAR,1,0,0,,0
DIPLO_STATE_NEUTRAL,DIPLOACTION_THIRD_PARTY_WAR,1,0,0,,0
DIPLO_STATE_UNFRIENDLY,DIPLOACTION_THIRD_PARTY_WAR,1,0,0,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_DECLARE_GOLDEN_AGE_WAR,1,0,0,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_DECLARE_WAR_OF_RETRIBUTION,1,0,0,,0
DIPLO_STATE_DENOUNCED,DIPLOACTION_DECLARE_IDEOLOGICAL_WAR,1,0,0,,0
