RequirementId,RequirementType,Likeliness,Impact,Inverse,Reverse,Persistent,ProgressWeight,Triggered
REQUIRES_HAS_HIGH_SCIENCE,REQUIREMENT_PLAYER_YIELD_LEAD,0,0,0,0,0,1,0
REQUIRES_HAS_LOW_SCIENCE,REQUIREMENT_PLAYER_YIELD_LEAD,0,0,0,0,0,1,0
REQUIRES_HAS_HIGH_HAPPINESS,REQUIREMENT_PLAYER_HAPPINESS_LEAD,0,0,0,0,0,1,0
REQUIRES_HAS_LOW_HAPPINESS,REQUIREMENT_PLAYER_HAPPINESS_LEAD,0,0,0,0,0,1,0
REQUIRES_HAS_HIGH_INCOME,REQUIREMENT_PLAYER_INCOME_LEAD,0,0,0,0,0,1,0
REQUIRES_HAS_LOW_INCOME,REQUIREMENT_PLAYER_INCOME_LEAD,0,0,0,0,0,1,0
REQUIRES_HAS_HIGH_POPULATION,REQUIREMENT_PLAYER_POPULATION_LEAD,0,0,0,0,0,1,0
REQUIRES_HAS_LOW_POPULATION,REQUIREMENT_PLAYER_POPULATION_LEAD,0,0,0,0,0,1,0
REQUIRES_HAS_HIGH_STANDING_ARMY,REQUIREMENT_PLAYER_MILITARY_STRENGTH_LEAD,0,0,0,0,0,1,0
REQUIRES_HAS_LOW_STANDING_ARMY,REQUIREMENT_PLAYER_MILITARY_STRENGTH_LEAD,0,0,0,0,0,1,0
REQUIRES_HAS_HIGH_AIRPOWER,REQUIREMENT_PLAYER_MILITARY_STRENGTH_LEAD,0,0,0,0,0,1,0
REQUIRES_HAS_LOW_AIRPOWER,REQUIREMENT_PLAYER_MILITARY_STRENGTH_LEAD,0,0,0,0,0,1,0
REQUIRES_PLAYER_HAS_FLIGHT,REQUIREMENT_PLAYER_HAS_TECHNOLOGY,0,0,0,0,0,1,0
REQUIRES_HIGH_NUKE_LOVE,REQUIREMENT_PLAYER_NUKE_LOVER,0,0,0,0,0,1,0
REQUIRES_LOW_NUKE_LOVE,REQUIREMENT_PLAYER_NUKE_LOVER,0,0,0,0,0,1,0
REQUIRES_PLAYER_HAS_NUCLEAR_FISSION,REQUIREMENT_PLAYER_HAS_TECHNOLOGY,0,0,0,0,0,1,0
REQUIRES_HAS_SAME_GOVERNMENT,REQUIREMENT_PLAYER_HAS_SAME_GOVERNMENT,0,0,0,0,0,1,0
REQUIRES_HAS_DIFFERENT_GOVERNMENT,REQUIREMENT_PLAYER_HAS_SAME_GOVERNMENT,0,0,1,0,0,1,0
REQUIRES_LAGS_WONDERS,REQUIREMENT_PLAYER_BUILT_WONDER,0,0,0,0,0,1,0
REQUIRES_LEADS_WONDERS,REQUIREMENT_PLAYER_BUILT_WONDER,0,0,0,0,0,1,0
REQUIRES_LAGS_PROGRESS,REQUIREMENT_PLAYER_FINISHED_RESEARCH,0,0,0,0,0,1,0
REQUIRES_LEADS_PROGRESS,REQUIREMENT_PLAYER_FINISHED_RESEARCH,0,0,0,0,0,1,0
REQUIRES_NOT_WARMONGER_SUBJECT,REQUIREMENT_PLAYER_IS_NOT_WARMONGER,0,0,0,0,0,1,0
REQUIRES_SAME_RELIGION,REQUIREMENT_PLAYER_IS_SAME_RELIGION,0,0,0,0,0,1,0
REQUIRES_NOT_COMPETING_MINORS,REQUIREMENT_PLAYER_NOT_COMPETING_MINORS,0,0,0,0,0,1,0
REQUIRES_COMPETING_MINORS,REQUIREMENT_PLAYER_COMPETING_MINORS,0,0,0,0,0,1,0
REQUIRES_RELIGION_RECEIVED,REQUIREMENT_PLAYER_RELIGION_RECEIVED,0,0,0,0,0,1,0
REQUIRES_RELIGION_NOT_RECEIVED,REQUIREMENT_PLAYER_RELIGION_NOT_RECEIVED,0,0,0,0,0,1,0
REQUIRES_NOT_INVOLVED_MINORS,REQUIREMENT_PLAYER_NOT_INVOLVED_MINORS,0,0,0,0,0,1,0
REQUIRES_CONQUERING_ALLYING_MINORS,REQUIREMENT_PLAYER_CONQUERING_ALLYING_MINORS,0,0,0,0,0,1,0
REQUIRES_SAME_HOME_CONTINENT,REQUIREMENT_PLAYER_SHARES_HOME_CONTINENT,0,0,0,0,0,1,0
REQUIRES_ON_NEW_CONTINENT,REQUIREMENT_PLAYER_ON_NON_HOME_CONTINENT,0,0,0,0,0,1,0
REQUIRES_CITY_FOLLOWS_PANTHEON,REQUIREMENT_CITY_FOLLOWS_PANTHEON,0,0,0,0,0,1,0
REQUIRES_CITY_FOLLOWS_RELIGION,REQUIREMENT_CITY_FOLLOWS_RELIGION,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_0_SPECIALTY_DISTRICTS,REQUIREMENT_CITY_HAS_X_SPECIALTY_DISTRICTS,0,0,1,0,0,1,0
REQUIRES_PLAYER_FOUNDED_RELIGION,REQUIREMENT_PLAYER_IS_RELIGION_FOUNDER,0,0,0,0,0,1,0
REQUIRES_UNIT_NEAR_FRIENDLY_RELIGIOUS_CITY,REQUIREMENT_NEAR_RELIGIOUS_CITY,0,0,0,0,0,1,0
REQUIRES_UNIT_NEAR_ENEMY_RELIGIOUS_CITY,REQUIREMENT_NEAR_RELIGIOUS_CITY,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_MARSH,REQUIREMENT_PLOT_FEATURE_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_OASIS,REQUIREMENT_PLOT_FEATURE_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_FLOODPLAINS,REQUIREMENT_PLOT_FEATURE_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_FISHINGBOATS,REQUIREMENT_PLOT_IMPROVEMENT_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_PASTURE,REQUIREMENT_PLOT_IMPROVEMENT_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_CAMP,REQUIREMENT_PLOT_IMPROVEMENT_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_QUARRY,REQUIREMENT_PLOT_IMPROVEMENT_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_PLANTATION,REQUIREMENT_PLOT_IMPROVEMENT_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_MINE,REQUIREMENT_PLOT_IMPROVEMENT_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_BONUS,REQUIREMENT_PLOT_RESOURCE_CLASS_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_LUXURY,REQUIREMENT_PLOT_RESOURCE_CLASS_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_STRATEGIC,REQUIREMENT_PLOT_RESOURCE_CLASS_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_VISIBLE_RESOURCE,REQUIREMENT_PLOT_RESOURCE_VISIBLE,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_TAG_GODDESS_OF_FESTIVAL,REQUIREMENT_PLOT_RESOURCE_TAG_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_TAG_ORAL_TRADITION,REQUIREMENT_PLOT_RESOURCE_TAG_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_WITHIN_EIGHT_HOLY_SITE,REQUIREMENT_PLOT_ADJACENT_DISTRICT_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_ADJACENT_HOLY_SITE,REQUIREMENT_PLOT_ADJACENT_DISTRICT_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_HOLY_SITE,REQUIREMENT_PLOT_DISTRICT_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_CHARMING_APPEAL,REQUIREMENT_PLOT_IS_APPEAL_BETWEEN,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_SHRINE,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_TEMPLE,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_STAVE,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_PLAYER_HAS_PANTHEON,REQUIREMENT_PLAYER_HAS_PANTHEON,0,0,0,0,0,1,0
REQUIRES_NON_RELIGIOUS_UNIT,REQUIREMENT_UNIT_TAG_MATCHES,0,0,1,0,0,1,0
REQUIRES_NON_SUPPORT_UNIT,REQUIREMENT_UNIT_TAG_MATCHES,0,0,1,0,0,1,0
REQUIRES_PLOT_HAS_NOT_COAST,REQUIREMENT_PLOT_TERRAIN_TYPE_MATCHES,0,0,1,0,0,1,0
REQUIRES_RICE_IN_PLOT,REQUIREMENT_PLOT_RESOURCE_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_WHEAT_IN_PLOT,REQUIREMENT_PLOT_RESOURCE_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_CHICHEN_ITZA,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_JUNGLE,REQUIREMENT_PLOT_FEATURE_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLAYER,REQUIREMENT_PLAYER_OWNS_OBJECT,0,0,0,0,0,1,0
REQUIRES_PLOT_IS_LAKE,REQUIREMENT_PLOT_IS_LAKE,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_LIGHTHOUSE,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_COAST,REQUIREMENT_PLOT_TERRAIN_TYPE_MATCHES,0,0,0,0,0,1,0
PETRA_YIELD_MODIFIER_REQUIRES_PLOT_HAS_DESERT,REQUIREMENT_PLOT_TERRAIN_CLASS_MATCHES,0,0,0,0,0,1,0
REQUIREMENT_UNIT_IS_MELEE,REQUIREMENT_UNIT_PROMOTION_CLASS_MATCHES,0,0,0,0,0,1,0
REQUIREMENT_UNIT_IS_RANGED,REQUIREMENT_UNIT_PROMOTION_CLASS_MATCHES,0,0,0,0,0,1,0
REQUIREMENT_UNIT_IS_ANTI_CAV,REQUIREMENT_UNIT_PROMOTION_CLASS_MATCHES,0,0,0,0,0,1,0
REQUIREMENT_UNIT_IS_LIGHT_CAV,REQUIREMENT_UNIT_PROMOTION_CLASS_MATCHES,0,0,0,0,0,1,0
REQUIREMENT_UNIT_IS_SIEGE,REQUIREMENT_UNIT_PROMOTION_CLASS_MATCHES,0,0,0,0,0,1,0
REQUIRES_LAND_DOMAIN,REQUIREMENT_UNIT_DOMAIN_MATCHES,0,0,0,0,0,1,0
REQUIRES_SEA_DOMAIN,REQUIREMENT_UNIT_DOMAIN_MATCHES,0,0,0,0,0,1,0
REQUIRES_AIR_DOMAIN,REQUIREMENT_UNIT_DOMAIN_MATCHES,0,0,0,0,0,1,0
REQUIRES_RELIGIOUS_UNIT,REQUIREMENT_UNIT_TAG_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLAYER_HAS_ELECTRICITYTECHNOLOGY,REQUIREMENT_PLAYER_HAS_TECHNOLOGY,0,0,0,0,0,1,0
REQUIRES_PLAYER_CAN_EVER_EARN_PROPHET,REQUIREMENT_PLAYER_CAN_EVER_EARN_GREAT_PERSON_CLASS,0,0,0,0,0,1,0
REQUIRES_PLAYER_CAN_NOT_EVER_EARN_PROPHET,REQUIREMENT_PLAYER_CAN_EVER_EARN_GREAT_PERSON_CLASS,0,0,1,0,0,1,0
REQUIRES_CITY_HAS_PETRA,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_DESERT,REQUIREMENT_PLOT_TERRAIN_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_DESERT_HILLS,REQUIREMENT_PLOT_TERRAIN_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_NO_FLOODPLAINS,REQUIREMENT_PLOT_FEATURE_TYPE_MATCHES,0,0,1,0,0,1,0
REQUIRES_CITY_HAS_ANCIENT_WALLS,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_RENAISSANCE_WALLS,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_FARM,REQUIREMENT_PLOT_IMPROVEMENT_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_OPPONENT_IS_BARBARIAN,REQUIREMENT_OPPONENT_IS_BARBARIAN,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_LAVRA,REQUIREMENT_CITY_HAS_DISTRICT,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_SHRINE_BASE,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_TEMPLE_BASE,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_CATHEDRAL_BASE,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_DAR_E_MEHR_BASE,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_GURDWARA_BASE,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_MEETING_HOUSE_BASE,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_MOSQUE_BASE,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_PAGODA_BASE,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_STUPA_BASE,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_SYNAGOGUE_BASE,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_WAT_BASE,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_TUNDRA,REQUIREMENT_PLOT_TERRAIN_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_HAS_TUNDRA_HILLS,REQUIREMENT_PLOT_TERRAIN_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_UNIT_IS_DOMAIN_LAND,REQUIREMENT_UNIT_DOMAIN_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLAYER_HAS_SHIPBUILDING_TECH,REQUIREMENT_PLAYER_HAS_TECHNOLOGY,0,0,0,0,0,1,0
REQUIRES_NO_COMMERCIAL_HUB,REQUIREMENT_CITY_HAS_DISTRICT,0,0,1,0,0,1,0
MAP_CONTAINS_DEAD_SEA,REQUIREMENT_MAP_HAS_FEATURE,0,0,0,0,0,1,0
MAP_CONTAINS_EVEREST,REQUIREMENT_MAP_HAS_FEATURE,0,0,0,0,0,1,0
REQUIRES_LAND_UNIT,REQUIREMENT_UNIT_DOMAIN_MATCHES,0,0,0,0,0,1,0
DEAD_SEA_REQUIRES_ADJACENT_UNIT,REQUIREMENT_PLOT_ADJACENT_FEATURE_TYPE_MATCHES,0,0,0,0,0,1,0
EVEREST_REQUIRES_ADJACENT_UNIT,REQUIREMENT_PLOT_ADJACENT_FEATURE_TYPE_MATCHES,0,0,0,0,0,1,0
NEVER_MET,REQUIREMENT_NEVER_MET,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_MEDIEVAL_WALLS,REQUIREMENT_CITY_HAS_BUILDING,0,0,0,0,0,1,0
AOE_REQUIRES_CLASSICAL_UNIT,REQUIREMENT_UNIT_ERA_TYPE_MATCHES,0,0,0,0,0,1,0
AOE_REQUIRES_MEDIEVAL_UNIT,REQUIREMENT_UNIT_ERA_TYPE_MATCHES,0,0,0,0,0,1,0
AOE_REQUIRES_RENAISSANCE_UNIT,REQUIREMENT_UNIT_ERA_TYPE_MATCHES,0,0,0,0,0,1,0
AOE_REQUIRES_INDUSTRIAL_UNIT,REQUIREMENT_UNIT_ERA_TYPE_MATCHES,0,0,0,0,0,1,0
AOE_REQUIRES_MODERN_UNIT,REQUIREMENT_UNIT_ERA_TYPE_MATCHES,0,0,0,0,0,1,0
AOE_REQUIRES_ATOMIC_UNIT,REQUIREMENT_UNIT_ERA_TYPE_MATCHES,0,0,0,0,0,1,0
AOE_REQUIRES_INFORMATION_UNIT,REQUIREMENT_UNIT_ERA_TYPE_MATCHES,0,0,0,0,0,1,0
AOE_REQUIRES_CLASSICAL_REQUIREMENTS,REQUIREMENT_REQUIREMENTSET_IS_MET,0,0,0,0,0,1,0
AOE_REQUIRES_MEDIEVAL_REQUIREMENTS,REQUIREMENT_REQUIREMENTSET_IS_MET,0,0,0,0,0,1,0
AOE_REQUIRES_RENAISSANCE_REQUIREMENTS,REQUIREMENT_REQUIREMENTSET_IS_MET,0,0,0,0,0,1,0
AOE_REQUIRES_INDUSTRIAL_REQUIREMENTS,REQUIREMENT_REQUIREMENTSET_IS_MET,0,0,0,0,0,1,0
AOE_REQUIRES_MODERN_REQUIREMENTS,REQUIREMENT_REQUIREMENTSET_IS_MET,0,0,0,0,0,1,0
AOE_REQUIRES_ATOMIC_REQUIREMENTS,REQUIREMENT_REQUIREMENTSET_IS_MET,0,0,0,0,0,1,0
AOE_REQUIRES_INFORMATION_REQUIREMENTS,REQUIREMENT_REQUIREMENTSET_IS_MET,0,0,0,0,0,1,0
AOE_REQUIRES_SEA_DOMAIN,REQUIREMENT_UNIT_DOMAIN_MATCHES,0,0,0,0,0,1,0
AOE_REQUIRES_OWNER_ADJACENCY,REQUIREMENT_PLOT_ADJACENT_TO_OWNER,0,0,0,0,0,1,0
REQUIREMENT_UNIT_IS_SUBMARINE,REQUIREMENT_UNIT_TYPE_MATCHES,0,0,0,0,0,1,0
UNIT_IS_DOMAIN_SEA,REQUIREMENT_UNIT_DOMAIN_MATCHES,0,0,0,0,0,1,0
AOE_REQUIRES_LAND_DOMAIN,REQUIREMENT_UNIT_DOMAIN_MATCHES,0,0,0,0,0,1,0
REQUIREMENTS_MET_UNIT_IS_CAVALRY_REQUIREMENTS,REQUIREMENT_REQUIREMENTSET_IS_MET,0,0,0,0,0,1,0
UNIT_IS_LIGHT_CAVALRY,REQUIREMENT_UNIT_PROMOTION_CLASS_MATCHES,0,0,0,0,0,1,0
UNIT_IS_HEAVY_CAVALRY,REQUIREMENT_UNIT_PROMOTION_CLASS_MATCHES,0,0,0,0,0,1,0
UNIT_IS_DOMAIN_LAND,REQUIREMENT_UNIT_DOMAIN_MATCHES,0,0,0,0,0,1,0
UNIT_IS_BARBARIAN,REQUIREMENT_UNIT_IS_BARBARIAN,0,0,0,0,0,1,0
GREATPERSON_BOUDICA_ACTIVE_REQUIRES_LAND_ADJACENCY,REQUIREMENT_PLOT_ADJACENT_TO_OWNER,0,0,0,0,0,1,0
REQUIRES_PLAYER_HAS_TECHNOLOGY,REQUIREMENT_PLAYER_HAS_TECHNOLOGY,0,0,0,0,0,1,0
REQUIRES_PLOT_ADJACENT_TO_LUXURY,REQUIREMENT_PLOT_ADJACENT_RESOURCE_CLASS_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_ADJACENT_TO_CAMPUS,REQUIREMENT_PLOT_ADJACENT_DISTRICT_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_IS_NOT_OWNER_CAPITAL_CONTINENT,REQUIREMENT_PLOT_IS_OWNER_CAPITAL_CONTINENT,0,0,1,0,0,1,0
REQUIRES_PLOT_ADJACENT_TO_WONDER,REQUIREMENT_PLOT_ADJACENT_TO_WONDER,0,0,0,0,0,1,0
REQUIRES_PLOT_ADJACENT_TO_FARM,REQUIREMENT_PLOT_ADJACENT_IMPROVEMENT_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_ADJACENT_TO_HOLYSITE,REQUIREMENT_PLOT_ADJACENT_DISTRICT_TYPE_MATCHES,0,0,0,0,0,1,0
REQUIRES_PLOT_ADJACENT_TO_RIVER,REQUIREMENT_PLOT_ADJACENT_TO_RIVER,0,0,0,0,0,1,0
REQUIRES_CITY_HAS_NATIONAL_PARK,REQUIREMENT_CITY_HAS_NATIONAL_PARK,0,0,0,0,0,1,0
REQUIRES_MAJOR_CIV_OPPONENT,REQUIREMENT_CIVILIZATION_LEVEL,0,0,0,0,0,1,0
REQUIRES_PLAYER_IS_MINOR_CIV,REQUIREMENT_CIVILIZATION_LEVEL,0,0,0,0,0,1,0
REQUIRES_WARMONGER_TRIGGER,REQUIREMENT_REQUIREMENTSET_IS_MET,0,0,0,0,0,1,0
REQUIRES_PLAYER_NEAR_CULTURE_BORDER,REQUIREMENT_NEAR_CULTURE_BORDER,0,0,0,0,0,1,0
REQUIRES_AT_PEACE_10_TURNS,REQUIREMENT_PLAYER_IS_AT_PEACE,0,0,0,0,0,1,0
REQUIRES_PLAYER_NOT_ALLY,REQUIREMENT_ALLY,0,0,1,0,0,1,0
REQUIRES_PLAYER_AT_PEACE,REQUIREMENT_PLAYER_IS_AT_PEACE,0,0,0,0,0,1,0
REQUIRES_PLAYER_DECLARED_WAR_EXCLUDE_SHARED_EMERGENCIES,REQUIREMENT_PLAYER_DECLARED_WAR,0,0,0,0,0,1,1
REQUIRES_PLAYER_DECLARED_WAR,REQUIREMENT_PLAYER_DECLARED_WAR,0,0,0,0,0,1,1
REQUIRES_PLAYER_CITY_LIBERATED,REQUIREMENT_CITY_LIBERATED,0,0,0,0,0,1,1
REQUIRES_PLAYER_MY_CITY_LIBERATED,REQUIREMENT_CITY_LIBERATED,0,0,0,0,0,1,1
REQUIRES_PLAYER_MY_CITY_RAZED,REQUIREMENT_CITY_RAZED,0,0,0,0,0,1,1
REQUIRES_PLAYER_CULTURE_BOMBED,REQUIREMENT_CULTURE_BOMBED,0,0,0,0,0,1,1
REQUIRES_PLAYER_CITY_OCCUPIED,REQUIREMENT_CITY_OCCUPIED,0,0,0,0,0,1,0
REQUIRES_PLAYER_CITY_OCCUPIED_FRIEND,REQUIREMENT_CITY_OCCUPIED_FRIEND,0,0,0,0,0,1,0
REQUIRES_PLAYER_CITY_OCCUPIED_TRIGGERED,REQUIREMENT_CITY_OCCUPIED,0,0,0,0,0,1,1
REQUIRES_PLAYER_HAD_FRIENDLY_MEETING,REQUIREMENT_HAD_FRIENDLY_MEETING,0,0,0,0,0,1,0
REQUIRES_PLAYER_ALLY,REQUIREMENT_ALLY,0,0,0,0,0,1,0
REQUIRES_PLAYER_DECLARED_FRIEND,REQUIREMENT_DECLARED_FRIEND,0,0,0,0,0,1,0
REQUIRES_PLAYER_DEFENSIVE_PACT,REQUIREMENT_DEFENSIVE_PACT,0,0,0,0,0,1,0
REQUIRES_PLAYER_DELEGATION,REQUIREMENT_DELEGATION,0,0,0,0,0,1,0
REQUIRES_PLAYER_RECEIVED_DEMAND,REQUIREMENT_DEMAND_RECEIVED,0,0,0,0,0,1,1
REQUIRES_PLAYER_DENOUNCED,REQUIREMENT_DENOUNCED,0,0,0,0,0,1,1
REQUIRES_PLAYER_FRIEND_DENOUNCED,REQUIREMENT_DENOUNCED_FRIEND,0,0,0,0,0,1,1
REQUIRES_PLAYER_OPEN_BORDERS,REQUIREMENT_OPEN_BORDERS,0,0,0,0,0,1,0
REQUIRES_PLAYER_NO_OPEN_BORDERS,REQUIREMENT_OPEN_BORDERS,0,0,1,0,0,1,0
REQUIRES_PLAYER_RESIDENT_EMBASSY,REQUIREMENT_RESIDENT_EMBASSY,0,0,0,0,0,1,0
REQUIRES_PLAYERS_HAVE_MET,REQUIREMENT_PLAYER_HAS_MET,0,0,0,0,0,1,0
REQUIRES_PLAYER_CLOSE_TO_VICTORY,REQUIREMENT_PLAYER_IS_CLOSE_TO_VICTORY,0,0,0,0,0,1,0
