ResourceType,Name,ResourceClassType,Happiness,NoRiver,RequiresRiver,Frequency,Clumped,PrereqTech,PrereqCivic,PeakEra,RevealedEra,LakeEligible,AdjacentToLand,SeaFrequency
RESOURCE_IRON,LOC_RESOURCE_IRON_NAME,RESOURCECLASS_STRATEGIC,0,0,0,10,0,TECH_BRONZE_WORKING,,NO_ERA,2,1,0,0
RESOURCE_NITER,LOC_RESOURCE_NITER_NAME,RESOURCECLASS_STRATEGIC,0,0,0,10,0,TECH_MILITARY_ENGINEERING,,NO_ERA,3,1,0,0
RESOURCE_OIL,LOC_RESOURCE_OIL_NAME,RESOURCECLASS_STRATEGIC,0,0,0,10,0,TECH_REFINING,,NO_ERA,6,1,0,8
RESOURCE_URANIUM,LOC_RESOURCE_URANIUM_NAME,RESOURCECLASS_STRATEGIC,0,0,0,5,0,TECH_COMBINED_ARMS,,NO_ERA,7,1,0,0
RESOURCE_ANTIQUITY_SITE,LOC_RESOURCE_ANTIQUITY_SITE_NAME,RESOURCECLASS_ARTIFACT,0,0,0,0,0,,CIVIC_NATURAL_HISTORY,NO_ERA,1,1,0,0
RESOURCE_SHIPWRECK,LOC_RESOURCE_SHIPWRECK_NAME,RESOURCECLASS_ARTIFACT,0,0,0,0,0,,CIVIC_CULTURAL_HERITAGE,NO_ERA,1,1,0,0
RESOURCE_AMBER,LOC_RESOURCE_AMBER_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,1,1
RESOURCE_OLIVES,LOC_RESOURCE_OLIVES_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_TURTLES,LOC_RESOURCE_TURTLES_NAME,RESOURCECLASS_LUXURY,4,0,0,0,0,,,NO_ERA,1,1,0,5
RESOURCE_MAIZE,LOC_RESOURCE_MAIZE_NAME,RESOURCECLASS_BONUS,0,0,0,6,0,,,NO_ERA,1,1,0,0
RESOURCE_HONEY,LOC_RESOURCE_HONEY_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_LEY_LINE,LOC_RESOURCE_LEY_LINE_NAME,RESOURCECLASS_LEY_LINE,0,0,0,10,0,,,NO_ERA,1,1,0,0
