Type,Name,Value,PropertyType
UNIT_HERO_ARTHUR,CAN_EVER_TRAIN_FREE_CITY,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_BEOWULF,CAN_EVER_TRAIN_BARBARIAN,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_BEOWULF,CAN_EVER_TRAIN_CITY_STATE,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_BEOWULF,CAN_EVER_TRAIN_FREE_CITY,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_HERCULES,CAN_EVER_TRAIN_BARBARIAN,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_HERCULES,CAN_EVER_TRAIN_CITY_STATE,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_HERCULES,CAN_EVER_TRAIN_FREE_CITY,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_HIMIKO,CAN_EVER_TRAIN_BARBARIAN,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_HIMIKO,CAN_EVER_TRAIN_CITY_STATE,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_HIMIKO,CAN_EVER_TRAIN_FREE_CITY,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_HIPPOLYTA,CAN_EVER_TRAIN_BARBARIAN,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_HIPPOLYTA,CAN_EVER_TRAIN_CITY_STATE,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_HIPPOLYTA,CAN_EVER_TRAIN_FREE_CITY,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_HUNAHPU,CAN_EVER_TRAIN_BARBARIAN,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_HUNAHPU,CAN_EVER_TRAIN_CITY_STATE,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_HUNAHPU,CAN_EVER_TRAIN_FREE_CITY,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_OYA,CAN_EVER_TRAIN_BARBARIAN,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_OYA,CAN_EVER_TRAIN_CITY_STATE,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_OYA,CAN_EVER_TRAIN_FREE_CITY,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_MAUI,CAN_EVER_TRAIN_BARBARIAN,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_MAUI,CAN_EVER_TRAIN_CITY_STATE,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_MAUI,CAN_EVER_TRAIN_FREE_CITY,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_MULAN,CAN_EVER_TRAIN_BARBARIAN,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_MULAN,CAN_EVER_TRAIN_CITY_STATE,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_MULAN,CAN_EVER_TRAIN_FREE_CITY,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_SINBAD,CAN_EVER_TRAIN_BARBARIAN,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_SINBAD,CAN_EVER_TRAIN_CITY_STATE,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_SINBAD,CAN_EVER_TRAIN_FREE_CITY,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_WUKONG,CAN_EVER_TRAIN_BARBARIAN,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_WUKONG,CAN_EVER_TRAIN_CITY_STATE,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_WUKONG,CAN_EVER_TRAIN_FREE_CITY,0,PROPERTYTYPE_IDENTITY
UNIT_HERO_ANANSI,IGNORE_PLAYER_STAT_MAX_STRENGTH,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_ARTHUR,IGNORE_PLAYER_STAT_MAX_STRENGTH,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_BEOWULF,IGNORE_PLAYER_STAT_MAX_STRENGTH,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_HERCULES,IGNORE_PLAYER_STAT_MAX_STRENGTH,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_HIMIKO,IGNORE_PLAYER_STAT_MAX_STRENGTH,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_HIPPOLYTA,IGNORE_PLAYER_STAT_MAX_STRENGTH,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_HUNAHPU,IGNORE_PLAYER_STAT_MAX_STRENGTH,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_OYA,IGNORE_PLAYER_STAT_MAX_STRENGTH,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_MAUI,IGNORE_PLAYER_STAT_MAX_STRENGTH,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_MULAN,IGNORE_PLAYER_STAT_MAX_STRENGTH,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_SINBAD,IGNORE_PLAYER_STAT_MAX_STRENGTH,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_WUKONG,IGNORE_PLAYER_STAT_MAX_STRENGTH,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_ANANSI,CAN_MOVE_AFTER_PURCHASE,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_ARTHUR,CAN_MOVE_AFTER_PURCHASE,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_BEOWULF,CAN_MOVE_AFTER_PURCHASE,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_HERCULES,CAN_MOVE_AFTER_PURCHASE,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_HIMIKO,CAN_MOVE_AFTER_PURCHASE,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_HIPPOLYTA,CAN_MOVE_AFTER_PURCHASE,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_HUNAHPU,CAN_MOVE_AFTER_PURCHASE,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_OYA,CAN_MOVE_AFTER_PURCHASE,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_MAUI,CAN_MOVE_AFTER_PURCHASE,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_MULAN,CAN_MOVE_AFTER_PURCHASE,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_SINBAD,CAN_MOVE_AFTER_PURCHASE,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_WUKONG,CAN_MOVE_AFTER_PURCHASE,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_ANANSI,CAN_TELEPORT_TO_CITY,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_ARTHUR,CAN_TELEPORT_TO_CITY,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_BEOWULF,CAN_TELEPORT_TO_CITY,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_HERCULES,CAN_TELEPORT_TO_CITY,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_HIMIKO,CAN_TELEPORT_TO_CITY,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_HIPPOLYTA,CAN_TELEPORT_TO_CITY,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_HUNAHPU,CAN_TELEPORT_TO_CITY,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_OYA,CAN_TELEPORT_TO_CITY,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_MAUI,CAN_TELEPORT_TO_CITY,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_MULAN,CAN_TELEPORT_TO_CITY,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_SINBAD,CAN_TELEPORT_TO_CITY,1,PROPERTYTYPE_IDENTITY
UNIT_HERO_WUKONG,CAN_TELEPORT_TO_CITY,1,PROPERTYTYPE_IDENTITY
PROJECT_CREATE_HERO_ANANSI,COST_PROGRESSION_GROUP,COST_GROUP_HERO_CLAIM_PROJECTS,PROPERTYTYPE_IDENTITY
PROJECT_CREATE_HERO_ARTHUR,COST_PROGRESSION_GROUP,COST_GROUP_HERO_CLAIM_PROJECTS,PROPERTYTYPE_IDENTITY
PROJECT_CREATE_HERO_BEOWULF,COST_PROGRESSION_GROUP,COST_GROUP_HERO_CLAIM_PROJECTS,PROPERTYTYPE_IDENTITY
PROJECT_CREATE_HERO_HERCULES,COST_PROGRESSION_GROUP,COST_GROUP_HERO_CLAIM_PROJECTS,PROPERTYTYPE_IDENTITY
PROJECT_CREATE_HERO_HIMIKO,COST_PROGRESSION_GROUP,COST_GROUP_HERO_CLAIM_PROJECTS,PROPERTYTYPE_IDENTITY
PROJECT_CREATE_HERO_HIPPOLYTA,COST_PROGRESSION_GROUP,COST_GROUP_HERO_CLAIM_PROJECTS,PROPERTYTYPE_IDENTITY
PROJECT_CREATE_HERO_HUNAHPU,COST_PROGRESSION_GROUP,COST_GROUP_HERO_CLAIM_PROJECTS,PROPERTYTYPE_IDENTITY
PROJECT_CREATE_HERO_OYA,COST_PROGRESSION_GROUP,COST_GROUP_HERO_CLAIM_PROJECTS,PROPERTYTYPE_IDENTITY
PROJECT_CREATE_HERO_MAUI,COST_PROGRESSION_GROUP,COST_GROUP_HERO_CLAIM_PROJECTS,PROPERTYTYPE_IDENTITY
PROJECT_CREATE_HERO_MULAN,COST_PROGRESSION_GROUP,COST_GROUP_HERO_CLAIM_PROJECTS,PROPERTYTYPE_IDENTITY
PROJECT_CREATE_HERO_SINBAD,COST_PROGRESSION_GROUP,COST_GROUP_HERO_CLAIM_PROJECTS,PROPERTYTYPE_IDENTITY
PROJECT_CREATE_HERO_WUKONG,COST_PROGRESSION_GROUP,COST_GROUP_HERO_CLAIM_PROJECTS,PROPERTYTYPE_IDENTITY
UNITCOMMAND_RESTORE_UNIT_MOVES,RANGE,1,PROPERTYTYPE_IDENTITY
UNITCOMMAND_KILL_WEAKER_UNIT,RANGE,1,PROPERTYTYPE_IDENTITY
UNITCOMMAND_GRANT_ENVOY,GRANT_ENVOY_SUZERAIN_FAITH,50,PROPERTYTYPE_IDENTITY
UNITCOMMAND_GRANT_ENVOY,COST_PROGRESSION_TYPE,COST_PROGRESSION_ERA_FLAT,PROPERTYTYPE_IDENTITY
UNITCOMMAND_GRANT_ENVOY,PROGRESSION_PARAM1,25,PROPERTYTYPE_IDENTITY
UNITCOMMAND_NAVAL_GOLD_RAID,NAVAL_GOLD_RAID_YIELD,200,PROPERTYTYPE_IDENTITY
UNITCOMMAND_NAVAL_GOLD_RAID,COST_PROGRESSION_TYPE,COST_PROGRESSION_ERA_FLAT,PROPERTYTYPE_IDENTITY
UNITCOMMAND_NAVAL_GOLD_RAID,PROGRESSION_PARAM1,100,PROPERTYTYPE_IDENTITY
UNITCOMMAND_RESOURCE_INSPIRE,RESOURCE_INSPIRE_SCIENCE,60,PROPERTYTYPE_IDENTITY
UNITCOMMAND_RESOURCE_INSPIRE,RESOURCE_INSPIRE_CULTURE,50,PROPERTYTYPE_IDENTITY
UNITCOMMAND_RESOURCE_INSPIRE,COST_PROGRESSION_TYPE,COST_PROGRESSION_ERA_FLAT,PROPERTYTYPE_IDENTITY
UNITCOMMAND_RESOURCE_INSPIRE,PROGRESSION_PARAM1,30,PROPERTYTYPE_IDENTITY
UNITCOMMAND_AREA_DAMAGE_HEAL,STRENGTH,40,PROPERTYTYPE_IDENTITY
HEROCLASS_HIMIKO,HERO_PREREQ_CITY_STATE_RATIO,1.0,PROPERTYTYPE_IDENTITY
GREATWORK_HERO_SYMBOL_ANANSI,GREATWORKOBJECT_IS_RELIGIOUS,1,PROPERTYTYPE_IDENTITY
