NamedMountainType,CivilizationType
NAMED_MOUNTAIN_HIMALAYAS,CIVILIZATION_INDIA
NAMED_MOUNTAIN_HINDU_KUSH,CIVILIZATION_CHINA
NAMED_MOUNTAIN_JABAL_HARAZ,CIVILIZATION_ARABIA
NAMED_MOUNTAIN_JOTUNHEIMEN,CIVILIZATION_NORWAY
NAMED_MOUNTAIN_JURA_MOUNTAINS,CIVILIZATION_FRANCE
NAMED_MOUNTAIN_KAMIKOCHI,CIVILIZATION_JAPAN
NAMED_MOUNTAIN_KARAKORAM,CIVILIZATION_CHINA
NAMED_MOUNTAIN_KARAKORAM,CIVILIZATION_INDIA
NAMED_MOUNTAIN_KHINGAN,CIVILIZATION_CHINA
NAMED_MOUNTAIN_KISO_MOUNTAINS,CIVILIZATION_JAPAN
NAMED_MOUNTAIN_KOYTENDAG_RANGE,CIVILIZATION_SCYTHIA
NAMED_MOUNTAIN_KUNLUN,CIVILIZATION_CHINA
NAMED_MOUNTAIN_LEFKA_ORI,CIVILIZATION_GREECE
NAMED_MOUNTAIN_MANTIQUEIRA,CIVILIZATION_BRAZIL
NAMED_MOUNTAIN_MASSIF_CENTRAL,CIVILIZATION_BRAZIL
NAMED_MOUNTAIN_MONT_BLANC_MASSIF,CIVILIZATION_FRANCE
NAMED_MOUNTAIN_MONTES_DE_TOLEDO,CIVILIZATION_SPAIN
NAMED_MOUNTAIN_NEBLINA_MASSIF,CIVILIZATION_FRANCE
NAMED_MOUNTAIN_NORTH_YORK_MOORS,CIVILIZATION_ENGLAND
NAMED_MOUNTAIN_ORE_MOUNTAINS,CIVILIZATION_GERMANY
NAMED_MOUNTAIN_PACARAIMA_MOUNTAINS,CIVILIZATION_BRAZIL
NAMED_MOUNTAIN_PAMIRS,CIVILIZATION_CHINA
NAMED_MOUNTAIN_PAMIRS,CIVILIZATION_SCYTHIA
NAMED_MOUNTAIN_PATKAI,CIVILIZATION_INDIA
NAMED_MOUNTAIN_PENNINE_CHAIN,CIVILIZATION_ENGLAND
NAMED_MOUNTAIN_PINDUS,CIVILIZATION_GREECE
NAMED_MOUNTAIN_PIR_PANJAL_RANGE,CIVILIZATION_INDIA
NAMED_MOUNTAIN_PURVANCHAL_RANGE,CIVILIZATION_INDIA
NAMED_MOUNTAIN_PUTORANA_PLATEAU,CIVILIZATION_RUSSIA
NAMED_MOUNTAIN_PYRENEES,CIVILIZATION_FRANCE
NAMED_MOUNTAIN_PYRENEES,CIVILIZATION_SPAIN
NAMED_MOUNTAIN_QANDIL_MOUNTAINS,CIVILIZATION_SUMERIA
NAMED_MOUNTAIN_QINLING,CIVILIZATION_CHINA
NAMED_MOUNTAIN_RED_SEA_HILLS,CIVILIZATION_EGYPT
NAMED_MOUNTAIN_RHODOPES,CIVILIZATION_GREECE
NAMED_MOUNTAIN_ROCKIES,CIVILIZATION_AMERICA
NAMED_MOUNTAIN_RONDANE_MASSIF,CIVILIZATION_NORWAY
NAMED_MOUNTAIN_SARAWAT_MOUNTAINS,CIVILIZATION_ARABIA
NAMED_MOUNTAIN_SATPURA_RANGE,CIVILIZATION_INDIA
NAMED_MOUNTAIN_SAYAN_MOUNTAINS,CIVILIZATION_RUSSIA
NAMED_MOUNTAIN_SCANDES,CIVILIZATION_NORWAY
NAMED_MOUNTAIN_SERRA_DA_CHELA,CIVILIZATION_KONGO
NAMED_MOUNTAIN_SERRA_DA_LEBA,CIVILIZATION_KONGO
NAMED_MOUNTAIN_SERRA_DO_MAR,CIVILIZATION_BRAZIL
NAMED_MOUNTAIN_SERRA_DO_MOCO,CIVILIZATION_KONGO
NAMED_MOUNTAIN_SERRA_DOS_ORGAOS,CIVILIZATION_BRAZIL
NAMED_MOUNTAIN_SERRA_LONDANUIMA,CIVILIZATION_KONGO
NAMED_MOUNTAIN_SHROPSHIRE_HILLS,CIVILIZATION_ENGLAND
NAMED_MOUNTAIN_SIBILLINI_MOUNTAINS,CIVILIZATION_ROME
NAMED_MOUNTAIN_SIERRA_MADRES,CIVILIZATION_AMERICA
NAMED_MOUNTAIN_SIERRA_NEVADAS,CIVILIZATION_AMERICA
NAMED_MOUNTAIN_SIERRA_NEVADAS,CIVILIZATION_SPAIN
NAMED_MOUNTAIN_SINAI_HIGH_MOUNTAINS,CIVILIZATION_EGYPT
NAMED_MOUNTAIN_SINJAR_MOUNTAINS,CIVILIZATION_SUMERIA
NAMED_MOUNTAIN_STANOVOY_MOUNTAINS,CIVILIZATION_RUSSIA
NAMED_MOUNTAIN_SYLAN,CIVILIZATION_NORWAY
NAMED_MOUNTAIN_TAYGETUS_MASSIF,CIVILIZATION_GREECE
NAMED_MOUNTAIN_THURINGIAN_FOREST_MOUNTAINS,CIVILIZATION_GERMANY
NAMED_MOUNTAIN_TIEN_SHAN,CIVILIZATION_CHINA
NAMED_MOUNTAIN_URALS,CIVILIZATION_RUSSIA
NAMED_MOUNTAIN_VERKHOYANSK,CIVILIZATION_RUSSIA
NAMED_MOUNTAIN_VINDHAYA_RANGE,CIVILIZATION_INDIA
NAMED_MOUNTAIN_VOSGES,CIVILIZATION_FRANCE
NAMED_MOUNTAIN_ZAGROS,CIVILIZATION_SUMERIA
NAMED_MOUNTAIN_ZARAFSHAN_RANGE,CIVILIZATION_SCYTHIA
NAMED_MOUNTAIN_ALADAGH_MOUNTAINS,CIVILIZATION_OTTOMAN
NAMED_MOUNTAIN_ANDES,CIVILIZATION_INCA
NAMED_MOUNTAIN_ANTILIBANUS_MOUNTAINS,CIVILIZATION_PHOENICIA
NAMED_MOUNTAIN_ATLAS,CIVILIZATION_PHOENICIA
NAMED_MOUNTAIN_BAMBOUK_MOUNTAINS,CIVILIZATION_MALI
NAMED_MOUNTAIN_BANDIAGARA_ESCARPMENT,CIVILIZATION_MALI
NAMED_MOUNTAIN_BARGYLUS_MOUNTAINS,CIVILIZATION_PHOENICIA
NAMED_MOUNTAIN_BUKK_MOUNTAINS,CIVILIZATION_HUNGARY
NAMED_MOUNTAIN_CARPATHIANS,CIVILIZATION_HUNGARY
NAMED_MOUNTAIN_CASCADES,CIVILIZATION_CANADA
NAMED_MOUNTAIN_CAUCASUS,CIVILIZATION_OTTOMAN
NAMED_MOUNTAIN_COAST,CIVILIZATION_CANADA
NAMED_MOUNTAIN_CORDILLERA_DEL_CONDOR,CIVILIZATION_INCA
NAMED_MOUNTAIN_GWAZHAL,CIVILIZATION_CANADA
NAMED_MOUNTAIN_HOMBORI_MOUNTAINS,CIVILIZATION_MALI
NAMED_MOUNTAIN_HUIARAU_RANGE,CIVILIZATION_MAORI
NAMED_MOUNTAIN_KACKAR_MOUNTAINS,CIVILIZATION_OTTOMAN
NAMED_MOUNTAIN_KAIKOURA_RANGE,CIVILIZATION_MAORI
NAMED_MOUNTAIN_KAIMAI_RANGE,CIVILIZATION_MAORI
NAMED_MOUNTAIN_KEBNEKAISE_MASSIF,CIVILIZATION_SWEDEN
NAMED_MOUNTAIN_KOSZEG_MOUNTAINS,CIVILIZATION_HUNGARY
NAMED_MOUNTAIN_LEBANON,CIVILIZATION_PHOENICIA
NAMED_MOUNTAIN_MACKENZIE,CIVILIZATION_CANADA
NAMED_MOUNTAIN_MANDING_MOUNTAINS,CIVILIZATION_MALI
NAMED_MOUNTAIN_MATRA_MOUNTAINS,CIVILIZATION_HUNGARY
NAMED_MOUNTAIN_NORRA_STORFJALLET,CIVILIZATION_SWEDEN
NAMED_MOUNTAIN_NUR_MOUNTAINS,CIVILIZATION_OTTOMAN
NAMED_MOUNTAIN_PONTIC_ALPS,CIVILIZATION_OTTOMAN
NAMED_MOUNTAIN_RAUKUMARA_RANGE,CIVILIZATION_MAORI
NAMED_MOUNTAIN_RIMUTAKA_RANGE,CIVILIZATION_MAORI
NAMED_MOUNTAIN_ROCKIES,CIVILIZATION_CANADA
NAMED_MOUNTAIN_SCANDES,CIVILIZATION_SWEDEN
NAMED_MOUNTAIN_SYLAN,CIVILIZATION_SWEDEN
NAMED_MOUNTAIN_TARARUA_RANGE,CIVILIZATION_MAORI
NAMED_MOUNTAIN_TAURUS,CIVILIZATION_OTTOMAN
NAMED_MOUNTAIN_TIRITIRI_O_TE_MOANA,CIVILIZATION_MAORI
NAMED_MOUNTAIN_URUPAMPA_RANGE,CIVILIZATION_INCA
NAMED_MOUNTAIN_WAYTAPALLANA_WALLA,CIVILIZATION_INCA
NAMED_MOUNTAIN_WAYWASH_WALLA,CIVILIZATION_INCA
NAMED_MOUNTAIN_WILLKANUTA_RANGE,CIVILIZATION_INCA
NAMED_MOUNTAIN_WILLKAPAMPA_RANGE,CIVILIZATION_INCA
NAMED_MOUNTAIN_YANA_WALLA,CIVILIZATION_INCA
NAMED_MOUNTAIN_YURAQ_WALLA,CIVILIZATION_INCA
NAMED_MOUNTAIN_MAYA_MOUNTAINS,CIVILIZATION_MAYA
NAMED_MOUNTAIN_SIERRA_MADRE_DE_CHIAPAS,CIVILIZATION_MAYA
NAMED_MOUNTAIN_SIERRA_DE_LOS_CUCHUMATANES,CIVILIZATION_MAYA
NAMED_MOUNTAIN_GUATEMALAN_HIGHLANDS,CIVILIZATION_MAYA
NAMED_MOUNTAIN_SIERRA_DE_LAS_MINAS,CIVILIZATION_MAYA
NAMED_MOUNTAIN_CORDILLERA_CENTRAL,CIVILIZATION_GRAN_COLOMBIA
NAMED_MOUNTAIN_CORDILLERA_OCCIDENTAL,CIVILIZATION_GRAN_COLOMBIA
NAMED_MOUNTAIN_CORDILLERA_ORIENTAL,CIVILIZATION_GRAN_COLOMBIA
NAMED_MOUNTAIN_GUIANA_HIGHLANDS,CIVILIZATION_GRAN_COLOMBIA
NAMED_MOUNTAIN_CORDILLERA_DE_MERIDA,CIVILIZATION_GRAN_COLOMBIA
NAMED_MOUNTAIN_CORDILLERA_DE_LA_COSTA,CIVILIZATION_GRAN_COLOMBIA
NAMED_MOUNTAIN_ANDES,CIVILIZATION_GRAN_COLOMBIA
NAMED_MOUNTAIN_BALKANS,CIVILIZATION_BYZANTIUM
NAMED_MOUNTAIN_CAUCASUS,CIVILIZATION_BYZANTIUM
NAMED_MOUNTAIN_KACKAR_MOUNTAINS,CIVILIZATION_BYZANTIUM
NAMED_MOUNTAIN_NUR_MOUNTAINS,CIVILIZATION_BYZANTIUM
NAMED_MOUNTAIN_PONTIC_ALPS,CIVILIZATION_BYZANTIUM
NAMED_MOUNTAIN_TAURUS,CIVILIZATION_BYZANTIUM
NAMED_MOUNTAIN_CEVENNES,CIVILIZATION_GAUL
NAMED_MOUNTAIN_EIFEL_MOUNTAINS,CIVILIZATION_GAUL
NAMED_MOUNTAIN_ALPS,CIVILIZATION_GAUL
NAMED_MOUNTAIN_PYRENEES,CIVILIZATION_GAUL
NAMED_MOUNTAIN_JURA_MOUNTAINS,CIVILIZATION_GAUL
NAMED_MOUNTAIN_VOSGES,CIVILIZATION_GAUL
NAMED_MOUNTAIN_BA_VI_MOUNTAINS,CIVILIZATION_VIETNAM
NAMED_MOUNTAIN_BAY NUI_MOUNTAINS,CIVILIZATION_VIETNAM
NAMED_MOUNTAIN_MARBLE_MOUNTAINS,CIVILIZATION_VIETNAM
NAMED_MOUNTAIN_ANNAMITES,CIVILIZATION_VIETNAM
NAMED_MOUNTAIN_BALE_MOUNTAINS,CIVILIZATION_ETHIOPIA
NAMED_MOUNTAIN_ARSI_MOUNTAINS,CIVILIZATION_ETHIOPIA
NAMED_MOUNTAIN_WOLLO_HIGHLANDS,CIVILIZATION_ETHIOPIA
NAMED_MOUNTAIN_AHMAR_MOUNTAINS,CIVILIZATION_ETHIOPIA
NAMED_MOUNTAIN_AMARO_MOUNTAINS,CIVILIZATION_ETHIOPIA
NAMED_MOUNTAIN_SEMIENS,CIVILIZATION_ETHIOPIA
NAMED_MOUNTAIN_HAMRIN_MOUNTAINS,CIVILIZATION_BABYLON_STK
NAMED_MOUNTAIN_QANDIL_MOUNTAINS,CIVILIZATION_BABYLON_STK
NAMED_MOUNTAIN_SINJAR_MOUNTAINS,CIVILIZATION_BABYLON_STK
NAMED_MOUNTAIN_ZAGROS,CIVILIZATION_BABYLON_STK
NAMED_MOUNTAIN_SERRA_DA_ESTRELA,CIVILIZATION_PORTUGAL
NAMED_MOUNTAIN_SERRA_DE_MONCHIQUE,CIVILIZATION_PORTUGAL
NAMED_MOUNTAIN_MONTES_DE_TOLEDO,CIVILIZATION_PORTUGAL
