CommandType,Description,Help,DisabledHelp,Icon,Sound,VisibleInUI,HoldCycling,CategoryInUI,InterfaceMode,PrereqTech,PrereqCivic,MaxEra,HotkeyId
UNITCOMMAND_FORM_CORPS,LOC_UNITCOMMAND_FORM_CORPS_DESCRIPTION,,,ICON_UNITCOMMAND_FORM_CORPS,,1,1,SPECIFIC,INTERFACEMODE_FORM_CORPS,,CIVIC_NATIONALISM,-1,
UNITCOMMAND_FORM_ARMY,LOC_UNITCOMMAND_FORM_ARMY_DESCRIPTION,,,ICON_UNITCOMMAND_FORM_ARMY,,1,1,SPECIFIC,INTERFACEMODE_FORM_ARMY,,CIVIC_MOBILIZATION,-1,
UNITCOMMAND_PLUNDER_TRADE_ROUTE,LOC_UNITCOMMAND_PLUNDER_TRADE_ROUTE_DESCRIPTION,,,ICON_UNITCOMMAND_PLUNDER_TRADE_ROUTE,,1,1,SPECIFIC,,,,-1,
UNITCOMMAND_CONDEMN_HERETIC,LOC_UNITCOMMAND_CONDEMN_HERETIC_DESCRIPTION,,,ICON_UNITCOMMAND_CONDEMN_HERETIC,,1,1,SPECIFIC,,,,-1,
UNITCOMMAND_NAME_UNIT,LOC_UNITCOMMAND_NAME_UNIT_DESCRIPTION,,,ICON_UNITCOMMAND_NAME_UNIT,,1,0,SPECIFIC,,,,-1,
UNITCOMMAND_WONDER_PRODUCTION,LOC_UNITCOMMAND_WONDER_PRODUCTION_DESCRIPTION,,,ICON_UNITCOMMAND_WONDER_PRODUCTION,,1,1,SPECIFIC,,,,2,
UNITCOMMAND_HARVEST_WONDER,LOC_UNITCOMMAND_HARVEST_WONDER_DESCRIPTION,,,ICON_UNITCOMMAND_HARVEST_WONDER,,1,1,SPECIFIC,,,,-1,
UNITCOMMAND_AIRLIFT,LOC_UNITCOMMAND_AIRLIFT_DESCRIPTION,,,ICON_UNITCOMMAND_AIRLIFT,,1,1,MOVE,INTERFACEMODE_AIRLIFT,,,-1,
UNITCOMMAND_EXECUTE_SCRIPT,LOC_UNITCOMMAND_EXECUTE_SCRIPT_DESCRIPTION,,,ICON_UNITCOMMAND_NAME_UNIT,,0,0,SPECIFIC,,,,-1,
UNITCOMMAND_PET_THE_DOG,LOC_UNITCOMMAND_PET_THE_DOG_DESCRIPTION,,,ICON_UNITCOMMAND_PET_THE_DOG,,1,0,SECONDARY,,,,-1,
UNITCOMMAND_PARADROP,LOC_UNITCOMMAND_PARADROP_DESCRIPTION,,,ICON_UNITCOMMAND_PARADROP,,1,1,MOVE,INTERFACEMODE_PARADROP,,,-1,
UNITCOMMAND_PROJECT_PRODUCTION,LOC_UNITCOMMAND_PROJECT_PRODUCTION_DESCRIPTION,,,ICON_UNITCOMMAND_WONDER_PRODUCTION,,1,1,SPECIFIC,,,,-1,
UNITCOMMAND_PRIORITY_TARGET,LOC_UNITCOMMAND_PRIORITY_TARGET_DESCRIPTION,,,ICON_UNITCOMMAND_PRIORITY_TARGET,,1,1,ATTACK,INTERFACEMODE_PRIORITY_TARGET,,,-1,
UNITCOMMAND_SPREAD_DISSENT,LOC_UNITCOMMAND_SPREAD_DISSENT_DESCRIPTION,,,ICON_UNITCOMMAND_SPREAD_DISSENT,,1,1,ATTACK,,,,-1,
UNITCOMMAND_MOVE_JUMP,LOC_UNITCOMMAND_MOVE_JUMP_DESCRIPTION,,,ICON_UNITCOMMAND_MOVE_JUMP,,1,1,MOVE,INTERFACEMODE_MOVE_JUMP,,,-1,
UNITCOMMAND_BUILDING_PRODUCTION,LOC_UNITCOMMAND_BUILDING_PRODUCTION_DESCRIPTION,,,ICON_UNITCOMMAND_DISTRICT_PRODUCTION,,1,1,SPECIFIC,,,,-1,
UNITCOMMAND_TREAT_WITH_CLAN_DISPERSE,LOC_UNITCOMMAND_TREAT_WITH_CLAN_DISPERSE_DESCRIPTION,LOC_UNITCOMMAND_TREAT_WITH_CLAN_DISPERSE_HELP,,ICON_UNITCOMMAND_TREAT_WITH_CLAN_DISPERSE,,1,1,BUILD,,,,-1,
UNITCOMMAND_TREAT_WITH_CLAN_RAID,LOC_UNITCOMMAND_TREAT_WITH_CLAN_RAID_DESCRIPTION,LOC_UNITCOMMAND_TREAT_WITH_CLAN_RAID_HELP,,ICON_UNITCOMMAND_TREAT_WITH_CLAN_RAID,,1,1,BUILD,,,,-1,
UNITCOMMAND_KILL_WEAKER_UNIT,LOC_UNITCOMMAND_KILL_WEAKER_UNIT_DESCRIPTION,LOC_UNITCOMMAND_KILL_WEAKER_UNIT_HELP,,ICON_UNITCOMMAND_KILL_WEAKER_UNIT,,1,1,SPECIFIC,INTERFACEMODE_KILL_WEAKER_UNIT,,,-1,
UNITCOMMAND_TRANSFORM_UNIT,LOC_UNITCOMMAND_TRANSFORM_UNIT_DESCRIPTION,LOC_UNITCOMMAND_TRANSFORM_UNIT_HELP,,ICON_UNITCOMMAND_TRANSFORM_UNIT,,1,1,SPECIFIC,INTERFACEMODE_TRANSFORM_UNIT,,,-1,
UNITCOMMAND_GRANT_ENVOY,LOC_UNITCOMMAND_GRANT_ENVOY_DESCRIPTION,LOC_UNITCOMMAND_GRANT_ENVOY_HELP,,ICON_UNITCOMMAND_GRANT_ENVOY,,1,1,SPECIFIC,,,,-1,
UNITCOMMAND_FORCE_LEVY_MILITARY,LOC_UNITCOMMAND_FORCE_LEVY_MILITARY_DESCRIPTION,LOC_UNITCOMMAND_FORCE_LEVY_MILITARY_HELP,,ICON_UNITCOMMAND_FORCE_LEVY_MILITARY,,1,1,SPECIFIC,,,,-1,
UNITCOMMAND_COMPLETE_DISTRICT,LOC_UNITCOMMAND_COMPLETE_DISTRICT_DESCRIPTION,LOC_UNITCOMMAND_COMPLETE_DISTRICT_HELP,,ICON_UNITCOMMAND_COMPLETE_DISTRICT,,1,1,SPECIFIC,,,,-1,
UNITCOMMAND_DESTROY_DEVELOPMENT,LOC_UNITCOMMAND_DESTROY_DEVELOPMENT_DESCRIPTION,LOC_UNITCOMMAND_DESTROY_DEVELOPMENT_HELP,,ICON_UNITCOMMAND_DESTROY_DEVELOPMENT,,1,1,SPECIFIC,,,,-1,
UNITCOMMAND_RESTORE_UNIT_MOVES,LOC_UNITCOMMAND_RESTORE_UNIT_MOVES_DESCRIPTION,LOC_UNITCOMMAND_RESTORE_UNIT_MOVES_HELP,,ICON_UNITCOMMAND_RESTORE_UNIT_MOVES,,1,1,SPECIFIC,INTERFACEMODE_RESTORE_UNIT_MOVES,,,-1,
UNITCOMMAND_NAVAL_GOLD_RAID,LOC_UNITCOMMAND_NAVAL_GOLD_RAID_DESCRIPTION,LOC_UNITCOMMAND_NAVAL_GOLD_RAID_HELP,,ICON_UNITCOMMAND_NAVAL_GOLD_RAID,,1,1,SPECIFIC,INTERFACEMODE_NAVAL_GOLD_RAID,,,-1,
UNITCOMMAND_RESOURCE_INSPIRE,LOC_UNITCOMMAND_RESOURCE_INSPIRE_DESCRIPTION,LOC_UNITCOMMAND_RESOURCE_INSPIRE_HELP,,ICON_UNITCOMMAND_RESOURCE_INSPIRE,,1,1,SPECIFIC,,,,-1,
UNITCOMMAND_AREA_DAMAGE_HEAL,LOC_UNITCOMMAND_AREA_DAMAGE_HEAL_DESCRIPTION,LOC_UNITCOMMAND_AREA_DAMAGE_HEAL_HELP,,ICON_UNITCOMMAND_AREA_DAMAGE_HEAL,Oya_Storm_2D,1,1,SPECIFIC,,,,-1,
UNITCOMMAND_CREATE_RANDOM_RESOURCE,LOC_UNITCOMMAND_CREATE_RANDOM_RESOURCE_DESCRIPTION,LOC_UNITCOMMAND_CREATE_RANDOM_RESOURCE_HELP,,ICON_UNITCOMMAND_CREATE_RANDOM_RESOURCE,,1,1,SPECIFIC,,,,-1,
