GovernorPromotionType,ModifierId
GOVERNOR_PROMOTION_SANGUINE_PACT_2,SECRET_SOCIETY_GRANT_VAMPIRE
GOVERNOR_PROMOTION_SANGUINE_PACT_2,SECRET_SOCIETY_GRANT_TWO_VAMPIRE_BUILDS
GOVERNOR_PROMOTION_SANGUINE_PACT_3,SECRET_SOCIETY_INTIMIDATE_ENEMIES_ATTACHMENT
GOVERNOR_PROMOTION_SANGUINE_PACT_3,SECRET_SOCIETY_VAMPIRES_ADVANCED_PILLAGING
GOVERNOR_PROMOTION_SANGUINE_PACT_3,SECRET_SOCIETY_GRANT_VAMPIRE
GOVERNOR_PROMOTION_SANGUINE_PACT_3,SECRET_SOCIETY_GRANT_ONE_VAMPIRE_BUILD
GOVERNOR_PROMOTION_SANGUINE_PACT_4,SECRET_SOCIETY_GRANT_VAMPIRE
GOVERNOR_PROMOTION_SANGUINE_PACT_4,SECRET_SOCIETY_GRANT_ONE_VAMPIRE_BUILD
GOVERNOR_PROMOTION_SANGUINE_PACT_4,SECRET_SOCIETIES_ATTACH_PLAYER_CASTLES_TELEPORT
GOVERNOR_PROMOTION_HERMETIC_ORDER_3,HERMETIC_ORDER_COMANDANTE_GENERAL_LEY_LINE_SCIENCE
