BuildingType,YieldType,YieldChange
BUILDING_TLACHTLI,YIELD_CULTURE,2
BUILDING_ANGKOR_WAT,YIELD_FAITH,2
BUILDING_PRASAT,YIELD_FAITH,6
BUILDING_SUKIENNICE,YIELD_GOLD,2
BUILDING_JEBEL_BARKAL,YIELD_FAITH,4
BUILDING_BASILIKOI_PAIDES,YIELD_PRODUCTION,1
BUILDING_TSIKHE,YIELD_FAITH,4
BUILDING_ORDU,YIELD_PRODUCTION,1
BUILDING_TEMPLE_ARTEMIS,YIELD_FOOD,4
BUILDING_ARENA,YIELD_CULTURE,1
BUILDING_FOOD_MARKET,YIELD_FOOD,4
BUILDING_SHIPYARD,YIELD_FOOD,1
BUILDING_FERRIS_WHEEL,YIELD_CULTURE,3
BUILDING_FOSSIL_FUEL_POWER_PLANT,YIELD_PRODUCTION,3
BUILDING_POWER_PLANT,YIELD_SCIENCE,3
BUILDING_SHOPPING_MALL,YIELD_GOLD,2
BUILDING_GOV_FAITH,YIELD_FAITH,5
BUILDING_GRAND_BAZAAR,YIELD_GOLD,5
BUILDING_THERMAL_BATH,YIELD_PRODUCTION,2
BUILDING_MACHU_PICCHU,YIELD_GOLD,4
BUILDING_MEENAKSHI_TEMPLE,YIELD_FAITH,3
BUILDING_ORSZAGHAZ,YIELD_CULTURE,4
BUILDING_UNIVERSITY_SANKORE,YIELD_SCIENCE,3
BUILDING_UNIVERSITY_SANKORE,YIELD_FAITH,1
BUILDING_PANAMA_CANAL,YIELD_GOLD,10
BUILDING_STATUE_OF_ZEUS,YIELD_GOLD,3
BUILDING_ALCHEMICAL_SOCIETY,YIELD_SCIENCE,4
BUILDING_ALCHEMICAL_SOCIETY,YIELD_PRODUCTION,2
BUILDING_GILDED_VAULT,YIELD_GOLD,5
BUILDING_OLD_GOD_OBELISK,YIELD_CULTURE,1
BUILDING_OLD_GOD_OBELISK,YIELD_FAITH,4
BUILDING_PALGUM,YIELD_PRODUCTION,2
BUILDING_ETEMENANKI,YIELD_SCIENCE,2
BUILDING_NAVIGATION_SCHOOL,YIELD_SCIENCE,4
BUILDING_TORRE_DE_BELEM,YIELD_GOLD,5
