MomentType,Name,Description,InstanceDescription,InterestLevel,EraScore,RepeatTurnCooldown,CommemorationType,MinimumGameEra,MaximumGameEra,BackgroundTexture,IconTexture,MomentIllustrationType,ObsoleteEra
MOMENT_BUILDING_CONSTRUCTED_FULL_ENCAMPMENT_FIRST,LOC_MOMENT_BUILDING_CONSTRUCTED_FULL_ENCAMPMENT_FIRST,LOC_MOMENT_BUILDING_CONSTRUCTED_FULL_ENCAMPMENT_FIRST_DESCRIPTION,LOC_MOMENT_BUILDING_CONSTRUCTED_FULL_ENCAMPMENT_FIRST_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_DistrictBuiltEncampment.dds,,,
MOMENT_BUILDING_CONSTRUCTED_FULL_ENTERTAINMENT_COMPLEX_FIRST,LOC_MOMENT_BUILDING_CONSTRUCTED_FULL_ENTERTAINMENT_COMPLEX_FIRST,LOC_MOMENT_BUILDING_CONSTRUCTED_FULL_ENTERTAINMENT_COMPLEX_FIRST_DESCRIPTION,LOC_MOMENT_BUILDING_CONSTRUCTED_FULL_ENTERTAINMENT_COMPLEX_FIRST_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_DistrictBuiltEntertainment.dds,,,
MOMENT_BUILDING_CONSTRUCTED_FULL_WATER_ENTERTAINMENT_COMPLEX_FIRST,LOC_MOMENT_BUILDING_CONSTRUCTED_FULL_WATER_ENTERTAINMENT_COMPLEX_FIRST,LOC_MOMENT_BUILDING_CONSTRUCTED_FULL_WATER_ENTERTAINMENT_COMPLEX_FIRST_DESCRIPTION,LOC_MOMENT_BUILDING_CONSTRUCTED_FULL_WATER_ENTERTAINMENT_COMPLEX_FIRST_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_DistrictBuiltWaterpark.dds,,,
MOMENT_BUILDING_CONSTRUCTED_GAME_ERA_WONDER,LOC_MOMENT_BUILDING_CONSTRUCTED_GAME_ERA_WONDER,LOC_MOMENT_BUILDING_CONSTRUCTED_GAME_ERA_WONDER_DESCRIPTION,LOC_MOMENT_BUILDING_CONSTRUCTED_GAME_ERA_WONDER_INSTANCE_DESCRIPTION,1,4.0,,,,,,MomentSmall_Wonder,,
MOMENT_BUILDING_CONSTRUCTED_PAST_ERA_WONDER,LOC_MOMENT_BUILDING_CONSTRUCTED_PAST_ERA_WONDER,LOC_MOMENT_BUILDING_CONSTRUCTED_PAST_ERA_WONDER_DESCRIPTION,LOC_MOMENT_BUILDING_CONSTRUCTED_PAST_ERA_WONDER_INSTANCE_DESCRIPTION,1,3.0,,,,,,MomentSmall_Wonder,,
MOMENT_CITY_BUILT_BECAME_LARGEST_CIV_BY_MARGIN,LOC_MOMENT_CITY_BUILT_BECAME_LARGEST_CIV_BY_MARGIN,LOC_MOMENT_CITY_BUILT_BECAME_LARGEST_CIV_BY_MARGIN_DESCRIPTION,LOC_MOMENT_CITY_BUILT_BECAME_LARGEST_CIV_BY_MARGIN_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_3MoreCitiesThanNextPlayer.dds,,,
MOMENT_CITY_BUILT_NEAR_NATURAL_WONDER,LOC_MOMENT_CITY_BUILT_NEAR_NATURAL_WONDER,LOC_MOMENT_CITY_BUILT_NEAR_NATURAL_WONDER_DESCRIPTION,LOC_MOMENT_CITY_BUILT_NEAR_NATURAL_WONDER_INSTANCE_DESCRIPTION,3,3.0,,,,,,,MOMENT_ILLUSTRATION_NATURAL_WONDER,
MOMENT_CITY_BUILT_NEAR_OTHER_CIV_CITY,LOC_MOMENT_CITY_BUILT_NEAR_OTHER_CIV_CITY,LOC_MOMENT_CITY_BUILT_NEAR_OTHER_CIV_CITY_DESCRIPTION,LOC_MOMENT_CITY_BUILT_NEAR_OTHER_CIV_CITY_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_City,,
MOMENT_CITY_BUILT_NEW_CONTINENT,LOC_MOMENT_CITY_BUILT_NEW_CONTINENT,LOC_MOMENT_CITY_BUILT_NEW_CONTINENT_DESCRIPTION,LOC_MOMENT_CITY_BUILT_NEW_CONTINENT_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_NewContinentCity.dds,,,
MOMENT_CITY_BUILT_ON_DESERT,LOC_MOMENT_CITY_BUILT_ON_DESERT,LOC_MOMENT_CITY_BUILT_ON_DESERT_DESCRIPTION,LOC_MOMENT_CITY_BUILT_ON_DESERT_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_City,,
MOMENT_CITY_BUILT_ON_SNOW,LOC_MOMENT_CITY_BUILT_ON_SNOW,LOC_MOMENT_CITY_BUILT_ON_SNOW_DESCRIPTION,LOC_MOMENT_CITY_BUILT_ON_SNOW_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_City,,
MOMENT_CITY_BUILT_ON_TUNDRA,LOC_MOMENT_CITY_BUILT_ON_TUNDRA,LOC_MOMENT_CITY_BUILT_ON_TUNDRA_DESCRIPTION,LOC_MOMENT_CITY_BUILT_ON_TUNDRA_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_City,,
MOMENT_CITY_CHANGED_RELIGION_ENEMY_CITY_DURING_WAR,LOC_MOMENT_CITY_CHANGED_RELIGION_ENEMY_CITY_DURING_WAR,LOC_MOMENT_CITY_CHANGED_RELIGION_ENEMY_CITY_DURING_WAR_DESCRIPTION,LOC_MOMENT_CITY_CHANGED_RELIGION_ENEMY_CITY_DURING_WAR_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_ConvertEnemyHolyCityDuringWar.dds,,,
MOMENT_CITY_CHANGED_RELIGION_OTHER_HOLY_CITY,LOC_MOMENT_CITY_CHANGED_RELIGION_OTHER_HOLY_CITY,LOC_MOMENT_CITY_CHANGED_RELIGION_OTHER_HOLY_CITY_DESCRIPTION,LOC_MOMENT_CITY_CHANGED_RELIGION_OTHER_HOLY_CITY_INSTANCE_DESCRIPTION,3,4.0,,,,,Moment_ConvertCity.dds,,,
MOMENT_CITY_SIZE_EXTRA_LARGE_FIRST,LOC_MOMENT_CITY_SIZE_EXTRA_LARGE_FIRST,LOC_MOMENT_CITY_SIZE_EXTRA_LARGE_FIRST_DESCRIPTION,LOC_MOMENT_CITY_SIZE_EXTRA_LARGE_FIRST_INSTANCE_DESCRIPTION,3,1.0,,,,,Moment_FirstCityToReach25Pop.dds,,,
MOMENT_CITY_SIZE_EXTRA_LARGE_FIRST_IN_WORLD,LOC_MOMENT_CITY_SIZE_EXTRA_LARGE_FIRST_IN_WORLD,LOC_MOMENT_CITY_SIZE_EXTRA_LARGE_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_CITY_SIZE_EXTRA_LARGE_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_FirstCityToReach25Pop.dds,,,
MOMENT_CITY_SIZE_LARGE_FIRST,LOC_MOMENT_CITY_SIZE_LARGE_FIRST,LOC_MOMENT_CITY_SIZE_LARGE_FIRST_DESCRIPTION,LOC_MOMENT_CITY_SIZE_LARGE_FIRST_INSTANCE_DESCRIPTION,3,1.0,,,,,Moment_FirstCityToReach20Pop.dds,,,
MOMENT_CITY_SIZE_LARGE_FIRST_IN_WORLD,LOC_MOMENT_CITY_SIZE_LARGE_FIRST_IN_WORLD,LOC_MOMENT_CITY_SIZE_LARGE_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_CITY_SIZE_LARGE_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_FirstCityToReach20Pop.dds,,,
MOMENT_CITY_SIZE_MEDIUM_FIRST,LOC_MOMENT_CITY_SIZE_MEDIUM_FIRST,LOC_MOMENT_CITY_SIZE_MEDIUM_FIRST_DESCRIPTION,LOC_MOMENT_CITY_SIZE_MEDIUM_FIRST_INSTANCE_DESCRIPTION,3,1.0,,,,,Moment_FirstCityToReach15Pop.dds,,,
MOMENT_CITY_SIZE_MEDIUM_FIRST_IN_WORLD,LOC_MOMENT_CITY_SIZE_MEDIUM_FIRST_IN_WORLD,LOC_MOMENT_CITY_SIZE_MEDIUM_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_CITY_SIZE_MEDIUM_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_FirstCityToReach15Pop.dds,,,
MOMENT_CITY_SIZE_SMALL_FIRST,LOC_MOMENT_CITY_SIZE_SMALL_FIRST,LOC_MOMENT_CITY_SIZE_SMALL_FIRST_DESCRIPTION,LOC_MOMENT_CITY_SIZE_SMALL_FIRST_INSTANCE_DESCRIPTION,3,1.0,,,,,Moment_FirstCityToReach10Pop.dds,,,ERA_MODERN
MOMENT_CITY_SIZE_SMALL_FIRST_IN_WORLD,LOC_MOMENT_CITY_SIZE_SMALL_FIRST_IN_WORLD,LOC_MOMENT_CITY_SIZE_SMALL_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_CITY_SIZE_SMALL_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_FirstCityToReach10Pop.dds,,,ERA_MODERN
MOMENT_CITY_TRANSFERRED_DISLOYAL_FREE_CITY,LOC_MOMENT_CITY_TRANSFERRED_DISLOYAL_FREE_CITY,LOC_MOMENT_CITY_TRANSFERRED_DISLOYAL_FREE_CITY_DESCRIPTION,LOC_MOMENT_CITY_TRANSFERRED_DISLOYAL_FREE_CITY_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_CityTransferCulturalFromFreeCity.dds,,,
MOMENT_CITY_TRANSFERRED_FOREIGN_CAPITAL,LOC_MOMENT_CITY_TRANSFERRED_FOREIGN_CAPITAL,LOC_MOMENT_CITY_TRANSFERRED_FOREIGN_CAPITAL_DESCRIPTION,LOC_MOMENT_CITY_TRANSFERRED_FOREIGN_CAPITAL_INSTANCE_DESCRIPTION,1,4.0,,,,,,MomentSmall_Military,,
MOMENT_CITY_TRANSFERRED_PLAYER_DEFEATED,LOC_MOMENT_CITY_TRANSFERRED_PLAYER_DEFEATED,LOC_MOMENT_CITY_TRANSFERRED_PLAYER_DEFEATED_DESCRIPTION,LOC_MOMENT_CITY_TRANSFERRED_PLAYER_DEFEATED_INSTANCE_DESCRIPTION,3,5.0,,,,,Moment_EliminatedCiv.dds,,,
MOMENT_CITY_TRANSFERRED_TO_ORIGINAL_OWNER,LOC_MOMENT_CITY_TRANSFERRED_TO_ORIGINAL_OWNER,LOC_MOMENT_CITY_TRANSFERRED_TO_ORIGINAL_OWNER_DESCRIPTION,LOC_MOMENT_CITY_TRANSFERRED_TO_ORIGINAL_OWNER_INSTANCE_DESCRIPTION,1,2.0,,,,,,MomentSmall_Military,,
MOMENT_CIVIC_CULTURVATED_IN_ERA_FIRST,LOC_MOMENT_CIVIC_CULTURVATED_IN_ERA_FIRST,LOC_MOMENT_CIVIC_CULTURVATED_IN_ERA_FIRST_DESCRIPTION,LOC_MOMENT_CIVIC_CULTURVATED_IN_ERA_FIRST_INSTANCE_DESCRIPTION,3,1.0,,,,,,,MOMENT_ILLUSTRATION_CIVIC_ERA,
MOMENT_CIVIC_CULTURVATED_IN_ERA_FIRST_IN_WORLD,LOC_MOMENT_CIVIC_CULTURVATED_IN_ERA_FIRST_IN_WORLD,LOC_MOMENT_CIVIC_CULTURVATED_IN_ERA_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_CIVIC_CULTURVATED_IN_ERA_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,2.0,,,,,,,MOMENT_ILLUSTRATION_CIVIC_ERA,
MOMENT_DISTRICT_CONSTRUCTED_FIRST_UNIQUE,LOC_MOMENT_DISTRICT_CONSTRUCTED_FIRST_UNIQUE,LOC_MOMENT_DISTRICT_CONSTRUCTED_FIRST_UNIQUE_DESCRIPTION,LOC_MOMENT_DISTRICT_CONSTRUCTED_FIRST_UNIQUE_INSTANCE_DESCRIPTION,3,4.0,,,,,,,MOMENT_ILLUSTRATION_UNIQUE_DISTRICT,
MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_CAMPUS,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_CAMPUS,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_CAMPUS_DESCRIPTION,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_CAMPUS_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_DistrictBuiltCampus.dds,,,
MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_COMMERCIAL_HUB,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_COMMERCIAL_HUB,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_COMMERCIAL_HUB_DESCRIPTION,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_COMMERCIAL_HUB_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_DistrictBuilt_Commercial.dds,,,
MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_HARBOR,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_HARBOR,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_HARBOR_DESCRIPTION,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_HARBOR_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_DistrictBuiltHarbor.dds,,,
MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_HOLY_SITE,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_HOLY_SITE,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_HOLY_SITE_DESCRIPTION,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_HOLY_SITE_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_DistrictBuiltHolySite.dds,,,
MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_INDUSTRIAL_ZONE,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_INDUSTRIAL_ZONE,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_INDUSTRIAL_ZONE_DESCRIPTION,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_INDUSTRIAL_ZONE_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_DistrictBuiltIndustrial.dds,,,
MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_THEATER_SQUARE,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_THEATER_SQUARE,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_THEATER_SQUARE_DESCRIPTION,LOC_MOMENT_DISTRICT_CONSTRUCTED_HIGH_ADJACENCY_THEATER_SQUARE_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_DistrictBuiltTheatre.dds,,,
MOMENT_DISTRICT_CONSTRUCTED_NEIGHBORHOOD_FIRST,LOC_MOMENT_DISTRICT_CONSTRUCTED_NEIGHBORHOOD_FIRST,LOC_MOMENT_DISTRICT_CONSTRUCTED_NEIGHBORHOOD_FIRST_DESCRIPTION,LOC_MOMENT_DISTRICT_CONSTRUCTED_NEIGHBORHOOD_FIRST_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_DistrictBuiltNeighborhood.dds,,,
MOMENT_DISTRICT_CONSTRUCTED_NEIGHBORHOOD_FIRST_IN_WORLD,LOC_MOMENT_DISTRICT_CONSTRUCTED_NEIGHBORHOOD_FIRST_IN_WORLD,LOC_MOMENT_DISTRICT_CONSTRUCTED_NEIGHBORHOOD_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_DISTRICT_CONSTRUCTED_NEIGHBORHOOD_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_DistrictBuiltNeighborhood.dds,,,ERA_MODERN
MOMENT_EMERGENCY_WON_AS_MEMBER,LOC_MOMENT_EMERGENCY_WON_AS_MEMBER,LOC_MOMENT_EMERGENCY_WON_AS_MEMBER_DESCRIPTION,LOC_MOMENT_EMERGENCY_WON_AS_MEMBER_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_JoinEmergency.dds,,,ERA_MODERN
MOMENT_EMERGENCY_WON_AS_TARGET,LOC_MOMENT_EMERGENCY_WON_AS_TARGET,LOC_MOMENT_EMERGENCY_WON_AS_TARGET_DESCRIPTION,LOC_MOMENT_EMERGENCY_WON_AS_TARGET_INSTANCE_DESCRIPTION,3,4.0,,,,,Moment_JoinEmergency.dds,,,
MOMENT_FIND_NATURAL_WONDER,LOC_MOMENT_FIND_NATURAL_WONDER,LOC_MOMENT_FIND_NATURAL_WONDER_DESCRIPTION,LOC_MOMENT_FIND_NATURAL_WONDER_INSTANCE_DESCRIPTION,2,1.0,,,,,,,MOMENT_ILLUSTRATION_NATURAL_WONDER,
MOMENT_FIND_NATURAL_WONDER_FIRST_IN_WORLD,LOC_MOMENT_FIND_NATURAL_WONDER_FIRST_IN_WORLD,LOC_MOMENT_FIND_NATURAL_WONDER_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_FIND_NATURAL_WONDER_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,2,3.0,,,,,,,MOMENT_ILLUSTRATION_NATURAL_WONDER,
MOMENT_FIND_NEW_CONTINENT_FIRST_IN_WORLD,LOC_MOMENT_FIND_NEW_CONTINENT_FIRST_IN_WORLD,LOC_MOMENT_FIND_NEW_CONTINENT_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_FIND_NEW_CONTINENT_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,2,4.0,,,,,Moment_DiscoverContinent.dds,,,
MOMENT_FORMATION_ARMADA_FIRST,LOC_MOMENT_FORMATION_ARMADA_FIRST,LOC_MOMENT_FORMATION_ARMADA_FIRST_DESCRIPTION,LOC_MOMENT_FORMATION_ARMADA_FIRST_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_Military,,
MOMENT_FORMATION_ARMADA_FIRST_IN_WORLD,LOC_MOMENT_FORMATION_ARMADA_FIRST_IN_WORLD,LOC_MOMENT_FORMATION_ARMADA_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_FORMATION_ARMADA_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_FirstArmada.dds,,,
MOMENT_FORMATION_ARMY_FIRST,LOC_MOMENT_FORMATION_ARMY_FIRST,LOC_MOMENT_FORMATION_ARMY_FIRST_DESCRIPTION,LOC_MOMENT_FORMATION_ARMY_FIRST_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_Military,,ERA_ATOMIC
MOMENT_FORMATION_ARMY_FIRST_IN_WORLD,LOC_MOMENT_FORMATION_ARMY_FIRST_IN_WORLD,LOC_MOMENT_FORMATION_ARMY_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_FORMATION_ARMY_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_FirstArmy.dds,,,ERA_ATOMIC
MOMENT_FORMATION_CORPS_FIRST,LOC_MOMENT_FORMATION_CORPS_FIRST,LOC_MOMENT_FORMATION_CORPS_FIRST_DESCRIPTION,LOC_MOMENT_FORMATION_CORPS_FIRST_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_Military,,ERA_MODERN
MOMENT_FORMATION_CORPS_FIRST_IN_WORLD,LOC_MOMENT_FORMATION_CORPS_FIRST_IN_WORLD,LOC_MOMENT_FORMATION_CORPS_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_FORMATION_CORPS_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_FirstCorps.dds,,,ERA_MODERN
MOMENT_FORMATION_FLEET_FIRST,LOC_MOMENT_FORMATION_FLEET_FIRST,LOC_MOMENT_FORMATION_FLEET_FIRST_DESCRIPTION,LOC_MOMENT_FORMATION_FLEET_FIRST_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_Military,,
MOMENT_FORMATION_FLEET_FIRST_IN_WORLD,LOC_MOMENT_FORMATION_FLEET_FIRST_IN_WORLD,LOC_MOMENT_FORMATION_FLEET_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_FORMATION_FLEET_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_FirstFleet.dds,,,
MOMENT_GAME_ERA_STARTED_WITH_DARK_AGE,LOC_MOMENT_GAME_ERA_STARTED_WITH_DARK_AGE,LOC_MOMENT_GAME_ERA_STARTED_WITH_DARK_AGE_DESCRIPTION,LOC_MOMENT_GAME_ERA_STARTED_WITH_DARK_AGE_INSTANCE_DESCRIPTION,2,0.0,,,,,,,MOMENT_ILLUSTRATION_GAME_ERA,
MOMENT_GAME_ERA_STARTED_WITH_GOLDEN_AGE,LOC_MOMENT_GAME_ERA_STARTED_WITH_GOLDEN_AGE,LOC_MOMENT_GAME_ERA_STARTED_WITH_GOLDEN_AGE_DESCRIPTION,LOC_MOMENT_GAME_ERA_STARTED_WITH_GOLDEN_AGE_INSTANCE_DESCRIPTION,2,0.0,,,,,,,MOMENT_ILLUSTRATION_GAME_ERA,
MOMENT_GAME_ERA_STARTED_WITH_HEROIC_AGE,LOC_MOMENT_GAME_ERA_STARTED_WITH_HEROIC_AGE,LOC_MOMENT_GAME_ERA_STARTED_WITH_HEROIC_AGE_DESCRIPTION,LOC_MOMENT_GAME_ERA_STARTED_WITH_HEROIC_AGE_INSTANCE_DESCRIPTION,2,0.0,,,,,,,MOMENT_ILLUSTRATION_GAME_ERA,
MOMENT_GAME_ERA_STARTED_WITH_NORMAL_AGE,LOC_MOMENT_GAME_ERA_STARTED_WITH_NORMAL_AGE,LOC_MOMENT_GAME_ERA_STARTED_WITH_NORMAL_AGE_DESCRIPTION,LOC_MOMENT_GAME_ERA_STARTED_WITH_NORMAL_AGE_INSTANCE_DESCRIPTION,2,0.0,,,,,,,MOMENT_ILLUSTRATION_GAME_ERA,
MOMENT_GOODY_HUT_TRIGGERED,LOC_MOMENT_GOODY_HUT_TRIGGERED,LOC_MOMENT_GOODY_HUT_TRIGGERED_DESCRIPTION,LOC_MOMENT_GOODY_HUT_TRIGGERED_INSTANCE_DESCRIPTION,1,1.0,,,ERA_ANCIENT,ERA_ANCIENT,,MomentSmall_Exploration,,
MOMENT_GOVERNMENT_ENACTED_TIER_1_FIRST,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_1_FIRST,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_1_FIRST_DESCRIPTION,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_1_FIRST_INSTANCE_DESCRIPTION,3,2.0,,,,,,,MOMENT_ILLUSTRATION_GOVERNMENT,ERA_MEDIEVAL
MOMENT_GOVERNMENT_ENACTED_TIER_1_FIRST_IN_WORLD,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_1_FIRST_IN_WORLD,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_1_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_1_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,3.0,,,,,,,MOMENT_ILLUSTRATION_GOVERNMENT,ERA_MEDIEVAL
