AgendaType,OperationList,Name,Description
AGENDA_BIG_STICK_POLICY,,LOC_AGENDA_BIG_STICK_POLICY_NAME,LOC_AGENDA_BIG_STICK_POLICY_DESCRIPTION
AGENDA_BLACK_QUEEN,,LOC_AGENDA_BLACK_QUEEN_NAME,LOC_AGENDA_BLACK_QUEEN_DESCRIPTION
AGENDA_BUSHIDO,,LOC_AGENDA_BUSHIDO_NAME,LOC_AGENDA_BUSHIDO_DESCRIPTION
AGENDA_CITY_STATE_ALLY,,LOC_AGENDA_CITY_STATE_ALLY_NAME,LOC_AGENDA_CITY_STATE_ALLY_DESCRIPTION
AGENDA_COUNTER_REFORMER,,LOC_AGENDA_COUNTER_REFORMER_NAME,LOC_AGENDA_COUNTER_REFORMER_DESCRIPTION
AGENDA_DELIAN_LEAGUE,,LOC_AGENDA_DELIAN_LEAGUE_NAME,LOC_AGENDA_DELIAN_LEAGUE_DESCRIPTION
AGENDA_ENTHUSIASTIC_DISCIPLE,,LOC_AGENDA_ENTHUSIASTIC_DISCIPLE_NAME,LOC_AGENDA_ENTHUSIASTIC_DISCIPLE_DESCRIPTION
AGENDA_GREAT_PERSON_OBSESSED,,LOC_AGENDA_GREAT_PERSON_OBSESSED_NAME,LOC_AGENDA_GREAT_PERSON_OBSESSED_DESCRIPTION
AGENDA_IRON_CROWN,,LOC_AGENDA_IRON_CROWN_NAME,LOC_AGENDA_IRON_CROWN_DESCRIPTION
AGENDA_LAST_VIKING_KING,,LOC_AGENDA_LAST_VIKING_KING_NAME,LOC_AGENDA_LAST_VIKING_KING_DESCRIPTION
AGENDA_OPTIMUS_PRINCEPS,,LOC_AGENDA_OPTIMUS_PRINCEPS_NAME,LOC_AGENDA_OPTIMUS_PRINCEPS_DESCRIPTION
AGENDA_PEACEKEEPER,,LOC_AGENDA_PEACEKEEPER_NAME,LOC_AGENDA_PEACEKEEPER_DESCRIPTION
AGENDA_QUEEN_OF_NILE,,LOC_AGENDA_QUEEN_OF_THE_NILE_NAME,LOC_AGENDA_QUEEN_OF_THE_NILE_DESCRIPTION
AGENDA_SUN_NEVER_SETS,,LOC_AGENDA_SUN_NEVER_SETS_NAME,LOC_AGENDA_SUN_NEVER_SETS_DESCRIPTION
AGENDA_TLATOANI,,LOC_AGENDA_TLATOANI_NAME,LOC_AGENDA_TLATOANI_DESCRIPTION
AGENDA_WESTERNIZER,,LOC_AGENDA_WESTERNIZER_NAME,LOC_AGENDA_WESTERNIZER_DESCRIPTION
AGENDA_WITH_YOUR_SHIELD_OR_ON_IT,,LOC_AGENDA_WITH_YOUR_SHIELD_OR_ON_IT_NAME,LOC_AGENDA_WITH_YOUR_SHIELD_OR_ON_IT_DESCRIPTION
AGENDA_WONDER_OBSESSED,,LOC_AGENDA_WONDER_OBSESSED_NAME,LOC_AGENDA_WONDER_OBSESSED_DESCRIPTION
AGENDA_ARCHIPELAGIC_STATE,,LOC_AGENDA_ARCHIPELAGIC_STATE_NAME,LOC_AGENDA_ARCHIPELAGIC_STATE_DESCRIPTION
AGENDA_END_TO_SUFFERING,,LOC_AGENDA_END_TO_SUFFERING_NAME,LOC_AGENDA_END_TO_SUFFERING_DESCRIPTION
AGENDA_SAINT,,LOC_AGENDA_SAINT_NAME,LOC_AGENDA_SAINT_DESCRIPTION
AGENDA_CITY_PLANNER,,LOC_AGENDA_CITY_PLANNER_NAME,LOC_AGENDA_CITY_PLANNER_DESCRIPTION
AGENDA_SHORT_LIFE_GLORY,,LOC_AGENDA_SHORT_LIFE_GLORY_NAME,LOC_AGENDA_SHORT_LIFE_GLORY_XP2_DESCRIPTION
AGENDA_BACKSTABBER,,LOC_AGENDA_BACKSTABBER_NAME,LOC_AGENDA_BACKSTABBER_DESCRIPTION
AGENDA_PERPETUALLY_ON_GUARD,,LOC_AGENDA_PERPETUALLY_ON_GUARD_NAME,LOC_AGENDA_PERPETUALLY_ON_GUARD_DESCRIPTION
AGENDA_BILLIONAIRE,,LOC_AGENDA_BILLIONAIRE_NAME,LOC_AGENDA_BILLIONAIRE_DESCRIPTION
AGENDA_CHEOMSEONGDAE,,LOC_AGENDA_CHEOMSEONGDAE_NAME,LOC_AGENDA_CHEOMSEONGDAE_DESCRIPTION
AGENDA_FLOWER_OF_SCOTLAND,,LOC_AGENDA_FLOWER_OF_SCOTLAND_NAME,LOC_AGENDA_FLOWER_OF_SCOTLAND_DESCRIPTION
AGENDA_HORSE_LORD,,LOC_AGENDA_HORSE_LORD_NAME,LOC_AGENDA_HORSE_LORD_DESCRIPTION
AGENDA_HORN_CHEST_LOINS,,LOC_AGENDA_HORN_CHEST_LOINS_NAME,LOC_AGENDA_HORN_CHEST_LOINS_DESCRIPTION
AGENDA_IRON_CONFEDERACY,,LOC_AGENDA_IRON_CONFEDERACY_NAME,LOC_AGENDA_IRON_CONFEDERACY_DESCRIPTION
AGENDA_MAURYA_EMPIRE,,LOC_AGENDA_MAURYA_EMPIRE_NAME,LOC_AGENDA_MAURYA_EMPIRE_DESCRIPTION
AGENDA_NARIKALA_FORTRESS,,LOC_AGENDA_NARIKALA_FORTRESS_NAME,LOC_AGENDA_NARIKALA_FORTRESS_DESCRIPTION
AGENDA_SPIRIT_OF_TUCAPEL,,LOC_AGENDA_SPIRIT_OF_TUCAPEL_NAME,LOC_AGENDA_SPIRIT_OF_TUCAPEL_DESCRIPTION
AGENDA_CURMUDGEON,,LOC_AGENDA_UNKNOWN_NAME,LOC_AGENDA_UNKNOWN_DESCRIPTION
AGENDA_FLIRTATIOUS,,LOC_AGENDA_UNKNOWN_NAME,LOC_AGENDA_UNKNOWN_DESCRIPTION
AGENDA_GOSSIP,,LOC_AGENDA_GOSSIP_NAME,LOC_AGENDA_GOSSIP_DESCRIPTION
AGENDA_SYCOPHANT,,LOC_AGENDA_SYCOPHANT_NAME,LOC_AGENDA_SYCOPHANT_DESCRIPTION
AGENDA_SYMPATHIZER,,LOC_AGENDA_SYMPATHIZER_NAME,LOC_AGENDA_SYMPATHIZER_DESCRIPTION
AGENDA_DEMAGOGUE,,LOC_AGENDA_DEMAGOGUE_NAME,LOC_AGENDA_DEMAGOGUE_DESCRIPTION
AGENDA_DESTINATION_CIV,,LOC_AGENDA_DESTINATION_CIV_NAME,LOC_AGENDA_DESTINATION_CIV_DESCRIPTION
AGENDA_EXPANSIONIST,,LOC_AGENDA_EXPANSIONIST_NAME,LOC_AGENDA_OPTIMUS_PRINCEPS_DESCRIPTION
AGENDA_FLAT_EARTHER,,LOC_AGENDA_FLAT_EARTHER_NAME,LOC_AGENDA_FLAT_EARTHER_DESCRIPTION
AGENDA_GREAT_WHITE_FLEET,,LOC_AGENDA_GREAT_WHITE_FLEET_NAME,LOC_AGENDA_LAST_VIKING_KING_DESCRIPTION
AGENDA_INTOLERANT,,LOC_AGENDA_INTOLERANT_NAME,LOC_AGENDA_COUNTER_REFORMER_DESCRIPTION
AGENDA_LIBERTARIAN,,LOC_AGENDA_LIBERTARIAN_NAME,LOC_AGENDA_LIBERTARIAN_DESCRIPTION
AGENDA_PILLAGER,,LOC_AGENDA_PILLAGER_NAME,LOC_AGENDA_PILLAGER_DESCRIPTION
AGENDA_TURTLER,,LOC_AGENDA_TURTLER_NAME,LOC_AGENDA_TURTLER_DESCRIPTION
AGENDA_ZEALOT,,LOC_AGENDA_ZEALOT_NAME,LOC_AGENDA_ZEALOT_DESCRIPTION
AGENDA_ANGEVIN_EMPIRE,,LOC_AGENDA_ANGEVIN_EMPIRE_NAME,LOC_AGENDA_ANGEVIN_EMPIRE_DESCRIPTION
AGENDA_CANADIAN_EXPEDITIONARY,,LOC_AGENDA_CANADIAN_EXPEDITIONARY_NAME,LOC_AGENDA_CANADIAN_EXPEDITIONARY_DESCRIPTION
AGENDA_KAITIAKITANGA,,LOC_AGENDA_KAITIAKITANGA_NAME,LOC_AGENDA_KAITIAKITANGA_DESCRIPTION
AGENDA_LAWGIVER,,LOC_AGENDA_LAWGIVER_NAME,LOC_AGENDA_LAWGIVER_DESCRIPTION
AGENDA_LORD_OF_MINES,,LOC_AGENDA_LORD_OF_MINES_NAME,LOC_AGENDA_LORD_OF_MINES_DESCRIPTION
AGENDA_RAVEN_BANNER,,LOC_AGENDA_RAVEN_BANNER_NAME,LOC_AGENDA_RAVEN_BANNER_DESCRIPTION
AGENDA_PATRON_OF_ARTS,,LOC_AGENDA_PATRON_OF_ARTS_NAME,LOC_AGENDA_PATRON_OF_ARTS_DESCRIPTION
AGENDA_SAPA_INCA,,LOC_AGENDA_SAPA_INCA_NAME,LOC_AGENDA_SAPA_INCA_DESCRIPTION
AGENDA_SICILIAN_WARS,,LOC_AGENDA_SICILIAN_WARS_NAME,LOC_AGENDA_SICILIAN_WARS_DESCRIPTION
AGENDA_BULL_MOOSE,,LOC_AGENDA_BULL_MOOSE_NAME,LOC_AGENDA_BULL_MOOSE_DESCRIPTION
AGENDA_TRADE_AGREEMENT,,LOC_AGENDA_TRADE_AGREEMENT_NAME,LOC_AGENDA_TRADE_AGREEMENT_DESCRIPTION
AGENDA_SAGA,,LOC_AGENDA_SAGA_NAME,LOC_AGENDA_SAGA_DESCRIPTION
AGENDA_INDUSTRIAL_REVOLUTION,,LOC_AGENDA_INDUSTRIAL_REVOLUTION_NAME,LOC_AGENDA_INDUSTRIAL_REVOLUTION_DESCRIPTION
AGENDA_PRESERVER_OF_THE_UNION,,LOC_AGENDA_PRESERVER_OF_THE_UNION_NAME,LOC_AGENDA_PRESERVER_OF_THE_UNION_DESCRIPTION
AGENDA_SULTAN,,LOC_AGENDA_SULTAN_NAME,LOC_AGENDA_SULTAN_DESCRIPTION
AGENDA_DECOLONIZATION,,LOC_AGENDA_DECOLONIZATION_NAME,LOC_AGENDA_DECOLONIZATION_DESCRIPTION
AGENDA_SIHAI,,LOC_AGENDA_SIHAI_NAME,LOC_AGENDA_SIHAI_DESCRIPTION
AGENDA_YINDING,,LOC_AGENDA_YINDING_NAME,LOC_AGENDA_YINDING_DESCRIPTION
AGENDA_COURT_INTRIGUE,,LOC_AGENDA_COURT_INTRIGUE_NAME,LOC_AGENDA_COURT_INTRIGUE_DESCRIPTION
AGENDA_MAAT,,LOC_AGENDA_MAAT_NAME,LOC_AGENDA_MAAT_DESCRIPTION
AGENDA_PREFER_FOOD,,LOC_AGENDA_PREFER_FOOD_NAME,LOC_AGENDA_PREFER_FOOD_DESCRIPTION
AGENDA_LION_OF_MALI,,LOC_AGENDA_LION_OF_MALI_NAME,LOC_AGENDA_LION_OF_MALI_DESCRIPTION
AGENDA_LADY_SIX_SKY,,LOC_AGENDA_LADY_SIX_SKY_NAME,LOC_AGENDA_LADY_SIX_SKY_DESCRIPTION
AGENDA_SIMON_BOLIVAR,,LOC_AGENDA_SIMON_BOLIVAR_NAME,LOC_AGENDA_SIMON_BOLIVAR_DESCRIPTION
AGENDA_GALLIC_WARS,,LOC_AGENDA_GALLIC_WARS_NAME,LOC_AGENDA_GALLIC_WARS_DESCRIPTION
AGENDA_BASIL_ZEALOT,,LOC_AGENDA_BASIL_ZEALOT_NAME,LOC_AGENDA_BASIL_ZEALOT_DESCRIPTION
AGENDA_AMBIORIX_ARMY,,LOC_AGENDA_AMBIORIX_ARMY_NAME,LOC_AGENDA_AMBIORIX_ARMY_DESCRIPTION
AGENDA_TRIEU_DEFENDER,,LOC_AGENDA_TRIEU_DEFENDER_NAME,LOC_AGENDA_TRIEU_DEFENDER_DESCRIPTION
AGENDA_KUBLAI_PAX,,LOC_AGENDA_KUBLAI_PAX_NAME,LOC_AGENDA_KUBLAI_PAX_DESCRIPTION
AGENDA_MAGNIFICENCES,,LOC_TRAIT_AGENDA_MAGNIFICENCES_NAME,LOC_TRAIT_AGENDA_MAGNIFICENCES_DESCRIPTION
AGENDA_SAKOKU,,LOC_AGENDA_SAKOKU_NAME,LOC_AGENDA_SAKOKU_DESCRIPTION
AGENDA_PREFER_LANDPOWER,,LOC_AGENDA_PREFER_LANDPOWER_NAME,LOC_AGENDA_PREFER_LANDPOWER_DESCRIPTION
AGENDA_GOLDEN_AGE,,LOC_AGENDA_GOLDEN_AGE_NAME,LOC_AGENDA_GOLDEN_AGE_DESCRIPTION
AGENDA_ETHIOPIAN_HIGHLANDS,,LOC_AGENDA_ETHIOPIAN_HIGHLANDS_NAME,LOC_AGENDA_ETHIOPIAN_HIGHLANDS_DESCRIPTION
AGENDA_HAMMURABI_DISTRICTS,,LOC_AGENDA_HAMMURABI_DISTRICTS_NAME,LOC_AGENDA_HAMMURABI_DISTRICTS_DESCRIPTION
AGENDA_ETERNAL,,LOC_AGENDA_ETERNAL_NAME,LOC_AGENDA_ETERNAL_DESCRIPTION
AGENDA_NEW_ROME,,LOC_AGENDA_NEW_ROME_NAME,LOC_AGENDA_NEW_ROME_DESCRIPTION
AGENDA_SEJONG,,LOC_AGENDA_SEJONG_NAME,LOC_AGENDA_SEJONG_DESCRIPTION
AGENDA_JOAO_EXPLORER,,LOC_AGENDA_JOAO_EXPLORER_NAME,LOC_AGENDA_JOAO_EXPLORER_DESCRIPTION
