RequirementSetId,RequirementId
PLAYER_HAS_MED_CITY_STATE_AGGRESSION,REQUIRES_MED_CITY_STATE_AGGRESSION
PLAYER_HAS_HIGH_CITY_STATE_AGGRESSION,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_HIGH_CITY_STATE_AGGRESSION,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_HIGH_CITY_STATE_AGGRESSION,REQUIRES_HIGH_CITY_STATE_AGGRESSION
PLAYER_HAS_HIGH_FAITH,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_HIGH_FAITH,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_HIGH_FAITH,REQUIRES_HAS_HIGH_FAITH
PLAYER_HAS_LOW_FAITH,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_LOW_FAITH,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_LOW_FAITH,REQUIRES_HAS_LOW_FAITH
PLAYERS_ARE_NEIGHBORS,REQUIRES_MAJOR_CIV_OPPONENT
PLAYERS_ARE_NEIGHBORS,REQUIRES_NEIGHBOR_CIVS
PLAYERS_ARE_NEIGHBORS,REQUIRES_MET_10_TURNS_AGO
PLAYERS_ARE_NOT_NEIGHBORS,REQUIRES_MAJOR_CIV_OPPONENT
PLAYERS_ARE_NOT_NEIGHBORS,REQUIRES_NOT_NEIGHBOR_CIVS
PLAYERS_ARE_NOT_NEIGHBORS,REQUIRES_MET_10_TURNS_AGO
PLAYER_CLEARS_BARBARIAN_CAMPS,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_CLEARS_BARBARIAN_CAMPS,REQUIRES_PLAYERS_HAVE_MET
PLAYER_CLEARS_BARBARIAN_CAMPS,REQUIRES_CLEARS_BARBARIAN_CAMPS
PLAYER_IGNORES_BARBARIAN_CAMPS,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_IGNORES_BARBARIAN_CAMPS,REQUIRES_MET_30_TURNS_AGO
PLAYER_IGNORES_BARBARIAN_CAMPS,REQUIRES_IGNORES_BARBARIAN_CAMPS
PLAYER_HAS_HIGH_EXPLORATION,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_HIGH_EXPLORATION,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_HIGH_EXPLORATION,REQUIRES_HAS_HIGH_EXPLORATION
PLAYER_HAS_LOW_EXPLORATION,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_LOW_EXPLORATION,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_LOW_EXPLORATION,REQUIRES_HAS_LOW_EXPLORATION
PLAYER_HAS_HIGH_INDUSTRY,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_HIGH_INDUSTRY,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_HIGH_INDUSTRY,REQUIRES_HAS_HIGH_INDUSTRY
PLAYER_HAS_LOW_INDUSTRY,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_LOW_INDUSTRY,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_LOW_INDUSTRY,REQUIRES_HAS_LOW_INDUSTRY
PLAYER_HAS_HIGH_HAPPINESS,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_HIGH_HAPPINESS,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_HIGH_HAPPINESS,REQUIRES_HAS_HIGH_HAPPINESS
PLAYER_HAS_LOW_HAPPINESS,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_LOW_HAPPINESS,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_LOW_HAPPINESS,REQUIRES_HAS_LOW_HAPPINESS
PLAYER_HAS_HIGH_INCOME,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_HIGH_INCOME,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_HIGH_INCOME,REQUIRES_HAS_HIGH_INCOME
PLAYER_HAS_LOW_INCOME,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_LOW_INCOME,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_LOW_INCOME,REQUIRES_HAS_LOW_INCOME
PLAYER_HAS_HIGH_POPULATION,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_HIGH_POPULATION,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_HIGH_POPULATION,REQUIRES_HAS_HIGH_POPULATION
PLAYER_HAS_LOW_POPULATION,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_LOW_POPULATION,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_LOW_POPULATION,REQUIRES_HAS_LOW_POPULATION
PLAYER_HAS_HIGH_STANDING_ARMY,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_HIGH_STANDING_ARMY,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_HIGH_STANDING_ARMY,REQUIRES_HAS_HIGH_STANDING_ARMY
PLAYER_HAS_LOW_STANDING_ARMY,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_LOW_STANDING_ARMY,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_LOW_STANDING_ARMY,REQUIRES_HAS_LOW_STANDING_ARMY
PLAYER_HAS_HIGH_AIRPOWER,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_HIGH_AIRPOWER,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_HIGH_AIRPOWER,REQUIRES_PLAYER_HAS_FLIGHT
PLAYER_HAS_HIGH_AIRPOWER,REQUIRES_HAS_HIGH_AIRPOWER
PLAYER_HAS_LOW_AIRPOWER,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_LOW_AIRPOWER,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_LOW_AIRPOWER,REQUIRES_PLAYER_HAS_FLIGHT
PLAYER_HAS_LOW_AIRPOWER,REQUIRES_HAS_LOW_AIRPOWER
AGENDA_REQUIRE_PLAYER_HAS_SAME_GOVERNMENT,REQUIRES_MAJOR_CIV_OPPONENT
AGENDA_REQUIRE_PLAYER_HAS_SAME_GOVERNMENT,REQUIRES_MET_30_TURNS_AGO
AGENDA_REQUIRE_PLAYER_HAS_SAME_GOVERNMENT,REQUIRES_HAS_SAME_GOVERNMENT
AGENDA_REQUIRE_PLAYER_HAS_DIFFERENT_GOVERNMENT,REQUIRES_MAJOR_CIV_OPPONENT
AGENDA_REQUIRE_PLAYER_HAS_DIFFERENT_GOVERNMENT,REQUIRES_MET_30_TURNS_AGO
AGENDA_REQUIRE_PLAYER_HAS_DIFFERENT_GOVERNMENT,REQUIRES_HAS_DIFFERENT_GOVERNMENT
PLAYER_HAS_HIGH_NUKE_LOVE,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_HIGH_NUKE_LOVE,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_HIGH_NUKE_LOVE,REQUIRES_HIGH_NUKE_LOVE
PLAYER_HAS_NUCLEAR_FISSION_REQUIREMENT,REQUIRES_PLAYER_HAS_NUCLEAR_FISSION
PLAYER_HAS_LOW_NUKE_LOVE,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_LOW_NUKE_LOVE,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_LOW_NUKE_LOVE,REQUIRES_LOW_NUKE_LOVE
PLAYER_HAS_HIGH_SCIENCE,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_HIGH_SCIENCE,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_HIGH_SCIENCE,REQUIRES_HAS_HIGH_SCIENCE
PLAYER_HAS_LOW_SCIENCE,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_LOW_SCIENCE,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_LOW_SCIENCE,REQUIRES_HAS_LOW_SCIENCE
PLAYER_LAGS_WONDERS,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_LAGS_WONDERS,REQUIRES_MET_10_TURNS_AGO
PLAYER_LAGS_WONDERS,REQUIRES_LAGS_WONDERS
PLAYER_LEADS_WONDERS,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_LEADS_WONDERS,REQUIRES_MET_10_TURNS_AGO
PLAYER_LEADS_WONDERS,REQUIRES_LEADS_WONDERS
PLAYER_LAGS_PROGRESS,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_LAGS_PROGRESS,REQUIRES_MET_10_TURNS_AGO
PLAYER_LAGS_PROGRESS,REQUIRES_LAGS_PROGRESS
PLAYER_LEADS_PROGRESS,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_LEADS_PROGRESS,REQUIRES_MET_10_TURNS_AGO
PLAYER_LEADS_PROGRESS,REQUIRES_LEADS_PROGRESS
PLAYER_NOT_WARMONGER_SUBJECT,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_NOT_WARMONGER_SUBJECT,REQUIRES_MET_10_TURNS_AGO
PLAYER_NOT_WARMONGER_SUBJECT,REQUIRES_NOT_WARMONGER_SUBJECT
PLAYER_SAME_RELIGION,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_SAME_RELIGION,REQUIRES_MET_10_TURNS_AGO
PLAYER_SAME_RELIGION,REQUIRES_SAME_RELIGION
PLAYER_ENCROACHING_RELIGION,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_ENCROACHING_RELIGION,REQUIRES_MET_10_TURNS_AGO
PLAYER_ENCROACHING_RELIGION,REQUIRES_PLAYER_CITY_CONVERTED
PLAYER_NOT_COMPETING_MINORS,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_NOT_COMPETING_MINORS,REQUIRES_MET_10_TURNS_AGO
PLAYER_NOT_COMPETING_MINORS,REQUIRES_NOT_COMPETING_MINORS
PLAYER_COMPETING_MINORS,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_COMPETING_MINORS,REQUIRES_MET_10_TURNS_AGO
PLAYER_COMPETING_MINORS,REQUIRES_COMPETING_MINORS
PLAYER_RELIGION_RECEIVED,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_RELIGION_RECEIVED,REQUIRES_MET_10_TURNS_AGO
PLAYER_RELIGION_RECEIVED,REQUIRES_RELIGION_RECEIVED
PLAYER_RELIGION_NOT_RECEIVED,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_RELIGION_NOT_RECEIVED,REQUIRES_MET_10_TURNS_AGO
PLAYER_RELIGION_NOT_RECEIVED,REQUIRES_RELIGION_NOT_RECEIVED
PLAYER_NOT_INVOLVED_MINORS,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_NOT_INVOLVED_MINORS,REQUIRES_MET_10_TURNS_AGO
PLAYER_NOT_INVOLVED_MINORS,REQUIRES_NOT_INVOLVED_MINORS
PLAYER_CONQUERING_ALLYING_MINORS,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_CONQUERING_ALLYING_MINORS,REQUIRES_MET_10_TURNS_AGO
PLAYER_CONQUERING_ALLYING_MINORS,REQUIRES_CONQUERING_ALLYING_MINORS
PLAYER_SAME_HOME_CONTINENT,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_SAME_HOME_CONTINENT,REQUIRES_MET_10_TURNS_AGO
PLAYER_SAME_HOME_CONTINENT,REQUIRES_SAME_HOME_CONTINENT
PLAYER_ON_NEW_CONTINENT,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_ON_NEW_CONTINENT,REQUIRES_MET_10_TURNS_AGO
PLAYER_ON_NEW_CONTINENT,REQUIRES_ON_NEW_CONTINENT
CITY_FOLLOWS_PANTHEON_REQUIREMENTS,REQUIRES_CITY_FOLLOWS_PANTHEON
CITY_FOLLOWS_RELIGION_REQUIREMENTS,REQUIRES_CITY_FOLLOWS_RELIGION
CITY_FOLLOWS_RELIGION_WITH_2 DISTRICTS_REQUIREMENTS,REQUIRES_CITY_FOLLOWS_RELIGION
CITY_FOLLOWS_RELIGION_WITH_2 DISTRICTS_REQUIREMENTS,REQUIRES_CITY_HAS_2_SPECIALTY_DISTRICTS
CITY_HAS_0_SPECIALTY_DISTRICTS_REQUIREMENTS,REQUIRES_CITY_HAS_0_SPECIALTY_DISTRICTS
DEFENDER_OF_FAITH_REQUIREMENTS,REQUIRES_PLAYER_FOUNDED_RELIGION
DEFENDER_OF_FAITH_REQUIREMENTS,REQUIRES_UNIT_NEAR_FRIENDLY_RELIGIOUS_CITY
DEFENDER_OF_FAITH_REQUIREMENTS,REQUIRES_NON_RELIGIOUS_UNIT
DEFENDER_OF_FAITH_REQUIREMENTS,REQUIRES_NON_SUPPORT_UNIT
JUST_WAR_REQUIREMENTS,REQUIRES_PLAYER_FOUNDED_RELIGION
JUST_WAR_REQUIREMENTS,REQUIRES_UNIT_NEAR_ENEMY_RELIGIOUS_CITY
JUST_WAR_REQUIREMENTS,REQUIRES_NON_RELIGIOUS_UNIT
JUST_WAR_REQUIREMENTS,REQUIRES_NON_SUPPORT_UNIT
CITY_FOLLOWS_RELIGION_HAS_SHRINE,REQUIRES_CITY_FOLLOWS_RELIGION
CITY_FOLLOWS_RELIGION_HAS_SHRINE,REQUIRES_CITY_HAS_SHRINE
CITY_FOLLOWS_RELIGION_HAS_TEMPLE,REQUIRES_CITY_FOLLOWS_RELIGION
CITY_FOLLOWS_RELIGION_HAS_TEMPLE,REQUIRES_CITY_HAS_TEMPLE
CITY_FOLLOWS_RELIGION_HAS_STAVE,REQUIRES_CITY_FOLLOWS_RELIGION
CITY_FOLLOWS_RELIGION_HAS_STAVE,REQUIRES_CITY_HAS_STAVE
PLAYER_FOUNDED_RELIGION_REQUIREMENTS,REQUIRES_PLAYER_FOUNDED_RELIGION
PLOT_HAS_HOLY_SITE_RIVER_REQUIREMENTS,REQUIRES_PLOT_HAS_HOLY_SITE
PLOT_HAS_HOLY_SITE_RIVER_REQUIREMENTS,REQUIRES_PLOT_ADJACENT_TO_RIVER
PLOT_HAS_REEDS_REQUIREMENTS,REQUIRES_PLOT_HAS_MARSH
PLOT_HAS_REEDS_REQUIREMENTS,REQUIRES_PLOT_HAS_OASIS
PLOT_HAS_REEDS_REQUIREMENTS,REQUIRES_PLOT_HAS_FLOODPLAINS
PLOT_HAS_FISHINGBOATS_REQUIREMENTS,REQUIRES_PLOT_HAS_FISHINGBOATS
PLOT_HAS_PASTURE_REQUIREMENTS,REQUIRES_PLOT_HAS_PASTURE
PLOT_HAS_CAMP_REQUIREMENTS,REQUIRES_PLOT_HAS_CAMP
PLOT_HAS_QUARRY_REQUIREMENTS,REQUIRES_PLOT_HAS_QUARRY
PLOT_HAS_BONUS_MINE_REQUIREMENTS,REQUIRES_PLOT_HAS_BONUS
PLOT_HAS_BONUS_MINE_REQUIREMENTS,REQUIRES_PLOT_HAS_MINE
PLOT_HAS_LUXURY_MINE_REQUIREMENTS,REQUIRES_PLOT_HAS_LUXURY
PLOT_HAS_LUXURY_MINE_REQUIREMENTS,REQUIRES_PLOT_HAS_MINE
PLOT_HAS_STRATEGIC_MINE_REQUIREMENTS,REQUIRES_PLOT_HAS_STRATEGIC
PLOT_HAS_STRATEGIC_MINE_REQUIREMENTS,REQUIRES_PLOT_HAS_MINE
PLOT_HAS_STRATEGIC_MINE_REQUIREMENTS,REQUIRES_PLOT_HAS_VISIBLE_RESOURCE
PLOT_HAS_PLANTATION_TAG_REQUIREMENTS,REQUIRES_PLOT_HAS_PLANTATION
PLOT_HAS_PLANTATION_TAG_REQUIREMENTS,REQUIRES_PLOT_HAS_TAG_GODDESS_OF_FESTIVAL
PLOT_HAS_PLANTATION_TAG2_REQUIREMENTS,REQUIRES_PLOT_HAS_PLANTATION
PLOT_HAS_PLANTATION_TAG2_REQUIREMENTS,REQUIRES_PLOT_HAS_TAG_ORAL_TRADITION
PLOT_EIGHT_INCLUDE_HOLY_SITE,REQUIRES_PLOT_WITHIN_EIGHT_HOLY_SITE
PLOT_ADJACENT_INCLUDE_HOLY_SITE,REQUIRES_PLOT_ADJACENT_HOLY_SITE
PLAYER_HAS_PANTHEON_REQUIREMENTS,REQUIRES_PLAYER_HAS_PANTHEON
PLOT_CHARMING_APPEAL,REQUIRES_PLOT_CHARMING_APPEAL
RESOURCE_IS_RICE,REQUIRES_RICE_IN_PLOT
RESOURCE_IS_WHEAT,REQUIRES_WHEAT_IN_PLOT
CITY_HAS_CHICHEN_ITZA_REQUIREMENTS,REQUIRES_CITY_HAS_CHICHEN_ITZA
PLOT_HAS_JUNGLE_REQUIREMENTS,REQUIRES_PLOT_HAS_JUNGLE
CITY_HAS_LIGHTHOUSE_REQUIREMENTS,REQUIRES_CITY_HAS_LIGHTHOUSE
PLOT_HAS_COAST_REQUIREMENTS,REQUIRES_PLOT_HAS_COAST
PETRA_YIELD_MODIFIER_REQUIREMENTS,PETRA_YIELD_MODIFIER_REQUIRES_PLOT_HAS_DESERT
PETRA_YIELD_MODIFIER_REQUIREMENTS,REQUIRES_PLOT_HAS_NO_FLOODPLAINS
RUHR_VALLEY_PRODUCTION_MODIFIER_REQUIREMENTS,REQUIRES_PLOT_HAS_QUARRY
RUHR_VALLEY_PRODUCTION_MODIFIER_REQUIREMENTS,REQUIRES_PLOT_HAS_MINE
CITY_HAS_SEAPORT_REQUIREMENTS,REQUIRES_CITY_HAS_SEAPORT
BARRACKS_UNIT_REQUIREMENTS,REQUIREMENT_UNIT_IS_MELEE
BARRACKS_UNIT_REQUIREMENTS,REQUIREMENT_UNIT_IS_RANGED
BARRACKS_UNIT_REQUIREMENTS,REQUIREMENT_UNIT_IS_ANTI_CAV
STABLE_UNIT_REQUIREMENTS,UNIT_IS_HEAVY_CAVALRY
STABLE_UNIT_REQUIREMENTS,UNIT_IS_LIGHT_CAVALRY
STABLE_UNIT_REQUIREMENTS,REQUIREMENT_UNIT_IS_SIEGE
ARMORY_LAND_REQUIREMENTS,REQUIRES_LAND_DOMAIN
MILITARYACADEMY_XP_LAND_REQUIREMENTS,REQUIRES_LAND_DOMAIN
LIGHTHOUSE_SEA_REQUIREMENTS,REQUIRES_SEA_DOMAIN
SHIPYARD_SEA_REQUIREMENTS,REQUIRES_SEA_DOMAIN
SEAPORT_SEA_REQUIREMENTS,REQUIRES_SEA_DOMAIN
HANGAR_UNIT_REQUIREMENTS,REQUIRES_AIR_DOMAIN
AIRPORT_UNIT_REQUIREMENTS,REQUIRES_AIR_DOMAIN
MOSQUE_RELIGIOUS_UNIT,REQUIRES_RELIGIOUS_UNIT
PLAYER_HAS_ELECTRICITYTECHNOLOGY_REQUIREMENTS,REQUIRES_PLAYER_HAS_ELECTRICITYTECHNOLOGY
STONEHENGE_PROPHET_REQUIREMENTS,REQUIRES_PLAYER_CAN_EVER_EARN_PROPHET
STONEHENGE_APOSTLE_REQUIREMENTS,REQUIRES_PLAYER_CAN_NOT_EVER_EARN_PROPHET
STAVE_CHURCH_SEA_RESOURCE_REQUIREMENTS,REQUIRES_PLOT_HAS_VISIBLE_RESOURCE
STAVE_CHURCH_SEA_RESOURCE_REQUIREMENTS,REQUIRES_PLOT_HAS_COAST
CITY_HAS_PETRA_REQUIREMENTS,REQUIRES_CITY_HAS_PETRA
PRODUCTION_PLOT_HAS_DESERT_REQUIREMENTS,REQUIRES_PLOT_HAS_DESERT
GOLD_PLOT_HAS_DESERT_REQUIREMENTS,REQUIRES_PLOT_HAS_DESERT
FOOD_PLOT_HAS_DESERT_REQUIREMENTS,REQUIRES_PLOT_HAS_DESERT
PRODUCTION_PLOT_HAS_DESERT_REQUIREMENTS,REQUIRES_PLOT_HAS_NO_FLOODPLAINS
GOLD_PLOT_HAS_DESERT_REQUIREMENTS,REQUIRES_PLOT_HAS_NO_FLOODPLAINS
FOOD_PLOT_HAS_DESERT_REQUIREMENTS,REQUIRES_PLOT_HAS_NO_FLOODPLAINS
PRODUCTION_PLOT_HAS_DESERT_HILLS_REQUIREMENTS,REQUIRES_PLOT_HAS_NO_FLOODPLAINS
FOOD_PLOT_HAS_DESERT_HILLS_REQUIREMENTS,REQUIRES_PLOT_HAS_NO_FLOODPLAINS
GOLD_PLOT_HAS_DESERT_HILLS_REQUIREMENTS,REQUIRES_PLOT_HAS_NO_FLOODPLAINS
PRODUCTION_PLOT_HAS_DESERT_HILLS_REQUIREMENTS,REQUIRES_PLOT_HAS_DESERT_HILLS
FOOD_PLOT_HAS_DESERT_HILLS_REQUIREMENTS,REQUIRES_PLOT_HAS_DESERT_HILLS
GOLD_PLOT_HAS_DESERT_HILLS_REQUIREMENTS,REQUIRES_PLOT_HAS_DESERT_HILLS
PLOT_HAS_MINE_REQUIREMENTS,REQUIRES_PLOT_HAS_MINE
DISTRICT_IS_CITY_CENTER_ANCIENT,REQUIRES_DISTRICT_IS_CITY_CENTER
DISTRICT_IS_CITY_CENTER_ANCIENT,REQUIRES_CITY_HAS_ANCIENT_WALLS
DISTRICT_IS_CITY_CENTER_MEDIEVAL,REQUIRES_DISTRICT_IS_CITY_CENTER
DISTRICT_IS_CITY_CENTER_MEDIEVAL,REQUIRES_CITY_HAS_MEDIEVAL_WALLS
DISTRICT_IS_CITY_CENTER_RENAISSANCE,REQUIRES_DISTRICT_IS_CITY_CENTER
DISTRICT_IS_CITY_CENTER_RENAISSANCE,REQUIRES_CITY_HAS_RENAISSANCE_WALLS
CITY_HAS_ANCIENT_WALLS,REQUIRES_CITY_HAS_ANCIENT_WALLS
CITY_HAS_RENAISSANCE_WALLS,REQUIRES_CITY_HAS_RENAISSANCE_WALLS
REQUIREMENTS_PLOT_HAS_FARM,REQUIRES_PLOT_HAS_FARM
REQUIREMENTS_OPPONENT_IS_BARBARIAN,REQUIRES_OPPONENT_IS_BARBARIAN
REQUIREMENTS_CITY_HAS_LAVRA,REQUIRES_CITY_HAS_LAVRA
REQUIREMENTS_CITY_HAS_SHRINE,REQUIRES_CITY_HAS_SHRINE_BASE
REQUIREMENTS_CITY_HAS_TEMPLE,REQUIRES_CITY_HAS_TEMPLE_BASE
REQUIREMENTS_CITY_HAS_TIER3RELIGIOUS,REQUIRES_CITY_HAS_CATHEDRAL_BASE
REQUIREMENTS_CITY_HAS_TIER3RELIGIOUS,REQUIRES_CITY_HAS_DAR_E_MEHR_BASE
REQUIREMENTS_CITY_HAS_TIER3RELIGIOUS,REQUIRES_CITY_HAS_GURDWARA_BASE
REQUIREMENTS_CITY_HAS_TIER3RELIGIOUS,REQUIRES_CITY_HAS_MEETING_HOUSE_BASE
REQUIREMENTS_CITY_HAS_TIER3RELIGIOUS,REQUIRES_CITY_HAS_MOSQUE_BASE
REQUIREMENTS_CITY_HAS_TIER3RELIGIOUS,REQUIRES_CITY_HAS_PAGODA_BASE
