BuildingType,TerrainType
BUILDING_ESTADIO_DO_MARACANA,TERRAIN_SNOW
BUILDING_ESTADIO_DO_MARACANA,TERRAIN_DESERT
BUILDING_FORBIDDEN_CITY,TERRAIN_GRASS
BUILDING_FORBIDDEN_CITY,TERRAIN_PLAINS
BUILDING_FORBIDDEN_CITY,TERRAIN_TUNDRA
BUILDING_FORBIDDEN_CITY,TERRAIN_SNOW
BUILDING_FORBIDDEN_CITY,TERRAIN_DESERT
BUILDING_GREAT_LIBRARY,TERRAIN_GRASS
BUILDING_GREAT_LIBRARY,TERRAIN_PLAINS
BUILDING_GREAT_LIBRARY,TERRAIN_TUNDRA
BUILDING_GREAT_LIBRARY,TERRAIN_SNOW
BUILDING_GREAT_LIBRARY,TERRAIN_DESERT
BUILDING_GREAT_LIGHTHOUSE,TERRAIN_COAST
BUILDING_HAGIA_SOPHIA,TERRAIN_GRASS
BUILDING_HAGIA_SOPHIA,TERRAIN_PLAINS
BUILDING_HAGIA_SOPHIA,TERRAIN_TUNDRA
BUILDING_HAGIA_SOPHIA,TERRAIN_SNOW
BUILDING_HAGIA_SOPHIA,TERRAIN_DESERT
BUILDING_ORACLE,TERRAIN_GRASS_HILLS
BUILDING_ORACLE,TERRAIN_PLAINS_HILLS
BUILDING_ORACLE,TERRAIN_TUNDRA_HILLS
BUILDING_ORACLE,TERRAIN_SNOW_HILLS
BUILDING_ORACLE,TERRAIN_DESERT_HILLS
BUILDING_OXFORD_UNIVERSITY,TERRAIN_GRASS
BUILDING_OXFORD_UNIVERSITY,TERRAIN_PLAINS
BUILDING_PYRAMIDS,TERRAIN_DESERT
BUILDING_PETRA,TERRAIN_DESERT
BUILDING_POTALA_PALACE,TERRAIN_GRASS_HILLS
BUILDING_POTALA_PALACE,TERRAIN_PLAINS_HILLS
BUILDING_POTALA_PALACE,TERRAIN_DESERT_HILLS
BUILDING_POTALA_PALACE,TERRAIN_TUNDRA_HILLS
BUILDING_POTALA_PALACE,TERRAIN_SNOW_HILLS
BUILDING_STONEHENGE,TERRAIN_GRASS
BUILDING_STONEHENGE,TERRAIN_PLAINS
BUILDING_STONEHENGE,TERRAIN_TUNDRA
BUILDING_STONEHENGE,TERRAIN_SNOW
BUILDING_STONEHENGE,TERRAIN_DESERT
BUILDING_SYDNEY_OPERA_HOUSE,TERRAIN_COAST
BUILDING_TERRACOTTA_ARMY,TERRAIN_GRASS
BUILDING_TERRACOTTA_ARMY,TERRAIN_PLAINS
BUILDING_VENETIAN_ARSENAL,TERRAIN_COAST
BUILDING_HUEY_TEOCALLI,TERRAIN_COAST
BUILDING_JEBEL_BARKAL,TERRAIN_DESERT_HILLS
BUILDING_AMUNDSEN_SCOTT_RESEARCH_STATION,TERRAIN_SNOW
BUILDING_AMUNDSEN_SCOTT_RESEARCH_STATION,TERRAIN_SNOW_HILLS
BUILDING_KILWA_KISIWANI,TERRAIN_GRASS
BUILDING_KILWA_KISIWANI,TERRAIN_PLAINS
BUILDING_KILWA_KISIWANI,TERRAIN_TUNDRA
BUILDING_KILWA_KISIWANI,TERRAIN_SNOW
BUILDING_KILWA_KISIWANI,TERRAIN_DESERT
BUILDING_STATUE_LIBERTY,TERRAIN_COAST
BUILDING_UNIVERSITY_SANKORE,TERRAIN_DESERT
BUILDING_UNIVERSITY_SANKORE,TERRAIN_DESERT_HILLS
BUILDING_MACHU_PICCHU,TERRAIN_GRASS_MOUNTAIN
BUILDING_MACHU_PICCHU,TERRAIN_PLAINS_MOUNTAIN
BUILDING_MACHU_PICCHU,TERRAIN_TUNDRA_MOUNTAIN
BUILDING_MACHU_PICCHU,TERRAIN_SNOW_MOUNTAIN
BUILDING_MACHU_PICCHU,TERRAIN_DESERT_MOUNTAIN
BUILDING_GOLDEN_GATE_BRIDGE,TERRAIN_COAST
BUILDING_STATUE_OF_ZEUS,TERRAIN_GRASS
BUILDING_STATUE_OF_ZEUS,TERRAIN_PLAINS
BUILDING_STATUE_OF_ZEUS,TERRAIN_TUNDRA
BUILDING_STATUE_OF_ZEUS,TERRAIN_SNOW
BUILDING_STATUE_OF_ZEUS,TERRAIN_DESERT
BUILDING_TORRE_DE_BELEM,TERRAIN_COAST
