TechnologyType,Name,Cost,Repeatable,EmbarkUnitType,EmbarkAll,Description,EraType,Critical,BarbarianFree,UITreeRow,AdvisorType
TECH_STIRRUPS,LOC_TECH_STIRRUPS_NAME,390,0,,0,LOC_TECH_STIRRUPS_DESCRIPTION,ERA_MEDIEVAL,0,0,1,ADVISOR_CONQUEST
TECH_MILITARY_ENGINEERING,LOC_TECH_MILITARY_ENGINEERING_NAME,390,0,,0,,ERA_MEDIEVAL,0,0,2,ADVISOR_CONQUEST
TECH_CASTLES,LOC_TECH_CASTLES_NAME,390,0,,0,LOC_TECH_CASTLES_DESCRIPTION,ERA_MEDIEVAL,0,0,3,ADVISOR_CONQUEST
TECH_CARTOGRAPHY,LOC_TECH_CARTOGRAPHY_NAME,600,0,,0,LOC_TECH_CARTOGRAPHY_DESCRIPTION,ERA_RENAISSANCE,0,0,-3,ADVISOR_GENERIC
TECH_MASS_PRODUCTION,LOC_TECH_MASS_PRODUCTION_NAME,600,0,,0,,ERA_RENAISSANCE,0,0,-2,ADVISOR_GENERIC
TECH_BANKING,LOC_TECH_BANKING_NAME,600,0,,0,,ERA_RENAISSANCE,0,0,0,ADVISOR_GENERIC
TECH_GUNPOWDER,LOC_TECH_GUNPOWDER_NAME,600,0,,0,LOC_TECH_GUNPOWDER_DESCRIPTION,ERA_RENAISSANCE,0,0,1,ADVISOR_CONQUEST
TECH_PRINTING,LOC_TECH_PRINTING_NAME,600,0,,0,LOC_TECH_PRINTING_DESCRIPTION,ERA_RENAISSANCE,0,0,4,ADVISOR_GENERIC
TECH_SQUARE_RIGGING,LOC_TECH_SQUARE_RIGGING_NAME,730,0,,0,LOC_TECH_SQUARE_RIGGING_DESCRIPTION,ERA_RENAISSANCE,0,0,-3,ADVISOR_CONQUEST
TECH_ASTRONOMY,LOC_TECH_ASTRONOMY_NAME,730,0,,0,,ERA_RENAISSANCE,0,0,-1,ADVISOR_GENERIC
TECH_METAL_CASTING,LOC_TECH_METAL_CASTING_NAME,730,0,,0,,ERA_RENAISSANCE,0,0,1,ADVISOR_CONQUEST
TECH_SIEGE_TACTICS,LOC_TECH_SIEGE_TACTICS_NAME,730,0,,0,,ERA_RENAISSANCE,0,0,3,ADVISOR_GENERIC
TECH_INDUSTRIALIZATION,LOC_TECH_INDUSTRIALIZATION_NAME,930,0,,0,LOC_TECH_INDUSTRIALIZATION_DESCRIPTION,ERA_INDUSTRIAL,0,0,-2,ADVISOR_GENERIC
TECH_SCIENTIFIC_THEORY,LOC_TECH_SCIENTIFIC_THEORY_NAME,930,0,,0,LOC_TECH_SCIENTIFIC_THEORY_DESCRIPTION,ERA_INDUSTRIAL,0,0,-1,ADVISOR_TECHNOLOGY
TECH_BALLISTICS,LOC_TECH_BALLISTICS_NAME,930,0,,0,,ERA_INDUSTRIAL,0,0,1,ADVISOR_CONQUEST
TECH_MILITARY_SCIENCE,LOC_TECH_MILITARY_SCIENCE_NAME,930,0,,0,,ERA_INDUSTRIAL,0,0,3,ADVISOR_CONQUEST
TECH_STEAM_POWER,LOC_TECH_STEAM_POWER_NAME,1070,0,,0,LOC_TECH_STEAM_POWER_DESCRIPTION,ERA_INDUSTRIAL,0,0,-3,ADVISOR_CONQUEST
TECH_SANITATION,LOC_TECH_SANITATION_NAME,1070,0,,0,LOC_TECH_SANITATION_DESCRIPTION,ERA_INDUSTRIAL,0,0,-1,ADVISOR_GENERIC
TECH_ECONOMICS,LOC_TECH_ECONOMICS_NAME,1070,0,,0,,ERA_INDUSTRIAL,0,0,0,ADVISOR_GENERIC
TECH_RIFLING,LOC_TECH_RIFLING_NAME,1070,0,,0,,ERA_INDUSTRIAL,0,0,2,ADVISOR_CONQUEST
TECH_FLIGHT,LOC_TECH_FLIGHT_NAME,1250,0,,0,LOC_TECH_FLIGHT_DESCRIPTION,ERA_MODERN,0,0,-2,ADVISOR_CONQUEST
TECH_REPLACEABLE_PARTS,LOC_TECH_REPLACEABLE_PARTS_NAME,1250,0,,0,LOC_TECH_REPLACEABLE_PARTS_DESCRIPTION,ERA_MODERN,0,0,0,ADVISOR_CONQUEST
TECH_STEEL,LOC_TECH_STEEL_NAME,1250,0,,0,LOC_TECH_STEEL_DESCRIPTION,ERA_MODERN,0,0,1,ADVISOR_GENERIC
TECH_ELECTRICITY,LOC_TECH_ELECTRICITY_NAME,1370,0,,0,,ERA_MODERN,0,0,-3,ADVISOR_GENERIC
TECH_RADIO,LOC_TECH_RADIO_NAME,1370,0,,0,,ERA_MODERN,0,0,-2,ADVISOR_CULTURE
TECH_CHEMISTRY,LOC_TECH_CHEMISTRY_NAME,1370,0,,0,,ERA_MODERN,0,0,-1,ADVISOR_TECHNOLOGY
TECH_COMBUSTION,LOC_TECH_COMBUSTION_NAME,1370,0,,0,LOC_TECH_COMBUSTION_DESCRIPTION,ERA_MODERN,0,0,2,ADVISOR_CONQUEST
TECH_ADVANCED_FLIGHT,LOC_TECH_ADVANCED_FLIGHT_NAME,1480,0,,0,,ERA_ATOMIC,0,0,-2,ADVISOR_CONQUEST
TECH_ROCKETRY,LOC_TECH_ROCKETRY_NAME,1480,0,,0,LOC_TECH_ROCKETRY_DESCRIPTION,ERA_ATOMIC,1,0,-1,ADVISOR_TECHNOLOGY
TECH_ADVANCED_BALLISTICS,LOC_TECH_ADVANCED_BALLISTICS_NAME,1480,0,,0,,ERA_ATOMIC,0,0,0,ADVISOR_CONQUEST
TECH_COMBINED_ARMS,LOC_TECH_COMBINED_ARMS_NAME,1480,0,,0,,ERA_ATOMIC,0,0,1,ADVISOR_CONQUEST
TECH_PLASTICS,LOC_TECH_PLASTICS_NAME,1480,0,,0,LOC_TECH_PLASTICS_DESCRIPTION,ERA_ATOMIC,0,0,2,ADVISOR_CONQUEST
TECH_COMPUTERS,LOC_TECH_COMPUTERS_NAME,1660,0,,0,LOC_TECH_COMPUTERS_DESCRIPTION,ERA_ATOMIC,0,0,-3,ADVISOR_CULTURE
TECH_NUCLEAR_FISSION,LOC_TECH_NUCLEAR_FISSION_NAME,1660,0,,0,,ERA_ATOMIC,1,0,1,ADVISOR_CONQUEST
TECH_SYNTHETIC_MATERIALS,LOC_TECH_SYNTHETIC_MATERIALS_NAME,1660,0,,0,LOC_TECH_SYNTHETIC_MATERIALS_DESCRIPTION,ERA_ATOMIC,0,0,2,ADVISOR_CONQUEST
TECH_TELECOMMUNICATIONS,LOC_TECH_TELECOMMUNICATIONS_NAME,1850,0,,0,,ERA_INFORMATION,0,0,-3,ADVISOR_CONQUEST
TECH_SATELLITES,LOC_TECH_SATELLITES_NAME,1850,0,,0,,ERA_INFORMATION,0,0,-1,ADVISOR_TECHNOLOGY
TECH_GUIDANCE_SYSTEMS,LOC_TECH_GUIDANCE_SYSTEMS_NAME,1850,0,,0,,ERA_INFORMATION,0,0,0,ADVISOR_TECHNOLOGY
TECH_LASERS,LOC_TECH_LASERS_NAME,1850,0,,0,,ERA_INFORMATION,1,0,1,ADVISOR_TECHNOLOGY
TECH_COMPOSITES,LOC_TECH_COMPOSITES_NAME,1850,0,,0,,ERA_INFORMATION,0,0,2,ADVISOR_TECHNOLOGY
TECH_STEALTH_TECHNOLOGY,LOC_TECH_STEALTH_TECHNOLOGY_NAME,1850,0,,0,,ERA_INFORMATION,1,0,3,ADVISOR_TECHNOLOGY
TECH_ROBOTICS,LOC_TECH_ROBOTICS_NAME,2155,0,,0,LOC_TECH_ROBOTICS_DESCRIPTION,ERA_INFORMATION,0,0,-2,ADVISOR_TECHNOLOGY
TECH_NANOTECHNOLOGY,LOC_TECH_NANOTECHNOLOGY_NAME,2155,0,,0,,ERA_INFORMATION,0,0,2,ADVISOR_TECHNOLOGY
TECH_NUCLEAR_FUSION,LOC_TECH_NUCLEAR_FUSION_NAME,2155,0,,0,,ERA_INFORMATION,1,0,1,ADVISOR_TECHNOLOGY
TECH_BUTTRESS,LOC_TECH_BUTTRESS_NAME,300,0,,0,,ERA_MEDIEVAL,0,0,-3,ADVISOR_GENERIC
TECH_REFINING,LOC_TECH_REFINING_NAME,1250,0,,0,,ERA_MODERN,0,0,3,ADVISOR_GENERIC
TECH_SEASTEADS,LOC_TECH_SEASTEADS_NAME,2200,0,,0,LOC_TECH_SEASTEADS_DESCRIPTION,ERA_FUTURE,1,0,-3,ADVISOR_GENERIC
TECH_ADVANCED_AI,LOC_TECH_ADVANCED_AI_NAME,2200,0,,0,LOC_TECH_ADVANCED_AI_DESCRIPTION,ERA_FUTURE,1,0,-2,ADVISOR_GENERIC
TECH_ADVANCED_POWER_CELLS,LOC_TECH_ADVANCED_POWER_CELLS_NAME,2200,0,,0,LOC_TECH_ADVANCED_POWER_CELLS_DESCRIPTION,ERA_FUTURE,1,0,-1,ADVISOR_GENERIC
TECH_CYBERNETICS,LOC_TECH_CYBERNETICS_NAME,2200,0,,0,LOC_TECH_CYBERNETICS_DESCRIPTION,ERA_FUTURE,1,0,0,ADVISOR_GENERIC
TECH_SMART_MATERIALS,LOC_TECH_SMART_MATERIALS_NAME,2200,0,,0,LOC_TECH_SMART_MATERIALS_DESCRIPTION,ERA_FUTURE,1,0,1,ADVISOR_GENERIC
TECH_PREDICTIVE_SYSTEMS,LOC_TECH_PREDICTIVE_SYSTEMS_NAME,2200,0,,0,LOC_TECH_PREDICTIVE_SYSTEMS_DESCRIPTION,ERA_FUTURE,1,0,2,ADVISOR_GENERIC
TECH_OFFWORLD_MISSION,LOC_TECH_OFFWORLD_MISSION_NAME,2500,0,,0,,ERA_FUTURE,1,0,0,ADVISOR_GENERIC
TECH_FUTURE_TECH,LOC_TECH_FUTURE_TECH_NAME,2600,1,,0,LOC_TECH_FUTURE_TECH_XP2_DESCRIPTION,ERA_FUTURE,0,0,0,ADVISOR_GENERIC
