BeliefType,Name,Description,BeliefClassType
BELIEF_GOD_OF_HEALING,LOC_BELIEF_GOD_OF_HEALING_NAME,LOC_BELIEF_GOD_OF_HEALING_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_GOD_OF_WAR,LOC_BELIEF_GOD_OF_WAR_NAME,LOC_BELIEF_GOD_OF_WAR_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_FERTILITY_RITES,LOC_BELIEF_FERTILITY_RITES_NAME,LOC_BELIEF_FERTILITY_RITES_EXPANSION2_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_RELIGIOUS_SETTLEMENTS,LOC_BELIEF_RELIGIOUS_SETTLEMENTS_NAME,LOC_BELIEF_RELIGIOUS_SETTLEMENTS_EXPANSION2_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_CITY_PATRON_GODDESS,LOC_BELIEF_CITY_PATRON_GODDESS_NAME,LOC_BELIEF_CITY_PATRON_GODDESS_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_EARTH_GODDESS,LOC_BELIEF_EARTH_GODDESS_NAME,LOC_BELIEF_EARTH_GODDESS_EXPANSION2_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_DIVINE_INSPIRATION,LOC_BELIEF_DIVINE_INSPIRATION_NAME,LOC_BELIEF_DIVINE_INSPIRATION_DESCRIPTION,BELIEF_CLASS_FOLLOWER
BELIEF_FEED_THE_WORLD,LOC_BELIEF_FEED_THE_WORLD_NAME,LOC_BELIEF_FEED_THE_WORLD_EXPANSION2_DESCRIPTION,BELIEF_CLASS_FOLLOWER
BELIEF_JESUIT_EDUCATION,LOC_BELIEF_JESUIT_EDUCATION_NAME,LOC_BELIEF_JESUIT_EDUCATION_DESCRIPTION,BELIEF_CLASS_FOLLOWER
BELIEF_RELIQUARIES,LOC_BELIEF_RELIQUARIES_NAME,LOC_BELIEF_RELIQUARIES_HEROES_DESCRIPTION,BELIEF_CLASS_FOLLOWER
BELIEF_RELIGIOUS_COMMUNITY,LOC_BELIEF_RELIGIOUS_COMMUNITY_NAME,LOC_BELIEF_RELIGIOUS_COMMUNITY_EXPANSION2_DESCRIPTION,BELIEF_CLASS_FOLLOWER
BELIEF_WORK_ETHIC,LOC_BELIEF_WORK_ETHIC_NAME,LOC_BELIEF_WORK_ETHIC_EXPANSION2_DESCRIPTION,BELIEF_CLASS_FOLLOWER
BELIEF_ZEN_MEDITATION,LOC_BELIEF_ZEN_MEDITATION_NAME,LOC_BELIEF_ZEN_MEDITATION_DESCRIPTION,BELIEF_CLASS_FOLLOWER
BELIEF_CHORAL_MUSIC,LOC_BELIEF_CHORAL_MUSIC_NAME,LOC_BELIEF_CHORAL_MUSIC_DESCRIPTION,BELIEF_CLASS_FOLLOWER
BELIEF_WARRIOR_MONKS,LOC_BELIEF_WARRIOR_MONKS_NAME,LOC_BELIEF_WARRIOR_MONKS_EXPANSION2_DESCRIPTION,BELIEF_CLASS_FOLLOWER
BELIEF_CATHEDRAL,LOC_BELIEF_CATHEDRAL_NAME,LOC_BELIEF_CATHEDRAL_DESCRIPTION,BELIEF_CLASS_WORSHIP
BELIEF_GURDWARA,LOC_BELIEF_GURDWARA_NAME,LOC_BELIEF_GURDWARA_EXPANSION2_DESCRIPTION,BELIEF_CLASS_WORSHIP
BELIEF_MEETING_HOUSE,LOC_BELIEF_MEETING_HOUSE_NAME,LOC_BELIEF_MEETING_HOUSE_DESCRIPTION,BELIEF_CLASS_WORSHIP
BELIEF_MOSQUE,LOC_BELIEF_MOSQUE_NAME,LOC_BELIEF_MOSQUE_DESCRIPTION,BELIEF_CLASS_WORSHIP
BELIEF_PAGODA,LOC_BELIEF_PAGODA_NAME,LOC_BELIEF_PAGODA_EXPANSION2_DESCRIPTION,BELIEF_CLASS_WORSHIP
BELIEF_SYNAGOGUE,LOC_BELIEF_SYNAGOGUE_NAME,LOC_BELIEF_SYNAGOGUE_DESCRIPTION,BELIEF_CLASS_WORSHIP
BELIEF_WAT,LOC_BELIEF_WAT_NAME,LOC_BELIEF_WAT_DESCRIPTION,BELIEF_CLASS_WORSHIP
BELIEF_STUPA,LOC_BELIEF_STUPA_NAME,LOC_BELIEF_STUPA_DESCRIPTION,BELIEF_CLASS_WORSHIP
BELIEF_DAR_E_MEHR,LOC_BELIEF_DAR_E_MEHR_NAME,LOC_BELIEF_DAR_E_MEHR_EXPANSION2_DESCRIPTION,BELIEF_CLASS_WORSHIP
BELIEF_LAY_MINISTRY,LOC_BELIEF_LAY_MINISTRY_NAME,LOC_BELIEF_LAY_MINISTRY_EXPANSION2_DESCRIPTION,BELIEF_CLASS_FOUNDER
BELIEF_PAPAL_PRIMACY,LOC_BELIEF_PAPAL_PRIMACY_NAME,LOC_BELIEF_PAPAL_PRIMACY_DESCRIPTION,BELIEF_CLASS_FOUNDER
BELIEF_PILGRIMAGE,LOC_BELIEF_PILGRIMAGE_NAME,LOC_BELIEF_PILGRIMAGE_EXPANSION2_DESCRIPTION,BELIEF_CLASS_FOUNDER
BELIEF_STEWARDSHIP,LOC_BELIEF_STEWARDSHIP_NAME,LOC_BELIEF_STEWARDSHIP_EXPANSION2_DESCRIPTION,BELIEF_CLASS_FOUNDER
BELIEF_TITHE,LOC_BELIEF_TITHE_NAME,LOC_BELIEF_TITHE_EXPANSION2_DESCRIPTION,BELIEF_CLASS_FOUNDER
BELIEF_WORLD_CHURCH,LOC_BELIEF_WORLD_CHURCH_NAME,LOC_BELIEF_WORLD_CHURCH_EXPANSION2_DESCRIPTION,BELIEF_CLASS_FOUNDER
BELIEF_CROSS_CULTURAL_DIALOGUE,LOC_BELIEF_CROSS_CULTURAL_DIALOGUE_NAME,LOC_BELIEF_CROSS_CULTURAL_DIALOGUE_EXPANSION2_DESCRIPTION,BELIEF_CLASS_FOUNDER
BELIEF_RELIGIOUS_UNITY,LOC_BELIEF_RELIGIOUS_UNITY_NAME,LOC_BELIEF_RELIGIOUS_UNITY_DESCRIPTION,BELIEF_CLASS_FOUNDER
BELIEF_DEFENDER_OF_FAITH,LOC_BELIEF_DEFENDER_OF_FAITH_NAME,LOC_BELIEF_DEFENDER_OF_FAITH_DESCRIPTION,BELIEF_CLASS_ENHANCER
BELIEF_HOLY_ORDER,LOC_BELIEF_HOLY_ORDER_NAME,LOC_BELIEF_HOLY_ORDER_DESCRIPTION,BELIEF_CLASS_ENHANCER
BELIEF_ITINERANT_PREACHERS,LOC_BELIEF_ITINERANT_PREACHERS_NAME,LOC_BELIEF_ITINERANT_PREACHERS_DESCRIPTION,BELIEF_CLASS_ENHANCER
BELIEF_JUST_WAR,LOC_BELIEF_JUST_WAR_NAME,LOC_BELIEF_JUST_WAR_DESCRIPTION,BELIEF_CLASS_ENHANCER
BELIEF_MISSIONARY_ZEAL,LOC_BELIEF_MISSIONARY_ZEAL_NAME,LOC_BELIEF_MISSIONARY_ZEAL_DESCRIPTION,BELIEF_CLASS_ENHANCER
BELIEF_MONASTIC_ISOLATION,LOC_BELIEF_MONASTIC_ISOLATION_NAME,LOC_BELIEF_MONASTIC_ISOLATION_DESCRIPTION,BELIEF_CLASS_ENHANCER
BELIEF_SCRIPTURE,LOC_BELIEF_SCRIPTURE_NAME,LOC_BELIEF_SCRIPTURE_DESCRIPTION,BELIEF_CLASS_ENHANCER
BELIEF_RELIGIOUS_COLONIZATION,LOC_BELIEF_RELIGIOUS_COLONIZATION_NAME,LOC_BELIEF_RELIGIOUS_COLONIZATION_DESCRIPTION,BELIEF_CLASS_ENHANCER
BELIEF_GODDESS_OF_FIRE,LOC_BELIEF_GODDESS_OF_FIRE_NAME,LOC_BELIEF_GODDESS_OF_FIRE_DESCRIPTION,BELIEF_CLASS_PANTHEON
BELIEF_SACRED_PLACES,LOC_BELIEF_SACRED_PLACES_NAME,LOC_BELIEF_SACRED_PLACES_DESCRIPTION,BELIEF_CLASS_FOUNDER
BELIEF_HOLY_WATERS,LOC_BELIEF_HOLY_WATERS_NAME,LOC_BELIEF_HOLY_WATERS_DESCRIPTION,BELIEF_CLASS_ENHANCER
