PolicyType,Description,PrereqCivic,PrereqTech,Name,GovernmentSlotType,RequiresGovernmentUnlock,ExplicitUnlock
POLICY_NAVAL_INFRASTRUCTURE,LOC_POLICY_NAVAL_INFRASTRUCTURE_DESCRIPTION,CIVIC_NAVAL_TRADITION,,LOC_POLICY_NAVAL_INFRASTRUCTURE_NAME,SLOT_ECONOMIC,,0
POLICY_NAVIGATION,LOC_POLICY_NAVIGATION_DESCRIPTION,CIVIC_NAVAL_TRADITION,,LOC_POLICY_NAVIGATION_NAME,SLOT_GREAT_PERSON,,0
POLICY_FEUDAL_CONTRACT,LOC_POLICY_FEUDAL_CONTRACT_DESCRIPTION,CIVIC_FEUDALISM,,LOC_POLICY_FEUDAL_CONTRACT_NAME,SLOT_MILITARY,,0
POLICY_SERFDOM,LOC_POLICY_SERFDOM_DESCRIPTION,CIVIC_FEUDALISM,,LOC_POLICY_SERFDOM_NAME,SLOT_ECONOMIC,,0
POLICY_RETAINERS,LOC_POLICY_RETAINERS_DESCRIPTION,CIVIC_CIVIL_SERVICE,,LOC_POLICY_RETAINERS_NAME,SLOT_MILITARY,,0
POLICY_PROFESSIONAL_ARMY,LOC_POLICY_PROFESSIONAL_ARMY_DESCRIPTION_XP2,CIVIC_MERCENARIES,,LOC_POLICY_PROFESSIONAL_ARMY_NAME,SLOT_MILITARY,,0
POLICY_TRADE_CONFEDERATION,LOC_POLICY_TRADE_CONFEDERATION_DESCRIPTION,CIVIC_MERCENARIES,,LOC_POLICY_TRADE_CONFEDERATION_NAME,SLOT_ECONOMIC,,0
POLICY_MERCHANT_CONFEDERATION,LOC_POLICY_MERCHANT_CONFEDERATION_DESCRIPTION,CIVIC_MEDIEVAL_FAIRES,,LOC_POLICY_MERCHANT_CONFEDERATION_NAME,SLOT_DIPLOMATIC,,0
POLICY_AESTHETICS,LOC_POLICY_AESTHETICS_DESCRIPTION,CIVIC_MEDIEVAL_FAIRES,,LOC_POLICY_AESTHETICS_NAME,SLOT_ECONOMIC,,0
POLICY_MEDINA_QUARTER,LOC_POLICY_MEDINA_QUARTER_DESCRIPTION,CIVIC_MEDIEVAL_FAIRES,,LOC_POLICY_MEDINA_QUARTER_NAME,SLOT_ECONOMIC,,0
POLICY_CRAFTSMEN,LOC_POLICY_CRAFTSMEN_DESCRIPTION,CIVIC_GUILDS,,LOC_POLICY_CRAFTSMEN_NAME,SLOT_MILITARY,,0
POLICY_TOWN_CHARTERS,LOC_POLICY_TOWN_CHARTERS_DESCRIPTION,CIVIC_GUILDS,,LOC_POLICY_TOWN_CHARTERS_NAME,SLOT_ECONOMIC,,0
POLICY_TRAVELING_MERCHANTS,LOC_POLICY_TRAVELING_MERCHANTS_DESCRIPTION,CIVIC_GUILDS,,LOC_POLICY_TRAVELING_MERCHANTS_NAME,SLOT_GREAT_PERSON,,0
POLICY_CHIVALRY,LOC_POLICY_CHIVALRY_DESCRIPTION,CIVIC_DIVINE_RIGHT,,LOC_POLICY_CHIVALRY_NAME,SLOT_MILITARY,,0
POLICY_GOTHIC_ARCHITECTURE,LOC_POLICY_GOTHIC_ARCHITECTURE_DESCRIPTION,CIVIC_DIVINE_RIGHT,,LOC_POLICY_GOTHIC_ARCHITECTURE_NAME,SLOT_ECONOMIC,,0
POLICY_PRESS_GANGS,LOC_POLICY_PRESS_GANGS_DESCRIPTION,CIVIC_EXPLORATION,,LOC_POLICY_PRESS_GANGS_NAME,SLOT_MILITARY,,0
POLICY_COLONIAL_OFFICES,LOC_POLICY_COLONIAL_OFFICES_DESCRIPTION,CIVIC_EXPLORATION,,LOC_POLICY_COLONIAL_OFFICES_NAME,SLOT_DIPLOMATIC,,0
POLICY_INVENTION,LOC_POLICY_INVENTION_DESCRIPTION_XP2,CIVIC_HUMANISM,,LOC_POLICY_INVENTION_NAME,SLOT_GREAT_PERSON,,0
POLICY_FRESCOES,LOC_POLICY_FRESCOES_DESCRIPTION_XP2,CIVIC_HUMANISM,,LOC_POLICY_FRESCOES_NAME,SLOT_GREAT_PERSON,,0
POLICY_MACHIAVELLIANISM,LOC_POLICY_MACHIAVELLIANISM_DESCRIPTION,CIVIC_DIPLOMATIC_SERVICE,,LOC_POLICY_MACHIAVELLIANISM_NAME,SLOT_DIPLOMATIC,,0
POLICY_WARS_OF_RELIGION,LOC_POLICY_WARS_OF_RELIGION_DESCRIPTION,CIVIC_REFORMED_CHURCH,,LOC_POLICY_WARS_OF_RELIGION_NAME,SLOT_MILITARY,,0
POLICY_RELIGIOUS_ORDERS,LOC_POLICY_RELIGIOUS_ORDERS_DESCRIPTION,CIVIC_REFORMED_CHURCH,,LOC_POLICY_RELIGIOUS_ORDERS_NAME,SLOT_ECONOMIC,,0
POLICY_SIMULTANEUM,LOC_POLICY_SIMULTANEUM_DESCRIPTION,CIVIC_REFORMED_CHURCH,,LOC_POLICY_SIMULTANEUM_NAME,SLOT_ECONOMIC,,0
POLICY_LOGISTICS,LOC_POLICY_LOGISTICS_DESCRIPTION,CIVIC_MERCANTILISM,,LOC_POLICY_LOGISTICS_NAME,SLOT_MILITARY,,0
POLICY_TRIANGULAR_TRADE,LOC_POLICY_TRIANGULAR_TRADE_DESCRIPTION,CIVIC_MERCANTILISM,,LOC_POLICY_TRIANGULAR_TRADE_NAME,SLOT_ECONOMIC,,0
POLICY_RATIONALISM,LOC_POLICY_RATIONALISM_DESCRIPTION,CIVIC_THE_ENLIGHTENMENT,,LOC_POLICY_RATIONALISM_NAME,SLOT_ECONOMIC,,0
POLICY_FREE_MARKET,LOC_POLICY_FREE_MARKET_DESCRIPTION,CIVIC_THE_ENLIGHTENMENT,,LOC_POLICY_FREE_MARKET_NAME,SLOT_ECONOMIC,,0
POLICY_LIBERALISM,LOC_POLICY_LIBERALISM_DESCRIPTION,CIVIC_THE_ENLIGHTENMENT,,LOC_POLICY_LIBERALISM_NAME,SLOT_ECONOMIC,,0
POLICY_NATIVE_CONQUEST,LOC_POLICY_NATIVE_CONQUEST_DESCRIPTION,CIVIC_COLONIALISM,,LOC_POLICY_NATIVE_CONQUEST_NAME,SLOT_MILITARY,,0
POLICY_COLONIAL_TAXES,LOC_POLICY_COLONIAL_TAXES_DESCRIPTION,CIVIC_COLONIALISM,,LOC_POLICY_COLONIAL_TAXES_NAME,SLOT_DIPLOMATIC,,0
POLICY_RAJ,LOC_POLICY_RAJ_DESCRIPTION_XP2,CIVIC_COLONIALISM,,LOC_POLICY_RAJ_NAME,SLOT_DIPLOMATIC,,0
POLICY_PUBLIC_WORKS,LOC_POLICY_PUBLIC_WORKS_DESCRIPTION,CIVIC_CIVIL_ENGINEERING,,LOC_POLICY_PUBLIC_WORKS_NAME,SLOT_ECONOMIC,,0
POLICY_SKYSCRAPERS,LOC_POLICY_SKYSCRAPERS_DESCRIPTION,CIVIC_CIVIL_ENGINEERING,,LOC_POLICY_SKYSCRAPERS_NAME,SLOT_ECONOMIC,,0
POLICY_GRANDE_ARMEE,LOC_POLICY_GRANDE_ARMEE_DESCRIPTION,CIVIC_NATIONALISM,,LOC_POLICY_GRANDE_ARMEE_NAME,SLOT_MILITARY,,0
POLICY_NATIONAL_IDENTITY,LOC_POLICY_NATIONAL_IDENTITY_DESCRIPTION,CIVIC_NATIONALISM,,LOC_POLICY_NATIONAL_IDENTITY_NAME,SLOT_MILITARY,,0
POLICY_GRAND_OPERA,LOC_POLICY_GRAND_OPERA_DESCRIPTION,CIVIC_OPERA_BALLET,,LOC_POLICY_GRAND_OPERA_NAME,SLOT_ECONOMIC,,0
POLICY_SYMPHONIES,LOC_POLICY_SYMPHONIES_DESCRIPTION_XP2,CIVIC_OPERA_BALLET,,LOC_POLICY_SYMPHONIES_NAME,SLOT_GREAT_PERSON,,0
POLICY_PUBLIC_TRANSPORT,LOC_POLICY_PUBLIC_TRANSPORT_DESCRIPTION_XP2,CIVIC_URBANIZATION,,LOC_POLICY_PUBLIC_TRANSPORT_NAME,SLOT_ECONOMIC,,0
POLICY_TOTAL_WAR,LOC_POLICY_TOTAL_WAR_EXPANSION1_ALT_DESCRIPTION,CIVIC_SCORCHED_EARTH,,LOC_POLICY_TOTAL_WAR_NAME,SLOT_MILITARY,,0
POLICY_EXPROPRIATION,LOC_POLICY_EXPROPRIATION_DESCRIPTION,CIVIC_SCORCHED_EARTH,,LOC_POLICY_EXPROPRIATION_NAME,SLOT_ECONOMIC,,0
POLICY_MILITARY_ORGANIZATION,LOC_POLICY_MILITARY_ORGANIZATION_DESCRIPTION_XP2,CIVIC_SCORCHED_EARTH,,LOC_POLICY_MILITARY_ORGANIZATION_NAME,SLOT_GREAT_PERSON,,0
POLICY_MILITARY_RESEARCH,LOC_POLICY_MILITARY_RESEARCH_EXPANSION1_DESCRIPTION,CIVIC_URBANIZATION,,LOC_POLICY_MILITARY_RESEARCH_NAME,SLOT_MILITARY,,0
POLICY_RESOURCE_MANAGEMENT,LOC_POLICY_RESOURCE_MANAGEMENT_DESCRIPTION_XP2,CIVIC_CONSERVATION,,LOC_POLICY_RESOURCE_MANAGEMENT_NAME,SLOT_MILITARY,,0
POLICY_PROPAGANDA,LOC_POLICY_PROPAGANDA_DESCRIPTION,CIVIC_MASS_MEDIA,,LOC_POLICY_PROPAGANDA_NAME,SLOT_MILITARY,,0
POLICY_LEVEE_EN_MASSE,LOC_POLICY_LEVEE_EN_MASSE_DESCRIPTION,CIVIC_MOBILIZATION,,LOC_POLICY_LEVEE_EN_MASSE_NAME,SLOT_MILITARY,,0
POLICY_LAISSEZ_FAIRE,LOC_POLICY_LAISSEZ_FAIRE_DESCRIPTION_XP2,CIVIC_CAPITALISM,,LOC_POLICY_LAISSEZ_FAIRE_NAME,SLOT_GREAT_PERSON,,0
POLICY_MARKET_ECONOMY,LOC_POLICY_MARKET_ECONOMY_DESCRIPTION,CIVIC_CAPITALISM,,LOC_POLICY_MARKET_ECONOMY_NAME,SLOT_ECONOMIC,,0
POLICY_NOBEL_PRIZE,LOC_POLICY_NOBEL_PRIZE_DESCRIPTION_XP2,CIVIC_NUCLEAR_PROGRAM,,LOC_POLICY_SCIENCE_FOUNDATIONS_NAME,SLOT_GREAT_PERSON,,0
POLICY_NUCLEAR_ESPIONAGE,LOC_POLICY_NUCLEAR_ESPIONAGE_DESCRIPTION,CIVIC_NUCLEAR_PROGRAM,,LOC_POLICY_NUCLEAR_ESPIONAGE_NAME,SLOT_DIPLOMATIC,,0
POLICY_ECONOMIC_UNION,LOC_POLICY_ECONOMIC_UNION_DESCRIPTION,CIVIC_IDEOLOGY,,LOC_POLICY_ECONOMIC_UNION_NAME,SLOT_ECONOMIC,,0
POLICY_FINEST_HOUR,LOC_POLICY_FINEST_HOUR_DESCRIPTION_XP2,CIVIC_SUFFRAGE,,LOC_POLICY_FINEST_HOUR_NAME,SLOT_WILDCARD,,0
POLICY_NEW_DEAL,LOC_POLICY_NEW_DEAL_DESCRIPTION_XP2,CIVIC_SUFFRAGE,,LOC_POLICY_NEW_DEAL_NAME,SLOT_ECONOMIC,,0
POLICY_LIGHTNING_WARFARE,LOC_POLICY_LIGHTNING_WARFARE_DESCRIPTION,CIVIC_IDEOLOGY,,LOC_POLICY_LIGHTNING_WARFARE_NAME,SLOT_MILITARY,,0
POLICY_THIRD_ALTERNATIVE,LOC_POLICY_THIRD_ALTERNATIVE_DESCRIPTION_XP2,CIVIC_TOTALITARIANISM,,LOC_POLICY_THIRD_ALTERNATIVE_NAME,SLOT_MILITARY,,0
POLICY_MARTIAL_LAW,LOC_POLICY_MARTIAL_LAW_DESCRIPTION_XP2,CIVIC_TOTALITARIANISM,,LOC_POLICY_MARTIAL_LAW_NAME,SLOT_WILDCARD,,0
POLICY_GUNBOAT_DIPLOMACY,LOC_POLICY_GUNBOAT_DIPLOMACY_DESCRIPTION,CIVIC_IDEOLOGY,,LOC_POLICY_GUNBOAT_DIPLOMACY_NAME,SLOT_DIPLOMATIC,,0
POLICY_FIVE_YEAR_PLAN,LOC_POLICY_FIVE_YEAR_PLAN_DESCRIPTION,CIVIC_IDEOLOGY,,LOC_POLICY_FIVE_YEAR_PLAN_NAME,SLOT_ECONOMIC,,0
POLICY_COLLECTIVIZATION,LOC_POLICY_COLLECTIVIZATION_DESCRIPTION_XP2,CIVIC_CLASS_STRUGGLE,,LOC_POLICY_COLLECTIVIZATION_NAME,SLOT_ECONOMIC,,0
POLICY_DEFENSE_OF_MOTHERLAND,LOC_POLICY_DEFENSE_OF_MOTHERLAND_DESCRIPTION_XP2,CIVIC_CLASS_STRUGGLE,,LOC_POLICY_DEFENSE_OF_MOTHERLAND_NAME,SLOT_WILDCARD,,0
POLICY_CRYPTOGRAPHY,LOC_POLICY_CRYPTOGRAPHY_DESCRIPTION,CIVIC_COLD_WAR,,LOC_POLICY_CRYPTOGRAPHY_NAME,SLOT_DIPLOMATIC,,0
POLICY_INTERNATIONAL_WATERS,LOC_POLICY_INTERNATIONAL_WATERS_DESCRIPTION,CIVIC_COLD_WAR,,LOC_POLICY_INTERNATIONAL_WATERS_NAME,SLOT_MILITARY,,0
POLICY_CONTAINMENT,LOC_POLICY_CONTAINMENT_DESCRIPTION,CIVIC_COLD_WAR,,LOC_POLICY_CONTAINMENT_NAME,SLOT_DIPLOMATIC,,0
POLICY_HERITAGE_TOURISM,LOC_POLICY_HERITAGE_TOURISM_DESCRIPTION,CIVIC_CULTURAL_HERITAGE,,LOC_POLICY_HERITAGE_TOURISM_NAME,SLOT_ECONOMIC,,0
POLICY_SPORTS_MEDIA,LOC_POLICY_SPORTS_MEDIA_DESCRIPTION,CIVIC_PROFESSIONAL_SPORTS,,LOC_POLICY_SPORTS_MEDIA_NAME,SLOT_ECONOMIC,,0
POLICY_MILITARY_FIRST,LOC_POLICY_MILITARY_FIRST_DESCRIPTION,CIVIC_RAPID_DEPLOYMENT,,LOC_POLICY_MILITARY_FIRST_NAME,SLOT_MILITARY,,0
POLICY_SATELLITE_BROADCASTS,LOC_POLICY_SATELLITE_BROADCASTS_DESCRIPTION,CIVIC_SPACE_RACE,,LOC_POLICY_SATELLITE_BROADCASTS_NAME,SLOT_ECONOMIC,,0
POLICY_INTEGRATED_SPACE_CELL,LOC_POLICY_INTEGRATED_SPACE_CELL_DESCRIPTION,CIVIC_SPACE_RACE,,LOC_POLICY_INTEGRATED_SPACE_CELL_NAME,SLOT_MILITARY,,0
POLICY_STRATEGIC_AIR_FORCE,LOC_POLICY_STRATEGIC_AIR_FORCE_DESCRIPTION,CIVIC_GLOBALIZATION,,LOC_POLICY_STRATEGIC_AIR_FORCE_NAME,SLOT_MILITARY,,0
POLICY_ECOMMERCE,LOC_POLICY_ECOMMERCE_EXPANSION1_DESCRIPTION,CIVIC_GLOBALIZATION,,LOC_POLICY_ECOMMERCE_NAME,SLOT_ECONOMIC,,0
POLICY_INTERNATIONAL_SPACE_AGENCY,LOC_POLICY_INTERNATIONAL_SPACE_AGENCY_DESCRIPTION,CIVIC_GLOBALIZATION,,LOC_POLICY_INTERNATIONAL_SPACE_AGENCY_NAME,SLOT_DIPLOMATIC,,0
POLICY_ONLINE_COMMUNITIES,LOC_POLICY_ONLINE_COMMUNITIES_DESCRIPTION,CIVIC_SOCIAL_MEDIA,,LOC_POLICY_ONLINE_COMMUNITIES_NAME,SLOT_ECONOMIC,,0
POLICY_COLLECTIVE_ACTIVISM,LOC_POLICY_COLLECTIVE_ACTIVISM_DESCRIPTION,CIVIC_SOCIAL_MEDIA,,LOC_POLICY_COLLECTIVE_ACTIVISM_NAME,SLOT_DIPLOMATIC,,0
POLICY_GOV_AUTOCRACY,LOC_GOVT_INHERENT_BONUS_AUTOCRACY_ETHIOPIA,,,LOC_POLICY_AUTOCRACY_NAME,SLOT_WILDCARD,1.0,0
POLICY_GOV_OLIGARCHY,LOC_GOVT_INHERENT_BONUS_OLIGARCHY_XP1,,,LOC_POLICY_OLIGARCHY_NAME,SLOT_WILDCARD,1.0,0
POLICY_GOV_CLASSICAL_REPUBLIC,LOC_GOVT_INHERENT_BONUS_CLASSREP_XP1,,,LOC_POLICY_CLASSICAL_REPUBLIC_NAME,SLOT_WILDCARD,1.0,0
POLICY_GOV_MONARCHY,LOC_GOVT_INHERENT_BONUS_MONARCHY_XP1,,,LOC_POLICY_MONARCHY_NAME,SLOT_WILDCARD,1.0,0
POLICY_GOV_THEOCRACY,LOC_GOVT_INHERENT_BONUS_THEOCRACY_XP1,,,LOC_POLICY_THEOCRACY_NAME,SLOT_WILDCARD,1.0,0
POLICY_GOV_MERCHANT_REPUBLIC,LOC_GOVT_INHERENT_BONUS_MERCHREP_XP1,,,LOC_POLICY_MERCHANT_REPUBLIC_NAME,SLOT_WILDCARD,1.0,0
POLICY_GOV_FASCISM,LOC_GOVT_INHERENT_BONUS_FASCISM_XP1,,,LOC_POLICY_FASCISM_NAME,SLOT_WILDCARD,1.0,0
POLICY_GOV_COMMUNISM,LOC_GOVT_INHERENT_BONUS_COMMUNISM_XP1,,,LOC_POLICY_COMMUNISM_NAME,SLOT_WILDCARD,1.0,0
POLICY_GOV_DEMOCRACY,LOC_GOVT_INHERENT_BONUS_DEMOCRACY_XP2,,,LOC_POLICY_DEMOCRACY_NAME,SLOT_WILDCARD,1.0,0
POLICY_LIMITANEI,LOC_POLICY_LIMITANEI_DESCRIPTION,CIVIC_EARLY_EMPIRE,,LOC_POLICY_LIMITANEI_NAME,SLOT_MILITARY,,0
POLICY_PRAETORIUM,LOC_POLICY_PRAETORIUM_DESCRIPTION,CIVIC_RECORDED_HISTORY,,LOC_POLICY_PRAETORIUM_NAME,SLOT_DIPLOMATIC,,0
POLICY_CIVIL_PRESTIGE,LOC_POLICY_CIVIL_PRESTIGE_DESCRIPTION,CIVIC_CIVIL_SERVICE,,LOC_POLICY_CIVIL_PRESTIGE_NAME,SLOT_ECONOMIC,,0
POLICY_WISSELBANKEN,LOC_POLICY_WISSELBANKEN_DESCRIPTION,CIVIC_DIPLOMATIC_SERVICE,,LOC_POLICY_WISSELBANKEN_NAME,SLOT_DIPLOMATIC,,0
POLICY_SECOND_STRIKE_CAPABILITY,LOC_POLICY_SECOND_STRIKE_CAPABILITY_DESCRIPTION,CIVIC_COLD_WAR,,LOC_POLICY_SECOND_STRIKE_CAPABILITY_NAME,SLOT_MILITARY,,0
POLICY_AFTER_ACTION_REPORTS,LOC_POLICY_AFTER_ACTION_REPORTS_DESCRIPTION,CIVIC_RAPID_DEPLOYMENT,,LOC_POLICY_AFTER_ACTION_REPORTS_NAME,SLOT_MILITARY,,0
POLICY_COMMUNICATIONS_OFFICE,LOC_POLICY_COMMUNICATIONS_OFFICE_DESCRIPTION,CIVIC_SOCIAL_MEDIA,,LOC_POLICY_COMMUNICATIONS_OFFICE_NAME,SLOT_DIPLOMATIC,,0
POLICY_MONASTICISM,LOC_POLICY_MONASTICISM_DESCRIPTION,,,LOC_POLICY_MONASTICISM_NAME,SLOT_WILDCARD,,0
POLICY_TWILIGHT_VALOR,LOC_POLICY_TWILIGHT_VALOR_DESCRIPTION,,,LOC_POLICY_TWILIGHT_VALOR_NAME,SLOT_WILDCARD,,0
POLICY_INQUISITION,LOC_POLICY_INQUISITION_DESCRIPTION,,,LOC_POLICY_INQUISITION_NAME,SLOT_WILDCARD,,0
POLICY_ISOLATIONISM,LOC_POLICY_ISOLATIONISM_DESCRIPTION,,,LOC_POLICY_ISOLATIONISM_NAME,SLOT_WILDCARD,,0
POLICY_LETTERS_OF_MARQUE,LOC_POLICY_LETTERS_OF_MARQUE_DESCRIPTION,,,LOC_POLICY_LETTERS_OF_MARQUE_NAME,SLOT_WILDCARD,,0
POLICY_ROBBER_BARONS,LOC_POLICY_ROBBER_BARONS_DESCRIPTION,,,LOC_POLICY_ROBBER_BARONS_NAME,SLOT_WILDCARD,,0
POLICY_ELITE_FORCES,LOC_POLICY_ELITE_FORCES_DESCRIPTION,,,LOC_POLICY_ELITE_FORCES_NAME,SLOT_WILDCARD,,0
POLICY_COLLECTIVISM,LOC_POLICY_COLLECTIVISM_DESCRIPTION,,,LOC_POLICY_COLLECTIVISM_NAME,SLOT_WILDCARD,,0
POLICY_ROGUE_STATE,LOC_POLICY_ROGUE_STATE_DESCRIPTION,,,LOC_POLICY_ROGUE_STATE_NAME,SLOT_WILDCARD,,0
POLICY_FUTURE_VICTORY_SCIENCE,LOC_POLICY_FUTURE_VICTORY_SCIENCE_DESCRIPTION,CIVIC_EXODUS_IMPERATIVE,,LOC_POLICY_FUTURE_VICTORY_SCIENCE_NAME,SLOT_WILDCARD,,0
POLICY_FUTURE_COUNTER_CULTURE,LOC_POLICY_FUTURE_COUNTER_CULTURE_DESCRIPTION,CIVIC_EXODUS_IMPERATIVE,,LOC_POLICY_FUTURE_COUNTER_CULTURE_NAME,SLOT_WILDCARD,,0
POLICY_FUTURE_VICTORY_CULTURE,LOC_POLICY_FUTURE_VICTORY_CULTURE_DESCRIPTION,CIVIC_CULTURAL_HEGEMONY,,LOC_POLICY_FUTURE_VICTORY_CULTURE_NAME,SLOT_WILDCARD,,0
POLICY_FUTURE_COUNTER_SCIENCE,LOC_POLICY_FUTURE_COUNTER_SCIENCE_DESCRIPTION,CIVIC_CULTURAL_HEGEMONY,,LOC_POLICY_FUTURE_COUNTER_SCIENCE_NAME,SLOT_WILDCARD,,0
POLICY_FUTURE_VICTORY_DOMINATION,LOC_POLICY_FUTURE_VICTORY_DOMINATION_DESCRIPTION,CIVIC_INFORMATION_WARFARE,,LOC_POLICY_FUTURE_VICTORY_DOMINATION_NAME,SLOT_WILDCARD,,0
POLICY_FUTURE_COUNTER_DIPLOMATIC,LOC_POLICY_FUTURE_COUNTER_DIPLOMATIC_DESCRIPTION,CIVIC_INFORMATION_WARFARE,,LOC_POLICY_FUTURE_COUNTER_DIPLOMATIC_NAME,SLOT_WILDCARD,,0
POLICY_FUTURE_VICTORY_DIPLOMATIC,LOC_POLICY_FUTURE_VICTORY_DIPLOMATIC_DESCRIPTION,CIVIC_SMART_POWER_DOCTRINE,,LOC_POLICY_FUTURE_VICTORY_DIPLOMATIC_NAME,SLOT_WILDCARD,,0
POLICY_FUTURE_COUNTER_DOMINATION,LOC_POLICY_FUTURE_COUNTER_DOMINATION_DESCRIPTION,CIVIC_SMART_POWER_DOCTRINE,,LOC_POLICY_FUTURE_COUNTER_DOMINATION_NAME,SLOT_WILDCARD,,0
POLICY_EQUESTRIAN_ORDERS,LOC_POLICY_EQUESTRIAN_ORDERS_DESCRIPTION,CIVIC_MILITARY_TRAINING,,LOC_POLICY_EQUESTRIAN_ORDERS_NAME,SLOT_MILITARY,,0
