Type,Hash,Kind
TRAIT_AGENDA_PREFER_ENVIRONMENT,-1622195621,KIND_TRAIT
TRAIT_AGENDA_PREFER_SAME_GOVERNMENT,-1275730430,KIND_TRAIT
TRAIT_AGENDA_PREFER_FAITH,1756494581,KIND_TRAIT
TRAIT_AGENDA_EXPLORATION_OBSESSED,-1460317083,KIND_TRAIT
TRAIT_AGENDA_GREAT_PERSON_ADVOCATE,357160803,KIND_TRAIT
TRAIT_AGENDA_WONDER_ADVOCATE,1676944565,KIND_TRAIT
BELIEF_DANCE_OF_THE_AURORA,1202591333,KIND_BELIEF
BELIEF_DESERT_FOLKLORE,-673844216,KIND_BELIEF
BELIEF_SACRED_PATH,1763251781,KIND_BELIEF
BELIEF_RIVER_GODDESS,75964204,KIND_BELIEF
BELIEF_MONUMENT_TO_THE_GODS,1321779673,KIND_BELIEF
BELIEF_DIVINE_SPARK,878215599,KIND_BELIEF
BELIEF_LADY_OF_THE_REEDS_AND_MARSHES,-1265892894,KIND_BELIEF
BELIEF_GOD_OF_THE_SEA,-1398599883,KIND_BELIEF
BELIEF_GOD_OF_THE_OPEN_SKY,1981871308,KIND_BELIEF
BELIEF_GODDESS_OF_THE_HUNT,-2080135417,KIND_BELIEF
BELIEF_STONE_CIRCLES,-311158921,KIND_BELIEF
BELIEF_RELIGIOUS_IDOLS,-823599043,KIND_BELIEF
BELIEF_GOD_OF_CRAFTSMEN,367066239,KIND_BELIEF
BELIEF_GODDESS_OF_FESTIVALS,-1108678303,KIND_BELIEF
BELIEF_GOD_OF_THE_FORGE,1390279398,KIND_BELIEF
BELIEF_GOD_OF_HEALING,474607288,KIND_BELIEF
BELIEF_GOD_OF_WAR,-1523127628,KIND_BELIEF
BELIEF_INITIATION_RITES,-2108133645,KIND_BELIEF
BELIEF_FERTILITY_RITES,1473516519,KIND_BELIEF
BELIEF_RELIGIOUS_SETTLEMENTS,-1367245911,KIND_BELIEF
BELIEF_CATHEDRAL,-2021869387,KIND_BELIEF
BELIEF_GURDWARA,-1934458343,KIND_BELIEF
BELIEF_MEETING_HOUSE,181664509,KIND_BELIEF
BELIEF_MOSQUE,-1982545748,KIND_BELIEF
BELIEF_PAGODA,349947443,KIND_BELIEF
BELIEF_SYNAGOGUE,-2145544167,KIND_BELIEF
BELIEF_WAT,1245780746,KIND_BELIEF
BELIEF_DIVINE_INSPIRATION,-1831745459,KIND_BELIEF
BELIEF_FEED_THE_WORLD,-78755971,KIND_BELIEF
BELIEF_JESUIT_EDUCATION,-1719540987,KIND_BELIEF
BELIEF_RELIQUARIES,-1501972324,KIND_BELIEF
BELIEF_RELIGIOUS_COMMUNITY,-1828770006,KIND_BELIEF
BELIEF_WORK_ETHIC,-1917232432,KIND_BELIEF
BELIEF_ZEN_MEDITATION,-1705524910,KIND_BELIEF
BELIEF_LAY_MINISTRY,-162333995,KIND_BELIEF
BELIEF_PAPAL_PRIMACY,-767802130,KIND_BELIEF
BELIEF_PILGRIMAGE,-1633672016,KIND_BELIEF
BELIEF_STEWARDSHIP,1425025066,KIND_BELIEF
BELIEF_TITHE,-863483638,KIND_BELIEF
BELIEF_WORLD_CHURCH,909358431,KIND_BELIEF
BELIEF_DEFENDER_OF_FAITH,1677288429,KIND_BELIEF
BELIEF_HOLY_ORDER,1655242668,KIND_BELIEF
BELIEF_ITINERANT_PREACHERS,-1892169331,KIND_BELIEF
BELIEF_JUST_WAR,-2075843442,KIND_BELIEF
BELIEF_MISSIONARY_ZEAL,724858666,KIND_BELIEF
BELIEF_MONASTIC_ISOLATION,185162245,KIND_BELIEF
BELIEF_SCRIPTURE,611367928,KIND_BELIEF
BELIEF_CITY_PATRON_GODDESS,1767078862,KIND_BELIEF
BELIEF_EARTH_GODDESS,-1968924437,KIND_BELIEF
BELIEF_CROSS_CULTURAL_DIALOGUE,281458599,KIND_BELIEF
BELIEF_RELIGIOUS_UNITY,1644590895,KIND_BELIEF
BELIEF_CHORAL_MUSIC,1754889078,KIND_BELIEF
BELIEF_WARRIOR_MONKS,1515126127,KIND_BELIEF
BELIEF_RELIGIOUS_COLONIZATION,1767931143,KIND_BELIEF
BELIEF_STUPA,1483680815,KIND_BELIEF
BELIEF_DAR_E_MEHR,-1005832353,KIND_BELIEF
BUILDING_AIRPORT,990042271,KIND_BUILDING
BUILDING_ALHAMBRA,751862046,KIND_BUILDING
BUILDING_AMPHITHEATER,762987263,KIND_BUILDING
BUILDING_ARENA,1397419701,KIND_BUILDING
BUILDING_ARMORY,209119223,KIND_BUILDING
BUILDING_BANK,1714821680,KIND_BUILDING
BUILDING_BARRACKS,1697130061,KIND_BUILDING
BUILDING_BIG_BEN,179315737,KIND_BUILDING
BUILDING_BOLSHOI_THEATRE,1832083520,KIND_BUILDING
BUILDING_BROADCAST_CENTER,-1543972525,KIND_BUILDING
BUILDING_BROADWAY,-1646418429,KIND_BUILDING
BUILDING_CASTLE,101426179,KIND_BUILDING
BUILDING_CATHEDRAL,-1563398559,KIND_BUILDING
BUILDING_CHICHEN_ITZA,-1801267032,KIND_BUILDING
BUILDING_COLOSSEUM,-1665089168,KIND_BUILDING
BUILDING_COLOSSUS,1785097965,KIND_BUILDING
BUILDING_CRISTO_REDENTOR,1781240358,KIND_BUILDING
BUILDING_DAR_E_MEHR,1167560004,KIND_BUILDING
BUILDING_EIFFEL_TOWER,-561798494,KIND_BUILDING
BUILDING_ELECTRONICS_FACTORY,-1598233259,KIND_BUILDING
BUILDING_ESTADIO_DO_MARACANA,-1810980590,KIND_BUILDING
BUILDING_FACTORY,-1096470108,KIND_BUILDING
BUILDING_FILM_STUDIO,-1357280276,KIND_BUILDING
BUILDING_FORBIDDEN_CITY,-2073911405,KIND_BUILDING
BUILDING_GRANARY,-764771404,KIND_BUILDING
BUILDING_GREAT_LIBRARY,619659844,KIND_BUILDING
BUILDING_GREAT_LIGHTHOUSE,-11962071,KIND_BUILDING
BUILDING_GREAT_ZIMBABWE,-555463471,KIND_BUILDING
BUILDING_GURDWARA,1337390763,KIND_BUILDING
BUILDING_HAGIA_SOPHIA,1326556657,KIND_BUILDING
BUILDING_HANGAR,-425575135,KIND_BUILDING
BUILDING_HANGING_GARDENS,-754251518,KIND_BUILDING
BUILDING_HERMITAGE,870179418,KIND_BUILDING
BUILDING_LIBRARY,-468469791,KIND_BUILDING
BUILDING_LIGHTHOUSE,-46510675,KIND_BUILDING
BUILDING_MADRASA,721445519,KIND_BUILDING
BUILDING_MAHABODHI_TEMPLE,-1902383563,KIND_BUILDING
BUILDING_MARKET,683007456,KIND_BUILDING
BUILDING_MEETING_HOUSE,1666693651,KIND_BUILDING
BUILDING_MILITARY_ACADEMY,779924096,KIND_BUILDING
BUILDING_MONT_ST_MICHEL,-1879205001,KIND_BUILDING
BUILDING_MONUMENT,-2025065568,KIND_BUILDING
BUILDING_MOSQUE,519704801,KIND_BUILDING
BUILDING_MUSEUM_ART,-99886926,KIND_BUILDING
BUILDING_MUSEUM_ARTIFACT,1182236625,KIND_BUILDING
BUILDING_ORACLE,-1242520629,KIND_BUILDING
BUILDING_OXFORD_UNIVERSITY,-80930074,KIND_BUILDING
BUILDING_PAGODA,-2081089922,KIND_BUILDING
BUILDING_PALACE,373747371,KIND_BUILDING
BUILDING_PETRA,949463995,KIND_BUILDING
BUILDING_POTALA_PALACE,-1406392692,KIND_BUILDING
BUILDING_POWER_PLANT,341815444,KIND_BUILDING
BUILDING_PYRAMIDS,-400684735,KIND_BUILDING
BUILDING_RESEARCH_LAB,252566811,KIND_BUILDING
BUILDING_RUHR_VALLEY,-142797319,KIND_BUILDING
BUILDING_SEAPORT,-1681819567,KIND_BUILDING
BUILDING_SEWER,-62084486,KIND_BUILDING
BUILDING_SHIPYARD,-578128686,KIND_BUILDING
BUILDING_SHRINE,-1766198995,KIND_BUILDING
BUILDING_STABLE,1332149948,KIND_BUILDING
BUILDING_STADIUM,-1550374126,KIND_BUILDING
BUILDING_STAR_FORT,1271148420,KIND_BUILDING
BUILDING_STAVE_CHURCH,62730150,KIND_BUILDING
BUILDING_STOCK_EXCHANGE,850496935,KIND_BUILDING
BUILDING_STONEHENGE,1607448319,KIND_BUILDING
BUILDING_STUPA,-1536759516,KIND_BUILDING
BUILDING_SYDNEY_OPERA_HOUSE,-1573911713,KIND_BUILDING
BUILDING_SYNAGOGUE,-1515106611,KIND_BUILDING
BUILDING_TEMPLE,1519892624,KIND_BUILDING
BUILDING_TERRACOTTA_ARMY,-1823450052,KIND_BUILDING
BUILDING_UNIVERSITY,-689809087,KIND_BUILDING
BUILDING_VENETIAN_ARSENAL,-1250840136,KIND_BUILDING
BUILDING_WALLS,806902947,KIND_BUILDING
BUILDING_WAT,-676437392,KIND_BUILDING
BUILDING_WATER_MILL,90525320,KIND_BUILDING
BUILDING_WORKSHOP,1738306535,KIND_BUILDING
BUILDING_ZOO,-879749823,KIND_BUILDING
BUILDING_LARGE_ROCKET,-1949941984,KIND_BUILDING
BUILDING_MEDIUM_ROCKET,-1002741619,KIND_BUILDING
BUILDING_SMALL_ROCKET,-1361878921,KIND_BUILDING
CIVIC_CODE_OF_LAWS,996177632,KIND_CIVIC
CIVIC_CRAFTSMANSHIP,1989179363,KIND_CIVIC
CIVIC_FOREIGN_TRADE,-852517947,KIND_CIVIC
CIVIC_MILITARY_TRADITION,664835803,KIND_CIVIC
CIVIC_STATE_WORKFORCE,-1252565340,KIND_CIVIC
CIVIC_EARLY_EMPIRE,-1606261636,KIND_CIVIC
CIVIC_MYSTICISM,-986587357,KIND_CIVIC
CIVIC_GAMES_RECREATION,2134900406,KIND_CIVIC
CIVIC_POLITICAL_PHILOSOPHY,754578608,KIND_CIVIC
CIVIC_DRAMA_POETRY,917276006,KIND_CIVIC
CIVIC_MILITARY_TRAINING,-1829461023,KIND_CIVIC
CIVIC_DEFENSIVE_TACTICS,-704030789,KIND_CIVIC
CIVIC_RECORDED_HISTORY,-1578582819,KIND_CIVIC
CIVIC_THEOLOGY,-1416320420,KIND_CIVIC
CIVIC_NAVAL_TRADITION,-1633200914,KIND_CIVIC
CIVIC_FEUDALISM,1684343212,KIND_CIVIC
CIVIC_CIVIL_SERVICE,-1792735088,KIND_CIVIC
CIVIC_MERCENARIES,2143647454,KIND_CIVIC
CIVIC_MEDIEVAL_FAIRES,766488402,KIND_CIVIC
CIVIC_GUILDS,-1054607414,KIND_CIVIC
CIVIC_DIVINE_RIGHT,-899212983,KIND_CIVIC
CIVIC_EXPLORATION,-1939414584,KIND_CIVIC
CIVIC_HUMANISM,1327167531,KIND_CIVIC
CIVIC_DIPLOMATIC_SERVICE,1783921794,KIND_CIVIC
CIVIC_REFORMED_CHURCH,-8161462,KIND_CIVIC
CIVIC_MERCANTILISM,-1747176033,KIND_CIVIC
CIVIC_THE_ENLIGHTENMENT,-1959872245,KIND_CIVIC
CIVIC_COLONIALISM,1081052647,KIND_CIVIC
CIVIC_CIVIL_ENGINEERING,-1386623813,KIND_CIVIC
CIVIC_NATIONALISM,-13163855,KIND_CIVIC
CIVIC_OPERA_BALLET,-2132677141,KIND_CIVIC
CIVIC_NATURAL_HISTORY,-1015295921,KIND_CIVIC
CIVIC_SCORCHED_EARTH,-45561249,KIND_CIVIC
CIVIC_URBANIZATION,-277634113,KIND_CIVIC
CIVIC_CAPITALISM,473890009,KIND_CIVIC
CIVIC_CONSERVATION,-1102054385,KIND_CIVIC
CIVIC_MASS_MEDIA,749371362,KIND_CIVIC
CIVIC_MOBILIZATION,2046301204,KIND_CIVIC
CIVIC_NUCLEAR_PROGRAM,-1304929357,KIND_CIVIC
CIVIC_IDEOLOGY,-1953831726,KIND_CIVIC
CIVIC_SUFFRAGE,-2105204867,KIND_CIVIC
CIVIC_TOTALITARIANISM,1418458187,KIND_CIVIC
CIVIC_CLASS_STRUGGLE,-1184728299,KIND_CIVIC
CIVIC_COLD_WAR,-645678962,KIND_CIVIC
CIVIC_PROFESSIONAL_SPORTS,1098710980,KIND_CIVIC
CIVIC_CULTURAL_HERITAGE,290078414,KIND_CIVIC
CIVIC_RAPID_DEPLOYMENT,237967898,KIND_CIVIC
CIVIC_SPACE_RACE,2044483154,KIND_CIVIC
CIVIC_GLOBALIZATION,1679754659,KIND_CIVIC
CIVIC_SOCIAL_MEDIA,160112306,KIND_CIVIC
CIVIC_FUTURE_CIVIC,1024022293,KIND_CIVIC
CIVILIZATION_AMERICA,-1651108180,KIND_CIVILIZATION
CIVILIZATION_ARABIA,-610576740,KIND_CIVILIZATION
CIVILIZATION_BARBARIAN,-1758762461,KIND_CIVILIZATION
CIVILIZATION_BRAZIL,831236679,KIND_CIVILIZATION
CIVILIZATION_CHINA,-913950602,KIND_CIVILIZATION
CIVILIZATION_EGYPT,-1155553852,KIND_CIVILIZATION
CIVILIZATION_ENGLAND,-291706713,KIND_CIVILIZATION
CIVILIZATION_FRANCE,839300051,KIND_CIVILIZATION
CIVILIZATION_GENOA,-768056913,KIND_CIVILIZATION
CIVILIZATION_GERMANY,1618876931,KIND_CIVILIZATION
CIVILIZATION_GREECE,2053970112,KIND_CIVILIZATION
CIVILIZATION_INDIA,-507217249,KIND_CIVILIZATION
CIVILIZATION_JAPAN,-1118925780,KIND_CIVILIZATION
CIVILIZATION_KONGO,1460980677,KIND_CIVILIZATION
CIVILIZATION_NORWAY,826883278,KIND_CIVILIZATION
CIVILIZATION_ROME,-1806906687,KIND_CIVILIZATION
CIVILIZATION_RUSSIA,185445610,KIND_CIVILIZATION
CIVILIZATION_SCYTHIA,747331033,KIND_CIVILIZATION
CIVILIZATION_SPAIN,-316274070,KIND_CIVILIZATION
CIVILIZATION_SUMERIA,-1787782335,KIND_CIVILIZATION
CIVILIZATION_BRUSSELS,-2101932944,KIND_CIVILIZATION
CIVILIZATION_BUENOS_AIRES,-549593626,KIND_CIVILIZATION
CIVILIZATION_GENEVA,1333065310,KIND_CIVILIZATION
CIVILIZATION_HATTUSA,1490631343,KIND_CIVILIZATION
CIVILIZATION_HONG_KONG,-281772887,KIND_CIVILIZATION
CIVILIZATION_JAKARTA,4131898,KIND_CIVILIZATION
CIVILIZATION_JERUSALEM,357080612,KIND_CIVILIZATION
CIVILIZATION_KABUL,1596744955,KIND_CIVILIZATION
CIVILIZATION_KANDY,1748130404,KIND_CIVILIZATION
CIVILIZATION_KUMASI,1044830946,KIND_CIVILIZATION
CIVILIZATION_LA_VENTA,-1594541388,KIND_CIVILIZATION
CIVILIZATION_LISBON,1287702226,KIND_CIVILIZATION
CIVILIZATION_MOHENJO_DARO,-1992743837,KIND_CIVILIZATION
CIVILIZATION_NAN_MADOL,-1860127671,KIND_CIVILIZATION
CIVILIZATION_PRESLAV,-1590856877,KIND_CIVILIZATION
CIVILIZATION_VALLETTA,-215101721,KIND_CIVILIZATION
CIVILIZATION_VILNIUS,1551939635,KIND_CIVILIZATION
CIVILIZATION_YEREVAN,-1895171710,KIND_CIVILIZATION
CIVILIZATION_ZANZIBAR,-409149647,KIND_CIVILIZATION
TRAIT_BARBARIAN,1196846098,KIND_TRAIT
TRAIT_BARBARIAN_BUT_SHOWS_UP_IN_PEDIA,1654126858,KIND_TRAIT
TRAIT_CIVILIZATION_FOUNDING_FATHERS,726737940,KIND_TRAIT
TRAIT_CIVILIZATION_BUILDING_FILM_STUDIO,-1818569378,KIND_TRAIT
TRAIT_CIVILIZATION_LAST_PROPHET,-1750031976,KIND_TRAIT
TRAIT_CIVILIZATION_BUILDING_MADRASA,1090391702,KIND_TRAIT
TRAIT_CIVILIZATION_AMAZON,-1191783348,KIND_TRAIT
TRAIT_CIVILIZATION_DYNASTIC_CYCLE,-151423411,KIND_TRAIT
TRAIT_CIVILIZATION_IMPROVEMENT_GREAT_WALL,-707705894,KIND_TRAIT
TRAIT_CIVILIZATION_ITERU,1688390403,KIND_TRAIT
TRAIT_CIVILIZATION_IMPROVEMENT_SPHINX,1561619321,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_EGYPTIAN_CHARIOT_ARCHER,1221662584,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_CHINESE_CROUCHING_TIGER,407558500,KIND_TRAIT
TRAIT_CIVILIZATION_DOUBLE_ARCHAEOLOGY_SLOTS,-456642753,KIND_TRAIT
TRAIT_CIVILIZATION_IMPROVEMENT_CHATEAU,-2098671750,KIND_TRAIT
TRAIT_CIVILIZATION_IMPERIAL_FREE_CITIES,998806914,KIND_TRAIT
TRAIT_CIVILIZATION_DISTRICT_HANSA,-1366412503,KIND_TRAIT
TRAIT_CIVILIZATION_PLATOS_REPUBLIC,-966524317,KIND_TRAIT
TRAIT_CIVILIZATION_DISTRICT_ACROPOLIS,1631286228,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_GREEK_HOPLITE,1976266676,KIND_TRAIT
TRAIT_CIVILIZATION_DHARMA,-1941838812,KIND_TRAIT
TRAIT_CIVILIZATION_IMPROVEMENT_STEPWELL,469090497,KIND_TRAIT
TRAIT_CIVILIZATION_ADJACENT_DISTRICTS,-1681636772,KIND_TRAIT
TRAIT_CIVILIZATION_BUILDING_ELECTRONICS_FACTORY,-1150249580,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_JAPANESE_SAMURAI,-592114197,KIND_TRAIT
TRAIT_CIVILIZATION_NKISI,-621230928,KIND_TRAIT
TRAIT_CIVILIZATION_MBANZA,-247368753,KIND_TRAIT
TRAIT_CIVILIZATION_BUILDING_STAVE_CHURCH,653164120,KIND_TRAIT
TRAIT_CIVILIZATION_DOUBLE_CULTURE_BUILDINGS,1605644030,KIND_TRAIT
TRAIT_CIVILIZATION_DISTRICT_BATH,179089658,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_ROMAN_LEGION,-405631555,KIND_TRAIT
TRAIT_CIVILIZATION_ALL_ROADS_TO_ROME,1495698826,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_KONGO_SHIELD_BEARER,-2116419301,KIND_TRAIT
TRAIT_CIVILIZATION_MOTHER_RUSSIA,-755107960,KIND_TRAIT
TRAIT_CIVILIZATION_DISTRICT_LAVRA,1344296544,KIND_TRAIT
TRAIT_CIVILIZATION_EXTRA_LIGHT_CAVALRY,-1137421880,KIND_TRAIT
TRAIT_CIVILIZATION_IMPROVEMENT_KURGAN,1007114128,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_SCYTHIAN_HORSE_ARCHER,1438320621,KIND_TRAIT
TRAIT_CIVILIZATION_IMPROVEMENT_MISSION,-2088728865,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_SPANISH_CONQUISTADOR,-77423574,KIND_TRAIT
TRAIT_CIVILIZATION_TREASURE_FLEET,1135776348,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_RUSSIAN_COSSACK,-1936197633,KIND_TRAIT
TRAIT_CIVILIZATION_FIRST_CIVILIZATION,-1713071397,KIND_TRAIT
TRAIT_CIVILIZATION_IMPROVEMENT_ZIGGURAT,-2011605224,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_SUMERIAN_WAR_CART,-434659367,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_INDIAN_VARU,2080687545,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_ENGLISH_SEADOG,1367531378,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_ARABIAN_MAMLUK,-1367130363,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_FRENCH_GARDE_IMPERIALE,-2018541698,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_GERMAN_UBOAT,214850737,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_AMERICAN_P51,-1335365118,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_BRAZILIAN_MINAS_GERAES,-825752584,KIND_TRAIT
TRAIT_CIVILIZATION_WONDER_TOURISM,1039748276,KIND_TRAIT
TRAIT_CIVILIZATION_UNIT_NORWEGIAN_BERSERKER,536013292,KIND_TRAIT
TRAIT_CIVILIZATION_INEXPENSIVE_BUILDERS,2061455776,KIND_TRAIT
TRAIT_CIVILIZATION_BONUS_AGAINST_BARBS,2024166929,KIND_TRAIT
TRAIT_CIVILIZATION_EARLY_OCEAN_NAVIGATION,-123007480,KIND_TRAIT
TRAIT_CIVILIZATION_STREET_CARNIVAL,-1669249478,KIND_TRAIT
TRAIT_CIVILIZATION_ROYAL_NAVY_DOCKYARD,-2060356103,KIND_TRAIT
DEAL_ITEM_GOLD,99290615,KIND_DEAL_ITEM
DEAL_ITEM_RESOURCES,-1069574269,KIND_DEAL_ITEM
DEAL_ITEM_CITIES,-746262857,KIND_DEAL_ITEM
DEAL_ITEM_UNITS,1059848129,KIND_DEAL_ITEM
DEAL_ITEM_AGREEMENTS,-1950382900,KIND_DEAL_ITEM
DEAL_ITEM_GREATWORK,2069453869,KIND_DEAL_ITEM
DEAL_ITEM_CAPTIVE,-1666338544,KIND_DEAL_ITEM
DIFFICULTY_SETTLER,1078608846,KIND_DIFFICULTY
DIFFICULTY_CHIEFTAIN,1329626265,KIND_DIFFICULTY
DIFFICULTY_WARLORD,-966254459,KIND_DIFFICULTY
DIFFICULTY_PRINCE,-179952465,KIND_DIFFICULTY
DIFFICULTY_KING,675933641,KIND_DIFFICULTY
DIFFICULTY_EMPEROR,1499830429,KIND_DIFFICULTY
DIFFICULTY_IMMORTAL,575051378,KIND_DIFFICULTY
DIFFICULTY_DEITY,1543611863,KIND_DIFFICULTY
DIPLO_STATE_ALLIED,153403816,KIND_DIPLOMATIC_STATE
DIPLO_STATE_DECLARED_FRIEND,-1250061412,KIND_DIPLOMATIC_STATE
DIPLO_STATE_FRIENDLY,-1143066237,KIND_DIPLOMATIC_STATE
DIPLO_STATE_NEUTRAL,-575399808,KIND_DIPLOMATIC_STATE
DIPLO_STATE_UNFRIENDLY,1823294455,KIND_DIPLOMATIC_STATE
DIPLO_STATE_DENOUNCED,-1398155031,KIND_DIPLOMATIC_STATE
DIPLO_STATE_WAR,1599151516,KIND_DIPLOMATIC_STATE
DIPLO_STATE_NO_INFLUENCE,1877259354,KIND_DIPLOMATIC_STATE
DIPLO_STATE_INFLUENTIAL,-441103931,KIND_DIPLOMATIC_STATE
DIPLO_STATE_MAX_INFLUENCE,73002122,KIND_DIPLOMATIC_STATE
DIPLO_STATE_AWARE,-1267004641,KIND_DIPLOMATIC_STATE
DIPLO_STATE_PATRON,-1495603630,KIND_DIPLOMATIC_STATE
DIPLO_STATE_PROTECTOR,1631956283,KIND_DIPLOMATIC_STATE
DIPLO_STATE_MINOR_MINOR,1629317196,KIND_DIPLOMATIC_STATE
DIPLOACTION_RESIDENT_EMBASSY,-667497220,KIND_DIPLOMATIC_ACTION
DIPLOACTION_DEMAND_TRIBUTE,64039944,KIND_DIPLOMATIC_ACTION
DIPLOACTION_OPEN_BORDERS,-242352742,KIND_DIPLOMATIC_ACTION
DIPLOACTION_JOINT_WAR,594401930,KIND_DIPLOMATIC_ACTION
DIPLOACTION_REQUEST_ASSISTANCE,-1356730233,KIND_DIPLOMATIC_ACTION
DIPLOACTION_DENOUNCE,-1447437121,KIND_DIPLOMATIC_ACTION
DIPLOACTION_DECLARE_SURPRISE_WAR,458071439,KIND_DIPLOMATIC_ACTION
DIPLOACTION_MAKE_PEACE,547027585,KIND_DIPLOMATIC_ACTION
DIPLOACTION_DIPLOMATIC_DELEGATION,516339376,KIND_DIPLOMATIC_ACTION
DIPLOACTION_ALLIANCE,1764885355,KIND_DIPLOMATIC_ACTION
DIPLOACTION_GRANT_INFLUENCE_TOKEN,-196941372,KIND_DIPLOMATIC_ACTION
DIPLOACTION_GIFT_UNIT,1785201657,KIND_DIPLOMATIC_ACTION
DIPLOACTION_MILITARY_REQUEST,1698628257,KIND_DIPLOMATIC_ACTION
DIPLOACTION_DECLARE_FORMAL_WAR,326752926,KIND_DIPLOMATIC_ACTION
DIPLOACTION_DECLARE_FRIENDSHIP,-426420889,KIND_DIPLOMATIC_ACTION
DIPLOACTION_DECLARE_WAR_MINOR_CIV,-2100994025,KIND_DIPLOMATIC_ACTION
DIPLOACTION_DECLARE_HOLY_WAR,625861866,KIND_DIPLOMATIC_ACTION
DIPLOACTION_DECLARE_LIBERATION_WAR,1024915512,KIND_DIPLOMATIC_ACTION
DIPLOACTION_DECLARE_RECONQUEST_WAR,-1215088390,KIND_DIPLOMATIC_ACTION
DIPLOACTION_PROPOSE_PEACE_DEAL,1928912595,KIND_DIPLOMATIC_ACTION
DIPLOACTION_PROPOSE_TRADE,15407192,KIND_DIPLOMATIC_ACTION
DIPLOACTION_DECLARE_PROTECTORATE_WAR,1240213745,KIND_DIPLOMATIC_ACTION
DIPLOACTION_DECLARE_COLONIAL_WAR,2030581058,KIND_DIPLOMATIC_ACTION
