LeaderType,TraitType
LEADER_MONTEZUMA,TRAIT_LEADER_GIFTS_FOR_TLATOANI
LEADER_MONTEZUMA,TRAIT_LEADER_AGGRESSIVE_MILITARY
LEADER_JAYAVARMAN,TRAIT_LEADER_MONASTERIES_KING
LEADER_JAYAVARMAN,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_JAYAVARMAN,TRAIT_LEADER_RELIGIOUS_MAJOR_CIV
LEADER_GITARJA,TRAIT_LEADER_EXALTED_GODDESS
LEADER_MINOR_CIV_AUCKLAND,MINOR_CIV_AUCKLAND_TRAIT
LEADER_MINOR_CIV_ANTANANARIVO,MINOR_CIV_ANTANANARIVO_TRAIT
LEADER_MINOR_CIV_ARMAGH,MINOR_CIV_ARMAGH_TRAIT
LEADER_MINOR_CIV_GRANADA,MINOR_CIV_GRANADA_TRAIT
LEADER_MINOR_CIV_MUSCAT,MINOR_CIV_MUSCAT_TRAIT
LEADER_MINOR_CIV_PALENQUE,MINOR_CIV_PALENQUE_TRAIT
LEADER_JADWIGA,TRAIT_LEADER_RELIGIOUS_MAJOR_CIV
LEADER_JADWIGA,TRAIT_LEADER_LITHUANIAN_UNION
LEADER_JADWIGA,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_AMANITORE,TRAIT_LEADER_KANDAKE_OF_MEROE
LEADER_AMANITORE,TRAIT_LEADER_SCIENCE_MAJOR_CIV
LEADER_ALEXANDER,TRAIT_LEADER_TO_WORLDS_END
LEADER_ALEXANDER,TRAIT_LEADER_UNIT_HETAIROI
LEADER_ALEXANDER,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_CYRUS,TRAIT_LEADER_FALL_BABYLON
LEADER_ALEXANDER,TRAIT_LEADER_AGGRESSIVE_MILITARY
LEADER_CYRUS,TRAIT_LEADER_AGGRESSIVE_MILITARY
LEADER_JOHN_CURTIN,TRAIT_LEADER_CITADEL_CIVILIZATION
LEADER_JOHN_CURTIN,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_JOHN_CURTIN,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_JOHN_CURTIN,TRAIT_LEADER_SCIENCE_MAJOR_CIV
LEADER_CHANDRAGUPTA,TRAIT_LEADER_ARTHASHASTRA
LEADER_CHANDRAGUPTA,TRAIT_LEADER_AGGRESSIVE_MILITARY
LEADER_ROBERT_THE_BRUCE,TRAIT_LEADER_BANNOCKBURN
LEADER_ROBERT_THE_BRUCE,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_ROBERT_THE_BRUCE,TRAIT_LEADER_SCIENCE_MAJOR_CIV
LEADER_SEONDEOK,TRAIT_LEADER_HWARANG
LEADER_SEONDEOK,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_SEONDEOK,TRAIT_LEADER_SCIENCE_MAJOR_CIV
LEADER_SHAKA,TRAIT_LEADER_AMABUTHO
LEADER_SHAKA,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_SHAKA,TRAIT_LEADER_AGGRESSIVE_MILITARY
LEADER_TAMAR,TRAIT_LEADER_RELIGION_CITY_STATES
LEADER_TAMAR,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_TAMAR,TRAIT_LEADER_RELIGIOUS_MAJOR_CIV
LEADER_POUNDMAKER,TRAIT_LEADER_ALLIANCE_AND_TRADE
LEADER_POUNDMAKER,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_WILHELMINA,TRAIT_RADIO_ORANJE
LEADER_LAUTARO,TRAIT_LEADER_LAUTARO_ABILITY
LEADER_LAUTARO,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_GENGHIS_KHAN,TRAIT_LEADER_GENGHIS_KHAN_ABILITY
LEADER_GENGHIS_KHAN,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_GENGHIS_KHAN,TRAIT_LEADER_AGGRESSIVE_MILITARY
LEADER_TAMAR,TRAIT_LEADER_PURSUE_DIPLOMATIC_VICTORY
LEADER_GORGO,TRAIT_LEADER_AGGRESSIVE_MILITARY
LEADER_HARDRADA,TRAIT_LEADER_AGGRESSIVE_MILITARY
LEADER_FREE_CITIES,TRAIT_LEADER_FREE_CITIES
LEADER_MINOR_CIV_ANTIOCH,MINOR_CIV_ANTIOCH_TRAIT
LEADER_MINOR_CIV_BABYLON,MINOR_CIV_BABYLON_TRAIT
LEADER_MINOR_CIV_CARTHAGE,MINOR_CIV_CARTHAGE_TRAIT
LEADER_MINOR_CIV_JERUSALEM,MINOR_CIV_JERUSALEM_TRAIT
LEADER_MINOR_CIV_PRESLAV,MINOR_CIV_PRESLAV_TRAIT
LEADER_MINOR_CIV_STOCKHOLM,MINOR_CIV_STOCKHOLM_TRAIT
LEADER_MINOR_CIV_VILNIUS,MINOR_CIV_VILNIUS_TRAIT
LEADER_PERICLES,TRAIT_LEADER_PURSUE_DIPLOMATIC_VICTORY
LEADER_T_ROOSEVELT,TRAIT_LEADER_PURSUE_DIPLOMATIC_VICTORY
LEADER_MINOR_CIV_AKKAD,MINOR_CIV_AKKAD_TRAIT
LEADER_MINOR_CIV_BOLOGNA,MINOR_CIV_BOLOGNA_TRAIT
LEADER_MINOR_CIV_CAHOKIA,MINOR_CIV_CAHOKIA_TRAIT
LEADER_MINOR_CIV_CARDIFF,MINOR_CIV_CARDIFF_TRAIT
LEADER_MINOR_CIV_FEZ,MINOR_CIV_FEZ_TRAIT
LEADER_MINOR_CIV_MEXICO_CITY,MINOR_CIV_MEXICO_CITY_TRAIT
LEADER_MINOR_CIV_NAZCA,MINOR_CIV_NAZCA_TRAIT
LEADER_MINOR_CIV_NGAZARGAMU,MINOR_CIV_NGAZARGAMU_TRAIT
LEADER_MINOR_CIV_RAPA_NUI,MINOR_CIV_RAPA_NUI_TRAIT
LEADER_DIDO,TRAIT_LEADER_FOUNDER_CARTHAGE
LEADER_DIDO,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_DIDO,TRAIT_LEADER_EXPANSIONIST
LEADER_ELEANOR_ENGLAND,TRAIT_LEADER_ELEANOR_LOYALTY
LEADER_ELEANOR_FRANCE,TRAIT_LEADER_ELEANOR_LOYALTY
LEADER_ELEANOR_FRANCE,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_KRISTINA,TRAIT_LEADER_BUILDING_QUEENS_BIBLIOTHEQUE
LEADER_KRISTINA,TRAIT_LEADER_KRISTINA_AUTO_THEME
LEADER_KRISTINA,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_KRISTINA,TRAIT_LEADER_PURSUE_DIPLOMATIC_VICTORY
LEADER_KRISTINA,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_KUPE,TRAIT_LEADER_KUPES_VOYAGE
LEADER_KUPE,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_LAURIER,TRAIT_LEADER_LAST_BEST_WEST
LEADER_LAURIER,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_LAURIER,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_LAURIER,TRAIT_LEADER_PURSUE_DIPLOMATIC_VICTORY
LEADER_MATTHIAS_CORVINUS,TRAIT_LEADER_RAVEN_KING
LEADER_MATTHIAS_CORVINUS,TRAIT_LEADER_UNIT_MATTHIAS_BLACK_ARMY
LEADER_MATTHIAS_CORVINUS,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_MATTHIAS_CORVINUS,TRAIT_LEADER_AGGRESSIVE_MILITARY
LEADER_MANSA_MUSA,TRAIT_LEADER_SAHEL_MERCHANTS
LEADER_PACHACUTI,TRAIT_LEADER_PACHACUTI_IMPROVEMENT_MOUNTAIN_ROAD
LEADER_PACHACUTI,TRAIT_LEADER_PACHACUTI_QHAPAQ_NAN
LEADER_PACHACUTI,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_PACHACUTI,TRAIT_LEADER_SCIENCE_MAJOR_CIV
LEADER_SULEIMAN,TRAIT_LEADER_UNIT_SULEIMAN_JANISSARY
LEADER_SULEIMAN,TRAIT_LEADER_SULEIMAN_GOVERNOR
LEADER_SULEIMAN,TRAIT_LEADER_AGGRESSIVE_MILITARY
LEADER_T_ROOSEVELT,TRAIT_LEADER_ANTIQUES_AND_PARKS
LEADER_T_ROOSEVELT_ROUGHRIDER,TRAIT_LEADER_ROOSEVELT_COROLLARY
LEADER_T_ROOSEVELT_ROUGHRIDER,TRAIT_LEADER_UNIT_AMERICAN_ROUGH_RIDER
LEADER_T_ROOSEVELT_ROUGHRIDER,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_T_ROOSEVELT_ROUGHRIDER,TRAIT_LEADER_NONRELIGIOUS_MAJOR_CIV
LEADER_T_ROOSEVELT_ROUGHRIDER,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_T_ROOSEVELT_ROUGHRIDER,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_ELIZABETH,TRAIT_LEADER_ELIZABETH
LEADER_HARALD_ALT,TRAIT_LEADER_HARALD_ALT
LEADER_HARALD_ALT,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_VICTORIA_ALT,TRAIT_LEADER_VICTORIA_ALT
LEADER_VICTORIA_ALT,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_HARALD_ALT,TRAIT_LEADER_AGGRESSIVE_MILITARY
LEADER_ABRAHAM_LINCOLN,TRAIT_LEADER_LINCOLN
LEADER_ABRAHAM_LINCOLN,TRAIT_LEADER_NONRELIGIOUS_MAJOR_CIV
LEADER_ABRAHAM_LINCOLN,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_ABRAHAM_LINCOLN,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_SALADIN_ALT,TRAIT_LEADER_RELIGIOUS_MAJOR_CIV
LEADER_SALADIN_ALT,TRAIT_LEADER_SALADIN_ALT
LEADER_NZINGA_MBANDE,TRAIT_LEADER_NZINGA_MBANDE
LEADER_NZINGA_MBANDE,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_YONGLE,TRAIT_LEADER_SCIENCE_MAJOR_CIV
LEADER_YONGLE,TRAIT_LEADER_YONGLE
LEADER_WU_ZETIAN,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_WU_ZETIAN,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_WU_ZETIAN,TRAIT_LEADER_WU_ZETIAN
LEADER_QIN_ALT,TRAIT_LEADER_QIN
LEADER_QIN_ALT,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_RAMSES,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_RAMSES,TRAIT_LEADER_RAMSES
LEADER_CLEOPATRA_ALT,TRAIT_LEADER_CLEOPATRA_ALT
LEADER_CLEOPATRA_ALT,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_SUNDIATA_KEITA,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_SUNDIATA_KEITA,TRAIT_LEADER_SUNDIATA_KEITA
LEADER_SIMON_BOLIVAR,TRAIT_LEADER_CAMPANA_ADMIRABLE
LEADER_LADY_SIX_SKY,TRAIT_LEADER_MUTAL
LEADER_MINOR_CIV_CAGUANA,MINOR_CIV_CAGUANA_TRAIT
LEADER_MINOR_CIV_HUNZA,MINOR_CIV_HUNZA_TRAIT
LEADER_MINOR_CIV_LAHORE,MINOR_CIV_LAHORE_NIHANG_TRAIT
LEADER_MINOR_CIV_SINGAPORE,MINOR_CIV_SINGAPORE_TRAIT
LEADER_MINOR_CIV_TARUGA,MINOR_CIV_TARUGA_TRAIT
LEADER_MINOR_CIV_VATICAN_CITY,MINOR_CIV_VATICAN_CITY_TRAIT
LEADER_JULIUS_CAESAR,TRAIT_LEADER_CAESAR
LEADER_JULIUS_CAESAR,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_JULIUS_CAESAR,TRAIT_LEADER_AGGRESSIVE_MILITARY
LEADER_AMBIORIX,TRAIT_LEADER_AMBIORIX
LEADER_AMBIORIX,TRAIT_LEADER_AGGRESSIVE_MILITARY
LEADER_BASIL,TRAIT_LEADER_BASIL
LEADER_BASIL,TRAIT_LEADER_UNIT_BYZANTINE_TAGMA
LEADER_KUBLAI_KHAN_CHINA,TRAIT_LEADER_KUBLAI
LEADER_LADY_TRIEU,TRAIT_LEADER_TRIEU
LEADER_KUBLAI_KHAN_MONGOLIA,TRAIT_LEADER_KUBLAI
LEADER_CATHERINE_DE_MEDICI_ALT,TRAIT_LEADER_MAGNIFICENCES
LEADER_CATHERINE_DE_MEDICI_ALT,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_TOKUGAWA,TRAIT_LEADER_TOKUGAWA
LEADER_TOKUGAWA,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_TOKUGAWA,TRAIT_LEADER_SCIENCE_MAJOR_CIV
LEADER_NADER_SHAH,TRAIT_LEADER_NADER_SHAH
LEADER_SULEIMAN_ALT,TRAIT_LEADER_AGGRESSIVE_MILITARY
LEADER_SULEIMAN_ALT,TRAIT_LEADER_SULEIMAN_ALT
LEADER_NADER_SHAH,TRAIT_LEADER_AGGRESSIVE_MILITARY
LEADER_MENELIK,TRAIT_LEADER_MENELIK
LEADER_HAMMURABI,TRAIT_LEADER_HAMMURABI
LEADER_MINOR_CIV_AYUTTHAYA,MINOR_CIV_AYUTTHAYA_TRAIT
LEADER_MINOR_CIV_CHINGUETTI,MINOR_CIV_CHINGUETTI_TRAIT
LEADER_MINOR_CIV_JOHANNESBURG,MINOR_CIV_JOHANNESBURG_TRAIT
LEADER_MINOR_CIV_NALANDA,MINOR_CIV_NALANDA_TRAIT
LEADER_MINOR_CIV_SAMARKAND,MINOR_CIV_SAMARKAND_TRAIT
LEADER_MINOR_CIV_WOLIN,MINOR_CIV_WOLIN_TRAIT
LEADER_GILGAMESH,TRAIT_LEADER_GILGAMESH_HEROES
LEADER_LUDWIG,TRAIT_LEADER_LUDWIG
LEADER_LUDWIG,TRAIT_LEADER_NONRELIGIOUS_MAJOR_CIV
LEADER_LUDWIG,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_LUDWIG,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR
LEADER_LUDWIG,TRAIT_LEADER_CULTURAL_MAJOR_CIV
LEADER_THEODORA,TRAIT_LEADER_THEODORA
LEADER_THEODORA,TRAIT_LEADER_RELIGIOUS_MAJOR_CIV
LEADER_SEJONG,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE
LEADER_SEJONG,TRAIT_LEADER_SCIENCE_MAJOR_CIV
LEADER_SEJONG,TRAIT_LEADER_SEJONG
LEADER_JOAO_III,TRAIT_LEADER_JOAO_III
