NamedVolcanoType,Name
NAMED_VOLCANO_OJOS_DEL_SALADO,LOC_NAMED_VOLCANO_OJOS_DEL_SALADO_NAME
NAMED_VOLCANO_OSTRZYCA,LOC_NAMED_VOLCANO_OSTRZYCA_NAME
NAMED_VOLCANO_PAEKTU,LOC_NAMED_VOLCANO_PAEKTU_NAME
NAMED_VOLCANO_PELEE,LOC_NAMED_VOLCANO_PELEE_NAME
NAMED_VOLCANO_PHANOM_RUNG_VOLCANO,LOC_NAMED_VOLCANO_PHANOM_RUNG_VOLCANO_NAME
NAMED_VOLCANO_PHLEGRAEAN_FIELDS,LOC_NAMED_VOLCANO_PHLEGRAEAN_FIELDS_NAME
NAMED_VOLCANO_PICO_DO_CABUGI,LOC_NAMED_VOLCANO_PICO_DO_CABUGI_NAME
NAMED_VOLCANO_PIHANGA,LOC_NAMED_VOLCANO_PIHANGA_NAME
NAMED_VOLCANO_PILLANZEGUN,LOC_NAMED_VOLCANO_PILLANZEGUN_NAME
NAMED_VOLCANO_PINATUBO,LOC_NAMED_VOLCANO_PINATUBO_NAME
NAMED_VOLCANO_POPOCATEPETL,LOC_NAMED_VOLCANO_POPOCATEPETL_NAME
NAMED_VOLCANO_PUY_DE_DOME,LOC_NAMED_VOLCANO_PUY_DE_DOME_NAME
NAMED_VOLCANO_QUIZAPU,LOC_NAMED_VOLCANO_QUIZAPU_NAME
NAMED_VOLCANO_QURUPUNA,LOC_NAMED_VOLCANO_QURUPUNA_NAME
NAMED_VOLCANO_RAINIER,LOC_NAMED_VOLCANO_RAINIER_NAME
NAMED_VOLCANO_RALLATE_VOLCANO,LOC_NAMED_VOLCANO_RALLATE_VOLCANO_NAME
NAMED_VOLCANO_RANGITOTO,LOC_NAMED_VOLCANO_RANGITOTO_NAME
NAMED_VOLCANO_RUAPEHU,LOC_NAMED_VOLCANO_RUAPEHU_NAME
NAMED_VOLCANO_RUCAPILLAN,LOC_NAMED_VOLCANO_RUCAPILLAN_NAME
NAMED_VOLCANO_SAHAND,LOC_NAMED_VOLCANO_SAHAND_NAME
NAMED_VOLCANO_SAINT_HELENS,LOC_NAMED_VOLCANO_SAINT_HELENS_NAME
NAMED_VOLCANO_SAKURAJIMA,LOC_NAMED_VOLCANO_SAKURAJIMA_NAME
NAMED_VOLCANO_SANTA_MARIA,LOC_NAMED_VOLCANO_SANTA_MARIA_NAME
NAMED_VOLCANO_SAWANQAYA,LOC_NAMED_VOLCANO_SAWANQAYA_NAME
NAMED_VOLCANO_SCENERY,LOC_NAMED_VOLCANO_SCENERY_NAME
NAMED_VOLCANO_SEMERU,LOC_NAMED_VOLCANO_SEMERU_NAME
NAMED_VOLCANO_SHIVELUCH,LOC_NAMED_VOLCANO_SHIVELUCH_NAME
NAMED_VOLCANO_SOLLIPULLI,LOC_NAMED_VOLCANO_SOLLIPULLI_NAME
NAMED_VOLCANO_SOUFRIERE,LOC_NAMED_VOLCANO_SOUFRIERE_NAME
NAMED_VOLCANO_STROMBOLI,LOC_NAMED_VOLCANO_STROMBOLI_NAME
NAMED_VOLCANO_TAAL,LOC_NAMED_VOLCANO_TAAL_NAME
NAMED_VOLCANO_TAMBORA,LOC_NAMED_VOLCANO_TAMBORA_NAME
NAMED_VOLCANO_TARAWERA,LOC_NAMED_VOLCANO_TARAWERA_NAME
NAMED_VOLCANO_TAUPO,LOC_NAMED_VOLCANO_TAUPO_NAME
NAMED_VOLCANO_TEIDE,LOC_NAMED_VOLCANO_TEIDE_NAME
NAMED_VOLCANO_THERA,LOC_NAMED_VOLCANO_THERA_NAME
NAMED_VOLCANO_TSEAX_CONE,LOC_NAMED_VOLCANO_TSEAX_CONE_NAME
NAMED_VOLCANO_ULAWUN,LOC_NAMED_VOLCANO_ULAWUN_NAME
NAMED_VOLCANO_UNDARA_VOLCANO,LOC_NAMED_VOLCANO_UNDARA_VOLCANO_NAME
NAMED_VOLCANO_UNZEN,LOC_NAMED_VOLCANO_UNZEN_NAME
NAMED_VOLCANO_UWINAS,LOC_NAMED_VOLCANO_UWINAS_NAME
NAMED_VOLCANO_VULSINI,LOC_NAMED_VOLCANO_VULSINI_NAME
NAMED_VOLCANO_WHAKAARI,LOC_NAMED_VOLCANO_WHAKAARI_NAME
NAMED_VOLCANO_YAK_LOUM,LOC_NAMED_VOLCANO_YAK_LOUM_NAME
NAMED_VOLCANO_YELLOWSTONE,LOC_NAMED_VOLCANO_YELLOWSTONE_NAME
NAMED_VOLCANO_ZUIDWAL_VOLCANO,LOC_NAMED_VOLCANO_ZUIDWAL_VOLCANO_NAME
NAMED_VOLCANO_CHIMBORAZO,LOC_NAMED_VOLCANO_CHIMBORAZO_NAME
NAMED_VOLCANO_VOLCAN_PURACE,LOC_NAMED_VOLCANO_VOLCAN_PURACE_NAME
NAMED_VOLCANO_NEVADO_DEL_TOLIMA,LOC_NAMED_VOLCANO_NEVADO_DEL_TOLIMA_NAME
NAMED_VOLCANO_VOLCAN_COTOPAXI,LOC_NAMED_VOLCANO_VOLCAN_COTOPAXI_NAME
NAMED_VOLCANO_GUAGUA_PICHINCHA,LOC_NAMED_VOLCANO_GUAGUA_PICHINCHA_NAME
NAMED_VOLCANO_TUNGURAHUA,LOC_NAMED_VOLCANO_TUNGURAHUA_NAME
NAMED_VOLCANO_HUNAHPU,LOC_NAMED_VOLCANO_HUNAHPU_NAME
NAMED_VOLCANO_VOLCAN_ATITLAN,LOC_NAMED_VOLCANO_VOLCAN_ATITLAN_NAME
NAMED_VOLCANO_VOLCAN_TOLIMAN,LOC_NAMED_VOLCANO_VOLCAN_TOLIMAN_NAME
NAMED_VOLCANO_PACAYA,LOC_NAMED_VOLCANO_PACAYA_NAME
NAMED_VOLCANO_TOROENG_PRONG,LOC_NAMED_VOLCANO_TOROENG_PRONG_NAME
NAMED_VOLCANO_BAS_DONG_NAI,LOC_NAMED_VOLCANO_BAS_DONG_NAI_NAME
NAMED_VOLCANO_HAUT_DONG_NAI,LOC_NAMED_VOLCANO_HAUT_DONG_NAI_NAME
NAMED_VOLCANO_MOUNT_ALAYTA,LOC_NAMED_VOLCANO_MOUNT_ALAYTA_NAME
NAMED_VOLCANO_DABBAHU_VOLCANO,LOC_NAMED_VOLCANO_DABBAHU_VOLCANO_NAME
NAMED_VOLCANO_DALLOL_VOLCANO,LOC_NAMED_VOLCANO_DALLOL_VOLCANO_NAME
NAMED_VOLCANO_MOUNT_FENTALE,LOC_NAMED_VOLCANO_MOUNT_FENTALE_NAME
NAMED_VOLCANO_KONE,LOC_NAMED_VOLCANO_KONE_NAME
NAMED_VOLCANO_MANDA_HARARO,LOC_NAMED_VOLCANO_MANDA_HARARO_NAME
NAMED_VOLCANO_ALU_DALAFILLA,LOC_NAMED_VOLCANO_ALU_DALAFILLA_NAME
NAMED_VOLCANO_AGUA_DE_PAU_MASSIF,LOC_NAMED_VOLCANO_AGUA_DE_PAU_MASSIF_NAME
NAMED_VOLCANO_CAPELINHOS_VOLCANO,LOC_NAMED_VOLCANO_CAPELINHOS_VOLCANO_NAME
NAMED_VOLCANO_FURNAS_VOLCANO,LOC_NAMED_VOLCANO_FURNAS_VOLCANO_NAME
NAMED_VOLCANO_MOUNT_PICO,LOC_NAMED_VOLCANO_MOUNT_PICO_NAME
NAMED_VOLCANO_SETE_CIDADES_MASSIF,LOC_NAMED_VOLCANO_SETE_CIDADES_MASSIF_NAME
