GovernorPromotionType,Name,Description,Level,Column,BaseAbility
GOVERNOR_PROMOTION_CARDINAL_CITADEL_OF_GOD,LOC_GOVERNOR_PROMOTION_CARDINAL_CITADEL_OF_GOD_NAME,LOC_GOVERNOR_PROMOTION_CARDINAL_CITADEL_OF_GOD_DESCRIPTION,2,1,0
GOVERNOR_PROMOTION_CARDINAL_PATRON_SAINT,LOC_GOVERNOR_PROMOTION_CARDINAL_PATRON_SAINT_NAME,LOC_GOVERNOR_PROMOTION_CARDINAL_PATRON_SAINT_DESCRIPTION,3,0,0
GOVERNOR_PROMOTION_CARDINAL_DIVINE_ARCHITECT,LOC_GOVERNOR_PROMOTION_CARDINAL_DIVINE_ARCHITECT_NAME,LOC_GOVERNOR_PROMOTION_CARDINAL_DIVINE_ARCHITECT_DESCRIPTION,3,2,0
GOVERNOR_PROMOTION_RESOURCE_MANAGER_GROUNDBREAKER,LOC_GOVERNOR_PROMOTION_RESOURCE_MANAGER_GROUNDBREAKER_NAME,LOC_GOVERNOR_PROMOTION_RESOURCE_MANAGER_GROUNDBREAKER_DESCRIPTION,0,1,1
GOVERNOR_PROMOTION_RESOURCE_MANAGER_SURPLUS_LOGISTICS,LOC_GOVERNOR_PROMOTION_RESOURCE_MANAGER_SURPLUS_LOGISTICS_NAME,LOC_GOVERNOR_PROMOTION_RESOURCE_MANAGER_SURPLUS_LOGISTICS_DESCRIPTION,1,0,0
GOVERNOR_PROMOTION_RESOURCE_MANAGER_EXPEDITION,LOC_GOVERNOR_PROMOTION_RESOURCE_MANAGER_EXPEDITION_NAME,LOC_GOVERNOR_PROMOTION_RESOURCE_MANAGER_EXPEDITION_DESCRIPTION,1,2,0
GOVERNOR_PROMOTION_RESOURCE_MANAGER_INDUSTRIALIST,LOC_GOVERNOR_PROMOTION_RESOURCE_MANAGER_INDUSTRIALIST_NAME,LOC_GOVERNOR_PROMOTION_RESOURCE_MANAGER_INDUSTRIALIST_DESCRIPTION,2,0,0
GOVERNOR_PROMOTION_RESOURCE_MANAGER_BLACK_MARKETEER,LOC_GOVERNOR_PROMOTION_RESOURCE_MANAGER_BLACK_MARKETEER_NAME,LOC_GOVERNOR_PROMOTION_RESOURCE_MANAGER_BLACK_MARKETEER_DESCRIPTION,2,2,0
GOVERNOR_PROMOTION_RESOURCE_MANAGER_VERTICAL_INTEGRATION,LOC_GOVERNOR_PROMOTION_RESOURCE_MANAGER_VERTICAL_INTEGRATION_NAME,LOC_GOVERNOR_PROMOTION_RESOURCE_MANAGER_VERTICAL_INTEGRATION_DESCRIPTION,3,1,0
GOVERNOR_PROMOTION_BUILDER_GUILDMASTER,LOC_GOVERNOR_PROMOTION_BUILDER_GUILDMASTER_NAME,LOC_GOVERNOR_PROMOTION_BUILDER_GUILDMASTER_DESCRIPTION,0,1,1
GOVERNOR_PROMOTION_ZONING_COMMISSIONER,LOC_GOVERNOR_PROMOTION_ZONING_COMMISSIONER_NAME,LOC_GOVERNOR_PROMOTION_ZONING_COMMISSIONER_DESCRIPTION,1,0,0
GOVERNOR_PROMOTION_AQUACULTURE,LOC_GOVERNOR_PROMOTION_AQUACULTURE_NAME,LOC_GOVERNOR_PROMOTION_AQUACULTURE_DESCRIPTION,1,2,0
GOVERNOR_PROMOTION_REINFORCED_INFRASTRUCTURE,LOC_GOVERNOR_PROMOTION_REINFORCED_INFRASTRUCTURE_NAME,LOC_GOVERNOR_PROMOTION_REINFORCED_INFRASTRUCTURE_DESCRIPTION,2,0,0
GOVERNOR_PROMOTION_WATER_WORKS,LOC_GOVERNOR_PROMOTION_WATER_WORKS_NAME,LOC_GOVERNOR_PROMOTION_WATER_WORKS_DESCRIPTION,2,2,0
GOVERNOR_PROMOTION_PARKS_RECREATION,LOC_GOVERNOR_PROMOTION_PARKS_RECREATION_NAME,LOC_GOVERNOR_PROMOTION_PARKS_RECREATION_DESCRIPTION,3,1,0
GOVERNOR_PROMOTION_EDUCATOR_LIBRARIAN,LOC_GOVERNOR_PROMOTION_EDUCATOR_LIBRARIAN_NAME,LOC_GOVERNOR_PROMOTION_EDUCATOR_LIBRARIAN_DESCRIPTION,0,1,1
GOVERNOR_PROMOTION_EDUCATOR_CONNOISSEUR,LOC_GOVERNOR_PROMOTION_EDUCATOR_CONNOISSEUR_NAME,LOC_GOVERNOR_PROMOTION_EDUCATOR_CONNOISSEUR_DESCRIPTION,1,0,0
GOVERNOR_PROMOTION_EDUCATOR_RESEARCHER,LOC_GOVERNOR_PROMOTION_EDUCATOR_RESEARCHER_NAME,LOC_GOVERNOR_PROMOTION_EDUCATOR_RESEARCHER_DESCRIPTION,1,2,0
GOVERNOR_PROMOTION_EDUCATOR_GRANTS,LOC_GOVERNOR_PROMOTION_EDUCATOR_GRANTS_NAME,LOC_GOVERNOR_PROMOTION_EDUCATOR_GRANTS_DESCRIPTION,2,1,0
GOVERNOR_PROMOTION_MERCHANT_CURATOR,LOC_GOVERNOR_PROMOTION_MERCHANT_CURATOR_NAME,LOC_GOVERNOR_PROMOTION_MERCHANT_CURATOR_DESCRIPTION,3,0,0
GOVERNOR_PROMOTION_EDUCATOR_SPACE_INITIATIVE,LOC_GOVERNOR_PROMOTION_EDUCATOR_SPACE_INITIATIVE_NAME,LOC_GOVERNOR_PROMOTION_EDUCATOR_SPACE_INITIATIVE_DESCRIPTION,3,2,0
GOVERNOR_PROMOTION_MERCHANT_LAND_ACQUISITION,LOC_GOVERNOR_PROMOTION_MERCHANT_LAND_ACQUISITION_NAME,LOC_GOVERNOR_PROMOTION_MERCHANT_LAND_ACQUISITION_DESCRIPTION,0,1,1
GOVERNOR_PROMOTION_MERCHANT_HARBORMASTER,LOC_GOVERNOR_PROMOTION_MERCHANT_HARBORMASTER_NAME,LOC_GOVERNOR_PROMOTION_MERCHANT_HARBORMASTER_DESCRIPTION,1,0,0
GOVERNOR_PROMOTION_MERCHANT_FORESTRY_MANAGEMENT,LOC_GOVERNOR_PROMOTION_MERCHANT_FORESTRY_MANAGEMENT_NAME,LOC_GOVERNOR_PROMOTION_MERCHANT_FORESTRY_MANAGEMENT_DESCRIPTION,1,2,0
GOVERNOR_PROMOTION_MERCHANT_TAX_COLLECTOR,LOC_GOVERNOR_PROMOTION_MERCHANT_TAX_COLLECTOR_NAME,LOC_GOVERNOR_PROMOTION_MERCHANT_TAX_COLLECTOR_DESCRIPTION,2,1,0
GOVERNOR_PROMOTION_MERCHANT_CONTRACTOR,LOC_GOVERNOR_PROMOTION_MERCHANT_CONTRACTOR_NAME,LOC_GOVERNOR_PROMOTION_MERCHANT_CONTRACTOR_DESCRIPTION,3,0,0
GOVERNOR_PROMOTION_MERCHANT_RENEWABLE_ENERGY,LOC_GOVERNOR_PROMOTION_MERCHANT_RENEWABLE_ENERGY_NAME,LOC_GOVERNOR_PROMOTION_MERCHANT_RENEWABLE_ENERGY_DESCRIPTION,3,2,0
GOVERNOR_PROMOTION_PASHA,LOC_GOVERNOR_PROMOTION_PASHA_NAME,LOC_GOVERNOR_PROMOTION_PASHA_DESCRIPTION,0,1,1
GOVERNOR_PROMOTION_HEAD_FALCONER,LOC_GOVERNOR_PROMOTION_HEAD_FALCONER_NAME,LOC_GOVERNOR_PROMOTION_HEAD_FALCONER_DESCRIPTION,1,0,0
GOVERNOR_PROMOTION_SERASKER,LOC_GOVERNOR_PROMOTION_SERASKER_NAME,LOC_GOVERNOR_PROMOTION_SERASKER_DESCRIPTION,1,2,0
GOVERNOR_PROMOTION_KHASS_ODA_BASHI,LOC_GOVERNOR_PROMOTION_KHASS_ODA_BASHI_NAME,LOC_GOVERNOR_PROMOTION_KHASS_ODA_BASHI_DESCRIPTION,2,0,0
GOVERNOR_PROMOTION_CAPOU_AGHA,LOC_GOVERNOR_PROMOTION_CAPOU_AGHA_NAME,LOC_GOVERNOR_PROMOTION_CAPOU_AGHA_DESCRIPTION,2,2,0
GOVERNOR_PROMOTION_GRAND_VISIER,LOC_GOVERNOR_PROMOTION_GRAND_VISIER_NAME,LOC_GOVERNOR_PROMOTION_GRAND_VISIER_DESCRIPTION,3,1,0
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_1,LOC_GOVERNOR_PROMOTION_OWLS_OF_MINERVA_1_NAME,LOC_GOVERNOR_PROMOTION_OWLS_OF_MINERVA_1_DESCRIPTION,0,1,1
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_2,LOC_GOVERNOR_PROMOTION_OWLS_OF_MINERVA_2_NAME,LOC_GOVERNOR_PROMOTION_OWLS_OF_MINERVA_2_DESCRIPTION,1,1,0
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_3,LOC_GOVERNOR_PROMOTION_OWLS_OF_MINERVA_3_NAME,LOC_GOVERNOR_PROMOTION_OWLS_OF_MINERVA_3_DESCRIPTION,2,1,0
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_4,LOC_GOVERNOR_PROMOTION_OWLS_OF_MINERVA_4_NAME,LOC_GOVERNOR_PROMOTION_OWLS_OF_MINERVA_4_DESCRIPTION,3,1,0
GOVERNOR_PROMOTION_HERMETIC_ORDER_1,LOC_GOVERNOR_PROMOTION_HERMETIC_ORDER_1_NAME,LOC_GOVERNOR_PROMOTION_HERMETIC_ORDER_1_DESCRIPTION,0,1,1
GOVERNOR_PROMOTION_HERMETIC_ORDER_2,LOC_GOVERNOR_PROMOTION_HERMETIC_ORDER_2_NAME,LOC_GOVERNOR_PROMOTION_HERMETIC_ORDER_2_DESCRIPTION,1,1,0
GOVERNOR_PROMOTION_HERMETIC_ORDER_3,LOC_GOVERNOR_PROMOTION_HERMETIC_ORDER_3_NAME,LOC_GOVERNOR_PROMOTION_HERMETIC_ORDER_3_DESCRIPTION,2,1,0
GOVERNOR_PROMOTION_HERMETIC_ORDER_4,LOC_GOVERNOR_PROMOTION_HERMETIC_ORDER_4_NAME,LOC_GOVERNOR_PROMOTION_HERMETIC_ORDER_4_DESCRIPTION,3,1,0
GOVERNOR_PROMOTION_VOIDSINGERS_1,LOC_GOVERNOR_PROMOTION_VOIDSINGERS_1_NAME,LOC_GOVERNOR_PROMOTION_VOIDSINGERS_1_DESCRIPTION,0,1,1
GOVERNOR_PROMOTION_VOIDSINGERS_2,LOC_GOVERNOR_PROMOTION_VOIDSINGERS_2_NAME,LOC_GOVERNOR_PROMOTION_VOIDSINGERS_2_DESCRIPTION,1,1,0
GOVERNOR_PROMOTION_VOIDSINGERS_3,LOC_GOVERNOR_PROMOTION_VOIDSINGERS_3_NAME,LOC_GOVERNOR_PROMOTION_VOIDSINGERS_3_DESCRIPTION,2,1,0
GOVERNOR_PROMOTION_VOIDSINGERS_4,LOC_GOVERNOR_PROMOTION_VOIDSINGERS_4_NAME,LOC_GOVERNOR_PROMOTION_VOIDSINGERS_4_DESCRIPTION,3,1,0
GOVERNOR_PROMOTION_SANGUINE_PACT_1,LOC_GOVERNOR_PROMOTION_SANGUINE_PACT_1_NAME,LOC_GOVERNOR_PROMOTION_SANGUINE_PACT_1_DESCRIPTION,0,1,1
GOVERNOR_PROMOTION_SANGUINE_PACT_2,LOC_GOVERNOR_PROMOTION_SANGUINE_PACT_2_NAME,LOC_GOVERNOR_PROMOTION_SANGUINE_PACT_2_DESCRIPTION,1,1,0
GOVERNOR_PROMOTION_SANGUINE_PACT_3,LOC_GOVERNOR_PROMOTION_SANGUINE_PACT_3_NAME,LOC_GOVERNOR_PROMOTION_SANGUINE_PACT_3_DESCRIPTION,2,1,0
GOVERNOR_PROMOTION_SANGUINE_PACT_4,LOC_GOVERNOR_PROMOTION_SANGUINE_PACT_4_NAME,LOC_GOVERNOR_PROMOTION_SANGUINE_PACT_4_DESCRIPTION,3,1,0
