NamedSeaType,CivilizationType
NAMED_SEA_BALTIC_SEA,CIVILIZATION_RUSSIA
NAMED_SEA_BALTIC_SEA,CIVILIZATION_GERMANY
NAMED_SEA_BAY_OF_BENGAL,CIVILIZATION_INDIA
NAMED_SEA_BAY_OF_BISCAY,CIVILIZATION_SPAIN
NAMED_SEA_BAY_OF_BISCAY,CIVILIZATION_FRANCE
NAMED_SEA_BAY_OF_FUNDY,CIVILIZATION_AMERICA
NAMED_SEA_BAY_OF_GIBRALTAR,CIVILIZATION_SPAIN
NAMED_SEA_BAY_OF_MECKLENBURG,CIVILIZATION_GERMANY
NAMED_SEA_BAY_OF_SANTANDER,CIVILIZATION_SPAIN
NAMED_SEA_BEAUFORT_SEA,CIVILIZATION_AMERICA
NAMED_SEA_BERING_SEA,CIVILIZATION_RUSSIA
NAMED_SEA_BERING_SEA,CIVILIZATION_AMERICA
NAMED_SEA_BLACK_SEA,CIVILIZATION_SCYTHIA
NAMED_SEA_BLACK_SEA,CIVILIZATION_RUSSIA
NAMED_SEA_BO_HAI,CIVILIZATION_CHINA
NAMED_SEA_BRACKLESHAM_BAY,CIVILIZATION_ENGLAND
NAMED_SEA_BRIDGWATER_BAY,CIVILIZATION_ENGLAND
NAMED_SEA_BRISTOL_CHANNEL,CIVILIZATION_ENGLAND
NAMED_SEA_CASPIAN_SEA,CIVILIZATION_RUSSIA
NAMED_SEA_CASPIAN_SEA,CIVILIZATION_SCYTHIA
NAMED_SEA_CELTIC_SEA,CIVILIZATION_FRANCE
NAMED_SEA_CELTIC_SEA,CIVILIZATION_ENGLAND
NAMED_SEA_CHESAPEAKE_BAY,CIVILIZATION_AMERICA
NAMED_SEA_CHUKCHI_SEA,CIVILIZATION_RUSSIA
NAMED_SEA_CHUKCHI_SEA,CIVILIZATION_AMERICA
NAMED_SEA_DOLLART,CIVILIZATION_GERMANY
NAMED_SEA_EAST_CHINA_SEA,CIVILIZATION_CHINA
NAMED_SEA_EAST_CHINA_SEA,CIVILIZATION_JAPAN
NAMED_SEA_EAST_SIBERIAN_SEA,CIVILIZATION_RUSSIA
NAMED_SEA_ENGLISH_CHANNEL,CIVILIZATION_FRANCE
NAMED_SEA_ENGLISH_CHANNEL,CIVILIZATION_ENGLAND
NAMED_SEA_FLENSBURG_FIRTH,CIVILIZATION_GERMANY
NAMED_SEA_FOUL_BAY,CIVILIZATION_EGYPT
NAMED_SEA_GENKAI_SEA,CIVILIZATION_JAPAN
NAMED_SEA_GERMAN_BIGHT,CIVILIZATION_GERMANY
NAMED_SEA_GREENLAND_SEA,CIVILIZATION_NORWAY
NAMED_SEA_GUANABARA_BAY,CIVILIZATION_BRAZIL
NAMED_SEA_GULF_OF_ADEN,CIVILIZATION_ARABIA
NAMED_SEA_GULF_OF_ALASKA,CIVILIZATION_AMERICA
NAMED_SEA_GULF_OF_AQABA,CIVILIZATION_ARABIA
NAMED_SEA_GULF_OF_AQABA,CIVILIZATION_EGYPT
NAMED_SEA_GULF_OF_CADIZ,CIVILIZATION_SPAIN
NAMED_SEA_GULF_OF_CORINTH,CIVILIZATION_GREECE
NAMED_SEA_GULF_OF_FINLAND,CIVILIZATION_RUSSIA
NAMED_SEA_GULF_OF_GUINEA,CIVILIZATION_KONGO
NAMED_SEA_GULF_OF_LION,CIVILIZATION_FRANCE
NAMED_SEA_GULF_OF_MANNAR,CIVILIZATION_INDIA
NAMED_SEA_GULF_OF_MEXICO,CIVILIZATION_AMERICA
NAMED_SEA_GULF_OF_MORBIHAN,CIVILIZATION_FRANCE
NAMED_SEA_GULF_OF_OMAN,CIVILIZATION_ARABIA
NAMED_SEA_GULF_OF_ROSES,CIVILIZATION_SPAIN
NAMED_SEA_GULF_OF_SAINT_LAWRENCE,CIVILIZATION_AMERICA
NAMED_SEA_GULF_OF_SUEZ,CIVILIZATION_EGYPT
NAMED_SEA_GULF_OF_TONKIN,CIVILIZATION_CHINA
NAMED_SEA_GULF_OF_VALENCIA,CIVILIZATION_SPAIN
NAMED_SEA_HARDANGERFJORDEN,CIVILIZATION_NORWAY
NAMED_SEA_HELIGOLAND_BIGHT,CIVILIZATION_GERMANY
NAMED_SEA_IONIAN_SEA,CIVILIZATION_GREECE
NAMED_SEA_IONIAN_SEA,CIVILIZATION_ROME
NAMED_SEA_IRISH_SEA,CIVILIZATION_ENGLAND
NAMED_SEA_JADE_BIGHT,CIVILIZATION_GERMANY
NAMED_SEA_KARA_SEA,CIVILIZATION_RUSSIA
NAMED_SEA_LAKSHADWEEP_SEA,CIVILIZATION_INDIA
NAMED_SEA_LAPTEV_SEA,CIVILIZATION_RUSSIA
NAMED_SEA_LIGURIAN_SEA,CIVILIZATION_ROME
NAMED_SEA_LIGURIAN_SEA,CIVILIZATION_FRANCE
NAMED_SEA_MASSACHUSETTS_BAY,CIVILIZATION_AMERICA
NAMED_SEA_MEDITERRANEAN_SEA,CIVILIZATION_EGYPT
NAMED_SEA_MEDITERRANEAN_SEA,CIVILIZATION_SPAIN
NAMED_SEA_MEDITERRANEAN_SEA,CIVILIZATION_ARABIA
NAMED_SEA_MEDITERRANEAN_SEA,CIVILIZATION_GREECE
NAMED_SEA_MEDITERRANEAN_SEA,CIVILIZATION_ROME
NAMED_SEA_MEDITERRANEAN_SEA,CIVILIZATION_FRANCE
NAMED_SEA_MONT_SAINT_MICHEL_BAY,CIVILIZATION_FRANCE
NAMED_SEA_MORECAMBY_BAY,CIVILIZATION_ENGLAND
NAMED_SEA_MUTSU_BAY,CIVILIZATION_JAPAN
NAMED_SEA_NORDFRIESISCHES_WATTENMEER,CIVILIZATION_GERMANY
NAMED_SEA_NORTH_SEA,CIVILIZATION_NORWAY
NAMED_SEA_NORTH_SEA,CIVILIZATION_ENGLAND
NAMED_SEA_NORTH_SEA,CIVILIZATION_FRANCE
NAMED_SEA_NORTH_SEA,CIVILIZATION_GERMANY
NAMED_SEA_NORWEGIAN_SEA,CIVILIZATION_NORWAY
NAMED_SEA_PERSIAN_GULF,CIVILIZATION_SUMERIA
NAMED_SEA_PERSIAN_GULF,CIVILIZATION_ARABIA
NAMED_SEA_PHILIPPINE_SEA,CIVILIZATION_JAPAN
NAMED_SEA_RED_SEA,CIVILIZATION_ARABIA
NAMED_SEA_RED_SEA,CIVILIZATION_EGYPT
NAMED_SEA_SAGAMI_BAY,CIVILIZATION_JAPAN
NAMED_SEA_SAN_FRANCISCO_BAY,CIVILIZATION_AMERICA
NAMED_SEA_SARONIC_GULF,CIVILIZATION_GREECE
NAMED_SEA_SEA_OF_AZOV,CIVILIZATION_SCYTHIA
NAMED_SEA_SEA_OF_CRETE,CIVILIZATION_GREECE
NAMED_SEA_SEA_OF_HYUGA,CIVILIZATION_JAPAN
NAMED_SEA_SEA_OF_JAPAN,CIVILIZATION_JAPAN
NAMED_SEA_SEA_OF_JAPAN,CIVILIZATION_RUSSIA
NAMED_SEA_SEA_OF_OKHOTSK,CIVILIZATION_JAPAN
NAMED_SEA_SEA_OF_OKHOTSK,CIVILIZATION_RUSSIA
NAMED_SEA_SETO_SEA,CIVILIZATION_JAPAN
NAMED_SEA_SOGNEFJORDEN,CIVILIZATION_NORWAY
NAMED_SEA_SOLWAY_FIRTH,CIVILIZATION_ENGLAND
NAMED_SEA_SOUTH_CHINA_SEA,CIVILIZATION_CHINA
NAMED_SEA_STORFJORDEN,CIVILIZATION_NORWAY
NAMED_SEA_THE_WASH,CIVILIZATION_ENGLAND
NAMED_SEA_TRONDHEIMSFJORDEN,CIVILIZATION_NORWAY
NAMED_SEA_TYRRHENIAN_SEA,CIVILIZATION_ROME
NAMED_SEA_VESTFJORDEN,CIVILIZATION_NORWAY
NAMED_SEA_WADDEN_SEA,CIVILIZATION_GERMANY
NAMED_SEA_WHITE_SEA,CIVILIZATION_RUSSIA
NAMED_SEA_YATSUSHIRO_SEA,CIVILIZATION_JAPAN
NAMED_SEA_YELLOW_SEA,CIVILIZATION_CHINA
NAMED_SEA_ADRIATIC_SEA,CIVILIZATION_HUNGARY
NAMED_SEA_AEGEAN_SEA,CIVILIZATION_OTTOMAN
NAMED_SEA_ALBORAN_SEA,CIVILIZATION_PHOENICIA
NAMED_SEA_BAFFIN_BAY,CIVILIZATION_CANADA
NAMED_SEA_BALTIC_SEA,CIVILIZATION_SWEDEN
NAMED_SEA_BAY_OF_ARGUIN,CIVILIZATION_MALI
NAMED_SEA_BAY_OF_BEIRUT,CIVILIZATION_PHOENICIA
NAMED_SEA_BAY_OF_FUNDY,CIVILIZATION_CANADA
NAMED_SEA_BEAUFORT_SEA,CIVILIZATION_CANADA
NAMED_SEA_BLACK_SEA,CIVILIZATION_OTTOMAN
NAMED_SEA_EDSVIKEN,CIVILIZATION_SWEDEN
NAMED_SEA_FROBISHER_BAY,CIVILIZATION_CANADA
NAMED_SEA_GEORGIAN_BAY,CIVILIZATION_CANADA
NAMED_SEA_GULF_OF_BOTHNIA,CIVILIZATION_SWEDEN
NAMED_SEA_GULF_OF_GABES,CIVILIZATION_PHOENICIA
NAMED_SEA_GULF_OF_GUAYAQUIL,CIVILIZATION_INCA
NAMED_SEA_GULF_OF_HAMMAMET,CIVILIZATION_PHOENICIA
NAMED_SEA_GULF_OF_IZMIR,CIVILIZATION_OTTOMAN
NAMED_SEA_GULF_OF_SAINT_LAWRENCE,CIVILIZATION_CANADA
NAMED_SEA_GULF_OF_TUNIS,CIVILIZATION_PHOENICIA
NAMED_SEA_HANN_BAY,CIVILIZATION_MALI
NAMED_SEA_HANOBUKTEN,CIVILIZATION_SWEDEN
NAMED_SEA_HUDSON_BAY,CIVILIZATION_CANADA
NAMED_SEA_KANHOLMSFJARDEN,CIVILIZATION_SWEDEN
NAMED_SEA_LABRADOR_SEA,CIVILIZATION_CANADA
NAMED_SEA_LEVANTINE_SEA,CIVILIZATION_OTTOMAN
NAMED_SEA_LEVANTINE_SEA,CIVILIZATION_PHOENICIA
NAMED_SEA_LIBYAN_SEA,CIVILIZATION_PHOENICIA
NAMED_SEA_LINCOLN_SEA,CIVILIZATION_CANADA
NAMED_SEA_MEDITERRANEAN_SEA,CIVILIZATION_OTTOMAN
NAMED_SEA_MEDITERRANEAN_SEA,CIVILIZATION_PHOENICIA
NAMED_SEA_NORTH_SEA,CIVILIZATION_SWEDEN
NAMED_SEA_PARACAS_BAY,CIVILIZATION_INCA
NAMED_SEA_SALTSJON,CIVILIZATION_SWEDEN
NAMED_SEA_SANGAREYA_BAY,CIVILIZATION_MALI
NAMED_SEA_SEA_OF_MARMARA,CIVILIZATION_OTTOMAN
NAMED_SEA_TE_ARA_A_KIWA,CIVILIZATION_MAORI
NAMED_SEA_TE_MATAU_A_MAUI,CIVILIZATION_MAORI
NAMED_SEA_TE_MOANA_A_TOI,CIVILIZATION_MAORI
NAMED_SEA_TE_MOANA_O_RAUKAWA,CIVILIZATION_MAORI
NAMED_SEA_TE_TAI_O_AORERE,CIVILIZATION_MAORI
NAMED_SEA_TE_TAI_O_REHUA,CIVILIZATION_MAORI
NAMED_SEA_TE_WHANGANUI_A_TARA,CIVILIZATION_MAORI
NAMED_SEA_TIKAPA_MOANA,CIVILIZATION_MAORI
NAMED_SEA_WAITEMATA,CIVILIZATION_MAORI
NAMED_SEA_WINIPEKW,CIVILIZATION_CANADA
NAMED_SEA_YOF_BAY,CIVILIZATION_MALI
NAMED_SEA_GULF_OF_HONDURAS,CIVILIZATION_MAYA
NAMED_SEA_AMATIQUE_BAY,CIVILIZATION_MAYA
NAMED_SEA_TERMINOS_LAGOON,CIVILIZATION_MAYA
NAMED_SEA_CARIBBEAN_SEA,CIVILIZATION_MAYA
NAMED_SEA_BAY_OF_CAMPECHE,CIVILIZATION_MAYA
NAMED_SEA_GULF_OF_DARIEN,CIVILIZATION_GRAN_COLOMBIA
NAMED_SEA_GULF_OF_VENEZUELA,CIVILIZATION_GRAN_COLOMBIA
NAMED_SEA_GULF_OF_PARIA,CIVILIZATION_GRAN_COLOMBIA
NAMED_SEA_LAKE_MARACAIBO,CIVILIZATION_GRAN_COLOMBIA
NAMED_SEA_CARIBBEAN_SEA,CIVILIZATION_GRAN_COLOMBIA
NAMED_SEA_GULF_OF_PANAMA,CIVILIZATION_GRAN_COLOMBIA
NAMED_SEA_GULF_OF_GUAYAQUIL,CIVILIZATION_GRAN_COLOMBIA
NAMED_SEA_MEDITERRANEAN_SEA,CIVILIZATION_BYZANTIUM
NAMED_SEA_AEGEAN_SEA,CIVILIZATION_BYZANTIUM
NAMED_SEA_BLACK_SEA,CIVILIZATION_BYZANTIUM
NAMED_SEA_GULF_OF_IZMIR,CIVILIZATION_BYZANTIUM
NAMED_SEA_LEVANTINE_SEA,CIVILIZATION_BYZANTIUM
NAMED_SEA_SEA_OF_MARMARA,CIVILIZATION_BYZANTIUM
NAMED_SEA_BAY_OF_BISCAY,CIVILIZATION_GAUL
NAMED_SEA_MEDITERRANEAN_SEA,CIVILIZATION_GAUL
NAMED_SEA_ENGLISH_CHANNEL,CIVILIZATION_GAUL
NAMED_SEA_GULF_OF_TONKIN,CIVILIZATION_VIETNAM
NAMED_SEA_GULF_OF_THAILAND,CIVILIZATION_VIETNAM
NAMED_SEA_SOUTH_CHINA_SEA,CIVILIZATION_VIETNAM
NAMED_SEA_PERSIAN_GULF,CIVILIZATION_BABYLON_STK
NAMED_SEA_SETUBAL_BAY,CIVILIZATION_PORTUGAL
NAMED_SEA_BAY_OF_ANGRA,CIVILIZATION_PORTUGAL
NAMED_SEA_BAY_OF_REFUGO,CIVILIZATION_PORTUGAL
NAMED_SEA_FUNCHAL_BAY,CIVILIZATION_PORTUGAL
NAMED_SEA_GULF_OF_CADIZ,CIVILIZATION_PORTUGAL
