NamedSeaType,Name
NAMED_SEA_BAY_OF_GIBRALTAR,LOC_NAMED_SEA_BAY_OF_GIBRALTAR_NAME
NAMED_SEA_BAY_OF_KOMPONG_SOM,LOC_NAMED_SEA_BAY_OF_KOMPONG_SOM_NAME
NAMED_SEA_BAY_OF_MECKLENBURG,LOC_NAMED_SEA_BAY_OF_MECKLENBURG_NAME
NAMED_SEA_BAY_OF_POMERANIA,LOC_NAMED_SEA_BAY_OF_POMERANIA_NAME
NAMED_SEA_BAY_OF_SANTANDER,LOC_NAMED_SEA_BAY_OF_SANTANDER_NAME
NAMED_SEA_BEAUFORT_SEA,LOC_NAMED_SEA_BEAUFORT_SEA_NAME
NAMED_SEA_BERING_SEA,LOC_NAMED_SEA_BERING_SEA_NAME
NAMED_SEA_BISMARCK_SEA,LOC_NAMED_SEA_BISMARCK_SEA_NAME
NAMED_SEA_BLACK_SEA,LOC_NAMED_SEA_BLACK_SEA_NAME
NAMED_SEA_BO_HAI,LOC_NAMED_SEA_BO_HAI_NAME
NAMED_SEA_BOTANY_BAY,LOC_NAMED_SEA_BOTANY_BAY_NAME
NAMED_SEA_BRACKLESHAM_BAY,LOC_NAMED_SEA_BRACKLESHAM_BAY_NAME
NAMED_SEA_BRIDGWATER_BAY,LOC_NAMED_SEA_BRIDGWATER_BAY_NAME
NAMED_SEA_BRISTOL_CHANNEL,LOC_NAMED_SEA_BRISTOL_CHANNEL_NAME
NAMED_SEA_BUSAN_BAY,LOC_NAMED_SEA_BUSAN_BAY_NAME
NAMED_SEA_CARIBBEAN_SEA,LOC_NAMED_SEA_CARIBBEAN_SEA_NAME
NAMED_SEA_CASPIAN_SEA,LOC_NAMED_SEA_CASPIAN_SEA_NAME
NAMED_SEA_CAULIN_BAY,LOC_NAMED_SEA_CAULIN_BAY_NAME
NAMED_SEA_CELEBES_SEA,LOC_NAMED_SEA_CELEBES_SEA_NAME
NAMED_SEA_CELTIC_SEA,LOC_NAMED_SEA_CELTIC_SEA_NAME
NAMED_SEA_CERAM_SEA,LOC_NAMED_SEA_CERAM_SEA_NAME
NAMED_SEA_CHESAPEAKE_BAY,LOC_NAMED_SEA_CHESAPEAKE_BAY_NAME
NAMED_SEA_CHUKCHI_SEA,LOC_NAMED_SEA_CHUKCHI_SEA_NAME
NAMED_SEA_CORAL_SEA,LOC_NAMED_SEA_CORAL_SEA_NAME
NAMED_SEA_DOLLART,LOC_NAMED_SEA_DOLLART_NAME
NAMED_SEA_EAST_CHINA_SEA,LOC_NAMED_SEA_EAST_CHINA_SEA_NAME
NAMED_SEA_EAST_SIBERIAN_SEA,LOC_NAMED_SEA_EAST_SIBERIAN_SEA_NAME
NAMED_SEA_EDSVIKEN,LOC_NAMED_SEA_EDSVIKEN_NAME
NAMED_SEA_ENGLISH_CHANNEL,LOC_NAMED_SEA_ENGLISH_CHANNEL_NAME
NAMED_SEA_FIRTH_OF_CLYDE,LOC_NAMED_SEA_FIRTH_OF_CLYDE_NAME
NAMED_SEA_FIRTH_OF_FORTH,LOC_NAMED_SEA_FIRTH_OF_FORTH_NAME
NAMED_SEA_FLENSBURG_FIRTH,LOC_NAMED_SEA_FLENSBURG_FIRTH_NAME
NAMED_SEA_FLORES_SEA,LOC_NAMED_SEA_FLORES_SEA_NAME
NAMED_SEA_FOUL_BAY,LOC_NAMED_SEA_FOUL_BAY_NAME
NAMED_SEA_FROBISHER_BAY,LOC_NAMED_SEA_FROBISHER_BAY_NAME
NAMED_SEA_GDANSK_BAY,LOC_NAMED_SEA_GDANSK_BAY_NAME
NAMED_SEA_GENKAI_SEA,LOC_NAMED_SEA_GENKAI_SEA_NAME
NAMED_SEA_GEORGIAN_BAY,LOC_NAMED_SEA_GEORGIAN_BAY_NAME
NAMED_SEA_GERMAN_BIGHT,LOC_NAMED_SEA_GERMAN_BIGHT_NAME
NAMED_SEA_GREAT_AUSTRALIAN_BIGHT,LOC_NAMED_SEA_GREAT_AUSTRALIAN_BIGHT_NAME
NAMED_SEA_GREENLAND_SEA,LOC_NAMED_SEA_GREENLAND_SEA_NAME
NAMED_SEA_GUANABARA_BAY,LOC_NAMED_SEA_GUANABARA_BAY_NAME
NAMED_SEA_GULF_OF_ADEN,LOC_NAMED_SEA_GULF_OF_ADEN_NAME
NAMED_SEA_GULF_OF_ALASKA,LOC_NAMED_SEA_GULF_OF_ALASKA_NAME
NAMED_SEA_GULF_OF_AQABA,LOC_NAMED_SEA_GULF_OF_AQABA_NAME
NAMED_SEA_GULF_OF_BOTHNIA,LOC_NAMED_SEA_GULF_OF_BOTHNIA_NAME
NAMED_SEA_GULF_OF_CADIZ,LOC_NAMED_SEA_GULF_OF_CADIZ_NAME
NAMED_SEA_GULF_OF_CALIFORNIA,LOC_NAMED_SEA_GULF_OF_CALIFORNIA_NAME
NAMED_SEA_GULF_OF_CARPENTARIA,LOC_NAMED_SEA_GULF_OF_CARPENTARIA_NAME
NAMED_SEA_GULF_OF_CORINTH,LOC_NAMED_SEA_GULF_OF_CORINTH_NAME
NAMED_SEA_GULF_OF_FINLAND,LOC_NAMED_SEA_GULF_OF_FINLAND_NAME
NAMED_SEA_GULF_OF_GABES,LOC_NAMED_SEA_GULF_OF_GABES_NAME
NAMED_SEA_GULF_OF_GUAYAQUIL,LOC_NAMED_SEA_GULF_OF_GUAYAQUIL_NAME
NAMED_SEA_GULF_OF_GUINEA,LOC_NAMED_SEA_GULF_OF_GUINEA_NAME
NAMED_SEA_GULF_OF_HAMMAMET,LOC_NAMED_SEA_GULF_OF_HAMMAMET_NAME
NAMED_SEA_GULF_OF_IZMIR,LOC_NAMED_SEA_GULF_OF_IZMIR_NAME
NAMED_SEA_GULF_OF_LION,LOC_NAMED_SEA_GULF_OF_LION_NAME
NAMED_SEA_GULF_OF_MANNAR,LOC_NAMED_SEA_GULF_OF_MANNAR_NAME
NAMED_SEA_GULF_OF_MEXICO,LOC_NAMED_SEA_GULF_OF_MEXICO_NAME
NAMED_SEA_GULF_OF_MORBIHAN,LOC_NAMED_SEA_GULF_OF_MORBIHAN_NAME
NAMED_SEA_GULF_OF_OMAN,LOC_NAMED_SEA_GULF_OF_OMAN_NAME
NAMED_SEA_GULF_OF_PANAMA,LOC_NAMED_SEA_GULF_OF_PANAMA_NAME
NAMED_SEA_GULF_OF_PAPUA,LOC_NAMED_SEA_GULF_OF_PAPUA_NAME
NAMED_SEA_GULF_OF_ROSES,LOC_NAMED_SEA_GULF_OF_ROSES_NAME
NAMED_SEA_GULF_OF_SAINT_LAWRENCE,LOC_NAMED_SEA_GULF_OF_SAINT_LAWRENCE_NAME
NAMED_SEA_GULF_OF_SUEZ,LOC_NAMED_SEA_GULF_OF_SUEZ_NAME
NAMED_SEA_GULF_OF_TEHUANTEPEC,LOC_NAMED_SEA_GULF_OF_TEHUANTEPEC_NAME
NAMED_SEA_GULF_OF_THAILAND,LOC_NAMED_SEA_GULF_OF_THAILAND_NAME
NAMED_SEA_GULF_OF_TONKIN,LOC_NAMED_SEA_GULF_OF_TONKIN_NAME
NAMED_SEA_GULF_OF_TORONEOS,LOC_NAMED_SEA_GULF_OF_TORONEOS_NAME
NAMED_SEA_GULF_OF_TUNIS,LOC_NAMED_SEA_GULF_OF_TUNIS_NAME
NAMED_SEA_GULF_OF_VALENCIA,LOC_NAMED_SEA_GULF_OF_VALENCIA_NAME
NAMED_SEA_GWANGPO_BAY,LOC_NAMED_SEA_GWANGPO_BAY_NAME
NAMED_SEA_HANN_BAY,LOC_NAMED_SEA_HANN_BAY_NAME
NAMED_SEA_HANOBUKTEN,LOC_NAMED_SEA_HANOBUKTEN_NAME
NAMED_SEA_HARDANGERFJORDEN,LOC_NAMED_SEA_HARDANGERFJORDEN_NAME
NAMED_SEA_HELIGOLAND_BIGHT,LOC_NAMED_SEA_HELIGOLAND_BIGHT_NAME
NAMED_SEA_HUDSON_BAY,LOC_NAMED_SEA_HUDSON_BAY_NAME
NAMED_SEA_IONIAN_SEA,LOC_NAMED_SEA_IONIAN_SEA_NAME
NAMED_SEA_IRISH_SEA,LOC_NAMED_SEA_IRISH_SEA_NAME
NAMED_SEA_JADE_BIGHT,LOC_NAMED_SEA_JADE_BIGHT_NAME
NAMED_SEA_JAWA_SEA,LOC_NAMED_SEA_JAWA_SEA_NAME
NAMED_SEA_JERVIS_BAY,LOC_NAMED_SEA_JERVIS_BAY_NAME
NAMED_SEA_JOSEPH_BONAPARTE_GULF,LOC_NAMED_SEA_JOSEPH_BONAPARTE_GULF_NAME
NAMED_SEA_KANHOLMSFJARDEN,LOC_NAMED_SEA_KANHOLMSFJARDEN_NAME
NAMED_SEA_KARA_SEA,LOC_NAMED_SEA_KARA_SEA_NAME
NAMED_SEA_KOREA_BAY,LOC_NAMED_SEA_KOREA_BAY_NAME
NAMED_SEA_KOSI_BAY,LOC_NAMED_SEA_KOSI_BAY_NAME
NAMED_SEA_LABRADOR_SEA,LOC_NAMED_SEA_LABRADOR_SEA_NAME
NAMED_SEA_LAKE_MARACAIBO,LOC_NAMED_SEA_LAKE_MARACAIBO_NAME
NAMED_SEA_LAKSHADWEEP_SEA,LOC_NAMED_SEA_LAKSHADWEEP_SEA_NAME
NAMED_SEA_LAPTEV_SEA,LOC_NAMED_SEA_LAPTEV_SEA_NAME
NAMED_SEA_LEVANTINE_SEA,LOC_NAMED_SEA_LEVANTINE_SEA_NAME
NAMED_SEA_LIBYAN_SEA,LOC_NAMED_SEA_LIBYAN_SEA_NAME
NAMED_SEA_LIGURIAN_SEA,LOC_NAMED_SEA_LIGURIAN_SEA_NAME
NAMED_SEA_LINCOLN_SEA,LOC_NAMED_SEA_LINCOLN_SEA_NAME
NAMED_SEA_MASSACHUSETTS_BAY,LOC_NAMED_SEA_LAKE_MARACAIBO_NAME
NAMED_SEA_MEDITERRANEAN_SEA,LOC_NAMED_SEA_MEDITERRANEAN_SEA_NAME
NAMED_SEA_MOLUCCA_SEA,LOC_NAMED_SEA_MOLUCCA_SEA_NAME
NAMED_SEA_MONT_SAINT_MICHEL_BAY,LOC_NAMED_SEA_MONT_SAINT_MICHEL_BAY_NAME
NAMED_SEA_MORAY_FIRTH,LOC_NAMED_SEA_MORAY_FIRTH_NAME
NAMED_SEA_MORECAMBY_BAY,LOC_NAMED_SEA_MORECAMBY_BAY_NAME
NAMED_SEA_MOZAMBIQUE_CHANNEL,LOC_NAMED_SEA_MOZAMBIQUE_CHANNEL_NAME
NAMED_SEA_MUTSU_BAY,LOC_NAMED_SEA_MUTSU_BAY_NAME
NAMED_SEA_NORDFRIESISCHES_WATTENMEER,LOC_NAMED_SEA_NORDFRIESISCHES_WATTENMEER_NAME
NAMED_SEA_NORTH_SEA,LOC_NAMED_SEA_NORTH_SEA_NAME
NAMED_SEA_NORWEGIAN_SEA,LOC_NAMED_SEA_NORWEGIAN_SEA_NAME
NAMED_SEA_PARACAS_BAY,LOC_NAMED_SEA_PARACAS_BAY_NAME
NAMED_SEA_PERSIAN_GULF,LOC_NAMED_SEA_PERSIAN_GULF_NAME
NAMED_SEA_PHILIPPINE_SEA,LOC_NAMED_SEA_PHILIPPINE_SEA_NAME
NAMED_SEA_PITSUNDA_BAY,LOC_NAMED_SEA_PITSUNDA_BAY_NAME
NAMED_SEA_PUNIHUIL,LOC_NAMED_SEA_PUNIHUIL_NAME
NAMED_SEA_RED_SEA,LOC_NAMED_SEA_RED_SEA_NAME
NAMED_SEA_SAGAMI_BAY,LOC_NAMED_SEA_SAGAMI_BAY_NAME
NAMED_SEA_SALTSJON,LOC_NAMED_SEA_SALTSJON_NAME
NAMED_SEA_SAN_FRANCISCO_BAY,LOC_NAMED_SEA_SAN_FRANCISCO_BAY_NAME
NAMED_SEA_SANGAREYA_BAY,LOC_NAMED_SEA_SANGAREYA_BAY_NAME
NAMED_SEA_SARGASSO_SEA,LOC_NAMED_SEA_SARGASSO_SEA_NAME
NAMED_SEA_SARONIC_GULF,LOC_NAMED_SEA_SARONIC_GULF_NAME
NAMED_SEA_SCOTIA_SEA,LOC_NAMED_SEA_SCOTIA_SEA_NAME
NAMED_SEA_SEA_OF_AZOV,LOC_NAMED_SEA_SEA_OF_AZOV_NAME
NAMED_SEA_SEA_OF_CRETE,LOC_NAMED_SEA_SEA_OF_CRETE_NAME
NAMED_SEA_SEA_OF_HYUGA,LOC_NAMED_SEA_SEA_OF_HYUGA_NAME
NAMED_SEA_SEA_OF_JAPAN,LOC_NAMED_SEA_SEA_OF_JAPAN_NAME
NAMED_SEA_SEA_OF_MARMARA,LOC_NAMED_SEA_SEA_OF_MARMARA_NAME
NAMED_SEA_SEA_OF_OKHOTSK,LOC_NAMED_SEA_SEA_OF_OKHOTSK_NAME
NAMED_SEA_SEA_OF_THE_HEBRIDES,LOC_NAMED_SEA_SEA_OF_THE_HEBRIDES_NAME
NAMED_SEA_SETO_SEA,LOC_NAMED_SEA_SETO_SEA_NAME
NAMED_SEA_SINGITIC_GULF,LOC_NAMED_SEA_SINGITIC_GULF_NAME
NAMED_SEA_SODWANA_BAY,LOC_NAMED_SEA_SODWANA_BAY_NAME
NAMED_SEA_SOGNEFJORDEN,LOC_NAMED_SEA_SOGNEFJORDEN_NAME
NAMED_SEA_SOLOMON_SEA,LOC_NAMED_SEA_SOLOMON_SEA_NAME
NAMED_SEA_SOLWAY_FIRTH,LOC_NAMED_SEA_SOLWAY_FIRTH_NAME
NAMED_SEA_SOUTH_CHINA_SEA,LOC_NAMED_SEA_SOUTH_CHINA_SEA_NAME
NAMED_SEA_STORFJORDEN,LOC_NAMED_SEA_STORFJORDEN_NAME
NAMED_SEA_STRYMONIAN_GULF,LOC_NAMED_SEA_STRYMONIAN_GULF_NAME
NAMED_SEA_SUKHUMI_BAY,LOC_NAMED_SEA_SUKHUMI_BAY_NAME
NAMED_SEA_SULU_SEA,LOC_NAMED_SEA_SULU_SEA_NAME
NAMED_SEA_TASMAN_SEA,LOC_NAMED_SEA_TASMAN_SEA_NAME
NAMED_SEA_TE_ARA_A_KIWA,LOC_NAMED_SEA_TE_ARA_A_KIWA_NAME
NAMED_SEA_TE_MATAU_A_MAUI,LOC_NAMED_SEA_TE_MATAU_A_MAUI_NAME
NAMED_SEA_TE_MOANA_A_TOI,LOC_NAMED_SEA_TE_MOANA_A_TOI_NAME
NAMED_SEA_TE_MOANA_O_RAUKAWA,LOC_NAMED_SEA_TE_MOANA_O_RAUKAWA_NAME
NAMED_SEA_TE_TAI_O_AORERE,LOC_NAMED_SEA_TE_TAI_O_AORERE_NAME
NAMED_SEA_TE_TAI_O_REHUA,LOC_NAMED_SEA_TE_TAI_O_REHUA_NAME
NAMED_SEA_TE_WHANGANUI_A_TARA,LOC_NAMED_SEA_TE_WHANGANUI_A_TARA_NAME
NAMED_SEA_THE_MINCH,LOC_NAMED_SEA_THE_MINCH_NAME
NAMED_SEA_THE_WASH,LOC_NAMED_SEA_THE_WASH_NAME
NAMED_SEA_THERMAIC_GULF,LOC_NAMED_SEA_THERMAIC_GULF_NAME
NAMED_SEA_THRACIAN_SEA,LOC_NAMED_SEA_THRACIAN_SEA_NAME
NAMED_SEA_TIKAPA_MOANA,LOC_NAMED_SEA_TIKAPA_MOANA_NAME
NAMED_SEA_TIMOR_SEA,LOC_NAMED_SEA_TIMOR_SEA_NAME
NAMED_SEA_TRONDHEIMSFJORDEN,LOC_NAMED_SEA_TRONDHEIMSFJORDEN_NAME
NAMED_SEA_TYRRHENIAN_SEA,LOC_NAMED_SEA_TYRRHENIAN_SEA_NAME
NAMED_SEA_UMZINTO_BAY,LOC_NAMED_SEA_UMZINTO_BAY_NAME
NAMED_SEA_VESTFJORDEN,LOC_NAMED_SEA_VESTFJORDEN_NAME
NAMED_SEA_WADDEN_SEA,LOC_NAMED_SEA_WADDEN_SEA_NAME
NAMED_SEA_WAITEMATA,LOC_NAMED_SEA_WAITEMATA_NAME
NAMED_SEA_WHITE_SEA,LOC_NAMED_SEA_WHITE_SEA_NAME
NAMED_SEA_WINIPEKW,LOC_NAMED_SEA_WINIPEKW_NAME
NAMED_SEA_YATSUSHIRO_SEA,LOC_NAMED_SEA_YATSUSHIRO_SEA_NAME
NAMED_SEA_YELLOW_SEA,LOC_NAMED_SEA_YELLOW_SEA_NAME
NAMED_SEA_YOF_BAY,LOC_NAMED_SEA_YOF_BAY_NAME
NAMED_SEA_ZUIDERZEE,LOC_NAMED_SEA_ZUIDERZEE_NAME
NAMED_SEA_GULF_OF_HONDURAS,LOC_NAMED_SEA_GULF_OF_HONDURAS_NAME
NAMED_SEA_AMATIQUE_BAY,LOC_NAMED_SEA_AMATIQUE_BAY_NAME
NAMED_SEA_TERMINOS_LAGOON,LOC_NAMED_SEA_TERMINOS_LAGOON_NAME
NAMED_SEA_GULF_OF_DARIEN,LOC_NAMED_SEA_GULF_OF_DARIEN_NAME
NAMED_SEA_GULF_OF_VENEZUELA,LOC_NAMED_SEA_GULF_OF_VENEZUELA_NAME
NAMED_SEA_GULF_OF_PARIA,LOC_NAMED_SEA_GULF_OF_PARIA_NAME
NAMED_SEA_SETUBAL_BAY,LOC_NAMED_SEA_SETUBAL_BAY_NAME
NAMED_SEA_BAY_OF_ANGRA,LOC_NAMED_SEA_BAY_OF_ANGRA_NAME
NAMED_SEA_BAY_OF_REFUGO,LOC_NAMED_SEA_BAY_OF_REFUGO_NAME
NAMED_SEA_FUNCHAL_BAY,LOC_NAMED_SEA_FUNCHAL_BAY_NAME
