BuildingType,Name,PrereqTech,PrereqCivic,Cost,MaxPlayerInstances,MaxWorldInstances,Capital,PrereqDistrict,AdjacentDistrict,Description,RequiresPlacement,RequiresRiver,OuterDefenseHitPoints,Housing,Entertainment,AdjacentResource,Coast,EnabledByReligion,AllowsHolyCity,PurchaseYield,MustPurchase,Maintenance,IsWonder,TraitType,OuterDefenseStrength,CitizenSlots,MustBeLake,MustNotBeLake,RegionalRange,AdjacentToMountain,ObsoleteEra,RequiresReligion,GrantFortification,DefenseModifier,InternalOnly,RequiresAdjacentRiver,Quote,QuoteAudio,MustBeAdjacentLand,AdvisorType,AdjacentCapital,AdjacentImprovement,CityAdjacentTerrain,UnlocksGovernmentPolicy,GovernmentTierRequirement
BUILDING_MARKET,LOC_BUILDING_MARKET_NAME,TECH_CURRENCY,,120,-1,-1,0,DISTRICT_COMMERCIAL_HUB,,LOC_BUILDING_MARKET_EXPANSION1_DESCRIPTION,0,0,,0,0,,,0,0,YIELD_GOLD,0,0,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_STABLE,LOC_BUILDING_STABLE_NAME,TECH_HORSEBACK_RIDING,,120,-1,-1,0,DISTRICT_ENCAMPMENT,,LOC_BUILDING_STABLE_EXPANSION2_DESCRIPTION,0,0,,1,0,,,0,0,YIELD_GOLD,0,1,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_CONQUEST,0,,,0,
BUILDING_TEMPLE,LOC_BUILDING_TEMPLE_NAME,,CIVIC_THEOLOGY,120,-1,-1,0,DISTRICT_HOLY_SITE,,LOC_BUILDING_TEMPLE_DESCRIPTION,0,0,,0,0,,,0,0,YIELD_GOLD,0,2,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_RELIGIOUS,0,,,0,
BUILDING_STAVE_CHURCH,LOC_BUILDING_STAVE_CHURCH_NAME,,CIVIC_THEOLOGY,120,-1,-1,0,DISTRICT_HOLY_SITE,,LOC_BUILDING_STAVE_CHURCH_HEROES_DESCRIPTION,0,0,,0,0,,,0,0,YIELD_GOLD,0,2,0,TRAIT_CIVILIZATION_BUILDING_STAVE_CHURCH,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_RELIGIOUS,0,,,0,
BUILDING_AMPHITHEATER,LOC_BUILDING_AMPHITHEATER_NAME,,CIVIC_DRAMA_POETRY,150,-1,-1,0,DISTRICT_THEATER,,,0,0,,0,0,,,0,0,YIELD_GOLD,0,1,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_CULTURE,0,,,0,
BUILDING_CASTLE,LOC_BUILDING_CASTLE_NAME,TECH_CASTLES,,220,-1,-1,0,DISTRICT_CITY_CENTER,,LOC_BUILDING_CASTLE_EXPANSION2_DESCRIPTION,0,0,100.0,0,0,,,0,0,,0,0,0,,3,,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_UNIVERSITY,LOC_BUILDING_UNIVERSITY_NAME,TECH_EDUCATION,,250,-1,-1,0,DISTRICT_CAMPUS,,,0,0,,1,0,,,0,0,YIELD_GOLD,0,2,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_TECHNOLOGY,0,,,0,
BUILDING_MADRASA,LOC_BUILDING_MADRASA_NAME,,CIVIC_THEOLOGY,250,-1,-1,0,DISTRICT_CAMPUS,,LOC_BUILDING_MADRASA_DESCRIPTION,0,0,,1,0,,,0,0,YIELD_GOLD,0,2,0,TRAIT_CIVILIZATION_BUILDING_MADRASA,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_TECHNOLOGY,0,,,0,
BUILDING_WORKSHOP,LOC_BUILDING_WORKSHOP_NAME,TECH_APPRENTICESHIP,,195,-1,-1,0,DISTRICT_INDUSTRIAL_ZONE,,,0,0,,0,0,,,0,0,YIELD_GOLD,0,1,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_ARMORY,LOC_BUILDING_ARMORY_NAME,TECH_MILITARY_ENGINEERING,,195,-1,-1,0,DISTRICT_ENCAMPMENT,,LOC_BUILDING_ARMORY_EXPANSION2_DESCRIPTION,0,0,,0,0,,,0,0,YIELD_GOLD,0,2,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_CONQUEST,0,,,0,
BUILDING_SHIPYARD,LOC_BUILDING_SHIPYARD_NAME,TECH_MASS_PRODUCTION,,290,-1,-1,0,DISTRICT_HARBOR,,LOC_BUILDING_SHIPYARD_EXPANSION2_DESCRIPTION,0,0,,0,0,,,0,0,YIELD_GOLD,0,1,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_BANK,LOC_BUILDING_BANK_NAME,TECH_BANKING,,290,-1,-1,0,DISTRICT_COMMERCIAL_HUB,,,0,0,,0,0,,,0,0,YIELD_GOLD,0,0,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_STAR_FORT,LOC_BUILDING_STAR_FORT_NAME,TECH_SIEGE_TACTICS,,300,-1,-1,0,DISTRICT_CITY_CENTER,,LOC_BUILDING_STAR_FORT_EXPANSION2_DESCRIPTION,0,0,100.0,0,0,,,0,0,,0,0,0,,3,,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_MUSEUM_ART,LOC_BUILDING_MUSEUM_ART_NAME,,CIVIC_HUMANISM,290,-1,-1,0,DISTRICT_THEATER,,LOC_BUILDING_MUSEUM_ART_DESCRIPTION,0,0,,0,0,,,0,0,YIELD_GOLD,0,2,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_CULTURE,0,,,0,
BUILDING_MUSEUM_ARTIFACT,LOC_BUILDING_MUSEUM_ARTIFACT_NAME,,CIVIC_HUMANISM,290,-1,-1,0,DISTRICT_THEATER,,LOC_BUILDING_MUSEUM_ARTIFACT_DESCRIPTION,0,0,,0,0,,,0,0,YIELD_GOLD,0,2,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_CULTURE,0,,,0,
BUILDING_FACTORY,LOC_BUILDING_FACTORY_NAME,TECH_INDUSTRIALIZATION,,330,-1,-1,0,DISTRICT_INDUSTRIAL_ZONE,,LOC_BUILDING_FACTORY_EXPANSION2_DESCRIPTION,0,0,,0,0,,,0,0,YIELD_GOLD,0,2,0,,0,1.0,0,0,6,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_ELECTRONICS_FACTORY,LOC_BUILDING_ELECTRONICS_FACTORY_NAME,TECH_INDUSTRIALIZATION,,330,-1,-1,0,DISTRICT_INDUSTRIAL_ZONE,,LOC_BUILDING_ELECTRONICS_FACTORY_EXPANSION2_DESCRIPTION,0,0,,0,0,,,0,0,YIELD_GOLD,0,2,0,TRAIT_CIVILIZATION_BUILDING_ELECTRONICS_FACTORY,0,1.0,0,0,6,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_STOCK_EXCHANGE,LOC_BUILDING_STOCK_EXCHANGE_NAME,TECH_ECONOMICS,,330,-1,-1,0,DISTRICT_COMMERCIAL_HUB,,,0,0,,0,0,,,0,0,YIELD_GOLD,0,0,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_MILITARY_ACADEMY,LOC_BUILDING_MILITARY_ACADEMY_NAME,TECH_MILITARY_SCIENCE,,330,-1,-1,0,DISTRICT_ENCAMPMENT,,LOC_BUILDING_MILITARY_ACADEMY_EXPANSION2_DESCRIPTION,0,0,,1,0,,,0,0,YIELD_GOLD,0,2,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_CONQUEST,0,,,0,
BUILDING_SEWER,LOC_BUILDING_SEWER_NAME,TECH_SANITATION,,200,-1,-1,0,DISTRICT_CITY_CENTER,,,0,0,,2,0,,,0,0,YIELD_GOLD,0,2,0,,0,,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_ZOO,LOC_BUILDING_ZOO_NAME,,CIVIC_NATURAL_HISTORY,360,-1,-1,0,DISTRICT_ENTERTAINMENT_COMPLEX,,LOC_BUILDING_ZOO_EXPANSION1_DESCRIPTION,0,0,,0,1,,,0,0,YIELD_GOLD,0,2,0,,0,,0,0,6,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_HANGAR,LOC_BUILDING_HANGAR_NAME,TECH_FLIGHT,,380,-1,-1,0,DISTRICT_AERODROME,,LOC_BUILDING_HANGAR_DESCRIPTION,0,0,,0,0,,,0,0,YIELD_GOLD,0,1,0,,0,,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_CONQUEST,0,,,0,
BUILDING_SEAPORT,LOC_BUILDING_SEAPORT_NAME,TECH_ELECTRICITY,,440,-1,-1,0,DISTRICT_HARBOR,,LOC_BUILDING_SEAPORT_DESCRIPTION,0,0,,1,0,,,0,0,YIELD_GOLD,0,0,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_POWER_PLANT,LOC_BUILDING_POWER_PLANT_EXPANSION2_NAME,TECH_NUCLEAR_FISSION,,480,-1,-1,0,DISTRICT_INDUSTRIAL_ZONE,,LOC_BUILDING_POWER_PLANT_EXPANSION2_DESCRIPTION,0,0,,0,0,,,0,0,YIELD_GOLD,0,3,0,,0,1.0,0,0,6,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_BROADCAST_CENTER,LOC_BUILDING_BROADCAST_CENTER_NAME,TECH_RADIO,,440,-1,-1,0,DISTRICT_THEATER,,,0,0,,0,0,,,0,0,YIELD_GOLD,0,3,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_CULTURE,0,,,0,
BUILDING_FILM_STUDIO,LOC_BUILDING_FILM_STUDIO_NAME,TECH_RADIO,,440,-1,-1,0,DISTRICT_THEATER,,LOC_BUILDING_FILM_STUDIO_EXPANSION2_DESCRIPTION,0,0,,0,0,,,0,0,YIELD_GOLD,0,3,0,TRAIT_CIVILIZATION_BUILDING_FILM_STUDIO,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_CULTURE,0,,,0,
BUILDING_RESEARCH_LAB,LOC_BUILDING_RESEARCH_LAB_NAME,TECH_CHEMISTRY,,440,-1,-1,0,DISTRICT_CAMPUS,,,0,0,,0,0,,,0,0,YIELD_GOLD,0,3,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_TECHNOLOGY,0,,,0,
BUILDING_AIRPORT,LOC_BUILDING_AIRPORT_NAME,TECH_ADVANCED_FLIGHT,,480,-1,-1,0,DISTRICT_AERODROME,,LOC_BUILDING_AIRPORT_DESCRIPTION,0,0,,0,0,,,0,0,YIELD_GOLD,0,2,0,,0,,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_CONQUEST,0,,,0,
BUILDING_STADIUM,LOC_BUILDING_STADIUM_NAME,,CIVIC_PROFESSIONAL_SPORTS,480,-1,-1,0,DISTRICT_ENTERTAINMENT_COMPLEX,,LOC_BUILDING_STADIUM_EXPANSION1_DESCRIPTION,0,0,,0,1,,,0,0,YIELD_GOLD,0,3,0,,0,,0,0,6,0,NO_ERA,0,0,0,0,0,,,0,ADVISOR_GENERIC,0,,,0,
BUILDING_CATHEDRAL,LOC_BUILDING_CATHEDRAL_NAME,,,190,-1,-1,0,DISTRICT_HOLY_SITE,,,0,0,,0,0,,,1,0,YIELD_FAITH,0,0,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,,0,,,0,
BUILDING_GURDWARA,LOC_BUILDING_GURDWARA_NAME,,,190,-1,-1,0,DISTRICT_HOLY_SITE,,,0,0,,1,0,,,1,0,YIELD_FAITH,0,0,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,,0,,,0,
BUILDING_MEETING_HOUSE,LOC_BUILDING_MEETING_HOUSE_NAME,,,190,-1,-1,0,DISTRICT_HOLY_SITE,,,0,0,,0,0,,,1,0,YIELD_FAITH,0,0,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,,0,,,0,
BUILDING_MOSQUE,LOC_BUILDING_MOSQUE_NAME,,,190,-1,-1,0,DISTRICT_HOLY_SITE,,LOC_BUILDING_MOSQUE_DESCRIPTION,0,0,,0,0,,,1,0,YIELD_FAITH,0,0,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,,0,,,0,
BUILDING_PAGODA,LOC_BUILDING_PAGODA_NAME,,,190,-1,-1,0,DISTRICT_HOLY_SITE,,LOC_BUILDING_PAGODA_EXPANSION2_DESCRIPTION,0,0,,0,0,,,1,0,YIELD_FAITH,0,0,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,,0,,,0,
BUILDING_SYNAGOGUE,LOC_BUILDING_SYNAGOGUE_NAME,,,190,-1,-1,0,DISTRICT_HOLY_SITE,,,0,0,,0,0,,,1,0,YIELD_FAITH,0,0,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,,0,,,0,
BUILDING_WAT,LOC_BUILDING_WAT_NAME,,,190,-1,-1,0,DISTRICT_HOLY_SITE,,,0,0,,0,0,,,1,0,YIELD_FAITH,0,0,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,,0,,,0,
BUILDING_STUPA,LOC_BUILDING_STUPA_NAME,,,190,-1,-1,0,DISTRICT_HOLY_SITE,,,0,0,,0,1,,,1,0,YIELD_FAITH,0,0,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,,0,,,0,
BUILDING_DAR_E_MEHR,LOC_BUILDING_DAR_E_MEHR_NAME,,,190,-1,-1,0,DISTRICT_HOLY_SITE,,LOC_BUILDING_DAR_E_MEHR_EXPANSION2_DESCRIPTION,0,0,,0,0,,,1,0,YIELD_FAITH,0,0,0,,0,1.0,0,0,0,0,NO_ERA,0,0,0,0,0,,,0,,0,,,0,
BUILDING_STONEHENGE,LOC_BUILDING_STONEHENGE_NAME,TECH_ASTROLOGY,,180,-1,1,0,,,LOC_BUILDING_STONEHENGE_DESCRIPTION,1,0,,0,0,RESOURCE_STONE,,0,1,,0,0,1,,0,,0,0,0,0,ERA_MEDIEVAL,0,0,0,0,0,LOC_BUILDING_STONEHENGE_QUOTE,Play_STONEHENGE_QUOTE,0,ADVISOR_RELIGIOUS,0,,,0,
BUILDING_HANGING_GARDENS,LOC_BUILDING_HANGING_GARDENS_NAME,TECH_IRRIGATION,,180,-1,1,0,,,LOC_BUILDING_HANGING_GARDENS_DESCRIPTION,1,1,,2,0,,,0,0,,0,0,1,,0,,0,0,0,0,ERA_MEDIEVAL,0,0,0,0,0,LOC_BUILDING_HANGING_GARDENS_QUOTE,Play_HANGINGGARDENS_QUOTE,0,ADVISOR_GENERIC,0,,,0,
BUILDING_PYRAMIDS,LOC_BUILDING_PYRAMIDS_NAME,TECH_MASONRY,,220,-1,1,0,,,LOC_BUILDING_PYRAMIDS_DESCRIPTION,1,0,,0,0,,,0,0,,0,0,1,,0,,0,0,0,0,ERA_MEDIEVAL,0,0,0,0,0,LOC_BUILDING_PYRAMIDS_QUOTE,Play_PYRAMIDS_QUOTE,0,ADVISOR_GENERIC,0,,,0,
BUILDING_ORACLE,LOC_BUILDING_ORACLE_NAME,,CIVIC_MYSTICISM,290,-1,1,0,,,LOC_BUILDING_ORACLE_DESCRIPTION,1,0,,0,0,,,0,0,,0,0,1,,0,,0,0,0,0,ERA_MEDIEVAL,0,0,0,0,0,LOC_BUILDING_ORACLE_QUOTE,Play_ORACLE_QUOTE,0,ADVISOR_CULTURE,0,,,0,
BUILDING_GREAT_LIGHTHOUSE,LOC_BUILDING_GREAT_LIGHTHOUSE_NAME,TECH_CELESTIAL_NAVIGATION,,290,-1,1,0,,DISTRICT_HARBOR,LOC_BUILDING_GREAT_LIGHTHOUSE_DESCRIPTION,1,0,,0,0,,,0,0,,0,0,1,,0,,0,1,0,0,ERA_RENAISSANCE,0,0,0,0,0,LOC_BUILDING_GREAT_LIGHTHOUSE_QUOTE,Play_GREATLIGHTHOUSE_QUOTE,1,ADVISOR_CONQUEST,0,,,0,
BUILDING_COLOSSUS,LOC_BUILDING_COLOSSUS_NAME,TECH_SHIPBUILDING,,400,-1,1,0,,DISTRICT_HARBOR,LOC_BUILDING_COLOSSUS_DESCRIPTION,1,0,,0,0,,,0,0,,0,0,1,,0,,0,1,0,0,ERA_RENAISSANCE,0,0,0,0,0,LOC_BUILDING_COLOSSUS_QUOTE,Play_COLOSSUS_QUOTE,1,ADVISOR_GENERIC,0,,,0,
BUILDING_PETRA,LOC_BUILDING_PETRA_NAME,TECH_MATHEMATICS,,400,-1,1,0,,,LOC_BUILDING_PETRA_DESCRIPTION,1,0,,0,0,,,0,0,,0,0,1,,0,,0,0,0,0,ERA_RENAISSANCE,0,0,0,0,0,LOC_BUILDING_PETRA_QUOTE,Play_PETRA_QUOTE,0,ADVISOR_GENERIC,0,,,0,
BUILDING_COLOSSEUM,LOC_BUILDING_COLOSSEUM_NAME,,CIVIC_GAMES_RECREATION,400,-1,1,0,,DISTRICT_ENTERTAINMENT_COMPLEX,LOC_BUILDING_COLOSSEUM_DESCRIPTION,1,0,,0,2,,,0,0,,0,0,1,,0,,0,0,6,0,ERA_RENAISSANCE,0,0,0,0,0,LOC_BUILDING_COLOSSEUM_QUOTE,Play_COLOSSEUM_QUOTE,0,ADVISOR_GENERIC,0,,,0,
BUILDING_GREAT_LIBRARY,LOC_BUILDING_GREAT_LIBRARY_NAME,,CIVIC_RECORDED_HISTORY,400,-1,1,0,,DISTRICT_CAMPUS,LOC_BUILDING_GREAT_LIBRARY_DESCRIPTION,1,0,,0,0,,,0,0,,0,0,1,,0,,0,0,0,0,ERA_RENAISSANCE,0,0,0,0,0,LOC_BUILDING_GREAT_LIBRARY_QUOTE,Play_GREATLIBRARY_QUOTE,0,ADVISOR_TECHNOLOGY,0,,,0,
BUILDING_MAHABODHI_TEMPLE,LOC_BUILDING_MAHABODHI_TEMPLE_NAME,,CIVIC_THEOLOGY,400,-1,1,0,,DISTRICT_HOLY_SITE,LOC_BUILDING_MAHABODHI_TEMPLE_EXPANSION2_DESCRIPTION,1,0,,0,0,,,0,0,,0,0,1,,0,,0,0,0,0,ERA_RENAISSANCE,1,0,0,0,0,LOC_BUILDING_MAHABODHI_TEMPLE_QUOTE,Play_MAHABODHITEMPLE_QUOTE,0,ADVISOR_RELIGIOUS,0,,,0,
BUILDING_TERRACOTTA_ARMY,LOC_BUILDING_TERRACOTTA_ARMY_NAME,TECH_CONSTRUCTION,,400,-1,1,0,,DISTRICT_ENCAMPMENT,LOC_BUILDING_TERRACOTTA_ARMY_DESCRIPTION,1,0,,0,0,,,0,0,,0,0,1,,0,,0,0,0,0,ERA_RENAISSANCE,0,0,0,0,0,LOC_BUILDING_TERRACOTTA_ARMY_QUOTE,Play_TERRACOTTAARMY_QUOTE,0,ADVISOR_CONQUEST,0,,,0,
BUILDING_HAGIA_SOPHIA,LOC_BUILDING_HAGIA_SOPHIA_NAME,TECH_BUTTRESS,,710,-1,1,0,,DISTRICT_HOLY_SITE,LOC_BUILDING_HAGIA_SOPHIA_DESCRIPTION,1,0,,0,0,,,0,0,,0,0,1,,0,,0,0,0,0,ERA_INDUSTRIAL,1,0,0,0,0,LOC_BUILDING_HAGIA_SOPHIA_QUOTE,Play_HAGIASOPHIA_QUOTE,0,ADVISOR_RELIGIOUS,0,,,0,
BUILDING_ALHAMBRA,LOC_BUILDING_ALHAMBRA_NAME,TECH_CASTLES,,710,-1,1,0,,DISTRICT_ENCAMPMENT,LOC_BUILDING_ALHAMBRA_DESCRIPTION,1,0,,0,2,,,0,0,,0,0,1,,0,,0,0,0,0,ERA_INDUSTRIAL,0,2,4,0,0,LOC_BUILDING_ALHAMBRA_QUOTE,Play_ALHAMBRA_QUOTE,0,ADVISOR_CONQUEST,0,,,0,
BUILDING_CHICHEN_ITZA,LOC_BUILDING_CHICHEN_ITZA_NAME,,CIVIC_GUILDS,710,-1,1,0,,,LOC_BUILDING_CHICHEN_ITZA_DESCRIPTION,1,0,,0,0,,,0,0,,0,0,1,,0,,0,0,0,0,ERA_INDUSTRIAL,0,0,0,0,0,LOC_BUILDING_CHICHEN_ITZA_QUOTE,Play_CHICHENITZA_QUOTE,0,ADVISOR_GENERIC,0,,,0,
BUILDING_MONT_ST_MICHEL,LOC_BUILDING_MONT_ST_MICHEL_NAME,,CIVIC_DIVINE_RIGHT,710,-1,1,0,,,LOC_BUILDING_MONT_ST_MICHEL_DESCRIPTION,1,0,,0,0,,,0,0,,0,0,1,,0,,0,0,0,0,ERA_INDUSTRIAL,0,2,6,0,0,LOC_BUILDING_MONT_ST_MICHEL_QUOTE,Play_MONTSTMICHEL_QUOTE,0,ADVISOR_RELIGIOUS,0,,,0,
BUILDING_VENETIAN_ARSENAL,LOC_BUILDING_VENETIAN_ARSENAL_NAME,TECH_MASS_PRODUCTION,,920,-1,1,0,,DISTRICT_INDUSTRIAL_ZONE,LOC_BUILDING_VENETIAN_ARSENAL_DESCRIPTION,1,0,,0,0,,,0,0,,0,0,1,,0,,0,1,0,0,ERA_MODERN,0,0,0,0,0,LOC_BUILDING_VENETIAN_ARSENAL_QUOTE,Play_VENETIANARSENAL_QUOTE_01,1,ADVISOR_CONQUEST,0,,,0,
BUILDING_GREAT_ZIMBABWE,LOC_BUILDING_GREAT_ZIMBABWE_NAME,TECH_BANKING,,920,-1,1,0,,DISTRICT_COMMERCIAL_HUB,LOC_BUILDING_GREAT_ZIMBABWE_DESCRIPTION,1,0,,0,0,RESOURCE_CATTLE,,0,0,,0,0,1,,0,,0,0,0,0,ERA_MODERN,0,0,0,0,0,LOC_BUILDING_GREAT_ZIMBABWE_QUOTE,Play_GREATZIMBABWE_QUOTE,0,ADVISOR_GENERIC,0,,,0,
BUILDING_FORBIDDEN_CITY,LOC_BUILDING_FORBIDDEN_CITY_NAME,TECH_PRINTING,,920,-1,1,0,,DISTRICT_CITY_CENTER,LOC_BUILDING_FORBIDDEN_CITY_DESCRIPTION,1,0,,0,0,,,0,0,,0,0,1,,0,,0,0,0,0,ERA_MODERN,0,0,0,0,0,LOC_BUILDING_FORBIDDEN_CITY_QUOTE,Play_FORBIDDENCITY_QUOTE,0,ADVISOR_GENERIC,0,,,0,
BUILDING_POTALA_PALACE,LOC_BUILDING_POTALA_PALACE_NAME,TECH_ASTRONOMY,,1060,-1,1,0,,,LOC_BUILDING_POTALA_PALACE_EXPANSION2_DESCRIPTION,1,0,,0,0,,,0,0,,0,0,1,,0,,0,0,0,1,ERA_MODERN,0,0,0,0,0,LOC_BUILDING_POTALA_PALACE_QUOTE,Play_POTALAPALACE_QUOTE,0,ADVISOR_GENERIC,0,,,0,
