GovernorPromotionType,PrereqGovernorPromotion
GOVERNOR_PROMOTION_MERCHANT_CONTRACTOR,GOVERNOR_PROMOTION_MERCHANT_TAX_COLLECTOR
GOVERNOR_PROMOTION_MERCHANT_RENEWABLE_ENERGY,GOVERNOR_PROMOTION_MERCHANT_TAX_COLLECTOR
GOVERNOR_PROMOTION_HEAD_FALCONER,GOVERNOR_PROMOTION_PASHA
GOVERNOR_PROMOTION_SERASKER,GOVERNOR_PROMOTION_PASHA
GOVERNOR_PROMOTION_KHASS_ODA_BASHI,GOVERNOR_PROMOTION_HEAD_FALCONER
GOVERNOR_PROMOTION_CAPOU_AGHA,GOVERNOR_PROMOTION_SERASKER
GOVERNOR_PROMOTION_GRAND_VISIER,GOVERNOR_PROMOTION_KHASS_ODA_BASHI
GOVERNOR_PROMOTION_GRAND_VISIER,GOVERNOR_PROMOTION_CAPOU_AGHA
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_2,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_1
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_3,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_2
GOVERNOR_PROMOTION_OWLS_OF_MINERVA_4,GOVERNOR_PROMOTION_OWLS_OF_MINERVA_3
GOVERNOR_PROMOTION_HERMETIC_ORDER_2,GOVERNOR_PROMOTION_HERMETIC_ORDER_1
GOVERNOR_PROMOTION_HERMETIC_ORDER_3,GOVERNOR_PROMOTION_HERMETIC_ORDER_2
GOVERNOR_PROMOTION_HERMETIC_ORDER_4,GOVERNOR_PROMOTION_HERMETIC_ORDER_3
GOVERNOR_PROMOTION_VOIDSINGERS_2,GOVERNOR_PROMOTION_VOIDSINGERS_1
GOVERNOR_PROMOTION_VOIDSINGERS_3,GOVERNOR_PROMOTION_VOIDSINGERS_2
GOVERNOR_PROMOTION_VOIDSINGERS_4,GOVERNOR_PROMOTION_VOIDSINGERS_3
GOVERNOR_PROMOTION_SANGUINE_PACT_2,GOVERNOR_PROMOTION_SANGUINE_PACT_1
GOVERNOR_PROMOTION_SANGUINE_PACT_3,GOVERNOR_PROMOTION_SANGUINE_PACT_2
GOVERNOR_PROMOTION_SANGUINE_PACT_4,GOVERNOR_PROMOTION_SANGUINE_PACT_3
