ListType,LeaderType,AgendaType,System,MinDifficulty,MaxDifficulty
AirpowerLoverAirpowerPreference,,TRAIT_AGENDA_PREFER_AIRPOWER,PseudoYields,,
CitySateProtectionLoverCityStateProtectionPreference,,TRAIT_AGENDA_PREFER_CITY_STATE_PROTECTOR,DiplomaticActions,,
ExploitationLoverExploitationPreference,,TRAIT_AGENDA_PREFER_EXPLOITATION,PseudoYields,,
EnvironmentLoverEnvironmentPreference,,TRAIT_AGENDA_PREFER_ENVIRONMENT,PseudoYields,,
FaithLoverFaithPreference,,TRAIT_AGENDA_PREFER_FAITH,Yields,,
ExplorationObsessedExplorers,,TRAIT_AGENDA_EXPLORATION_OBSESSED,PseudoYields,,
GreeceCivics,TRAIT_CIVILIZATION_DISTRICT_ACROPOLIS,,Civics,,
GreeceYields,TRAIT_CIVILIZATION_DISTRICT_ACROPOLIS,,Yields,,
TomyrisDiplomacy,,TRAIT_AGENDA_BACKSTAB_AVERSE,DiplomaticActions,,
GilgameshDiplomacy,,TRAIT_AGENDA_ALLY_OF_ENKIDU,DiplomaticActions,,
MinorCivDiplomacy,MINOR_CIV_DEFAULT_TRAIT,,DiplomaticActions,,
BaseListTest,TRAIT_LEADER_MAJOR_CIV,,Civics,,
BarbarossaWonders,TRAIT_LEADER_HOLY_ROMAN_EMPEROR,,Buildings,,
CatherineWonders,FLYING_SQUADRON_TRAIT,,Buildings,,
CleopatraWonders,TRAIT_LEADER_MEDITERRANEAN,,Buildings,,
GandhiWonders,TRAIT_LEADER_SATYAGRAHA,,Buildings,,
GorgoWonders,TRAIT_AGENDA_WITH_SHIELD,,Buildings,,
HaraldWonders,TRAIT_LEADER_UNIT_NORWEGIAN_LONGSHIP,,Buildings,,
HoJoWonders,TRAIT_LEADER_DIVINE_WIND,,Buildings,,
MvembaWonders,TRAIT_LEADER_RELIGIOUS_CONVERT,,Buildings,,
PedroWonders,TRAIT_LEADER_MAGNANIMOUS,,Buildings,,
PericlesWonders,TRAIT_LEADER_SURROUNDED_BY_GLORY,,Buildings,,
PericlesEnvoys,TRAIT_LEADER_SURROUNDED_BY_GLORY,,PseudoYields,,
PeterWonders,TRAIT_LEADER_GRAND_EMBASSY,,Buildings,,
PhilipWonders,TRAIT_LEADER_EL_ESCORIAL,,Buildings,,
PhilipForeignSettlement,TRAIT_LEADER_EL_ESCORIAL,,PlotEvaluations,,
QinWonders,FIRST_EMPEROR_TRAIT,,Buildings,,
RooseveltWonders,TRAIT_LEADER_ROOSEVELT_COROLLARY,,Buildings,,
SaladinWonders,TRAIT_LEADER_RIGHTEOUSNESS_OF_FAITH,,Buildings,,
TrajanWonders,TRAJANS_COLUMN_TRAIT,,Buildings,,
VictoriaWonders,TRAIT_LEADER_PAX_BRITANNICA,,Buildings,,
BarbarossaCivics,TRAIT_LEADER_HOLY_ROMAN_EMPEROR,,Civics,,
CatherineCivics,FLYING_SQUADRON_TRAIT,,Civics,,
CleopatraCivics,TRAIT_LEADER_MEDITERRANEAN,,Civics,,
GandhiCivics,TRAIT_LEADER_SATYAGRAHA,,Civics,,
GorgoCivics,TRAIT_AGENDA_WITH_SHIELD,,Civics,,
HaraldCivics,TRAIT_LEADER_UNIT_NORWEGIAN_LONGSHIP,,Civics,,
HoJoCivics,TRAIT_LEADER_DIVINE_WIND,,Civics,,
MvembaCivics,TRAIT_LEADER_RELIGIOUS_CONVERT,,Civics,,
PedroCivics,TRAIT_LEADER_MAGNANIMOUS,,Civics,,
PericlesCivics,TRAIT_LEADER_SURROUNDED_BY_GLORY,,Civics,,
PeterCivics,TRAIT_LEADER_GRAND_EMBASSY,,Civics,,
PhilipCivics,TRAIT_LEADER_EL_ESCORIAL,,Civics,,
QinCivics,FIRST_EMPEROR_TRAIT,,Civics,,
RooseveltCivics,TRAIT_LEADER_ROOSEVELT_COROLLARY,,Civics,,
SaladinCivics,TRAIT_LEADER_RIGHTEOUSNESS_OF_FAITH,,Civics,,
TomyrisCivics,TRAIT_LEADER_KILLER_OF_CYRUS,,Civics,,
TrajanCivics,TRAJANS_COLUMN_TRAIT,,Civics,,
VictoriaCivics,TRAIT_LEADER_PAX_BRITANNICA,,Civics,,
BarbarossaTechs,TRAIT_LEADER_HOLY_ROMAN_EMPEROR,,Technologies,,
CatherineTechs,FLYING_SQUADRON_TRAIT,,Technologies,,
CleopatraTechs,TRAIT_LEADER_MEDITERRANEAN,,Technologies,,
GandhiTechs,TRAIT_LEADER_SATYAGRAHA,,Technologies,,
GorgoTechs,TRAIT_AGENDA_WITH_SHIELD,,Technologies,,
HaraldTechs,TRAIT_LEADER_UNIT_NORWEGIAN_LONGSHIP,,Technologies,,
HoJoTechs,TRAIT_LEADER_DIVINE_WIND,,Technologies,,
MvembaTechs,TRAIT_LEADER_RELIGIOUS_CONVERT,,Technologies,,
PedroTechs,TRAIT_LEADER_MAGNANIMOUS,,Technologies,,
PericlesTechs,TRAIT_LEADER_SURROUNDED_BY_GLORY,,Technologies,,
PeterTechs,TRAIT_LEADER_GRAND_EMBASSY,,Technologies,,
PhilipTechs,TRAIT_LEADER_EL_ESCORIAL,,Technologies,,
QinTechs,FIRST_EMPEROR_TRAIT,,Technologies,,
RooseveltTechs,TRAIT_LEADER_ROOSEVELT_COROLLARY,,Technologies,,
SaladinTechs,TRAIT_LEADER_RIGHTEOUSNESS_OF_FAITH,,Technologies,,
TomyrisTechs,TRAIT_LEADER_KILLER_OF_CYRUS,,Technologies,,
TrajanTechs,TRAJANS_COLUMN_TRAIT,,Technologies,,
VictoriaTechs,TRAIT_LEADER_PAX_BRITANNICA,,Technologies,,
GandhiUnitBuilds,TRAIT_LEADER_SATYAGRAHA,,UnitPromotionClasses,,
TomyrisiUnitBuilds,TRAIT_LEADER_KILLER_OF_CYRUS,,UnitPromotionClasses,,
GilgameshSciencePreference,TRAIT_LEADER_ADVENTURES_ENKIDU,,Yields,,
DefaultCitySettlement,TRAIT_LEADER_MAJOR_CIV,,SettlementPreferences,,
DefaultCitySpecialization,TRAIT_LEADER_MAJOR_CIV,,AiBuildSpecializations,,
DefaultTechBoostSupportList,TRAIT_LEADER_MAJOR_CIV,,TechBoosts,DIFFICULTY_WARLORD,
DefaultTriggeredTrees,TRAIT_LEADER_MAJOR_CIV,,TriggeredTrees,,
DefaultYieldBias,TRAIT_LEADER_MAJOR_CIV,,Yields,,
UnitPriorityBoosts,TRAIT_LEADER_MAJOR_CIV,,Units,,
DefaultCityBuilds,TRAIT_LEADER_MAJOR_CIV,,CityEvents,,
DefaultSavings,TRAIT_LEADER_MAJOR_CIV,,SavingTypes,,
DefaultScoutUse,TRAIT_LEADER_MAJOR_CIV,,AiScoutUses,,
ExpansionistCitySettlement,TRAIT_LEADER_EXPANSIONIST,,SettlementPreferences,,
CavalryLoverCitySettlement,TRAIT_LEADER_KILLER_OF_CYRUS,,PlotEvaluations,,
AgressiveDiplomacy,TRAIT_LEADER_AGGRESSIVE_MILITARY,,DiplomaticActions,,
AggressivePseudoYields,TRAIT_LEADER_AGGRESSIVE_MILITARY,,PseudoYields,,
LowReligiousPreferencePseudoYields,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE,,PseudoYields,,
LowReligiousPreferenceYields,TRAIT_LEADER_LOW_RELIGIOUS_PREFERENCE,,Yields,,
LowCityStatePreferenceWarDiploActions,TRAIT_LEADER_LOW_CITY_STATE_PREFERENCE_WAR,,DiplomaticActions,,
DefaultCitySpecialization,MINOR_CIV_DEFAULT_TRAIT,,AiBuildSpecializations,,
MinorCivTriggeredTrees,MINOR_CIV_DEFAULT_TRAIT,,TriggeredTrees,,
MinorCivUnitBuilds,MINOR_CIV_DEFAULT_TRAIT,,UnitPromotionClasses,,
MinorCivCityBuilds,MINOR_CIV_DEFAULT_TRAIT,,CityEvents,,
MinorCivPseudoYields,MINOR_CIV_DEFAULT_TRAIT,,PseudoYields,,
DefaultSavings,MINOR_CIV_DEFAULT_TRAIT,,SavingTypes,,
MinorCivDistricts,MINOR_CIV_DEFAULT_TRAIT,,Districts,,
MinorCivScienceDistrict,MINOR_CIV_SCIENTIFIC_TRAIT,,Districts,,
MinorCivReligiousDistrict,MINOR_CIV_RELIGIOUS_TRAIT,,Districts,,
MinorCivTradeDistrict,MINOR_CIV_TRADE_TRAIT,,Districts,,
MinorCivCultureDistrict,MINOR_CIV_CULTURAL_TRAIT,,Districts,,
MinorCivMilitaryDistrict,MINOR_CIV_MILITARISTIC_TRAIT,,Districts,,
MinorCivIndustryDistrict,MINOR_CIV_INDUSTRIAL_TRAIT,,Districts,,
BarbarianTriggeredTrees,TRAIT_LEADER_BARBARIAN,,TriggeredTrees,,
FavorCulturalVictory,TRAIT_LEADER_CULTURAL_MAJOR_CIV,,Strategies,,
FavorReligiousVictory,TRAIT_LEADER_RELIGIOUS_MAJOR_CIV,,Strategies,,
ForbidReligiousVictory,TRAIT_LEADER_NONRELIGIOUS_MAJOR_CIV,,Strategies,,
FavorScienceVictory,TRAIT_LEADER_SCIENCE_MAJOR_CIV,,Strategies,,
BaseOperationsLimits,TRAIT_LEADER_MAJOR_CIV,,AiOperationTypes,,
PerWarOperationsLimits,TRAIT_LEADER_MAJOR_CIV,,PerWarOperationTypes,,
BaseOperationsLimits,MINOR_CIV_DEFAULT_TRAIT,,AiOperationTypes,,
Default Tactical,TRAIT_LEADER_MAJOR_CIV,,Tactics,,
Default Homeland,TRAIT_LEADER_MAJOR_CIV,,Homeland,,
Default Barbarian,TRAIT_LEADER_BARBARIAN,,Tactics,,
Default Barbarian HL,TRAIT_LEADER_BARBARIAN,,Homeland,,
Minor Civ Tactical,MINOR_CIV_DEFAULT_TRAIT,,Tactics,,
Minor Civ Homeland,MINOR_CIV_DEFAULT_TRAIT,,Homeland,,
ClassicalPseudoYields,,,PseudoYields,,
ClassicalYields,,,Yields,,
CultureVictoryPseudoYields,,,PseudoYields,,
ClassicalDistricts,,,Districts,,
CultureVictoryYields,,,Yields,,
EarlyExplorationBoost,,,AiScoutUses,,
ExpansionSettlementBoost,,,SettlementPreferences,,
ExpansionSettlementPreferences,,,PlotEvaluations,,
ExpansionUnitPreferences,,,PseudoYields,,
IndustrialPseudoYields,,,PseudoYields,,
IndustrialYields,,,Yields,,
MedievalSettlements,,,SettlementPreferences,,
MedievalPseudoYields,,,PseudoYields,,
MedievalYields,,,Yields,,
MilitaryVictoryOperations,,,AiOperationTypes,,
MilitaryVictoryPseudoYields,,,PseudoYields,,
MilitaryVictoryYields,,,Yields,,
ModernPseudoYields,,,PseudoYields,,
ModernYields,,,Yields,,
NavalUnitPreferences,,,PseudoYields,,
NavalSettlementPreferences,,,PlotEvaluations,,
NavalSettlementBoost,,,SettlementPreferences,,
NavalPreferredTechs,,,Technologies,,
ReligiousVictoryBehaviors,,,TriggeredTrees,,
ReligiousVictoryDiplomacy,,,DiplomaticActions,,
ReligiousVictoryPseudoYields,,,PseudoYields,,
ReligiousVictoryYields,,,Yields,,
RenaissancePseudoYields,,,PseudoYields,,
RenaissanceYields,,,Yields,,
ScienceVictoryDistricts,,,Districts,,
ScienceVictoryPseudoYields,,,PseudoYields,,
ScienceVictoryTechs,,,Technologies,,
ScienceVictoryYields,,,Yields,,
WonderObsessedIndustrialBonus,,,PseudoYields,,
MontezumaWonders,TRAIT_LEADER_GIFTS_FOR_TLATOANI,,Buildings,,
MontezumaCivics,TRAIT_LEADER_GIFTS_FOR_TLATOANI,,Civics,,
MontezumaTechs,TRAIT_LEADER_GIFTS_FOR_TLATOANI,,Technologies,,
GitarjaCivics,TRAIT_LEADER_EXALTED_GODDESS,,Civics,,
GitarjaTechs,TRAIT_LEADER_EXALTED_GODDESS,,Technologies,,
GitarjaWonders,TRAIT_LEADER_EXALTED_GODDESS,,Buildings,,
JayavarmanCivics,TRAIT_LEADER_MONASTERIES_KING,,Civics,,
JayavarmanTechs,TRAIT_LEADER_MONASTERIES_KING,,Technologies,,
JayavarmanUnitBuilds,TRAIT_LEADER_MONASTERIES_KING,,Units,,
JayavarmanWonders,TRAIT_LEADER_MONASTERIES_KING,,Buildings,,
ExaltedGoddessResolutions,TRAIT_LEADER_EXALTED_GODDESS,,Resolutions,,
JadwigaCivics,TRAIT_LEADER_LITHUANIAN_UNION,,Civics,,
JadwigaTechs,TRAIT_LEADER_LITHUANIAN_UNION,,Technologies,,
JadwigaUnitBuilds,TRAIT_LEADER_LITHUANIAN_UNION,,Units,,
JadwigaWonders,TRAIT_LEADER_LITHUANIAN_UNION,,Buildings,,
FaithLoverFaithPreference,,TRAIT_AGENDA_SAINT,Yields,,
AmanitoreCivics,TRAIT_LEADER_KANDAKE_OF_MEROE,,Civics,,
AmanitoreTechs,TRAIT_LEADER_KANDAKE_OF_MEROE,,Technologies,,
AmanitoreUnitBuilds,TRAIT_LEADER_KANDAKE_OF_MEROE,,UnitPromotionClasses,,
AmanitoreWonders,TRAIT_LEADER_KANDAKE_OF_MEROE,,Buildings,,
TaSetiResolutions,TRAIT_CIVILIZATION_TA_SETI,,Resolutions,,
AlexanderPreferWar,TRAIT_LEADER_TO_WORLDS_END,,Strategies,,
CyrusPreferBackstabbing,TRAIT_AGENDA_BACKSTABBER,,DiplomaticActions,,
AlexanderCivics,TRAIT_LEADER_TO_WORLDS_END,,Civics,,
AlexanderTechs,TRAIT_LEADER_TO_WORLDS_END,,Technologies,,
AlexanderWonders,TRAIT_LEADER_TO_WORLDS_END,,Buildings,,
CyrusCivics,TRAIT_LEADER_FALL_BABYLON,,Civics,,
CyrusTechs,TRAIT_LEADER_FALL_BABYLON,,Technologies,,
CyrusWonders,TRAIT_LEADER_FALL_BABYLON,,Buildings,,
ShortLifeDiplomacy,,TRAIT_AGENDA_SHORT_LIFE_GLORY,DiplomaticActions,,
CurtinCivics,TRAIT_LEADER_CITADEL_CIVILIZATION,,Civics,,
CurtinDiplomacy,TRAIT_LEADER_CITADEL_CIVILIZATION,,DiplomaticActions,,
CurtinTechs,TRAIT_LEADER_CITADEL_CIVILIZATION,,Technologies,,
CurtinWonders,TRAIT_LEADER_CITADEL_CIVILIZATION,,Buildings,,
IronConfederacyDiplomacy,,TRAIT_AGENDA_IRON_CONFEDERACY,DiplomaticActions,,
MauryaEmpireDiplomacy,,TRAIT_AGENDA_MAURYA_EMPIRE,DiplomaticActions,,
TamarFavorWalls,,TRAIT_AGENDA_NARIKALA_FORTRESS,Buildings,,
TamarYields,,TRAIT_AGENDA_NARIKALA_FORTRESS,Yields,,
TucapelSettlingChanges,,TRAIT_AGENDA_SPIRIT_OF_TUCAPEL,PlotEvaluations,,
TucapelPseudoYields,,TRAIT_AGENDA_SPIRIT_OF_TUCAPEL,PseudoYields,,
WilhelminaPseudoYields,,TRAIT_AGENDA_BILLIONAIRE,PseudoYields,,
WilhelminaYields,,TRAIT_AGENDA_BILLIONAIRE,Yields,,
KoreaScienceBiase,TRAIT_CIVILIZATION_DISTRICT_SEOWON,,Yields,,
ScottishEnlightnmentBiases,TRAIT_CIVILIZATION_SCOTTISH_ENLIGHTENMENT,,PseudoYields,,
ScottishEnlightnmentDistricts,TRAIT_CIVILIZATION_SCOTTISH_ENLIGHTENMENT,,Districts,,
TerritorialWarriorList,TRAIT_LEADER_ARTHASHASTRA,,DiplomaticActions,,
LiberationWarriorList,TRAIT_LEADER_BANNOCKBURN,,DiplomaticActions,,
ProtectorateWarriorList,TRAIT_LEADER_RELIGION_CITY_STATES,,DiplomaticActions,,
GenghisKhanCavalryLoverList,TRAIT_LEADER_GENGHIS_KHAN_ABILITY,,UnitPromotionClasses,,
CavalryLoverCitySettlement,TRAIT_LEADER_GENGHIS_KHAN_ABILITY,,PlotEvaluations,,
WilhelminaEmergencyAllianceList,TRAIT_RADIO_ORANJE,,DiplomaticActions,,
ChandraguptaCivics,TRAIT_LEADER_ARTHASHASTRA,,Civics,,
ChandraguptaTechs,TRAIT_LEADER_ARTHASHASTRA,,Technologies,,
ChandraguptaWonders,TRAIT_LEADER_ARTHASHASTRA,,Buildings,,
LautaroCivics,TRAIT_LEADER_LAUTARO_ABILITY,,Civics,,
LautaroTechs,TRAIT_LEADER_LAUTARO_ABILITY,,Technologies,,
LautaroWonders,TRAIT_LEADER_LAUTARO_ABILITY,,Buildings,,
ShakaCivics,TRAIT_LEADER_AMABUTHO,,Civics,,
ShakaTechs,TRAIT_LEADER_AMABUTHO,,Technologies,,
ShakaWonders,TRAIT_LEADER_AMABUTHO,,Buildings,,
GenghisCivics,TRAIT_LEADER_GENGHIS_KHAN_ABILITY,,Civics,,
GenghisTechs,TRAIT_LEADER_GENGHIS_KHAN_ABILITY,,Technologies,,
GenghisWonders,TRAIT_LEADER_GENGHIS_KHAN_ABILITY,,Buildings,,
WilhelminaCivics,TRAIT_RADIO_ORANJE,,Civics,,
WilhelminaTechs,TRAIT_RADIO_ORANJE,,Technologies,,
WilhelminaWonders,TRAIT_RADIO_ORANJE,,Buildings,,
RobertCivics,TRAIT_LEADER_BANNOCKBURN,,Civics,,
RobertTechs,TRAIT_LEADER_BANNOCKBURN,,Technologies,,
RobertWonders,TRAIT_LEADER_BANNOCKBURN,,Buildings,,
TamarCivics,TRAIT_LEADER_RELIGION_CITY_STATES,,Civics,,
TamarTechs,TRAIT_LEADER_RELIGION_CITY_STATES,,Technologies,,
TamarEnvoys,TRAIT_LEADER_RELIGION_CITY_STATES,,PseudoYields,,
TamarWonders,TRAIT_LEADER_RELIGION_CITY_STATES,,Buildings,,
PoundmakerCivics,TRAIT_LEADER_ALLIANCE_AND_TRADE,,Civics,,
PoundmakerTechs,TRAIT_LEADER_ALLIANCE_AND_TRADE,,Technologies,,
PoundmakerWonders,TRAIT_LEADER_ALLIANCE_AND_TRADE,,Buildings,,
SeondeokCivics,TRAIT_LEADER_HWARANG,,Civics,,
SeondeokTechs,TRAIT_LEADER_HWARANG,,Technologies,,
SeondeokWonders,TRAIT_LEADER_HWARANG,,Buildings,,
ScottishEnlightenmentResolutions,TRAIT_CIVILIZATION_SCOTTISH_ENLIGHTENMENT,,Resolutions,,
OrtooResolutions,TRAIT_CIVILIZATION_MONGOLIAN_ORTOO,,Resolutions,,
ReligionCityStatesDiscussions,TRAIT_LEADER_RELIGION_CITY_STATES,,Discussions,,
GossipFavoredDiplomacy,,TRAIT_AGENDA_GOSSIP,DiplomaticActions,,
KoreaFavoredAlliances,TRAIT_CIVILIZATION_DISTRICT_SEOWON,,Alliances,,
GorgoFavoredAlliances,CULTURE_KILLS_TRAIT,,Alliances,,
JayavarmanDisfavoredAlliances,TRAIT_LEADER_MONASTERIES_KING,,Alliances,,
FreeCitiesTactics,TRAIT_LEADER_FREE_CITIES,,Tactics,,
FreeCitiesHomeland,TRAIT_LEADER_FREE_CITIES,,Homeland,,
FreeCitiesOperationLimits,TRAIT_LEADER_FREE_CITIES,,AiOperationTypes,,
FreeCitiesCityBuilds,TRAIT_LEADER_FREE_CITIES,,CityEvents,,
CultureVictoryFavoredCommemorations,,,Commemorations,,
MilitaryVictoryFavoredCommemorations,,,Commemorations,,
ReligiousVictoryFavoredCommemorations,,,Commemorations,,
ScienceVictoryFavoredCommemorations,,,Commemorations,,
AvoidDarkAges,,,PseudoYields,,
ClassicalSensitivity,,,YieldSensitivities,,
MedievalSensitivity,,,YieldSensitivities,,
ModernSensitivity,,,YieldSensitivities,,
ScienceSensitivity,,,YieldSensitivities,,
CultureSensitivity,,,YieldSensitivities,,
CultureVictoryAgendas,,,Agendas,,
MilitaryVictoryAgendas,,,Agendas,,
ReligiousVictoryAgendas,,,Agendas,,
ScienceVictoryAgendas,,,Agendas,,
DiplomaticPseudoYieldPreferences,,,PseudoYields,,
DiplomaticVictoryPreference,TRAIT_LEADER_PURSUE_DIPLOMATIC_VICTORY,,Strategies,,
AncientPseudoYields,,,PseudoYields,,
AirPowerResolutions,,TRAIT_AGENDA_PREFER_AIRPOWER,Resolutions,,
CityStateProtectorResolutions,,TRAIT_AGENDA_PREFER_CITY_STATE_PROTECTOR,Resolutions,,
CivilizedResolutions,,TRAIT_AGENDA_PREFER_CLEAR_BANDIT_CAMPS,Resolutions,,
CulturedResolutions,,TRAIT_AGENDA_PREFER_CULTURE,Resolutions,,
DevoutResolutions,,TRAIT_AGENDA_PREFER_FAITH,Resolutions,,
EnvironmentalistResolutions,,TRAIT_AGENDA_PREFER_ENVIRONMENT,Resolutions,,
ExploitativeResolutions,,TRAIT_AGENDA_PREFER_EXPLOITATION,Resolutions,,
ExplorerResolutions,,TRAIT_AGENDA_EXPLORATION_OBSESSED,Resolutions,,
FunLovingResolutions,,TRAIT_AGENDA_PREFER_HAPPINESS,Resolutions,,
GreatPersonAdvocateResolutions,,TRAIT_AGENDA_GREAT_PERSON_ADVOCATE,Resolutions,,
IdealogueResolutions,,TRAIT_AGENDA_PREFER_SAME_GOVERNMENT,Resolutions,,
IndustrialistResolutions,,TRAIT_AGENDA_PREFER_INDUSTRY,Resolutions,,
MoneyGrubberResolutions,,TRAIT_AGENDA_PREFER_INCOME,Resolutions,,
NukeLoverResolutions,,TRAIT_AGENDA_PREFER_NUKES,Resolutions,,
ParanoidResolutions,,TRAIT_AGENDA_PARANOID,Resolutions,,
PopulousResolutions,,TRAIT_AGENDA_PREFER_POPULATION,Resolutions,,
StandingArmyResolutions,,TRAIT_AGENDA_PREFER_STANDING_ARMY,Resolutions,,
TechnophileResolutions,,TRAIT_AGENDA_PREFER_SCIENCE,Resolutions,,
AyyubidDynastyResolutions,,TRAIT_AGENDA_AYYUBID_DYNASTY,Resolutions,,
BlackQueenResolutions,,TRAIT_AGENDA_BLACK_QUEEN,Resolutions,,
CityStateAllyResolutions,,TRAIT_AGENDA_CITY_STATE_ALLY,Resolutions,,
CounterReformerResolutions,,TRAIT_AGENDA_COUNTER_REFORMER,Resolutions,,
DelianLeagueResolutions,,TRAIT_AGENDA_DELAIN_LEAGUE,Resolutions,,
EnthusiasticDiscipleResolutions,,TRAIT_AGENDA_ENTHUSIASTIC_DISCIPLE,Resolutions,,
GreatPersonObessessedResolutions,,TRAIT_AGENDA_GREAT_PERSON_OBSESSED,Resolutions,,
IronCrownResolutions,,TRAIT_AGENDA_IRON_CROWN,Resolutions,,
LastVikingResolutions,,TRAIT_AGENDA_LAST_VIKING_KING,Resolutions,,
OptimusPrincepsResolutions,,TRAIT_AGENDA_OPTIMUS_PRINCEPS,Resolutions,,
SunNeverSetsResolutions,,TRAIT_AGENDA_SUN_NEVER_SETS,Resolutions,,
TlatoaniResolutions,,TRAIT_AGENDA_TLATOANI,Resolutions,,
WesternizerResolutions,,TRAIT_AGENDA_WESTERNIZER,Resolutions,,
EndToSufferingResolutions,,TRAIT_AGENDA_END_TO_SUFFERING,Resolutions,,
SaintResolutions,,TRAIT_AGENDA_SAINT,Resolutions,,
ShortLifeGloryResolutions,,TRAIT_AGENDA_SHORT_LIFE_GLORY,Resolutions,,
BillionaireResolutions,,TRAIT_AGENDA_BILLIONAIRE,Resolutions,,
HorseLordResolutions,,TRAIT_AGENDA_HORSE_LORD,Resolutions,,
IronConfederacyResolutions,,TRAIT_AGENDA_IRON_CONFEDERACY,Resolutions,,
NarikalaFortressResolutions,,TRAIT_AGENDA_NARIKALA_FORTRESS,Resolutions,,
SpiritOfTucapelResolutions,,TRAIT_AGENDA_SPIRIT_OF_TUCAPEL,Resolutions,,
DemagogueResolutions,,TRAIT_AGENDA_PREFER_NOFAVOR,Resolutions,,
DestinationCivResolutions,,TRAIT_AGENDA_PREFER_NOTOURISM,Resolutions,,
ExpansionistResolutions,,TRAIT_AGENDA_EXPANSIONIST,Resolutions,,
FlatEartherResolutions,,TRAIT_AGENDA_FLAT_EARTHER,Resolutions,,
FlatEartherVictories,,TRAIT_AGENDA_FLAT_EARTHER,Strategies,,
GreatWhiteFleetResolutions,,TRAIT_AGENDA_GREAT_WHITE_FLEET,Resolutions,,
IntolerantResolutions,,TRAIT_AGENDA_INTOLERANT,Resolutions,,
LibertarianResolutions,,TRAIT_AGENDA_PREFER_NODIPLOVP,Resolutions,,
PillagerResolutions,,TRAIT_AGENDA_PREFER_PILLAGE,Resolutions,,
TurtlerResolutions,,TRAIT_AGENDA_TURTLER,Resolutions,,
ZealotResolutions,,TRAIT_AGENDA_ZEALOT,Resolutions,,
AngevinEmpireResolutions,,TRAIT_AGENDA_ANGEVIN_EMPIRE,Resolutions,,
KaitiakitangaResolutions,,TRAIT_AGENDA_KAITIAKITANGA,Resolutions,,
LordOfMinesResolutions,,TRAIT_AGENDA_LORD_OF_MINES,Resolutions,,
RavenBannerResolutions,,TRAIT_AGENDA_RAVEN_BANNER,Resolutions,,
PatronOfArtsResolutions,,TRAIT_AGENDA_PATRON_OF_ARTS,Resolutions,,
DharmaResolutions,TRAIT_CIVILIZATION_DHARMA,,Resolutions,,
ExtraLightCavalryResolutions,TRAIT_CIVILIZATION_EXTRA_LIGHT_CAVALRY,,Resolutions,,
GreatWallResolutions,TRAIT_CIVILIZATION_IMPROVEMENT_GREAT_WALL,,Resolutions,,
