DiplomaticActionType,Name,Description,CivilopediaKey,InitiatorPrereqCivic,InitiatorPrereqTech,TargetPrereqCivic,TargetPrereqTech,InitiatorObsoleteCivic,Cost,RequiresCapitalPath,RequiresConvertedCity,RequiresOccupiedCity,RequiresOccupiedFriendlyCity,RequiresWarOnAlliedCityState,RequiresLeadXEras,RequiresArchaeologyIntrusion,RequiresAdjacentEmpires,RequiresEspionageIntrusion,NoCurrentDelegation,NoCurrentEmbassy,NoCurrentOpenBorders,NoCurrentDenunciation,NoCurrentDOF,NoCurrentResearchAgreement,NoCurrentDefensivePact,Agreement,WarmongerPercent,CaptureWarmongerPercent,RazeWarmongerPercent,UIGroup,DenouncementTurnsRequired,RequiresAlliance,RequiresTeamMembership,Duration
DIPLOACTION_GIFT_UNIT,LOC_DIPLOACTION_GIFT_UNIT_NAME,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,30
DIPLOACTION_MILITARY_REQUEST,LOC_DIPLOACTION_MILITARY_REQUEST_NAME,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,30
DIPLOACTION_DECLARE_WAR_MINOR_CIV,LOC_DIPLOACTION_DECLARE_WAR_MINOR_CIV_NAME,,DIPLO_3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,30
DIPLOACTION_DECLARE_SURPRISE_WAR,LOC_DIPLOACTION_DECLARE_SURPRISE_WAR_NAME,LOC_DIPLOACTION_DECLARE_SURPRISE_WAR_DESCRIPTION,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,450,,-1,0,0,30
DIPLOACTION_DECLARE_FORMAL_WAR,LOC_DIPLOACTION_DECLARE_FORMAL_WAR_NAME,LOC_DIPLOACTION_DECLARE_FORMAL_WAR_DESCRIPTION,DIPLO_3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,300,FORMALWAR,5,0,0,30
DIPLOACTION_JOINT_WAR,LOC_DIPLOACTION_JOINT_WAR_NAME,LOC_DIPLOACTION_JOINT_WAR_DESCRIPTION,DIPLO_14,CIVIC_FOREIGN_TRADE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,100,300,,-1,0,0,30
DIPLOACTION_DECLARE_HOLY_WAR,LOC_DIPLOACTION_DECLARE_HOLY_WAR_NAME,LOC_DIPLOACTION_DECLARE_HOLY_WAR_DESCRIPTION,DIPLO_3,CIVIC_DIPLOMATIC_SERVICE,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,FORMALWAR,5,0,0,30
DIPLOACTION_DECLARE_LIBERATION_WAR,LOC_DIPLOACTION_DECLARE_LIBERATION_WAR_NAME,LOC_DIPLOACTION_DECLARE_LIBERATION_WAR_DESCRIPTION,DIPLO_3,CIVIC_DIPLOMATIC_SERVICE,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,600,FORMALWAR,5,0,0,30
DIPLOACTION_DECLARE_RECONQUEST_WAR,LOC_DIPLOACTION_DECLARE_RECONQUEST_WAR_NAME,LOC_DIPLOACTION_DECLARE_RECONQUEST_WAR_DESCRIPTION,DIPLO_3,CIVIC_DEFENSIVE_TACTICS,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FORMALWAR,5,0,0,30
DIPLOACTION_DECLARE_PROTECTORATE_WAR,LOC_DIPLOACTION_DECLARE_PROTECTORATE_WAR_NAME,LOC_DIPLOACTION_DECLARE_PROTECTORATE_WAR_DESCRIPTION,DIPLO_3,CIVIC_DEFENSIVE_TACTICS,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,300,FORMALWAR,0,0,0,30
DIPLOACTION_DECLARE_COLONIAL_WAR,LOC_DIPLOACTION_DECLARE_COLONIAL_WAR_NAME,LOC_DIPLOACTION_DECLARE_COLONIAL_WAR_DESCRIPTION,DIPLO_3,CIVIC_NATIONALISM,,,,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,50,50,300,FORMALWAR,5,0,0,30
DIPLOACTION_DECLARE_TERRITORIAL_WAR,LOC_DIPLOACTION_DECLARE_TERRITORIAL_WAR_NAME,LOC_DIPLOACTION_DECLARE_TERRITORIAL_WAR_DESCRIPTION,DIPLO_3,CIVIC_MOBILIZATION,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75,75,150,FORMALWAR,5,0,0,30
DIPLOACTION_PROPOSE_TRADE,LOC_DIPLOACTION_PROPOSE_TRADE_NAME,LOC_DIPLOACTION_PROPOSE_TRADE_DESCRIPTION,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,30
DIPLOACTION_KEEP_PROMISE_DONT_SPY,LOC_DIPLOACTION_KEEP_PROMISE_DONT_SPY_NAME,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DISCUSS,-1,0,0,30
DIPLOACTION_KEEP_PROMISE_DONT_CONVERT,LOC_DIPLOACTION_KEEP_PROMISE_DONT_CONVERT_NAME,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DISCUSS,-1,0,0,30
DIPLOACTION_KEEP_PROMISE_DONT_DIG_ARTIFACTS,LOC_DIPLOACTION_KEEP_PROMISE_DONT_DIG_ARTIFACTS_NAME,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DISCUSS,-1,0,0,30
DIPLOACTION_KEEP_PROMISE_DONT_SETTLE_TOO_NEAR,LOC_DIPLOACTION_KEEP_PROMISE_DONT_SETTLE_TOO_NEAR_NAME,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DISCUSS,-1,0,0,30
DIPLOACTION_PROPOSE_PEACE_DEAL,LOC_DIPLOACTION_PROPOSE_PEACE_DEAL,LOC_DIPLOACTION_PROPOSE_PEACE_DEAL_DESCRIPTION,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,30
DIPLOACTION_VIEW_TRADE,LOC_DIPLOACTION_VIEW_TRADE_NAME,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,30
DIPLOACTION_VIEW_DEMAND_TRIBUTE,LOC_DIPLOACTION_VIEW_DEMAND_TRIBUTE_NAME,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,30
DIPLOACTION_USE_NUCLEAR_WEAPON,LOC_DIPLOACTION_USE_NUCLEAR_WEAPON,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,30
DIPLOACTION_LIBERATE_CITY,LOC_DIPLOACTION_LIBERATE_CITY,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,30
DIPLOACTION_ALLIANCE_RESEARCH,,LOC_DIPLOMACY_ALLIANCES_TT,DIPLO_3,CIVIC_CIVIL_SERVICE,,CIVIC_CIVIL_SERVICE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALLIANCES,-1,0,0,30
DIPLOACTION_ALLIANCE_MILITARY,,LOC_DIPLOMACY_ALLIANCES_TT,DIPLO_3,CIVIC_CIVIL_SERVICE,,CIVIC_CIVIL_SERVICE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALLIANCES,-1,0,0,30
DIPLOACTION_ALLIANCE_ECONOMIC,,LOC_DIPLOMACY_ALLIANCES_TT,DIPLO_3,CIVIC_CIVIL_SERVICE,,CIVIC_CIVIL_SERVICE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALLIANCES,-1,0,0,30
DIPLOACTION_ALLIANCE_CULTURAL,,LOC_DIPLOMACY_ALLIANCES_TT,DIPLO_3,CIVIC_CIVIL_SERVICE,,CIVIC_CIVIL_SERVICE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALLIANCES,-1,0,0,30
DIPLOACTION_ALLIANCE_RELIGIOUS,,LOC_DIPLOMACY_ALLIANCES_TT,DIPLO_3,CIVIC_CIVIL_SERVICE,,CIVIC_CIVIL_SERVICE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALLIANCES,-1,0,0,30
DIPLOACTION_RENEW_ALLIANCE,,LOC_DIPLOMACY_RENEW_ALLIANCE_TT,DIPLO_3,CIVIC_CIVIL_SERVICE,,CIVIC_CIVIL_SERVICE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,1,0,30
DIPLOACTION_DECLARE_GOLDEN_AGE_WAR,LOC_DIPLOACTION_DECLARE_GOLDEN_AGE_WAR_NAME,LOC_DIPLOACTION_DECLARE_GOLDEN_AGE_WAR_DESCRIPTION,DIPLO_3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,300,FORMALWAR,0,0,0,30
DIPLOACTION_DECLARE_WAR_OF_RETRIBUTION,LOC_DIPLOACTION_DECLARE_WAR_OF_RETRIBUTION_NAME,LOC_DIPLOACTION_DECLARE_WAR_OF_RETRIBUTION_DESCRIPTION,DIPLO_3,CIVIC_EARLY_EMPIRE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,200,FORMALWAR,5,0,0,30
DIPLOACTION_DECLARE_IDEOLOGICAL_WAR,LOC_DIPLOACTION_DECLARE_IDEOLOGICAL_WAR_NAME,LOC_DIPLOACTION_DECLARE_IDEOLOGICAL_WAR_DESCRIPTION,DIPLO_3,CIVIC_IDEOLOGY,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,150,FORMALWAR,5,0,0,30
DIPLOACTION_THIRD_PARTY_WAR,LOC_DIPLOACTION_THIRD_PARTY_WAR_NAME,LOC_DIPLOACTION_THIRD_PARTY_WAR_DESCRIPTION,DIPLO_14,CIVIC_FOREIGN_TRADE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,100,300,,-1,0,0,30
